Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return
10374.79,475000,-10288.619140625,95,16.4038,144.5448,95,10698.5
10284.57,480000,-10171.8427734375,96,16.9237,143.793,96,11021.77
10577.46,485000,-10308.9814453125,97,16.6427,144.4433,97,11074.24
10422.31,490000,-10161.751953125,98,18.0338,144.5426,98,10661.59
10452.44,495000,-10263.9990234375,99,17.111,144.6862,99,10768.33
10594.59,500000,-10372.1787109375,100,17.0039,143.4684,100,11207.0
9449.02,505000,-10424.6572265625,101,15.3527,144.1091,101,11004.6
10612.41,510000,-10755.7138671875,102,16.5404,144.199,102,11058.81
10730.54,515000,-10607.7666015625,103,16.2143,143.4486,103,10748.93
10880.47,520000,-10740.197265625,104,17.2475,143.6259,104,11198.34
10888.34,525000,-10928.3876953125,105,16.876,142.5249,105,11187.59
10678.32,530000,-10948.0087890625,106,18.2609,144.1925,106,11104.46
10661.04,535000,-10810.666015625,107,16.5902,144.2886,107,11039.49
10624.35,540000,-10981.853515625,108,16.708,143.5545,108,11081.9
10688.37,545000,-11161.9609375,109,16.7755,144.1118,109,11128.34
10847.13,550000,-10983.4482421875,110,16.179,143.1149,110,11301.54
10274.53,555000,-12003.1533203125,111,15.2589,143.5873,111,10316.84
10961.0,560000,-11401.8427734375,112,17.3213,143.522,112,11401.95
10961.14,565000,-11041.5009765625,113,16.5877,142.9537,113,11424.12
10954.64,570000,-11552.6953125,114,17.3151,143.22,114,11396.02
10532.64,575000,-11581.4921875,115,16.7188,143.3841,115,11506.21
10920.22,580000,-11726.1337890625,116,16.5706,143.1445,116,11330.33
10378.79,585000,-12053.3740234375,117,15.4819,142.9114,117,11248.86
10912.6,590000,-11837.314453125,118,16.3728,144.074,118,11233.05
10904.18,595000,-11810.4462890625,119,17.3928,143.0819,119,11265.11
10826.62,600000,-12159.830078125,120,16.1952,143.1172,120,11277.62
11114.88,605000,-11979.2158203125,121,17.0889,143.2203,121,11641.16
10789.06,610000,-12168.91796875,122,17.9994,143.2715,122,11237.74
10761.81,615000,-12418.71484375,123,16.1353,142.7065,123,10519.46
10549.2,620000,-12393.9169921875,124,16.1301,142.4423,124,11361.52
10721.42,625000,-12568.134765625,125,15.522,142.4185,125,11099.16
11045.31,630000,-12762.96875,126,16.7871,143.5586,126,11451.19
11118.04,635000,-12563.775390625,127,16.6053,142.3605,127,11258.38
11026.81,640000,-13043.2333984375,128,15.7827,143.6468,128,11589.29
10714.89,645000,-12871.1318359375,129,17.1899,143.6525,129,11302.27
10951.99,650000,-13263.955078125,130,17.013,143.4158,130,11227.68
10870.89,655000,-12933.7265625,131,17.0203,142.5505,131,11333.01
10885.76,660000,-13097.7529296875,132,17.1657,142.9402,132,11260.71
11178.85,665000,-13399.62890625,133,17.7255,142.6478,133,11569.43
11229.91,670000,-13430.30078125,134,16.9672,143.0694,134,11813.57
11044.67,675000,-13536.87890625,135,16.0118,142.3784,135,11579.99
11236.76,680000,-13601.0048828125,136,16.9919,143.1356,136,11581.6
11074.44,685000,-13645.0283203125,137,16.569,142.9558,137,11437.44
11272.76,690000,-13887.6513671875,138,16.0453,142.4898,138,11709.62
11109.03,695000,-13930.6181640625,139,17.0603,142.4526,139,11494.97
11156.56,700000,-13871.158203125,140,16.4588,142.4091,140,11596.72
11145.13,705000,-14211.337890625,141,17.0827,143.3457,141,11732.82
11045.28,710000,-14509.8193359375,142,17.4543,143.1712,142,11444.84
11084.18,715000,-14651.2734375,143,17.5197,142.996,143,11425.84
10760.13,720000,-14305.5595703125,144,17.0469,142.9372,144,11546.96
