Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Forward KL,Running Update Time,Running Reverse KL,Reward Loss
3364.91,3498.92,375000,75,379.8215,75,196.432,-5995.2705078125
4390.29,4773.76,380000,76,358.0207,76,183.8573,-5461.36669921875
4547.84,4070.53,385000,77,376.4312,77,192.9118,-6125.40869140625
4227.11,3404.15,390000,78,380.7791,78,215.6309,-6175.916015625
5198.6,4628.2,395000,79,348.8794,79,166.1416,-5674.9228515625
2377.83,4031.59,400000,80,364.5301,80,190.6511,-6415.6884765625
5106.76,4817.52,405000,81,340.9599,81,165.8711,-5766.373046875
4814.27,4258.73,410000,82,355.4104,82,182.0859,-5907.33544921875
5205.24,4318.44,415000,83,351.6995,83,172.9152,-6287.478515625
5213.72,5110.89,420000,84,354.9267,84,172.2038,-6163.15771484375
4738.53,4890.45,425000,85,351.0676,85,178.1496,-6306.0927734375
4162.44,3534.48,430000,86,366.0731,86,191.9816,-6783.63134765625
5076.08,5004.23,435000,87,346.2322,87,180.4583,-6378.5625
5188.19,4892.8,440000,88,356.1213,88,189.9801,-6588.79541015625
5282.62,5141.92,445000,89,350.0531,89,179.4217,-6556.2763671875
4689.66,4824.22,450000,90,354.2769,90,178.1771,-6754.3955078125
5232.85,4944.58,455000,91,361.9023,91,213.8235,-6828.97021484375
4474.21,4926.63,460000,92,345.5173,92,175.0372,-6997.1630859375
5184.7,5123.39,465000,93,352.4782,93,197.2594,-7077.71728515625
5066.06,4670.85,470000,94,361.6203,94,195.7786,-7324.55908203125
4729.56,4962.1,475000,95,343.5046,95,175.8494,-7165.3388671875
5173.59,4860.95,480000,96,349.0867,96,174.8418,-7312.9169921875
4936.97,4833.55,485000,97,345.6007,97,175.8289,-7679.15234375
5240.52,5002.41,490000,98,343.1887,98,178.3689,-7509.23828125
5263.14,4593.75,495000,99,346.2648,99,178.3957,-7566.50830078125
5173.48,4968.73,500000,100,339.6882,100,171.1568,-7649.73828125
5157.58,4995.5,505000,101,335.6154,101,166.8883,-7891.67138671875
5113.18,4556.64,510000,102,337.3871,102,167.0316,-7899.6962890625
5162.39,4887.03,515000,103,337.4834,103,168.1826,-7935.2822265625
5210.73,5165.55,520000,104,339.1523,104,175.3152,-7980.9970703125
5179.35,5102.44,525000,105,342.6473,105,167.6772,-8624.8837890625
5185.82,4879.21,530000,106,338.0989,106,172.3415,-8652.7158203125
5227.39,5199.42,535000,107,337.8939,107,167.8191,-8583.6181640625
5258.15,5197.8,540000,108,350.516,108,197.7638,-8794.0166015625
5144.08,5116.01,545000,109,340.3562,109,167.3826,-8925.30078125
5140.1,4671.54,550000,110,327.7179,110,156.5084,-9207.736328125
5210.68,5160.05,555000,111,328.1926,111,158.6247,-8923.0693359375
5136.98,5122.58,560000,112,330.5786,112,163.5961,-9221.2294921875
5158.07,4806.95,565000,113,343.9475,113,174.432,-9573.041015625
5247.05,5122.39,570000,114,337.5537,114,167.6498,-9581.0849609375
5101.97,4960.82,575000,115,341.5375,115,165.0237,-9929.376953125
4788.99,4952.44,580000,116,325.5219,116,143.4777,-9783.10546875
5137.52,4804.65,585000,117,320.8627,117,144.1194,-10186.865234375
1550.56,1894.58,590000,118,352.7104,118,176.1578,-9948.341796875
3056.14,1532.62,595000,119,371.5503,119,226.7908,-9860.205078125
5108.72,5069.83,600000,120,352.3652,120,182.8428,-11424.818359375
5178.06,5140.21,605000,121,363.7416,121,210.9089,-11668.2392578125
5140.54,5116.74,610000,122,357.4589,122,192.7934,-11646.0
5160.94,5090.7,615000,123,352.5925,123,186.8415,-11896.9189453125
5107.58,5081.41,620000,124,351.8355,124,185.0933,-11615.703125
5175.07,5090.17,625000,125,351.8188,125,185.9331,-12221.1689453125
5151.95,4930.68,630000,126,349.3879,126,178.8261,-12464.1884765625
5164.83,5087.2,635000,127,348.7376,127,173.0346,-12255.4013671875
5108.63,5046.6,640000,128,353.3283,128,183.2064,-12879.919921875
5058.19,5040.5,645000,129,358.4071,129,195.3679,-13156.478515625
4944.08,4820.36,650000,130,351.3853,130,183.183,-13260.75
5171.14,4913.18,655000,131,363.4033,131,202.7873,-13223.3447265625
5210.56,5116.35,660000,132,354.2308,132,183.2762,-13142.328125
5104.89,5065.21,665000,133,362.3398,133,200.5656,-13819.1875
5125.28,5072.76,670000,134,345.4893,134,179.976,-13545.1865234375
5099.08,5032.76,675000,135,354.5147,135,185.5797,-13875.7529296875
5081.39,5058.98,680000,136,359.8343,136,196.2265,-14346.830078125
5127.16,5109.25,685000,137,349.8318,137,184.419,-14239.00390625
5144.05,5100.8,690000,138,351.0487,138,186.2953,-14173.1513671875
5139.51,5143.37,695000,139,343.5974,139,174.7812,-14190.3310546875
5208.57,5175.87,700000,140,350.9286,140,183.3276,-14305.31640625
5180.59,5159.53,705000,141,338.1269,141,173.2414,-14232.279296875
5188.37,5139.97,710000,142,330.5816,142,163.0446,-14017.9248046875
5255.11,4939.32,715000,143,332.4974,143,163.5198,-14096.2099609375
5134.25,5154.09,720000,144,345.0358,144,176.7676,-14565.2734375
5141.73,5245.12,725000,145,345.4105,145,174.7141,-14615.404296875
4835.94,5136.71,730000,146,348.5256,146,192.5817,-14551.8359375
5159.37,5115.27,735000,147,341.4429,147,163.0246,-14779.0888671875
5068.89,5088.11,740000,148,351.1636,148,186.0495,-15075.5068359375
5157.88,4894.84,745000,149,339.3989,149,157.5249,-15426.98828125
5170.33,4848.59,750000,150,334.6602,150,145.2756,-14519.634765625
5251.0,4984.31,755000,151,326.5789,151,151.9936,-14877.57421875
5156.98,4365.12,760000,152,333.0107,152,149.9004,-14805.0517578125
5187.76,4951.85,765000,153,326.4001,153,145.6496,-14800.134765625
5211.79,5005.63,770000,154,331.6751,154,153.1812,-15000.322265625
5202.01,5110.79,775000,155,336.1295,155,157.92,-15391.8837890625
5317.59,5127.18,780000,156,341.8768,156,161.6984,-15021.6826171875
5252.19,4859.56,785000,157,323.1809,157,136.2152,-14734.681640625
5224.92,4122.6,790000,158,326.6166,158,140.325,-15186.369140625
5215.69,5103.9,795000,159,342.3115,159,164.411,-15768.4443359375
5208.98,5117.59,800000,160,335.2326,160,157.3364,-15548.837890625
5205.72,4796.87,805000,161,325.3059,161,137.0917,-15240.2080078125
5134.76,4482.32,810000,162,335.403,162,149.3673,-15994.1103515625
5260.03,5185.97,815000,163,359.865,163,182.9404,-15854.8759765625
5161.31,4861.9,820000,164,330.0576,164,148.4596,-15664.4462890625
5171.63,5064.21,825000,165,336.8757,165,148.5137,-16057.521484375
5301.94,5132.97,830000,166,353.3079,166,193.9818,-16307.12109375
5192.83,5091.85,835000,167,328.1767,167,147.0524,-15820.1328125
5154.97,4886.24,840000,168,342.2043,168,152.9933,-16177.08203125
5249.11,5180.56,845000,169,343.0561,169,159.4244,-15728.0556640625
5292.09,5169.8,850000,170,335.494,170,152.3219,-16132.6201171875
5285.54,5239.59,855000,171,346.1591,171,177.1942,-16195.9228515625
5240.74,5126.08,860000,172,339.8738,172,156.7623,-16469.19921875
5229.29,4914.56,865000,173,337.5079,173,159.9245,-16533.7265625
5212.27,4519.71,870000,174,336.7141,174,159.1184,-16183.2314453125
5162.95,5096.61,875000,175,346.4073,175,157.6735,-16741.255859375
5155.93,4921.6,880000,176,344.373,176,152.7592,-17037.109375
5135.79,5076.14,885000,177,340.888,177,153.7389,-16660.62109375
5231.51,5054.58,890000,178,347.7782,178,174.352,-16654.716796875
5252.55,5109.55,895000,179,337.8334,179,152.3937,-16782.267578125
5088.35,4153.2,900000,180,341.5258,180,149.3473,-16654.08203125
5182.07,5070.9,905000,181,353.4269,181,169.858,-17210.06640625
5128.17,5048.15,910000,182,345.3145,182,153.1324,-16921.04296875
5167.41,5079.79,915000,183,338.3307,183,154.431,-17141.560546875
5077.65,5099.65,920000,184,347.2349,184,165.0844,-17288.2734375
5188.02,5135.66,925000,185,335.9043,185,156.4508,-16901.302734375
5128.29,5077.73,930000,186,339.0048,186,144.9621,-17093.46484375
5162.04,3500.91,935000,187,336.7933,187,138.3008,-17249.6953125
493.09,1262.9,940000,188,427.0113,188,279.6931,-15364.990234375
4580.13,5002.36,945000,189,364.1676,189,187.845,-17985.458984375
5167.97,5126.41,950000,190,345.3264,190,168.1116,-17353.583984375
5313.58,5093.45,955000,191,332.134,191,143.5876,-17087.859375
5294.3,5103.92,960000,192,330.1553,192,147.4552,-17120.482421875
5066.08,5094.61,965000,193,334.5275,193,153.886,-17215.283203125
5184.13,5078.06,970000,194,331.3886,194,143.6006,-17098.455078125
5022.33,5107.64,975000,195,336.4241,195,154.7541,-17510.56640625
5164.23,5119.55,980000,196,336.2385,196,145.0407,-17061.599609375
5071.88,5103.76,985000,197,336.2164,197,151.0187,-17410.03125
5138.77,5108.81,990000,198,333.3861,198,145.1175,-17114.630859375
5075.14,5077.45,995000,199,335.8346,199,148.8874,-17399.638671875
4967.67,5066.72,1000000,200,332.3257,200,142.1888,-17487.712890625
5156.33,5164.32,1005000,201,330.006,201,142.3285,-17213.046875
5220.58,5126.5,1010000,202,329.4609,202,138.0294,-17262.0859375
5159.19,5097.42,1015000,203,329.3178,203,140.7516,-17313.576171875
5181.04,4903.45,1020000,204,327.8716,204,138.4545,-17402.33203125
5191.54,5035.4,1025000,205,333.348,205,147.094,-17457.427734375
4815.2,4635.7,1030000,206,327.2896,206,132.9233,-16980.44921875
5096.75,4503.58,1035000,207,338.4347,207,150.4405,-16245.6533203125
4182.03,3649.78,1040000,208,346.037,208,163.7847,-16650.966796875
3769.27,3701.23,1045000,209,358.1726,209,189.6095,-16745.35546875
3029.93,4693.33,1050000,210,351.3343,210,174.1126,-16781.0859375
5367.66,5053.4,1055000,211,342.1338,211,168.1951,-16834.708984375
5304.29,4927.66,1060000,212,348.52,212,175.8851,-17731.08203125
1545.45,3088.26,1065000,213,353.7683,213,191.413,-16615.462890625
5005.48,4575.04,1070000,214,347.3548,214,180.0072,-17025.17578125
5265.38,5002.88,1075000,215,347.2117,215,171.172,-17392.57421875
4255.99,4705.36,1080000,216,362.4993,216,204.0009,-17744.408203125
4245.22,4703.2,1085000,217,362.6834,217,193.6563,-18423.583984375
4711.07,5142.96,1090000,218,375.3626,218,222.9932,-18349.490234375
5105.89,4646.51,1095000,219,392.0396,219,240.3488,-18617.3828125
801.33,517.14,1100000,220,394.9854,220,293.9517,-12922.66796875
4994.92,4719.85,1105000,221,350.4619,221,178.9763,-17854.68359375
4958.89,4848.3,1110000,222,349.9332,222,184.0971,-17356.052734375
3456.01,3809.49,1115000,223,349.5518,223,173.6993,-17158.8984375
3965.98,2544.09,1120000,224,349.4621,224,209.0126,-16821.623046875
3920.02,3966.2,1125000,225,359.3197,225,195.0042,-17075.8125
3253.25,2676.13,1130000,226,365.9511,226,188.1946,-17102.111328125
3521.27,3724.05,1135000,227,354.7377,227,166.1039,-17621.67578125
5080.68,4830.22,1140000,228,345.3522,228,149.2283,-18533.32421875
4861.4,4848.99,1145000,229,333.3188,229,153.734,-18301.326171875
5062.5,5075.9,1150000,230,341.8133,230,151.3167,-18629.5625
5115.92,5053.55,1155000,231,348.4753,231,152.5736,-18226.650390625
5242.55,5023.97,1160000,232,349.0252,232,171.0289,-18618.890625
5270.14,4974.5,1165000,233,348.269,233,172.4787,-18668.998046875
5277.51,5100.39,1170000,234,374.23,234,218.696,-19050.244140625
5023.99,4921.47,1175000,235,368.8454,235,200.5699,-18978.9765625
1827.81,3671.16,1180000,236,382.612,236,217.882,-17995.64453125
3562.88,3227.05,1185000,237,370.8616,237,178.652,-16924.8125
5082.68,4810.49,1190000,238,354.8553,238,163.0725,-18430.1796875
4765.49,4689.74,1195000,239,336.5269,239,152.5465,-18490.0859375
3484.76,1298.25,1200000,240,374.8272,240,204.2008,-13813.5791015625
4232.26,3359.67,1205000,241,360.4745,241,146.9244,-16868.28515625
2977.64,3589.46,1210000,242,365.8402,242,167.9084,-17429.33984375
3821.78,3539.09,1215000,243,376.5601,243,194.2491,-16238.3017578125
987.68,1190.8,1220000,244,376.9922,244,173.2927,-13167.048828125
3934.01,4003.77,1225000,245,344.4637,245,153.3866,-16644.904296875
4150.18,4785.65,1230000,246,367.5144,246,208.3997,-18511.666015625
4776.95,4580.81,1235000,247,375.1699,247,228.5713,-18635.2421875
3863.65,3591.05,1240000,248,362.1099,248,159.2936,-16111.8486328125
1761.31,1642.99,1245000,249,384.2643,249,232.1109,-13639.41796875
4208.76,3389.19,1250000,250,358.1391,250,171.5405,-18439.9609375
4742.14,5096.77,1255000,251,361.1414,251,206.9797,-18864.1875
4964.88,4750.13,1260000,252,373.9386,252,253.4337,-19104.69140625
3728.85,4261.06,1265000,253,389.6628,253,256.3831,-16389.29296875
4100.53,4053.74,1270000,254,380.9502,254,252.7737,-16787.658203125
1325.42,2976.64,1275000,255,374.0899,255,251.2282,-16524.9296875
3063.69,3107.35,1280000,256,381.463,256,252.784,-17835.388671875
3526.29,3479.6,1285000,257,395.6019,257,241.0807,-17245.37890625
2443.34,2531.86,1290000,258,386.7515,258,277.4293,-17467.412109375
1571.79,2025.74,1295000,259,377.094,259,199.9908,-16149.1396484375
1862.86,2495.11,1300000,260,386.1399,260,279.9887,-16645.83984375
2501.39,2841.5,1305000,261,385.9125,261,212.5568,-16138.259765625
2087.41,2269.67,1310000,262,385.9487,262,200.6143,-17910.6171875
2530.08,1398.74,1315000,263,374.44,263,233.9189,-18267.169921875
4721.11,3519.89,1320000,264,352.6569,264,184.5698,-17809.798828125
3085.11,3192.67,1325000,265,353.6852,265,195.9734,-17773.740234375
4735.8,4334.28,1330000,266,332.7581,266,180.4205,-17473.548828125
4473.42,5098.16,1335000,267,350.0873,267,204.9657,-17974.484375
5071.84,4797.7,1340000,268,392.7058,268,244.7125,-18885.8828125
3719.75,4203.24,1345000,269,413.2818,269,288.0513,-18850.978515625
4797.55,4992.04,1350000,270,401.7659,270,253.5076,-19291.193359375
3565.45,3622.43,1355000,271,410.5309,271,255.1262,-19124.115234375
4997.87,4745.14,1360000,272,418.6162,272,290.5943,-19332.302734375
4785.39,4723.34,1365000,273,419.0027,273,269.3822,-19038.66015625
5004.88,4329.88,1370000,274,423.4857,274,286.8964,-19351.88671875
4421.02,4059.37,1375000,275,417.7639,275,261.3601,-19076.583984375
4262.98,3403.22,1380000,276,432.2906,276,276.1185,-18917.720703125
4934.32,4514.47,1385000,277,426.524,277,253.6199,-17958.513671875
4517.38,4687.02,1390000,278,416.7193,278,263.214,-19303.638671875
4291.95,3745.11,1395000,279,427.4142,279,269.0631,-18930.103515625
3604.48,3783.94,1400000,280,421.8979,280,249.9096,-18912.3125
4794.75,5008.31,1405000,281,420.8626,281,286.5747,-19318.97265625
4947.03,4862.77,1410000,282,426.3696,282,290.0633,-19433.435546875
4955.36,5166.21,1415000,283,429.7611,283,279.5138,-19456.796875
5156.57,5146.1,1420000,284,432.1427,284,307.4165,-19351.59375
5091.93,4900.48,1425000,285,428.344,285,302.8357,-19313.435546875
4972.2,4782.11,1430000,286,427.1582,286,284.8454,-19522.740234375
4796.77,4972.32,1435000,287,431.4666,287,285.4634,-19538.12109375
4439.91,4185.86,1440000,288,434.6096,288,271.8929,-19073.44140625
4987.44,4984.29,1445000,289,436.8333,289,290.6682,-19546.00390625
4633.62,4625.89,1450000,290,429.0132,290,268.6365,-19403.3125
4534.1,4841.5,1455000,291,430.7207,291,271.0963,-19319.4140625
2572.94,3266.92,1460000,292,433.0303,292,301.2239,-19563.109375
4833.07,4937.23,1465000,293,428.4308,293,285.5715,-19580.138671875
4970.7,4961.45,1470000,294,427.7347,294,289.3654,-19601.654296875
4716.63,5077.87,1475000,295,426.6267,295,306.3949,-19570.537109375
5008.57,4631.77,1480000,296,428.512,296,297.5934,-19316.58984375
4749.14,4757.88,1485000,297,424.6985,297,281.3357,-19384.513671875
2784.36,2995.3,1490000,298,436.308,298,330.4802,-18267.134765625
4990.02,4985.57,1495000,299,427.0599,299,288.7667,-19552.9609375
4900.15,4813.02,1500000,300,430.9319,300,295.8186,-19607.1015625
4257.58,3931.21,1505000,301,428.7661,301,285.1769,-19013.216796875
4145.04,5016.9,1510000,302,428.8825,302,302.2016,-19555.255859375
4588.84,4188.54,1515000,303,429.1685,303,248.1683,-18778.75390625
2920.4,2267.57,1520000,304,433.8614,304,287.8381,-18473.220703125
3670.38,3106.33,1525000,305,434.7099,305,302.4874,-19299.80078125
2978.96,3328.84,1530000,306,436.5,306,285.4708,-19027.85546875
4209.79,3767.59,1535000,307,441.056,307,267.4782,-19037.30078125
3750.1,4257.91,1540000,308,437.2617,308,278.0079,-19115.38671875
2746.92,2373.09,1545000,309,445.6707,309,283.0891,-17927.158203125
3989.98,3034.83,1550000,310,441.4026,310,238.9705,-17573.552734375
3261.5,3266.92,1555000,311,433.6874,311,244.3828,-18293.662109375
3552.42,2765.39,1560000,312,440.3786,312,262.2351,-19026.86328125
2609.72,3525.84,1565000,313,439.6966,313,243.4944,-18752.11328125
3945.66,3331.08,1570000,314,442.7091,314,271.4419,-18862.607421875
3677.43,3376.67,1575000,315,443.8037,315,324.2574,-19228.7578125
4912.64,4389.93,1580000,316,444.5743,316,332.8166,-19306.923828125
4228.64,4243.98,1585000,317,444.3221,317,238.1618,-18218.546875
3895.74,3825.92,1590000,318,443.8658,318,318.3693,-19368.4375
3929.73,4189.2,1595000,319,446.7213,319,248.7915,-19250.2265625
3413.96,4655.43,1600000,320,444.6799,320,271.4508,-18954.154296875
4048.53,4040.47,1605000,321,448.5412,321,248.4992,-19332.439453125
4173.52,4305.27,1610000,322,452.5772,322,285.6606,-19044.126953125
3590.54,4135.78,1615000,323,447.8021,323,247.8884,-19290.19921875
3935.55,3400.0,1620000,324,451.203,324,284.4652,-19044.544921875
4202.06,3566.79,1625000,325,451.5918,325,276.4794,-19002.95703125
3947.16,3476.09,1630000,326,459.5264,326,246.7249,-18605.64453125
4439.73,4234.45,1635000,327,455.9163,327,261.8947,-19649.33203125
4806.24,4735.55,1640000,328,461.8671,328,297.3926,-19492.8203125
4818.32,4886.79,1645000,329,455.033,329,243.6665,-19426.228515625
4463.26,4460.42,1650000,330,457.5241,330,233.6585,-19149.1953125
4827.17,4969.32,1655000,331,459.1782,331,262.9599,-19613.564453125
4315.41,3839.39,1660000,332,461.33,332,261.0873,-18869.828125
4391.96,4291.09,1665000,333,459.9343,333,267.3621,-18469.06640625
3155.08,3740.47,1670000,334,451.5691,334,259.2547,-19194.736328125
4180.45,4092.46,1675000,335,462.6404,335,267.9779,-19232.5390625
4576.83,4523.96,1680000,336,451.9169,336,273.7885,-19435.361328125
4605.41,4020.43,1685000,337,439.6519,337,268.0398,-19165.498046875
4472.54,4461.83,1690000,338,449.8631,338,261.3901,-19393.021484375
4938.85,4937.77,1695000,339,450.4949,339,315.619,-19620.712890625
4958.85,4739.19,1700000,340,446.7386,340,268.9606,-19543.341796875
4822.19,4905.61,1705000,341,443.6903,341,276.0339,-19274.154296875
4917.44,4799.03,1710000,342,448.1749,342,283.8976,-19419.31640625
4685.76,4891.1,1715000,343,456.5736,343,351.4378,-19613.77734375
4670.91,4439.06,1720000,344,450.947,344,283.4318,-19231.12109375
3852.29,4385.4,1725000,345,447.5995,345,289.1798,-19314.64453125
4310.01,3922.08,1730000,346,442.255,346,283.834,-19455.115234375
3304.78,3570.99,1735000,347,446.0389,347,287.3438,-19311.44921875
3933.62,3880.72,1740000,348,439.8392,348,279.1384,-19330.296875
4648.89,4159.49,1745000,349,440.1526,349,331.6875,-19636.990234375
4474.77,3857.62,1750000,350,449.776,350,296.5674,-19270.16015625
4747.7,4320.38,1755000,351,448.0305,351,331.0798,-19670.375
4541.93,4354.83,1760000,352,446.8254,352,330.3241,-19673.8671875
4614.97,4543.94,1765000,353,451.564,353,307.6872,-19680.7109375
5004.65,4864.29,1770000,354,446.6621,354,316.3905,-19428.220703125
3856.54,3085.03,1775000,355,455.9973,355,291.7887,-19217.9375
4933.08,4442.6,1780000,356,451.8341,356,274.7269,-19306.1953125
4603.07,4611.58,1785000,357,457.7697,357,300.8285,-19655.453125
4936.75,4936.74,1790000,358,458.0449,358,332.1487,-19676.861328125
4042.06,4243.93,1795000,359,453.3428,359,294.1866,-19423.916015625
4717.79,4922.32,1800000,360,455.2949,360,307.5817,-19465.38671875
4126.11,4126.51,1805000,361,448.1131,361,292.6298,-19487.44140625
4819.83,4286.59,1810000,362,453.6251,362,330.2848,-19661.689453125
4004.09,3909.31,1815000,363,452.3956,363,309.2269,-19697.525390625
4672.88,4737.0,1820000,364,460.7481,364,340.4662,-19746.73046875
5003.98,4549.42,1825000,365,454.8651,365,293.4884,-19596.845703125
4884.68,4657.93,1830000,366,467.3061,366,344.1431,-19708.705078125
4671.7,4447.26,1835000,367,460.7959,367,334.3628,-19458.869140625
4025.86,4032.15,1840000,368,459.3444,368,344.47,-19302.330078125
4592.8,4818.29,1845000,369,467.6627,369,385.9052,-19749.1875
3534.08,3562.7,1850000,370,461.998,370,285.3581,-18972.365234375
2609.71,2409.72,1855000,371,470.9278,371,326.9115,-18132.04296875
4863.59,4419.84,1860000,372,462.7358,372,379.2697,-19617.115234375
4450.71,4637.78,1865000,373,460.7957,373,351.7257,-19726.447265625
4873.0,4456.1,1870000,374,465.0159,374,358.8631,-19772.005859375
4227.76,4213.58,1875000,375,465.159,375,345.7156,-19608.470703125
4457.88,4243.68,1880000,376,464.3509,376,310.7416,-18937.458984375
4658.93,4442.28,1885000,377,457.3769,377,325.2319,-19774.18359375
4677.85,4720.3,1890000,378,461.6594,378,343.5147,-19786.904296875
4815.72,4811.89,1895000,379,465.6766,379,316.9749,-19414.2109375
4797.16,4662.36,1900000,380,461.1158,380,318.8081,-19759.76953125
4420.8,4633.27,1905000,381,463.2768,381,329.0699,-19751.9296875
4643.79,4442.7,1910000,382,461.0307,382,311.9851,-19541.21484375
4471.3,3984.74,1915000,383,455.1323,383,283.3566,-19446.8046875
4829.54,4834.15,1920000,384,461.1532,384,317.0255,-19777.5625
4858.88,4655.02,1925000,385,466.4962,385,325.7366,-19777.2109375
4676.15,4658.98,1930000,386,460.646,386,329.9413,-19576.67578125
4941.46,4783.75,1935000,387,456.4634,387,319.895,-19766.78515625
4257.4,4072.83,1940000,388,457.1931,388,271.2038,-18909.59375
4896.47,4888.16,1945000,389,459.2273,389,346.4053,-19777.640625
4940.72,4730.9,1950000,390,457.8437,390,339.5181,-19785.037109375
4960.65,4541.42,1955000,391,453.4161,391,320.6036,-19755.3515625
