Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps
2290.29,144,26.1042,3177.19,144,19.1194,-2994.489013671875,720000
1961.33,145,25.4867,3198.95,145,15.8375,-2502.572021484375,725000
2680.05,146,25.1139,3157.02,146,12.8635,-2380.718017578125,730000
2909.98,147,24.807,3168.04,147,13.9554,-1989.075439453125,735000
1999.46,148,25.2004,3166.41,148,13.4548,-2129.540771484375,740000
1707.26,149,26.2305,3250.14,149,26.9512,-3887.589111328125,745000
2435.22,150,24.8612,3182.07,150,13.4631,-2586.6796875,750000
2439.11,151,24.8879,3184.2,151,13.6274,-2235.09326171875,755000
2454.97,152,25.0018,3178.91,152,13.6921,-2330.82373046875,760000
2480.23,153,25.5181,3123.82,153,12.7293,-2625.715087890625,765000
2737.54,154,24.2536,3164.63,154,14.6384,-2002.6875,770000
2601.04,155,24.211,3166.83,155,18.0025,-2565.045654296875,775000
2715.01,156,25.9869,3188.83,156,15.7769,-2897.018310546875,780000
2646.34,157,25.6074,3161.82,157,15.1392,-2749.801025390625,785000
2992.41,158,25.0775,3203.9,158,13.9891,-2266.548828125,790000
2529.66,159,25.1186,3195.26,159,12.8465,-2478.22509765625,795000
2700.2,160,24.5482,3183.95,160,12.4216,-2335.439453125,800000
2511.26,161,25.1072,3213.35,161,14.073,-2880.227294921875,805000
2173.81,162,23.883,3199.15,162,14.6869,-2749.896484375,810000
2473.39,163,23.8186,3118.51,163,13.1892,-3044.705810546875,815000
1451.45,164,26.1917,1280.62,164,19.8503,-4491.78515625,820000
1732.92,165,25.3441,1655.06,165,14.1451,-3666.635986328125,825000
2017.02,166,25.6241,3261.2,166,14.2372,-3242.664306640625,830000
3014.66,167,24.942,3149.01,167,15.5197,-2085.421142578125,835000
2891.35,168,24.4013,3161.86,168,15.3547,-2060.065185546875,840000
2672.91,169,25.6673,3155.32,169,14.76,-2501.5693359375,845000
3100.89,170,24.4342,3203.13,170,13.8768,-2107.955078125,850000
2805.62,171,25.2497,3196.02,171,13.0062,-3032.546142578125,855000
2958.8,172,24.6458,3180.57,172,13.1579,-2481.7763671875,860000
2833.84,173,24.4534,3162.48,173,13.8874,-2483.406982421875,865000
2784.85,174,23.7863,3249.85,174,13.8561,-2534.041259765625,870000
2136.81,175,25.0813,3322.8,175,13.072,-3355.77978515625,875000
2395.56,176,24.1779,3292.77,176,12.6837,-2942.712890625,880000
2733.3,177,24.7174,3207.64,177,12.5161,-2973.000732421875,885000
2292.59,178,24.4783,3353.34,178,13.4581,-2602.4033203125,890000
3032.82,179,23.9981,3163.47,179,14.8269,-2267.071533203125,895000
2747.35,180,23.6751,3202.12,180,13.5175,-2090.734619140625,900000
2942.14,181,23.3138,3177.85,181,14.0192,-2112.62451171875,905000
2543.58,182,24.6731,3304.24,182,14.9847,-3697.261474609375,910000
2370.37,183,24.8656,2667.71,183,12.5559,-3837.600830078125,915000
3097.3,184,23.7849,3218.92,184,14.3198,-2023.58984375,920000
2745.35,185,24.6266,3250.45,185,12.1497,-3306.6708984375,925000
2448.7,186,24.2519,3123.52,186,12.4345,-2963.936767578125,930000
2427.4,187,23.5377,3308.08,187,13.3932,-2598.34423828125,935000
2947.68,188,23.1846,3233.9,188,13.1283,-2619.875,940000
2636.94,189,23.6953,3108.36,189,12.3373,-3024.262939453125,945000
2821.08,190,22.7309,3366.37,190,13.2565,-2676.295654296875,950000
2793.5,191,23.7466,3306.97,191,12.82,-2894.109619140625,955000
2886.55,192,23.6773,3271.13,192,13.6762,-3326.611572265625,960000
2197.45,193,23.8003,3312.06,193,12.0311,-3343.183837890625,965000
2438.07,194,23.6409,3321.41,194,13.0768,-3793.78466796875,970000
2932.92,195,23.4241,3345.12,195,16.1021,-3952.3134765625,975000
2452.83,196,24.2815,3128.26,196,12.0239,-3804.031982421875,980000
2550.22,197,23.4989,3077.55,197,12.6861,-3073.93505859375,985000
2128.0,198,24.1139,2884.57,198,17.6154,-4210.5771484375,990000
2134.66,199,24.4244,2023.5,199,19.0259,-4678.28271484375,995000
