Running Forward KL,Running Env Steps,Itration,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return
24.4523,475000,95,3234.93,95,14.4798,-1732.6671142578125,3136.44
23.8353,480000,96,3249.64,96,14.4306,-1697.2264404296875,3233.91
23.7472,485000,97,3252.82,97,13.8825,-1612.54638671875,3177.6
23.3805,490000,98,3254.84,98,13.497,-1671.622802734375,3241.71
23.117,495000,99,3245.45,99,13.296,-1762.331298828125,3150.57
23.82,500000,100,3270.43,100,14.0408,-1841.1156005859375,3165.12
22.9393,505000,101,3276.74,101,13.2675,-1675.129150390625,3160.13
23.8881,510000,102,3224.56,102,13.9387,-1862.17724609375,3223.12
23.5355,515000,103,3279.13,103,14.0266,-1844.1455078125,3102.23
23.9007,520000,104,3246.41,104,14.0282,-1812.72509765625,3247.95
23.3206,525000,105,3260.29,105,12.9473,-1861.4156494140625,3133.21
23.8119,530000,106,3266.28,106,13.7237,-1810.953857421875,2970.84
24.0735,535000,107,3240.54,107,14.1182,-1900.6083984375,3204.92
23.7037,540000,108,3253.32,108,14.1218,-1957.572509765625,3080.85
24.4049,545000,109,3269.71,109,14.9568,-2036.691162109375,3089.37
24.3278,550000,110,3266.67,110,14.353,-2001.9326171875,3150.92
23.7163,555000,111,3261.72,111,14.5477,-1921.937255859375,3258.36
23.4034,560000,112,3267.63,112,13.8472,-1859.740234375,3002.89
23.3756,565000,113,3256.14,113,13.848,-1936.02392578125,3235.88
24.4688,570000,114,3265.86,114,14.3961,-2050.01123046875,3266.54
23.007,575000,115,3249.3,115,13.4709,-1993.949951171875,3230.52
24.1846,580000,116,3289.73,116,14.103,-2009.9825439453125,3275.4
23.5684,585000,117,3276.11,117,13.759,-2084.17138671875,3266.6
23.6152,590000,118,3275.85,118,14.0714,-2027.5902099609375,3266.62
23.0853,595000,119,3245.87,119,14.4443,-1979.775146484375,2923.88
23.3297,600000,120,3271.18,120,13.2537,-2117.3505859375,3162.4
23.3603,605000,121,3272.69,121,14.1912,-2051.509521484375,3265.0
22.863,610000,122,3272.19,122,12.9293,-2202.006591796875,2969.37
23.0669,615000,123,3262.96,123,13.9431,-2144.392822265625,3259.24
22.6932,620000,124,3273.38,124,12.7403,-2143.582275390625,3261.99
23.1633,625000,125,3255.81,125,13.9192,-2151.545654296875,3176.51
22.7234,630000,126,3271.29,126,13.2186,-2182.552001953125,3115.28
23.0579,635000,127,3280.57,127,13.5566,-2190.7763671875,3226.82
22.849,640000,128,3263.85,128,13.4177,-2236.33447265625,3243.26
22.9898,645000,129,3261.2,129,13.0496,-2373.665283203125,3250.6
22.4094,650000,130,3277.33,130,12.5314,-2316.718994140625,2810.73
23.4389,655000,131,3280.2,131,13.6725,-2360.927001953125,3267.42
23.6646,660000,132,3287.91,132,14.0201,-2357.538818359375,3148.48
23.6912,665000,133,3283.92,133,13.5556,-2424.123046875,3198.95
22.8795,670000,134,3285.28,134,12.6458,-2380.706787109375,2994.28
