Running Reverse KL,Running Update Time,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return,Reward Loss,Itration
17.5756,29,145000,24.2476,1028.82,653.11,-408.0653076171875,29
16.6607,30,150000,23.9851,3122.43,3130.64,-171.24447631835938,30
16.3501,31,155000,23.4473,3014.45,3145.07,-211.42263793945312,31
13.2757,32,160000,22.4934,2074.11,1323.98,-204.8851776123047,32
14.0071,33,165000,22.087,1700.16,2266.01,-185.2209014892578,33
14.7488,34,170000,23.9975,1398.7,2020.93,-189.5679168701172,34
15.8467,35,175000,24.4742,1163.56,1160.28,-293.0061340332031,35
12.7125,36,180000,22.2259,2203.67,2284.99,-276.8027038574219,36
16.2304,37,185000,22.216,2222.11,3175.73,-234.85777282714844,37
16.2634,38,190000,22.4018,3159.9,3186.19,-225.59527587890625,38
16.0162,39,195000,22.2356,3159.66,3192.78,-294.8240966796875,39
14.4343,40,200000,23.6556,2216.22,3173.91,-274.2759704589844,40
16.995,41,205000,22.8929,3104.37,3157.79,-325.8312072753906,41
12.381,42,210000,21.9107,2296.86,3158.27,-281.50823974609375,42
13.7272,43,215000,21.4708,2688.5,3183.0,-294.59490966796875,43
14.6781,44,220000,23.133,2858.14,3220.9,-346.3209228515625,44
14.5895,45,225000,23.596,1576.59,2829.86,-327.4029235839844,45
12.8587,46,230000,22.2978,1613.33,2192.85,-311.864990234375,46
15.5973,47,235000,23.2994,1157.33,2244.41,-389.9411926269531,47
14.027,48,240000,24.3063,1014.43,1224.99,-374.1846923828125,48
14.8834,49,245000,23.083,2232.6,3179.51,-362.4137878417969,49
13.1815,50,250000,22.849,1565.28,2672.38,-411.73492431640625,50
16.6476,51,255000,22.3631,1740.46,3019.78,-442.3206787109375,51
15.7229,52,260000,22.6091,3001.42,3219.6,-393.3553466796875,52
13.1949,53,265000,22.8232,1268.6,1312.21,-467.0909423828125,53
13.2142,54,270000,22.0967,1947.66,3168.01,-421.53033447265625,54
14.7965,55,275000,23.7623,1183.21,1577.76,-550.31884765625,55
13.3529,56,280000,22.5572,2154.92,2486.94,-463.9284973144531,56
15.16,57,285000,23.6941,1306.49,1716.48,-582.4520263671875,57
14.5982,58,290000,22.8204,1255.26,1732.34,-618.104736328125,58
13.9027,59,295000,22.9689,1545.43,2300.09,-553.971923828125,59
15.8331,60,300000,22.7678,1817.82,3179.78,-610.9248657226562,60
14.4817,61,305000,22.1959,2853.88,3170.1,-472.1130676269531,61
14.5542,62,310000,21.6152,3023.66,3139.13,-471.60003662109375,62
14.7074,63,315000,22.1155,2807.67,3191.07,-506.63104248046875,63
15.3273,64,320000,22.575,2736.11,3025.38,-559.3092041015625,64
14.0793,65,325000,22.2755,2882.66,3173.72,-531.093505859375,65
14.1333,66,330000,22.5249,2894.49,3226.17,-545.12939453125,66
13.1137,67,335000,23.3006,1786.03,2056.54,-690.5624389648438,67
13.4949,68,340000,21.5384,2116.09,3111.27,-605.0460815429688,68
13.3524,69,345000,21.3224,2527.35,1928.55,-611.3935546875,69
11.8614,70,350000,20.6174,2751.45,3234.18,-517.3145751953125,70
13.7458,71,355000,21.9899,2395.24,3210.95,-656.7725219726562,71
14.7219,72,360000,22.2727,2723.85,3015.18,-560.1420288085938,72
15.9457,73,365000,22.0427,3051.76,3190.38,-615.3467407226562,73
14.1709,74,370000,23.679,1169.0,1940.47,-916.1083984375,74
13.4957,75,375000,22.4925,2023.29,2919.41,-624.2313232421875,75
15.7109,76,380000,22.3336,3047.84,3216.85,-647.1170654296875,76
15.0016,77,385000,22.6841,1624.11,2521.13,-762.9996948242188,77
14.2032,78,390000,22.3715,2423.47,2967.81,-632.4517211914062,78
13.6509,79,395000,22.5408,1334.97,1685.44,-796.5734252929688,79
13.6807,80,400000,21.8391,2793.55,3214.18,-620.497802734375,80
13.2592,81,405000,22.2609,1187.51,2083.65,-840.9981689453125,81
13.2983,82,410000,21.4851,1995.38,3245.38,-716.50830078125,82
14.1442,83,415000,22.4105,2522.83,3164.91,-855.8080444335938,83
15.9177,84,420000,22.657,3066.16,3181.76,-738.9335327148438,84
13.5902,85,425000,21.1154,2490.05,2822.63,-695.6194458007812,85
14.9033,86,430000,22.6654,3038.17,3068.26,-788.5562744140625,86
14.6198,87,435000,21.9027,2949.46,3129.78,-737.744384765625,87
14.2067,88,440000,22.3813,2431.89,2308.65,-880.6634521484375,88
15.0829,89,445000,22.7534,1355.65,2322.32,-1043.2886962890625,89
12.4032,90,450000,22.0304,1718.06,2487.48,-852.7736206054688,90
13.085,91,455000,22.3776,1960.05,2806.82,-975.5933227539062,91
13.0945,92,460000,20.5353,2958.66,3083.06,-771.216064453125,92
12.1758,93,465000,22.1146,1078.79,1059.5,-1129.0789794921875,93
12.3777,94,470000,23.1586,1258.21,1177.47,-1062.6937255859375,94
13.1721,95,475000,22.9513,1278.3,1327.23,-1138.0689697265625,95
12.91,96,480000,21.788,1314.56,1193.48,-1071.730712890625,96
13.0709,97,485000,21.2573,1591.48,2127.33,-1001.858154296875,97
12.0761,98,490000,20.1826,2937.28,3207.0,-813.5835571289062,98
14.7243,99,495000,21.8381,1841.63,3151.17,-1044.6239013671875,99
14.372,100,500000,21.6479,1947.29,3089.91,-969.3976440429688,100
17.3501,101,505000,22.5674,2153.27,3168.6,-1116.77685546875,101
16.1756,102,510000,21.7663,2125.6,3268.24,-1114.3814697265625,102
13.5128,103,515000,20.9308,2997.62,3182.7,-905.5287475585938,103
14.3076,104,520000,21.1596,2975.58,3183.81,-863.3472900390625,104
15.7407,105,525000,21.8861,2131.02,3055.61,-1159.5439453125,105
14.6454,106,530000,21.5021,2575.66,3209.92,-965.794921875,106
15.2647,107,535000,21.1735,2735.18,3207.01,-1001.842529296875,107
19.3901,108,540000,23.1188,1655.13,2230.55,-1412.2718505859375,108
17.1273,109,545000,23.0475,1708.59,1508.39,-1341.5418701171875,109
15.4882,110,550000,21.3869,2340.79,3244.58,-1144.4354248046875,110
15.1114,111,555000,22.0747,3111.44,3196.53,-1116.03271484375,111
15.3563,112,560000,21.5221,2476.57,3272.28,-1219.92919921875,112
18.2637,113,565000,21.9405,1527.2,1374.09,-1512.99609375,113
15.0031,114,570000,21.6795,1902.17,3208.29,-1251.6165771484375,114
15.1619,115,575000,21.7575,2252.74,2766.27,-1252.1461181640625,115
14.1105,116,580000,21.7876,2388.92,3187.48,-1203.771240234375,116
15.4232,117,585000,22.8421,1649.98,2489.97,-1509.3531494140625,117
14.9245,118,590000,22.038,2013.15,3185.26,-1418.548828125,118
14.5233,119,595000,21.6431,1901.91,3206.81,-1335.283447265625,119
15.0387,120,600000,22.1188,1502.36,2579.66,-1530.4617919921875,120
14.4254,121,605000,22.8712,1990.55,3224.07,-1485.160400390625,121
14.9078,122,610000,22.3386,1458.81,1184.79,-1611.2298583984375,122
15.6729,123,615000,21.7288,1217.72,2052.09,-1634.2254638671875,123
17.0144,124,620000,23.2866,1479.26,1567.69,-1810.6978759765625,124
13.6769,125,625000,21.2476,2148.0,3196.39,-1118.990234375,125
16.1547,126,630000,23.9148,1508.53,1480.87,-1847.30224609375,126
15.7846,127,635000,23.4975,2030.78,2453.7,-1848.981201171875,127
15.1124,128,640000,22.7498,1904.37,1244.45,-1711.88037109375,128
13.6665,129,645000,21.5086,2573.39,3218.3,-1305.7620849609375,129
14.9336,130,650000,22.4336,1814.03,2650.54,-1691.122314453125,130
13.7013,131,655000,21.7891,2255.5,2561.42,-1363.9515380859375,131
13.9486,132,660000,21.7937,1901.88,3072.59,-1415.676025390625,132
14.7005,133,665000,22.9576,1774.85,1648.06,-1897.0030517578125,133
14.4199,134,670000,22.3239,2418.25,2863.11,-1441.168212890625,134
14.7771,135,675000,22.3241,1811.9,2158.34,-1687.4339599609375,135
13.5777,136,680000,21.371,2417.48,2412.0,-1540.814697265625,136
16.5798,137,685000,22.7337,1857.86,2455.08,-2048.19384765625,137
14.0246,138,690000,21.4964,2133.53,3195.79,-1639.7701416015625,138
14.4521,139,695000,21.135,2955.36,3221.29,-1268.3118896484375,139
14.7961,140,700000,22.2383,2399.58,2775.41,-1705.7440185546875,140
15.708,141,705000,22.7748,2730.09,3299.63,-1928.1322021484375,141
16.6053,142,710000,22.8301,1975.4,1327.09,-2055.3701171875,142
13.7829,143,715000,21.6509,3045.49,3169.73,-1301.40478515625,143
14.8793,144,720000,21.7033,2701.23,3325.14,-1619.1358642578125,144
14.2921,145,725000,21.3721,3050.22,3315.26,-1432.9832763671875,145
14.3003,146,730000,22.1552,2722.32,3168.02,-1764.72607421875,146
14.154,147,735000,22.6427,1789.25,3293.34,-2011.2086181640625,147
12.8836,148,740000,20.7708,2619.47,2616.83,-1576.4129638671875,148
14.1866,149,745000,22.6416,2514.25,2746.24,-2012.90380859375,149
13.5467,150,750000,21.6535,2306.84,2464.45,-1736.53759765625,150
12.9386,151,755000,21.3511,2238.28,1490.33,-1643.695556640625,151
14.7288,152,760000,21.4522,3135.28,3187.92,-1287.1107177734375,152
13.3283,153,765000,22.2167,1634.91,2205.38,-1889.24169921875,153
15.0196,154,770000,21.536,3001.69,3193.53,-1315.345703125,154
13.1729,155,775000,22.1314,2700.35,2341.31,-1830.56201171875,155
13.9659,156,780000,23.5269,2345.32,1796.49,-1908.8590087890625,156
14.2207,157,785000,22.4805,2981.43,3101.55,-1515.2901611328125,157
12.8107,158,790000,22.191,3254.51,3181.75,-1864.0291748046875,158
12.196,159,795000,22.69,2040.83,2865.89,-1701.822998046875,159
12.041,160,800000,22.8,1507.95,1438.76,-1640.2130126953125,160
12.7709,161,805000,21.551,1740.12,2185.1,-1940.6690673828125,161
12.1934,162,810000,21.8856,1598.39,1565.65,-1822.3900146484375,162
13.0147,163,815000,22.015,1765.64,1414.12,-2173.849365234375,163
15.8652,164,820000,22.3152,2273.53,2369.43,-2147.0,164
14.1597,165,825000,22.6115,2726.94,3257.74,-1975.5462646484375,165
12.7656,166,830000,22.5615,2410.54,3120.12,-1778.55908203125,166
13.8301,167,835000,20.9941,2738.18,3222.2,-1662.629150390625,167
14.4265,168,840000,21.4934,2182.58,3209.6,-1876.1678466796875,168
13.3552,169,845000,21.336,3257.57,3204.09,-1760.53271484375,169
12.3033,170,850000,20.2495,2655.09,3202.69,-1375.7515869140625,170
14.928,171,855000,20.9543,2477.06,3272.03,-1876.32666015625,171
12.8637,172,860000,22.2393,2276.03,2671.21,-1941.829345703125,172
14.0456,173,865000,22.7035,3160.96,3289.38,-1787.36865234375,173
15.3741,174,870000,21.7977,3138.45,3156.15,-1591.0947265625,174
13.9473,175,875000,21.0943,3151.88,3162.38,-1423.814453125,175
15.1179,176,880000,21.0924,2969.41,3276.7,-1835.826904296875,176
13.2717,177,885000,22.0672,3072.41,3223.87,-1839.67333984375,177
14.7629,178,890000,20.8965,2779.93,3232.99,-1875.454345703125,178
12.507,179,895000,22.5428,2733.55,2457.73,-2291.211669921875,179
15.9528,180,900000,21.6412,2728.92,2687.32,-2256.336181640625,180
13.5485,181,905000,22.3285,2149.18,3310.56,-2491.321044921875,181
11.5812,182,910000,22.1036,1713.1,1736.98,-2320.642578125,182
13.1948,183,915000,21.7456,2405.98,3131.4,-2446.499755859375,183
12.9293,184,920000,21.6315,2691.17,3450.5,-2053.143310546875,184
12.3708,185,925000,22.7156,1752.03,1367.57,-2413.78173828125,185
12.3866,186,930000,22.4717,2064.56,2157.27,-2324.6806640625,186
13.1655,187,935000,22.8674,2098.76,1490.92,-2664.729248046875,187
12.6015,188,940000,22.6461,1737.14,2349.3,-2527.201171875,188
12.2595,189,945000,22.0335,2605.75,3009.92,-2023.3428955078125,189
11.8977,190,950000,21.8799,2793.92,3210.38,-2372.06201171875,190
12.2436,191,955000,22.2866,2037.31,2595.31,-2558.1865234375,191
12.2839,192,960000,22.7595,1803.05,1388.36,-2481.668212890625,192
11.9324,193,965000,22.6273,1834.22,1575.77,-2478.45556640625,193
12.3006,194,970000,22.7024,2099.77,1318.87,-2432.451171875,194
12.8545,195,975000,22.5506,2170.62,1285.15,-2451.73583984375,195
12.185,196,980000,21.7198,2557.79,1524.35,-2409.935302734375,196
12.8892,197,985000,22.6629,2045.79,2372.89,-2673.40283203125,197
13.4395,198,990000,22.7559,1824.0,2198.19,-2830.852783203125,198
13.5833,199,995000,22.4283,2328.65,3057.15,-2913.746826171875,199
