Real Sto Return,Reward Loss,Running Update Time,Itration,Running Env Steps,Running Reverse KL,Real Det Return,Running Forward KL
901.78,-10124.119140625,49,49,245000,278.7122,693.64,353.6837
918.5,-10226.8330078125,50,50,250000,291.1635,556.75,391.2599
1108.0,-10205.0263671875,51,51,255000,265.2499,633.76,345.6361
1417.39,-9897.1640625,52,52,260000,260.8199,666.94,326.6604
1657.59,-10476.1640625,53,53,265000,283.8272,840.94,332.1408
1305.82,-10755.703125,54,54,270000,290.5911,756.68,344.718
1546.73,-9859.515625,55,55,275000,247.6496,1008.64,356.6958
923.39,-10603.0361328125,56,56,280000,271.3459,530.28,355.7047
2291.77,-7443.92041015625,57,57,285000,171.7017,672.57,319.5295
1982.02,-9032.19921875,58,58,290000,211.625,793.82,324.2443
2721.76,-7091.3193359375,59,59,295000,172.2736,4096.86,311.4398
3382.68,-7646.78369140625,60,60,300000,180.4748,4455.58,313.2724
2287.36,-6473.12109375,61,61,305000,203.9334,1079.79,302.8035
2591.12,-9543.4111328125,62,62,310000,228.9079,696.19,335.0765
2627.76,-8253.365234375,63,63,315000,191.5723,3559.74,324.382
2137.56,-8310.1162109375,64,64,320000,177.0998,3619.69,321.3369
1902.51,-9808.09375,65,65,325000,248.8729,2298.16,337.927
2241.9,-8666.2158203125,66,66,330000,208.3321,531.04,326.7406
3813.37,-5616.8466796875,67,67,335000,142.3226,1961.65,309.4325
2841.31,-6728.1142578125,68,68,340000,180.0774,850.83,314.1219
2974.69,-7773.55517578125,69,69,345000,192.054,2532.3,319.4349
2437.78,-8309.4755859375,70,70,350000,188.9342,532.9,317.0255
2928.16,-7987.79833984375,71,71,355000,218.6176,432.19,315.903
3686.18,-5408.18408203125,72,72,360000,163.8057,940.25,311.1
4476.72,-4622.12548828125,73,73,365000,121.8811,454.72,300.1742
3344.88,-9571.923828125,74,74,370000,244.0472,443.34,320.3618
4323.43,-3573.07861328125,75,75,375000,129.0952,1765.21,306.1991
3450.73,-5614.103515625,76,76,380000,143.2659,492.63,305.2794
4272.63,-5060.7451171875,77,77,385000,129.6607,2233.26,300.7517
4524.71,-3924.03466796875,78,78,390000,119.2252,1498.83,300.2622
2559.07,-8389.2548828125,79,79,395000,201.1512,1694.69,330.8359
4472.16,-5159.92333984375,80,80,400000,128.5112,478.87,296.879
2925.85,-8599.8740234375,81,81,405000,213.9107,454.98,307.8119
4354.54,-5588.56298828125,82,82,410000,108.4074,701.5,298.1966
3564.03,-7785.67919921875,83,83,415000,185.9562,2134.92,301.1617
4040.19,-4809.69677734375,84,84,420000,125.6809,470.63,297.4575
4118.17,-5830.5029296875,85,85,425000,130.3759,481.7,294.6737
3532.47,-4797.67626953125,86,86,430000,122.1125,454.3,291.9737
2997.29,-8956.15625,87,87,435000,216.513,442.86,303.7149
2478.5,-7078.64453125,88,88,440000,168.8269,403.91,298.0523
2626.14,-8249.1025390625,89,89,445000,195.2761,458.37,305.1955
4290.92,-6569.5126953125,90,90,450000,140.7562,4151.32,309.3817
3866.4,-4398.39111328125,91,91,455000,100.3117,1006.86,283.0514
3848.97,-6942.07080078125,92,92,460000,157.1506,421.82,300.9593
3288.08,-6356.44482421875,93,93,465000,150.2393,574.51,291.0565
3615.41,-7956.00341796875,94,94,470000,242.6242,493.66,297.1563
3489.57,-6409.513671875,95,95,475000,125.7003,528.4,286.275
3353.49,-8880.9287109375,96,96,480000,179.7939,535.3,301.8524
3989.34,-5828.67529296875,97,97,485000,101.1862,1275.54,290.2109
2577.69,-11975.6826171875,98,98,490000,296.9395,653.43,323.4321
5054.16,-5578.5283203125,99,99,495000,100.7975,1506.09,286.5659
4510.38,-7041.49267578125,100,100,500000,110.5325,3846.33,284.6686
4010.55,-10170.9677734375,101,101,505000,202.3869,2604.99,307.5699
2143.54,-11132.9228515625,102,102,510000,213.2505,697.67,333.1531
2748.25,-8407.9765625,103,103,515000,128.9108,1352.78,297.1345
4080.18,-9307.7451171875,104,104,520000,158.8421,1090.02,305.235
3091.95,-9240.71875,105,105,525000,144.5752,613.13,301.784
4892.87,-6754.16748046875,106,106,530000,84.634,712.03,288.2303
3577.63,-7411.19140625,107,107,535000,96.9142,1204.32,293.5624
5196.52,-8903.9462890625,108,108,540000,130.7806,4522.77,299.1368
4533.41,-6984.37646484375,109,109,545000,94.8449,1829.76,281.0336
5144.17,-7165.9228515625,110,110,550000,96.487,4851.43,286.1657
4752.31,-7172.6875,111,111,555000,96.6823,5412.6,289.6579
4000.68,-9115.009765625,112,112,560000,135.4627,4804.59,303.5626
4347.68,-7850.1640625,113,113,565000,99.8805,1457.67,298.4747
4610.59,-7282.29638671875,114,114,570000,90.572,4189.97,283.782
4757.87,-8727.951171875,115,115,575000,121.5836,3238.98,302.0215
4941.24,-7717.68017578125,116,116,580000,82.4873,2559.6,278.7692
5127.53,-8101.26953125,117,117,585000,76.6602,5360.59,283.3851
4535.28,-9213.2861328125,118,118,590000,126.9556,923.24,289.8405
5170.68,-8298.0556640625,119,119,595000,80.6887,4379.28,277.3813
4730.38,-9535.5859375,120,120,600000,110.6865,5057.25,299.7864
4883.48,-9864.92578125,121,121,605000,119.474,1880.64,293.5862
4811.34,-9862.611328125,122,122,610000,141.1101,4782.1,292.5486
4855.73,-10932.4306640625,123,123,615000,192.3251,4102.96,312.6272
3945.98,-10479.248046875,124,124,620000,192.6872,3952.96,310.4234
4250.31,-10794.8095703125,125,125,625000,133.5122,3444.17,301.5732
4068.99,-9663.392578125,126,126,630000,92.3709,1018.5,294.0952
3864.87,-11193.6640625,127,127,635000,166.6387,1976.38,306.3731
4802.5,-11114.3466796875,128,128,640000,138.8477,3413.44,309.7276
4634.71,-9488.541015625,129,129,645000,89.8321,2800.57,286.1271
4804.04,-10199.9462890625,130,130,650000,100.5784,5226.49,298.6789
5065.35,-9808.072265625,131,131,655000,78.0736,4161.2,288.4008
4812.15,-10747.9384765625,132,132,660000,101.1894,5277.51,299.2881
4511.32,-11139.4287109375,133,133,665000,111.6364,1949.99,300.7715
4261.42,-11086.822265625,134,134,670000,93.542,3773.19,294.3304
4739.93,-10000.8125,135,135,675000,93.1347,2874.54,289.9617
4799.52,-10643.345703125,136,136,680000,81.3028,5323.26,287.0073
4916.58,-11625.4990234375,137,137,685000,120.8031,5043.99,296.5387
4948.8,-11740.068359375,138,138,690000,105.3998,4386.88,295.6839
4060.4,-10454.9609375,139,139,695000,92.4824,5343.36,284.3612
4078.75,-10783.3779296875,140,140,700000,82.5475,4879.94,285.7484
4079.89,-11234.310546875,141,141,705000,96.5816,4172.15,283.57
4930.59,-11683.044921875,142,142,710000,94.0507,5383.1,299.0884
4813.17,-12033.328125,143,143,715000,142.135,5374.31,299.6973
4722.14,-11974.1884765625,144,144,720000,118.484,1823.25,288.6376
4732.29,-11901.302734375,145,145,725000,101.2857,5267.33,297.0204
5141.59,-11779.6103515625,146,146,730000,83.7641,5337.92,280.095
5003.57,-11540.7861328125,147,147,735000,89.1969,4835.39,298.9687
4538.12,-12423.517578125,148,148,740000,96.7511,3618.17,289.0796
4850.41,-11589.3857421875,149,149,745000,85.1166,4586.35,283.1806
4866.38,-12729.234375,150,150,750000,97.8043,5358.29,290.6426
4991.44,-11667.171875,151,151,755000,74.2248,5351.88,276.4494
5031.28,-12383.384765625,152,152,760000,83.1682,5290.14,282.7461
4968.27,-12412.3017578125,153,153,765000,80.6537,5391.8,292.4278
4567.89,-12707.138671875,154,154,770000,96.107,1117.97,289.7361
4256.97,-12801.515625,155,155,775000,100.3922,2150.26,282.3043
4482.44,-12625.017578125,156,156,780000,77.4664,4271.65,282.0676
5199.34,-12725.9599609375,157,157,785000,103.8077,3864.19,287.0931
4997.78,-13333.677734375,158,158,790000,123.4815,3090.91,286.6405
4873.5,-12528.162109375,159,159,795000,79.6001,4419.86,285.3256
4418.75,-13601.8330078125,160,160,800000,154.5995,2995.15,293.7215
4904.17,-13224.7490234375,161,161,805000,82.3887,4045.15,284.2529
4664.82,-13557.8818359375,162,162,810000,77.0363,5151.68,282.2
4883.93,-13133.609375,163,163,815000,101.3897,2874.42,285.8528
4882.46,-13345.5546875,164,164,820000,80.1158,3422.11,280.6885
4866.61,-14104.4658203125,165,165,825000,101.0967,5260.57,292.0821
4925.4,-13747.650390625,166,166,830000,79.6882,5350.5,284.0231
5053.61,-14327.0107421875,167,167,835000,128.4129,4506.16,292.8139
4606.13,-13816.3095703125,168,168,840000,96.1992,1606.41,284.9003
4633.03,-14462.982421875,169,169,845000,103.2305,5418.21,296.1154
4749.74,-14310.6064453125,170,170,850000,91.4272,3461.7,292.5729
5158.09,-14288.162109375,171,171,855000,102.5404,4871.07,287.2731
4996.61,-14970.7236328125,172,172,860000,112.3574,5441.32,301.2505
5215.43,-14091.65234375,173,173,865000,95.6448,5412.97,296.7054
5175.58,-14609.865234375,174,174,870000,89.2853,3618.12,295.9935
4286.29,-13929.5322265625,175,175,875000,98.2477,1172.05,290.7041
4965.67,-14159.0791015625,176,176,880000,96.4914,993.59,283.3714
4736.49,-14197.833984375,177,177,885000,84.5498,4090.58,283.9324
4738.94,-15112.123046875,178,178,890000,112.9155,5338.73,300.2431
4087.04,-14350.98828125,179,179,895000,87.9652,3400.03,288.7233
4441.5,-14498.11328125,180,180,900000,77.4023,5302.49,277.3143
5062.86,-15034.587890625,181,181,905000,93.6374,5330.99,289.252
3534.01,-15046.1669921875,182,182,910000,133.798,3449.14,301.9674
4718.05,-15234.298828125,183,183,915000,89.6932,5402.48,291.6409
4601.39,-15095.3388671875,184,184,920000,82.4683,5183.78,281.2844
3662.52,-15452.2177734375,185,185,925000,172.2171,708.14,300.3506
5163.97,-14966.4599609375,186,186,930000,79.4519,4885.83,286.0995
4937.29,-15046.8388671875,187,187,935000,82.2509,5119.0,287.5303
5173.35,-15192.30078125,188,188,940000,80.5625,5329.08,286.5363
5186.45,-15154.859375,189,189,945000,83.4366,5073.95,278.5278
4084.28,-15978.2919921875,190,190,950000,140.1799,5162.77,297.9638
3981.27,-15686.3935546875,191,191,955000,97.067,4492.87,290.7544
5146.67,-16194.1259765625,192,192,960000,125.7539,4773.84,304.5001
4192.12,-16391.349609375,193,193,965000,209.1179,5126.58,310.9316
4405.56,-15919.4873046875,194,194,970000,124.8412,4863.72,286.5822
4631.25,-15322.73828125,195,195,975000,132.8159,5445.32,292.333
5047.75,-15906.998046875,196,196,980000,81.4087,5387.48,283.3591
4977.92,-15849.9892578125,197,197,985000,89.2238,5142.98,281.8711
4862.46,-15990.2099609375,198,198,990000,104.7085,4666.9,287.6758
4772.55,-15885.5185546875,199,199,995000,109.5948,3856.73,284.9644
3710.91,-16479.5,200,200,1000000,201.2066,2370.65,299.262
4712.45,-16419.7265625,201,201,1005000,115.7031,4475.72,285.5014
4795.6,-16494.025390625,202,202,1010000,89.9717,5082.88,287.373
3106.98,-16813.435546875,203,203,1015000,214.3257,749.58,308.502
2598.13,-16927.5546875,204,204,1020000,160.4416,1085.89,301.6375
4103.82,-15998.9951171875,205,205,1025000,108.6536,3543.62,286.1237
2629.15,-16479.830078125,206,206,1030000,107.2581,3087.58,289.7087
4803.86,-16438.705078125,207,207,1035000,86.5681,5380.25,281.5015
4726.95,-16467.91796875,208,208,1040000,130.7889,4592.4,287.1233
3532.53,-16812.85546875,209,209,1045000,166.0859,5147.48,299.8416
4637.22,-16568.197265625,210,210,1050000,81.7771,5350.17,281.6038
4789.92,-16336.8603515625,211,211,1055000,106.6309,5110.74,280.1195
4130.55,-16489.45703125,212,212,1060000,116.6706,4989.19,286.241
3034.37,-16794.28515625,213,213,1065000,197.6185,1543.28,304.2337
4553.64,-16655.28515625,214,214,1070000,100.3291,4855.73,284.0901
4845.32,-16745.267578125,215,215,1075000,102.5646,4981.52,286.757
5209.45,-16454.34765625,216,216,1080000,79.4789,5419.21,279.6595
5302.49,-16498.984375,217,217,1085000,79.5273,5400.25,283.6884
4954.91,-16674.14453125,218,218,1090000,98.7025,4445.3,281.5365
4757.16,-16821.666015625,219,219,1095000,83.2127,4954.66,280.5632
4978.73,-16334.4326171875,220,220,1100000,79.3999,4684.26,277.9401
4992.02,-16715.771484375,221,221,1105000,73.4416,5171.67,278.5453
4836.84,-16508.603515625,222,222,1110000,78.7453,3328.65,276.6011
4754.89,-16707.9765625,223,223,1115000,80.5356,5118.94,280.393
4346.5,-16370.4609375,224,224,1120000,83.1502,5386.44,276.1858
5233.8,-16881.658203125,225,225,1125000,88.7151,4490.66,282.0382
4137.91,-16682.171875,226,226,1130000,99.7764,5291.78,281.3398
3760.38,-16746.279296875,227,227,1135000,127.0801,4623.72,291.3665
3942.61,-16776.431640625,228,228,1140000,89.3154,4165.45,281.5383
4562.91,-17041.15625,229,229,1145000,83.2101,2133.25,283.5519
5166.97,-17033.431640625,230,230,1150000,109.7184,3974.73,288.7924
4135.24,-16858.298828125,231,231,1155000,110.3458,2958.7,290.6107
3579.44,-16665.099609375,232,232,1160000,84.5298,2591.42,281.4246
5155.77,-17137.904296875,233,233,1165000,94.2202,4439.31,283.5267
5249.9,-16941.74609375,234,234,1170000,79.7392,5385.99,275.9333
5210.36,-16413.4375,235,235,1175000,100.9282,5381.34,283.6632
4694.46,-17120.84765625,236,236,1180000,70.7025,2999.09,276.7405
5052.67,-17106.873046875,237,237,1185000,73.1862,4570.37,273.5369
5147.3,-17514.791015625,238,238,1190000,99.1514,4910.55,285.1248
5172.52,-16808.013671875,239,239,1195000,113.4426,5069.05,294.7614
4822.09,-17485.408203125,240,240,1200000,111.3053,4839.96,293.3528
2507.57,-16631.095703125,241,241,1205000,202.6099,3831.4,328.647
3905.35,-17112.611328125,242,242,1210000,105.857,1691.55,291.1335
4793.54,-17211.365234375,243,243,1215000,127.8136,3225.4,299.4372
2950.43,-16584.291015625,244,244,1220000,151.1627,850.89,309.7905
3686.93,-17637.427734375,245,245,1225000,121.9008,4764.78,299.6582
3482.94,-17762.51171875,246,246,1230000,108.7314,5060.88,301.1762
3454.06,-17715.3984375,247,247,1235000,127.1746,4512.61,308.5271
1730.36,-16733.86328125,248,248,1240000,213.0891,1591.98,338.6174
1329.99,-16729.009765625,249,249,1245000,221.944,2003.62,329.9833
1828.6,-17630.013671875,250,250,1250000,177.2843,2146.31,334.3453
677.38,-17356.47265625,251,251,1255000,234.7676,464.87,369.1613
803.73,-17476.5546875,252,252,1260000,208.8973,866.51,382.5128
752.17,-17680.912109375,253,253,1265000,272.3082,665.82,441.9077
722.08,-17881.8515625,254,254,1270000,255.8821,687.96,395.84
654.64,-17699.69140625,255,255,1275000,238.0428,566.99,424.6854
595.87,-17095.439453125,256,256,1280000,259.6905,484.75,463.5494
530.3,-17510.85546875,257,257,1285000,308.47,575.5,429.4582
578.9,-18021.0234375,258,258,1290000,296.695,633.62,415.6398
612.64,-18243.1953125,259,259,1295000,326.9026,763.2,392.1583
468.48,-17955.775390625,260,260,1300000,317.1953,404.04,400.3585
440.5,-17978.296875,261,261,1305000,286.8063,447.27,443.4197
433.72,-17516.62109375,262,262,1310000,313.751,410.41,460.1128
329.85,-18020.11328125,263,263,1315000,314.4978,349.43,440.2985
449.9,-18038.44140625,264,264,1320000,299.2278,549.99,410.8038
