Running Update Time,Itration,Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
122,122,-1504.5009765625,610000,67.4435,80.0863,4277.66,5449.08
123,123,-1573.593505859375,615000,66.3484,80.0144,5036.59,5426.47
124,124,-1554.313232421875,620000,68.3517,78.5527,4815.11,5160.62
125,125,-1608.1180419921875,625000,71.2297,81.3947,5143.63,5456.15
126,126,-1626.445556640625,630000,64.4999,72.52,5027.98,5158.32
127,127,-1616.096923828125,635000,66.8632,76.2589,4141.88,5306.62
128,128,-1682.619384765625,640000,76.413,80.8045,4728.93,5351.99
129,129,-1703.9786376953125,645000,68.991,76.2526,5163.8,5462.2
130,130,-1749.3565673828125,650000,69.5752,81.2634,4626.69,5351.88
131,131,-1722.3956298828125,655000,64.0659,75.3032,5097.51,5503.0
132,132,-1806.987060546875,660000,75.5849,82.0112,5174.35,5549.97
133,133,-1789.8712158203125,665000,66.5513,73.7466,5256.11,5637.25
134,134,-1837.0130615234375,670000,67.4646,75.5605,5154.4,4825.04
135,135,-1911.2210693359375,675000,73.2741,80.5973,5404.87,5541.45
136,136,-1921.245849609375,680000,71.8933,81.8555,5115.89,4973.79
137,137,-1917.5401611328125,685000,70.1352,78.5215,5115.69,5205.83
138,138,-1974.7733154296875,690000,70.9945,78.9225,4846.43,5668.84
139,139,-2035.858154296875,695000,75.8467,81.6679,4538.44,5393.23
140,140,-2082.247802734375,700000,79.768,83.474,4793.85,5446.39
141,141,-2095.408935546875,705000,79.7919,85.4994,4760.26,4917.83
142,142,-2115.7646484375,710000,79.2026,84.1792,4575.8,5342.52
143,143,-2195.919921875,715000,76.668,82.6311,4850.08,5437.3
144,144,-2185.9970703125,720000,72.4923,79.5849,5051.72,5676.23
145,145,-2179.1201171875,725000,74.72,79.9576,4615.73,5015.56
146,146,-2225.516357421875,730000,74.5552,79.4561,5401.57,5655.11
147,147,-2135.856689453125,735000,58.0179,70.4933,4957.23,5725.9
148,148,-2325.662353515625,740000,74.7363,81.8798,4586.22,5312.42
149,149,-2323.1376953125,745000,71.5054,79.3383,4491.37,5612.87
150,150,-2397.3037109375,750000,72.2548,78.815,4836.1,5587.52
151,151,-2436.74560546875,755000,79.3563,81.7361,5328.53,5669.33
152,152,-2480.22265625,760000,81.5328,83.8174,5212.09,5426.02
153,153,-2534.125,765000,74.3905,80.276,5298.93,5453.05
154,154,-2527.5458984375,770000,72.6446,79.8333,5312.19,5819.45
155,155,-2592.847412109375,775000,80.755,84.277,4875.48,5701.62
156,156,-2542.985107421875,780000,68.6653,73.9044,5018.18,5713.23
157,157,-2620.083740234375,785000,70.103,77.221,5020.8,5574.14
158,158,-2688.35400390625,790000,70.3363,78.8522,5167.04,5603.23
159,159,-2734.49609375,795000,78.3179,83.0844,4866.37,5769.91
160,160,-2654.74658203125,800000,67.2728,74.1676,5286.63,5558.74
161,161,-2849.69091796875,805000,75.239,81.7227,5259.27,5516.46
162,162,-2847.79345703125,810000,73.0294,78.696,5081.82,5364.86
163,163,-2855.1201171875,815000,65.25,79.1211,4744.9,5716.46
164,164,-2966.10009765625,820000,78.2274,81.6031,4867.9,5765.48
165,165,-2918.119873046875,825000,72.2193,80.1285,4286.47,4880.25
166,166,-2950.149658203125,830000,72.9064,74.9399,5011.76,5717.81
167,167,-3057.9912109375,835000,78.4078,80.7261,4585.34,5393.28
168,168,-3149.47705078125,840000,78.6286,81.146,5239.07,5713.41
169,169,-3083.9921875,845000,67.1563,74.1538,5256.89,5224.6
170,170,-3260.991943359375,850000,76.1517,81.8896,5028.24,5591.36
171,171,-3268.399658203125,855000,80.5311,82.6288,5140.62,5670.51
172,172,-3217.406494140625,860000,66.7198,72.5759,5438.51,5373.9
173,173,-3292.447509765625,865000,74.7003,80.99,4643.32,5317.15
174,174,-3351.160888671875,870000,70.9902,81.3269,4147.64,5507.11
175,175,-3371.349853515625,875000,71.8982,79.4982,4632.04,5517.13
176,176,-3400.24951171875,880000,71.0723,78.6259,4818.17,5576.53
177,177,-3525.8076171875,885000,72.6524,78.7446,5578.6,5815.97
178,178,-3609.177490234375,890000,76.724,81.9051,5126.1,5419.68
179,179,-3665.784423828125,895000,77.9042,82.4639,5149.11,5600.89
180,180,-3756.28564453125,900000,77.6026,82.863,5478.3,5892.9
181,181,-3719.7197265625,905000,73.8606,79.6173,4978.25,5273.38
182,182,-3872.101318359375,910000,75.1643,81.5465,5147.58,5828.47
183,183,-3772.5869140625,915000,76.2921,80.7037,4495.13,4792.32
184,184,-3852.808837890625,920000,72.4268,78.4773,4980.83,5411.07
185,185,-3919.62060546875,925000,70.5562,78.7039,5367.51,5601.24
186,186,-4033.238525390625,930000,83.3975,85.0089,5097.0,5832.74
187,187,-3979.517578125,935000,72.0415,77.909,5025.13,5726.53
188,188,-4087.740478515625,940000,81.4457,83.7767,5382.14,5170.51
189,189,-4084.967529296875,945000,71.166,79.6739,4995.25,5890.77
190,190,-4212.798828125,950000,75.0108,80.8841,4593.38,5758.73
191,191,-4281.7705078125,955000,71.7882,79.3867,4729.92,5585.71
192,192,-4372.31640625,960000,74.3031,81.7961,5490.74,5659.87
193,193,-4263.87109375,965000,64.6762,75.9434,5240.5,5692.36
194,194,-4287.36669921875,970000,72.8729,76.2338,4876.89,5805.99
195,195,-4312.61181640625,975000,75.3044,74.6671,5159.13,5743.57
196,196,-4492.10546875,980000,71.3508,77.9995,5181.04,5876.99
197,197,-4566.8095703125,985000,77.1334,81.8176,4733.32,5172.71
198,198,-4664.3564453125,990000,78.555,80.3699,5182.32,5854.95
199,199,-4797.7490234375,995000,79.7396,82.7413,5215.37,5634.28
200,200,-4831.69482421875,1000000,82.5635,82.396,4713.05,5543.23
201,201,-4892.8271484375,1005000,80.4596,79.9719,5424.64,5643.77
202,202,-4970.3671875,1010000,80.2824,81.5223,5336.05,5431.79
203,203,-4973.640625,1015000,80.6422,82.9976,5281.91,5847.84
204,204,-5036.74169921875,1020000,82.1252,81.7188,4689.15,5206.7
205,205,-5041.193359375,1025000,72.2293,75.3966,5050.01,5552.23
206,206,-5166.77099609375,1030000,76.0698,80.2505,4948.34,5051.68
207,207,-5050.640625,1035000,70.1664,74.1108,4934.27,5423.61
208,208,-5263.708984375,1040000,82.1249,83.2229,4697.01,4472.7
209,209,-5374.58154296875,1045000,86.8163,83.9795,5438.99,5794.3
210,210,-5340.38525390625,1050000,78.7669,81.4739,5194.67,5756.03
211,211,-5386.92822265625,1055000,76.8716,80.3307,4719.8,5600.42
212,212,-5434.62109375,1060000,82.756,85.9553,4839.37,5578.65
213,213,-5500.685546875,1065000,78.9375,78.5809,5160.34,5546.53
214,214,-5624.8427734375,1070000,81.7103,83.8328,4648.44,5758.27
215,215,-5714.060546875,1075000,78.7791,78.4376,5293.66,5338.05
216,216,-5793.48291015625,1080000,86.0097,83.5864,5219.53,5485.13
217,217,-5665.30224609375,1085000,79.889,74.3899,4680.44,5802.86
218,218,-5948.96337890625,1090000,82.0021,83.2739,5446.47,5945.1
219,219,-5981.98193359375,1095000,80.9716,80.5711,5563.26,5483.12
220,220,-6111.2919921875,1100000,82.8375,83.5198,5234.42,5889.33
221,221,-6132.291015625,1105000,79.9576,82.5946,5146.37,5949.18
222,222,-6198.0986328125,1110000,83.3436,84.6628,4845.2,5446.38
223,223,-6264.6044921875,1115000,84.104,85.0444,4830.29,5571.73
224,224,-6384.1162109375,1120000,82.5585,82.2908,5386.83,5941.02
225,225,-6007.119140625,1125000,72.0964,73.2506,4495.69,5564.23
226,226,-6383.45703125,1130000,82.9537,82.6604,5256.27,5801.93
227,227,-6469.767578125,1135000,79.6948,78.7686,5605.22,5763.52
228,228,-6605.8203125,1140000,80.629,83.8501,4813.74,5882.25
229,229,-6592.7783203125,1145000,77.3103,79.3668,5159.29,5629.18
230,230,-6707.0205078125,1150000,80.6313,84.2563,5308.33,5828.9
231,231,-6805.61328125,1155000,81.4703,82.3555,5653.7,5991.84
232,232,-6717.6748046875,1160000,86.0603,82.5217,4456.81,5462.49
233,233,-6831.263671875,1165000,84.9456,82.275,4841.15,5517.5
234,234,-6913.52197265625,1170000,81.7907,82.5583,5542.4,5892.51
235,235,-6905.1982421875,1175000,80.8389,82.8101,5127.94,5799.95
236,236,-7011.79052734375,1180000,86.3756,85.4965,4835.99,5819.67
237,237,-6970.82568359375,1185000,79.0512,82.2222,5032.79,5663.93
238,238,-7058.9287109375,1190000,82.6187,83.4741,4534.24,5215.33
239,239,-6963.15087890625,1195000,78.2449,76.7014,5628.82,5968.5
240,240,-7236.48974609375,1200000,83.2569,84.2927,5521.04,5537.57
241,241,-7342.734375,1205000,83.1251,84.4534,5331.05,5780.79
242,242,-7344.7822265625,1210000,79.9552,82.375,5197.85,5942.12
243,243,-7479.7373046875,1215000,84.0965,85.6256,4587.83,5755.75
244,244,-7439.74755859375,1220000,81.6817,83.0224,4887.47,5548.12
245,245,-7347.4111328125,1225000,79.2284,79.9643,5128.68,5634.59
246,246,-7548.81103515625,1230000,83.4253,82.4762,5457.59,5976.34
247,247,-7542.91552734375,1235000,87.1402,86.5934,4791.51,5512.42
248,248,-7681.85888671875,1240000,85.7693,83.8103,5448.69,5692.71
249,249,-6986.8916015625,1245000,69.648,73.3229,4643.41,5338.39
250,250,-7765.8583984375,1250000,83.4103,84.3324,5285.14,5696.12
251,251,-7388.57177734375,1255000,70.9304,75.0189,4928.2,5720.56
252,252,-7780.232421875,1260000,82.0053,82.7586,5129.38,5272.64
253,253,-7926.5703125,1265000,83.4581,84.3973,5041.0,5714.38
254,254,-7952.93994140625,1270000,81.2037,83.9674,5658.81,5279.24
255,255,-8012.939453125,1275000,79.4231,83.4696,5400.64,5932.74
256,256,-8140.0068359375,1280000,81.7714,84.3468,5651.65,5781.26
257,257,-8097.1279296875,1285000,79.2369,83.4794,5115.01,5995.34
258,258,-8220.5546875,1290000,85.5951,86.456,4576.7,5880.74
259,259,-8187.63818359375,1295000,77.9355,82.7742,5210.27,6063.07
260,260,-8101.6015625,1300000,78.2968,81.7643,5255.01,5142.55
261,261,-8289.076171875,1305000,80.9782,83.804,5329.6,5889.92
262,262,-8442.037109375,1310000,86.5095,86.8298,5542.33,5736.51
263,263,-8418.751953125,1315000,83.177,83.3849,4797.51,5640.52
264,264,-7984.7685546875,1320000,76.7522,76.3565,4355.44,5812.27
265,265,-8354.623046875,1325000,85.4863,85.928,4612.46,4513.11
266,266,-8502.9677734375,1330000,79.9802,83.6323,5367.51,5954.11
267,267,-8523.830078125,1335000,81.6007,84.3021,4482.61,5298.7
268,268,-8476.0703125,1340000,77.4527,84.1385,4522.42,5463.4
269,269,-8521.6669921875,1345000,72.6152,80.3228,4965.42,6030.66
270,270,-8744.8173828125,1350000,80.6712,84.3448,4738.03,5702.86
271,271,-8621.6552734375,1355000,79.141,83.7363,4351.46,5654.67
272,272,-8809.8203125,1360000,79.4044,83.2254,5401.25,5554.28
273,273,-8712.169921875,1365000,77.6541,81.4265,4740.04,5824.73
274,274,-8884.4677734375,1370000,78.1006,82.6494,5654.33,5794.91
275,275,-8987.8466796875,1375000,79.0039,83.6213,5015.39,5773.88
276,276,-8979.998046875,1380000,81.5409,84.2584,4562.15,5735.99
277,277,-8944.59375,1385000,79.1263,81.8609,5323.36,5876.19
278,278,-9168.150390625,1390000,80.4326,84.2741,5624.57,5689.66
279,279,-9098.140625,1395000,83.3449,83.9988,4836.08,5721.28
280,280,-9262.0830078125,1400000,79.3992,83.3165,5702.22,6000.23
281,281,-9300.0009765625,1405000,82.1266,84.3277,5572.16,5560.63
282,282,-9206.9130859375,1410000,75.8155,82.577,4935.38,5488.2
283,283,-8996.0517578125,1415000,74.2096,75.3002,4919.79,5927.18
284,284,-9076.099609375,1420000,71.3969,77.0193,5612.82,5941.49
285,285,-9413.572265625,1425000,79.0416,81.7872,4640.73,5514.86
286,286,-9567.298828125,1430000,78.7535,83.052,4643.14,5869.98
287,287,-9498.044921875,1435000,76.5128,80.6932,5008.43,5373.6
288,288,-9720.9833984375,1440000,82.254,84.7684,5318.18,5691.23
289,289,-9623.044921875,1445000,79.2342,83.0905,5033.78,5444.42
290,290,-9751.0234375,1450000,77.1069,82.26,5522.0,6064.2
291,291,-9179.4951171875,1455000,70.7278,77.373,4784.8,6072.22
292,292,-9673.7216796875,1460000,78.2973,81.9068,4859.41,5996.28
293,293,-9865.3828125,1465000,77.8265,82.3928,5528.29,5797.58
294,294,-9817.9970703125,1470000,73.6955,80.8317,4711.38,5668.76
295,295,-9899.9306640625,1475000,76.3809,81.4883,5073.84,5616.82
296,296,-9845.0107421875,1480000,75.6058,82.5813,3919.92,4922.89
297,297,-10160.0419921875,1485000,82.1671,84.1682,5304.4,5824.12
298,298,-10045.6884765625,1490000,81.0987,82.884,4553.29,5762.16
299,299,-10013.0048828125,1495000,73.9639,80.2222,3723.74,5574.48
300,300,-9583.66796875,1500000,72.7355,76.9543,5152.09,5367.52
301,301,-10180.498046875,1505000,78.2144,80.8191,4329.36,5657.8
302,302,-10224.2587890625,1510000,81.6263,84.1402,4194.7,5606.51
303,303,-10254.2060546875,1515000,80.1594,82.1489,5293.2,5275.4
304,304,-10114.287109375,1520000,75.7309,79.4011,5258.19,5546.99
305,305,-9854.310546875,1525000,70.3762,75.6915,5664.21,5551.87
306,306,-10547.9697265625,1530000,78.338,83.0676,4717.4,5807.77
307,307,-10418.8076171875,1535000,74.6614,80.5902,5380.44,6103.07
308,308,-10438.9912109375,1540000,76.7991,80.4211,4228.25,6004.58
309,309,-9835.0771484375,1545000,67.5045,75.5451,4280.21,5819.42
310,310,-10486.5625,1550000,72.9402,82.2514,4779.66,5393.95
311,311,-10219.849609375,1555000,73.0526,78.841,4491.85,4929.84
312,312,-10118.1220703125,1560000,71.1937,75.4728,5280.33,5751.66
