Running Env Steps,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
635000,127,10358.72,144.9117,-14400.3984375,19.4096,10766.98,127
640000,128,10941.0,142.3688,-13386.5791015625,19.5789,11366.83,128
645000,129,10321.3,144.4391,-13826.62890625,18.0389,10916.06,129
650000,130,9594.85,143.8063,-14696.1689453125,16.8586,10046.99,130
655000,131,10759.99,142.9159,-14342.9921875,18.0172,11050.26,131
660000,132,10652.95,144.1339,-14029.869140625,19.9598,10877.02,132
665000,133,10840.66,141.9093,-13899.8037109375,18.5849,11177.55,133
670000,134,11034.11,142.6366,-14154.7734375,18.8584,11379.6,134
675000,135,10918.29,142.7707,-13979.3212890625,19.819,11207.34,135
680000,136,10921.17,142.3665,-14120.279296875,19.694,11326.42,136
685000,137,9993.7,143.8889,-15013.572265625,18.1175,10749.82,137
690000,138,10898.26,143.0388,-14630.1572265625,19.4964,11387.5,138
695000,139,11081.49,142.8282,-14944.958984375,19.0081,11489.13,139
700000,140,10977.54,142.7527,-14548.29296875,18.6599,11372.42,140
705000,141,10934.2,143.1451,-14873.146484375,20.0863,11347.46,141
710000,142,9392.85,143.6821,-16663.103515625,17.437,10988.86,142
715000,143,11145.88,142.4572,-15608.990234375,18.5459,11420.06,143
720000,144,10635.36,142.0647,-15100.3779296875,19.3282,11155.16,144
725000,145,11143.07,143.3273,-15586.7275390625,20.4492,11450.95,145
730000,146,11060.92,142.1848,-15299.8564453125,19.3151,11411.03,146
735000,147,10684.07,142.8609,-15553.5966796875,18.6494,11174.56,147
740000,148,11011.49,143.3761,-16176.64453125,20.2312,11359.55,148
745000,149,11026.22,141.8036,-15090.3525390625,20.1643,11364.85,149
750000,150,10404.82,142.3426,-15837.7109375,19.3078,10616.17,150
755000,151,11074.07,142.818,-16185.1669921875,19.7207,11419.78,151
760000,152,11090.76,142.5454,-15763.2607421875,19.5088,11436.9,152
765000,153,11160.11,142.4644,-15206.4130859375,19.3092,11446.12,153
770000,154,10977.74,142.7899,-16239.9638671875,20.6097,11295.62,154
775000,155,10599.54,142.2528,-16297.716796875,19.0541,10780.24,155
780000,156,10850.93,142.6923,-16639.765625,17.726,11702.07,156
785000,157,9251.23,144.2613,-17382.525390625,17.7094,9043.43,157
790000,158,11372.73,142.438,-16556.47265625,20.1404,11681.91,158
795000,159,11258.14,142.3331,-16612.208984375,19.4302,11391.2,159
800000,160,10989.41,141.25,-16388.927734375,18.9166,11677.24,160
805000,161,11463.95,142.137,-16635.142578125,19.323,11871.09,161
810000,162,11050.8,141.817,-16847.751953125,17.4904,11281.55,162
815000,163,11146.86,142.0811,-16938.748046875,19.374,11487.53,163
820000,164,11158.78,142.3208,-16848.52734375,19.1835,11613.5,164
825000,165,10928.68,143.3405,-17401.50390625,18.9837,11495.74,165
830000,166,11038.02,141.8636,-17523.86328125,19.7459,11303.69,166
835000,167,11208.96,142.3589,-17867.482421875,20.1778,11580.46,167
840000,168,11405.38,142.5417,-17688.662109375,18.2586,11850.93,168
845000,169,11372.21,142.5276,-18040.36328125,18.6342,11901.36,169
850000,170,10006.06,144.2558,-20285.498046875,15.3462,9138.58,170
855000,171,10859.99,141.2444,-17366.333984375,20.1322,11576.91,171
860000,172,11465.47,142.0449,-17339.177734375,19.5658,11843.85,172
865000,173,11443.79,142.0835,-17516.12109375,20.0742,11891.98,173
870000,174,11329.98,141.3386,-18890.521484375,20.3274,11646.5,174
875000,175,11042.64,141.4994,-17506.7109375,18.989,11536.03,175
880000,176,11350.19,141.1926,-18667.896484375,20.0421,11792.05,176
885000,177,11433.94,142.6625,-18751.8203125,20.3537,11821.61,177
890000,178,11463.35,141.3129,-18401.83984375,20.0975,11815.04,178
895000,179,11247.38,142.8257,-18871.96484375,19.2062,11235.05,179
900000,180,11150.0,142.0902,-18813.669921875,19.9202,11644.63,180
905000,181,11261.56,141.0838,-18176.24609375,20.4821,11653.29,181
