Itration,Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return
35,45.7,15.4237,-156.51983642578125,175000,35,2392.14,2581.18
36,45.438,22.0089,-140.0978240966797,180000,36,1815.67,2317.67
37,46.0046,13.3065,-49.6534423828125,185000,37,2232.36,2392.41
38,45.6154,13.9027,-143.8780059814453,190000,38,2544.92,2477.99
39,45.8662,14.8415,-137.58880615234375,195000,39,2607.47,2613.5
40,45.3784,14.4348,-123.8591079711914,200000,40,2521.09,2617.8
41,45.3383,13.6738,-152.1439208984375,205000,41,2501.95,2524.1
42,45.4261,13.742,-149.80679321289062,210000,42,2672.6,2747.49
43,45.3553,13.9463,-150.09286499023438,215000,43,2295.64,2233.38
44,44.8467,14.9945,-156.78549194335938,220000,44,2571.97,3023.35
45,44.8944,13.7202,-160.2056884765625,225000,45,2305.48,2685.18
46,44.2181,14.0031,-150.85739135742188,230000,46,2585.27,3144.39
47,44.9758,15.5633,-146.71978759765625,235000,47,2941.91,2943.35
48,44.8052,15.0979,-175.0100860595703,240000,48,2953.52,2847.57
49,44.2296,15.5134,-210.94003295898438,245000,49,2575.46,2723.66
50,44.8415,14.4496,-200.54391479492188,250000,50,3059.09,3010.51
51,44.785,15.6157,-194.58261108398438,255000,51,2988.72,2817.06
52,44.0153,15.3394,-197.53990173339844,260000,52,3007.19,2359.07
53,44.3794,16.5147,-178.43014526367188,265000,53,3197.76,3168.38
54,43.6605,14.3723,-210.21163940429688,270000,54,3230.59,3284.28
55,43.8659,15.6493,-216.36622619628906,275000,55,3267.06,3170.94
56,44.1605,15.8573,-232.0158233642578,280000,56,3210.3,3213.7
57,44.2996,15.3737,-204.09068298339844,285000,57,3262.41,3199.12
58,44.9713,17.4688,-212.9483184814453,290000,58,3120.78,3207.38
59,43.7809,15.7368,-248.80027770996094,295000,59,3311.91,3332.81
60,44.5751,14.5867,-236.4248046875,300000,60,3099.62,3082.25
61,43.8281,16.6613,-216.40750122070312,305000,61,3368.8,3210.12
62,44.2658,15.2921,-209.79759216308594,310000,62,3201.18,3104.35
63,42.6128,15.7718,-235.56378173828125,315000,63,3378.99,3522.29
64,43.0831,14.0388,-232.56263732910156,320000,64,3454.46,3427.63
65,43.5964,15.1546,-225.8291778564453,325000,65,3419.78,3329.46
66,42.78,14.7467,-236.5476531982422,330000,66,3500.89,3322.69
67,42.0952,14.14,-246.5252227783203,335000,67,3371.18,3518.0
68,42.8078,16.092,-255.16578674316406,340000,68,3508.53,3514.63
69,43.1376,15.7035,-248.5585174560547,345000,69,3441.59,3346.76
70,42.7632,14.7792,-236.30348205566406,350000,70,3561.37,3491.44
71,42.7742,15.0354,-268.63543701171875,355000,71,3459.35,3329.09
72,43.4697,15.8692,-272.5131530761719,360000,72,3326.39,3232.85
73,42.1952,14.7304,-254.0834197998047,365000,73,3602.08,3752.37
74,42.4269,14.3399,-270.6514892578125,370000,74,3602.69,3538.13
75,43.2338,17.6247,-268.36395263671875,375000,75,3478.75,3451.62
76,43.274,17.5184,-292.3112487792969,380000,76,3546.98,3494.17
77,42.2305,15.2597,-274.8212585449219,385000,77,3611.33,3488.3
78,42.2274,15.8841,-283.3111572265625,390000,78,3703.9,3554.47
79,42.0575,14.7805,-319.74774169921875,395000,79,3643.07,3551.95
80,42.0624,15.2547,-293.1335754394531,400000,80,3631.74,3517.21
81,42.3134,14.829,-310.448486328125,405000,81,3665.59,3583.74
82,42.0351,14.0159,-312.7180480957031,410000,82,3759.48,3747.91
83,41.4534,15.2605,-296.6329650878906,415000,83,3690.66,3670.16
84,42.4393,16.5443,-302.8027648925781,420000,84,3601.71,3340.46
85,42.0137,14.9798,-306.0187072753906,425000,85,3728.67,3658.32
86,41.8694,15.7088,-308.1800842285156,430000,86,3863.44,3735.06
87,42.4922,17.0751,-349.99163818359375,435000,87,3676.79,3553.12
88,42.0694,15.2136,-309.86480712890625,440000,88,3747.41,3600.42
89,41.3555,15.5947,-318.2323913574219,445000,89,3837.69,3790.94
90,42.0263,14.9191,-332.88519287109375,450000,90,3684.81,3522.17
91,40.7595,13.729,-291.580322265625,455000,91,3887.24,3922.13
92,41.0978,15.2252,-326.6912841796875,460000,92,3859.91,3600.61
93,41.6593,14.8068,-332.8766174316406,465000,93,3756.88,3705.12
94,41.6746,15.8994,-346.310791015625,470000,94,3816.88,3723.78
95,40.9425,15.2264,-341.8283996582031,475000,95,3899.41,3790.82
96,40.7583,13.8535,-347.5331726074219,480000,96,3789.22,3770.2
97,41.9635,14.5451,-356.6193542480469,485000,97,3693.03,3726.54
98,40.2889,13.6173,-317.9979248046875,490000,98,3955.86,3916.11
99,40.6936,15.8601,-359.81243896484375,495000,99,3985.18,3912.85
100,40.5638,15.3322,-365.0208740234375,500000,100,3937.03,3933.87
101,40.13,15.634,-344.1655578613281,505000,101,4036.77,4014.58
102,40.838,13.3326,-391.9594421386719,510000,102,3849.78,3986.07
103,40.486,13.7149,-357.0563659667969,515000,103,3852.61,3859.66
104,40.6778,14.4711,-380.2400207519531,520000,104,3924.64,3938.05
105,39.987,13.68,-371.8960876464844,525000,105,3980.97,4069.45
106,39.6515,14.2683,-369.58026123046875,530000,106,4029.43,4056.55
107,41.5746,13.8849,-409.33245849609375,535000,107,3783.32,3795.97
108,39.9931,14.263,-378.2342224121094,540000,108,3993.49,4040.19
109,40.3233,13.8885,-372.9827880859375,545000,109,3968.2,3967.07
110,40.1694,13.4483,-375.32269287109375,550000,110,4008.67,4009.33
111,39.4398,14.1706,-382.51214599609375,555000,111,4074.43,4036.69
112,40.5289,14.6474,-390.1933288574219,560000,112,3858.16,3734.97
113,40.0605,13.3608,-396.4123229980469,565000,113,4024.67,4211.92
114,40.1939,13.0964,-415.4871826171875,570000,114,3888.36,4011.17
115,38.9231,14.0292,-374.188232421875,575000,115,4184.45,4128.68
116,39.3882,14.3061,-382.6608581542969,580000,116,4147.66,4208.45
117,39.4989,14.3172,-395.7254333496094,585000,117,4159.88,4350.0
118,39.9667,13.3344,-413.0870056152344,590000,118,3927.05,4029.37
119,39.8005,13.2918,-396.6607971191406,595000,119,4027.28,4166.68
120,40.149,15.9366,-386.50738525390625,600000,120,3915.97,3957.18
121,39.3162,14.3538,-400.55145263671875,605000,121,4162.01,4202.52
122,39.3186,12.8055,-408.5458068847656,610000,122,4027.34,4002.67
123,39.427,14.3502,-395.1754455566406,615000,123,4121.42,4072.45
124,40.1869,14.185,-413.9084777832031,620000,124,4039.92,3940.6
125,40.0341,15.2568,-408.1276550292969,625000,125,4165.99,4156.09
126,39.5042,15.129,-412.6641845703125,630000,126,4113.93,3998.82
127,39.228,14.5783,-400.67822265625,635000,127,4172.46,4264.32
128,39.6639,13.8881,-436.8223571777344,640000,128,4084.26,3917.85
129,39.668,14.2035,-437.9519958496094,645000,129,3910.51,4024.71
130,40.6438,13.9699,-472.5643310546875,650000,130,3877.92,3814.23
131,39.6114,14.2844,-433.8640441894531,655000,131,4098.41,4107.92
132,39.7541,14.4514,-432.1073303222656,660000,132,4046.06,3994.06
133,40.2207,14.4989,-452.3223571777344,665000,133,4052.78,4133.44
134,38.9726,14.5811,-439.226318359375,670000,134,4082.81,4142.96
135,40.5388,13.5968,-439.02874755859375,675000,135,3870.3,3030.45
136,38.9607,13.7205,-432.87200927734375,680000,136,4131.61,4267.56
137,38.68,14.1283,-452.09442138671875,685000,137,4204.22,4442.6
138,39.3555,14.3432,-450.6268615722656,690000,138,4068.46,4031.44
139,38.64,14.3919,-466.00604248046875,695000,139,4191.24,4275.44
140,38.4101,14.2632,-445.0447082519531,700000,140,4266.88,4261.57
141,39.2115,14.6964,-469.23541259765625,705000,141,4114.51,4242.47
142,38.4246,14.2837,-472.7641296386719,710000,142,4191.97,4278.29
143,39.7725,14.692,-480.37225341796875,715000,143,4053.21,4110.32
144,39.5186,14.927,-453.6074523925781,720000,144,4140.77,4015.62
145,40.2858,34.3975,-714.1300659179688,725000,145,3168.42,4177.79
146,38.1879,14.3299,-491.2591552734375,730000,146,4246.23,4398.38
147,39.1005,15.1961,-519.4295043945312,735000,147,4056.44,3859.48
148,38.5882,14.9853,-482.9251708984375,740000,148,4190.04,4462.95
149,39.1641,13.8587,-503.57843017578125,745000,149,4181.41,4344.02
150,38.9419,18.7734,-597.1106567382812,750000,150,3136.96,3456.93
151,40.5472,31.8292,-742.165771484375,755000,151,2568.06,3910.31
152,37.9746,13.9206,-517.257080078125,760000,152,3853.15,4279.83
153,38.7773,14.4903,-508.0418701171875,765000,153,4305.94,4507.26
154,38.0269,14.3692,-500.971435546875,770000,154,4276.11,4456.52
155,39.4037,16.5365,-546.4576416015625,775000,155,4113.43,4154.93
156,39.1033,13.8073,-578.5623168945312,780000,156,3986.92,4010.11
157,37.1691,14.5789,-487.8009033203125,785000,157,4083.48,4520.12
158,39.53,16.966,-585.385009765625,790000,158,3970.82,4031.37
159,38.7895,15.3065,-552.817626953125,795000,159,4144.34,4229.54
160,39.1721,15.1405,-573.9107055664062,800000,160,4020.83,4166.16
161,41.0507,51.1545,-1051.159912109375,805000,161,834.73,-8.93
162,40.0404,51.4477,-888.4758911132812,810000,162,2428.16,3007.19
163,38.7759,16.2209,-584.0919799804688,815000,163,3986.54,4250.58
164,40.1471,21.49,-654.3838500976562,820000,164,3258.0,3431.57
165,39.2378,17.7962,-616.0287475585938,825000,165,4105.4,4107.15
166,38.967,16.0549,-599.612548828125,830000,166,4058.16,3904.16
167,38.0359,15.13,-543.872802734375,835000,167,4244.89,4269.23
168,38.456,15.0715,-570.48193359375,840000,168,4371.88,4511.06
169,38.5854,15.8573,-589.8863525390625,845000,169,4254.47,4264.73
170,38.6509,16.0842,-609.9940185546875,850000,170,4256.44,4383.42
171,38.5045,14.3742,-596.5636596679688,855000,171,4104.95,4182.58
172,38.6785,14.1298,-581.6381225585938,860000,172,4327.78,4350.38
173,37.7758,13.6151,-580.0653076171875,865000,173,4357.6,4502.75
174,36.6499,14.9089,-547.1220703125,870000,174,4512.17,4713.34
175,37.388,14.4944,-559.0712280273438,875000,175,4602.28,4650.76
176,36.8769,14.9722,-577.6503295898438,880000,176,4425.34,4685.43
177,37.7401,14.7381,-563.577880859375,885000,177,4413.63,4497.29
178,36.9039,14.77,-547.18408203125,890000,178,4455.58,4501.64
179,37.131,13.6092,-558.5938110351562,895000,179,4344.43,4553.15
180,37.6931,12.8856,-581.2146606445312,900000,180,4426.7,4692.78
181,37.7703,13.6114,-576.07080078125,905000,181,4343.39,4299.96
182,38.1186,13.2098,-621.9035034179688,910000,182,4317.59,4582.92
183,37.4679,13.3329,-548.1488647460938,915000,183,4452.46,4578.17
184,37.2012,12.0573,-552.2398681640625,920000,184,4427.85,4720.42
185,37.6725,13.4208,-579.1734619140625,925000,185,4427.34,4664.47
186,37.5347,13.1855,-614.3070678710938,930000,186,4380.92,4648.32
187,36.8034,13.5038,-579.4557495117188,935000,187,4449.87,4703.77
188,37.8116,14.3263,-592.2477416992188,940000,188,4536.88,4721.41
189,37.455,13.1329,-609.5687255859375,945000,189,4510.95,4722.45
190,37.1571,13.9699,-620.1548461914062,950000,190,4411.84,4688.32
191,37.8727,12.8744,-625.8599853515625,955000,191,4446.12,4791.62
192,37.9594,15.0166,-611.1422729492188,960000,192,4427.73,4574.08
193,36.6747,13.7714,-577.8822631835938,965000,193,4587.59,4837.75
194,38.2006,12.6709,-620.411865234375,970000,194,4452.37,4656.73
195,37.3535,13.6826,-621.57080078125,975000,195,4495.32,4676.47
196,37.5715,13.9519,-614.75537109375,980000,196,4523.16,4769.54
197,36.7319,13.7119,-617.7761840820312,985000,197,4548.6,4789.01
198,37.3913,12.9104,-641.6906127929688,990000,198,4497.89,4791.48
199,37.4422,13.4306,-613.3998413085938,995000,199,4544.64,4758.52
200,36.9571,13.6034,-612.8946533203125,1000000,200,4577.98,4852.02
201,37.0549,13.2361,-611.3345336914062,1005000,201,4610.7,4843.72
202,37.7097,12.2965,-665.4846801757812,1010000,202,4310.02,4886.08
203,37.2189,12.9299,-644.0177001953125,1015000,203,4371.63,4840.36
204,37.095,12.348,-663.0116577148438,1020000,204,4458.69,4912.99
205,37.2562,12.8482,-648.4093627929688,1025000,205,4119.62,4881.22
206,37.0769,12.8606,-630.3178100585938,1030000,206,4382.44,4884.02
207,37.5251,12.6018,-655.4718017578125,1035000,207,4328.32,4948.35
208,37.0057,13.7365,-598.7149658203125,1040000,208,4534.8,4874.54
209,36.3306,13.9445,-632.3863525390625,1045000,209,4658.58,4880.65
210,36.8846,13.2982,-639.2380981445312,1050000,210,4605.5,4951.94
211,36.1347,12.9142,-623.6865234375,1055000,211,4558.04,4913.38
212,35.6484,13.9365,-582.2589111328125,1060000,212,4655.43,4964.81
213,36.2605,13.4894,-630.3594360351562,1065000,213,4643.67,4975.8
214,36.3511,12.816,-670.917724609375,1070000,214,4437.67,4971.53
215,36.5122,13.3457,-626.2986450195312,1075000,215,4569.32,5004.12
216,36.8998,13.1843,-674.8883666992188,1080000,216,4606.23,4986.02
217,36.0939,12.7743,-660.0313110351562,1085000,217,4618.79,4961.64
218,36.3365,13.3958,-663.5214233398438,1090000,218,4555.81,5016.49
219,36.14,13.7493,-641.656494140625,1095000,219,4754.27,4998.71
220,37.4233,13.0711,-770.9508056640625,1100000,220,4440.94,4906.97
221,36.4419,13.485,-669.1490478515625,1105000,221,4607.0,4953.26
222,36.4428,14.2513,-655.5313110351562,1110000,222,4702.36,4946.39
223,36.5039,13.0711,-679.2445068359375,1115000,223,4438.94,4960.65
224,37.122,13.3615,-744.6961669921875,1120000,224,4148.9,4932.86
225,36.8646,12.7994,-758.8843994140625,1125000,225,4187.9,4976.18
226,36.5346,13.5072,-697.1367797851562,1130000,226,4605.24,4943.24
227,36.7162,13.3423,-702.1912231445312,1135000,227,4465.5,4963.55
228,36.9259,12.6201,-743.4424438476562,1140000,228,4510.65,4986.08
229,36.9678,13.069,-716.741455078125,1145000,229,4141.36,5008.07
230,36.0323,13.418,-700.8848266601562,1150000,230,4657.16,4897.73
231,36.7499,13.1669,-781.895263671875,1155000,231,4261.34,4960.2
232,35.5605,13.1007,-705.9042358398438,1160000,232,4660.94,4951.03
233,35.8698,13.0809,-708.0631103515625,1165000,233,4661.34,4949.07
234,35.8017,12.6308,-707.8975219726562,1170000,234,4701.06,4938.59
235,36.1442,11.8867,-762.7373657226562,1175000,235,4429.08,4673.98
236,36.1553,12.8209,-732.29052734375,1180000,236,4584.77,4865.18
237,35.7088,13.1547,-717.9000244140625,1185000,237,4652.13,4949.25
238,35.7622,13.3146,-755.377197265625,1190000,238,4680.28,4816.68
239,37.0546,14.9475,-781.6024780273438,1195000,239,4711.45,4901.89
240,37.7653,14.2623,-805.4754638671875,1200000,240,4550.82,4588.55
241,44.7124,13.2068,-1608.463623046875,1205000,241,973.39,279.27
242,38.6299,13.1095,-878.4817504882812,1210000,242,4061.99,4068.47
243,37.9937,12.91,-904.2136840820312,1215000,243,3914.7,4255.52
244,37.7243,16.4352,-908.0825805664062,1220000,244,4351.86,4479.54
245,36.259,14.1427,-814.3483276367188,1225000,245,4412.31,4639.35
246,35.8293,14.3997,-761.0358276367188,1230000,246,4481.8,4535.68
247,37.3294,12.8211,-938.4588012695312,1235000,247,4192.56,4662.34
248,37.1141,12.1926,-923.9205322265625,1240000,248,4191.76,4723.88
249,37.4887,12.7554,-970.8355712890625,1245000,249,4112.26,4387.16
250,38.6427,13.498,-1012.7272338867188,1250000,250,3450.83,4059.25
251,39.7404,18.6487,-1198.1461181640625,1255000,251,2627.63,2869.4
252,38.6304,14.1302,-1151.648681640625,1260000,252,3602.02,4573.12
253,39.2149,12.5556,-1227.115478515625,1265000,253,3254.38,3945.72
254,38.5202,13.5786,-1012.0452880859375,1270000,254,3906.09,4601.68
255,38.5158,13.1993,-1051.5462646484375,1275000,255,3663.97,4730.08
256,37.9565,12.5019,-1129.983154296875,1280000,256,4297.42,3271.44
257,36.9766,13.2241,-944.0982055664062,1285000,257,4517.61,4819.16
258,37.5909,13.1592,-980.5469360351562,1290000,258,4390.49,4804.46
259,37.4251,13.1366,-1039.140380859375,1295000,259,3766.39,4836.28
260,36.977,13.6694,-964.4046020507812,1300000,260,4102.42,4743.22
261,36.6781,13.2002,-955.051513671875,1305000,261,4602.23,4818.81
262,36.4931,12.9117,-970.5371704101562,1310000,262,4526.67,4680.5
263,36.7052,13.6161,-969.623779296875,1315000,263,4560.51,4635.18
264,36.0917,12.9385,-959.5701904296875,1320000,264,4601.04,4609.06
265,36.9669,13.5053,-977.609619140625,1325000,265,4555.12,4627.65
266,36.3379,13.2063,-978.9049682617188,1330000,266,4554.7,4675.72
267,36.421,13.4947,-984.1734008789062,1335000,267,4567.23,4694.05
268,36.0023,13.3725,-997.3204345703125,1340000,268,4560.51,4698.05
269,36.3607,13.4082,-1002.32861328125,1345000,269,4586.96,4699.2
270,35.8867,12.983,-969.0416870117188,1350000,270,4617.63,4810.68
271,35.8133,13.074,-967.1275634765625,1355000,271,4603.74,4837.17
272,35.7437,13.2151,-970.1062622070312,1360000,272,4635.69,4850.43
273,36.1713,13.7388,-1018.7623291015625,1365000,273,4541.4,4635.89
274,36.0912,13.1233,-1012.8775634765625,1370000,274,4563.37,4761.81
275,36.4136,13.8754,-1027.3485107421875,1375000,275,4580.81,4699.66
276,36.5981,13.6544,-1014.3251342773438,1380000,276,4500.46,4485.82
277,35.8324,13.376,-999.3982543945312,1385000,277,4576.27,4705.71
278,36.2299,13.7094,-987.81298828125,1390000,278,4199.22,4752.09
279,36.5063,14.1225,-967.8010864257812,1395000,279,4685.47,4872.12
280,36.1682,14.0924,-1016.2835083007812,1400000,280,4692.55,4787.83
281,35.497,13.6694,-1021.4178466796875,1405000,281,4421.95,4700.74
282,35.7052,13.3735,-1009.4815673828125,1410000,282,4713.62,4866.99
283,36.5399,13.9942,-1057.3662109375,1415000,283,4680.35,4707.14
284,36.3084,14.1824,-1052.5950927734375,1420000,284,4692.39,4844.35
285,36.9057,13.721,-1100.649658203125,1425000,285,4688.56,4809.01
286,37.1125,14.529,-1085.4466552734375,1430000,286,4701.12,4752.09
287,36.1339,14.4369,-1075.3489990234375,1435000,287,4703.18,4843.06
288,35.661,14.5107,-1043.684814453125,1440000,288,4734.57,4997.49
289,36.434,13.5765,-1160.4996337890625,1445000,289,4316.37,4899.32
290,36.2824,14.4481,-1111.3197021484375,1450000,290,4635.52,4855.74
291,35.9046,14.1711,-1117.0863037109375,1455000,291,4643.27,4950.29
292,36.8638,15.1411,-1107.9874267578125,1460000,292,4675.38,4708.2
293,35.9558,14.1011,-1106.656005859375,1465000,293,4667.93,4905.12
294,36.7296,14.8088,-1103.6722412109375,1470000,294,4697.34,4916.49
295,36.3275,14.735,-1119.9993896484375,1475000,295,4663.24,4892.86
296,36.7499,14.2388,-1089.084228515625,1480000,296,4684.94,4882.69
297,40.589,63.3888,-2207.506591796875,1485000,297,1435.32,1293.56
298,40.9892,41.962,-2297.5693359375,1490000,298,1412.43,1069.33
299,39.3777,22.5807,-1947.1094970703125,1495000,299,2922.56,3672.77
300,40.0593,17.9146,-1423.125,1500000,300,4030.33,4000.28
301,36.7472,17.5791,-1440.5711669921875,1505000,301,4178.36,4281.79
302,39.4645,15.702,-1410.916259765625,1510000,302,3961.71,3856.22
303,39.5988,19.5554,-1551.586669921875,1515000,303,3404.46,1399.7
304,39.4489,17.0312,-1557.0361328125,1520000,304,3766.86,3939.28
305,44.8927,32.4418,-2438.95458984375,1525000,305,887.83,866.27
306,43.3431,18.8207,-1809.080078125,1530000,306,3521.24,3526.83
307,39.1548,14.6749,-1477.097412109375,1535000,307,4056.53,4258.79
308,44.1351,20.1013,-1949.8017578125,1540000,308,3229.27,3445.98
309,40.9154,13.0146,-1933.293701171875,1545000,309,1118.08,904.03
310,43.758,16.6074,-2174.7431640625,1550000,310,1704.59,1514.73
311,38.4611,17.7382,-1725.2017822265625,1555000,311,2479.26,1941.91
312,43.9158,26.045,-2527.719970703125,1560000,312,1027.37,242.66
313,42.8383,16.9216,-1959.859130859375,1565000,313,2909.83,2984.99
314,41.5079,15.3241,-1984.936767578125,1570000,314,3222.93,3360.68
315,39.2432,15.6469,-1830.495849609375,1575000,315,4005.7,4205.63
316,42.4622,19.9841,-1860.5296630859375,1580000,316,3558.87,3511.61
317,39.766,19.8773,-2348.679443359375,1585000,317,2712.31,2162.95
318,39.9752,14.5966,-1746.439453125,1590000,318,3746.64,3794.76
319,37.2969,13.3807,-1616.8408203125,1595000,319,3857.85,4226.6
320,36.9062,14.1715,-1632.2071533203125,1600000,320,4138.25,4285.34
321,37.5291,17.2389,-1873.1702880859375,1605000,321,4095.46,4297.91
322,39.5136,23.3134,-2520.341796875,1610000,322,1774.16,612.58
323,36.5151,12.9822,-1684.1103515625,1615000,323,4192.12,4305.37
324,38.1687,13.638,-1803.60400390625,1620000,324,4051.36,4286.85
325,38.5453,14.7643,-2007.852294921875,1625000,325,3933.98,4142.94
326,36.5676,12.6014,-1670.297119140625,1630000,326,4265.38,4520.2
327,38.3218,13.1089,-1804.3243408203125,1635000,327,3933.38,4250.84
328,37.5871,13.1767,-1730.2093505859375,1640000,328,4021.95,4388.02
329,36.7745,12.6374,-1749.46240234375,1645000,329,4289.17,4484.78
330,36.9731,12.5125,-1713.7130126953125,1650000,330,4361.23,4556.39
331,36.4555,12.4866,-1714.6522216796875,1655000,331,4387.34,4561.7
332,35.8656,13.1695,-1661.252197265625,1660000,332,4491.89,4747.23
333,36.7517,12.6073,-1749.866455078125,1665000,333,4395.12,4534.78
334,36.0723,14.0951,-1682.50634765625,1670000,334,4542.38,4726.04
335,36.3875,13.846,-1640.871337890625,1675000,335,4486.43,4631.65
336,35.71,13.1994,-1663.3533935546875,1680000,336,4479.4,4685.39
337,35.189,13.5828,-1568.310546875,1685000,337,4574.01,4747.23
338,34.5374,14.6006,-1536.4312744140625,1690000,338,4661.21,4844.44
339,34.7401,13.4206,-1550.559326171875,1695000,339,4629.73,4833.56
340,34.2792,12.8619,-1531.0916748046875,1700000,340,4644.46,4880.04
341,35.6441,13.5391,-1622.3209228515625,1705000,341,4674.7,4990.88
342,35.2372,13.5492,-1593.94580078125,1710000,342,4719.55,4849.39
343,35.42,14.3625,-1578.775390625,1715000,343,4652.98,4893.12
344,34.9905,13.1358,-1819.3209228515625,1720000,344,4350.48,4831.82
345,35.0498,14.2327,-1565.655029296875,1725000,345,4644.15,4783.07
346,35.1601,13.937,-1610.992431640625,1730000,346,4628.01,4836.44
347,35.7424,13.4076,-1694.5958251953125,1735000,347,4593.05,4753.11
348,35.043,13.6593,-1600.2664794921875,1740000,348,4698.14,4841.62
349,35.8426,14.2088,-1655.0052490234375,1745000,349,4485.48,4779.83
350,34.9109,13.5045,-1655.5926513671875,1750000,350,4653.39,4809.45
351,35.1723,13.6104,-1659.970703125,1755000,351,4674.41,4839.29
352,34.9309,13.1779,-1648.1593017578125,1760000,352,4673.35,4879.26
353,35.0242,13.5481,-1613.3394775390625,1765000,353,4658.77,4862.47
354,35.6806,13.577,-1621.1240234375,1770000,354,4741.32,4811.42
355,35.3295,13.5832,-1709.3543701171875,1775000,355,4642.3,4814.1
356,34.9617,13.4059,-1641.212646484375,1780000,356,4656.46,4768.68
357,35.6538,13.7104,-1762.459716796875,1785000,357,4613.26,4736.43
358,37.5611,14.2695,-1861.4630126953125,1790000,358,4455.91,4259.18
359,36.262,13.862,-1791.0897216796875,1795000,359,4308.08,4285.04
360,35.6898,14.1325,-1814.6817626953125,1800000,360,4604.41,4706.27
361,36.2433,13.3506,-1823.9991455078125,1805000,361,4495.19,4263.17
362,36.3869,13.5863,-1870.2373046875,1810000,362,4503.62,4349.94
363,36.3645,13.3908,-1862.653076171875,1815000,363,4545.16,4580.44
364,35.7657,13.2882,-1909.0714111328125,1820000,364,4598.93,4691.6
365,36.0999,13.4538,-1963.99755859375,1825000,365,4524.85,4550.64
366,36.6654,13.7267,-2092.311279296875,1830000,366,4440.87,4354.01
367,36.442,13.4128,-1933.574951171875,1835000,367,4536.26,4587.36
368,36.4239,13.5924,-1999.14599609375,1840000,368,4572.65,4593.12
369,36.6139,14.044,-2163.32470703125,1845000,369,4380.31,4637.74
370,36.3064,13.5664,-2023.4132080078125,1850000,370,4526.39,4723.82
371,36.3479,13.4811,-2002.337890625,1855000,371,4542.63,4684.88
372,36.2317,13.5436,-1981.129638671875,1860000,372,4654.14,4721.44
373,35.7529,13.2274,-1950.4534912109375,1865000,373,4628.12,4828.23
374,36.1805,13.4738,-1867.1121826171875,1870000,374,4655.53,4843.35
375,36.2254,13.8915,-1904.5650634765625,1875000,375,4637.13,4759.88
376,36.5011,13.5745,-2107.306640625,1880000,376,4702.6,4826.98
377,35.7955,13.5192,-1924.499755859375,1885000,377,4658.58,4856.64
378,35.8888,13.0044,-1861.82568359375,1890000,378,4696.1,4889.77
379,36.1294,13.0798,-1932.9368896484375,1895000,379,4631.36,4874.43
380,35.825,13.0463,-2013.9202880859375,1900000,380,4569.31,4832.86
381,36.4075,13.4149,-1965.029296875,1905000,381,4679.11,4776.81
382,35.994,13.3886,-1985.739501953125,1910000,382,4720.06,4858.92
383,35.6934,13.2446,-1974.99658203125,1915000,383,4653.63,4812.04
384,35.861,13.539,-1979.543701171875,1920000,384,4687.84,4809.87
