Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Itration,Running Reverse KL,Real Det Return
3127.44,-1492.3184814453125,23.6378,87,435000,87,16.2413,3163.03
3230.78,-1249.6075439453125,24.4272,88,440000,88,17.4119,3205.76
3213.0,-1330.191650390625,24.2811,89,445000,89,17.1604,3173.95
2830.09,-1567.87109375,23.3452,90,450000,90,15.366,3371.32
3152.15,-1279.01025390625,23.9488,91,455000,91,16.5128,3197.34
2581.53,-1341.9305419921875,24.2787,92,460000,92,17.5127,3184.49
3265.8,-1414.9053955078125,24.2378,93,465000,93,17.2584,3226.97
3287.51,-1504.8988037109375,23.7514,94,470000,94,17.0775,3273.93
2726.6,-1666.8031005859375,22.3103,95,475000,95,15.0332,3329.59
3019.53,-1464.246826171875,24.3615,96,480000,96,17.2919,3159.18
3285.11,-1463.410888671875,24.583,97,485000,97,17.8115,3270.76
3252.13,-1553.966796875,24.6866,98,490000,98,17.8396,3246.13
2569.07,-1738.826171875,22.538,99,495000,99,16.7052,3278.37
3248.19,-1444.561279296875,24.1443,100,500000,100,17.4838,3234.52
3177.26,-1779.1033935546875,23.9192,101,505000,101,17.4567,3262.69
3175.61,-1584.088134765625,23.7638,102,510000,102,16.8136,3132.56
2893.26,-1672.91259765625,25.2646,103,515000,103,17.3472,3321.97
3233.25,-1592.1890869140625,24.551,104,520000,104,17.6874,3213.32
3240.04,-1703.9591064453125,24.4271,105,525000,105,17.9755,3278.55
2595.56,-1666.03271484375,22.0725,106,530000,106,12.3856,2831.88
3252.16,-1558.9908447265625,23.9699,107,535000,107,17.3495,3285.86
3259.93,-1656.8988037109375,24.5187,108,540000,108,17.5007,3261.21
3268.94,-1677.70849609375,25.3409,109,545000,109,18.3077,3264.54
3207.21,-1685.841552734375,24.4972,110,550000,110,17.6868,3255.47
3261.85,-1737.7916259765625,23.88,111,555000,111,16.4307,3250.46
3228.32,-1704.39453125,24.0849,112,560000,112,16.7128,3214.68
3241.52,-1762.173828125,24.5441,113,565000,113,17.2541,3225.04
3214.5,-1864.1820068359375,23.7381,114,570000,114,17.3162,3254.33
3239.98,-1897.59912109375,24.7628,115,575000,115,17.4042,3237.56
3174.59,-1891.40283203125,24.4344,116,580000,116,17.2101,3240.31
3259.8,-1796.0062255859375,24.1463,117,585000,117,16.929,3243.49
3162.51,-2029.8846435546875,23.9491,118,590000,118,15.4867,3270.81
3233.82,-1887.3143310546875,23.6652,119,595000,119,16.0398,3235.33
3265.55,-1835.913818359375,24.544,120,600000,120,17.7593,3274.72
3285.97,-1989.7991943359375,24.4605,121,605000,121,17.3932,3282.58
3177.06,-2008.7916259765625,23.5816,122,610000,122,16.5415,3217.84
3199.7,-1907.6844482421875,23.8322,123,615000,123,16.1428,3233.11
3214.84,-1941.12060546875,23.6425,124,620000,124,16.502,3269.55
3271.11,-2103.884521484375,24.1073,125,625000,125,17.129,3263.52
3274.68,-1884.4833984375,23.3768,126,630000,126,15.803,3278.75
3233.65,-2001.211181640625,24.2787,127,635000,127,16.9812,3248.81
3281.75,-2058.24072265625,24.9254,128,640000,128,17.467,3275.36
3272.43,-2240.63720703125,24.3883,129,645000,129,17.4487,3279.34
3243.48,-2035.251220703125,23.771,130,650000,130,16.8777,3252.69
3294.39,-1989.8009033203125,24.463,131,655000,131,17.2092,3295.43
3294.08,-1989.3402099609375,23.6795,132,660000,132,16.1999,3298.01
3299.25,-2078.935791015625,23.8241,133,665000,133,16.7341,3298.81
3050.83,-2091.00439453125,23.8512,134,670000,134,16.6982,3285.11
3292.21,-2064.526611328125,23.8614,135,675000,135,16.4201,3282.87
3323.29,-2196.314697265625,24.4766,136,680000,136,17.4851,3307.29
3219.55,-2297.925537109375,23.3326,137,685000,137,16.0039,3235.75
3301.62,-2147.4814453125,24.2099,138,690000,138,16.7851,3304.95
3273.41,-2315.924072265625,23.4128,139,695000,139,16.3414,3295.79
3201.09,-2123.198486328125,23.7574,140,700000,140,16.6327,3294.96
3339.25,-2128.878662109375,23.9903,141,705000,141,16.7894,3329.43
3286.03,-2255.090576171875,23.7365,142,710000,142,16.5753,3291.72
2806.38,-2097.287353515625,23.1275,143,715000,143,15.8756,3273.0
3286.39,-2238.937255859375,23.402,144,720000,144,15.7934,3298.07
3324.64,-2508.333251953125,24.1103,145,725000,145,16.5637,3333.2
3343.97,-2460.534423828125,23.7935,146,730000,146,16.3903,3349.53
3194.99,-2234.565185546875,23.1727,147,735000,147,15.7621,3333.19
3274.27,-2478.599365234375,23.292,148,740000,148,15.5442,3293.98
3211.85,-2445.396240234375,22.8013,149,745000,149,15.5175,3303.92
3284.15,-2386.210693359375,23.5004,150,750000,150,16.0604,3279.82
3127.35,-2378.40185546875,22.9537,151,755000,151,14.9016,3217.4
3352.77,-2161.459228515625,23.362,152,760000,152,15.7832,3366.47
3346.02,-2262.401611328125,22.8912,153,765000,153,15.7188,3353.69
3339.07,-2472.806640625,23.0728,154,770000,154,15.8004,3341.13
3330.88,-2391.7431640625,22.76,155,775000,155,15.3829,3342.39
3353.35,-2423.10302734375,23.0357,156,780000,156,16.0261,3350.21
3349.1,-2355.167724609375,22.4647,157,785000,157,15.6696,3351.8
3273.37,-2589.843017578125,23.1019,158,790000,158,16.017,3292.77
3342.55,-2499.267333984375,22.7237,159,795000,159,15.0899,3357.11
3284.75,-2321.72412109375,22.8476,160,800000,160,15.6601,3289.03
3331.46,-2343.56298828125,22.7706,161,805000,161,15.6087,3348.76
3234.59,-2421.97412109375,22.229,162,810000,162,14.6794,3241.42
3199.7,-2240.23779296875,21.7461,163,815000,163,14.4745,3300.33
3316.39,-2404.800537109375,22.004,164,820000,164,15.9377,3338.09
3303.18,-2441.79443359375,22.8004,165,825000,165,16.7698,3334.94
3342.19,-2580.67333984375,22.9422,166,830000,166,16.8821,3350.66
3275.51,-2391.508544921875,21.7139,167,835000,167,14.3692,3358.32
3233.35,-2653.32275390625,22.7588,168,840000,168,15.4427,3320.84
3331.89,-2651.549560546875,22.2108,169,845000,169,15.5934,3337.19
3327.54,-2496.809814453125,22.1707,170,850000,170,15.4747,3344.79
3337.15,-2735.04150390625,22.4531,171,855000,171,15.2773,3325.79
3304.72,-2683.249267578125,22.9228,172,860000,172,16.2297,3367.99
3320.99,-2666.697021484375,22.2841,173,865000,173,14.8779,3357.22
3354.24,-2748.98193359375,23.1153,174,870000,174,16.197,3362.0
2375.12,-2689.045166015625,21.7106,175,875000,175,14.5129,490.46
3238.39,-2612.93359375,21.527,176,880000,176,14.1966,3278.3
3312.54,-2539.72216796875,21.5906,177,885000,177,14.2261,3345.87
3282.66,-2873.06005859375,22.9462,178,890000,178,16.1119,3388.16
3144.88,-3197.487548828125,22.8138,179,895000,179,14.0998,3238.35
3260.52,-2587.51611328125,21.8628,180,900000,180,14.5094,3382.21
3161.57,-2651.886474609375,21.5018,181,905000,181,12.7471,3208.21
3332.82,-2797.9033203125,22.4872,182,910000,182,15.1395,3361.11
3355.55,-2714.65185546875,21.8383,183,915000,183,14.7325,3340.98
3249.87,-3143.377685546875,22.6916,184,920000,184,15.1565,3318.32
3379.09,-2810.347900390625,22.0589,185,925000,185,14.9733,3397.3
3206.39,-2764.705322265625,21.7038,186,930000,186,14.121,3307.18
3346.5,-2887.261962890625,22.0764,187,935000,187,15.3131,3390.02
3363.15,-2913.7080078125,21.7395,188,940000,188,14.9726,3373.91
3343.06,-3103.14501953125,22.2782,189,945000,189,15.4986,3367.04
3318.21,-2906.15087890625,22.8059,190,950000,190,15.9303,3412.88
3178.85,-2781.663818359375,21.6585,191,955000,191,13.6822,3347.44
3347.57,-3203.7392578125,22.9613,192,960000,192,16.1013,3354.11
3372.74,-3065.9892578125,22.7149,193,965000,193,16.1221,3383.46
3367.68,-3144.823486328125,22.114,194,970000,194,15.7783,3394.1
3378.49,-3271.06787109375,23.2215,195,975000,195,16.3923,3401.29
3406.34,-2869.046142578125,22.2664,196,980000,196,15.95,3406.67
3357.58,-2985.608642578125,22.7048,197,985000,197,16.624,3361.75
3376.22,-3244.37939453125,22.075,198,990000,198,15.2676,3393.74
3377.07,-2981.154541015625,22.1152,199,995000,199,14.83,3391.31
