Running Forward KL,Running Reverse KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Itration,Running Env Steps
40.479,16.438,42,3948.77,-214.46983337402344,3911.4,42,210000
39.6103,15.8073,43,4077.28,-189.0249786376953,4098.83,43,215000
40.1913,16.9615,44,4225.81,-194.52609252929688,3998.65,44,220000
40.2727,16.0643,45,3979.59,-221.21524047851562,4158.42,45,225000
40.8322,16.6795,46,3872.76,-220.7329864501953,3978.48,46,230000
40.5728,15.6377,47,4256.42,-239.1739959716797,4126.18,47,235000
40.6219,16.3167,48,4047.34,-234.72457885742188,3891.23,48,240000
41.1545,16.1973,49,4059.99,-215.45606994628906,4116.37,49,245000
40.2128,17.3248,50,4171.01,-228.08428955078125,4157.29,50,250000
40.2581,16.5306,51,4394.93,-277.18914794921875,4212.11,51,255000
40.1893,15.4862,52,4163.38,-248.10440063476562,4090.15,52,260000
40.2515,16.4288,53,4238.2,-274.3657531738281,4198.34,53,265000
40.6628,16.0177,54,3899.34,-268.89312744140625,3960.15,54,270000
40.7041,15.3354,55,3828.82,-255.79971313476562,3975.54,55,275000
40.5835,17.007,56,3775.22,-307.1663513183594,3456.96,56,280000
40.6053,16.038,57,4183.94,-266.92156982421875,3682.68,57,285000
40.2202,14.0463,58,4044.5,-284.1058349609375,4026.12,58,290000
40.2714,17.604,59,4520.14,-253.1077880859375,4407.92,59,295000
39.4468,16.766,60,4525.31,-269.8233642578125,4235.31,60,300000
39.9871,16.1555,61,4117.9,-271.2103271484375,4125.68,61,305000
39.5511,16.5647,62,4300.94,-283.4344482421875,4181.7,62,310000
40.1829,17.1604,63,4413.59,-288.98638916015625,4275.1,63,315000
39.4704,18.0888,64,4434.94,-264.9175109863281,4346.98,64,320000
39.6125,15.9472,65,4544.76,-294.40618896484375,4365.78,65,325000
39.0167,15.8227,66,4334.22,-296.4034118652344,4165.38,66,330000
40.155,16.808,67,4472.12,-307.0793151855469,4367.97,67,335000
39.7552,25.2123,68,1316.9,-492.8056640625,4105.14,68,340000
38.3815,16.0082,69,4592.29,-296.5312805175781,4500.86,69,345000
38.435,15.3443,70,4444.14,-293.7975769042969,4442.68,70,350000
40.108,14.9755,71,4065.81,-346.5672302246094,4134.76,71,355000
38.2359,16.253,72,4532.32,-304.3076477050781,4475.92,72,360000
38.1598,15.3439,73,4554.98,-303.2108459472656,4482.35,73,365000
37.9893,16.5716,74,3523.75,-319.3730163574219,4594.62,74,370000
38.1267,16.2067,75,4381.83,-323.9383239746094,4368.82,75,375000
38.5071,16.4006,76,4869.9,-412.0541687011719,4454.5,76,380000
39.5926,15.4505,77,4196.08,-363.5054931640625,4160.16,77,385000
39.7816,18.3948,78,4484.03,-452.3516845703125,4420.66,78,390000
50.1531,64.9348,79,279.79,-831.6478881835938,450.08,79,395000
52.7086,19.6602,80,18.85,-792.8189697265625,46.19,80,400000
48.2145,17.6344,81,351.03,-892.182373046875,335.19,81,405000
45.3588,18.9169,82,3256.42,-600.5835571289062,3220.98,82,410000
44.1203,20.2008,83,3420.62,-658.9238891601562,2829.12,83,415000
41.1326,16.1855,84,4028.32,-458.87109375,4074.39,84,420000
39.4136,17.5779,85,4553.95,-411.4060974121094,4493.72,85,425000
40.4788,15.8335,86,4136.56,-490.02777099609375,3958.68,86,430000
39.005,15.0227,87,4425.32,-413.0391845703125,4394.16,87,435000
38.0928,15.9666,88,4546.95,-397.7056884765625,4544.54,88,440000
38.4313,16.6239,89,4638.53,-440.157470703125,4407.65,89,445000
39.0671,15.5931,90,4495.05,-413.44024658203125,4438.45,90,450000
38.0139,15.9951,91,4666.0,-415.5130920410156,4385.06,91,455000
38.6194,23.4284,92,4731.56,-477.2351989746094,4165.5,92,460000
37.6815,14.5925,93,4793.27,-472.2452087402344,4617.06,93,465000
38.2358,13.82,94,4532.21,-432.890380859375,4461.05,94,470000
37.1237,14.6791,95,4302.59,-431.78546142578125,4604.51,95,475000
37.7403,15.542,96,4691.47,-424.4269714355469,4638.41,96,480000
38.2666,13.6469,97,4441.21,-435.08837890625,4377.51,97,485000
38.3166,14.9187,98,4615.05,-470.4910888671875,4224.75,98,490000
38.2026,15.1859,99,4707.67,-433.7699890136719,4656.24,99,495000
37.4939,14.325,100,4618.12,-436.38482666015625,4296.04,100,500000
37.41,14.5269,101,4680.48,-453.5482177734375,4635.0,101,505000
38.2882,14.37,102,4670.11,-499.9779968261719,4440.37,102,510000
38.3509,13.8965,103,3995.4,-482.3819885253906,4279.17,103,515000
37.8963,15.4856,104,4716.67,-478.61541748046875,4572.6,104,520000
38.4482,14.5127,105,4530.28,-480.4980773925781,4481.1,105,525000
36.7899,13.383,106,4644.68,-459.63116455078125,4581.89,106,530000
38.1341,14.7858,107,4550.55,-468.8712463378906,4526.56,107,535000
37.8904,13.2857,108,4563.54,-500.238525390625,4432.02,108,540000
36.4597,13.3635,109,4766.64,-501.5622863769531,4339.61,109,545000
39.0606,15.2865,110,4703.11,-476.2298583984375,4459.33,110,550000
36.6451,14.3123,111,4686.34,-479.74273681640625,4605.13,111,555000
37.2429,13.3623,112,4615.15,-468.6782531738281,4496.45,112,560000
37.5695,13.8952,113,4602.66,-486.8909912109375,4283.33,113,565000
36.8971,14.6103,114,4794.44,-476.75579833984375,4499.61,114,570000
37.6025,12.9184,115,4573.46,-520.102294921875,4541.38,115,575000
37.3208,13.4366,116,4407.45,-487.43792724609375,4439.83,116,580000
37.2634,14.4625,117,4751.89,-485.6915588378906,4679.65,117,585000
36.4292,14.1376,118,4611.16,-476.9371032714844,4623.14,118,590000
36.1959,13.7328,119,4758.86,-483.6175231933594,4785.39,119,595000
36.889,14.5819,120,4506.8,-508.04425048828125,4509.23,120,600000
37.4243,14.1551,121,4579.96,-540.3126220703125,4614.39,121,605000
37.2527,14.6838,122,4653.2,-524.2944946289062,4534.6,122,610000
36.576,12.9712,123,4659.78,-507.2547912597656,4550.54,123,615000
36.3255,14.1089,124,4811.73,-504.0572814941406,4673.68,124,620000
36.4083,14.3866,125,4854.66,-500.3290100097656,4714.58,125,625000
38.282,13.0939,126,4559.61,-560.9872436523438,4291.38,126,630000
