Running Env Steps,Real Sto Return,Running Reverse KL,Itration,Real Det Return,Running Forward KL,Reward Loss,Running Update Time
510000,3221.79,11.8447,102,3231.74,20.0635,-184.09243774414062,102
515000,3202.29,12.6457,103,3201.6,20.4841,-208.1610107421875,103
520000,3146.97,12.2259,104,3154.7,20.5307,-220.29013061523438,104
525000,3212.21,11.9101,105,3210.62,20.2128,-208.5829315185547,105
530000,3166.63,11.9671,106,3171.72,20.9013,-230.38812255859375,106
535000,3236.76,11.8556,107,3247.0,19.8894,-212.1776885986328,107
540000,3177.2,11.3459,108,3180.77,20.2915,-208.35647583007812,108
545000,3208.86,12.1269,109,3201.97,20.3573,-215.04306030273438,109
550000,3260.46,11.4343,110,3269.04,19.2463,-209.10772705078125,110
555000,3243.54,11.1335,111,3286.42,18.8563,-208.09230041503906,111
560000,2866.66,11.5817,112,3218.75,19.2859,-219.71641540527344,112
565000,3122.0,11.9093,113,3252.15,19.9031,-234.312255859375,113
570000,3235.58,11.5567,114,3248.75,19.1471,-207.46881103515625,114
575000,3120.53,11.0523,115,3240.44,19.1353,-210.99024963378906,115
580000,3319.43,11.9501,116,3321.49,18.7291,-160.16445922851562,116
585000,3331.64,11.9695,117,3354.98,19.3974,-174.87269592285156,117
590000,3303.03,11.3072,118,3321.57,18.386,-185.46055603027344,118
595000,3356.36,11.7538,119,3362.24,18.3044,-152.07763671875,119
600000,3270.75,11.4678,120,3299.37,19.4854,-211.72679138183594,120
605000,3313.71,11.5416,121,3357.62,18.8584,-183.7379913330078,121
610000,3340.45,11.4503,122,3391.49,18.6389,-146.6669158935547,122
615000,3379.84,11.2426,123,3410.5,18.4054,-136.0807342529297,123
620000,3329.61,11.7629,124,3335.58,19.1401,-192.6389923095703,124
625000,3381.75,11.4328,125,3426.31,18.2313,-149.35787963867188,125
630000,3393.11,11.6288,126,3446.54,18.1908,-145.50784301757812,126
635000,3403.71,12.1718,127,3430.55,18.676,-128.31211853027344,127
640000,3375.08,11.9787,128,3416.85,19.1249,-166.8404541015625,128
645000,3347.67,11.211,129,3383.79,17.7633,-167.49855041503906,129
650000,3381.23,11.1072,130,3421.04,17.4765,-155.762939453125,130
655000,3292.31,10.8269,131,3325.92,18.4036,-204.31881713867188,131
660000,3390.08,10.9582,132,3440.69,17.7161,-151.53135681152344,132
665000,3292.31,10.3729,133,3303.56,17.9801,-213.41232299804688,133
670000,3441.62,11.816,134,3446.1,18.2093,-84.00943756103516,134
675000,3359.51,10.8004,135,3393.43,17.3428,-160.6863250732422,135
680000,3393.64,10.9276,136,3454.72,17.8988,-139.10093688964844,136
685000,3406.83,10.6791,137,3409.2,17.3171,-163.91261291503906,137
690000,3352.92,11.6172,138,3368.3,18.0463,-203.5942840576172,138
695000,3395.8,10.6425,139,3427.73,17.3653,-155.04736328125,139
700000,3349.7,11.2088,140,3385.82,17.745,-170.27964782714844,140
705000,3367.56,10.3438,141,3399.56,17.3666,-183.300537109375,141
710000,3432.49,10.8711,142,3475.28,17.4025,-137.4375762939453,142
715000,3423.17,10.9292,143,3439.84,17.1028,-145.3416748046875,143
720000,3337.94,10.4372,144,3372.22,17.6336,-201.640380859375,144
725000,3377.13,10.6077,145,3435.65,16.9174,-140.2392120361328,145
730000,3255.27,10.7534,146,3365.46,17.9833,-216.00445556640625,146
735000,3380.87,11.2338,147,3401.52,17.9907,-177.91659545898438,147
740000,3430.93,11.7786,148,3463.7,18.1598,-142.9100341796875,148
745000,3423.27,10.4412,149,3463.91,17.2637,-143.0040283203125,149
750000,3424.27,10.912,150,3446.68,17.5804,-138.88087463378906,150
755000,3330.0,11.2582,151,3362.28,18.2691,-211.48757934570312,151
760000,3438.08,11.9116,152,3465.8,18.1439,-151.39071655273438,152
765000,3421.98,10.7612,153,3447.99,17.4014,-134.6224822998047,153
770000,3409.66,11.5609,154,3408.78,18.4249,-177.38973999023438,154
775000,3388.48,10.4378,155,3412.02,17.1983,-190.89462280273438,155
780000,3410.98,10.9955,156,3442.02,17.2127,-186.80712890625,156
785000,3354.82,11.7317,157,3366.46,18.6565,-208.57496643066406,157
790000,3441.37,10.5011,158,3483.06,17.5087,-140.03077697753906,158
795000,3425.74,12.0539,159,3438.74,18.3333,-171.1107635498047,159
800000,3431.76,10.6389,160,3454.99,17.7249,-165.44677734375,160
805000,3452.39,11.6949,161,3508.68,18.5309,-133.464599609375,161
810000,3440.97,10.6487,162,3482.09,17.0515,-155.77113342285156,162
815000,3409.9,10.5744,163,3456.85,17.1467,-167.97003173828125,163
820000,3417.92,12.0842,164,3430.16,18.7357,-188.87835693359375,164
825000,3375.88,10.893,165,3480.25,17.7616,-168.51162719726562,165
830000,3392.04,11.0297,166,3410.29,18.2679,-184.1107177734375,166
835000,3330.09,9.9119,167,3454.1,17.1753,-203.86399841308594,167
840000,3412.27,10.3889,168,3425.23,17.1746,-183.12225341796875,168
845000,3410.81,10.4121,169,3439.81,16.8237,-147.60739135742188,169
850000,3383.98,10.4403,170,3437.33,17.2502,-196.2818603515625,170
855000,3383.41,9.7872,171,3413.76,16.7463,-214.8740234375,171
860000,3406.71,10.3809,172,3444.8,17.7452,-181.04393005371094,172
865000,3458.73,10.779,173,3470.29,17.0161,-152.22471618652344,173
870000,3411.85,10.2962,174,3438.91,16.9002,-174.30186462402344,174
875000,3370.62,10.4329,175,3417.96,17.2737,-197.00579833984375,175
880000,3250.17,9.8452,176,3489.13,16.7704,-183.4456329345703,176
885000,3445.24,11.9013,177,3483.34,18.4194,-167.8576202392578,177
890000,3409.93,10.5432,178,3444.17,17.9405,-218.61924743652344,178
895000,3424.1,10.4739,179,3448.5,17.4419,-181.7605743408203,179
900000,3230.14,9.9836,180,3463.55,16.8545,-143.13113403320312,180
905000,3430.47,11.0462,181,3479.47,17.0454,-155.42442321777344,181
910000,3208.92,9.7124,182,3451.12,17.0828,-198.78857421875,182
915000,3329.22,10.9211,183,3460.56,17.9651,-174.50872802734375,183
920000,3414.65,11.074,184,3457.03,17.7253,-168.23037719726562,184
925000,3215.07,11.1193,185,3427.03,17.8076,-224.4920196533203,185
930000,2964.94,10.7253,186,3460.65,17.1687,-147.35540771484375,186
935000,3421.21,11.3567,187,3456.67,17.5231,-200.43565368652344,187
940000,3431.83,10.6663,188,3471.14,16.7681,-172.91668701171875,188
945000,3448.69,10.4964,189,3477.68,17.0683,-171.97677612304688,189
950000,3447.29,11.5447,190,3481.37,18.1735,-170.5177764892578,190
955000,3191.27,10.4851,191,3526.03,16.6501,-194.84999084472656,191
960000,3417.84,10.7369,192,3445.37,17.0617,-183.08937072753906,192
965000,3439.12,11.7859,193,3443.43,18.3313,-188.14334106445312,193
970000,3372.9,10.053,194,3398.86,16.297,-172.39398193359375,194
975000,3404.3,11.6762,195,3420.78,17.8924,-192.376708984375,195
980000,3424.95,10.0797,196,3441.4,16.7088,-171.07945251464844,196
985000,3260.82,11.7131,197,3429.65,18.5758,-243.38702392578125,197
990000,3319.86,10.8477,198,3451.91,17.8888,-199.7243194580078,198
995000,3412.02,11.0491,199,3396.08,17.514,-217.9974822998047,199
