Itration,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
62,310000,381.3424,62,630.35,-8166.73388671875,860.81,261.8209
63,315000,381.8891,63,536.36,-8274.802734375,873.5,259.5466
64,320000,360.7435,64,1021.14,-8162.13232421875,1157.59,258.6516
65,325000,369.5121,65,579.9,-8581.03515625,833.79,268.8191
66,330000,383.7159,66,826.51,-8191.4150390625,903.74,264.9405
67,335000,375.4858,67,618.13,-8382.5341796875,956.14,293.628
68,340000,373.2767,68,696.19,-7998.39453125,958.58,274.1815
69,345000,358.7176,69,780.6,-8368.74609375,1156.59,241.0872
70,350000,366.7523,70,966.74,-8445.98046875,1406.26,249.3556
71,355000,373.71,71,875.7,-8649.158203125,1182.78,284.813
72,360000,378.294,72,926.38,-8932.931640625,1095.74,245.2418
73,365000,381.2143,73,808.07,-9205.3740234375,1171.14,261.1581
74,370000,370.8801,74,838.77,-9379.240234375,1324.28,268.0737
75,375000,380.1336,75,845.25,-9059.330078125,1240.53,236.7064
76,380000,373.3442,76,974.57,-8987.998046875,1072.62,247.633
77,385000,378.5269,77,732.0,-8989.45703125,779.61,254.8798
78,390000,372.1268,78,912.99,-9150.5888671875,945.38,250.3916
79,395000,368.5248,79,1356.75,-9493.90625,1364.84,252.1945
80,400000,357.7996,80,1134.08,-8610.8251953125,1772.55,256.4453
81,405000,380.1771,81,849.97,-10029.783203125,1360.89,283.0938
82,410000,381.1119,82,1158.26,-10255.5029296875,1197.77,245.728
83,415000,385.4985,83,771.88,-9155.7451171875,1091.42,249.3744
84,420000,381.5084,84,820.67,-9782.46484375,920.41,258.9189
85,425000,389.8493,85,974.43,-9777.2373046875,1045.1,293.8987
86,430000,394.3545,86,1146.46,-11318.3232421875,1201.22,270.0731
87,435000,381.6304,87,1072.58,-9456.1279296875,1150.06,234.509
88,440000,377.5864,88,955.9,-8975.7900390625,1549.21,232.3119
89,445000,372.0609,89,938.16,-9883.0205078125,1318.74,263.0239
90,450000,374.6778,90,741.99,-9632.8134765625,1417.76,241.6647
91,455000,363.2041,91,1642.19,-9520.5888671875,1962.24,211.2653
92,460000,386.1673,92,1647.77,-10636.6455078125,995.55,237.4628
93,465000,360.4674,93,1172.61,-7879.0615234375,2111.62,208.6913
94,470000,374.9248,94,1898.13,-9064.6416015625,1722.73,234.9214
95,475000,367.4386,95,1019.54,-10320.828125,1886.12,256.4743
96,480000,366.2046,96,1097.36,-10480.873046875,2171.69,237.468
97,485000,378.7504,97,1124.82,-10737.328125,1641.27,231.3129
98,490000,357.7963,98,903.98,-7820.88134765625,1490.91,178.8591
99,495000,376.3689,99,995.36,-10803.623046875,1572.38,230.5719
100,500000,356.7294,100,1526.43,-8633.3349609375,1628.77,210.7986
101,505000,353.6798,101,1236.93,-8446.0654296875,2127.49,218.124
102,510000,362.5136,102,1120.19,-8807.984375,1905.34,210.4921
103,515000,382.3999,103,886.63,-10201.654296875,1527.35,238.2364
104,520000,342.8585,104,1478.59,-8237.642578125,1792.82,195.0805
105,525000,364.5793,105,1114.34,-9162.685546875,1334.45,193.2288
106,530000,351.5526,106,904.06,-9338.5244140625,2294.42,225.2425
107,535000,354.1331,107,1316.54,-9436.908203125,2248.93,209.8954
108,540000,359.8923,108,1219.13,-10212.8916015625,1632.53,215.9504
109,545000,342.9415,109,1885.51,-7678.74560546875,2521.53,180.4161
110,550000,363.5802,110,2046.09,-9316.19921875,1742.82,193.0665
111,555000,344.7418,111,1577.15,-7296.8056640625,4088.51,161.7582
112,560000,363.5383,112,1721.51,-10500.875,1753.19,219.0726
113,565000,342.6709,113,1753.9,-7208.15966796875,1794.04,164.7978
114,570000,362.2637,114,1551.47,-9995.2998046875,2837.67,197.5628
115,575000,364.9156,115,1524.01,-7717.0712890625,2671.43,184.9913
116,580000,383.1878,116,1525.31,-11834.9248046875,1857.61,239.3938
117,585000,358.6387,117,945.37,-10085.2744140625,1855.57,207.4924
118,590000,381.5056,118,819.43,-12731.630859375,918.63,246.0129
119,595000,358.7756,119,1613.02,-11328.3310546875,2320.46,213.8353
120,600000,375.8707,120,604.0,-11585.4853515625,1768.49,217.3109
121,605000,369.368,121,1963.34,-10427.3837890625,2359.76,211.5419
122,610000,359.7636,122,1759.43,-9322.1337890625,2576.97,194.3948
123,615000,354.9458,123,2127.6,-9016.091796875,2339.22,193.3253
124,620000,338.464,124,1410.4,-10118.74609375,2056.19,201.4593
125,625000,369.1256,125,1277.27,-9820.83203125,2890.18,179.6536
126,630000,364.0429,126,2075.75,-9529.2451171875,1903.79,191.2652
127,635000,339.096,127,2557.76,-8137.30517578125,4251.63,162.9968
128,640000,361.8299,128,4171.17,-11327.5869140625,3037.5,210.3324
129,645000,346.4749,129,2587.17,-10097.5224609375,3197.87,201.4558
130,650000,348.8951,130,1586.41,-10293.0205078125,3708.43,201.9731
131,655000,348.5213,131,2326.66,-9440.2734375,3626.69,175.382
132,660000,360.7232,132,1269.96,-10431.8349609375,3364.23,183.9596
133,665000,358.6789,133,2071.38,-10288.8427734375,2928.42,181.7562
134,670000,367.7243,134,840.19,-10958.0615234375,1907.35,202.7758
135,675000,352.6038,135,2153.52,-9042.6171875,3683.74,184.2732
136,680000,343.09,136,776.27,-9666.3076171875,3309.67,160.3131
137,685000,350.9336,137,1673.38,-11003.1103515625,2532.04,167.3318
138,690000,365.0913,138,1769.55,-11633.220703125,3345.69,200.3142
139,695000,369.39,139,2061.34,-10329.9775390625,2882.59,174.3416
140,700000,356.3359,140,2370.74,-11339.990234375,2939.2,181.7787
141,705000,366.4749,141,3417.1,-9129.798828125,4162.25,183.9218
142,710000,375.7686,142,2943.57,-9846.724609375,3400.9,187.4385
143,715000,367.2556,143,1606.24,-10951.27734375,2625.68,188.6062
144,720000,377.688,144,2966.67,-11313.0625,2929.62,176.1751
145,725000,356.6131,145,1264.87,-12334.392578125,2070.26,188.9407
146,730000,358.1298,146,1488.4,-11800.5,2340.41,174.142
147,735000,356.2229,147,2866.03,-12062.767578125,3227.84,188.6499
148,740000,356.8774,148,1742.09,-11005.2587890625,3324.0,165.5573
149,745000,357.1797,149,2790.04,-10137.2333984375,4389.31,163.2218
150,750000,354.8032,150,1476.56,-12442.5732421875,3727.47,189.2004
151,755000,367.9866,151,2317.45,-12300.5576171875,2468.57,190.3318
152,760000,361.5122,152,1288.04,-12640.54296875,2316.03,184.5439
153,765000,356.6067,153,2408.47,-13031.5146484375,3135.28,199.9043
154,770000,354.6373,154,2301.05,-11243.15234375,2945.3,170.988
155,775000,356.1496,155,1948.86,-13238.013671875,2936.0,199.0995
156,780000,349.8149,156,2184.01,-12977.9970703125,2360.57,184.4684
157,785000,345.499,157,1093.31,-13054.3955078125,3263.82,164.5845
158,790000,362.5612,158,2796.81,-13632.30859375,2436.37,182.3545
159,795000,346.4416,159,2151.01,-12872.6787109375,3607.05,160.6846
160,800000,350.9261,160,3115.11,-13814.3271484375,3190.39,179.4419
161,805000,356.5344,161,2599.61,-13425.279296875,3987.46,170.1353
162,810000,345.0612,162,2106.51,-13141.546875,3679.08,158.8881
163,815000,342.2662,163,2142.24,-12330.0029296875,4215.16,157.379
164,820000,345.2612,164,1491.6,-13529.05859375,3557.43,154.9457
165,825000,350.1918,165,1402.03,-13656.6259765625,3191.34,151.7442
166,830000,353.0118,166,3739.44,-13966.978515625,4402.83,168.9986
167,835000,347.1471,167,2226.76,-14179.59375,3951.2,159.5572
168,840000,357.7264,168,3225.7,-14480.8330078125,3280.61,182.3601
169,845000,348.6929,169,1102.65,-14339.951171875,3685.11,154.9342
170,850000,348.8011,170,1630.65,-14132.3564453125,2621.88,163.5587
171,855000,354.2958,171,1134.77,-14584.5419921875,2502.71,162.7638
172,860000,348.9866,172,4102.43,-14349.7685546875,3778.58,154.1816
173,865000,355.9687,173,3021.4,-14930.33203125,4320.91,162.8607
174,870000,346.039,174,1991.06,-15162.8251953125,2384.1,187.2798
175,875000,329.5623,175,2081.06,-14629.404296875,4526.9,139.9206
176,880000,340.5127,176,3394.33,-14692.931640625,3778.59,150.3966
177,885000,327.8716,177,2589.78,-14540.4775390625,3169.36,137.2739
178,890000,349.9866,178,3613.61,-15313.6787109375,3751.22,171.5184
179,895000,335.7137,179,892.92,-15022.1083984375,3082.01,158.7857
180,900000,339.9276,180,1362.48,-15263.896484375,2951.53,177.0407
181,905000,345.7846,181,1309.34,-15514.2265625,2573.83,184.4951
182,910000,348.47,182,1500.6,-15677.640625,4044.22,154.377
183,915000,340.3426,183,3245.85,-15363.041015625,4068.99,147.9679
184,920000,351.6682,184,1793.97,-16209.6708984375,2819.91,185.8354
185,925000,334.6877,185,2053.66,-15183.0498046875,2748.46,142.4085
186,930000,335.3503,186,2406.45,-15461.8798828125,4062.91,138.8709
187,935000,341.0679,187,1585.73,-16237.703125,3186.39,156.4572
188,940000,346.53,188,2142.22,-16364.7236328125,3221.45,159.7765
189,945000,335.0583,189,2059.37,-16127.021484375,3409.3,138.237
190,950000,344.6552,190,1957.56,-16412.548828125,2992.65,169.5838
191,955000,345.5377,191,1828.19,-16464.669921875,3052.45,156.7673
192,960000,345.7132,192,1957.13,-16605.708984375,3217.29,152.3476
193,965000,343.5509,193,2621.47,-16746.296875,3250.57,162.3296
194,970000,339.5763,194,1935.74,-16230.375,3936.05,145.7371
195,975000,338.1196,195,1008.76,-16422.583984375,3289.03,166.453
196,980000,335.875,196,2086.9,-16455.55078125,3750.9,158.8264
197,985000,337.4176,197,1493.4,-16654.1171875,4133.29,139.4255
198,990000,350.0611,198,2273.18,-16912.11328125,2947.63,171.9915
199,995000,343.7925,199,2359.27,-16597.96875,2925.04,162.3458
200,1000000,343.3261,200,3186.68,-16422.59765625,3403.68,149.9005
201,1005000,341.888,201,3008.65,-16273.173828125,3899.69,168.4961
202,1010000,327.724,202,2274.76,-16285.2861328125,3775.41,140.8069
203,1015000,330.0863,203,3741.12,-16504.40625,4351.44,140.1675
204,1020000,335.6013,204,2401.9,-16639.177734375,3090.71,141.1834
205,1025000,325.9175,205,2957.86,-15973.4873046875,4028.07,125.2172
206,1030000,330.5762,206,3156.26,-16254.6748046875,3867.66,142.541
207,1035000,334.9594,207,4412.25,-16330.73828125,4389.84,143.7451
208,1040000,330.5273,208,1839.55,-16458.333984375,4413.07,132.342
209,1045000,322.9768,209,2658.62,-16326.265625,4178.54,125.2682
210,1050000,322.5146,210,4114.55,-16252.205078125,4299.29,130.7405
211,1055000,332.2829,211,3114.88,-16629.23828125,3511.86,129.8445
212,1060000,340.9805,212,4295.82,-16735.51171875,4168.3,151.4262
213,1065000,332.0267,213,3722.6,-16545.029296875,3757.09,136.3236
214,1070000,325.0005,214,3927.69,-16406.998046875,4565.37,126.7081
215,1075000,333.516,215,2952.68,-16586.154296875,4371.03,144.3736
216,1080000,330.6504,216,2209.51,-16617.126953125,4405.12,126.8068
217,1085000,323.8483,217,4171.14,-16631.681640625,4402.66,128.506
218,1090000,331.5087,218,4266.11,-16819.259765625,4380.87,149.2394
219,1095000,332.5249,219,4105.44,-17027.091796875,4588.81,142.7977
220,1100000,331.843,220,2460.6,-16993.099609375,4407.27,139.2132
221,1105000,330.0678,221,3360.19,-17059.669921875,4416.3,138.3317
222,1110000,338.7192,222,3620.68,-17097.771484375,3886.43,140.1185
223,1115000,339.9429,223,3233.69,-17059.37890625,4354.56,140.937
224,1120000,336.2174,224,3976.12,-17127.62890625,4301.55,135.9087
225,1125000,335.606,225,2762.22,-17251.912109375,4437.53,143.0642
226,1130000,338.7796,226,2517.29,-17436.703125,4472.32,145.2453
227,1135000,335.6355,227,3249.93,-17340.521484375,4522.39,134.7589
228,1140000,336.7089,228,2205.08,-17275.234375,3977.41,132.9011
229,1145000,333.9756,229,2160.03,-17377.146484375,4839.69,150.6803
230,1150000,335.1109,230,3344.35,-17546.990234375,4683.12,133.9629
231,1155000,340.8981,231,3415.11,-17622.173828125,4318.11,153.6292
232,1160000,339.781,232,2591.05,-17650.73046875,4665.08,149.363
233,1165000,346.196,233,2452.47,-17317.69921875,4038.74,142.9519
234,1170000,347.1418,234,2342.24,-17876.755859375,4347.87,155.0981
235,1175000,342.8113,235,2805.5,-18060.802734375,3645.76,147.1459
236,1180000,349.128,236,3162.18,-17802.6953125,3879.2,154.2244
237,1185000,356.4256,237,3174.08,-17515.177734375,3721.24,173.0548
238,1190000,347.9645,238,2645.42,-17839.568359375,4366.38,157.0608
239,1195000,355.625,239,1981.37,-17695.357421875,3240.3,160.9257
240,1200000,341.9356,240,3899.35,-17686.75,3171.91,148.3571
241,1205000,347.0794,241,2913.37,-17908.21875,4463.75,144.9492
242,1210000,341.6334,242,2574.94,-17521.0234375,2485.73,154.2221
243,1215000,351.5267,243,2691.82,-17857.423828125,3797.89,150.3205
244,1220000,350.1087,244,2158.44,-18128.638671875,3841.98,150.5688
245,1225000,361.27,245,1375.31,-17451.34375,1790.36,172.144
246,1230000,360.4807,246,3008.48,-18410.83203125,3478.28,169.576
247,1235000,335.1685,247,1619.7,-17689.48828125,3448.52,142.781
248,1240000,367.0105,248,624.35,-17719.478515625,1783.14,196.1047
249,1245000,362.9401,249,461.34,-17275.630859375,1250.66,193.6377
250,1250000,383.025,250,447.21,-17114.62890625,516.49,234.2931
251,1255000,380.0392,251,378.81,-17612.736328125,570.47,226.7556
252,1260000,353.0005,252,852.22,-17282.08984375,2112.33,195.9843
253,1265000,376.0371,253,727.2,-17430.060546875,1321.11,216.5936
254,1270000,350.0606,254,1272.92,-17551.14453125,2742.14,179.6624
255,1275000,359.4857,255,337.16,-17034.25,835.58,213.4479
256,1280000,356.449,256,899.73,-17421.70703125,1961.03,173.6854
257,1285000,355.6661,257,2190.13,-17059.005859375,2564.1,186.5191
258,1290000,367.342,258,1969.43,-18220.826171875,2857.61,179.0966
259,1295000,354.9576,259,3134.55,-17410.720703125,2482.61,178.2662
260,1300000,367.7948,260,1255.98,-17050.9609375,1364.48,207.0187
261,1305000,357.068,261,2202.18,-17196.39453125,2161.06,196.1077
262,1310000,358.7253,262,1739.79,-17426.921875,3139.79,180.7601
263,1315000,360.2674,263,3527.27,-17968.453125,3545.71,180.5683
264,1320000,341.2727,264,1435.94,-17738.677734375,2893.47,172.6799
265,1325000,364.0311,265,2961.88,-17929.572265625,2820.42,182.8877
266,1330000,355.7798,266,1965.58,-17841.95703125,2618.19,173.012
267,1335000,369.4924,267,3676.31,-18162.150390625,3493.18,180.0177
268,1340000,354.2361,268,1977.71,-18082.546875,3695.24,159.5746
269,1345000,372.4525,269,1059.5,-17549.69921875,1075.95,225.4169
270,1350000,366.9073,270,1241.71,-17257.18359375,1910.36,208.1128
271,1355000,356.9752,271,3261.75,-17722.35546875,3256.68,189.0928
272,1360000,366.4724,272,2844.02,-17887.41796875,1727.69,213.6204
273,1365000,371.0487,273,1121.87,-17781.451171875,1535.27,232.0616
274,1370000,369.9084,274,865.16,-17570.328125,1381.0,211.6026
275,1375000,354.1251,275,957.44,-17446.611328125,1737.7,209.2089
276,1380000,369.7994,276,2045.93,-18213.119140625,3465.25,193.9221
277,1385000,366.6509,277,1834.13,-17864.70703125,2016.31,197.5688
278,1390000,359.3588,278,2636.2,-18362.419921875,2811.87,184.5757
279,1395000,360.1274,279,1601.96,-17953.833984375,2981.74,194.8115
280,1400000,356.7531,280,452.85,-18021.51953125,1644.59,194.8416
281,1405000,364.3599,281,1308.7,-18227.955078125,2651.69,193.7772
282,1410000,378.1433,282,1779.44,-18184.8828125,2081.2,213.5598
283,1415000,371.6792,283,2483.08,-18444.51953125,2856.59,200.4566
284,1420000,341.8621,284,1584.1,-18201.505859375,3241.32,167.7321
285,1425000,380.5959,285,1567.43,-18067.4296875,2162.54,201.0764
286,1430000,371.5229,286,2273.39,-17949.70703125,1895.77,205.1075
287,1435000,348.9453,287,3289.51,-18091.892578125,3376.29,201.2452
288,1440000,375.3953,288,883.0,-17923.796875,1517.6,205.5789
289,1445000,379.8818,289,1386.52,-17969.541015625,1893.36,238.8824
290,1450000,394.5077,290,733.6,-17222.95703125,890.02,225.8175
291,1455000,361.1803,291,2368.81,-17853.12109375,2623.62,184.9929
292,1460000,391.1731,292,397.94,-17146.212890625,1365.47,234.1835
293,1465000,346.101,293,1838.08,-16952.568359375,2621.41,183.829
294,1470000,361.2166,294,1339.53,-18179.02734375,2616.03,185.8753
295,1475000,359.101,295,1502.69,-18128.10546875,1615.73,196.0231
296,1480000,351.7916,296,2427.25,-18098.0,2762.6,171.9291
297,1485000,343.4429,297,2252.28,-18101.9140625,2596.57,163.6513
298,1490000,344.4459,298,1316.67,-17657.216796875,1988.37,226.9059
299,1495000,345.1654,299,1456.0,-17315.384765625,3030.69,202.3767
300,1500000,326.5073,300,2008.53,-17768.2578125,2685.66,161.7397
301,1505000,360.0094,301,2325.66,-18279.658203125,1383.59,195.918
302,1510000,331.9383,302,2010.76,-18162.677734375,2951.02,166.4612
303,1515000,390.4233,303,738.01,-17971.43359375,710.61,250.6223
304,1520000,378.8496,304,1903.92,-18142.298828125,1498.56,219.1396
305,1525000,386.7874,305,921.83,-17841.697265625,971.21,248.1071
306,1530000,338.0542,306,2088.67,-17941.70703125,3041.6,159.6412
307,1535000,317.8598,307,2559.23,-17660.14453125,4154.46,142.8317
308,1540000,318.6715,308,1733.21,-17662.166015625,3947.98,144.9967
309,1545000,330.689,309,3437.35,-18081.501953125,4681.91,135.6661
310,1550000,318.1481,310,3593.13,-17742.955078125,3409.27,135.2903
311,1555000,320.5947,311,3830.4,-18244.552734375,4485.72,132.1382
312,1560000,321.7089,312,4195.22,-18241.5625,4403.57,131.4163
313,1565000,337.9936,313,3037.94,-18378.802734375,4589.16,150.7124
314,1570000,335.0051,314,3181.04,-18354.392578125,4148.65,145.5417
315,1575000,333.0635,315,3279.88,-18457.900390625,3814.75,139.4899
316,1580000,336.4216,316,4354.44,-18513.939453125,4762.57,145.137
317,1585000,332.9329,317,3705.96,-18199.537109375,4705.16,154.508
318,1590000,348.8765,318,3676.76,-18647.0390625,3246.46,160.9562
319,1595000,337.185,319,4048.01,-18596.65234375,4507.4,147.6921
320,1600000,337.0608,320,2944.99,-18548.416015625,4482.75,158.596
321,1605000,326.1213,321,2965.78,-18488.208984375,4019.38,139.8094
322,1610000,349.5299,322,1545.82,-18728.748046875,2442.12,175.8794
323,1615000,349.3306,323,2476.72,-18675.26953125,3504.77,192.1405
324,1620000,350.9385,324,1609.85,-18562.916015625,3686.77,191.0145
325,1625000,341.5318,325,4086.26,-18761.5859375,4489.52,156.3776
326,1630000,354.4317,326,1924.1,-18857.048828125,3530.47,160.2711
327,1635000,342.8373,327,2933.6,-18756.375,3349.82,164.8091
328,1640000,346.4127,328,4234.69,-18674.7265625,3806.29,168.1977
329,1645000,347.9163,329,3063.58,-18616.267578125,2360.09,172.2073
330,1650000,361.1506,330,2567.76,-18654.369140625,3421.6,189.6096
331,1655000,338.7738,331,2479.24,-18720.21875,3019.21,166.1843
332,1660000,343.0059,332,3350.34,-18804.333984375,3933.33,165.6615
333,1665000,344.163,333,2748.96,-18652.611328125,2716.73,174.8357
334,1670000,349.0428,334,2645.72,-18786.984375,3637.51,191.3487
335,1675000,355.105,335,3097.78,-18940.169921875,3440.9,171.9585
336,1680000,334.8785,336,2613.49,-18821.705078125,4061.95,154.9154
337,1685000,346.0563,337,2769.99,-18761.923828125,2504.29,208.2881
338,1690000,332.3429,338,2342.61,-18710.857421875,3387.55,167.6913
339,1695000,346.9149,339,2777.72,-18769.859375,3533.34,159.0431
340,1700000,358.8227,340,2626.17,-18789.1953125,3309.33,190.5292
341,1705000,351.9862,341,1828.37,-18641.69921875,3115.46,199.7758
342,1710000,336.5664,342,2729.55,-18832.34375,3166.04,170.1487
343,1715000,359.3201,343,1940.68,-18757.744140625,2265.03,198.6748
344,1720000,338.6987,344,1934.51,-18700.91015625,3084.66,179.1682
345,1725000,358.0344,345,1953.0,-18823.63671875,2426.63,224.0237
346,1730000,329.3417,346,4865.67,-18483.482421875,4384.69,134.7317
347,1735000,335.7966,347,2474.14,-18948.029296875,4322.14,140.3362
348,1740000,320.9857,348,3063.21,-18717.6171875,4023.52,127.7275
349,1745000,312.8219,349,3167.84,-18554.84765625,4344.09,125.1785
350,1750000,327.0854,350,2412.24,-18910.90234375,3659.37,141.458
351,1755000,320.8607,351,2275.28,-18666.18359375,4047.36,123.9199
352,1760000,330.2927,352,2960.37,-18827.51171875,4181.32,135.4774
353,1765000,338.399,353,2816.2,-18584.908203125,3818.76,185.9726
354,1770000,326.5982,354,2965.5,-18484.119140625,4188.93,133.6076
355,1775000,329.1478,355,2817.13,-18742.427734375,3411.63,156.5933
356,1780000,330.1433,356,2976.81,-18901.6953125,4714.22,134.8541
357,1785000,357.6825,357,2429.19,-18840.330078125,2464.43,207.9742
358,1790000,332.3057,358,3025.6,-18798.7109375,4010.17,147.7926
359,1795000,329.5328,359,3257.41,-18925.43359375,3683.06,157.2352
360,1800000,344.6635,360,4178.76,-19103.75,4818.89,155.8304
361,1805000,327.2591,361,2905.96,-18921.638671875,4410.1,142.7723
362,1810000,332.6398,362,4119.61,-18976.056640625,4175.5,141.1144
363,1815000,325.8043,363,1529.75,-18729.15234375,3440.31,152.2225
364,1820000,338.8063,364,2427.04,-19028.296875,4112.57,164.6137
365,1825000,334.6341,365,1259.79,-18749.783203125,2491.42,174.6576
366,1830000,361.146,366,2159.91,-18843.91796875,2788.19,207.9208
367,1835000,324.4894,367,2641.69,-18911.435546875,2936.73,135.3
368,1840000,328.8094,368,1395.39,-18863.994140625,3833.65,140.488
369,1845000,331.7782,369,801.28,-18874.919921875,3327.24,148.2079
370,1850000,326.6042,370,1423.54,-18702.591796875,3789.0,128.4366
371,1855000,325.9118,371,2988.03,-18863.90625,4216.4,143.0393
372,1860000,331.9295,372,2673.95,-18979.275390625,4196.86,140.667
373,1865000,327.875,373,2051.44,-18945.568359375,4789.17,143.0528
374,1870000,318.2811,374,3692.4,-18894.943359375,4222.7,132.4146
375,1875000,323.7265,375,2372.36,-18915.166015625,4535.45,130.1699
376,1880000,326.2081,376,3113.22,-18936.419921875,3942.0,136.9738
377,1885000,331.2799,377,2479.65,-18762.0234375,4088.52,158.8251
378,1890000,323.2417,378,4050.14,-18937.115234375,3746.96,129.2322
379,1895000,327.9496,379,3373.95,-18941.935546875,4517.97,129.9103
380,1900000,334.1837,380,1722.41,-18840.0234375,4372.72,172.3252
381,1905000,335.174,381,3292.07,-19066.826171875,4508.49,142.9139
382,1910000,338.7141,382,3007.36,-18954.296875,4543.98,158.8417
383,1915000,327.9713,383,2581.28,-19013.732421875,4480.86,137.1159
384,1920000,344.6288,384,3225.07,-19107.54296875,4565.11,164.8556
385,1925000,333.2119,385,3522.92,-19075.685546875,3852.23,146.9033
386,1930000,326.9936,386,2628.71,-18964.71484375,3757.75,149.6261
387,1935000,342.1852,387,3046.51,-19016.896484375,4057.11,172.3431
388,1940000,329.9863,388,2944.46,-18910.40234375,4280.98,155.2726
389,1945000,332.7823,389,3592.05,-19020.166015625,4050.39,163.6354
390,1950000,330.4155,390,3908.64,-19119.7734375,4152.26,144.2898
391,1955000,332.6736,391,3029.01,-19036.9453125,4541.74,143.4229
392,1960000,328.6941,392,4506.57,-18885.515625,4793.72,151.3328
393,1965000,326.688,393,4152.44,-18972.935546875,4832.56,137.4406
394,1970000,328.6339,394,4239.58,-18915.5859375,4710.16,170.0141
395,1975000,330.2317,395,3175.02,-19081.7109375,4622.49,139.904
