Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time,Real Det Return
595000,-1806.6453857421875,1765.84,119,22.7348,17.3649,119,3484.24
600000,-1058.8209228515625,2740.48,120,22.1769,15.2616,120,3417.23
605000,-2079.186279296875,1934.02,121,22.2918,17.1047,121,3503.96
610000,-2036.4306640625,1954.57,122,20.9867,17.921,122,3403.74
615000,-873.5642700195312,2553.42,123,21.1874,13.9316,123,3401.98
620000,-1500.7392578125,2348.43,124,21.1009,16.9962,124,3410.83
625000,-1575.3387451171875,2584.64,125,22.8841,17.1964,125,3409.77
630000,-1084.0128173828125,2994.66,126,21.6327,15.8451,126,3417.78
635000,-965.4198608398438,3170.69,127,20.7378,14.4067,127,3405.65
640000,-2299.034423828125,2461.27,128,22.6885,19.7441,128,3427.69
645000,-998.2457885742188,2904.88,129,20.8108,15.6312,129,3387.31
650000,-2080.205810546875,2004.15,130,22.9343,19.1661,130,3384.2
655000,-928.9970092773438,2790.46,131,21.264,15.4095,131,3420.93
660000,-2450.65673828125,2337.25,132,22.2494,20.6099,132,2728.18
665000,-1113.408935546875,2848.42,133,20.3141,13.2355,133,3409.15
670000,-2090.45068359375,2162.93,134,22.6057,17.0505,134,2896.5
675000,-675.111328125,2976.51,135,20.0493,13.039,135,3401.35
680000,-1306.887451171875,3063.96,136,20.9982,14.8447,136,3426.53
685000,-1688.113525390625,1736.26,137,21.2682,17.814,137,3235.82
690000,-2057.268310546875,2666.9,138,21.9752,18.5601,138,3435.44
695000,-931.0189819335938,2620.4,139,21.136,13.6018,139,3489.05
700000,-1246.469482421875,2900.58,140,20.5156,13.1814,140,3475.15
705000,-850.6279907226562,2682.23,141,20.3607,12.8995,141,3482.03
710000,-1329.5389404296875,2440.86,142,21.8165,13.0692,142,3074.95
715000,-1861.5484619140625,2874.92,143,20.4609,13.296,143,3461.67
720000,-1146.8597412109375,3193.16,144,21.1262,13.3052,144,3455.95
725000,-2787.964111328125,1575.72,145,22.8864,15.8199,145,2076.72
730000,-2508.31591796875,1812.68,146,22.9646,14.383,146,2133.62
735000,-2094.011962890625,2453.98,147,22.0917,15.1704,147,3491.85
740000,-1948.5623779296875,2553.26,148,21.548,13.5336,148,3510.93
745000,-1596.2392578125,2661.97,149,21.4739,14.8035,149,3396.83
750000,-2383.764892578125,1741.27,150,21.9331,13.6114,150,1515.14
755000,-2881.59912109375,2028.26,151,22.9811,15.5376,151,2846.05
760000,-1736.653076171875,2287.88,152,22.0186,13.5991,152,2690.26
765000,-1893.043701171875,2570.88,153,21.5096,14.1478,153,3453.22
770000,-2810.74072265625,1849.56,154,22.8364,17.8133,154,2742.08
775000,-1805.1246337890625,2629.54,155,21.0965,13.284,155,3445.41
780000,-2576.387451171875,1768.61,156,22.2767,14.5399,156,2804.67
785000,-2476.319580078125,1817.02,157,21.7533,20.8802,157,3392.7
790000,-1843.8236083984375,2855.01,158,20.9378,13.7923,158,3464.69
795000,-2830.95458984375,1673.8,159,22.2437,17.3118,159,3521.03
800000,-2284.6845703125,2265.52,160,22.6431,14.744,160,3492.25
805000,-2727.718017578125,1702.55,161,22.1696,14.6565,161,3563.5
810000,-3613.042724609375,1420.13,162,23.3824,14.5341,162,2415.06
815000,-2126.556640625,2273.73,163,20.9168,14.8502,163,3488.08
820000,-2693.984130859375,2474.14,164,21.4788,19.5915,164,3524.14
825000,-2993.40771484375,1760.44,165,23.6367,14.8507,165,1967.49
830000,-4010.0068359375,1855.7,166,23.2271,25.9973,166,2383.48
835000,-3728.553955078125,1723.96,167,23.1508,17.4332,167,3476.36
840000,-2004.6722412109375,2337.77,168,22.1691,26.8762,168,3491.51
845000,-1721.3231201171875,2332.97,169,21.2796,14.9891,169,2909.39
850000,-812.2984008789062,2561.48,170,20.5736,12.5445,170,3393.21
855000,-3363.75732421875,1508.35,171,22.4626,37.6671,171,2862.14
860000,-3063.95263671875,1968.34,172,23.1245,19.0824,172,1897.08
865000,-2739.698974609375,2086.75,173,22.0522,22.4942,173,3473.98
870000,-2111.372314453125,2391.51,174,22.1604,14.1977,174,3296.39
875000,-1904.3089599609375,2522.15,175,20.4669,24.9509,175,3309.68
880000,-2012.90380859375,2843.96,176,21.0549,22.3782,176,3451.04
885000,-4092.2333984375,1548.13,177,22.7684,19.0263,177,3041.19
890000,-4044.540771484375,1875.0,178,21.8384,25.7087,178,3019.58
895000,-2772.866943359375,2072.87,179,22.3745,15.3865,179,3207.94
900000,-3196.334716796875,2078.27,180,21.2982,17.2807,180,2572.44
905000,-3773.561767578125,2326.6,181,22.5095,16.9153,181,2331.52
910000,-4102.49267578125,1632.78,182,23.2159,27.2056,182,3630.85
915000,-2304.898681640625,2857.14,183,21.9376,14.5532,183,3496.78
920000,-2433.895263671875,2245.86,184,22.2047,16.8461,184,3138.52
925000,-4522.462890625,1694.23,185,23.6535,27.3524,185,2292.25
930000,-1737.0452880859375,2555.44,186,21.1258,12.7925,186,3195.11
935000,-1823.6812744140625,3070.27,187,21.3246,12.5829,187,3429.91
940000,-4388.21240234375,1813.73,188,22.9266,19.6239,188,2946.35
945000,-4632.353515625,1430.32,189,22.734,17.0943,189,1329.48
950000,-2816.2978515625,2492.34,190,22.4762,13.5444,190,2879.56
955000,-3773.1123046875,1830.98,191,21.8649,14.2186,191,2817.85
960000,-4897.4267578125,1744.46,192,23.5372,21.9673,192,2500.51
965000,-3068.893798828125,1878.7,193,21.6666,13.981,193,3576.28
970000,-4676.46728515625,1576.5,194,22.6014,18.9651,194,1425.43
975000,-4573.07177734375,2197.66,195,21.8669,18.6467,195,1891.18
980000,-4460.32373046875,1651.6,196,23.2826,16.6665,196,1896.9
985000,-4435.50927734375,1569.07,197,23.285,14.1501,197,1807.83
990000,-4520.2236328125,1562.17,198,23.1198,14.1644,198,1686.29
995000,-4185.13330078125,2030.14,199,22.3507,14.4135,199,3140.07
