Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
242,40.6898,18.3966,4396.26,4461.75
243,40.4277,17.1342,4165.78,4424.14
244,40.1516,16.6433,4203.79,4496.78
245,40.6439,17.2944,4212.68,4546.22
246,40.1321,16.3672,4447.48,4494.83
247,40.3584,15.6098,4425.9,4470.46
248,40.578,15.4944,4224.52,4529.63
249,41.3915,15.5488,4391.98,4457.76
250,40.2111,15.4504,4291.8,4424.58
251,40.5507,15.3639,4435.93,4536.28
252,41.0181,16.7828,4056.31,4522.66
253,40.8367,16.7088,4264.7,4465.6
254,41.0778,16.4363,4032.73,4446.2
255,41.1447,15.4568,4037.93,4361.11
256,40.9782,14.2755,4200.23,4453.65
257,40.8803,16.2912,3888.54,4508.39
258,40.7262,16.3727,4425.61,4488.6
259,40.4144,17.0777,4435.53,4555.96
260,40.6298,17.0361,4415.85,4476.05
261,40.4636,15.8889,4354.69,4521.2
262,41.0754,16.8446,4423.19,4441.49
263,40.2407,16.0461,4384.27,4490.57
264,40.4553,15.3416,4425.0,4515.98
265,40.5427,15.278,4318.65,4282.21
266,40.1834,14.0292,4228.07,4476.72
267,40.427,14.9846,3962.82,4442.44
268,42.5636,36.7122,14.26,15.66
269,42.0505,14.67,992.96,1965.31
270,41.914,21.9348,3138.96,2368.56
271,40.8149,16.0271,4001.09,4156.37
272,40.0562,15.8954,4210.59,4423.87
273,40.3963,15.4664,4393.35,4399.61
274,40.7862,16.6125,4238.71,4358.12
275,40.4819,15.7701,3838.67,4441.82
276,40.628,16.9579,4019.38,4430.21
277,40.6519,16.4667,4196.08,4448.38
278,40.137,17.4135,4454.9,4446.44
279,52.3311,32.8025,368.5,221.74
280,49.9529,17.5528,365.87,198.37
281,52.2264,29.6589,932.25,862.94
282,43.777,22.3021,378.35,1301.74
283,41.4438,15.188,3897.7,3926.23
284,40.7107,18.0917,3944.48,4178.95
285,41.1843,17.9766,3412.17,3838.73
286,40.7485,17.0294,4125.62,3958.53
287,41.1888,16.3306,3666.39,4173.0
288,40.4567,17.697,4298.46,4294.83
289,40.2115,17.8541,4174.28,4353.28
290,40.4983,18.1474,4359.4,4306.97
291,52.1034,66.381,24.63,41.27
292,46.1469,32.1954,25.69,-0.72
293,41.1076,21.7634,1467.4,925.87
294,40.9709,19.021,3747.41,4017.24
295,41.7455,20.5109,3555.71,3386.39
296,40.6269,16.9349,3935.74,4282.84
297,40.6365,17.0532,3682.28,1897.17
298,41.2862,16.81,4306.92,4308.3
299,40.7685,17.4181,4364.98,4374.28
300,40.7065,16.3147,4018.55,4180.67
301,40.3726,15.5554,4404.15,4401.01
302,40.3401,15.6945,4298.15,4440.13
303,40.4216,15.2922,4378.04,4411.94
304,40.3905,15.6944,4393.61,4431.32
305,40.0643,15.0905,4413.73,4469.02
306,40.1644,15.9437,4248.16,4433.96
307,40.0064,15.7626,4382.33,4402.57
308,40.2061,16.2998,4298.71,4440.6
309,40.1502,16.0102,4388.75,4438.68
310,40.3935,15.5388,4378.62,4432.68
311,39.6656,15.5547,4324.04,4400.88
312,40.1877,15.9,4382.7,4399.97
313,39.9673,15.6484,4377.42,4416.69
314,40.0663,15.2193,4350.83,4403.38
315,40.0349,15.1517,4382.99,4440.76
316,40.0451,15.3415,4211.82,4476.38
317,40.628,14.6925,4197.47,4465.28
318,40.4456,13.4537,3927.95,3686.72
319,40.1608,15.8044,4404.18,4412.59
320,40.3306,21.0196,4450.7,4483.8
321,40.2779,14.5567,4326.14,4342.67
322,40.1958,15.6515,4410.41,4440.07
323,40.0073,14.7389,4371.87,4369.42
324,39.8124,15.5401,4380.97,4443.86
325,39.6517,14.1812,4299.28,4430.85
326,43.1071,38.8702,358.47,292.42
327,39.2589,15.4991,4106.75,4362.58
328,40.4912,31.6012,2966.51,901.62
329,40.5477,30.5464,1990.68,2676.77
330,40.1547,18.3786,4091.85,4438.84
331,39.7984,18.082,4293.15,4486.5
332,39.9838,16.3977,4429.08,4466.59
333,39.7572,15.7686,4458.22,4490.27
334,39.9956,15.6074,4463.45,4544.37
335,40.0194,16.2287,4381.66,4521.85
336,40.0411,15.9642,4262.95,4433.29
337,39.8677,15.9481,4255.1,4471.43
338,40.1673,15.628,4115.87,4404.34
339,40.3543,17.8475,4060.41,4043.56
340,40.2499,16.9108,4187.72,4400.07
341,40.0062,16.0433,4195.54,4395.13
342,39.645,15.0849,4387.57,4437.86
343,40.4538,17.8007,3156.01,2695.15
344,39.9812,16.8644,3983.57,4420.13
345,40.15,16.1592,4371.34,4335.3
346,39.9962,14.6684,2382.55,4366.49
347,39.6783,15.0745,4189.41,4365.97
348,39.8401,15.1604,4028.99,4411.92
349,39.5687,15.7048,4193.21,4276.95
350,39.2045,15.0433,4401.91,4372.43
351,39.4849,15.7634,4366.37,4348.26
352,39.5296,15.1423,3963.71,4340.61
353,39.4857,18.5688,3338.12,4383.83
354,41.1211,21.4702,807.0,4218.95
355,39.8089,17.1506,4360.13,4338.59
356,39.8393,17.4135,4403.67,4356.17
357,40.236,16.9899,4230.39,4309.53
358,39.6955,15.9556,4399.25,4326.5
359,39.3301,15.6618,4397.77,4398.66
360,39.7158,16.3157,4357.2,4301.47
361,39.6326,16.5501,4395.33,4396.38
362,39.4926,15.5617,4409.76,4437.31
363,39.6399,16.2038,4396.45,4363.43
364,39.3449,16.7785,4443.66,4439.22
365,39.3152,15.6046,4416.13,4475.81
366,39.4678,16.1838,4401.18,4424.11
367,39.2987,14.8383,4402.53,4463.0
368,39.5187,16.0907,4223.78,4398.66
369,39.656,15.9787,4225.26,4261.82
370,40.217,16.2101,4370.9,4413.68
371,39.5227,16.7031,4452.03,4501.31
372,39.658,16.0893,4295.11,4448.9
373,39.5524,18.0042,4114.1,4378.6
374,39.6745,23.8074,4092.78,4029.07
375,39.2621,15.964,4431.06,4456.68
376,39.5234,15.3169,4369.38,4419.75
