Running Env Steps,Running Update Time,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Itration
575000,115,15.5495,2297.37,3350.23,19.9516,-1146.48583984375,115
580000,116,20.649,2068.85,3297.54,21.2718,-1695.031494140625,116
585000,117,19.6815,2560.67,3282.11,20.6187,-911.7905883789062,117
590000,118,12.1303,3015.5,3240.23,19.2988,-779.0636596679688,118
595000,119,14.9044,2275.71,3195.32,20.0082,-1083.9503173828125,119
600000,120,18.5998,2263.43,2285.54,20.8343,-1129.8770751953125,120
605000,121,12.7636,3049.83,3264.68,19.7982,-876.0614013671875,121
610000,122,11.4906,2811.29,3231.99,19.4858,-914.240966796875,122
615000,123,17.1367,2375.49,2911.47,19.7349,-1236.87744140625,123
620000,124,13.8593,2943.38,3385.08,20.2845,-953.0328369140625,124
625000,125,11.2106,3163.35,3228.06,19.1254,-737.091552734375,125
630000,126,11.767,2737.99,3092.08,19.3323,-903.2194213867188,126
635000,127,13.4883,2888.74,3360.04,19.9413,-1108.15087890625,127
640000,128,11.8371,2914.35,3287.07,19.7408,-1011.2418823242188,128
645000,129,12.3116,2401.35,3039.54,19.3718,-1310.1611328125,129
650000,130,13.2157,2712.17,2667.04,20.2263,-1239.57080078125,130
655000,131,14.4274,2526.93,3225.67,20.0332,-1372.7200927734375,131
660000,132,11.4758,2890.68,3319.51,19.5293,-874.9789428710938,132
665000,133,11.1682,2300.13,2008.47,20.2701,-1117.970458984375,133
670000,134,13.018,1992.02,1706.67,21.2442,-1611.1339111328125,134
675000,135,14.037,2721.03,3486.87,19.7612,-1191.2764892578125,135
680000,136,10.5966,3119.76,3354.31,19.8945,-1027.1829833984375,136
685000,137,13.8518,2201.47,2264.13,20.4953,-1420.7564697265625,137
690000,138,13.2842,2089.91,1826.54,20.5519,-1508.8818359375,138
695000,139,13.2817,2254.98,2962.98,20.6472,-1458.0521240234375,139
700000,140,10.8327,2786.28,3452.66,19.5826,-995.9556274414062,140
705000,141,12.0839,2401.12,2764.23,20.7149,-1408.7884521484375,141
710000,142,14.1822,1726.05,2483.74,22.768,-2128.21875,142
715000,143,10.9481,3268.04,3447.43,19.9906,-845.6127319335938,143
720000,144,11.667,1995.87,2176.02,20.686,-1754.266357421875,144
725000,145,11.3876,2025.22,2738.91,19.1728,-1776.900634765625,145
730000,146,10.4124,2811.4,3239.94,18.9077,-1005.3375854492188,146
735000,147,11.2038,2719.32,3314.83,19.8269,-1227.54736328125,147
740000,148,11.0263,2745.2,3287.47,19.7202,-1239.7574462890625,148
745000,149,13.1667,2483.27,2992.49,20.2749,-1658.133544921875,149
750000,150,11.2901,2909.88,3128.47,19.9052,-1088.661865234375,150
755000,151,10.5104,2770.58,3259.52,19.0304,-1112.2685546875,151
760000,152,12.2765,2269.57,1748.87,19.6266,-1942.7227783203125,152
765000,153,10.6545,2766.51,3279.0,19.1856,-1060.65673828125,153
770000,154,14.4977,2797.41,3172.36,19.7969,-1618.788818359375,154
775000,155,10.9112,2926.11,2941.52,19.8983,-1240.88134765625,155
780000,156,12.2766,2007.32,1632.8,19.5751,-1722.436767578125,156
785000,157,11.6512,2486.68,3379.22,20.3176,-1594.2603759765625,157
790000,158,10.8618,2428.24,3420.78,19.3466,-1231.080810546875,158
795000,159,10.4513,3240.66,3301.22,19.1333,-1201.0491943359375,159
800000,160,9.9933,3078.2,3081.94,18.98,-933.7688598632812,160
805000,161,12.293,2325.67,2151.85,20.0785,-1757.67529296875,161
810000,162,10.2934,3203.5,3387.31,19.4499,-875.8392944335938,162
815000,163,12.4178,2664.08,3467.77,19.9057,-1789.33447265625,163
820000,164,10.8206,2743.35,3299.38,19.146,-1355.968017578125,164
825000,165,12.2915,2496.97,2742.0,19.899,-1932.1907958984375,165
830000,166,10.3757,2708.5,3334.3,19.5919,-1030.1234130859375,166
835000,167,15.6407,2048.4,2837.65,20.6872,-2613.471435546875,167
840000,168,13.3695,2010.49,1721.08,20.1431,-2034.6641845703125,168
845000,169,12.1477,2550.46,3339.92,20.0903,-2042.51318359375,169
850000,170,12.3603,2273.45,3032.69,20.5642,-1841.7181396484375,170
855000,171,10.6545,3071.39,3258.34,19.4692,-1122.83056640625,171
860000,172,16.1963,1465.91,1407.58,21.3315,-3197.49853515625,172
865000,173,14.9972,1919.89,1864.56,20.1778,-2265.882568359375,173
870000,174,11.2087,3094.85,3356.6,19.7776,-1285.73779296875,174
875000,175,13.4922,2598.73,2837.93,19.7657,-1737.52783203125,175
880000,176,10.6302,2792.53,2148.21,19.4961,-1041.5732421875,176
885000,177,14.8712,2037.79,1844.8,20.6394,-2265.81689453125,177
890000,178,11.2356,2595.18,2523.06,19.4026,-1090.284423828125,178
895000,179,14.3515,2024.4,1816.64,20.541,-2514.07275390625,179
900000,180,13.0758,2188.8,1735.48,20.3781,-2303.511962890625,180
905000,181,12.7014,2297.58,2238.79,20.5165,-2024.8409423828125,181
910000,182,12.1135,2436.71,2955.65,19.067,-1865.309326171875,182
915000,183,16.1529,2548.76,2169.58,20.3781,-2490.983154296875,183
920000,184,14.3152,2177.25,2223.64,20.4142,-2702.56494140625,184
925000,185,13.2829,2536.66,2184.09,19.9768,-2365.489013671875,185
930000,186,17.3791,1884.94,1989.73,21.0053,-2817.015380859375,186
935000,187,12.9014,2578.03,2751.91,19.4079,-2574.007568359375,187
940000,188,11.3826,3247.12,3514.17,19.4717,-1368.3228759765625,188
945000,189,14.9443,2066.8,1934.51,20.5349,-3160.923095703125,189
950000,190,13.7592,2565.53,2826.93,20.4124,-2382.00732421875,190
955000,191,16.5175,2003.52,1659.06,21.2642,-3149.862060546875,191
960000,192,14.1437,1587.42,1774.51,20.4326,-3473.075927734375,192
965000,193,12.7517,2384.4,3199.3,21.0086,-2942.592041015625,193
970000,194,11.4425,2580.36,3025.02,19.5322,-2145.5078125,194
975000,195,10.2058,2728.96,3239.57,18.7622,-1106.8780517578125,195
980000,196,10.7083,2477.33,1966.53,19.9676,-2247.92919921875,196
985000,197,10.6756,2867.55,2885.86,19.4481,-1419.0994873046875,197
990000,198,14.6368,2902.69,2708.72,20.7289,-2494.648681640625,198
995000,199,11.0577,2855.93,2071.17,19.1216,-1633.9359130859375,199
