Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps
128,19.5834,10415.84,145.5523,-9745.0859375,10815.94,128,640000
129,19.5545,10605.53,145.1879,-9739.572265625,10921.43,129,645000
130,18.2654,10500.48,145.8571,-9713.298828125,10915.95,130,650000
131,19.4464,10357.21,146.4975,-10403.798828125,10746.25,131,655000
132,18.9801,10319.58,144.7682,-9863.9833984375,10871.25,132,660000
133,18.7052,10705.38,144.3471,-9678.9541015625,11119.18,133,665000
134,18.2845,10774.94,144.4136,-9820.0302734375,11145.61,134,670000
135,19.0481,10590.11,145.6893,-10257.6015625,10862.75,135,675000
136,19.2585,10864.27,145.2909,-10108.4267578125,11214.48,136,680000
137,19.0644,10414.17,146.3584,-10766.607421875,10723.71,137,685000
138,19.3472,10485.08,145.6291,-10340.5947265625,11062.46,138,690000
139,19.6605,10339.92,146.3904,-11040.0986328125,10637.14,139,695000
140,18.7192,10476.66,145.5847,-10799.5126953125,10756.24,140,700000
141,17.1878,10303.15,143.5814,-10107.6865234375,10668.93,141,705000
142,18.5307,10652.67,144.7234,-10470.396484375,11100.7,142,710000
143,17.4269,10663.54,144.7231,-10576.9130859375,11227.85,143,715000
144,18.3567,10600.54,144.7851,-10730.5400390625,11273.68,144,720000
145,17.5805,10263.84,144.4753,-10935.580078125,10691.07,145,725000
146,18.0828,10543.8,144.4955,-10900.0615234375,11020.0,146,730000
147,18.5204,10569.87,145.6338,-11276.955078125,10703.69,147,735000
148,18.4408,10717.76,144.8851,-10710.4091796875,11512.28,148,740000
149,19.2215,10781.61,144.7324,-11041.099609375,11127.39,149,745000
150,17.736,10829.94,144.5221,-11878.107421875,11160.45,150,750000
151,18.5367,10932.67,144.5155,-11017.1064453125,11307.14,151,755000
152,19.5807,10936.86,144.8696,-11209.2470703125,11355.37,152,760000
153,19.2364,10996.31,143.25,-10905.73046875,11323.64,153,765000
154,18.3589,10664.07,144.6147,-11991.4072265625,11085.54,154,770000
155,18.3234,10893.92,143.7053,-11072.86328125,11513.57,155,775000
156,18.8675,10684.99,144.6651,-11902.1396484375,11197.77,156,780000
157,19.0869,11030.98,144.7241,-11684.65625,11397.87,157,785000
158,19.1995,10879.48,143.9252,-11362.4384765625,11440.67,158,790000
159,19.5628,10777.14,145.5457,-12381.814453125,11088.85,159,795000
160,18.8966,10898.06,144.3554,-11541.982421875,11168.59,160,800000
161,18.3406,10740.82,144.5247,-12262.658203125,11265.21,161,805000
162,19.3276,10749.32,145.8003,-12558.078125,11079.5,162,810000
163,18.6536,11028.83,143.4097,-11802.4208984375,11355.17,163,815000
164,19.7907,10884.58,145.0374,-12368.935546875,11167.2,164,820000
165,18.1029,10811.54,143.8865,-11574.58203125,11241.04,165,825000
166,18.7259,10690.28,144.4465,-12370.9501953125,11236.78,166,830000
167,18.7786,10947.08,144.328,-12234.482421875,10750.26,167,835000
168,18.0274,11027.6,143.9512,-11955.6064453125,11398.22,168,840000
169,18.8811,11040.2,143.9198,-12255.0771484375,11559.85,169,845000
170,19.6111,10826.04,145.2241,-13392.5517578125,11232.04,170,850000
171,18.5552,10953.2,143.5621,-12529.1064453125,11414.63,171,855000
172,19.036,10952.94,143.1882,-12378.544921875,11327.43,172,860000
173,18.4346,11221.17,143.3571,-12408.142578125,11833.56,173,865000
174,18.9655,11205.43,144.3261,-13056.939453125,11530.5,174,870000
175,18.6934,11216.49,143.7522,-12574.1630859375,11596.22,175,875000
176,19.1745,11187.83,144.5814,-12754.1708984375,11551.29,176,880000
177,17.3196,9990.12,144.4831,-14222.7431640625,9482.09,177,885000
178,18.1514,11034.29,143.9441,-13187.6240234375,11546.79,178,890000
179,18.5693,11019.1,144.0626,-13244.203125,11436.52,179,895000
180,18.565,10916.66,144.134,-13691.1982421875,11204.89,180,900000
181,18.9061,11198.46,143.3079,-12998.353515625,11721.14,181,905000
182,18.3109,11078.31,143.1488,-13254.41796875,11439.16,182,910000
183,18.7267,10413.14,143.9373,-13704.2578125,11717.56,183,915000
184,18.1812,11064.2,142.7639,-13500.3466796875,11461.43,184,920000
185,17.5474,11066.14,143.4528,-13799.55859375,11452.53,185,925000
186,18.402,10729.38,144.4287,-13800.427734375,11688.58,186,930000
187,19.468,11322.17,143.1232,-13429.5458984375,11836.71,187,935000
188,17.5511,11242.87,142.3672,-13745.16015625,11582.55,188,940000
189,16.6963,10590.28,144.167,-16541.078125,11427.01,189,945000
190,17.7563,10864.63,142.0795,-13769.4873046875,11562.85,190,950000
191,18.0663,10905.17,142.7419,-14187.763671875,11618.88,191,955000
192,17.6042,11434.09,142.5599,-13742.4873046875,11876.75,192,960000
193,16.1235,10609.7,143.7134,-15673.1552734375,11713.63,193,965000
194,17.1198,11378.78,142.2695,-14411.84375,11827.69,194,970000
195,19.1904,11244.65,143.395,-14649.6572265625,11760.31,195,975000
196,17.2801,11269.34,142.9036,-14694.2470703125,11717.93,196,980000
197,18.8505,9025.9,144.2595,-15057.6337890625,10783.03,197,985000
198,18.0893,11029.76,144.0474,-15366.640625,11471.47,198,990000
199,17.8819,10831.06,143.2215,-15184.2998046875,11671.99,199,995000
200,16.978,9957.28,143.3096,-16358.8056640625,11121.26,200,1000000
201,17.2479,9179.83,142.8916,-15767.322265625,10548.19,201,1005000
202,16.1112,8237.79,145.0474,-18391.33984375,9574.46,202,1010000
203,14.2596,6846.8,144.2375,-20688.5,9940.24,203,1015000
204,16.2346,9736.84,143.6671,-17761.92578125,9505.81,204,1020000
205,15.4267,10231.33,143.6492,-18859.34375,11717.15,205,1025000
