Real Sto Return,Running Reverse KL,Real Det Return,Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss
3036.08,14.31,3204.89,365000,73,73,22.3731,-515.9058837890625
2948.46,14.2091,3248.57,370000,74,74,21.9086,-516.6378173828125
3200.99,14.6282,3223.54,375000,75,75,22.3356,-533.215576171875
3200.95,14.795,3230.42,380000,76,76,21.7359,-496.2958679199219
2898.32,15.2814,3216.84,385000,77,77,22.2329,-813.8141479492188
3204.99,15.0148,3216.08,390000,78,78,22.1602,-544.490478515625
3093.7,14.4967,3231.94,395000,79,79,22.0888,-575.0704956054688
3184.12,15.3488,3204.86,400000,80,80,22.3934,-584.6942749023438
2993.6,14.1317,3214.43,405000,81,81,22.4769,-702.7988891601562
3212.23,14.9986,3233.1,410000,82,82,22.2777,-596.2785034179688
3187.89,15.4712,3215.86,415000,83,83,22.1842,-620.0753173828125
3111.38,14.4657,3243.45,420000,84,84,22.3023,-661.491943359375
3200.75,14.2205,3226.78,425000,85,85,21.2684,-581.4568481445312
3156.27,14.9015,3232.2,430000,86,86,21.7571,-610.34423828125
3113.39,14.2325,3210.95,435000,87,87,21.929,-642.48876953125
3161.73,14.3789,3204.92,440000,88,88,21.491,-665.1536865234375
2952.42,13.9684,3237.89,445000,89,89,21.8297,-721.0972290039062
3214.99,14.0454,3244.47,450000,90,90,20.9656,-667.1786499023438
2850.69,13.2678,3242.77,455000,91,91,21.8385,-696.8555297851562
2965.8,14.2532,3249.3,460000,92,92,21.6284,-721.109375
3038.36,13.6437,3205.23,465000,93,93,21.7246,-734.2379760742188
3215.57,14.4061,3203.79,470000,94,94,21.8081,-692.5205688476562
3023.4,13.5872,3235.25,475000,95,95,21.5416,-740.7542724609375
2986.33,13.9566,3242.24,480000,96,96,21.1318,-714.7322998046875
3243.64,14.9564,3253.06,485000,97,97,21.4623,-689.3010864257812
3233.83,14.6816,3234.97,490000,98,98,21.2278,-693.7782592773438
3192.73,14.8683,3257.81,495000,99,99,21.7785,-722.0348510742188
3147.45,14.3813,3251.32,500000,100,100,20.9251,-700.9698486328125
3209.8,14.5371,3226.12,505000,101,101,21.5989,-748.6064453125
2798.85,14.7145,3257.06,510000,102,102,21.385,-761.61181640625
2999.44,14.2594,3276.85,515000,103,103,20.8826,-731.923095703125
2735.32,13.7435,3274.38,520000,104,104,22.161,-912.7686767578125
3238.32,14.5661,3295.3,525000,105,105,21.2844,-736.86376953125
3151.39,14.607,3250.72,530000,106,106,21.8721,-801.2197265625
3247.23,14.5825,3239.56,535000,107,107,21.2801,-800.5208129882812
3184.37,14.1476,3298.29,540000,108,108,21.3067,-831.3869018554688
3243.43,13.8981,3265.26,545000,109,109,21.0241,-804.3598022460938
3205.87,14.3142,3256.82,550000,110,110,21.1826,-865.9259033203125
3230.38,15.1344,3230.41,555000,111,111,21.6937,-892.70263671875
3246.14,14.9965,3237.03,560000,112,112,21.7453,-951.9747314453125
3149.1,14.7279,3257.56,565000,113,113,21.661,-854.1758422851562
3212.71,13.6981,3245.92,570000,114,114,20.9295,-875.8411865234375
3267.48,14.2105,3269.37,575000,115,115,20.7524,-875.2057495117188
3264.92,14.4129,3285.95,580000,116,116,21.1,-895.6272583007812
2982.88,13.5319,3275.99,585000,117,117,21.2247,-977.9068603515625
3202.93,14.4366,3242.0,590000,118,118,20.7597,-926.910888671875
3264.77,14.3863,3250.07,595000,119,119,20.7205,-995.4522705078125
3231.47,14.1175,3297.14,600000,120,120,21.0469,-924.7511596679688
3285.12,14.501,3290.95,605000,121,121,20.9655,-962.6610107421875
3315.77,13.5641,3302.84,610000,122,122,21.2867,-1023.380859375
3136.75,14.2102,3273.3,615000,123,123,21.8649,-1118.9150390625
3274.62,13.4867,3272.31,620000,124,124,21.1017,-958.6961669921875
3277.91,14.2889,3269.1,625000,125,125,21.2086,-1057.79443359375
3309.22,14.5074,3319.1,630000,126,126,21.3529,-1037.31201171875
3255.37,14.3485,3246.83,635000,127,127,20.913,-1039.0916748046875
3280.46,14.0417,3292.94,640000,128,128,20.9594,-1039.03173828125
3176.36,14.3259,3251.16,645000,129,129,21.312,-1093.357666015625
3160.46,14.0947,3252.6,650000,130,130,21.0709,-1063.2159423828125
3294.4,13.9212,3303.89,655000,131,131,20.6032,-1061.451416015625
3245.29,13.6807,3301.85,660000,132,132,20.5245,-1025.050537109375
2433.92,11.9715,3211.14,665000,133,133,21.6549,-1229.328857421875
3042.93,12.9437,3304.62,670000,134,134,20.7044,-1126.679931640625
3020.58,12.6818,3252.96,675000,135,135,20.8728,-1135.2452392578125
3007.0,13.5205,3285.8,680000,136,136,21.2673,-1149.9261474609375
3272.94,13.8594,3285.69,685000,137,137,21.345,-1200.3699951171875
2466.78,19.7962,3288.22,690000,138,138,20.8426,-1387.7481689453125
3112.18,13.3866,3295.92,695000,139,139,21.1463,-1160.91552734375
3305.3,14.3822,3295.43,700000,140,140,21.3509,-1233.7354736328125
2977.93,17.0699,3293.72,705000,141,141,20.5665,-1175.9449462890625
3249.63,13.6555,3300.24,710000,142,142,21.0346,-1214.7554931640625
3192.96,14.8736,3293.31,715000,143,143,20.6567,-1289.5457763671875
2709.58,16.591,3311.23,720000,144,144,20.7987,-1304.8675537109375
3043.83,13.0517,3274.99,725000,145,145,20.2347,-1197.5513916015625
3305.45,14.4597,3330.14,730000,146,146,20.9282,-1223.279296875
3137.11,15.4203,3334.62,735000,147,147,21.3664,-1333.235595703125
2862.21,13.4601,3263.68,740000,148,148,20.3716,-1183.2364501953125
3217.36,13.7357,3316.2,745000,149,149,20.8759,-1284.2135009765625
2914.79,14.6761,3299.4,750000,150,150,20.6482,-1375.1329345703125
2433.46,13.5741,3296.36,755000,151,151,21.9143,-1548.26171875
3150.17,13.9644,3301.97,760000,152,152,20.3771,-1396.1190185546875
2593.74,12.408,3321.51,765000,153,153,20.6292,-1332.7900390625
3242.05,14.2827,3290.11,770000,154,154,21.0091,-1348.100830078125
2976.3,17.9735,3282.01,775000,155,155,20.9731,-1278.978515625
3219.71,13.2781,3286.08,780000,156,156,20.4764,-1292.38525390625
3195.93,13.5877,3314.08,785000,157,157,20.416,-1215.659423828125
3226.38,13.5271,3332.18,790000,158,158,20.4856,-1292.03662109375
3050.53,14.1712,3315.63,795000,159,159,21.4412,-1367.990234375
2949.12,13.0211,3305.35,800000,160,160,20.9064,-1347.53369140625
3317.38,14.0919,3344.86,805000,161,161,20.8639,-1338.5277099609375
2707.28,12.7284,3348.13,810000,162,162,20.5385,-1384.6085205078125
3144.89,13.4744,3315.75,815000,163,163,20.3549,-1288.31005859375
3349.41,13.7213,3450.77,820000,164,164,20.6002,-1353.173828125
2937.68,13.4433,3282.79,825000,165,165,21.0008,-1464.717529296875
3326.31,14.0144,3314.24,830000,166,166,20.8746,-1464.979736328125
3248.9,13.9894,3323.83,835000,167,167,20.9155,-1441.28857421875
3315.54,14.241,3280.17,840000,168,168,20.5887,-1480.9383544921875
3273.74,14.0572,3304.53,845000,169,169,20.6525,-1512.852783203125
3322.53,13.3978,3334.68,850000,170,170,20.5249,-1510.50341796875
3174.68,13.3003,3325.17,855000,171,171,20.4035,-1445.6429443359375
3147.86,13.7884,3304.57,860000,172,172,20.7249,-1595.5667724609375
3342.17,14.0209,3357.32,865000,173,173,20.3986,-1539.4114990234375
3320.02,14.154,3325.81,870000,174,174,20.7485,-1625.707763671875
3341.63,14.2022,3328.98,875000,175,175,20.8009,-1599.143310546875
3315.9,16.0953,3320.45,880000,176,176,21.3024,-1681.3236083984375
3322.48,13.6303,3331.02,885000,177,177,20.6365,-1600.45263671875
3247.04,13.4456,3328.23,890000,178,178,20.7671,-1564.44482421875
3330.72,14.0048,3335.88,895000,179,179,20.7024,-1598.89892578125
3234.8,13.5471,3280.07,900000,180,180,20.5046,-1551.7508544921875
2822.5,12.5078,3338.19,905000,181,181,20.3549,-1595.073974609375
3256.14,13.3838,3343.61,910000,182,182,20.2469,-1608.6837158203125
2414.63,11.8907,3312.19,915000,183,183,21.5654,-2056.810302734375
3338.1,13.7399,3343.1,920000,184,184,20.3848,-1727.364501953125
3370.73,14.3474,3417.36,925000,185,185,20.8101,-1653.3720703125
3226.24,14.2113,3352.01,930000,186,186,20.869,-1737.581298828125
3296.04,13.6348,3347.14,935000,187,187,20.4854,-1680.2745361328125
3289.41,13.6378,3344.2,940000,188,188,20.4064,-1683.7044677734375
3213.19,13.327,3317.52,945000,189,189,20.1772,-1634.2496337890625
3342.58,14.391,3322.88,950000,190,190,20.2721,-1894.3370361328125
3212.42,13.4175,3319.67,955000,191,191,20.4373,-1784.1939697265625
3243.5,13.3095,3325.93,960000,192,192,20.3582,-1801.8597412109375
3325.06,13.5969,3328.24,965000,193,193,20.8135,-1835.66943359375
3284.54,13.3133,3342.16,970000,194,194,20.4804,-1739.8096923828125
3254.86,13.544,3356.35,975000,195,195,20.4556,-1742.0357666015625
3348.08,14.0754,3369.52,980000,196,196,20.6068,-1783.8140869140625
3165.99,13.961,3328.09,985000,197,197,20.7844,-1805.2301025390625
3054.08,13.0248,3332.24,990000,198,198,20.3431,-1784.69384765625
3194.8,13.0514,3351.56,995000,199,199,19.8816,-1865.5908203125
