Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL
67,9286.74,8776.07,150.7181,20.0521
68,9336.74,8878.53,149.8809,19.164
69,9548.87,8628.59,149.8401,17.4932
70,9404.57,8901.94,150.5246,18.2982
71,9423.78,8900.99,150.3023,17.8659
72,9416.65,8204.97,149.719,18.4026
73,8965.24,8624.87,150.5213,19.4649
74,9478.06,8665.41,149.7561,19.9959
75,9090.58,8885.93,149.3587,17.946
76,9509.01,8357.47,148.9508,16.9853
77,9195.56,8772.42,150.6007,21.1339
78,9660.63,7960.93,148.7187,16.9538
79,9567.1,9189.76,149.8745,19.7686
80,9766.01,8958.31,149.2038,18.3643
81,9876.34,9331.56,149.2557,20.0143
82,9808.54,9417.88,148.8263,17.814
83,9635.68,9081.26,149.0765,20.3723
84,9532.43,9217.64,148.5871,18.7778
85,10004.3,9521.84,148.5203,18.2566
86,10104.69,9613.7,148.0752,19.1281
87,8972.57,8392.4,148.1471,18.055
88,9304.99,9066.34,149.0358,21.5061
89,9765.4,8875.72,148.0456,18.08
90,9714.36,9149.48,150.1188,21.0705
91,10004.22,9380.64,149.2907,21.5979
92,9682.03,9348.02,150.2622,21.3446
93,9864.74,9415.02,149.2172,19.982
94,8982.21,7875.8,147.6196,17.5153
95,9914.58,9502.19,148.5765,21.2397
96,9430.09,9344.46,149.0222,20.688
97,9902.03,9195.61,149.0689,20.1345
98,9850.87,9423.82,149.4259,21.9152
99,9830.03,9317.59,149.408,21.4634
100,9801.37,9342.33,148.7307,19.519
101,9493.62,8920.1,148.9189,18.8239
102,9634.97,9294.14,149.5401,21.6444
103,10125.56,9455.98,148.4767,18.7925
104,9966.92,9571.65,149.1545,20.4605
105,10171.82,9822.02,149.5734,21.0699
106,9989.89,9567.83,149.728,21.5174
107,10162.95,9520.81,148.6205,18.7782
108,9765.52,9434.92,149.3776,22.0467
109,10222.96,9639.36,148.7073,19.8114
110,10134.42,9602.44,148.724,19.5676
111,9691.32,9175.41,148.2846,18.3948
112,10147.33,9368.46,148.8923,18.4947
113,10095.18,9720.01,149.4604,20.9695
114,10332.44,9784.37,149.1108,21.0752
115,10263.95,9841.68,148.5787,21.6034
116,10093.75,9694.13,148.3095,21.4621
117,10219.59,9764.98,148.6378,20.7438
118,9644.34,9317.82,148.6157,19.4582
119,10553.18,9847.43,148.6696,20.5209
120,10581.63,10057.25,148.109,20.3768
121,10355.16,9928.35,149.1483,20.8094
122,10310.46,9867.3,147.9296,19.7237
123,10060.72,9673.17,148.886,19.9345
124,10311.36,9843.7,148.6593,21.3218
125,10478.54,9994.68,149.2519,21.6727
126,10282.68,9883.26,148.7453,20.4632
127,10278.34,9890.49,149.3384,22.0927
128,10530.32,9989.46,148.8273,20.8102
129,10179.85,9802.45,148.4218,18.3917
130,10516.38,9735.95,148.5807,19.515
131,10538.62,9692.3,149.1392,21.4971
132,10404.16,10030.41,147.3776,19.0462
133,9341.34,8640.96,147.8461,16.9388
134,10700.01,9845.15,147.5881,21.4038
135,10566.82,10045.78,147.1425,20.3089
136,10247.4,9821.58,149.4243,20.7616
137,10487.5,9999.88,148.9958,21.6148
138,10372.94,10017.7,148.1975,21.7959
139,10463.65,10068.17,147.7031,18.8641
140,10528.06,10079.61,149.6711,21.5686
141,10524.85,9894.47,147.3545,20.2636
142,10672.29,10308.94,148.2219,21.5309
143,10533.06,10052.0,148.8327,21.9696
144,10378.09,9590.52,147.9377,21.1314
145,10599.51,10131.53,148.7558,20.6728
146,10695.36,10349.98,147.779,20.8814
147,10558.36,10136.01,148.1739,20.5482
148,10529.81,10089.79,147.8125,20.6329
149,10336.26,9991.59,147.7543,21.0125
150,10662.3,10090.8,146.8541,18.9105
151,10665.34,10230.72,148.018,20.1943
152,10702.64,10210.71,147.8549,20.3574
153,10680.26,10173.58,148.1164,21.1924
154,10509.4,10192.16,148.0326,21.2779
155,10523.32,10161.62,148.0754,20.6545
156,10469.51,10178.74,146.4265,20.1166
157,10781.07,10340.25,147.5413,21.0723
158,10667.59,10324.9,147.0771,20.7456
159,8675.86,8295.09,146.9363,17.9554
160,10470.54,9980.08,148.4679,19.3659
161,10486.32,10171.47,148.7767,21.1116
162,10635.2,10206.84,148.8242,21.5557
163,10813.22,10452.89,148.4677,21.5619
164,10750.77,10273.45,148.5181,20.6206
165,10587.66,9936.99,146.5946,19.5443
166,10718.03,10326.45,147.6123,20.6609
167,9995.54,9856.86,147.465,19.5557
168,10778.36,10329.47,148.1474,20.5899
169,10251.98,9161.47,147.6378,18.4679
170,10729.98,10367.11,147.2878,21.3152
171,10796.51,10429.96,147.3377,21.5191
172,10664.59,10333.25,148.6986,21.0899
173,9881.45,9674.81,146.6181,19.1959
174,10669.07,10323.12,146.7991,20.3876
175,10842.6,10471.48,148.1885,22.4404
176,10880.2,9986.53,147.9406,21.5702
177,10936.86,10482.22,147.3094,20.9716
178,10799.05,10388.0,148.1318,21.8047
179,10902.05,10329.37,148.0509,20.7781
180,10800.62,10324.34,147.3167,20.7979
181,10884.6,9843.38,147.3365,20.1721
182,10874.06,10422.6,147.3733,20.6743
183,10700.09,10088.04,147.5183,20.7886
184,10844.82,10433.53,147.9165,21.7254
185,10892.95,10319.99,148.4613,20.3598
186,10704.92,10286.66,148.0808,21.7309
187,10789.68,10456.53,148.0818,21.603
188,10657.79,10167.7,147.7576,21.347
189,10739.37,10322.41,148.5162,21.3898
190,10864.15,10416.37,146.7061,20.3577
191,10566.82,10245.18,147.4587,21.1287
192,10826.43,10260.01,146.8763,19.6484
193,10902.62,10452.18,147.0582,20.4475
194,10704.73,10309.99,147.3917,21.3372
195,10866.51,10320.08,147.5511,19.2111
196,10888.13,10330.86,147.1573,19.2868
197,10729.3,10320.23,148.2704,20.5486
198,10787.0,9365.73,147.2254,19.0199
199,10927.41,10380.25,146.7339,19.7828
200,10699.69,10266.57,146.8539,20.0785
201,10839.92,10076.27,146.1844,19.4687
202,10945.99,10482.95,147.2899,20.4844
203,10704.22,10023.04,146.5637,18.7252
204,11011.88,10211.59,146.4073,19.3007
205,10899.58,9882.16,146.0507,19.9626
206,10783.83,9994.68,146.2204,18.7624
207,10769.48,9965.79,146.4468,19.2
208,10984.7,10427.4,146.3005,18.859
209,10868.13,10468.3,146.7144,19.0247
210,11057.19,10595.12,145.9018,18.4873
211,11063.31,10052.81,146.236,19.3471
212,11009.22,10470.49,146.2839,20.5769
213,11009.24,9980.9,146.7123,19.5165
214,11119.25,10008.32,146.7866,19.5268
215,10658.61,9987.37,146.3981,18.0667
216,10385.89,9878.75,146.2927,17.5175
217,11073.99,10569.03,147.0885,20.1022
218,10848.06,10021.91,147.121,19.1518
219,8917.91,6808.69,146.9233,15.2789
220,8084.4,7893.23,146.7367,16.4441
221,11116.6,10572.38,145.8918,19.8143
222,10793.85,10016.19,146.4123,18.9224
223,10979.43,10346.09,147.0422,19.9744
224,10889.25,10326.06,147.1368,19.8584
225,10890.52,9930.42,146.5111,18.9165
226,10904.78,10166.3,146.6083,17.3499
227,10974.69,10338.55,146.713,19.2909
228,11154.63,10659.41,146.7477,19.6004
229,10794.64,10452.0,146.2162,18.5854
230,11040.92,10488.59,146.901,19.0999
231,10969.44,10175.95,146.674,19.9368
232,11103.68,10558.59,146.7369,19.664
233,5234.55,6752.13,146.7749,15.7428
234,11024.06,10057.21,146.8166,19.2567
235,11039.08,9842.35,146.2214,18.6108
236,10892.99,9493.84,146.8062,17.9209
237,11099.91,10377.54,147.3241,19.8615
238,10999.48,10341.85,146.3651,19.4469
239,9187.73,9485.18,146.9136,18.7184
240,11082.79,9557.65,146.9117,18.447
241,10917.66,10065.46,146.71,19.6956
242,11074.7,10232.59,146.569,17.696
243,10808.08,10186.71,147.2974,19.1732
244,11055.14,10548.59,146.8692,18.8531
245,11135.84,10561.56,146.4473,18.743
246,10972.55,10183.55,147.262,18.8544
247,11110.91,10511.32,147.7435,19.8583
248,11034.4,10001.02,146.1648,18.8724
249,11203.52,10574.53,146.9555,19.6914
250,11078.14,10225.59,146.8595,19.5501
251,10969.08,9073.03,146.6401,18.3936
252,9629.77,8209.95,146.5742,16.7737
253,11035.1,10451.54,146.0843,18.8995
254,10375.17,9800.04,147.1703,19.6727
255,10796.97,10306.26,147.8383,20.0087
256,10915.81,10446.37,146.0256,19.0538
257,10858.73,10070.54,148.15,19.4425
258,10464.21,10032.34,147.554,18.8405
259,10786.3,10096.7,146.9164,17.725
260,11058.87,10669.29,146.9687,20.0291
261,11006.23,10567.62,146.0834,16.8239
262,10243.94,9439.45,147.0372,18.4064
263,10899.25,10455.5,146.0417,18.8516
264,11006.27,10258.58,146.7128,19.5173
265,11019.4,10328.49,146.4918,19.5136
266,11097.15,10131.28,146.4379,18.6761
267,9332.27,9752.3,146.4055,17.7028
268,11066.95,10491.97,147.1236,20.1567
269,10899.16,10354.65,146.6678,19.9073
270,10804.66,9695.08,145.8914,19.2549
271,10926.34,10185.76,147.36,19.3867
272,10503.37,10177.02,146.7207,18.1747
273,10683.63,9763.75,146.3367,18.3661
274,11060.68,10169.31,146.54,19.4572
275,11030.51,10586.02,146.0939,20.0089
276,10859.33,10292.18,146.1726,18.606
277,10990.57,10515.07,146.4164,19.3078
278,10533.2,10021.8,146.7931,17.6992
279,10081.02,8197.17,146.351,15.672
280,11205.05,10660.37,146.5773,19.605
281,10847.99,9455.45,146.8705,16.1259
282,11265.38,10017.47,145.9176,18.6183
283,11263.64,10664.66,145.5353,17.9073
284,11187.19,10614.85,146.2011,18.8992
285,8972.31,9634.24,147.1458,15.91
286,11177.0,10750.76,146.1938,18.3224
287,11175.72,10675.23,146.2488,19.0104
288,11009.03,10690.76,147.0919,18.3357
289,11432.45,10597.52,146.2876,18.4864
290,11276.91,10681.43,146.64,18.3887
291,11007.36,10202.05,146.7177,17.904
292,11365.08,9293.74,146.2164,18.3294
293,11133.06,10696.13,145.8724,18.6928
294,11424.25,10018.21,146.0405,18.7603
295,10659.76,10037.7,146.7948,17.9038
296,11337.52,10794.1,146.5143,17.852
297,11440.47,10634.15,146.9388,18.5088
298,10380.82,8452.8,145.9673,16.0214
299,11496.22,10819.14,145.8737,18.7578
300,11571.9,9927.37,146.3334,17.3685
301,11278.51,10103.47,145.3837,17.5886
302,11285.73,10664.34,145.5239,17.7238
303,10939.41,10730.38,146.4269,18.8494
304,10877.93,10907.38,145.9899,17.9301
305,11121.5,10130.17,146.8408,19.3161
306,11352.85,10774.2,145.9401,17.7238
307,11038.6,9339.05,146.0949,17.4653
308,10863.63,10908.21,146.1612,19.7014
309,11359.72,10299.06,145.9549,19.4627
310,11436.17,11054.23,145.7528,19.2239
311,11452.13,10937.71,145.621,18.7236
312,11302.73,10929.15,146.8711,19.757
313,11538.17,10993.76,146.5501,16.8768
314,11042.1,10947.87,146.3623,19.3675
315,11431.61,11058.44,146.0041,20.1202
316,11387.32,10981.81,146.2142,19.3703
317,11080.93,11075.48,145.4788,19.5317
318,11608.23,11080.17,145.6031,19.1995
319,11491.72,11081.16,146.5476,20.0932
320,11599.88,10544.28,146.6962,19.4892
321,11500.25,10821.72,146.4883,19.7851
322,11815.07,11210.48,146.5669,20.1843
323,11689.43,11249.84,146.1897,20.4811
324,11802.3,11315.32,145.4034,20.055
325,11605.87,10623.97,146.7081,20.6513
326,11768.8,11216.53,146.5468,20.4841
327,11626.68,11130.08,145.8433,19.9096
328,11639.91,11193.63,145.6658,19.7762
329,11785.85,11350.87,145.5939,20.33
330,11737.03,11228.42,146.9713,20.2343
331,11638.04,10700.75,146.1312,19.4597
332,11770.13,11274.93,146.1025,20.1557
333,11579.74,11163.2,146.8788,20.8908
334,11743.73,11291.49,145.8718,19.7488
335,11690.19,11135.85,146.1072,20.7565
336,11827.08,11061.06,145.843,20.404
337,11604.33,11182.4,146.5256,20.3883
338,11688.51,11299.26,145.7056,20.0884
339,11924.59,11419.38,146.3682,20.5176
340,11802.91,11384.41,145.8398,21.049
341,11978.94,10833.74,145.2197,19.95
342,11768.68,11480.8,146.4602,20.8866
343,11925.82,11454.59,145.27,20.2155
344,11811.98,11490.46,145.5233,20.4911
345,11891.7,11435.13,145.6039,21.1831
346,11927.28,11144.12,146.3705,21.2652
347,12009.6,11543.23,145.4061,20.717
348,11924.03,11469.77,145.6113,21.0057
349,12023.9,11464.34,145.8903,20.3857
350,11900.63,11459.12,145.7685,20.238
351,11945.51,11499.31,145.4204,20.5582
352,12002.17,11487.01,145.2924,20.1367
353,11971.37,11543.03,145.9013,20.7169
354,11949.27,11477.82,145.437,21.1363
355,12010.55,11609.73,145.1403,21.0429
356,12056.17,11719.41,144.3129,20.1304
357,12040.18,11495.64,144.6317,19.9466
358,11982.47,11505.6,145.1566,20.5959
359,12061.05,11619.83,145.2204,19.6674
360,11949.11,11513.97,144.466,20.2732
361,12147.43,11587.31,144.4069,20.0693
362,12026.53,11612.77,145.7568,20.4506
363,12065.85,11031.98,144.5746,20.2653
364,11997.88,11585.64,146.1696,22.2717
365,12120.05,11547.98,145.1664,21.1575
366,11986.11,11601.12,145.8425,21.2982
367,11976.02,11571.68,145.3992,20.4408
368,11971.52,10996.12,145.1706,20.0603
369,11926.96,11559.46,145.8917,21.2953
370,11778.65,11222.28,145.2491,20.6542
371,11968.23,11528.5,144.8644,19.9383
372,12005.03,11217.32,145.4623,20.699
373,12080.4,11584.43,145.0738,20.9643
374,12019.88,11614.57,145.9563,20.9183
375,12024.13,11130.26,146.2983,21.1433
376,12097.56,11688.05,145.8359,20.7711
377,12057.64,11514.15,144.5117,20.0181
378,11961.91,11306.27,146.7468,21.6477
379,12119.79,11620.08,145.2867,20.2222
380,11503.02,11406.76,145.258,20.037
381,12160.81,11704.28,144.787,20.5328
382,12169.48,11852.64,144.9014,20.8623
383,12131.22,11751.73,146.0868,21.5385
384,12215.51,11666.4,146.7371,21.395
385,11481.89,11694.61,145.7214,20.9186
386,11956.88,11130.82,144.6039,19.5769
387,12162.0,11814.62,145.5517,22.3955
388,12023.35,10999.43,146.0432,21.4356
389,12220.65,11343.77,144.2626,20.9428
390,12151.5,11019.01,144.8392,20.936
391,12161.35,11777.2,145.0024,21.1346
392,12150.47,11788.65,145.7949,21.3309
393,12264.85,11687.83,144.2679,20.2441
394,12022.18,11755.54,144.9595,22.0313
395,12180.71,11770.78,146.3673,22.0871
396,12144.99,11642.17,144.9804,20.2235
397,12199.92,11812.2,145.7108,20.2325
398,11509.8,10607.39,145.8093,18.033
399,12231.77,11661.38,144.8081,21.4925
400,12111.08,11713.15,145.8718,21.2607
401,12238.44,11906.97,145.199,21.2396
