Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Real Det Return
17.7641,-2021.1353759765625,3095.42,19.7091,154,770000,154,3446.06
13.4824,-1764.45703125,3303.66,20.096,155,775000,155,3412.14
14.4208,-1887.378662109375,2814.59,18.7124,156,780000,156,3438.19
10.9342,-1552.6915283203125,3349.71,17.8844,157,785000,157,3356.67
14.6144,-1988.2818603515625,3400.58,19.6968,158,790000,158,3412.09
11.502,-1520.4595947265625,3251.32,18.5921,159,795000,159,3395.87
12.6545,-1924.537841796875,3350.84,19.8234,160,800000,160,3354.86
12.4543,-1829.906005859375,3197.1,19.3862,161,805000,161,3409.5
18.2949,-2341.6044921875,2661.11,20.5368,162,810000,162,3446.11
12.0149,-1766.788818359375,3274.6,19.0296,163,815000,163,3425.41
11.9712,-1812.3162841796875,2872.41,19.1468,164,820000,164,3401.62
11.8971,-1942.69970703125,3051.02,19.4963,165,825000,165,3417.69
17.2988,-2461.159423828125,2854.34,20.5574,166,830000,166,3421.7
12.0466,-1787.5069580078125,3037.05,17.9084,167,835000,167,3436.97
13.4053,-1992.07568359375,3283.58,18.6369,168,840000,168,3436.39
12.942,-1973.1695556640625,3155.03,18.7387,169,845000,169,3439.0
14.4337,-1962.1920166015625,3186.44,19.0588,170,850000,170,3423.38
11.4477,-1677.7620849609375,3243.07,18.8555,171,855000,171,3424.4
12.2918,-1983.7193603515625,3219.1,19.7626,172,860000,172,3384.3
11.968,-1809.0042724609375,2966.63,18.3707,173,865000,173,3409.86
12.9087,-2019.89990234375,2576.61,19.6137,174,870000,174,3437.41
11.927,-1852.59423828125,3203.5,19.3874,175,875000,175,3412.48
12.5765,-2067.54248046875,2764.87,19.7987,176,880000,176,3439.47
12.0852,-1716.7342529296875,3411.36,18.8007,177,885000,177,3408.61
11.7631,-1857.3165283203125,3022.47,18.3101,178,890000,178,3433.84
13.8894,-2212.6845703125,3138.06,20.3624,179,895000,179,3429.64
12.6899,-2121.87939453125,3246.6,19.2456,180,900000,180,3439.4
10.9585,-1961.146728515625,3391.6,18.5936,181,905000,181,3379.94
13.5559,-2236.99609375,3265.59,19.2046,182,910000,182,3430.85
12.4533,-1922.96484375,3186.3,19.1948,183,915000,183,3445.1
10.9647,-1954.99169921875,3004.64,18.2541,184,920000,184,3415.4
11.2679,-2067.865478515625,3323.56,18.962,185,925000,185,3387.72
13.4228,-2240.488037109375,3394.51,18.9174,186,930000,186,3421.45
11.7666,-2044.3199462890625,3312.64,19.0286,187,935000,187,3422.02
11.3401,-1997.272705078125,3199.09,18.0731,188,940000,188,3443.11
10.9122,-1823.6978759765625,3311.18,18.0008,189,945000,189,3402.45
10.8586,-1894.1226806640625,3356.53,18.1974,190,950000,190,3444.27
10.6578,-1728.7532958984375,3349.78,18.0064,191,955000,191,3388.85
11.6512,-2478.18017578125,3119.55,19.8886,192,960000,192,3452.13
10.8195,-1717.69921875,3392.26,17.8124,193,965000,193,3399.72
10.9932,-2174.802734375,3145.52,18.5486,194,970000,194,3409.79
11.7491,-2761.447998046875,2957.82,20.4259,195,975000,195,3446.18
11.0017,-2206.652587890625,3347.65,18.7701,196,980000,196,3415.86
10.8826,-2012.9976806640625,3406.25,18.618,197,985000,197,3417.62
11.4669,-2248.92529296875,3414.21,19.0498,198,990000,198,3416.14
11.0068,-2261.7685546875,3267.9,19.4528,199,995000,199,3439.29
