Real Det Return,Running Forward KL,Running Reverse KL,Itration,Real Sto Return
3802.91,325.9239,108.8804,96,4838.61
4759.84,318.646,110.1439,97,4955.52
4624.06,334.6814,123.0072,98,4814.86
3245.92,323.5145,122.1867,99,4621.73
4889.19,327.9146,132.6447,100,4927.51
3394.56,332.6029,133.8408,101,4489.95
5075.0,333.6954,125.9808,102,4950.81
4839.35,318.9034,116.9522,103,4758.45
4025.54,315.5222,109.2107,104,4763.62
4466.03,313.0403,105.4685,105,4952.62
5094.52,323.3202,123.6744,106,5045.33
4850.02,323.7426,118.2551,107,4430.66
3528.4,339.6905,140.3718,108,4662.56
5082.91,320.0849,114.5814,109,5005.93
4912.68,320.7603,114.8694,110,4905.5
4358.6,316.9077,113.0422,111,4810.61
4114.38,321.823,119.6051,112,4823.73
2513.13,332.1307,145.7934,113,4555.82
4321.3,322.2976,110.8142,114,4546.46
3720.5,321.4005,105.4734,115,4982.6
4473.56,321.9771,110.9173,116,4700.11
4493.52,314.7779,107.6674,117,4826.92
4161.96,316.6908,109.6257,118,4440.03
4770.41,320.8984,116.8049,119,4944.2
2989.43,309.1577,107.8831,120,4850.28
2830.72,303.2749,93.9721,121,4398.12
4319.94,309.9256,95.7403,122,4447.05
4677.89,307.351,96.895,123,4957.27
3240.13,323.5017,124.6503,124,4780.1
2897.09,311.2263,104.469,125,4738.12
3863.2,309.3846,109.9452,126,4781.6
3521.4,332.2076,131.2435,127,3932.21
3134.34,316.0464,103.07,128,4828.27
4941.38,324.3835,135.0022,129,4414.1
4550.88,310.9832,103.6838,130,4977.08
2832.81,301.9821,112.2216,131,4140.57
1834.8,309.6949,121.5816,132,4459.78
3708.95,308.8559,99.7654,133,4847.09
3250.79,304.8426,114.9329,134,4252.26
2773.68,298.7664,101.4287,135,4233.44
4489.39,313.2974,117.6497,136,3741.1
2672.01,297.1307,94.0875,137,3382.72
3824.25,300.0162,103.593,138,4609.36
4847.32,311.1683,94.8847,139,4106.01
4329.46,307.559,104.0118,140,4023.0
3506.19,309.8725,104.9729,141,4777.33
3262.61,305.3176,143.3335,142,4836.65
4447.12,298.9572,98.2871,143,4814.79
3192.25,305.7723,101.9869,144,4631.64
1418.54,293.9261,90.5868,145,3873.22
4547.58,303.2228,89.7055,146,4602.56
2236.31,288.3128,87.5378,147,4544.56
4771.19,297.2403,101.2867,148,4383.39
4552.71,308.2108,105.7451,149,4390.43
5181.55,296.0422,92.9087,150,4541.22
3882.26,306.0923,115.7578,151,3065.1
1665.42,298.4034,107.3815,152,3470.89
3684.25,295.893,91.0612,153,3885.28
4347.39,312.4156,130.1213,154,3776.95
4539.64,302.1159,108.9737,155,4818.0
5247.95,298.1582,85.4808,156,4833.85
5118.64,313.6441,136.2815,157,3481.94
5226.14,299.1899,91.0342,158,4914.37
5192.33,307.4364,108.64,159,4090.35
5179.69,306.2428,102.1999,160,4950.77
5194.84,303.2351,94.9502,161,4953.87
5148.73,315.029,113.2581,162,4126.46
4187.09,335.6036,178.032,163,2996.43
5224.31,303.8065,95.3182,164,4402.86
5148.61,304.0653,102.4402,165,4899.54
3556.57,304.9994,86.1168,166,4434.74
4749.99,307.3463,89.6911,167,4786.03
5244.33,301.9053,107.7037,168,4796.53
5090.74,308.6909,92.3537,169,4634.63
5233.14,310.2638,95.2678,170,4992.29
5161.82,309.3259,100.2293,171,4924.97
5086.14,361.1516,232.8234,172,2342.17
5213.18,305.9175,96.7391,173,4903.75
5147.42,327.8064,128.8501,174,4098.26
5107.36,312.1284,96.6496,175,4981.04
5223.39,305.5007,93.6524,176,4985.13
5236.07,311.2126,96.8247,177,4970.14
5143.58,315.8439,102.4598,178,4523.43
5057.22,311.2742,98.774,179,4947.17
4920.7,310.993,94.9447,180,4341.9
4987.1,304.3685,91.3236,181,4615.91
5201.55,306.941,106.4241,182,4543.76
5193.46,323.0774,136.3674,183,4615.03
5227.96,300.6567,106.2166,184,4506.45
5291.05,304.1259,88.9498,185,5094.9
5211.66,314.2767,110.4703,186,4670.43
4621.67,300.4135,89.7048,187,4803.23
5240.56,301.1355,92.3469,188,4806.38
5195.72,300.6198,88.2375,189,4824.66
5170.45,303.7704,94.7148,190,4957.76
4312.68,309.5193,96.0966,191,3951.82
5155.16,312.4423,131.1933,192,4728.31
4887.59,323.278,123.6624,193,4532.01
3913.12,304.025,89.4595,194,4875.51
5161.05,323.2662,99.0511,195,4649.21
5181.43,306.6497,94.2702,196,5065.11
5104.31,311.6428,99.2513,197,4677.3
4995.53,305.6468,94.01,198,4847.43
4720.76,303.7753,97.7509,199,4503.79
4952.97,304.1614,88.3289,200,4890.12
3822.56,302.2556,86.6678,201,4661.95
1525.37,297.802,85.9236,202,4921.56
1851.78,299.3017,87.0655,203,4582.04
4225.97,302.4697,91.6828,204,4595.91
2789.44,312.2368,103.9986,205,4537.38
1923.0,301.6719,96.7329,206,4648.13
2211.64,304.7566,105.3003,207,4693.03
