Real Det Return,Running Reverse KL,Running Update Time,Itration,Running Env Steps,Running Forward KL,Reward Loss,Real Sto Return
872.28,35.7548,68,68,340000,28.4239,-2266.796630859375,915.8
1025.45,31.08,69,69,345000,36.9371,-3206.811767578125,1022.75
970.76,56.4073,70,70,350000,39.2333,-3398.64306640625,970.84
325.65,31.2484,71,71,355000,30.9184,-2771.744140625,532.33
208.06,24.7124,72,72,360000,30.0754,-1603.01123046875,229.48
205.08,15.7355,73,73,365000,29.6621,-1648.1268310546875,204.38
599.42,16.847,74,74,370000,25.7135,-1336.3614501953125,592.14
979.63,46.1983,75,75,375000,38.0304,-3625.346435546875,980.2
1011.1,28.473,76,76,380000,38.2015,-3586.51513671875,1011.82
976.42,45.6325,77,77,385000,38.1038,-3741.4052734375,976.18
1013.37,31.0821,78,78,390000,39.3062,-3789.141845703125,1019.44
1011.84,26.819,79,79,395000,36.7954,-3764.018310546875,1011.96
1049.48,33.0254,80,80,400000,34.5029,-3854.185791015625,1077.88
1035.06,28.4603,81,81,405000,36.3345,-3910.113037109375,1035.98
1037.18,33.4748,82,82,410000,36.4659,-3951.649658203125,1038.07
220.85,28.0101,83,83,415000,33.0898,-3675.037841796875,244.64
997.16,35.9839,84,84,420000,37.5148,-4201.6533203125,997.43
641.9,23.9632,85,85,425000,34.2894,-4067.6640625,1052.63
447.19,38.6085,86,86,430000,38.7012,-4142.451171875,446.14
18.74,26.192,87,87,435000,31.5515,-3863.506591796875,18.65
996.53,37.2212,88,88,440000,38.821,-4339.84326171875,997.08
1001.45,54.7434,89,89,445000,38.598,-4422.591796875,1001.53
1018.27,34.7917,90,90,450000,38.7845,-4497.07373046875,1015.49
1000.57,42.838,91,91,455000,38.9063,-4561.10595703125,1000.44
984.59,46.8139,92,92,460000,40.0844,-4565.0849609375,985.41
227.01,25.6628,93,93,465000,30.2951,-4192.21826171875,228.53
37.0,58.3149,94,94,470000,31.4986,-4730.71728515625,37.24
148.5,49.3965,95,95,475000,36.2236,-4801.6162109375,148.06
207.49,88.5967,96,96,480000,35.8733,-5013.46337890625,207.46
67.68,43.3882,97,97,485000,37.2452,-4888.1865234375,67.38
981.62,44.0942,98,98,490000,36.9007,-5033.0986328125,981.28
984.82,59.0217,99,99,495000,38.207,-5073.4033203125,984.17
337.96,33.6408,100,100,500000,33.5162,-5101.14990234375,337.47
288.67,17.8973,101,101,505000,28.0304,-1219.6881103515625,274.0
995.92,35.7631,102,102,510000,35.66,-5222.33447265625,995.98
989.68,29.4373,103,103,515000,34.8038,-4891.72705078125,960.76
1023.22,32.7154,104,104,520000,37.0874,-5419.85009765625,1022.94
1020.38,32.2054,105,105,525000,39.4796,-5470.78662109375,1020.15
1022.02,40.2652,106,106,530000,39.0827,-5469.98193359375,1022.13
1010.12,25.7687,107,107,535000,38.2862,-5122.83056640625,1010.68
1002.69,24.0503,108,108,540000,37.7187,-5303.03857421875,1019.56
998.96,26.6215,109,109,545000,38.003,-5419.7734375,996.57
1034.81,31.2734,110,110,550000,32.2568,-5404.75,1034.52
1005.64,33.5834,111,111,555000,38.3479,-5737.390625,1004.28
1047.99,32.3502,112,112,560000,37.4673,-5763.068359375,1047.44
1004.01,26.7602,113,113,565000,38.206,-5680.4990234375,1002.24
39.36,78.3928,114,114,570000,37.1418,-6159.6220703125,184.9
90.55,48.6622,115,115,575000,34.0286,-5369.53955078125,89.95
408.22,44.6648,116,116,580000,25.1686,-4206.3671875,366.46
817.07,41.2379,117,117,585000,30.2972,-5254.0322265625,565.3
235.93,27.2698,118,118,590000,35.5905,-5721.12060546875,238.54
997.71,25.927,119,119,595000,37.1864,-6162.67822265625,992.33
1039.36,33.1053,120,120,600000,33.7148,-6273.86767578125,1034.35
999.8,37.9907,121,121,605000,36.8893,-6314.12451171875,998.85
26.45,36.8838,122,122,610000,33.8304,-6303.38720703125,27.26
778.32,25.9192,123,123,615000,30.1023,-5402.81640625,550.46
973.14,55.8235,124,124,620000,38.9176,-6687.55859375,973.18
366.93,26.6622,125,125,625000,32.6286,-6424.7587890625,362.69
1001.59,47.0166,126,126,630000,38.9051,-6705.54541015625,999.75
1001.54,51.6243,127,127,635000,36.4826,-6629.6572265625,1001.34
121.32,31.5443,128,128,640000,32.1581,-5967.9794921875,125.69
1036.28,26.2991,129,129,645000,35.489,-6883.58447265625,1010.71
1006.0,31.0697,130,130,650000,36.0711,-6837.96923828125,1013.84
1005.6,31.621,131,131,655000,38.1988,-6909.34716796875,1006.0
294.92,45.2403,132,132,660000,34.1459,-6487.11181640625,290.2
218.01,36.9686,133,133,665000,34.3572,-6939.02783203125,217.23
271.2,30.6654,134,134,670000,31.044,-4703.5537109375,199.4
248.21,34.6165,135,135,675000,30.5694,-4865.96923828125,242.0
1042.04,32.2699,136,136,680000,38.4495,-7422.0068359375,1042.51
1023.67,29.5874,137,137,685000,36.9848,-7418.08740234375,1025.54
345.23,21.8976,138,138,690000,28.4883,-3896.36181640625,349.24
983.71,41.0381,139,139,695000,37.667,-7610.025390625,983.53
649.04,37.79,140,140,700000,35.2913,-7017.0576171875,576.7
22.55,54.092,141,141,705000,35.2686,-7668.2744140625,22.11
334.89,60.0342,142,142,710000,31.0632,-7514.17138671875,329.96
233.63,48.7846,143,143,715000,33.6972,-7973.71142578125,233.08
677.08,28.0834,144,144,720000,27.0393,-3468.34912109375,704.61
1042.04,31.438,145,145,725000,34.7875,-7840.1689453125,1043.04
990.81,31.2122,146,146,730000,37.7388,-8031.34326171875,989.23
1034.66,45.3289,147,147,735000,38.2246,-8333.9013671875,1034.82
1026.44,36.4301,148,148,740000,39.6202,-8154.3720703125,1010.04
1028.0,36.9204,149,149,745000,37.5636,-8081.9208984375,1027.84
1027.68,41.6169,150,150,750000,38.4137,-8303.51171875,1027.58
492.31,40.181,151,151,755000,37.6859,-8416.169921875,470.99
1025.29,36.7742,152,152,760000,37.7393,-8377.9736328125,1035.1
535.84,64.4575,153,153,765000,33.9423,-8089.47998046875,429.46
277.72,26.2689,154,154,770000,37.8476,-8433.7978515625,300.38
995.25,35.4775,155,155,775000,40.7981,-8661.998046875,930.86
137.22,37.7981,156,156,780000,31.0144,-7649.2890625,132.54
225.67,57.3128,157,157,785000,30.8264,-8973.0986328125,232.14
244.15,20.0446,158,158,790000,30.2959,-2977.3232421875,214.03
1044.41,28.7206,159,159,795000,30.4033,-8607.1376953125,1035.8
1001.44,33.6181,160,160,800000,39.7387,-8947.4423828125,1001.25
1003.46,32.1079,161,161,805000,38.9195,-8941.9541015625,996.18
994.84,31.3627,162,162,810000,39.5318,-9141.43359375,996.05
978.15,53.7798,163,163,815000,38.3938,-9208.7802734375,978.19
48.44,32.2114,164,164,820000,38.7407,-9362.607421875,48.35
1001.79,32.296,165,165,825000,36.7763,-9041.92578125,1002.01
1012.56,31.9196,166,166,830000,37.0782,-9044.484375,1009.05
998.37,48.1665,167,167,835000,40.6012,-9474.8681640625,998.06
1006.42,38.5368,168,168,840000,37.2186,-9504.1162109375,1006.99
1014.52,56.5731,169,169,845000,38.8847,-9610.0146484375,1014.61
110.71,30.1945,170,170,850000,28.9807,-6373.58935546875,111.3
1012.7,54.3238,171,171,855000,37.7625,-9838.056640625,1013.2
1009.34,44.9831,172,172,860000,38.0882,-10090.6787109375,1009.25
1020.97,32.7444,173,173,865000,38.0384,-10124.1435546875,1021.03
1019.53,34.7903,174,174,870000,37.6249,-10219.029296875,1022.41
998.09,38.2456,175,175,875000,37.3516,-9969.8056640625,997.56
1000.07,30.4103,176,176,880000,38.4017,-9414.52734375,999.54
203.78,27.3212,177,177,885000,32.8311,-8092.8701171875,204.71
341.35,62.6208,178,178,890000,32.4631,-10150.6103515625,343.01
1050.46,33.0242,179,179,895000,35.5092,-10258.35546875,1048.91
992.09,32.5914,180,180,900000,37.0673,-10567.134765625,992.77
1020.12,36.2848,181,181,905000,32.1933,-10546.6767578125,982.18
1021.62,32.8194,182,182,910000,36.4239,-10558.8603515625,1020.81
1009.71,29.4097,183,183,915000,28.4097,-8943.908203125,913.99
987.1,37.1041,184,184,920000,37.5878,-10977.1640625,950.58
990.16,38.0938,185,185,925000,37.3504,-10938.6376953125,991.1
998.1,33.926,186,186,930000,36.8799,-11053.9638671875,996.33
69.79,54.4678,187,187,935000,32.9848,-10984.5263671875,70.57
117.02,118.6154,188,188,940000,37.7567,-11937.1142578125,116.05
991.55,51.4351,189,189,945000,39.3562,-11146.1982421875,991.63
131.04,68.0292,190,190,950000,31.2501,-10055.7275390625,119.33
1009.96,55.8009,191,191,955000,38.8662,-11628.58984375,1009.93
1042.33,29.9855,192,192,960000,35.2812,-11366.212890625,1042.62
666.02,33.1026,193,193,965000,36.4544,-11318.888671875,682.9
138.98,29.8965,194,194,970000,31.3094,-8421.734375,140.72
126.88,20.5677,195,195,975000,31.7563,-8173.7333984375,125.68
383.37,38.3822,196,196,980000,34.4186,-10343.466796875,380.04
582.14,24.174,197,197,985000,34.2121,-11148.4443359375,540.41
1023.25,39.3029,198,198,990000,37.8082,-12283.44140625,1023.26
1033.36,29.5892,199,199,995000,37.3818,-11993.8447265625,1033.01
