Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Itration,Real Sto Return,Running Env Steps,Running Update Time
3511.91,14.4712,20.9188,-774.5037841796875,105,3473.28,525000,105
3501.83,14.1724,20.5286,-957.4663696289062,106,3337.06,530000,106
3545.06,13.2659,20.0654,-786.5682983398438,107,3202.44,535000,107
3513.13,14.8115,21.0842,-874.0647583007812,108,3475.49,540000,108
3500.52,14.1512,19.8152,-782.078857421875,109,3487.74,545000,109
3555.45,14.218,20.6821,-776.860107421875,110,3488.63,550000,110
3508.88,14.5214,20.6718,-790.579833984375,111,3483.94,555000,111
3522.12,14.5286,20.8449,-908.7492065429688,112,3491.1,560000,112
3531.15,14.3624,21.0317,-813.6415405273438,113,3442.87,565000,113
3557.04,13.118,20.6841,-840.4464721679688,114,3235.15,570000,114
3510.75,15.5969,21.4901,-850.6832885742188,115,3507.72,575000,115
3544.2,14.7649,21.2242,-872.3330688476562,116,3457.1,580000,116
3530.39,14.6673,20.8307,-872.672119140625,117,3496.15,585000,117
3490.22,15.2471,20.7294,-971.2208862304688,118,3459.37,590000,118
3500.78,14.3299,20.7709,-1063.3258056640625,119,3324.14,595000,119
3534.63,12.8852,20.4819,-938.3697509765625,120,2945.13,600000,120
3526.2,13.9926,20.9821,-992.6113891601562,121,3187.55,605000,121
3506.11,13.8686,20.5309,-1047.434814453125,122,3339.07,610000,122
3555.8,12.4284,20.2594,-1001.978271484375,123,2505.89,615000,123
3511.03,13.1954,20.6383,-1039.9202880859375,124,2400.77,620000,124
3549.55,13.6289,20.3113,-867.7982788085938,125,3088.73,625000,125
3502.43,13.6697,20.2864,-1049.987548828125,126,3327.24,630000,126
3558.14,14.2785,20.8249,-1009.1986694335938,127,3469.12,635000,127
3494.89,14.5331,20.6288,-1063.14404296875,128,3474.76,640000,128
3533.3,15.1768,21.4021,-1048.540771484375,129,3336.13,645000,129
3549.25,14.6656,21.1383,-989.186279296875,130,3370.56,650000,130
3518.43,14.8129,20.8448,-1049.88916015625,131,3465.23,655000,131
3542.34,20.8277,20.2275,-1318.6026611328125,132,3223.33,660000,132
3520.62,14.2147,20.0861,-1128.3916015625,133,3307.79,665000,133
3549.58,13.9846,20.2845,-1093.906494140625,134,3410.92,670000,134
3498.32,13.7631,20.4804,-1150.075439453125,135,3380.24,675000,135
3531.1,13.4623,19.8369,-1036.35546875,136,3521.22,680000,136
3503.52,15.7851,21.0087,-1304.3759765625,137,3203.35,685000,137
3542.77,13.3885,19.9468,-944.5791625976562,138,3220.47,690000,138
3555.6,15.8192,21.4171,-1257.8536376953125,139,2335.02,695000,139
3546.32,13.6934,20.2114,-1029.630126953125,140,3482.32,700000,140
3530.98,12.8253,19.4545,-1103.89404296875,141,3175.15,705000,141
3525.55,13.1727,19.2155,-1131.5927734375,142,3351.08,710000,142
3542.36,14.233,20.4755,-1155.303466796875,143,3440.31,715000,143
3503.57,13.5904,19.7257,-1161.113525390625,144,3489.83,720000,144
3521.82,14.993,21.1803,-1275.46923828125,145,3492.99,725000,145
3535.62,13.5581,20.3159,-1142.60205078125,146,3474.19,730000,146
3502.15,14.7009,20.3828,-1175.3448486328125,147,1924.79,735000,147
3208.94,14.3559,21.0269,-1643.658203125,148,2704.45,740000,148
3550.07,14.2273,20.4911,-1207.3973388671875,149,3204.48,745000,149
3486.72,14.6207,20.1858,-1303.24072265625,150,3463.93,750000,150
3534.44,13.8901,19.9928,-1206.870361328125,151,3419.3,755000,151
3550.32,14.5295,20.2902,-1458.1226806640625,152,2801.37,760000,152
3506.64,14.3977,20.4226,-1250.89892578125,153,3478.05,765000,153
3477.23,13.85,19.3393,-1200.249267578125,154,3449.02,770000,154
3492.64,14.1461,20.5298,-1322.1683349609375,155,3396.2,775000,155
3489.1,14.4968,20.5382,-1369.629150390625,156,3477.61,780000,156
3520.47,14.0293,20.6445,-1379.911865234375,157,3417.09,785000,157
3518.41,14.0785,20.341,-1340.965087890625,158,3415.26,790000,158
3550.31,18.001,20.4657,-1625.68212890625,159,2619.04,795000,159
3539.88,13.2758,20.0405,-1198.8922119140625,160,3503.06,800000,160
3519.38,15.2232,20.9036,-1421.2640380859375,161,3495.88,805000,161
3531.98,12.3005,21.0922,-1548.5880126953125,162,3317.18,810000,162
3542.02,13.0231,21.1003,-1520.9862060546875,163,2892.99,815000,163
3514.06,14.3045,20.4438,-1573.253173828125,164,2715.65,820000,164
3506.23,13.7201,20.2825,-1393.426513671875,165,3315.61,825000,165
3511.24,13.963,19.6391,-1409.186767578125,166,3481.14,830000,166
3544.51,14.0391,20.9626,-1748.640869140625,167,3435.82,835000,167
3539.25,13.6534,19.8142,-1445.5675048828125,168,3334.57,840000,168
3528.94,14.3015,20.7472,-1427.591552734375,169,3325.69,845000,169
3535.5,15.3456,20.3491,-1612.2620849609375,170,3062.75,850000,170
3533.56,14.2604,20.8486,-1424.8834228515625,171,3502.34,855000,171
3520.18,13.9396,19.7646,-1530.6805419921875,172,3478.99,860000,172
3539.1,13.5957,19.8058,-1500.8138427734375,173,3503.16,865000,173
3549.69,14.0464,20.6706,-1444.031982421875,174,3514.84,870000,174
3539.07,13.547,19.6889,-1412.1551513671875,175,3431.47,875000,175
3515.97,13.885,19.966,-1615.4697265625,176,3479.37,880000,176
3530.52,12.9067,19.7844,-1464.923095703125,177,3326.45,885000,177
3504.75,13.9343,19.9382,-1586.075927734375,178,3459.48,890000,178
3542.17,12.8984,19.8354,-1585.8079833984375,179,3142.36,895000,179
3516.42,13.6947,20.6301,-1753.17041015625,180,3075.89,900000,180
3551.52,13.7536,19.944,-1487.3603515625,181,3452.89,905000,181
3546.78,14.4292,20.7255,-1569.4859619140625,182,3442.99,910000,182
3543.99,14.4654,20.7958,-1547.2998046875,183,3511.69,915000,183
3535.49,13.7782,19.7178,-1540.81103515625,184,3470.04,920000,184
3508.84,13.9981,20.5738,-1738.8095703125,185,3380.95,925000,185
3525.76,15.6214,20.0684,-1502.467529296875,186,3367.46,930000,186
3527.68,14.7771,20.4261,-1990.89794921875,187,3277.35,935000,187
3529.29,12.9574,19.9596,-1638.7379150390625,188,3503.96,940000,188
3509.87,13.8013,20.26,-1700.2366943359375,189,3201.44,945000,189
3497.18,13.6813,19.611,-1684.1214599609375,190,3399.08,950000,190
3479.26,13.6949,20.567,-1872.1756591796875,191,3380.76,955000,191
3511.31,13.5119,20.3775,-1802.44189453125,192,3261.35,960000,192
3527.19,13.6521,19.7074,-1814.3197021484375,193,3292.5,965000,193
3512.45,12.983,19.9622,-1828.1873779296875,194,3376.4,970000,194
3536.78,14.7458,20.9027,-1906.5501708984375,195,3494.32,975000,195
3538.59,15.8693,19.9826,-1878.3211669921875,196,3297.96,980000,196
3502.46,13.4122,19.5271,-1819.3013916015625,197,3154.31,985000,197
3535.02,13.8115,20.5315,-1742.379638671875,198,3405.05,990000,198
3546.77,13.3134,20.0538,-1872.5216064453125,199,3520.69,995000,199
