Itration,Running Forward KL,Running Update Time,Real Det Return,Running Reverse KL,Reward Loss,Running Env Steps,Real Sto Return
64,150.3039,64,8785.86,17.1846,-1421.5247802734375,320000,8211.17
65,149.9868,65,8992.01,17.9298,-1423.54736328125,325000,8525.53
66,149.6873,66,9046.12,17.9573,-1444.0120849609375,330000,8485.48
67,150.3603,67,9095.87,17.9636,-1484.5784912109375,335000,8547.62
68,150.0135,68,9068.16,17.8246,-1489.52392578125,340000,8509.58
69,149.211,69,9034.45,16.9237,-1538.1357421875,345000,8487.54
70,150.0298,70,9244.78,17.4023,-1538.2208251953125,350000,8657.27
71,149.7559,71,8820.41,17.0232,-1576.1309814453125,355000,8312.15
72,149.1335,72,8950.09,16.9658,-1622.191650390625,360000,8479.94
73,149.8276,73,9274.93,16.927,-1609.612548828125,365000,8725.6
74,150.0608,74,9232.4,18.0365,-1644.8387451171875,370000,8626.45
75,149.7774,75,9419.31,18.316,-1660.2403564453125,375000,8859.83
76,149.5086,76,9510.75,18.0183,-1698.9208984375,380000,8946.88
77,149.1758,77,9467.21,17.925,-1695.4814453125,385000,8981.88
78,150.1647,78,8931.46,17.9527,-1753.0167236328125,390000,8604.73
79,149.8655,79,9225.84,18.3148,-1781.3125,395000,8744.34
80,149.3818,80,9067.87,17.027,-1813.35888671875,400000,8541.48
81,149.226,81,9195.04,18.1992,-1832.87451171875,405000,8694.64
82,149.7366,82,9487.0,17.4958,-1812.0697021484375,410000,9049.88
83,149.7617,83,9054.42,17.4971,-1882.717041015625,415000,8627.56
84,149.6463,84,8638.77,17.2593,-1945.6348876953125,420000,8331.14
85,149.9454,85,9542.92,18.2869,-1934.1224365234375,425000,9050.88
86,149.4343,86,9856.17,19.1181,-1918.2578125,430000,9257.7
87,149.4312,87,9455.61,17.6576,-1957.562744140625,435000,9002.93
88,148.9665,88,9567.99,17.5586,-1960.0677490234375,440000,9066.09
89,148.534,89,9797.07,18.4266,-1974.634033203125,445000,9361.79
90,148.8015,90,9856.48,18.2509,-2016.3121337890625,450000,9289.13
91,149.3078,91,9883.94,18.476,-2057.11376953125,455000,9364.98
92,149.1135,92,9767.56,17.8702,-2074.66650390625,460000,9140.14
93,149.0615,93,9894.59,18.3477,-2103.28662109375,465000,9380.89
94,149.6147,94,9504.32,18.3126,-2153.650390625,470000,9085.49
95,148.4908,95,9892.14,17.967,-2111.4248046875,475000,9314.92
96,148.8256,96,9139.12,17.6172,-2186.2080078125,480000,8835.07
97,149.1224,97,9781.92,17.8161,-2186.265380859375,485000,9231.72
98,148.7906,98,9830.76,17.9161,-2218.35400390625,490000,9150.44
99,148.8381,99,9951.23,17.7158,-2207.6669921875,495000,9438.96
100,148.8666,100,10033.2,17.7093,-2250.60693359375,500000,9417.19
101,149.3361,101,9655.52,17.807,-2328.3173828125,505000,9158.02
102,148.8872,102,9667.92,17.4092,-2291.417236328125,510000,9234.53
103,149.2853,103,10000.25,18.2955,-2336.514892578125,515000,9435.52
104,148.2633,104,9896.39,18.5726,-2393.56982421875,520000,9328.24
105,150.2982,105,9887.42,19.2949,-2486.63623046875,525000,9413.4
106,148.8015,106,10064.22,18.2782,-2410.9736328125,530000,9635.03
107,148.5277,107,10211.93,18.4818,-2373.603515625,535000,9728.14
108,148.8214,108,9965.43,18.8929,-2454.103271484375,540000,9607.87
109,147.7491,109,10285.86,18.342,-2430.3974609375,545000,9711.15
110,148.7038,110,10162.0,18.2168,-2467.71875,550000,9652.28
111,148.5284,111,10284.05,18.1747,-2476.372802734375,555000,9636.48
112,148.0809,112,10184.72,17.7554,-2484.098876953125,560000,9672.53
113,149.0493,113,10256.45,19.0092,-2618.42578125,565000,9656.41
114,148.6912,114,10213.25,18.7809,-2589.177490234375,570000,9791.59
115,147.712,115,10296.62,17.5609,-2538.650390625,575000,9800.96
116,148.5611,116,10279.59,18.0345,-2640.3828125,580000,9777.66
117,147.8288,117,9923.95,18.3098,-2697.79248046875,585000,9428.21
118,148.8486,118,9955.95,18.337,-2738.430419921875,590000,9500.71
119,148.5075,119,10038.33,17.9503,-2752.392578125,595000,9287.04
120,147.8626,120,10260.75,18.0591,-2685.4482421875,600000,9736.32
121,147.981,121,10491.44,18.9732,-2794.781494140625,605000,9925.22
122,146.6701,122,10174.22,17.5476,-2738.354736328125,610000,9623.58
123,148.2899,123,10502.57,17.7525,-2732.18212890625,615000,9990.66
124,147.8956,124,10277.06,17.2718,-2795.29931640625,620000,9785.13
125,147.2892,125,10504.47,18.8199,-2803.396484375,625000,9839.13
126,147.4277,126,10480.26,18.2782,-2798.97900390625,630000,9953.41
127,148.0761,127,10220.46,18.513,-2936.32763671875,635000,9735.49
128,147.2269,128,10220.63,19.024,-2894.009521484375,640000,9669.38
129,148.7746,129,9218.15,16.6951,-3035.369873046875,645000,9058.57
130,148.2584,130,10300.85,17.6442,-2986.050537109375,650000,9704.64
131,147.6718,131,10364.88,17.6876,-2989.66455078125,655000,9981.17
132,147.3523,132,10288.34,17.4549,-2969.19775390625,660000,9858.83
133,147.3221,133,10419.26,18.0059,-3006.7880859375,665000,9950.45
134,147.6053,134,10659.75,19.3705,-3107.568603515625,670000,10060.37
135,147.0135,135,10531.29,18.7343,-3018.84228515625,675000,10004.03
136,146.9083,136,10263.93,17.23,-3004.31298828125,680000,9838.71
137,147.1667,137,10541.51,17.1069,-3098.44287109375,685000,9938.02
138,147.4432,138,10568.8,19.496,-3202.09033203125,690000,10077.71
139,147.1126,139,10555.49,17.6476,-3138.504150390625,695000,10049.1
140,147.2159,140,10363.08,18.2223,-3192.94775390625,700000,9865.75
141,146.444,141,10668.95,16.7248,-3093.507080078125,705000,10132.76
142,147.9693,142,10592.08,18.2313,-3346.987548828125,710000,9701.78
143,148.0416,143,10286.68,19.5898,-3460.925537109375,715000,9838.06
144,146.9809,144,10447.16,17.6615,-3245.77197265625,720000,9982.15
145,147.2244,145,10633.8,19.0072,-3417.416748046875,725000,10144.92
146,147.6787,146,10345.77,18.7135,-3413.51513671875,730000,9922.79
147,146.685,147,10784.2,18.4493,-3336.83251953125,735000,10266.49
148,146.4412,148,10653.8,17.4726,-3292.54638671875,740000,10028.18
149,148.0505,149,9672.65,16.91,-3591.97998046875,745000,9368.28
150,146.8329,150,10521.92,17.5697,-3404.746337890625,750000,10165.13
151,146.4412,151,10452.96,18.7827,-3480.431640625,755000,10098.51
152,146.0738,152,10864.33,18.1438,-3466.26318359375,760000,10301.46
153,147.4151,153,10650.02,18.5966,-3439.91748046875,765000,10188.63
154,145.7443,154,10912.8,18.6864,-3430.1181640625,770000,10450.3
155,146.6899,155,10426.06,17.0351,-3638.867431640625,775000,10111.87
156,147.7543,156,10185.21,16.9963,-3692.178466796875,780000,9912.63
157,148.5002,157,9949.38,16.9,-3886.886962890625,785000,9282.29
158,146.6376,158,10195.37,18.1811,-3638.2607421875,790000,9802.68
159,146.2242,159,10727.73,18.046,-3627.268798828125,795000,10111.03
160,147.8832,160,10413.9,17.7368,-3857.256591796875,800000,9882.8
161,146.3745,161,10572.56,18.1093,-3788.062744140625,805000,10173.87
162,146.9575,162,10555.69,17.6461,-3799.97021484375,810000,9868.85
163,146.6566,163,10872.52,18.6632,-3826.661865234375,815000,10314.58
164,146.5432,164,10745.12,18.7756,-3750.4443359375,820000,10343.93
165,146.6477,165,10572.34,18.5488,-3856.11474609375,825000,10009.26
166,147.1265,166,10769.67,18.1259,-3918.12841796875,830000,10211.24
167,146.9452,167,10757.95,18.7103,-3943.3564453125,835000,10317.78
168,146.5223,168,10846.5,18.3583,-3890.804443359375,840000,10407.37
169,146.846,169,10841.44,17.8995,-3940.890380859375,845000,10385.53
170,146.8649,170,10905.33,18.9078,-4043.47802734375,850000,10435.61
171,146.7183,171,10829.77,18.708,-3875.335205078125,855000,10383.74
172,146.7427,172,10731.67,18.1646,-4058.08837890625,860000,10315.51
173,147.3076,173,10779.8,18.7819,-4088.324462890625,865000,10330.43
174,146.6651,174,10801.95,19.2927,-4057.9384765625,870000,10304.91
175,145.5586,175,10802.14,18.6962,-3986.0380859375,875000,10287.49
176,146.909,176,10841.49,18.606,-4132.09228515625,880000,10389.41
177,146.9702,177,10808.5,18.0953,-4197.21484375,885000,10339.03
178,146.8175,178,10897.84,19.1879,-4272.291015625,890000,10373.24
179,146.3095,179,10834.22,17.6169,-4252.640625,895000,10377.25
180,146.9685,180,10701.76,17.964,-4195.91162109375,900000,10311.25
181,146.7004,181,11011.69,18.7781,-4234.982421875,905000,10560.2
182,145.1887,182,10681.29,17.3282,-4185.8330078125,910000,10132.79
183,145.4421,183,10771.23,18.7261,-4258.08935546875,915000,10255.4
184,145.0518,184,10712.57,18.5475,-4280.36962890625,920000,10225.17
185,146.7304,185,10967.27,18.7878,-4458.763671875,925000,10507.51
186,146.5375,186,10848.06,18.0323,-4415.04931640625,930000,10432.67
187,146.2676,187,11094.47,19.2072,-4499.630859375,935000,10614.45
188,147.5202,188,10237.12,16.718,-4715.9091796875,940000,9875.42
189,147.0635,189,11032.67,19.057,-4537.6640625,945000,10603.61
190,144.8284,190,11003.44,17.8617,-4571.029296875,950000,10504.5
191,146.1366,191,11090.53,18.4298,-4423.857421875,955000,10596.14
192,146.0127,192,10774.85,19.926,-4775.5087890625,960000,10403.53
193,145.3464,193,11159.27,19.2163,-4708.11181640625,965000,10625.97
194,145.8432,194,10877.94,18.9266,-4608.35302734375,970000,10360.56
195,144.8929,195,11123.9,18.7369,-4576.71826171875,975000,10626.53
196,147.346,196,10796.94,18.5466,-4780.9169921875,980000,10388.92
197,146.2237,197,11087.69,18.4184,-4759.04931640625,985000,10609.78
198,145.259,198,11112.1,18.3641,-4750.5185546875,990000,10650.04
199,146.1056,199,11142.84,18.9437,-4958.712890625,995000,10538.76
200,145.0773,200,10943.03,19.2541,-4700.84423828125,1000000,10546.03
201,145.7699,201,10880.18,18.7216,-4766.2001953125,1005000,10479.87
202,144.8206,202,11140.69,18.5522,-4759.13134765625,1010000,10674.92
203,145.4015,203,10858.58,19.1155,-4839.56982421875,1015000,10478.66
204,145.6771,204,11161.18,18.7061,-4814.62646484375,1020000,10508.74
205,145.3977,205,10756.7,18.597,-4875.5048828125,1025000,10346.4
206,145.9182,206,11102.24,18.9012,-4929.4736328125,1030000,10595.18
207,144.6028,207,11222.55,18.6573,-4985.52880859375,1035000,10705.76
208,145.0148,208,10983.87,18.9811,-4962.8916015625,1040000,10564.65
209,145.4639,209,10967.5,18.6818,-5014.48193359375,1045000,10479.98
210,145.7465,210,11253.1,19.0709,-5175.7138671875,1050000,10761.51
211,144.8483,211,11188.78,19.2484,-5177.63037109375,1055000,10734.01
212,144.9776,212,11024.25,19.1233,-5052.50830078125,1060000,10643.92
213,145.0122,213,11107.78,18.8285,-5189.19677734375,1065000,10644.77
214,145.1775,214,11076.84,19.1437,-5110.953125,1070000,10585.33
215,144.8733,215,10954.23,19.0538,-5143.51220703125,1075000,10595.91
216,145.4332,216,11071.49,18.7446,-5108.6396484375,1080000,10135.11
217,144.4012,217,11190.56,19.1679,-5267.31640625,1085000,10683.52
218,144.5806,218,11120.36,19.0867,-5358.73388671875,1090000,10670.76
219,144.675,219,11200.22,19.1136,-5332.6064453125,1095000,10748.58
220,145.5313,220,10932.37,19.214,-5243.4453125,1100000,10498.71
221,144.3448,221,11190.33,18.6546,-5300.2626953125,1105000,10730.11
222,144.8961,222,10976.18,19.0672,-5399.57080078125,1110000,10555.23
223,143.8875,223,11246.38,19.0152,-5328.8193359375,1115000,10793.4
224,145.0245,224,11087.26,19.1059,-5470.68359375,1120000,10685.02
225,145.1333,225,11303.85,19.6103,-5428.689453125,1125000,10879.72
226,144.3193,226,11191.34,18.9188,-5448.9501953125,1130000,10734.68
227,145.046,227,11196.3,19.2127,-5480.8701171875,1135000,10789.4
228,144.5608,228,11344.85,19.2985,-5569.18359375,1140000,10835.16
229,145.4804,229,11338.51,19.451,-5567.77001953125,1145000,10863.96
230,145.0063,230,11277.04,19.0842,-5599.5576171875,1150000,10784.0
231,144.675,231,11271.84,19.4057,-5615.55859375,1155000,10770.6
232,144.4997,232,11347.88,19.1017,-5616.568359375,1160000,10775.26
233,144.3817,233,11249.05,19.4334,-5563.57275390625,1165000,10850.4
234,144.7606,234,11321.16,19.2038,-5622.9130859375,1170000,10931.05
235,144.5585,235,11262.38,19.5446,-5700.41162109375,1175000,10878.33
236,145.3634,236,11384.65,19.3721,-5668.75,1180000,10884.81
237,145.2077,237,11329.93,19.0412,-5903.0263671875,1185000,10846.13
238,144.1177,238,11307.66,18.5928,-5561.09228515625,1190000,10842.18
239,145.0525,239,11414.41,19.3514,-5857.12548828125,1195000,10948.08
240,144.5082,240,11390.8,18.6471,-5842.1376953125,1200000,10894.5
241,144.8859,241,11273.61,18.641,-5910.048828125,1205000,10858.81
242,145.2231,242,11379.4,19.3224,-5819.7939453125,1210000,10762.08
243,145.025,243,11419.94,19.1917,-5858.77880859375,1215000,10723.43
244,145.1298,244,11407.45,18.766,-6007.7822265625,1220000,10959.79
245,145.5804,245,11453.01,19.0189,-5906.6328125,1225000,10994.39
246,145.3271,246,11442.49,19.4132,-6073.25048828125,1230000,10580.57
247,145.1348,247,11333.41,18.5056,-6010.80810546875,1235000,10904.54
248,144.6177,248,11472.34,18.7979,-6013.75244140625,1240000,10940.91
249,145.0342,249,11369.95,18.5552,-6098.1982421875,1245000,10945.6
250,144.9717,250,11351.73,18.2684,-6048.15869140625,1250000,10877.74
251,144.7082,251,11391.29,17.8935,-6064.861328125,1255000,10894.36
252,143.6617,252,11407.83,18.5427,-5945.7822265625,1260000,10618.23
253,143.9735,253,11317.48,17.9494,-5997.5634765625,1265000,10830.1
254,144.7995,254,11424.16,18.8788,-6099.65966796875,1270000,10884.04
255,144.4686,255,11511.32,18.8754,-6087.60595703125,1275000,10528.1
256,145.109,256,11369.47,18.5585,-6282.64013671875,1280000,10885.03
257,144.1984,257,11154.25,19.0318,-6178.19189453125,1285000,10534.67
258,144.6476,258,11458.62,18.3203,-6111.70751953125,1290000,11000.03
259,143.7324,259,11463.2,18.8334,-6142.798828125,1295000,10540.02
260,144.5293,260,11004.66,18.9256,-6439.0029296875,1300000,10597.37
261,145.1863,261,11420.17,18.5849,-6221.02392578125,1305000,10997.71
262,144.3552,262,11488.82,18.0048,-6324.94384765625,1310000,10576.49
263,145.6198,263,11453.71,17.8447,-6280.77490234375,1315000,11080.09
264,143.7222,264,11546.06,18.314,-6243.86474609375,1320000,11101.25
265,144.4345,265,11407.28,18.4976,-6415.0078125,1325000,11037.74
266,145.5127,266,11449.21,18.465,-6544.77685546875,1330000,10145.3
267,143.8606,267,11330.14,17.8974,-6236.47314453125,1335000,10936.8
268,145.2429,268,11385.34,18.9786,-6561.35400390625,1340000,10990.28
269,145.084,269,11015.39,18.0972,-6525.9921875,1345000,10333.44
270,144.2489,270,11483.24,18.4904,-6533.90478515625,1350000,10282.47
271,143.6847,271,11510.76,18.8707,-6266.9873046875,1355000,10992.42
272,145.162,272,10786.58,17.3947,-6445.7958984375,1360000,10603.82
273,144.9108,273,11527.88,18.9046,-6456.3544921875,1365000,11080.65
274,145.0325,274,11517.14,18.8547,-6636.6806640625,1370000,10993.17
275,144.1504,275,11053.03,18.9091,-6659.12255859375,1375000,10892.72
276,145.3114,276,11041.5,18.5107,-6761.22119140625,1380000,10603.3
277,144.3616,277,11412.7,18.3946,-6513.89013671875,1385000,10870.81
278,145.3919,278,11380.47,19.0295,-6784.24462890625,1390000,10879.51
279,144.76,279,10961.13,17.9141,-6563.7333984375,1395000,10983.68
280,143.8809,280,11487.67,18.5867,-6639.29931640625,1400000,11012.56
281,144.435,281,11502.28,18.8278,-6589.5703125,1405000,11018.09
282,144.9672,282,11304.48,17.6649,-6617.962890625,1410000,10970.97
283,144.7285,283,10876.64,17.8518,-6726.61181640625,1415000,10826.97
284,144.4889,284,11449.64,18.033,-6928.978515625,1420000,10527.66
285,145.6957,285,11421.78,18.8039,-7081.138671875,1425000,10230.48
286,144.1123,286,11499.19,18.5561,-6568.22705078125,1430000,11134.78
287,144.7173,287,11277.23,18.0596,-6502.54248046875,1435000,11106.93
288,145.1237,288,11567.88,18.3613,-7005.7919921875,1440000,11085.9
289,144.3113,289,11611.38,18.5309,-6775.177734375,1445000,10925.75
290,144.4009,290,11663.61,18.1738,-6761.140625,1450000,11010.68
291,144.7586,291,11629.72,17.0516,-6791.75341796875,1455000,11147.99
292,145.0645,292,11616.17,18.7872,-6961.84814453125,1460000,11083.37
293,144.4318,293,11534.79,18.665,-6842.9423828125,1465000,10553.89
294,143.8063,294,11473.02,18.0409,-6749.37109375,1470000,11032.08
295,144.1893,295,11221.04,18.144,-6764.044921875,1475000,11161.27
296,144.367,296,11664.89,18.8793,-6889.498046875,1480000,11048.3
297,144.5637,297,11678.22,18.156,-6876.15380859375,1485000,11117.68
298,144.8365,298,11082.25,17.5145,-6937.9990234375,1490000,10425.52
299,145.229,299,11488.43,18.0041,-7229.89111328125,1495000,10674.82
300,144.1363,300,11153.65,18.2241,-7141.3583984375,1500000,11006.43
301,144.6171,301,11489.23,18.832,-6993.22216796875,1505000,10414.37
302,144.7026,302,11565.9,18.6044,-6993.16357421875,1510000,10969.24
303,144.3088,303,11089.69,16.6941,-6991.384765625,1515000,10048.56
304,145.0641,304,11510.64,17.1354,-7151.5009765625,1520000,10751.8
305,145.1596,305,11607.57,19.0447,-7115.1923828125,1525000,11206.2
306,143.7591,306,11597.08,18.9192,-7172.61376953125,1530000,9996.59
307,144.1562,307,11575.32,16.7825,-6857.9482421875,1535000,11064.04
308,145.3198,308,11562.5,18.5893,-7147.1845703125,1540000,10085.58
309,145.6178,309,11407.21,18.9455,-7404.71630859375,1545000,10738.91
310,145.3079,310,11459.54,18.541,-7283.68310546875,1550000,11001.63
311,145.3871,311,11476.18,18.5158,-7457.66357421875,1555000,10894.82
312,143.8577,312,11038.63,17.8733,-7268.81787109375,1560000,9733.28
313,144.4744,313,10294.87,16.8701,-7189.3896484375,1565000,10332.79
314,145.1601,314,10951.27,17.9697,-7420.64404296875,1570000,10728.48
315,145.5436,315,11259.04,16.0712,-7158.7060546875,1575000,10737.98
316,144.7537,316,11612.21,17.3626,-7502.56689453125,1580000,10475.64
317,145.5725,317,11393.95,16.6795,-7444.27587890625,1585000,10085.69
318,143.7343,318,10515.53,18.092,-7163.048828125,1590000,10016.92
319,144.6931,319,11430.54,18.2875,-7383.36279296875,1595000,11144.42
320,144.4357,320,10269.0,18.1761,-7230.517578125,1600000,10332.55
321,143.9634,321,11667.85,19.2248,-7493.63037109375,1605000,11160.46
322,146.2211,322,11676.36,17.6271,-7568.77001953125,1610000,11057.36
323,147.1033,323,11316.28,19.2803,-7700.26318359375,1615000,9953.99
324,144.455,324,11218.22,18.3341,-7393.92626953125,1620000,10993.25
325,144.8411,325,11642.95,18.2951,-7645.52587890625,1625000,11097.81
326,145.2506,326,11647.1,18.7961,-7726.7060546875,1630000,10682.35
327,144.3786,327,11664.41,18.0665,-7591.96337890625,1635000,11135.73
328,144.4063,328,11534.58,17.8669,-7674.1953125,1640000,10508.64
329,144.3227,329,11492.51,17.1311,-7564.4677734375,1645000,10331.87
330,142.8914,330,10905.43,17.3513,-7321.3935546875,1650000,10840.69
331,145.3097,331,11357.27,18.851,-7902.9462890625,1655000,10723.84
332,143.3859,332,11611.48,18.8951,-7654.28955078125,1660000,10994.39
333,144.5411,333,11164.76,18.6305,-7722.8505859375,1665000,10541.38
334,144.5707,334,11230.81,18.8592,-7812.52001953125,1670000,10732.75
335,143.3881,335,11159.28,17.5712,-7816.78564453125,1675000,10614.18
336,145.2083,336,10842.2,18.2593,-8144.59228515625,1680000,10624.56
337,145.2833,337,11446.76,18.7354,-8024.7353515625,1685000,10873.8
338,145.0492,338,9672.62,17.8855,-8037.431640625,1690000,10745.34
339,144.5188,339,11629.7,18.2054,-7940.1435546875,1695000,10850.17
340,143.3923,340,11193.88,18.4347,-7826.5341796875,1700000,10225.19
341,143.3317,341,11562.57,17.3218,-7675.76416015625,1705000,10953.6
342,144.4849,342,11549.12,17.6264,-7866.89013671875,1710000,11008.81
343,143.9482,343,10582.66,17.6347,-7828.3310546875,1715000,10340.62
344,144.4226,344,11338.4,17.5798,-7837.12451171875,1720000,10646.86
345,143.3847,345,11643.17,18.4901,-7863.404296875,1725000,11096.71
346,144.5723,346,11523.29,17.9485,-7740.494140625,1730000,11007.01
347,143.4624,347,11517.9,17.9027,-7777.94921875,1735000,10926.8
348,144.3146,348,11618.97,18.807,-7876.3330078125,1740000,10872.95
349,143.7512,349,11126.81,18.1166,-8009.94091796875,1745000,10957.11
350,143.7068,350,11639.17,17.9999,-8023.58740234375,1750000,11127.84
351,142.5512,351,11120.32,17.9451,-7858.0224609375,1755000,11108.44
352,143.5442,352,11411.35,17.9176,-8110.185546875,1760000,10522.07
353,143.0125,353,11446.92,17.784,-8017.0048828125,1765000,10948.17
354,143.2462,354,11456.89,17.7572,-7963.826171875,1770000,10804.84
355,142.6278,355,11574.31,16.5454,-8051.66162109375,1775000,11001.77
356,143.2434,356,11513.33,17.4371,-7989.447265625,1780000,11038.5
357,143.875,357,11531.27,18.4842,-8391.1787109375,1785000,10812.74
358,142.9679,358,9724.44,16.7886,-7977.5810546875,1790000,10870.67
359,142.8447,359,11541.3,17.9622,-8184.7294921875,1795000,11030.16
360,143.3316,360,11779.97,17.822,-8205.6044921875,1800000,11216.87
361,142.8584,361,11535.95,18.5258,-8218.7998046875,1805000,10922.85
362,144.6072,362,11475.25,18.4625,-8365.5498046875,1810000,11000.0
363,143.841,363,11669.9,17.7407,-8609.6064453125,1815000,10472.88
364,144.3773,364,11596.73,17.9584,-8675.33984375,1820000,10469.35
365,146.4805,365,11538.84,18.0693,-8738.9736328125,1825000,10942.96
366,144.091,366,11412.9,17.2535,-8558.1943359375,1830000,9757.1
367,143.6501,367,11633.05,18.6162,-8428.810546875,1835000,10681.33
368,143.3843,368,11506.33,17.8771,-8354.9404296875,1840000,10602.27
369,143.084,369,11548.54,17.8196,-8506.609375,1845000,11056.23
370,142.4687,370,10609.03,17.4673,-8508.0986328125,1850000,10727.82
371,143.9116,371,11108.69,16.8697,-8207.1630859375,1855000,11165.56
372,142.7561,372,11365.35,17.5695,-8426.5908203125,1860000,10835.71
373,144.8241,373,10924.49,17.9201,-8721.2578125,1865000,11002.53
374,143.6713,374,11730.94,17.2359,-8666.419921875,1870000,11054.69
375,143.3143,375,11638.45,17.9972,-8804.4970703125,1875000,10952.39
376,144.0272,376,11416.38,17.2714,-8881.84375,1880000,10599.82
377,144.0945,377,11732.56,18.0916,-8529.09375,1885000,9643.92
378,143.7785,378,11544.89,18.0857,-8725.4931640625,1890000,11070.83
379,143.7475,379,11775.06,17.3922,-8428.71484375,1895000,10382.8
380,144.525,380,11478.46,17.7366,-8701.6259765625,1900000,11081.58
381,143.769,381,11759.75,17.8896,-8694.09375,1905000,11102.36
382,143.8146,382,11760.73,18.0071,-8790.2177734375,1910000,10918.36
383,144.9568,383,11628.27,18.6372,-9056.69140625,1915000,11078.24
