Running Update Time,Itration,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return
41,41,205000,72.9658,1444.69,-2208.94970703125,24.1974,1625.53
42,42,210000,74.4614,1522.73,-2441.810791015625,24.8916,2236.84
43,43,215000,17.4124,2562.15,-648.3275756835938,23.4719,3069.73
44,44,220000,17.4334,2707.07,-1009.002685546875,22.2587,3246.79
45,45,225000,41.1713,2004.94,-1500.030029296875,22.7985,3239.59
46,46,230000,71.4806,2617.66,-2262.85205078125,22.8773,3263.35
47,47,235000,25.171,2897.02,-730.9794311523438,22.5413,3228.52
48,48,240000,18.9138,2552.29,-1090.700439453125,22.1115,3285.61
49,49,245000,40.3541,3039.06,-1304.493896484375,22.3782,3240.14
50,50,250000,58.2556,2096.77,-2440.381103515625,22.6561,3120.59
51,51,255000,32.3868,2357.43,-1168.0997314453125,21.7945,3282.96
52,52,260000,24.3635,2918.0,-826.5859375,22.5431,3282.96
53,53,265000,63.2496,1715.55,-2549.693115234375,23.3025,2751.41
54,54,270000,14.3797,3360.81,-243.45497131347656,21.3961,3372.98
55,55,275000,15.2089,3334.04,-324.74346923828125,22.3697,3355.69
56,56,280000,15.5098,3281.72,-418.5170593261719,22.8515,3289.01
57,57,285000,15.6767,3197.29,-458.1211242675781,23.131,3331.52
58,58,290000,14.5614,3367.78,-489.5497131347656,21.5447,3388.04
59,59,295000,14.0851,3333.35,-360.5372619628906,21.4251,3343.92
60,60,300000,20.4925,3208.29,-1115.0076904296875,20.1207,3361.03
61,61,305000,15.019,3291.44,-364.8846130371094,22.4086,3355.49
62,62,310000,15.5237,3327.92,-420.6547546386719,22.3988,3334.16
63,63,315000,14.2798,3388.84,-311.5182800292969,20.8574,3416.76
64,64,320000,13.9821,3121.71,-790.8186645507812,20.8352,3378.15
65,65,325000,16.1017,3217.3,-1026.7987060546875,22.3033,3335.4
66,66,330000,15.0736,3356.89,-431.26708984375,21.9755,3375.7
67,67,335000,13.8813,3285.97,-381.9195556640625,21.0254,3403.14
68,68,340000,14.0577,3090.51,-389.03167724609375,20.4929,3413.77
69,69,345000,13.6477,3298.1,-337.12554931640625,20.8496,3400.83
70,70,350000,14.0385,3354.23,-410.77978515625,21.5493,3399.79
71,71,355000,13.8116,3368.77,-395.76885986328125,20.3858,3401.23
72,72,360000,13.4259,3212.04,-676.6826171875,20.9266,3337.92
73,73,365000,13.2981,3277.13,-403.1824951171875,20.2726,3389.68
74,74,370000,14.4659,3372.0,-456.880615234375,21.1552,3382.25
75,75,375000,13.5433,2647.06,-1572.514892578125,20.6534,3370.48
76,76,380000,13.0919,3389.65,-371.94500732421875,19.7133,3417.22
77,77,385000,13.1871,3313.83,-401.4901123046875,20.0025,3428.48
78,78,390000,20.1428,3382.55,-792.2583618164062,21.1857,3413.99
79,79,395000,14.1612,3250.16,-431.41619873046875,21.1913,3449.76
80,80,400000,13.4428,3243.8,-746.1952514648438,20.7953,3367.57
81,81,405000,11.8082,3097.3,-592.5264282226562,19.588,3412.21
82,82,410000,13.1671,3327.35,-385.1026916503906,20.3647,3418.41
83,83,415000,15.0662,3185.31,-550.7058715820312,21.3303,3363.12
84,84,420000,12.7991,3312.28,-422.2999572753906,19.8153,3443.31
85,85,425000,19.8685,2629.31,-1070.1019287109375,19.7751,3396.58
86,86,430000,13.6702,3258.87,-647.4683837890625,20.7908,3415.06
87,87,435000,12.7083,3279.36,-571.9724731445312,19.9815,3396.57
88,88,440000,12.1544,3334.73,-432.7607727050781,18.682,3407.01
89,89,445000,30.1605,2515.49,-1739.8328857421875,20.0362,3401.25
90,90,450000,13.7245,3331.59,-549.51806640625,20.0808,3415.44
91,91,455000,13.5018,3392.22,-439.7802429199219,19.5732,3432.61
92,92,460000,16.4827,2978.12,-698.4295654296875,19.466,3412.03
93,93,465000,13.5753,3123.43,-942.2831420898438,19.4612,3383.45
94,94,470000,13.779,3407.42,-478.2196960449219,19.8896,3426.4
95,95,475000,12.7392,3401.52,-447.142333984375,18.9972,3433.11
96,96,480000,12.9645,3297.15,-559.3448486328125,19.7815,3444.69
97,97,485000,12.9095,3305.1,-506.22857666015625,19.2766,3449.11
98,98,490000,12.9787,3312.57,-689.0819091796875,19.4043,3433.28
99,99,495000,20.216,3234.55,-890.2413940429688,19.467,3421.78
100,100,500000,13.5501,3296.95,-503.4213562011719,19.5542,3430.41
101,101,505000,12.6099,3433.88,-486.0063781738281,19.154,3465.79
102,102,510000,13.2874,3403.17,-536.4033813476562,20.0067,3434.88
103,103,515000,13.8101,3382.7,-559.25244140625,20.6132,3409.55
104,104,520000,13.0977,3404.9,-629.5189208984375,20.2399,3422.0
105,105,525000,12.4539,3420.23,-457.9982604980469,19.2728,3444.98
106,106,530000,16.0131,3172.16,-892.79541015625,19.7778,3464.79
107,107,535000,14.8272,3318.4,-729.6202392578125,20.3926,3458.63
108,108,540000,13.3932,3423.9,-551.2304077148438,19.2805,3436.88
109,109,545000,13.3601,3417.35,-504.6260681152344,19.3436,3435.27
110,110,550000,13.5904,3412.26,-540.102783203125,19.4537,3423.7
111,111,555000,13.3575,3436.01,-560.3582153320312,19.9906,3447.06
112,112,560000,12.4066,3294.19,-489.6700134277344,18.7137,3439.41
113,113,565000,12.9096,3354.37,-539.71044921875,19.5732,3450.38
114,114,570000,14.6502,3436.89,-553.495849609375,20.1714,3461.67
115,115,575000,14.5525,3401.91,-537.4628295898438,20.0242,3427.63
116,116,580000,13.3881,3454.02,-555.8471069335938,19.4662,3476.7
117,117,585000,13.4464,3215.6,-807.0969848632812,19.1337,3512.86
118,118,590000,12.2973,3341.83,-466.3363952636719,18.1903,3458.75
119,119,595000,12.9993,3439.18,-509.40606689453125,18.8898,3466.04
120,120,600000,13.2163,3455.55,-489.178955078125,19.1164,3483.86
121,121,605000,13.5137,3428.57,-559.06884765625,19.9391,3485.53
122,122,610000,13.3702,3432.92,-597.1832885742188,19.3837,3453.8
123,123,615000,13.7889,3372.66,-749.2988891601562,20.4271,3387.24
124,124,620000,13.4277,3258.54,-963.6474609375,19.8065,3474.42
125,125,625000,14.4553,3445.2,-625.747802734375,20.2742,3473.03
126,126,630000,14.3787,2906.52,-667.4747314453125,19.8278,3501.47
127,127,635000,12.3457,3203.59,-679.1932373046875,18.9925,3415.99
128,128,640000,12.3855,3438.99,-550.7316284179688,18.8977,3450.16
129,129,645000,12.6562,3212.59,-695.2420654296875,19.0766,3447.45
130,130,650000,12.0297,3375.39,-572.1410522460938,18.6489,3453.43
131,131,655000,12.4277,3317.83,-530.2247314453125,18.8533,3476.11
132,132,660000,17.5051,3277.74,-1085.8280029296875,18.9288,3504.84
133,133,665000,14.6584,3125.99,-1039.4814453125,18.951,3508.54
134,134,670000,14.5029,3093.38,-800.8505859375,18.7583,3508.84
135,135,675000,12.2838,3109.68,-656.1694946289062,18.9717,3509.46
136,136,680000,12.7827,3459.14,-625.1309204101562,18.867,3464.46
137,137,685000,12.9229,3418.3,-639.4109497070312,19.1497,3472.43
138,138,690000,12.8552,3363.17,-536.82861328125,19.4638,3512.03
139,139,695000,12.565,3415.71,-629.614013671875,19.2436,3421.16
140,140,700000,12.7284,3480.35,-584.221435546875,18.6447,3487.16
141,141,705000,12.3999,3377.83,-603.546630859375,18.7101,3481.29
142,142,710000,12.5927,3386.15,-700.1907348632812,18.9092,3457.69
143,143,715000,13.9021,3101.02,-754.2244262695312,18.9034,3514.35
144,144,720000,12.497,3445.34,-600.0641479492188,19.3356,3481.77
145,145,725000,12.9121,3431.68,-691.5528564453125,19.591,3438.35
146,146,730000,12.8547,3392.85,-739.235107421875,19.4698,3425.71
147,147,735000,12.3229,3412.12,-696.2588500976562,18.7975,3435.24
148,148,740000,13.297,3371.34,-681.0744018554688,19.3307,3450.8
149,149,745000,12.3086,3427.58,-668.16748046875,18.673,3447.37
150,150,750000,11.8906,3454.49,-617.0119018554688,18.1794,3474.67
151,151,755000,12.4272,3430.89,-648.5193481445312,18.8621,3446.32
152,152,760000,11.8769,3343.22,-646.3544921875,18.6861,3467.71
153,153,765000,12.6074,3411.08,-752.469482421875,18.7751,3436.45
154,154,770000,14.9803,3288.37,-818.849365234375,18.9375,3492.32
155,155,775000,12.6745,3444.9,-702.4752197265625,18.995,3453.91
156,156,780000,11.7683,3206.85,-641.7265014648438,18.4187,3475.13
157,157,785000,11.5357,3437.24,-655.103271484375,18.3029,3461.73
158,158,790000,12.1784,3323.67,-732.1990966796875,18.7235,3444.66
159,159,795000,11.3777,3337.7,-637.9713745117188,18.6687,3471.32
160,160,800000,12.8148,3443.97,-692.32763671875,18.7283,3463.14
161,161,805000,11.9494,3433.34,-741.8336181640625,18.6058,3463.33
162,162,810000,11.9286,3307.0,-639.3905639648438,18.9609,3495.49
163,163,815000,19.4457,2913.31,-821.2376098632812,19.2877,3494.77
164,164,820000,12.2395,3403.4,-796.4957885742188,18.4318,3432.46
165,165,825000,20.3028,2332.71,-1788.131591796875,19.9028,3031.0
166,166,830000,12.6511,3410.37,-792.0435180664062,18.6145,3429.15
167,167,835000,12.2033,3439.95,-703.8950805664062,18.4498,3464.12
168,168,840000,11.3634,3336.5,-844.259521484375,18.7606,3447.74
169,169,845000,12.3308,3401.89,-876.9345703125,18.977,3395.43
170,170,850000,12.6252,3084.78,-792.2584838867188,18.4102,3507.42
171,171,855000,12.4108,3404.19,-883.1156005859375,18.6738,3457.82
172,172,860000,12.1809,2591.12,-1093.3470458984375,19.3657,3503.95
173,173,865000,11.909,3307.85,-746.6022338867188,18.7058,3483.64
174,174,870000,11.9983,3439.2,-830.4139404296875,18.2461,3440.59
175,175,875000,18.4512,2766.16,-1892.845947265625,19.1469,3515.56
176,176,880000,11.9404,3323.15,-747.4982299804688,18.6855,3477.39
177,177,885000,11.6646,3383.41,-692.691650390625,18.2874,3493.23
178,178,890000,12.0801,3371.06,-813.9414672851562,18.2893,3452.28
179,179,895000,11.0516,3318.87,-748.0064697265625,17.9259,3487.57
180,180,900000,24.4986,3200.85,-1341.5634765625,19.1138,3510.13
181,181,905000,15.107,3190.68,-1046.1656494140625,19.0333,3495.37
182,182,910000,32.5834,2031.9,-1952.62548828125,19.5526,3493.79
183,183,915000,11.4275,3088.71,-783.1007690429688,18.2005,3482.17
184,184,920000,16.4287,2970.21,-962.2108764648438,18.2338,3469.58
185,185,925000,19.1289,2620.17,-1529.0552978515625,19.8175,3483.68
186,186,930000,11.1675,3324.97,-929.17431640625,18.8623,3443.45
187,187,935000,11.3564,3366.0,-723.9868774414062,17.9651,3464.87
188,188,940000,11.4517,3296.59,-788.6966552734375,18.5533,3476.34
189,189,945000,22.4138,2614.78,-1511.0064697265625,18.51,3499.47
190,190,950000,12.7138,3245.99,-938.20654296875,18.9062,3506.58
191,191,955000,13.0635,3228.67,-990.2359008789062,18.3914,3452.48
192,192,960000,11.2651,3026.2,-777.7645263671875,18.1805,3450.43
193,193,965000,11.7143,3338.46,-763.43310546875,17.6717,3469.24
194,194,970000,12.2404,2927.51,-871.8515014648438,17.6745,3516.32
195,195,975000,11.6015,3143.92,-830.732666015625,18.233,3464.81
196,196,980000,10.7742,3225.58,-788.0385131835938,17.8827,3472.99
197,197,985000,11.2204,3400.33,-896.1759033203125,17.8551,3438.69
198,198,990000,11.9087,3373.62,-966.6334228515625,18.5033,3385.59
199,199,995000,10.5904,3374.34,-744.8512573242188,16.8885,3449.56
