Itration,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Running Update Time,Running Forward KL
28,3193.18,140000,3123.02,17.74,-156.52850341796875,28,21.2105
29,1150.62,145000,832.92,41.6941,-997.7214965820312,29,23.2873
30,3212.91,150000,2580.17,25.01,-469.67425537109375,30,21.7909
31,3226.7,155000,3235.72,15.346,22.13555908203125,31,22.4986
32,3246.45,160000,3239.9,15.9191,-164.70431518554688,32,20.7299
33,3316.15,165000,3121.25,14.1558,-22.259992599487305,33,20.3277
34,3245.68,170000,3183.16,14.5488,-112.24188995361328,34,22.6501
35,3253.91,175000,3108.49,19.3033,-209.5994110107422,35,22.1345
36,3321.9,180000,3275.25,18.7256,-249.65914916992188,36,20.5829
37,3233.16,185000,3116.18,14.5066,-87.96578216552734,37,20.2114
38,3355.26,190000,3320.81,12.9801,-49.784027099609375,38,19.5826
39,3380.26,195000,3328.34,13.1414,-76.93873596191406,39,20.3737
40,3340.34,200000,3298.14,13.4594,-87.85112762451172,40,20.2622
41,3407.87,205000,3350.78,13.0022,-114.7286376953125,41,20.6847
42,3365.12,210000,3321.12,13.4617,-107.34263610839844,42,20.6332
43,3336.39,215000,3179.08,12.9602,-24.068218231201172,43,20.1496
44,3414.93,220000,3386.81,15.329,-181.10682678222656,44,22.7283
45,3419.77,225000,3235.2,13.0697,-111.82757568359375,45,20.3782
46,3381.87,230000,3181.33,14.553,-265.0758056640625,46,19.4444
47,3279.11,235000,3208.45,13.4396,-202.987548828125,47,19.4709
48,3305.93,240000,3270.97,13.7654,-234.01856994628906,48,21.0001
49,3278.33,245000,2506.61,13.0993,-466.22955322265625,49,18.668
50,3420.84,250000,3376.26,14.7629,-187.9259033203125,50,21.4464
51,3371.41,255000,3327.16,12.8407,-171.21165466308594,51,20.3375
52,3383.92,260000,3338.59,13.7181,-169.78475952148438,52,20.8144
53,3390.19,265000,3349.29,13.9126,-223.16165161132812,53,21.463
54,3394.92,270000,3347.64,13.0225,-196.59384155273438,54,19.6191
55,3433.11,275000,3328.93,11.812,-159.01527404785156,55,18.4894
56,3403.15,280000,3167.32,12.3614,-179.22366333007812,56,19.1548
57,3390.06,285000,3168.25,10.8772,-239.92578125,57,17.9878
58,3339.99,290000,1518.81,18.3045,-888.5675659179688,58,20.2308
59,3399.66,295000,3371.61,12.4568,-250.57962036132812,59,18.1347
60,3353.63,300000,3340.25,12.8285,-151.2572021484375,60,18.5874
61,3336.21,305000,3310.1,13.3778,-275.124755859375,61,20.1663
62,3382.14,310000,3258.7,11.6463,-182.24954223632812,62,18.3159
63,3201.19,315000,1561.89,15.4959,-666.2733764648438,63,18.609
64,3384.14,320000,3164.41,12.6992,-353.5354309082031,64,18.7989
65,3408.17,325000,3378.15,13.2292,-284.3517761230469,65,20.2214
66,3359.08,330000,3318.02,11.385,-228.80938720703125,66,17.6991
67,3359.19,335000,3249.19,12.9373,-270.67999267578125,67,19.6948
68,3362.45,340000,3181.28,12.2294,-270.7060241699219,68,19.5978
69,3387.6,345000,3370.62,12.8001,-275.543701171875,69,19.9017
70,3389.91,350000,3369.26,11.758,-321.0010681152344,70,18.8943
71,1483.82,355000,1691.92,14.6426,-910.5509033203125,71,21.0067
72,3393.27,360000,2408.58,11.3464,-362.1358337402344,72,19.1978
73,3380.43,365000,2959.73,14.0531,-521.0028686523438,73,19.4902
74,3377.75,370000,3343.06,12.2522,-355.73291015625,74,19.2178
75,3386.94,375000,3248.42,12.0618,-291.0422058105469,75,18.8751
76,3397.58,380000,3189.33,12.2465,-310.9974365234375,76,18.4679
77,3403.92,385000,2852.37,12.0048,-408.9815673828125,77,18.4793
78,3394.56,390000,3287.79,11.9604,-344.52978515625,78,18.7836
79,3382.27,395000,3350.67,12.8365,-380.8188781738281,79,19.2505
80,3386.68,400000,3357.42,12.1049,-256.4745788574219,80,17.9774
81,3419.41,405000,3394.49,12.9049,-343.4311218261719,81,19.2577
82,3404.58,410000,3377.72,11.4817,-398.55487060546875,82,17.7633
83,3393.49,415000,3330.05,12.7072,-436.4258117675781,83,19.3136
84,3428.04,420000,3348.9,13.1918,-469.6996154785156,84,19.7908
85,3373.2,425000,3349.46,12.2693,-391.16400146484375,85,18.6334
86,2523.11,430000,2550.18,12.2765,-509.7655944824219,86,18.9033
87,3376.03,435000,3222.5,11.6633,-512.45068359375,87,18.2449
88,3401.97,440000,3355.31,12.8256,-473.02947998046875,88,19.272
89,3428.76,445000,3361.48,12.4568,-457.86065673828125,89,18.4484
90,3395.77,450000,3295.22,11.682,-486.4351806640625,90,17.983
91,3419.34,455000,3416.99,11.4233,-413.10614013671875,91,17.4738
92,3424.87,460000,3310.54,12.819,-472.73211669921875,92,18.6282
93,3411.93,465000,3244.36,12.3013,-448.9237060546875,93,18.6419
94,3448.97,470000,2764.84,16.4707,-832.9915771484375,94,20.0131
95,3421.41,475000,3184.56,11.7899,-558.0201416015625,95,17.9586
96,3407.2,480000,3368.79,11.6118,-505.42919921875,96,18.761
97,3426.07,485000,3386.57,11.7373,-517.7220458984375,97,17.8571
98,3452.4,490000,3212.57,13.426,-653.2505493164062,98,18.3488
99,3443.33,495000,3307.22,11.565,-509.5215759277344,99,17.9822
100,3381.8,500000,3144.2,11.5193,-545.6148681640625,100,17.3735
101,3413.62,505000,3193.88,12.6036,-595.5866088867188,101,18.4794
102,3365.59,510000,3086.62,12.2588,-598.2413940429688,102,17.9035
103,3413.57,515000,3394.09,10.9653,-535.5289306640625,103,17.5363
104,3428.87,520000,3018.09,11.4907,-669.0957641601562,104,18.5835
105,3398.88,525000,3064.6,10.9928,-544.8267211914062,105,17.9342
106,3429.14,530000,2769.29,12.2691,-728.9193115234375,106,18.47
107,3439.55,535000,2567.18,12.5688,-731.8900756835938,107,17.7455
108,3435.15,540000,3406.91,12.138,-573.0703125,108,18.2448
109,3465.57,545000,3423.2,11.4009,-631.3782348632812,109,17.879
110,3342.03,550000,2100.76,12.4388,-600.181884765625,110,19.2734
111,3402.94,555000,3228.28,11.8338,-622.0738525390625,111,18.3875
112,3415.27,560000,3382.67,13.1412,-587.5670776367188,112,18.8439
113,3434.65,565000,3372.95,12.6936,-663.6876220703125,113,18.8514
114,3391.69,570000,3262.11,12.106,-602.2069702148438,114,18.691
115,3434.51,575000,3094.02,11.4888,-716.5076293945312,115,18.2393
116,3385.61,580000,2544.32,20.6843,-888.2910766601562,116,19.1903
117,3403.95,585000,3218.86,10.7299,-649.9094848632812,117,18.3488
118,3430.19,590000,3042.67,12.3546,-873.6941528320312,118,19.1964
119,3364.94,595000,2407.69,13.9446,-970.5759887695312,119,19.3263
120,2461.37,600000,1960.31,12.012,-935.3096313476562,120,18.6099
121,3417.22,605000,3384.97,10.9987,-719.7952270507812,121,17.4719
122,3414.36,610000,3140.02,11.2745,-845.8079833984375,122,18.3248
123,3392.73,615000,3112.56,11.8677,-631.5130615234375,123,18.6726
124,3416.83,620000,2894.45,13.7447,-760.0074462890625,124,18.9489
125,3366.06,625000,3286.11,11.2464,-616.9435424804688,125,17.5156
126,3361.28,630000,3011.16,11.6119,-700.1885986328125,126,18.3656
127,3397.53,635000,3368.05,11.5701,-600.444580078125,127,17.671
128,3376.84,640000,3346.98,11.9527,-843.8800659179688,128,18.7966
129,3418.53,645000,3398.27,11.7731,-718.1528930664062,129,18.3999
130,3435.96,650000,2798.09,10.5476,-911.886474609375,130,18.1861
131,3416.93,655000,3353.24,12.2954,-836.3258666992188,131,18.6359
132,3435.31,660000,3301.22,12.3052,-689.1574096679688,132,17.7513
133,3382.85,665000,3343.01,11.8387,-819.0405883789062,133,19.523
134,3405.34,670000,3316.26,11.7729,-840.9328002929688,134,18.259
135,3410.94,675000,3362.41,10.382,-692.9553833007812,135,17.2229
136,3387.93,680000,3364.6,11.4641,-769.7628784179688,136,17.8594
137,3407.85,685000,3371.54,12.4065,-792.638427734375,137,18.4416
138,3430.67,690000,3269.92,11.9739,-929.8453979492188,138,18.7726
139,3382.67,695000,3265.02,11.6656,-847.4749145507812,139,18.8821
140,3406.86,700000,3306.0,11.838,-732.6732177734375,140,18.4119
141,3362.58,705000,3174.08,11.5839,-782.2985229492188,141,18.6484
142,3459.58,710000,3233.07,11.4237,-865.5421142578125,142,18.713
143,3445.13,715000,2541.99,17.4754,-929.0532836914062,143,18.3342
144,3461.08,720000,2048.62,13.4986,-1433.58984375,144,21.0668
145,3421.52,725000,2663.6,11.6039,-1047.265625,145,18.6192
146,3352.49,730000,3048.62,11.0136,-939.3676147460938,146,19.327
147,3443.15,735000,3274.41,10.9311,-842.5862426757812,147,17.3914
148,3424.32,740000,3146.89,11.6323,-842.0567016601562,148,18.3288
149,3422.18,745000,2485.74,12.9396,-1164.6842041015625,149,19.3371
150,3426.88,750000,2713.17,11.742,-1127.1474609375,150,18.8739
151,3473.52,755000,2581.04,35.642,-1180.9993896484375,151,19.3013
152,3425.06,760000,3100.15,10.5185,-874.9530029296875,152,17.5177
153,3439.27,765000,3385.57,12.224,-940.2302856445312,153,17.8248
154,3432.46,770000,3193.59,10.3889,-852.5218505859375,154,16.3879
155,3440.3,775000,2789.06,11.6968,-1069.349365234375,155,18.2921
156,3369.94,780000,3231.01,10.6906,-942.1112670898438,156,17.4271
157,3433.04,785000,3270.88,10.3479,-1046.1875,157,17.5621
158,3441.09,790000,2696.96,10.3099,-1333.729736328125,158,17.8956
159,3430.42,795000,2926.01,12.4932,-1534.609375,159,19.7852
160,3431.38,800000,3418.53,12.011,-1091.6806640625,160,18.924
161,3421.7,805000,3371.86,11.8748,-969.5440673828125,161,17.8363
162,3438.71,810000,3048.31,11.3457,-976.2443237304688,162,18.458
163,3401.94,815000,2738.72,10.7619,-1240.9591064453125,163,19.2824
164,3088.47,820000,1934.44,11.2708,-1378.8299560546875,164,19.5861
165,3456.55,825000,2241.92,10.5316,-921.474853515625,165,16.757
166,3384.65,830000,3384.45,10.7874,-899.0374755859375,166,17.4239
167,3400.29,835000,3396.38,10.5988,-1009.55908203125,167,16.8126
168,3387.31,840000,3005.27,10.731,-944.93701171875,168,17.8534
169,3443.48,845000,3424.7,11.2227,-1241.7401123046875,169,18.2295
170,3384.26,850000,3368.82,10.9401,-1055.5377197265625,170,18.2923
171,3431.92,855000,2869.88,14.2428,-1559.8963623046875,171,20.3621
172,3391.7,860000,2526.05,10.9953,-1065.09912109375,172,18.0846
173,3376.48,865000,3280.47,10.8007,-1024.172119140625,173,17.9161
174,3008.99,870000,2178.85,11.3697,-1487.602294921875,174,19.4651
175,3428.52,875000,2435.04,12.1944,-1811.1077880859375,175,18.961
176,3438.11,880000,2682.76,10.79,-1394.0521240234375,176,18.037
177,3414.54,885000,3323.42,10.8177,-1140.35546875,177,17.1378
178,3431.07,890000,3075.42,11.0125,-1173.116455078125,178,18.1696
179,3402.03,895000,3306.75,11.2479,-927.6832885742188,179,17.2637
180,3395.52,900000,3364.19,11.371,-1009.8648681640625,180,17.6644
181,3364.35,905000,2304.02,19.9005,-1631.219482421875,181,18.9055
182,3436.19,910000,3232.25,11.2684,-1034.870849609375,182,17.6355
183,3372.44,915000,3363.62,10.5548,-1036.998779296875,183,16.6996
184,3462.75,920000,2200.11,10.7134,-1667.471435546875,184,18.8526
185,3401.46,925000,2976.44,10.631,-1358.393310546875,185,17.6692
186,3405.9,930000,3395.75,12.0693,-1096.16064453125,186,17.6685
187,3395.39,935000,3169.75,11.6094,-1427.61376953125,187,17.5012
188,3402.79,940000,3353.86,11.0718,-1194.1195068359375,188,17.0566
189,3398.52,945000,3233.68,10.3455,-1351.0430908203125,189,18.0338
190,3367.81,950000,3135.74,10.3598,-1145.951904296875,190,17.6445
191,3413.28,955000,3399.4,10.359,-1612.261474609375,191,17.13
192,3411.0,960000,2905.75,20.7167,-1224.77685546875,192,17.591
193,3413.61,965000,3342.2,11.3295,-1197.5694580078125,193,17.2309
194,3426.96,970000,2912.25,10.2147,-1376.027099609375,194,17.5118
195,3432.3,975000,3237.75,10.9391,-1320.020751953125,195,18.0975
196,3404.57,980000,3023.98,10.4581,-1124.5989990234375,196,16.5495
197,3411.39,985000,3103.05,10.9823,-1227.88623046875,197,17.1461
198,3468.16,990000,3025.21,10.681,-1745.1617431640625,198,17.8152
199,3406.62,995000,3387.87,15.463,-1413.8311767578125,199,17.2341
