Real Det Return,Running Reverse KL,Itration,Running Forward KL,Real Sto Return
5369.16,81.3312,223,81.5758,5117.77
5347.96,87.8535,224,80.6806,5164.01
5283.36,82.4783,225,81.4141,4792.0
5259.9,77.5226,226,74.1869,4835.35
5439.99,83.6034,227,78.8541,4781.44
5510.99,81.4304,228,78.7574,4629.57
5555.16,80.6355,229,81.2876,5044.6
5463.28,81.1856,230,79.2254,5205.64
5056.17,79.5602,231,76.1795,4950.76
5336.03,86.3345,232,82.7465,4710.92
5670.8,78.029,233,75.1022,5028.84
5444.59,83.6321,234,82.2727,5278.14
5498.39,80.2226,235,80.2643,5272.26
5186.71,86.235,236,82.295,5040.55
5750.03,83.0137,237,79.1808,4995.13
5746.56,73.9644,238,74.1193,5197.89
5541.71,84.6733,239,82.9952,5006.16
5548.92,82.1479,240,82.0127,4900.77
5671.76,80.4453,241,77.4543,4469.02
5789.27,80.8103,242,77.5845,4593.0
5744.22,73.1762,243,73.8471,5250.36
5669.65,65.1922,244,72.2138,5044.03
5621.1,78.5876,245,82.3262,5273.06
5841.77,78.4141,246,76.3953,4679.54
5220.84,79.6754,247,81.2662,4746.92
5695.41,82.8644,248,82.1986,5522.24
5162.32,79.1257,249,81.5617,4886.29
5660.41,80.9325,250,81.7252,5460.49
5419.67,81.2724,251,79.9175,4964.86
5836.34,71.8377,252,73.2184,5155.78
5546.17,77.719,253,77.0292,4629.74
5452.73,79.0414,254,77.653,5355.4
5791.74,71.4403,255,73.3381,4680.86
5793.87,79.5659,256,81.1523,4811.64
5890.64,80.4264,257,80.9695,5149.08
5387.92,60.3755,258,70.7285,4978.59
5463.71,71.501,259,73.7182,5171.45
5816.26,82.5491,260,82.0706,4230.88
5651.1,84.4109,261,83.0706,5047.09
5721.07,79.8907,262,81.3654,5012.79
5317.05,77.8774,263,80.5926,4882.29
5377.39,81.6561,264,79.4798,4857.1
5594.47,84.7302,265,82.3114,5456.12
5654.29,79.8708,266,80.0354,4820.41
5606.65,78.4386,267,81.0048,4796.53
5486.18,81.5891,268,81.7305,4914.71
5909.36,76.135,269,80.1724,5034.28
5383.94,76.1348,270,80.2203,4898.29
5546.77,81.1835,271,79.2718,4871.71
5418.0,66.7808,272,71.7323,4788.37
5269.91,79.1688,273,77.5051,4036.42
5860.9,79.3724,274,80.5801,5132.97
5475.92,82.1397,275,81.4837,4968.06
5903.08,82.5154,276,80.6384,5499.95
5883.35,70.2788,277,73.2214,4444.43
5351.63,82.8975,278,82.0746,4833.51
5400.1,73.208,279,74.3662,4716.5
5396.41,83.4565,280,84.513,4938.79
5185.27,81.206,281,79.3738,4838.8
5660.15,80.6428,282,82.0783,5247.76
5709.08,70.8661,283,74.5719,5230.58
5858.48,68.7012,284,73.229,5272.49
5472.53,77.8305,285,80.817,5290.72
5688.45,75.3678,286,78.2364,5299.89
5645.71,81.1032,287,81.8851,5491.31
5672.07,80.9241,288,79.9799,5313.08
5796.94,77.8368,289,81.1883,5235.5
5733.08,72.1537,290,74.3196,5171.63
5028.49,82.2363,291,79.7531,5449.45
5551.96,74.0125,292,74.6393,5346.4
5789.52,78.3363,293,80.0467,5079.87
5470.22,84.9479,294,82.8761,5235.43
5974.71,79.3942,295,82.2767,5072.57
5286.22,80.2192,296,83.7591,5006.79
5549.89,60.0886,297,70.9738,5408.77
5924.3,77.1327,298,77.884,5039.35
5977.95,76.1102,299,75.9712,5056.94
5820.19,65.7481,300,73.4071,5235.55
5646.4,79.9496,301,83.4707,5413.95
5362.54,83.0068,302,82.3007,5266.35
5812.99,75.0878,303,75.802,5202.07
5724.56,77.6689,304,79.2108,4891.35
5418.97,81.9566,305,83.9814,5542.24
5762.73,78.1718,306,77.4948,5277.94
5904.26,62.5481,307,73.06,4726.73
5267.06,85.0462,308,83.7309,4988.67
5427.48,88.1954,309,84.7378,5130.48
5467.06,83.5909,310,82.6262,5284.73
