Running Forward KL,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration
21.8362,-1606.5335693359375,695000,3435.86,2723.9,13.4193,139,139
22.238,-3190.638427734375,700000,3491.61,1500.23,45.6966,140,140
18.1423,-1273.887939453125,705000,3384.22,2852.14,18.698,141,141
21.5524,-2438.989013671875,710000,3440.56,2748.56,25.825,142,142
19.7665,-1326.235595703125,715000,3498.76,2837.78,12.8519,143,143
21.3226,-1983.5948486328125,720000,3465.97,2825.06,22.423,144,144
21.0316,-2089.403564453125,725000,2782.74,2012.34,26.1339,145,145
18.8989,-1261.07177734375,730000,3491.8,3068.44,11.5493,146,146
22.0068,-3423.615478515625,735000,1803.09,2172.62,43.5155,147,147
20.3758,-1746.44287109375,740000,3494.83,3121.68,12.6912,148,148
21.1969,-3314.819091796875,745000,2068.37,2129.22,32.5927,149,149
22.8304,-2722.4814453125,750000,3284.96,2293.7,25.1374,150,150
17.8202,-1045.4437255859375,755000,3485.85,3122.94,10.7174,151,151
21.1668,-2549.28857421875,760000,3236.84,2577.51,16.6468,152,152
18.9595,-1310.3419189453125,765000,3501.57,3364.98,11.9248,153,153
20.5464,-1427.2965087890625,770000,3472.68,3368.49,12.1699,154,154
20.7915,-1696.064697265625,775000,3440.66,2936.46,12.4121,155,155
19.475,-1041.56005859375,780000,3514.9,3056.95,12.5334,156,156
20.2057,-1819.716552734375,785000,3510.64,3113.91,16.8993,157,157
19.3285,-1514.2120361328125,790000,3508.05,2784.05,13.2346,158,158
19.6122,-1425.9468994140625,795000,3574.07,3422.23,12.1996,159,159
18.9654,-1214.3297119140625,800000,3482.48,3013.02,12.0498,160,160
19.4455,-1960.915283203125,805000,3499.16,2820.38,15.7145,161,161
18.4704,-1693.6593017578125,810000,3512.07,3355.09,11.4957,162,162
19.3905,-2388.216064453125,815000,2947.52,2469.21,20.3313,163,163
17.6592,-1281.0111083984375,820000,3551.35,3495.41,10.5603,164,164
21.0572,-2873.19091796875,825000,3469.21,2666.05,23.0211,165,165
20.277,-2077.109619140625,830000,3368.97,2605.96,16.6495,166,166
20.003,-1742.7073974609375,835000,3517.93,3049.31,14.2254,167,167
18.344,-1471.5081787109375,840000,3526.06,3236.96,11.7592,168,168
18.7968,-1591.6881103515625,845000,3368.26,2929.52,11.7058,169,169
21.6886,-3889.1591796875,850000,2820.0,1801.47,43.9137,170,170
19.4382,-1470.2249755859375,855000,3540.62,3140.32,14.6251,171,171
22.3537,-4377.92041015625,860000,2049.14,1634.13,47.6266,172,172
18.7576,-1420.842529296875,865000,3558.52,3088.68,12.6303,173,173
19.3797,-1529.921142578125,870000,3541.47,3301.01,11.5563,174,174
19.5073,-2565.60546875,875000,3182.6,2328.26,17.876,175,175
20.5105,-3478.551513671875,880000,1616.87,2441.95,30.1053,176,176
20.9023,-2758.824951171875,885000,3231.85,2885.47,18.3069,177,177
19.2326,-2545.073974609375,890000,3536.48,2769.32,20.574,178,178
19.8606,-2565.3154296875,895000,3535.55,2679.14,19.0152,179,179
21.0087,-4349.93603515625,900000,1595.34,1701.71,43.0452,180,180
17.0806,-1359.643798828125,905000,3503.08,3381.97,9.7448,181,181
18.5031,-1383.6844482421875,910000,3477.36,2939.38,10.4663,182,182
20.8382,-3813.313720703125,915000,2302.6,1833.86,32.9361,183,183
19.2204,-3590.337890625,920000,3446.89,2123.57,26.1119,184,184
18.5366,-2698.263671875,925000,3564.03,2540.63,18.7152,185,185
17.1414,-1408.210205078125,930000,3538.01,3359.28,10.1178,186,186
19.3891,-2763.233154296875,935000,3464.89,2701.12,20.4354,187,187
19.2865,-3352.645263671875,940000,3510.89,3005.61,19.8636,188,188
19.7795,-2951.304443359375,945000,3536.31,2684.18,14.9962,189,189
19.7665,-2546.012939453125,950000,3518.26,2629.39,16.3097,190,190
20.6639,-2380.203857421875,955000,3575.66,3335.07,14.6683,191,191
22.7994,-4391.18408203125,960000,2808.4,2101.91,31.9387,192,192
21.6197,-4545.19580078125,965000,3493.03,2132.53,39.9998,193,193
18.9316,-2876.415771484375,970000,3562.92,2687.71,19.2986,194,194
20.1293,-3624.139404296875,975000,3587.37,1944.24,22.5954,195,195
19.3384,-2669.938720703125,980000,3466.26,2789.24,13.2934,196,196
21.6648,-4771.83447265625,985000,2140.78,1728.7,28.7419,197,197
20.283,-3090.269287109375,990000,3455.34,2210.61,14.7742,198,198
21.8688,-4319.91162109375,995000,1580.99,1537.72,16.0722,199,199
