Itration,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
49,245000,49,3223.18,-71.20687103271484,27.5554,12.9071,3195.57
50,250000,50,3043.32,-76.72572326660156,27.1536,13.1878,3289.04
51,255000,51,3274.74,-71.97705078125,27.1,12.9724,3272.71
52,260000,52,3284.87,-88.24745178222656,26.2423,12.3189,3274.79
53,265000,53,3142.51,-66.75022888183594,26.4881,12.4651,3347.02
54,270000,54,2355.01,-138.83059692382812,27.4429,15.759,3313.92
55,275000,55,3330.25,-61.196685791015625,26.2765,13.2466,3368.16
56,280000,56,3342.4,-70.88184356689453,26.8999,13.5849,3358.02
57,285000,57,3048.34,-67.10371398925781,24.2712,11.0797,3392.55
58,290000,58,2986.85,-66.66544342041016,26.4603,12.6606,3358.84
59,295000,59,3358.82,-70.133056640625,25.4865,12.1975,3406.85
60,300000,60,3385.48,-72.742431640625,25.5324,12.274,3387.0
61,305000,61,3344.39,-74.62870788574219,25.794,12.1861,3393.55
62,310000,62,3335.46,-74.5256576538086,26.8916,13.5614,3373.8
63,315000,63,3342.39,-77.45439147949219,25.952,12.7199,3356.75
64,320000,64,3349.11,-91.69059753417969,26.2385,12.2111,3351.17
65,325000,65,3344.65,-82.55615997314453,25.9172,12.2943,3389.08
66,330000,66,3365.48,-81.96619415283203,25.9369,12.6273,3405.77
67,335000,67,3417.58,-87.88287353515625,26.8691,14.1377,3440.12
68,340000,68,3380.47,-87.46170806884766,25.2933,12.1777,3427.06
69,345000,69,3277.16,-93.16397094726562,24.8553,11.3517,3450.5
70,350000,70,3394.08,-84.50495910644531,25.1894,13.0135,3420.13
71,355000,71,3404.49,-74.48050689697266,24.8043,11.6499,3437.32
72,360000,72,3363.82,-60.33253479003906,24.0167,11.0885,3423.6
73,365000,73,3273.85,-87.63456726074219,25.055,12.6476,3416.49
74,370000,74,3376.67,-86.14030456542969,24.7401,12.341,3418.64
75,375000,75,3377.88,-98.65227508544922,25.819,13.0396,3386.3
76,380000,76,3366.38,-105.82745361328125,24.6549,11.608,3395.28
77,385000,77,3409.54,-74.69898223876953,24.177,12.0298,3443.88
78,390000,78,3414.72,-79.9595718383789,24.5563,11.7743,3464.71
79,395000,79,3376.4,-89.12542724609375,25.7574,12.8637,3429.39
80,400000,80,3369.51,-80.91748046875,24.0161,11.5866,3406.6
81,405000,81,3393.61,-85.1514663696289,25.077,12.3598,3449.0
82,410000,82,3354.24,-113.17369079589844,25.7444,12.8267,3387.21
83,415000,83,3376.97,-96.86380767822266,25.681,12.327,3409.22
84,420000,84,3364.03,-108.74536895751953,24.9875,11.9399,3400.63
85,425000,85,3379.42,-87.20561981201172,24.3924,11.9979,3398.81
86,430000,86,3400.2,-112.21021270751953,23.1544,10.6344,3444.68
87,435000,87,3027.81,-106.57870483398438,24.866,11.4553,3392.99
88,440000,88,3451.01,-76.15646362304688,23.653,10.7362,3492.1
89,445000,89,3380.23,-109.58769989013672,25.7996,12.7015,3411.37
90,450000,90,3393.75,-102.44366455078125,24.5592,11.6837,3425.85
91,455000,91,2828.57,-128.8206329345703,26.4503,13.9712,3454.03
92,460000,92,3410.54,-84.03468322753906,24.5042,11.3265,3437.32
93,465000,93,3423.98,-84.95694732666016,24.2925,12.2859,3459.39
94,470000,94,3413.49,-101.43437957763672,23.4975,10.9382,3440.53
95,475000,95,3428.95,-115.44310760498047,24.1781,11.3516,3476.97
96,480000,96,3425.64,-77.79872131347656,24.9221,11.831,3458.02
97,485000,97,3090.97,-103.967041015625,24.2809,11.5248,3466.89
98,490000,98,3432.76,-102.52311706542969,23.0855,10.4784,3452.01
99,495000,99,3414.68,-109.23135375976562,23.8744,11.3706,3451.36
100,500000,100,3371.09,-99.30989074707031,24.1643,11.3838,3424.62
101,505000,101,3424.61,-105.09070587158203,23.4535,10.4929,3464.17
102,510000,102,3364.26,-109.01957702636719,24.1927,11.3483,3389.41
103,515000,103,3395.99,-118.34385681152344,24.9212,12.2413,3435.83
104,520000,104,3392.22,-118.96971130371094,24.7647,11.8461,3429.04
105,525000,105,3407.07,-102.13035583496094,24.5112,12.0218,3433.62
106,530000,106,3416.27,-116.61282348632812,24.1952,11.8274,3442.36
107,535000,107,3405.44,-78.29764556884766,25.2248,12.6326,3444.76
108,540000,108,3430.93,-114.01948547363281,23.2262,10.5119,3463.65
109,545000,109,3406.23,-111.52333068847656,24.4167,11.4858,3432.66
110,550000,110,3416.86,-123.01612091064453,23.8008,11.667,3450.35
111,555000,111,3411.1,-116.4984130859375,24.2788,11.7445,3450.99
112,560000,112,3390.97,-113.43702697753906,23.4917,10.7239,3428.83
113,565000,113,3412.12,-121.73619842529297,24.3848,10.9175,3444.6
114,570000,114,3373.26,-149.50514221191406,23.3754,10.8656,3398.71
115,575000,115,3415.03,-147.5494842529297,24.4699,11.3069,3446.97
116,580000,116,3129.21,-112.377197265625,23.966,11.068,3486.65
117,585000,117,3400.43,-105.34912109375,24.003,11.4397,3416.81
118,590000,118,3383.88,-147.08734130859375,25.1088,12.3241,3404.56
119,595000,119,2612.3,-259.302978515625,25.3858,11.4204,3495.42
120,600000,120,3416.61,-134.17837524414062,23.1398,11.1729,3452.0
121,605000,121,3390.42,-146.46914672851562,24.1408,11.9998,3426.27
122,610000,122,2983.02,-222.12118530273438,24.4392,11.8929,3409.52
123,615000,123,3383.51,-141.1522979736328,22.8259,10.6447,3410.66
124,620000,124,3417.47,-85.07144165039062,23.7461,11.6388,3450.48
125,625000,125,3407.57,-153.28363037109375,24.1129,11.3935,3429.05
126,630000,126,3430.92,-122.80461120605469,25.0115,12.2364,3440.46
127,635000,127,3379.11,-143.664306640625,25.1025,12.5983,3406.59
128,640000,128,3265.57,-174.21278381347656,24.8935,12.0175,3460.1
129,645000,129,3434.95,-148.12860107421875,22.7895,10.0099,3449.14
130,650000,130,3418.67,-156.4589080810547,24.6844,11.7379,3452.02
131,655000,131,3399.48,-159.1067352294922,23.6795,11.0145,3446.0
132,660000,132,3414.17,-161.1873779296875,23.7389,11.3408,3438.36
133,665000,133,3378.77,-127.80716705322266,23.6522,11.0307,3446.57
134,670000,134,3421.25,-144.8830108642578,23.5129,11.8798,3442.25
135,675000,135,3428.09,-128.0374298095703,23.6689,11.3237,3460.47
136,680000,136,3261.42,-138.774658203125,25.2223,12.4671,3470.07
137,685000,137,3422.74,-148.9528350830078,24.3875,11.1477,3473.26
138,690000,138,3465.11,-113.80022430419922,24.3895,11.9259,3497.99
139,695000,139,3415.3,-134.01934814453125,23.2052,11.3279,3424.72
140,700000,140,3458.23,-139.0783233642578,23.6107,11.1917,3482.64
141,705000,141,3424.02,-143.38070678710938,23.5241,10.8648,3451.82
142,710000,142,3279.7,-142.7895965576172,22.7184,9.7873,3464.06
143,715000,143,3424.39,-168.9550323486328,24.4666,11.2725,3451.13
144,720000,144,3403.4,-153.42861938476562,23.3868,10.4384,3458.84
145,725000,145,3418.52,-162.24261474609375,23.1411,10.491,3450.41
146,730000,146,3445.74,-141.37107849121094,24.2358,10.8724,3472.02
147,735000,147,3443.51,-143.25946044921875,22.7069,10.2119,3478.53
148,740000,148,3414.89,-171.24688720703125,23.9833,11.1925,3438.84
149,745000,149,3409.54,-128.10531616210938,23.2971,10.9645,3452.36
150,750000,150,3398.76,-175.88412475585938,23.9474,11.0961,3427.11
151,755000,151,3446.28,-182.9406280517578,23.3679,10.1845,3474.48
152,760000,152,3461.94,-159.44268798828125,23.5448,11.0243,3493.06
153,765000,153,3222.74,-206.00503540039062,24.1858,11.202,3444.54
154,770000,154,2553.77,-188.1243896484375,23.164,11.1135,3483.3
155,775000,155,3004.62,-223.15234375,23.6769,10.9271,3480.94
156,780000,156,1350.99,-156.93017578125,23.745,11.5951,230.48
157,785000,157,3374.79,-185.8551483154297,24.2257,11.0512,3403.75
158,790000,158,3150.86,-212.06796264648438,23.5275,10.8482,3430.77
159,795000,159,3431.19,-173.62120056152344,22.8293,10.6341,3451.3
160,800000,160,3395.95,-188.00344848632812,23.2159,11.1468,3413.99
161,805000,161,3346.11,-171.3365936279297,23.6342,11.5346,3391.83
162,810000,162,3414.12,-185.26602172851562,23.8575,11.8072,3441.5
163,815000,163,3433.82,-141.28506469726562,22.7038,10.5935,3468.96
164,820000,164,3394.28,-168.9373016357422,23.3821,10.6956,3455.76
165,825000,165,3293.44,-154.894775390625,23.2525,11.3901,3466.14
166,830000,166,3167.98,-192.8919219970703,23.7086,12.5844,3481.32
167,835000,167,3428.3,-168.85525512695312,22.726,9.9214,3445.69
168,840000,168,3409.75,-183.8269805908203,22.8641,10.0338,3435.5
169,845000,169,3216.37,-177.2418975830078,23.2126,10.4433,3429.93
170,850000,170,3377.08,-175.30897521972656,22.8358,9.8716,3444.53
171,855000,171,3360.88,-182.82333374023438,23.132,10.5229,3435.0
172,860000,172,3224.34,-163.73068237304688,23.1735,10.7646,3452.99
173,865000,173,3408.9,-185.96893310546875,23.0633,10.8111,3433.96
174,870000,174,3182.76,-199.2565155029297,23.5983,10.819,3494.93
175,875000,175,3438.52,-191.8302764892578,24.093,12.7035,3464.6
176,880000,176,3417.01,-192.23681640625,23.1486,11.1346,3433.23
177,885000,177,3468.46,-204.50880432128906,23.7033,10.6613,3498.6
178,890000,178,3383.51,-196.4879913330078,23.1466,10.6248,3401.35
179,895000,179,3324.31,-223.365478515625,23.0241,10.5538,3457.19
180,900000,180,3449.64,-171.78982543945312,25.0305,13.1877,3470.37
181,905000,181,3418.64,-175.64877319335938,22.3804,10.0346,3431.18
182,910000,182,3130.77,-180.86961364746094,24.0695,11.0136,3461.45
183,915000,183,3435.26,-225.61395263671875,23.4425,11.0047,3454.14
184,920000,184,3454.67,-189.91848754882812,23.4897,11.437,3478.52
185,925000,185,3431.87,-192.36532592773438,23.3904,11.2287,3448.92
186,930000,186,3417.04,-185.9141845703125,22.5717,10.2576,3450.97
187,935000,187,3403.85,-235.39126586914062,23.3343,11.7929,3473.38
188,940000,188,3426.15,-211.0391845703125,22.7714,10.6726,3454.53
189,945000,189,3403.0,-203.18138122558594,22.8912,10.3659,3443.33
190,950000,190,3407.29,-225.35755920410156,24.2429,11.9913,3445.83
191,955000,191,3444.7,-216.1894073486328,23.4413,11.2066,3465.32
192,960000,192,3447.05,-197.26947021484375,23.4129,11.202,3521.69
193,965000,193,3396.96,-210.1422576904297,22.8843,10.7937,3431.19
194,970000,194,3438.09,-183.4857177734375,22.2263,10.253,3453.21
195,975000,195,3416.5,-212.12750244140625,23.1609,11.2868,3447.24
196,980000,196,3413.04,-227.7383575439453,22.483,10.8885,3440.15
197,985000,197,2815.48,-262.50836181640625,24.7753,12.9043,3520.43
198,990000,198,3503.49,-257.5694580078125,24.2803,12.4912,3514.74
199,995000,199,3397.0,-202.2700958251953,23.3317,10.5616,3415.24
