Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Itration,Real Sto Return,Running Update Time
3402.67,26.9486,290000,16.5166,-84.1411361694336,58,3318.5,58
3372.63,27.4656,295000,17.2256,-185.4227752685547,59,2994.3,59
3386.53,28.2154,300000,18.5948,-90.78374481201172,60,3367.94,60
3345.8,26.3396,305000,15.5193,-82.6337661743164,61,3345.36,61
3417.91,27.4133,310000,17.3457,-85.15441131591797,62,3298.39,62
3423.55,28.2308,315000,17.7923,-211.0325164794922,63,2144.17,63
3397.15,27.6134,320000,17.0514,-89.71151733398438,64,3357.18,64
3374.86,27.6272,325000,16.0004,-92.79710388183594,65,3242.92,65
1831.66,28.0143,330000,20.1894,-336.6532897949219,66,1727.34,66
3403.8,26.4393,335000,17.7536,-241.68565368652344,67,2577.81,67
3382.16,27.6602,340000,16.5035,-93.67021942138672,68,3228.54,68
3423.37,27.0529,345000,18.7041,-276.830078125,69,2272.64,69
3393.1,27.0872,350000,17.1341,-147.51425170898438,70,2806.92,70
3428.37,26.9525,355000,16.8765,-133.90782165527344,71,3103.23,71
3374.78,26.1832,360000,14.9218,-102.42002868652344,72,3096.91,72
3447.15,26.6595,365000,16.2778,-97.5243148803711,73,3420.27,73
3401.45,25.671,370000,17.568,-199.57980346679688,74,2901.28,74
3415.37,27.0786,375000,16.3392,-105.56661987304688,75,3142.44,75
3414.81,27.3771,380000,19.8426,-302.5191955566406,76,2331.2,76
3399.56,26.8477,385000,21.2904,-236.9770965576172,77,2513.48,77
2945.76,27.2873,390000,26.6833,-363.2242431640625,78,1670.54,78
3422.2,27.1475,395000,17.4317,-187.52572631835938,79,2686.71,79
3396.68,25.2745,400000,13.7399,-97.85050201416016,80,3334.76,80
3445.61,26.9381,405000,16.6003,-211.20252990722656,81,2428.89,81
3374.16,28.0259,410000,20.5645,-213.55792236328125,82,2900.12,82
3386.64,27.0006,415000,15.6634,-98.59442901611328,83,3112.11,83
3445.44,26.59,420000,16.0564,-104.67362213134766,84,3416.02,84
3418.04,26.9794,425000,19.8296,-230.9511260986328,85,2967.6,85
3415.45,27.6608,430000,16.4007,-117.76641082763672,86,3293.79,86
3358.08,27.9386,435000,25.3502,-320.8192138671875,87,2332.52,87
3305.95,26.7981,440000,16.5724,-112.28263092041016,88,3295.8,88
3424.23,26.4143,445000,16.1977,-109.4300765991211,89,3274.74,89
3403.89,26.3937,450000,15.983,-115.84577178955078,90,3275.85,90
3412.43,26.5502,455000,15.5628,-116.27951049804688,91,3391.53,91
3378.52,26.8665,460000,17.4232,-187.3896484375,92,3277.41,92
3441.38,26.5765,465000,18.7938,-230.5509796142578,93,3256.87,93
3445.4,25.6093,470000,15.0597,-124.28736877441406,94,3414.45,94
3392.52,27.4022,475000,16.9946,-129.64466857910156,95,3182.8,95
3415.08,27.054,480000,18.1719,-210.9748992919922,96,3044.78,96
3423.75,26.4404,485000,15.718,-122.28995513916016,97,3160.76,97
3414.45,25.8699,490000,19.3452,-212.0943603515625,98,2922.78,98
3406.12,26.8871,495000,21.2114,-275.2801208496094,99,2712.83,99
3327.47,26.759,500000,32.0981,-435.90997314453125,100,1316.41,100
3387.08,26.8423,505000,15.7771,-144.09234619140625,101,3278.97,101
3351.37,26.8176,510000,16.379,-166.4716033935547,102,3240.01,102
3403.54,25.5555,515000,18.9358,-217.94607543945312,103,3324.88,103
3372.78,26.7973,520000,18.4608,-220.7759552001953,104,2935.37,104
3368.26,26.8706,525000,14.8887,-154.4551239013672,105,3287.35,105
3391.27,25.6633,530000,16.0112,-204.2063446044922,106,2965.28,106
3342.41,26.8132,535000,26.9152,-343.29229736328125,107,2249.64,107
3395.89,25.7421,540000,14.792,-158.2356719970703,108,2849.63,108
3407.87,25.9551,545000,15.2911,-174.39320373535156,109,3350.87,109
3457.84,27.7792,550000,28.8055,-493.6010437011719,110,1864.06,110
3426.16,26.2569,555000,16.4892,-223.65989685058594,111,2868.82,111
3431.09,25.8434,560000,15.3269,-173.16346740722656,112,3347.26,112
3425.83,26.1517,565000,15.9077,-202.26206970214844,113,3382.87,113
3455.18,25.7606,570000,17.363,-258.41522216796875,114,3167.32,114
3409.51,25.8819,575000,14.8814,-162.9063720703125,115,3259.81,115
3451.31,26.7348,580000,17.5824,-335.4849853515625,116,2645.13,116
3437.05,25.0621,585000,13.9723,-170.5556182861328,117,3265.83,117
3410.64,25.0279,590000,14.2542,-170.85275268554688,118,3264.97,118
3435.61,25.8468,595000,15.3975,-177.9054718017578,119,3404.84,119
3484.29,26.824,600000,14.9952,-295.1410217285156,120,2975.97,120
3417.93,25.1025,605000,14.161,-163.23486328125,121,3138.75,121
3433.95,25.6632,610000,15.4042,-183.64393615722656,122,3427.12,122
3431.33,25.8533,615000,14.847,-176.4099884033203,123,3327.25,123
3458.94,26.3647,620000,16.6413,-268.3933410644531,124,2532.44,124
-2.31,45.6306,625000,235.2828,-705.8583374023438,125,-2.22,125
3336.19,27.2989,630000,29.621,-449.3785400390625,126,1748.93,126
3287.32,27.268,635000,15.7128,-197.00210571289062,127,3174.74,127
3409.65,25.9051,640000,14.2994,-316.31951904296875,128,2879.82,128
3360.89,26.0353,645000,14.1868,-181.95956420898438,129,3278.14,129
3420.74,26.3605,650000,13.446,-337.4093933105469,130,2870.57,130
3475.13,26.6473,655000,14.9194,-253.88658142089844,131,2896.41,131
3367.76,25.9823,660000,13.6681,-273.00799560546875,132,2564.35,132
3418.77,25.1631,665000,15.0648,-199.56454467773438,133,3387.66,133
3444.22,26.743,670000,17.3761,-333.9707946777344,134,2418.52,134
3417.01,26.386,675000,15.9864,-232.10659790039062,135,3293.44,135
3445.55,25.3732,680000,14.895,-204.91058349609375,136,3196.77,136
3447.5,25.1107,685000,14.5143,-226.2096710205078,137,2958.65,137
3445.56,25.2823,690000,14.9461,-214.49961853027344,138,3348.01,138
3468.56,25.6251,695000,15.5226,-210.09982299804688,139,3443.95,139
3440.41,26.6905,700000,14.6591,-330.9253845214844,140,2838.39,140
3389.31,26.2101,705000,14.6421,-317.7659912109375,141,2599.45,141
3460.72,25.844,710000,15.2301,-245.8658447265625,142,3387.38,142
3440.99,25.3992,715000,14.9758,-205.38812255859375,143,3278.6,143
3436.96,25.4968,720000,15.0693,-220.185302734375,144,3324.95,144
3428.86,25.5342,725000,14.4676,-236.2056427001953,145,3243.39,145
3461.34,25.5214,730000,14.4529,-232.90342712402344,146,3370.98,146
3438.93,25.9456,735000,19.1682,-319.33099365234375,147,3054.94,147
3447.55,25.461,740000,15.2329,-247.7299346923828,148,3095.94,148
3443.74,25.8334,745000,14.8345,-223.01959228515625,149,3412.61,149
3447.08,25.3335,750000,16.5606,-292.6904602050781,150,2900.79,150
3453.94,24.9004,755000,14.3868,-230.49330139160156,151,2870.56,151
3450.71,25.8335,760000,16.336,-270.7651672363281,152,3047.88,152
3475.95,25.3982,765000,16.1153,-286.7425231933594,153,2994.31,153
3448.64,25.6732,770000,15.9171,-275.8916931152344,154,3015.55,154
3479.0,26.8471,775000,24.7401,-421.57080078125,155,2435.63,155
3393.95,26.2949,780000,21.9707,-388.8023986816406,156,2660.82,156
3474.28,25.5838,785000,15.6787,-314.7999572753906,157,3368.97,157
3474.64,25.225,790000,14.5888,-241.582275390625,158,3448.98,158
3420.04,25.6338,795000,15.7027,-317.7750244140625,159,2686.81,159
3477.74,25.4122,800000,14.7004,-275.29510498046875,160,3213.55,160
1674.32,28.7713,805000,21.7874,-643.170166015625,161,1380.83,161
3436.69,26.7989,810000,16.9825,-344.7793273925781,162,2542.89,162
3400.53,25.8397,815000,14.1038,-207.51527404785156,163,3284.83,163
3443.72,25.6182,820000,14.3773,-255.18801879882812,164,3370.53,164
3449.42,25.749,825000,14.5725,-257.7811584472656,165,3143.61,165
3455.87,26.793,830000,18.0529,-335.95501708984375,166,2546.06,166
3440.87,25.5776,835000,15.1927,-290.9831237792969,167,3244.22,167
3474.23,25.8974,840000,16.067,-289.05792236328125,168,2934.39,168
3456.1,25.0641,845000,14.8043,-244.84402465820312,169,3435.12,169
3418.13,25.9356,850000,17.2165,-322.5227966308594,170,3172.48,170
3446.85,25.9593,855000,17.2186,-335.1461486816406,171,3385.6,171
3424.84,25.4527,860000,16.9897,-375.0199279785156,172,2493.93,172
3455.75,27.7083,865000,23.9279,-579.9456787109375,173,1873.9,173
3452.46,25.3934,870000,15.2984,-279.97918701171875,174,3320.14,174
3449.74,25.5264,875000,15.6082,-312.1939697265625,175,3199.8,175
3430.5,25.1558,880000,14.1666,-266.9420166015625,176,3361.18,176
3440.66,25.6738,885000,16.3597,-328.6956787109375,177,3016.49,177
3453.04,26.2142,890000,20.0395,-420.2204895019531,178,2130.33,178
3441.74,25.3844,895000,15.2124,-309.2298889160156,179,2938.98,179
3463.07,25.5138,900000,15.4026,-325.24224853515625,180,3215.3,180
3444.28,25.8773,905000,15.0606,-293.41485595703125,181,3088.48,181
3467.05,25.4451,910000,15.9319,-341.03424072265625,182,3023.21,182
3418.76,25.4429,915000,14.3321,-279.862060546875,183,3302.05,183
3425.21,25.4633,920000,15.5873,-390.5086364746094,184,2340.09,184
3451.18,24.8973,925000,13.673,-278.34539794921875,185,2896.26,185
3440.76,24.8381,930000,14.5286,-312.32696533203125,186,3092.76,186
3459.64,25.1777,935000,16.9867,-379.6825256347656,187,2744.8,187
3429.69,24.9521,940000,14.6989,-278.6786193847656,188,3132.97,188
3449.14,24.9642,945000,15.2505,-316.6321716308594,189,3223.22,189
3446.33,25.1116,950000,16.9375,-430.06915283203125,190,2103.02,190
3428.26,25.8514,955000,19.585,-459.002685546875,191,2034.36,191
3446.37,24.8473,960000,14.5207,-315.4996643066406,192,2920.67,192
3435.14,25.2051,965000,14.2941,-311.9805603027344,193,3357.02,193
3457.43,25.3121,970000,14.2119,-347.84423828125,194,3201.32,194
3445.31,24.7636,975000,13.8345,-265.44403076171875,195,3403.14,195
3453.97,25.1683,980000,15.1984,-298.35919189453125,196,3401.53,196
3480.38,26.302,985000,15.4882,-467.4017333984375,197,2287.56,197
3430.37,24.9136,990000,13.903,-345.3958435058594,198,2707.55,198
3449.77,24.5814,995000,13.7583,-339.04925537109375,199,3079.26,199
