Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Running Forward KL
320000,827.8,1417.08,64,64,209.7467,-10419.603515625,336.872
325000,1462.54,2274.99,65,65,188.7902,-8263.0400390625,328.8167
330000,1474.9,2177.69,66,66,180.6133,-8698.0205078125,330.556
335000,1343.77,1521.25,67,67,223.1185,-10314.111328125,347.8905
340000,1887.09,2172.45,68,68,204.1222,-8968.298828125,330.9866
345000,1366.03,1944.41,69,69,249.9664,-10876.017578125,348.4412
350000,2020.1,2502.17,70,70,197.1714,-8564.9921875,327.5483
355000,3071.89,2610.39,71,71,139.5224,-5837.6787109375,323.2588
360000,1150.51,2571.63,72,72,202.4631,-9887.5849609375,344.1255
365000,1583.82,1926.45,73,73,192.3053,-9481.4951171875,344.0752
370000,3921.81,3355.45,74,74,138.4586,-6569.93017578125,320.5469
375000,1642.01,2318.45,75,75,170.7669,-8453.2958984375,325.9756
380000,2869.51,1868.47,76,76,199.4187,-10158.0615234375,348.4015
385000,3171.49,2262.3,77,77,185.1793,-8928.3671875,341.9709
390000,2686.25,3614.26,78,78,195.0088,-8978.6396484375,323.8901
395000,1727.28,2992.18,79,79,111.6297,-4318.892578125,306.8411
400000,2613.66,2721.98,80,80,220.9025,-11157.1337890625,343.8076
405000,1795.64,2254.55,81,81,147.2815,-7507.53369140625,313.9637
410000,1743.47,1959.6,82,82,165.7401,-8484.6826171875,319.0511
415000,1657.49,3189.73,83,83,129.0696,-6192.9404296875,305.1461
420000,4173.52,4183.03,84,84,105.7054,-5228.45068359375,307.2326
425000,1460.33,3413.83,85,85,135.8393,-6316.64599609375,314.0667
430000,3056.08,2720.19,86,86,150.863,-7449.30908203125,325.5771
435000,3804.96,3182.7,87,87,118.673,-5688.185546875,307.401
440000,1250.77,2654.65,88,88,176.7149,-9578.69921875,324.3657
445000,1436.37,3533.12,89,89,152.2822,-8310.6650390625,323.188
450000,3579.15,3641.83,90,90,165.0546,-8495.7275390625,322.5653
455000,3866.78,3902.52,91,91,130.5932,-7567.37158203125,313.4793
460000,4229.28,3977.01,92,92,125.3286,-5881.353515625,311.6283
465000,5065.08,4573.91,93,93,96.533,-5734.51611328125,300.7157
470000,5010.2,4150.8,94,94,110.6369,-6750.890625,307.2457
475000,3998.0,4327.68,95,95,117.0931,-7000.73876953125,307.3424
480000,5288.03,4656.57,96,96,122.3265,-6602.42822265625,308.778
485000,4758.88,4444.54,97,97,114.4423,-6896.6494140625,306.8632
490000,4693.17,4157.89,98,98,97.7424,-6560.6845703125,303.7406
495000,3948.75,4827.34,99,99,113.569,-6402.255859375,306.6275
500000,4893.46,5153.1,100,100,123.7148,-6962.99560546875,311.1831
505000,4747.7,4581.91,101,101,99.7261,-7006.349609375,296.3214
510000,4864.72,4578.61,102,102,117.2601,-7802.8115234375,305.364
515000,4479.25,4867.47,103,103,119.7623,-8473.779296875,306.6043
520000,5239.86,4922.95,104,104,103.2799,-7321.97119140625,298.669
525000,5123.63,4198.98,105,105,108.5196,-7554.8330078125,302.1792
530000,5308.3,5226.22,106,106,105.4152,-7097.22265625,302.3327
535000,5211.45,4420.54,107,107,113.9389,-7556.07421875,304.005
540000,5024.44,5073.09,108,108,94.3172,-8353.251953125,292.8996
545000,5291.48,4501.44,109,109,123.84,-8908.669921875,295.9943
550000,5128.92,5093.92,110,110,99.9625,-7785.2490234375,296.2852
555000,4863.44,4633.04,111,111,112.4245,-9093.77734375,302.3299
560000,4889.07,5133.6,112,112,100.3088,-8177.16015625,290.499
565000,5126.94,5060.77,113,113,100.1993,-8184.17724609375,294.5339
570000,5294.88,5209.8,114,114,99.8116,-8591.759765625,296.4654
575000,5335.83,4914.04,115,115,102.9289,-8790.828125,294.2097
580000,5306.26,4513.11,116,116,109.2012,-9469.419921875,300.9526
585000,5357.54,4926.35,117,117,129.2378,-9722.224609375,302.1788
590000,5131.97,5013.01,118,118,118.9163,-10131.5302734375,300.7438
595000,5234.4,4924.99,119,119,104.6058,-9383.0068359375,300.048
600000,4397.52,4574.04,120,120,120.8029,-10661.0107421875,309.9796
605000,5194.78,4975.33,121,121,101.8066,-9355.3828125,301.8219
610000,5356.34,4843.2,122,122,104.9515,-9465.5048828125,296.9754
615000,5288.1,4928.71,123,123,113.8876,-10358.3935546875,304.1336
620000,4970.87,5090.76,124,124,117.1782,-9724.9794921875,308.5257
625000,5233.67,3951.74,125,125,98.3409,-10329.7734375,294.836
630000,4254.9,4713.71,126,126,108.5667,-10421.9775390625,307.1059
635000,5354.81,5180.38,127,127,108.2984,-10889.3447265625,304.5215
640000,5297.23,4899.41,128,128,115.8372,-11208.154296875,310.5129
645000,5416.66,4662.87,129,129,143.0664,-11516.96484375,312.8565
650000,5232.11,3845.57,130,130,160.6027,-11561.28515625,325.7003
655000,4397.91,4941.67,131,131,111.0088,-11198.7236328125,300.7405
660000,3924.44,4257.94,132,132,106.8079,-11373.771484375,302.699
665000,5268.33,4809.78,133,133,104.3652,-11886.0625,305.7855
670000,4202.22,4209.02,134,134,98.3998,-11515.4208984375,298.2924
675000,4132.82,4183.44,135,135,145.8943,-12349.953125,312.5028
680000,5081.25,4956.4,136,136,110.0407,-12178.1669921875,304.7761
685000,5250.01,4073.64,137,137,108.4451,-12298.6337890625,306.5586
690000,4998.92,4723.29,138,138,104.8618,-12037.8583984375,302.8985
695000,5376.3,4952.13,139,139,101.1884,-12267.162109375,298.4999
700000,5329.53,4738.8,140,140,111.0742,-13127.76953125,304.8529
705000,5332.69,4759.37,141,141,103.8166,-12868.267578125,304.0031
710000,5414.23,5124.77,142,142,111.8024,-13229.08203125,302.8189
715000,2486.15,3863.36,143,143,155.7185,-13218.8779296875,320.3628
720000,5378.98,5310.1,144,144,110.2486,-13312.8662109375,303.7214
725000,5363.92,5288.45,145,145,104.6048,-12885.81640625,295.201
730000,5434.73,4991.92,146,146,117.9729,-13724.27734375,311.148
735000,5362.7,5241.77,147,147,104.5928,-13491.314453125,300.6071
740000,5465.01,5267.42,148,148,117.1902,-13877.171875,298.6874
745000,5363.08,4863.22,149,149,102.0471,-14012.1748046875,300.6159
750000,5176.57,4902.42,150,150,101.7225,-13637.396484375,298.256
755000,4901.02,4828.81,151,151,123.1785,-14517.25,305.6329
760000,5488.55,5042.98,152,152,110.9564,-14319.90234375,300.7924
765000,5489.28,4239.59,153,153,148.5797,-14883.9873046875,313.3805
770000,5402.44,4719.41,154,154,125.6893,-14835.986328125,308.8575
775000,5060.21,4814.79,155,155,91.9974,-14110.533203125,301.5931
780000,5401.73,4760.81,156,156,103.5247,-14743.18359375,306.6728
785000,5417.71,5226.4,157,157,138.307,-14930.1298828125,305.0814
790000,5473.08,4913.05,158,158,125.4464,-15330.3544921875,314.879
795000,5459.63,5007.88,159,159,117.0842,-15182.126953125,306.8824
800000,5444.9,5270.62,160,160,101.8888,-14798.9296875,294.1111
805000,4644.89,5009.43,161,161,97.493,-14726.978515625,292.0524
810000,3939.88,4773.14,162,162,101.7737,-15213.4189453125,297.9339
815000,5333.2,5042.78,163,163,103.883,-15044.51171875,298.8776
820000,5493.49,4813.95,164,164,111.3076,-14987.9345703125,302.4055
825000,5190.13,4890.85,165,165,103.3427,-15048.47265625,298.1475
830000,5472.95,4820.71,166,166,112.7615,-15798.2041015625,306.0626
835000,5368.1,4719.5,167,167,129.564,-15834.9951171875,310.2061
840000,5151.15,5232.14,168,168,107.6028,-15922.6220703125,303.877
845000,3892.68,3636.14,169,169,150.1596,-15747.74609375,308.5889
850000,5459.02,5192.24,170,170,114.7349,-15769.5634765625,300.4111
855000,5425.79,5098.79,171,171,118.8263,-16137.4287109375,310.0759
860000,5259.04,4485.96,172,172,110.8027,-16037.4638671875,298.4986
865000,5365.2,4682.75,173,173,102.6648,-16159.2939453125,304.4272
870000,5181.8,4903.8,174,174,115.9761,-16215.43359375,301.6268
875000,3724.19,4413.83,175,175,126.2109,-16220.5771484375,303.5779
880000,4345.59,4242.13,176,176,129.2918,-16011.1767578125,299.204
885000,5035.78,4785.38,177,177,117.8211,-16606.369140625,306.4611
890000,4260.55,5312.58,178,178,135.7959,-16691.322265625,314.4853
895000,5439.23,5136.02,179,179,115.276,-16429.3828125,309.2181
900000,5224.28,5033.49,180,180,158.6805,-17048.150390625,319.3255
905000,5451.95,4430.52,181,181,126.1571,-16823.9296875,318.3827
910000,4244.06,4887.89,182,182,99.0301,-16450.46875,301.7598
915000,3018.08,4562.9,183,183,115.5572,-16597.30859375,303.2891
920000,5398.75,3615.44,184,184,117.79,-16734.646484375,310.7936
925000,5337.07,4333.91,185,185,108.3042,-16530.4765625,307.5646
930000,5396.11,4495.31,186,186,109.4733,-16568.462890625,312.6195
935000,4413.0,4786.94,187,187,131.0577,-16731.2890625,314.7459
940000,3229.59,4532.94,188,188,112.9814,-16871.669921875,305.7358
945000,5322.45,4680.58,189,189,104.4259,-16951.232421875,301.8941
950000,4688.1,5115.42,190,190,107.8074,-17165.89453125,303.447
955000,5486.73,5156.12,191,191,111.3081,-17064.185546875,299.1688
960000,3418.83,4816.47,192,192,99.6445,-16574.890625,299.1953
965000,3318.84,4538.44,193,193,140.7084,-17271.1328125,314.873
970000,3967.3,4728.25,194,194,130.141,-16907.498046875,309.1167
975000,2487.26,4216.33,195,195,156.0682,-17401.66015625,314.8556
980000,4801.81,4652.16,196,196,104.7342,-17362.513671875,309.9206
985000,3667.7,4342.77,197,197,113.0412,-17277.3046875,303.4954
990000,5450.37,5031.14,198,198,101.3465,-17364.1015625,302.7016
995000,5268.98,1840.39,199,199,170.6837,-17099.689453125,334.9123
1000000,4361.76,4951.44,200,200,99.6685,-17269.16796875,301.8804
1005000,3403.92,4186.14,201,201,102.3019,-17508.029296875,305.0464
1010000,5027.98,4519.35,202,202,99.9003,-17353.115234375,296.7002
1015000,4926.53,5238.93,203,203,134.7918,-17325.564453125,308.768
1020000,5332.75,5148.04,204,204,108.6762,-17204.857421875,301.4129
1025000,4748.34,4938.74,205,205,141.9889,-17289.505859375,305.529
1030000,4880.76,5142.84,206,206,129.4746,-17419.640625,305.1383
1035000,4792.57,4188.78,207,207,113.3493,-17510.0625,307.9779
1040000,5013.02,5049.57,208,208,107.0271,-17447.255859375,301.2851
1045000,5009.78,4900.74,209,209,111.3221,-17658.6328125,309.051
1050000,5206.58,4520.77,210,210,122.4147,-17603.048828125,305.7706
1055000,5319.12,4685.95,211,211,100.4927,-17493.78515625,303.8699
1060000,5168.29,5056.48,212,212,116.6439,-17525.212890625,309.0336
1065000,5345.97,4882.52,213,213,116.2817,-17669.84765625,310.9024
1070000,5277.49,5131.64,214,214,106.0572,-17480.373046875,302.3671
1075000,4833.22,4864.39,215,215,110.0802,-17284.5234375,301.4722
1080000,4870.65,4880.71,216,216,114.8808,-17756.1015625,309.3168
1085000,5332.06,5091.24,217,217,114.9878,-17759.904296875,302.092
1090000,5292.73,4928.28,218,218,109.9726,-17608.890625,306.3005
1095000,5319.09,5070.12,219,219,126.3742,-17730.119140625,306.0417
1100000,5331.19,5231.44,220,220,109.3949,-17907.341796875,305.3944
1105000,5380.14,5276.16,221,221,124.5565,-17969.013671875,310.6258
1110000,3224.88,4662.17,222,222,209.3609,-18037.689453125,320.9643
1115000,5099.94,5085.01,223,223,111.3133,-17907.990234375,302.9572
1120000,4877.46,5054.13,224,224,116.5733,-18136.8828125,310.6439
1125000,4472.57,4444.03,225,225,129.9462,-18074.458984375,309.4021
1130000,5349.02,4799.58,226,226,138.1952,-18336.19921875,317.6573
1135000,5359.16,5050.95,227,227,115.8597,-18285.7890625,311.5179
1140000,3545.46,3490.02,228,228,121.5758,-18410.369140625,312.0078
1145000,5322.45,4107.08,229,229,135.8282,-18078.56640625,315.8424
1150000,3986.75,4620.03,230,230,122.6798,-18441.6796875,305.2274
1155000,4879.14,4622.57,231,231,111.3555,-18232.71875,305.5412
1160000,4843.32,4657.14,232,232,140.388,-18354.67578125,311.6998
1165000,5147.19,4976.34,233,233,121.9234,-18426.265625,312.378
1170000,4463.73,4854.59,234,234,112.1178,-18216.076171875,303.5681
1175000,3213.03,4532.39,235,235,113.5965,-18180.103515625,305.2594
1180000,3866.99,4381.39,236,236,173.9981,-18323.916015625,319.768
1185000,5248.42,4796.49,237,237,147.3541,-18544.732421875,316.7538
1190000,4688.05,4545.39,238,238,119.8571,-18585.9765625,308.8288
1195000,5189.65,4359.46,239,239,114.1141,-18247.494140625,305.3535
1200000,4562.09,4384.38,240,240,121.2245,-18388.251953125,312.8934
1205000,5103.06,5030.29,241,241,115.9563,-18483.470703125,310.1442
1210000,4887.38,4616.01,242,242,117.4102,-18302.046875,311.4732
1215000,4938.82,4919.23,243,243,125.2764,-18407.119140625,310.3968
1220000,4000.32,4703.31,244,244,160.5936,-18583.7890625,324.0828
1225000,2303.31,4094.65,245,245,135.2574,-18370.623046875,318.8335
1230000,3492.84,4052.48,246,246,154.6667,-18313.759765625,321.6299
1235000,1992.65,1695.56,247,247,196.917,-18375.65234375,340.9607
1240000,2757.68,3938.37,248,248,158.6669,-18523.322265625,329.7551
1245000,1609.02,2225.99,249,249,200.3824,-18404.349609375,335.0243
1250000,3108.81,4285.28,250,250,125.0737,-18447.669921875,314.5348
1255000,3811.78,2821.13,251,251,145.5207,-18182.224609375,323.7723
1260000,1372.51,3579.25,252,252,164.339,-18439.6875,329.5695
1265000,3377.36,2836.5,253,253,149.3458,-18422.251953125,319.4363
1270000,2173.99,4099.95,254,254,124.3449,-18360.599609375,311.3492
1275000,2115.51,3726.58,255,255,130.2306,-18247.701171875,317.6861
1280000,1272.24,3983.32,256,256,143.0004,-18294.58203125,321.5319
1285000,1773.0,4158.1,257,257,115.9285,-18205.07421875,309.4549
1290000,1735.93,4611.02,258,258,106.533,-18479.33203125,310.2261
1295000,1408.51,2925.78,259,259,192.0742,-18397.478515625,339.1207
1300000,1568.76,3357.0,260,260,120.5179,-18500.419921875,312.2034
1305000,2506.55,3941.09,261,261,105.5345,-18207.708984375,308.4394
1310000,3423.49,4026.34,262,262,111.4042,-18339.251953125,309.8008
1315000,3275.41,3079.96,263,263,125.0493,-17556.400390625,317.7338
1320000,2454.24,3338.72,264,264,143.4196,-17965.75390625,324.1548
1325000,1889.23,3693.83,265,265,107.7174,-17985.060546875,311.7721
1330000,883.14,3672.17,266,266,115.9341,-18071.361328125,306.1347
1335000,1193.34,3124.94,267,267,129.7935,-17891.646484375,312.6719
1340000,3692.79,4486.58,268,268,99.4696,-18074.02734375,299.1983
1345000,1786.87,4677.16,269,269,96.5862,-17450.146484375,293.4922
1350000,3147.09,4727.75,270,270,93.1896,-17522.60546875,296.4896
1355000,1264.24,4076.44,271,271,110.5619,-17673.8125,298.5782
1360000,511.3,2434.7,272,272,157.0863,-17566.28515625,317.4684
1365000,625.45,2666.07,273,273,167.6076,-17833.3046875,324.8412
1370000,4770.23,3986.07,274,274,107.7048,-17994.4296875,301.5554
1375000,4364.47,3635.99,275,275,98.8054,-18157.71875,297.9248
1380000,5102.27,3951.83,276,276,119.1808,-18055.380859375,304.0325
1385000,2138.96,4293.69,277,277,114.2343,-18478.77734375,303.3739
1390000,4389.96,4307.65,278,278,121.7408,-18455.59765625,314.002
1395000,1591.55,4254.98,279,279,145.0672,-18113.16015625,315.8233
1400000,1597.92,2919.08,280,280,186.9397,-18272.853515625,326.1266
1405000,4465.91,5089.56,281,281,119.1733,-18334.576171875,311.0071
1410000,5256.65,4144.29,282,282,105.3704,-18570.83984375,302.3586
1415000,4484.28,4431.56,283,283,110.1477,-18338.494140625,305.1328
1420000,5086.28,4228.0,284,284,110.44,-18626.15234375,302.8294
1425000,5302.46,4612.33,285,285,99.4337,-17941.703125,296.5684
1430000,4623.01,4231.69,286,286,118.5789,-18495.630859375,303.5213
1435000,3348.87,4451.08,287,287,140.0924,-18122.8125,306.3036
1440000,4895.61,3743.91,288,288,135.9684,-18071.62890625,309.257
1445000,4646.89,4249.51,289,289,143.679,-18662.689453125,317.7353
1450000,2886.99,3865.92,290,290,128.038,-18352.07421875,312.5683
1455000,2896.63,3462.72,291,291,153.6246,-18526.779296875,312.7346
1460000,4250.73,4148.11,292,292,147.8237,-18505.080078125,305.5502
1465000,3946.41,3986.78,293,293,128.9894,-18765.00390625,306.9951
1470000,3306.1,3815.82,294,294,156.8792,-18425.732421875,302.5108
1475000,2996.31,3882.44,295,295,115.5505,-18048.671875,297.3834
1480000,4252.93,4918.17,296,296,151.4096,-18356.6015625,301.9215
1485000,2758.15,4126.87,297,297,104.9727,-18591.48046875,294.0557
1490000,2492.85,3968.53,298,298,172.0775,-18612.7578125,310.4236
1495000,3037.71,3843.25,299,299,167.5161,-18528.921875,306.027
1500000,5118.2,4947.09,300,300,107.4796,-18785.751953125,297.3524
1505000,4854.38,5208.65,301,301,113.8902,-18960.419921875,296.3562
1510000,4336.41,4725.57,302,302,120.8556,-18821.3046875,302.176
1515000,5013.58,5212.51,303,303,116.9496,-18984.44140625,307.416
1520000,5156.58,5035.24,304,304,118.0697,-18965.263671875,298.5604
1525000,5210.45,5142.32,305,305,122.8994,-19030.42578125,303.4679
1530000,5192.32,4766.26,306,306,118.8593,-18877.666015625,303.8594
1535000,5208.64,4971.12,307,307,121.6991,-19026.033203125,308.0404
1540000,5262.48,4607.9,308,308,121.3675,-18890.41015625,306.3887
1545000,3894.36,4404.8,309,309,142.2937,-18828.341796875,308.0435
1550000,4112.93,4975.02,310,310,105.2263,-18529.29296875,300.2483
1555000,4787.53,4778.59,311,311,112.2157,-18970.90625,302.7235
1560000,5252.94,4705.59,312,312,103.8184,-18843.533203125,302.6095
1565000,4307.13,4401.4,313,313,124.1793,-18481.94140625,305.7573
1570000,4650.97,4272.79,314,314,147.7755,-19133.91015625,317.1236
1575000,4201.65,4184.46,315,315,192.9382,-18714.83203125,320.2202
1580000,5074.69,4546.63,316,316,130.4362,-18940.58203125,315.495
1585000,4863.78,3981.85,317,317,156.7333,-19018.814453125,312.8336
1590000,4214.44,2979.45,318,318,171.4975,-19016.560546875,319.3847
1595000,4701.9,4776.36,319,319,138.7745,-18891.74609375,313.9056
1600000,4071.4,3941.22,320,320,110.8042,-18931.78125,310.7375
1605000,4771.13,4354.31,321,321,169.0393,-18926.490234375,315.3376
1610000,4775.5,4466.49,322,322,116.2191,-18835.232421875,304.677
1615000,5177.74,4484.39,323,323,115.4377,-18822.06640625,307.7218
1620000,5035.64,4844.05,324,324,106.9103,-19171.36328125,304.7069
1625000,3622.64,4308.74,325,325,113.0723,-18720.451171875,300.796
1630000,5140.9,4736.37,326,326,157.3357,-18620.08203125,310.5
1635000,3844.84,3333.78,327,327,137.2878,-18805.0703125,304.4518
1640000,4637.92,3913.13,328,328,182.4671,-19096.53125,319.3045
1645000,4473.08,4980.44,329,329,110.1685,-19366.20703125,307.3965
1650000,4951.07,4727.31,330,330,100.1756,-19006.16796875,297.8695
1655000,5085.02,4898.89,331,331,108.6707,-19439.921875,308.8971
1660000,5134.1,5114.56,332,332,108.023,-19434.6015625,308.9959
1665000,4941.08,4710.77,333,333,139.0021,-19317.830078125,320.0122
1670000,4561.2,4643.3,334,334,115.3786,-19416.46484375,313.9049
1675000,5145.52,4446.78,335,335,123.733,-19377.64453125,317.5927
1680000,4940.54,4490.59,336,336,123.7339,-19359.455078125,319.982
1685000,4433.59,3913.9,337,337,123.2003,-19240.2734375,311.9772
1690000,4955.04,4411.61,338,338,138.5827,-19282.736328125,313.9271
1695000,4529.89,4947.9,339,339,107.7952,-19424.392578125,306.2947
1700000,4044.38,4681.02,340,340,113.4278,-19466.23046875,308.54
1705000,5184.36,4534.92,341,341,141.9107,-19350.73046875,316.1889
1710000,4746.04,3776.65,342,342,133.7028,-19310.83984375,318.9371
1715000,708.34,1216.45,343,343,244.3268,-18819.00390625,347.1649
1720000,1338.77,2600.65,344,344,152.0741,-19156.943359375,318.4858
1725000,4412.31,4569.67,345,345,117.945,-19429.56640625,307.7227
1730000,5233.95,4256.56,346,346,137.2476,-18800.4140625,305.783
1735000,2435.74,2902.65,347,347,135.8689,-19079.3515625,320.4424
1740000,2942.26,3548.68,348,348,145.2792,-19051.9296875,322.9447
1745000,4788.37,5136.62,349,349,105.4964,-19194.451171875,302.2029
1750000,3097.57,2458.81,350,350,169.6003,-18946.923828125,318.4763
1755000,3615.18,3934.18,351,351,150.8437,-19007.587890625,313.5137
1760000,2794.97,2422.59,352,352,239.5583,-18670.1484375,340.8563
1765000,4542.48,4372.86,353,353,169.7464,-19196.072265625,327.8437
1770000,4717.3,4455.03,354,354,168.7761,-18810.904296875,325.6399
1775000,2963.21,2546.65,355,355,184.0593,-18897.208984375,324.8856
1780000,5084.62,4083.99,356,356,129.3185,-19354.83984375,318.0395
1785000,4238.27,5186.4,357,357,137.3894,-19145.8203125,314.6045
1790000,4584.6,4522.93,358,358,133.503,-19305.65234375,311.7699
1795000,4284.38,4705.18,359,359,108.2088,-19164.05859375,300.6871
1800000,4170.64,4300.3,360,360,138.4667,-19228.19140625,308.9894
1805000,3376.4,4313.44,361,361,179.8055,-19242.771484375,331.5376
1810000,4471.11,4703.5,362,362,127.6511,-19402.44921875,312.6945
1815000,4645.86,4855.98,363,363,136.5542,-19308.0078125,311.0113
1820000,4677.32,4760.09,364,364,161.4013,-19456.783203125,327.0179
1825000,4249.45,4536.14,365,365,171.8403,-19237.28515625,321.5029
1830000,3341.83,4310.01,366,366,154.1919,-19286.85546875,319.8172
1835000,4319.29,4345.01,367,367,129.8939,-18925.59765625,300.8211
1840000,4605.76,4452.18,368,368,160.4352,-19452.25,324.5695
1845000,5069.28,5036.7,369,369,132.9703,-19287.681640625,304.8903
1850000,2773.69,3497.0,370,370,186.0979,-19279.345703125,308.5803
1855000,3295.11,4843.79,371,371,136.5089,-19063.84375,300.8478
1860000,5081.66,5060.8,372,372,131.178,-19283.5,303.1378
1865000,3707.53,4744.42,373,373,121.4703,-19246.693359375,296.0991
1870000,4902.92,4918.91,374,374,134.159,-19417.423828125,302.6251
1875000,4666.17,4566.82,375,375,118.1243,-19234.818359375,291.4866
1880000,4957.2,4214.12,376,376,144.4742,-19196.888671875,299.0508
1885000,4408.68,4454.75,377,377,127.2681,-19298.396484375,300.6218
1890000,4943.25,5151.88,378,378,130.2464,-19461.9453125,304.0101
1895000,3757.11,3871.62,379,379,168.6945,-19329.13671875,313.9648
1900000,4962.55,4215.72,380,380,155.6104,-19522.32421875,317.1502
1905000,4860.42,4840.37,381,381,154.8878,-19550.171875,320.935
1910000,4721.54,4849.42,382,382,125.9957,-19533.984375,310.1432
1915000,4624.36,5231.1,383,383,127.8714,-19549.072265625,312.1611
1920000,1944.91,3746.18,384,384,142.2862,-19311.30078125,314.0622
1925000,4276.55,4727.35,385,385,136.8392,-19513.640625,305.4685
1930000,2598.81,4726.69,386,386,138.7857,-19477.890625,310.0246
1935000,4416.59,4178.78,387,387,142.8318,-19547.03125,314.3535
1940000,3474.99,5058.87,388,388,165.4569,-19556.916015625,325.4348
1945000,1684.58,2796.53,389,389,206.2574,-18588.6640625,327.4106
1950000,1884.14,2783.72,390,390,175.3934,-19154.869140625,326.3586
1955000,664.46,2223.23,391,391,288.4272,-18491.4140625,364.557
1960000,1840.08,3883.43,392,392,201.92,-19096.220703125,334.473
1965000,2817.17,4649.76,393,393,146.8845,-19291.900390625,321.9019
1970000,2581.05,3593.19,394,394,139.7388,-19431.099609375,315.4726
