Running Update Time,Real Det Return,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL
30,639.77,855.4,30,-3720.630126953125,245.3209,150000,379.3382
31,854.41,952.37,31,-3477.31591796875,233.4469,155000,382.745
32,800.23,1095.24,32,-3621.037841796875,251.0437,160000,376.5752
33,726.04,970.31,33,-3852.2041015625,243.2674,165000,377.3056
34,755.53,980.89,34,-4480.998046875,274.0483,170000,391.7586
35,946.95,1257.82,35,-4522.9189453125,211.4724,175000,375.5402
36,769.71,1163.86,36,-4760.30810546875,232.9244,180000,383.6457
37,803.76,928.95,37,-5116.24951171875,240.7682,185000,384.3769
38,888.2,1317.14,38,-4579.529296875,208.1968,190000,371.8511
39,996.73,955.59,39,-5603.32958984375,247.9538,195000,394.9495
40,830.82,1194.64,40,-5485.48876953125,261.6849,200000,381.8399
41,791.64,816.33,41,-5678.79541015625,271.5511,205000,401.0678
42,778.37,1246.47,42,-6167.53955078125,246.6242,210000,398.7452
43,1228.2,1457.08,43,-5588.7421875,223.5345,215000,396.8032
44,819.65,873.67,44,-6117.60595703125,244.6084,220000,398.335
45,631.86,1202.74,45,-6506.296875,234.2652,225000,394.9271
46,684.97,2087.15,46,-6417.14453125,232.7498,230000,382.9581
47,985.91,1582.8,47,-6087.98486328125,218.6714,235000,386.7171
48,935.75,2074.3,48,-6580.2392578125,225.999,240000,379.5472
49,739.82,2426.24,49,-6970.4111328125,239.4718,245000,387.2255
50,761.83,989.1,50,-7382.8623046875,239.2154,250000,380.1881
51,595.99,1709.37,51,-7272.98046875,238.9738,255000,385.3503
52,674.16,1251.38,52,-7256.068359375,223.3252,260000,382.676
53,866.9,1253.49,53,-7124.033203125,223.6507,265000,384.0429
54,1119.29,2196.75,54,-6497.13720703125,209.5572,270000,380.138
55,944.35,1795.31,55,-7532.708984375,223.357,275000,379.8007
56,872.09,2745.23,56,-9041.3798828125,256.1579,280000,395.247
57,812.94,2309.94,57,-7180.0810546875,213.5088,285000,388.8259
58,1643.81,2317.62,58,-8395.5947265625,234.4963,290000,387.0837
59,1497.16,3412.65,59,-7008.23876953125,218.2604,295000,395.0078
60,859.33,1665.7,60,-8441.9638671875,217.2009,300000,397.1607
61,851.34,1493.4,61,-8571.845703125,224.718,305000,394.0879
62,1092.28,2336.72,62,-8136.37353515625,205.674,310000,380.8779
63,821.44,2898.63,63,-7775.1240234375,203.4223,315000,377.7924
64,624.93,1535.78,64,-9717.1025390625,230.0951,320000,406.5533
65,681.32,2226.7,65,-10050.2919921875,232.2553,325000,401.4835
66,905.44,3113.46,66,-8241.943359375,202.4374,330000,390.2526
67,692.12,1456.1,67,-10835.8212890625,268.7871,335000,411.9668
68,852.52,1643.73,68,-10043.6572265625,240.3,340000,392.1637
69,914.49,3110.05,69,-9385.0947265625,213.0416,345000,390.6666
70,892.45,2499.97,70,-8981.779296875,209.8357,350000,389.0697
71,1012.48,3133.96,71,-8628.0654296875,194.2218,355000,377.458
72,926.82,3062.65,72,-8605.3310546875,211.0679,360000,386.12
73,1248.7,1842.41,73,-9674.21484375,210.4959,365000,376.0418
74,912.91,3848.43,74,-8996.34765625,195.8443,370000,377.0037
75,1170.57,3022.01,75,-10385.2177734375,218.9218,375000,384.5051
76,780.99,3391.46,76,-9023.837890625,202.2168,380000,376.9905
77,1157.43,2795.03,77,-10113.203125,201.6872,385000,383.2677
78,1332.4,2837.05,78,-10324.625,193.0367,390000,370.1382
79,801.38,3008.4,79,-9115.6767578125,195.5542,395000,383.0445
80,1124.91,3130.16,80,-9641.02734375,193.9157,400000,372.1326
81,1857.18,4025.4,81,-11043.1640625,194.5927,405000,384.0471
82,1670.22,3641.12,82,-9824.53515625,194.5769,410000,371.0807
83,818.69,3461.27,83,-10404.849609375,191.5496,415000,372.0254
84,1830.99,3428.95,84,-10607.9912109375,201.3524,420000,379.677
85,3109.23,2477.89,85,-11386.21484375,217.7987,425000,386.5738
86,3067.29,3945.84,86,-10565.705078125,190.5297,430000,371.4978
87,2733.34,2779.89,87,-11413.9462890625,210.5696,435000,378.2997
88,3277.44,3470.36,88,-10984.8671875,197.2769,440000,373.7296
89,4054.69,3990.89,89,-11248.4912109375,195.5111,445000,378.6744
90,2772.21,3705.09,90,-11339.8037109375,184.8276,450000,366.2747
91,4103.58,3680.66,91,-11300.3271484375,192.6033,455000,371.8156
92,3105.33,3777.41,92,-11280.3759765625,188.2493,460000,364.136
93,3164.6,3880.15,93,-11876.361328125,186.6469,465000,373.5138
94,3261.59,3222.89,94,-11255.267578125,180.1455,470000,363.8672
95,4409.81,3354.58,95,-11777.7578125,178.9326,475000,365.0978
96,3173.68,3570.15,96,-12223.8046875,186.1997,480000,376.8007
97,3153.14,3009.94,97,-12476.6748046875,186.6318,485000,370.9442
98,4057.62,4009.33,98,-12834.84375,195.431,490000,374.2571
99,4384.57,4216.01,99,-12959.3642578125,199.9561,495000,374.173
100,3611.59,3550.81,100,-12503.4501953125,194.7128,500000,361.7074
101,4817.1,4249.86,101,-12736.451171875,188.5559,505000,368.1127
102,4159.66,3748.34,102,-12761.982421875,194.6947,510000,375.0949
103,4857.77,4497.02,103,-13116.3720703125,193.3937,515000,369.0838
104,4592.32,4209.78,104,-13045.68359375,183.5582,520000,363.1967
105,3849.84,2890.82,105,-13117.369140625,200.561,525000,379.7131
106,4595.39,4425.91,106,-13723.462890625,201.9605,530000,373.4319
107,2928.53,3895.96,107,-13732.57421875,178.7113,535000,358.4202
108,3781.1,4616.32,108,-14049.2783203125,193.1963,540000,365.9762
109,3032.43,4003.86,109,-14215.498046875,185.8773,545000,368.7049
110,4596.22,4435.09,110,-13904.79296875,182.9357,550000,360.7029
111,4064.56,3785.54,111,-13940.44140625,189.4565,555000,371.4539
112,4242.2,4387.81,112,-14446.9853515625,197.9577,560000,370.0777
113,3671.6,4521.61,113,-14460.892578125,187.9499,565000,361.5788
114,3622.55,3226.49,114,-14247.5244140625,189.2587,570000,368.3951
115,4331.82,4403.7,115,-14399.1982421875,185.2864,575000,368.9818
116,3775.59,4453.96,116,-15044.685546875,198.6104,580000,373.6268
117,4257.29,4288.58,117,-14810.1181640625,189.2457,585000,367.8253
118,4024.4,4540.31,118,-14694.703125,187.6296,590000,359.2795
119,4501.61,4418.25,119,-15616.2392578125,197.1244,595000,366.224
120,3757.57,4503.1,120,-15337.80859375,184.5618,600000,364.0966
121,4745.73,4607.04,121,-14922.6865234375,182.5349,605000,350.358
122,4377.52,3248.42,122,-14970.95703125,195.216,610000,372.4554
123,4125.99,4283.25,123,-15665.7080078125,186.9351,615000,355.762
124,4530.53,4684.63,124,-15441.55859375,183.9361,620000,360.8649
125,4414.66,4383.5,125,-15180.701171875,186.1978,625000,353.6818
126,4556.5,4741.97,126,-15623.203125,186.4618,630000,354.6517
127,3818.92,4681.29,127,-15228.720703125,170.7903,635000,346.061
128,4047.57,4587.18,128,-16202.4443359375,190.2286,640000,365.1751
129,2991.82,4799.13,129,-16171.1630859375,190.6688,645000,366.5944
130,4369.23,4780.4,130,-16052.4140625,193.8356,650000,372.6792
131,3998.55,4465.86,131,-16497.7578125,191.4574,655000,364.5374
132,3895.84,4346.41,132,-16481.115234375,193.3613,660000,365.2865
133,4220.53,4293.63,133,-16476.626953125,196.042,665000,366.1975
134,3781.4,3877.54,134,-16209.53515625,185.3014,670000,359.2607
135,3156.3,4194.27,135,-16586.25390625,200.5614,675000,369.2081
136,3427.7,4645.94,136,-15968.341796875,191.803,680000,365.9872
137,4114.36,4619.2,137,-16781.453125,196.5037,685000,372.889
138,4886.19,4496.64,138,-16684.091796875,198.5523,690000,364.8791
139,4860.76,4698.1,139,-16564.943359375,182.6601,695000,357.9514
140,4374.43,4832.4,140,-16471.6875,188.2458,700000,356.897
141,3702.53,4578.74,141,-16622.59375,198.4702,705000,367.5697
142,4634.22,4730.66,142,-16625.701171875,191.2129,710000,355.9905
143,3870.14,4832.1,143,-16910.73046875,185.659,715000,353.3715
144,4648.09,3479.69,144,-16776.904296875,187.935,720000,369.3004
145,4605.35,4486.2,145,-17022.12109375,204.5773,725000,366.6228
146,4597.38,4818.32,146,-17130.923828125,194.5553,730000,368.1043
147,4715.57,4585.62,147,-17283.857421875,195.9304,735000,366.5937
148,2003.74,4487.69,148,-16591.77734375,172.0508,740000,342.7908
149,3580.72,4855.55,149,-16621.345703125,176.8896,745000,351.339
150,1213.55,4895.59,150,-16743.15234375,160.8,750000,343.9014
151,3654.7,4689.83,151,-16804.0078125,170.1911,755000,343.6895
152,4147.21,4577.07,152,-17284.86328125,182.0368,760000,359.143
153,4675.13,4846.34,153,-17274.787109375,180.1412,765000,351.6241
154,2436.76,4821.99,154,-17549.8125,190.1152,770000,362.7479
155,2991.05,3218.07,155,-16969.517578125,197.6384,775000,359.7617
156,3284.2,4789.91,156,-17756.583984375,191.8051,780000,366.9022
157,4270.84,4617.41,157,-17530.697265625,186.405,785000,359.4794
158,4104.8,4824.19,158,-17294.263671875,200.742,790000,366.5176
159,3058.98,4690.87,159,-17454.75,173.0262,795000,352.3438
160,2909.86,4837.04,160,-17442.654296875,170.1303,800000,351.3933
161,4618.31,4819.37,161,-17724.861328125,181.6721,805000,361.0201
162,3406.41,4224.49,162,-17679.17578125,177.7743,810000,357.7499
163,4916.84,4525.6,163,-17733.685546875,185.0631,815000,360.3775
164,3419.01,4259.67,164,-17554.19140625,177.6873,820000,352.3299
165,4858.36,4451.35,165,-17376.400390625,165.4104,825000,347.1756
166,672.47,4544.63,166,-17455.478515625,166.0184,830000,343.2737
167,4535.44,4681.05,167,-17816.390625,188.7258,835000,354.292
168,4824.19,4906.79,168,-17343.142578125,166.2178,840000,347.7951
169,4987.36,4884.65,169,-17819.171875,175.8966,845000,354.1827
170,3773.59,4833.37,170,-17540.85546875,158.2617,850000,340.8848
171,2200.43,4864.88,171,-17632.798828125,160.6974,855000,339.0358
172,2152.89,4610.51,172,-17171.859375,139.6299,860000,326.3102
173,1445.55,3858.09,173,-17379.81640625,163.7737,865000,339.7894
174,3197.32,4903.33,174,-17755.158203125,165.6516,870000,349.1544
175,1803.57,4818.53,175,-17498.650390625,180.7216,875000,352.9841
176,4680.45,4971.67,176,-17584.0390625,158.9935,880000,339.2871
177,2388.68,4714.55,177,-17595.654296875,147.7413,885000,336.3945
178,2974.51,4780.63,178,-17385.1171875,140.1724,890000,329.6392
179,3392.0,4934.67,179,-17678.06640625,149.8618,895000,335.0385
180,3357.91,4950.85,180,-17331.1796875,145.3056,900000,337.7227
181,4577.44,4599.63,181,-17684.68359375,142.4904,905000,335.6455
182,3408.79,4711.12,182,-17663.19921875,141.4532,910000,335.5694
183,4643.42,4940.69,183,-17735.310546875,144.3389,915000,336.3547
184,2430.05,4986.6,184,-17648.357421875,148.6306,920000,338.3838
185,3933.3,4788.94,185,-17936.890625,146.2148,925000,333.7065
186,1869.81,4931.83,186,-17966.470703125,147.6364,930000,337.6922
187,2514.43,4594.72,187,-17851.7578125,140.6271,935000,330.2479
188,2322.57,4703.88,188,-17673.458984375,138.2137,940000,325.7087
189,1928.01,4301.63,189,-17674.75390625,136.8933,945000,332.0433
190,3619.39,4824.6,190,-17628.4375,135.0324,950000,328.3972
191,2934.13,4468.74,191,-17303.18359375,137.9844,955000,326.0108
192,4340.02,4955.97,192,-17943.04296875,137.8947,960000,329.0101
193,3047.37,4710.06,193,-17728.5390625,153.7483,965000,330.1292
194,4746.12,4774.92,194,-17917.556640625,134.5366,970000,324.8703
195,3135.12,5009.04,195,-17813.955078125,136.5019,975000,329.2289
196,1992.87,4983.06,196,-17340.76171875,146.8229,980000,335.6013
197,2581.54,4916.36,197,-17945.021484375,132.3974,985000,327.7046
198,1371.45,4232.15,198,-17530.677734375,127.7494,990000,323.6432
199,1435.55,4517.97,199,-17626.5859375,129.2518,995000,323.5089
200,2051.46,4955.09,200,-17967.65234375,124.8793,1000000,326.5029
201,2218.95,4790.53,201,-17848.93359375,135.1392,1005000,327.632
202,1686.1,4387.3,202,-18040.919921875,128.6576,1010000,322.7665
203,1059.86,3736.74,203,-17961.296875,133.4267,1015000,327.0802
204,1157.97,4333.56,204,-17976.2265625,128.3014,1020000,325.2424
205,1611.82,4452.68,205,-17546.787109375,150.1932,1025000,329.8741
206,1280.88,4808.06,206,-18091.396484375,131.0045,1030000,324.1657
207,1741.62,4679.98,207,-17818.3203125,134.3854,1035000,326.0901
208,1620.55,4396.26,208,-18202.8046875,126.8665,1040000,321.9452
209,1828.19,4463.95,209,-18221.900390625,125.4157,1045000,321.0303
210,1073.37,3840.07,210,-17752.154296875,136.7234,1050000,325.8003
211,1504.22,4107.57,211,-18267.64453125,124.4227,1055000,322.947
212,1862.68,4647.35,212,-18062.03125,138.0122,1060000,326.3322
213,1565.73,4338.78,213,-17757.4453125,169.1619,1065000,337.9669
214,2123.83,3895.34,214,-17954.701171875,139.5779,1070000,330.2881
215,1285.87,2748.0,215,-17599.041015625,188.5074,1075000,341.6778
216,997.85,3026.6,216,-17986.478515625,138.8932,1080000,324.5283
217,1126.75,2742.65,217,-17152.43359375,162.248,1085000,333.6857
218,1258.7,3108.54,218,-17421.1875,168.1475,1090000,336.7444
219,879.96,3673.68,219,-17869.208984375,156.3159,1095000,339.0769
220,1403.06,2280.78,220,-17204.140625,179.8953,1100000,353.6506
221,1342.85,1222.51,221,-15661.705078125,243.626,1105000,400.7481
222,699.16,2731.91,222,-16929.37890625,200.3017,1110000,372.4231
223,1281.42,2190.53,223,-17873.275390625,225.89,1115000,387.193
224,977.48,2000.16,224,-17023.12890625,229.3258,1120000,394.4831
225,1702.92,2693.16,225,-19056.818359375,202.882,1125000,367.9462
226,1865.08,2606.9,226,-18859.3203125,205.9761,1130000,378.7484
227,547.8,704.99,227,-18000.44921875,316.614,1135000,442.6455
228,597.13,1063.62,228,-18172.6875,321.7094,1140000,434.5526
229,960.29,2172.17,229,-19022.310546875,275.579,1145000,401.5954
230,1422.35,3509.49,230,-19303.890625,259.9822,1150000,395.0481
231,2557.18,3731.4,231,-19306.12890625,236.3975,1155000,390.0175
232,2096.68,1368.15,232,-19105.25,333.6131,1160000,432.4678
233,775.27,686.2,233,-19270.05078125,884.9113,1165000,445.1321
234,406.43,327.71,234,-18002.5625,397.1606,1170000,472.0589
235,302.17,281.48,235,-19294.44921875,501.9405,1175000,515.8377
236,161.54,187.29,236,-19096.9765625,520.2289,1180000,585.9887
237,197.13,251.09,237,-18775.466796875,431.1318,1185000,559.0379
238,193.89,193.63,238,-18218.015625,356.978,1190000,540.2662
239,298.8,260.16,239,-18576.65625,450.6759,1195000,517.6882
240,64.56,99.55,240,-18766.234375,602.2146,1200000,581.2713
241,90.87,86.06,241,-18618.34765625,488.9092,1205000,663.6684
242,110.37,115.44,242,-18650.658203125,410.9498,1210000,620.9885
243,158.83,150.63,243,-17763.45703125,458.278,1215000,526.0751
244,100.64,104.8,244,-19520.8203125,495.5796,1220000,635.5506
245,120.61,130.03,245,-19312.12890625,498.7037,1225000,633.4229
246,67.8,89.35,246,-19427.197265625,582.6481,1230000,623.4101
247,113.76,114.23,247,-19422.26953125,461.3318,1235000,490.9753
248,130.48,85.83,248,-19566.390625,519.2312,1240000,636.5018
249,118.73,93.47,249,-19618.205078125,679.9107,1245000,630.7472
250,61.75,61.51,250,-19595.810546875,764.3741,1250000,722.334
251,60.4,60.96,251,-19094.181640625,736.9905,1255000,703.3682
252,60.98,61.82,252,-19664.173828125,772.9328,1260000,712.7564
253,56.55,55.59,253,-19109.0234375,735.6194,1265000,736.6255
254,55.13,56.23,254,-19692.51171875,808.0567,1270000,734.063
255,58.68,57.34,255,-19655.392578125,798.9861,1275000,755.1558
256,55.42,57.19,256,-19636.904296875,736.7793,1280000,748.9714
257,56.49,55.96,257,-19633.7890625,732.7119,1285000,755.1479
258,54.97,55.54,258,-19684.43359375,796.9438,1290000,752.073
259,52.73,57.15,259,-19666.81640625,799.38,1295000,760.4507
260,56.58,56.32,260,-19759.1171875,806.5299,1300000,749.9483
261,57.29,59.05,261,-18885.837890625,659.8701,1305000,730.0405
262,59.85,59.34,262,-19683.87890625,656.2974,1310000,729.1169
263,59.39,59.94,263,-19455.783203125,679.004,1315000,735.7854
264,60.0,59.6,264,-19473.349609375,641.1168,1320000,738.7023
265,58.92,59.02,265,-19549.564453125,665.6183,1325000,736.3839
266,60.41,59.94,266,-18556.099609375,585.0065,1330000,722.807
267,175.86,177.02,267,-19475.814453125,526.6732,1335000,612.0222
268,249.22,289.73,268,-18836.443359375,492.0709,1340000,542.4906
269,185.69,188.86,269,-19113.490234375,496.8839,1345000,570.4368
270,158.14,157.1,270,-19730.50390625,550.2734,1350000,578.8584
271,233.99,236.02,271,-19298.130859375,503.028,1355000,526.9286
272,236.69,281.21,272,-17256.5546875,512.8264,1360000,522.7197
273,191.56,194.54,273,-19391.916015625,539.8747,1365000,633.1329
274,193.92,202.34,274,-19593.931640625,554.8419,1370000,646.0979
275,214.62,212.56,275,-18970.515625,447.6629,1375000,628.277
276,242.96,244.43,276,-19306.8125,505.7186,1380000,572.0373
277,183.77,216.96,277,-19002.61328125,459.9904,1385000,567.6521
278,195.15,198.92,278,-19117.4765625,483.2799,1390000,538.2032
279,242.66,228.73,279,-18248.55859375,486.7598,1395000,532.6155
280,168.35,192.47,280,-18417.05078125,447.8247,1400000,567.5294
281,130.46,129.69,281,-18472.47265625,432.2108,1405000,597.8391
282,57.36,57.04,282,-19596.01953125,460.6147,1410000,718.0259
283,60.88,60.03,283,-19738.646484375,478.6524,1415000,728.2633
284,57.91,58.92,284,-19462.3671875,467.82,1420000,682.0327
285,57.1,58.76,285,-19782.416015625,416.831,1425000,716.6257
286,61.57,62.65,286,-19279.970703125,524.0508,1430000,719.8489
287,61.91,62.34,287,-19789.404296875,546.9226,1435000,743.5603
288,62.07,62.37,288,-19688.01953125,445.595,1440000,714.3945
289,62.11,62.45,289,-19792.5,607.9602,1445000,707.319
290,60.07,57.24,290,-19317.50390625,626.7317,1450000,706.0868
291,62.48,61.1,291,-18365.05859375,500.6347,1455000,686.409
292,60.99,58.63,292,-19411.998046875,583.4817,1460000,722.9733
293,55.97,59.68,293,-19296.552734375,637.3266,1465000,725.5131
294,59.21,58.68,294,-18587.943359375,486.622,1470000,670.695
295,57.32,60.06,295,-16669.916015625,478.572,1475000,662.7354
296,57.98,59.23,296,-16906.435546875,509.8464,1480000,712.8003
297,58.02,61.74,297,-16468.166015625,521.8368,1485000,698.9921
298,62.67,61.82,298,-18020.189453125,513.9065,1490000,722.468
299,61.49,61.76,299,-17895.498046875,476.3229,1495000,698.6211
300,59.64,60.65,300,-17630.90625,475.9767,1500000,688.729
301,61.6,61.45,301,-16641.15234375,476.1367,1505000,693.5119
302,60.41,61.33,302,-16830.822265625,488.4404,1510000,736.4049
303,61.65,61.12,303,-17135.453125,504.7782,1515000,732.9575
304,60.25,60.56,304,-17078.609375,534.653,1520000,746.679
305,59.28,58.8,305,-17006.060546875,490.1368,1525000,721.2437
306,59.07,60.03,306,-16409.40234375,490.9919,1530000,723.6043
307,61.72,61.08,307,-18059.662109375,686.6514,1535000,729.2203
308,61.22,60.73,308,-17747.189453125,507.9483,1540000,744.2869
309,61.14,59.47,309,-17764.595703125,509.0398,1545000,719.4727
310,60.93,62.76,310,-18307.1171875,527.1561,1550000,715.7448
311,61.69,59.89,311,-18339.431640625,510.1514,1555000,709.329
312,60.46,59.98,312,-19079.994140625,574.0871,1560000,705.3631
313,60.65,58.01,313,-19877.76171875,697.6955,1565000,750.1455
314,55.94,55.27,314,-19854.259765625,670.1519,1570000,740.635
315,51.94,56.82,315,-19770.5078125,643.2415,1575000,741.4857
316,55.81,55.46,316,-19836.40625,614.8299,1580000,733.4668
317,56.47,54.98,317,-19824.314453125,589.6816,1585000,730.7485
318,54.99,55.74,318,-19849.47265625,1721.4589,1590000,751.6822
319,54.77,53.77,319,-19776.83984375,630.2664,1595000,727.8601
320,54.84,54.02,320,-19785.33203125,617.0988,1600000,751.2136
321,55.3,55.38,321,-19889.99609375,659.4941,1605000,736.3277
322,55.79,55.01,322,-19893.19921875,2230.6471,1610000,768.9371
323,56.22,55.27,323,-19788.0859375,639.4676,1615000,726.8518
324,55.59,54.51,324,-19853.447265625,674.3652,1620000,727.7089
325,54.99,54.72,325,-19877.392578125,1019.2378,1625000,747.7807
326,55.31,55.44,326,-19884.810546875,732.4514,1630000,749.8982
327,56.39,56.9,327,-19879.189453125,732.5155,1635000,746.4742
328,57.35,59.2,328,-19899.154296875,2040.3107,1640000,755.0604
329,58.54,58.1,329,-19894.20703125,2992.6724,1645000,753.8698
330,57.52,70.41,330,-19887.599609375,1856.5922,1650000,730.6167
331,57.03,55.92,331,-19872.353515625,1055.9841,1655000,728.6915
332,194.27,193.7,332,-19563.296875,691.124,1660000,557.7873
333,178.24,178.14,333,-9514.42578125,540.0949,1665000,606.1319
334,149.82,150.76,334,-18725.5625,614.2297,1670000,591.655
335,148.34,145.6,335,-13297.0390625,566.9914,1675000,616.5859
336,196.19,178.73,336,-19633.61328125,652.1016,1680000,597.3518
337,51.18,53.75,337,-19878.396484375,814.3328,1685000,735.3136
338,60.13,61.76,338,-19801.8515625,831.7289,1690000,706.424
339,70.75,68.32,339,-19827.296875,2033.1971,1695000,711.9084
340,64.35,64.24,340,-19809.21484375,1098.266,1700000,698.3236
341,72.4,69.59,341,-19739.595703125,922.2534,1705000,720.8485
342,85.31,88.95,342,-19654.853515625,1485.4639,1710000,706.2665
343,65.24,65.24,343,-19862.900390625,841.486,1715000,693.5006
344,61.31,61.62,344,-19873.69140625,1174.5873,1720000,731.5857
345,55.31,57.04,345,-19874.080078125,869.1009,1725000,723.4808
346,54.92,56.1,346,-19884.3203125,1074.3581,1730000,731.9054
347,51.93,53.27,347,-19882.068359375,997.62,1735000,733.0194
348,53.64,55.45,348,-19887.52734375,930.6607,1740000,734.6521
349,56.69,57.17,349,-19891.453125,1201.1117,1745000,735.114
350,56.89,55.78,350,-19859.6328125,864.7767,1750000,729.514
351,57.72,57.41,351,-19908.2265625,972.5217,1755000,739.2075
352,55.01,55.86,352,-19892.013671875,912.2697,1760000,734.5738
353,56.17,57.74,353,-19893.2578125,1033.2434,1765000,742.2199
354,54.87,55.31,354,-19893.75390625,947.0078,1770000,729.8861
355,56.93,56.95,355,-19907.017578125,1013.4547,1775000,732.243
356,57.29,56.78,356,-19904.92578125,1084.3009,1780000,738.4646
357,57.22,56.76,357,-19911.564453125,1074.0781,1785000,738.1343
358,57.56,63.69,358,-19912.318359375,1008.0653,1790000,735.0875
359,59.14,58.9,359,-19913.71484375,1052.0155,1795000,736.3693
360,58.1,58.58,360,-19920.0546875,1066.0635,1800000,733.2182
361,60.81,61.26,361,-19915.69921875,1310.9692,1805000,719.3146
362,91.4,89.01,362,-19927.150390625,1085.5806,1810000,740.1849
363,58.47,59.38,363,-19927.251953125,1076.0064,1815000,736.0601
364,78.04,75.19,364,-19896.720703125,1160.4618,1820000,662.4027
365,83.51,73.73,365,-19802.59765625,999.4348,1825000,659.9468
366,71.48,56.57,366,-19890.017578125,1022.9921,1830000,629.6625
367,56.29,56.78,367,-19922.0625,908.6598,1835000,726.5099
368,53.92,53.77,368,-19933.41015625,1293.8925,1840000,750.0309
369,55.16,55.19,369,-19953.1484375,1418.0913,1845000,762.2565
370,54.75,54.9,370,-19955.80859375,1415.4912,1850000,762.0541
371,54.97,55.03,371,-19957.271484375,1392.0292,1855000,766.0298
372,54.71,55.09,372,-19955.990234375,1462.554,1860000,763.4296
373,51.37,51.9,373,-19958.646484375,1405.2368,1865000,763.3496
374,53.42,53.68,374,-19959.97265625,1275.8803,1870000,762.4743
375,52.68,52.75,375,-19960.001953125,1360.6821,1875000,766.5866
376,52.92,52.78,376,-19962.1171875,1311.7891,1880000,769.6552
377,54.13,54.11,377,-19962.765625,1226.8255,1885000,766.8689
378,52.8,53.57,378,-19964.84375,1117.8274,1890000,759.0859
379,54.21,54.52,379,-19961.92578125,999.3736,1895000,759.6794
380,54.24,54.41,380,-19965.115234375,1160.4848,1900000,763.4166
381,53.78,54.06,381,-19965.38671875,1199.2817,1905000,762.363
382,53.03,54.03,382,-19965.712890625,1119.9277,1910000,765.8929
383,53.4,53.75,383,-19967.94921875,1235.9333,1915000,768.9717
384,53.38,53.76,384,-19966.7734375,1046.1828,1920000,763.5318
385,52.12,52.36,385,-19968.958984375,1189.2699,1925000,768.0612
386,51.58,57.74,386,-19905.455078125,1058.8359,1930000,747.2143
387,51.38,51.42,387,-19970.935546875,1588.4192,1935000,767.1214
388,51.98,52.23,388,-19970.54296875,4097.18,1940000,769.125
389,52.15,52.78,389,-19971.111328125,4349.3279,1945000,774.6002
390,53.47,53.8,390,-19971.11328125,4541.1376,1950000,773.1177
391,53.74,54.15,391,-19972.76953125,4582.9797,1955000,782.1753
392,56.12,56.58,392,-19968.470703125,4561.4631,1960000,796.3909
393,55.6,55.99,393,-19972.560546875,4020.2116,1965000,810.811
394,56.3,56.59,394,-19973.384765625,4696.8608,1970000,841.1058
395,55.54,55.99,395,-19971.66015625,4629.2124,1975000,835.2234
396,55.85,56.47,396,-19972.77734375,4699.3058,1980000,836.2057
397,56.92,57.73,397,-19519.607421875,2981.1053,1985000,693.2305
398,55.58,55.65,398,-19960.662109375,3885.7606,1990000,843.8217
399,54.98,56.47,399,-19970.55859375,4396.2955,1995000,851.5978
400,55.85,57.24,400,-19974.544921875,4719.0632,2000000,846.9495
401,56.62,57.59,401,-19969.921875,4705.5315,2005000,834.1445
402,57.49,57.75,402,-19973.892578125,4646.3813,2010000,818.0874
403,58.94,58.9,403,-19971.39453125,4627.5943,2015000,828.5477
