Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
82,82,2176.46,2437.82,410000,21.0382,-2234.383056640625,27.0959
83,83,1758.14,3348.13,415000,20.3841,-2441.6708984375,27.3185
84,84,1534.17,2284.18,420000,19.0825,-3066.207763671875,27.6909
85,85,2765.37,3354.1,425000,21.924,-2002.4139404296875,27.4994
86,86,1666.7,2313.85,430000,18.3998,-2765.700439453125,26.8124
87,87,2724.73,3161.25,435000,16.3591,-2382.006591796875,26.7932
88,88,1988.88,2393.28,440000,18.5689,-2364.8876953125,27.5088
89,89,2667.52,3336.41,445000,19.3522,-1959.8079833984375,28.0807
90,90,2903.7,3282.92,450000,18.0445,-2075.28662109375,27.6955
91,91,1939.88,3285.79,455000,19.7224,-2387.251708984375,27.4179
92,92,2917.2,3327.47,460000,19.7824,-1887.5478515625,27.5189
93,93,1932.18,3028.5,465000,17.8509,-2527.0302734375,27.3852
94,94,2651.91,3276.21,470000,21.0486,-1877.6788330078125,28.8185
95,95,2176.85,3389.21,475000,17.0329,-2525.747314453125,27.4906
96,96,1648.47,2872.76,480000,21.0781,-2885.1318359375,26.8707
97,97,2796.23,3318.29,485000,19.1741,-2014.8665771484375,27.8021
98,98,2094.13,3379.6,490000,15.3357,-2670.78271484375,27.1419
99,99,1287.51,1539.79,495000,17.9734,-3306.231201171875,26.4879
100,100,2494.09,3379.03,500000,17.5627,-2703.24853515625,27.0427
101,101,1920.21,3289.78,505000,15.7229,-2976.4072265625,26.8946
102,102,3102.92,3327.64,510000,22.0441,-1999.7952880859375,28.5756
103,103,2657.62,3397.58,515000,19.915,-2017.43017578125,27.8668
104,104,3168.62,3355.33,520000,21.9978,-1903.704345703125,27.8896
105,105,3194.69,3320.63,525000,21.9987,-1787.1282958984375,28.6304
106,106,3267.07,3386.58,530000,19.1104,-2084.39697265625,26.9478
107,107,2674.39,3416.69,535000,18.4068,-2362.294921875,27.3517
108,108,1936.98,2021.47,540000,16.0999,-3159.137451171875,26.6513
109,109,2582.39,3208.34,545000,16.2854,-2740.373779296875,26.7224
110,110,2913.3,3397.0,550000,17.8129,-2700.38671875,26.8908
111,111,1813.97,2063.81,555000,15.8583,-3268.216064453125,27.1548
112,112,2007.22,3407.26,560000,16.0391,-3463.8447265625,26.3755
113,113,2136.45,3384.36,565000,15.9094,-3127.85205078125,25.9755
114,114,2579.34,3414.47,570000,17.2042,-2616.916259765625,27.145
115,115,2822.08,3394.24,575000,16.409,-2766.315185546875,26.3896
116,116,2465.59,3401.66,580000,17.6373,-2860.837890625,25.7824
117,117,2627.73,3397.25,585000,17.6756,-2875.714599609375,26.864
118,118,2736.23,3405.95,590000,20.1176,-2384.539794921875,27.3096
119,119,1956.25,3426.15,595000,15.3699,-3732.077880859375,26.5076
120,120,2239.38,3406.45,600000,16.306,-3203.440673828125,26.6061
121,121,3052.2,3419.03,605000,18.456,-2701.75634765625,27.3557
122,122,2761.51,3339.52,610000,18.616,-2642.006591796875,27.1702
123,123,2358.39,3041.25,615000,16.6175,-3122.924072265625,26.8591
124,124,3155.85,3421.59,620000,19.9302,-2530.552734375,27.621
125,125,1984.33,3133.19,625000,15.046,-4075.04296875,27.7311
126,126,2444.15,3412.68,630000,17.3036,-3301.9423828125,27.2097
127,127,2890.93,3369.63,635000,18.719,-3071.765380859375,26.8353
128,128,2279.92,3403.0,640000,20.1103,-3421.6796875,27.0009
129,129,2877.84,3372.02,645000,19.0246,-2521.820068359375,27.1617
130,130,2467.62,3397.92,650000,15.6678,-3589.894287109375,26.2446
131,131,1733.12,3262.01,655000,16.6814,-3681.916259765625,27.4213
132,132,2833.28,3406.17,660000,18.6807,-3036.551025390625,27.1992
133,133,1886.18,2700.07,665000,16.2253,-4182.3310546875,26.0449
134,134,2779.2,3435.76,670000,16.8281,-3721.572265625,26.4498
135,135,2565.58,3442.81,675000,18.4862,-3273.879638671875,26.4709
136,136,1922.12,3413.46,680000,17.0109,-3707.470703125,26.0016
137,137,2846.24,3422.17,685000,15.7748,-3140.158935546875,26.2906
138,138,3018.68,3405.58,690000,20.9974,-2940.519775390625,27.7124
139,139,2191.19,2585.47,695000,16.7256,-3544.29931640625,25.7456
140,140,2216.32,3426.09,700000,15.6519,-3706.87939453125,26.6752
141,141,2827.05,3411.24,705000,18.6214,-3084.0830078125,27.2559
142,142,3275.22,3396.56,710000,22.4584,-3081.51025390625,29.5582
143,143,2551.83,3428.25,715000,17.1585,-3511.9677734375,27.2902
144,144,3290.68,3428.45,720000,20.1582,-3214.42822265625,28.1403
145,145,3118.47,3431.78,725000,18.886,-3213.68017578125,26.9669
146,146,2031.64,3314.13,730000,16.3305,-3730.05615234375,26.6052
147,147,2696.88,3427.88,735000,18.5592,-3259.498046875,27.3872
148,148,3183.59,3413.46,740000,20.8761,-3027.199462890625,27.7969
149,149,3031.74,3430.05,745000,18.0538,-3610.58349609375,28.0245
150,150,2673.23,3238.05,750000,16.0019,-3369.199462890625,26.1056
151,151,2741.98,3428.47,755000,17.2745,-3443.431640625,26.6145
152,152,2689.12,3435.63,760000,16.7894,-4070.50341796875,26.7955
153,153,2995.24,3417.65,765000,18.9068,-3412.36767578125,26.4917
154,154,2641.62,3416.13,770000,21.1548,-3428.199951171875,27.5157
155,155,2870.75,3421.73,775000,17.2517,-3683.27197265625,26.3668
156,156,3016.57,3409.98,780000,21.1312,-3396.38427734375,28.6788
157,157,2944.6,3428.59,785000,19.1997,-3512.725830078125,26.3321
158,158,2970.99,3434.13,790000,19.4703,-3266.1171875,26.0964
159,159,1854.62,3459.27,795000,15.8258,-4094.752685546875,26.3902
160,160,2713.94,3452.11,800000,20.098,-3401.4716796875,26.5971
161,161,2801.21,3453.51,805000,17.819,-3583.89306640625,25.8697
162,162,2655.71,3427.68,810000,16.537,-3919.79150390625,26.1745
163,163,3035.65,3424.96,815000,20.7324,-3562.947021484375,26.3479
164,164,2862.82,3426.12,820000,19.1461,-3588.163330078125,26.681
165,165,2924.34,3435.43,825000,19.7887,-3571.344482421875,26.0865
166,166,3007.43,3394.62,830000,22.5481,-3793.58056640625,29.4261
167,167,3132.3,3431.4,835000,19.8497,-3789.131103515625,26.6489
168,168,3080.53,3441.29,840000,21.3733,-3648.960693359375,27.4695
169,169,3277.27,3442.29,845000,20.767,-3760.37109375,27.2957
170,170,2501.28,3454.82,850000,16.4571,-3747.91650390625,25.4228
171,171,3287.38,3427.44,855000,20.4172,-3672.651611328125,26.1878
172,172,2627.96,3428.04,860000,16.0537,-4164.93701171875,25.8331
173,173,2916.63,3426.54,865000,20.2069,-3697.8701171875,26.4489
174,174,2566.67,3443.02,870000,16.4557,-4394.0087890625,26.4998
175,175,3066.59,3456.17,875000,20.0526,-3508.332763671875,26.5535
176,176,2735.52,3443.1,880000,16.0,-4055.95166015625,25.196
177,177,3284.35,3373.94,885000,20.4854,-3923.43505859375,27.2633
178,178,3293.5,3421.37,890000,19.264,-4019.939697265625,25.4705
179,179,3146.2,3467.71,895000,17.513,-4197.3388671875,25.5975
180,180,2941.09,3392.47,900000,21.0323,-4358.869140625,27.6582
181,181,3238.7,3394.7,905000,20.355,-4174.025390625,27.073
182,182,3057.83,3423.35,910000,19.5641,-4247.341796875,26.4555
183,183,2770.45,3387.71,915000,19.3614,-4402.3759765625,25.8026
184,184,2906.77,3430.45,920000,20.8654,-4829.6611328125,28.0986
185,185,3241.91,3432.55,925000,20.5575,-4279.01708984375,27.4424
186,186,2966.07,3424.22,930000,17.2544,-4918.15576171875,26.0095
187,187,2568.11,3434.29,935000,14.8513,-5008.482421875,24.8122
188,188,2824.63,3440.38,940000,16.9879,-4228.697265625,24.8796
189,189,3014.02,3408.75,945000,20.2176,-4359.02587890625,27.4592
190,190,3045.25,3447.63,950000,20.1754,-4097.40576171875,26.1716
191,191,2971.72,3431.29,955000,18.5906,-4112.041015625,25.6755
192,192,3037.48,3390.96,960000,18.1161,-3971.0302734375,24.6849
193,193,2864.27,3422.92,965000,18.6304,-4705.35400390625,25.6785
194,194,2966.52,3423.93,970000,20.4908,-4474.544921875,26.7738
195,195,3353.47,3438.46,975000,18.4293,-3795.480224609375,25.3166
196,196,3281.36,3327.06,980000,19.2762,-4518.2529296875,25.904
197,197,3195.62,3101.63,985000,16.1839,-4615.61083984375,24.6619
198,198,2801.77,3356.37,990000,18.1239,-4442.109375,24.7889
199,199,2820.0,3433.08,995000,18.4638,-4855.66064453125,25.1892
