Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
720000,2277.78,144,15.7988,-31300.150390625,156.7602,1884.09,144
725000,2268.37,145,16.0509,-31673.701171875,156.8467,1906.75,145
730000,2167.96,146,15.1974,-31828.234375,156.6354,1856.65,146
735000,2147.1,147,15.4584,-32264.369140625,156.9463,1866.61,147
740000,2253.21,148,15.5977,-32398.216796875,156.7591,1900.12,148
745000,2219.25,149,15.6581,-32727.8359375,156.8903,1881.67,149
750000,2176.77,150,15.2245,-33059.48828125,156.7098,1845.97,150
755000,2223.63,151,15.1863,-33244.453125,156.8027,1862.18,151
760000,2183.29,152,15.3427,-33438.73046875,156.6795,1855.57,152
765000,2225.79,153,15.5147,-33750.21484375,156.6869,1874.44,153
770000,2224.73,154,15.4582,-34304.3984375,156.7259,1899.76,154
775000,2216.26,155,15.3968,-34360.31640625,156.6968,1906.7,155
780000,2244.64,156,15.4023,-34816.31640625,156.7594,1881.37,156
785000,2261.89,157,15.6823,-35228.66796875,156.7578,1894.68,157
790000,2193.89,158,15.7814,-35606.31640625,156.8897,1883.25,158
795000,2188.53,159,15.7075,-35673.97265625,156.908,1871.23,159
800000,2153.36,160,14.9832,-36031.72265625,156.7284,1832.04,160
805000,2257.11,161,15.8071,-36346.03125,156.7156,1899.14,161
810000,2228.38,162,15.5953,-36639.203125,156.7517,1911.49,162
815000,2227.71,163,15.5546,-36917.02734375,156.8051,1875.35,163
820000,2238.86,164,15.4087,-37124.77734375,156.6617,1895.12,164
825000,2280.6,165,15.8653,-37672.8515625,156.9196,1899.02,165
830000,2186.28,166,15.3406,-37915.1484375,156.4846,1873.95,166
835000,2230.01,167,15.4019,-38110.5078125,156.8469,1879.85,167
840000,2236.06,168,15.5366,-38497.95703125,156.807,1869.41,168
845000,2209.46,169,15.4674,-38438.60546875,156.7267,1863.69,169
850000,2262.37,170,15.4268,-38498.765625,156.6525,1896.39,170
855000,2217.09,171,15.3476,-38599.33984375,156.5949,1883.37,171
860000,2245.31,172,15.2502,-38941.62109375,156.6641,1900.93,172
865000,2260.81,173,15.4123,-39283.8046875,156.8123,1907.69,173
870000,2255.65,174,15.3839,-39346.26171875,156.5443,1895.31,174
875000,2281.14,175,15.5943,-39926.21875,156.6655,1929.46,175
880000,2268.12,176,15.5181,-39989.50390625,156.7452,1895.29,176
885000,2215.24,177,15.5015,-40102.66015625,156.577,1920.63,177
890000,2263.83,178,15.5693,-40466.1015625,156.7842,1905.7,178
895000,2268.47,179,15.5694,-40755.52734375,156.689,1896.37,179
900000,2251.83,180,15.3201,-40697.62109375,156.5633,1910.73,180
905000,2260.39,181,15.4947,-41041.86328125,156.7316,1916.07,181
910000,2231.62,182,15.302,-41262.30078125,156.6899,1885.73,182
915000,2259.46,183,15.1032,-41281.5234375,156.6358,1897.25,183
920000,2208.53,184,15.1601,-41463.484375,156.5986,1896.04,184
925000,2195.76,185,15.3271,-41767.19140625,156.7341,1868.05,185
930000,2311.9,186,15.3558,-42175.8359375,156.6595,1923.23,186
935000,2200.36,187,15.3657,-42279.23828125,156.7539,1874.62,187
940000,2242.37,188,15.4463,-42465.62109375,156.498,1893.04,188
945000,2271.18,189,15.4502,-42818.828125,156.6747,1901.03,189
950000,2265.76,190,15.4068,-42972.34765625,156.7246,1902.18,190
955000,2239.07,191,15.4892,-43199.20703125,156.623,1904.29,191
960000,2253.12,192,15.4011,-43327.3203125,156.7069,1884.77,192
965000,2248.36,193,14.9498,-43197.96484375,156.5318,1894.06,193
970000,2278.63,194,15.5292,-43763.44921875,156.6342,1932.59,194
975000,2273.88,195,15.7334,-44112.46875,156.7678,1927.14,195
980000,2188.92,196,15.1578,-43959.47265625,156.6778,1883.98,196
985000,2252.55,197,14.9801,-44356.16015625,156.6134,1894.45,197
990000,2243.93,198,15.1862,-44578.62109375,156.6552,1895.96,198
995000,2228.6,199,15.1226,-44714.02734375,156.4954,1876.66,199
1000000,2250.52,200,15.2373,-45143.58984375,156.4755,1918.95,200
1005000,2246.11,201,15.1552,-45257.53515625,156.6364,1911.97,201
1010000,2210.76,202,15.1826,-45561.4375,156.6805,1892.05,202
1015000,2268.75,203,15.2703,-45964.59765625,156.5963,1895.22,203
1020000,2279.16,204,15.2355,-46105.546875,156.5401,1921.31,204
