Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Update Time,Running Forward KL
290000,320.06,305.48,-533.828125,58,34.6411,58,32.0786
295000,1004.96,1002.42,-507.1672668457031,59,30.6885,59,39.8128
300000,1008.81,1008.51,-526.2952880859375,60,47.4625,60,37.9522
305000,1009.15,1008.91,-531.8995361328125,61,46.0261,61,38.0108
310000,1007.74,1007.17,-543.1963500976562,62,44.196,62,39.2392
315000,1008.75,1009.01,-556.869873046875,63,53.7237,63,38.279
320000,999.82,1000.3,-566.5716552734375,64,54.7707,64,38.4168
325000,977.24,977.16,-575.078857421875,65,54.5501,65,39.2609
330000,157.33,153.43,-574.6223754882812,66,54.2948,66,39.4774
335000,1045.76,1047.3,-600.2763671875,67,38.2084,67,37.6581
340000,1004.25,1003.71,-614.2968139648438,68,54.1107,68,40.1899
345000,1017.92,1017.41,-615.2850952148438,69,32.3628,69,36.919
350000,993.79,993.88,-634.9288330078125,70,55.191,70,39.2864
355000,987.88,988.02,-650.8972778320312,71,58.3222,71,40.7858
360000,127.57,120.48,-614.0994262695312,72,80.0151,72,32.3599
365000,261.82,359.21,-700.3822021484375,73,61.3023,73,38.4347
370000,128.24,87.87,-664.651611328125,74,161.2229,74,32.2115
375000,1000.18,1000.52,-699.145751953125,75,44.9539,75,39.1131
380000,1003.64,1003.68,-714.6588134765625,76,58.5399,76,40.5269
385000,999.69,999.73,-725.303955078125,77,56.7652,77,40.8563
390000,1005.46,1005.39,-737.8388671875,78,54.5604,78,39.6844
395000,992.29,991.05,-747.93310546875,79,53.8122,79,41.0946
400000,16.31,16.14,-845.1820068359375,80,52.15,80,35.3584
405000,1011.48,1011.52,-772.7700805664062,81,49.7265,81,37.8848
410000,970.59,970.61,-777.9927368164062,82,53.633,82,40.9377
415000,986.66,986.83,-795.8209838867188,83,54.3821,83,41.2349
420000,1004.38,1004.46,-810.970947265625,84,54.5873,84,40.837
425000,989.05,978.86,-812.5913696289062,85,44.4194,85,40.4682
430000,116.69,109.71,-797.6349487304688,86,28.2066,86,33.7796
435000,363.91,380.08,-705.4014892578125,87,32.595,87,33.0914
440000,269.7,268.88,-501.03564453125,88,19.3321,88,32.0517
445000,185.91,186.93,-934.185791015625,89,161.4466,89,32.413
450000,320.91,322.47,-728.2999877929688,90,45.5174,90,31.3658
455000,364.0,367.21,-719.4169311523438,91,33.8641,91,32.6246
460000,546.26,556.11,-797.6197509765625,92,30.2293,92,32.6305
465000,1000.03,1000.1,-914.8114624023438,93,57.6748,93,37.8215
470000,992.6,992.84,-922.3732299804688,94,56.1632,94,39.0748
475000,182.24,152.74,-884.2557373046875,95,100.3979,95,33.0095
480000,399.5,404.96,-894.8833618164062,96,79.2651,96,35.0243
485000,163.17,167.48,-902.978271484375,97,43.6445,97,32.9566
490000,541.67,618.18,-858.2794189453125,98,25.0981,98,32.3439
495000,257.32,258.1,-802.6174926757812,99,16.8946,99,32.0042
500000,1060.93,1059.96,-966.5359497070312,100,33.3726,100,38.0109
505000,955.14,1053.14,-952.5685424804688,101,32.5614,101,35.1369
510000,978.67,978.41,-996.3858032226562,102,47.694,102,37.7937
515000,978.48,978.84,-1024.000732421875,103,45.3044,103,38.5325
520000,1015.66,1015.36,-1029.319580078125,104,36.3572,104,37.2086
525000,968.95,968.9,-1031.831787109375,105,53.1926,105,40.5354
530000,1001.22,1001.43,-1057.1329345703125,106,53.403,106,39.2595
535000,1013.74,1013.71,-1050.0975341796875,107,45.8314,107,37.8487
540000,379.75,461.57,-873.8243408203125,108,19.5804,108,31.0119
545000,3.27,3.28,-1149.671875,109,30.8884,109,37.924
550000,996.74,996.99,-1113.673828125,110,59.6774,110,39.498
555000,1018.68,1018.44,-1123.649169921875,111,47.9251,111,38.4094
560000,1001.69,1001.59,-1138.1998291015625,112,45.8593,112,40.3388
565000,1010.69,1010.7,-1152.9332275390625,113,61.8193,113,39.6972
570000,988.79,988.48,-1164.2069091796875,114,53.2264,114,41.4158
575000,1005.08,1005.11,-1178.007080078125,115,60.2786,115,41.1608
580000,997.54,998.25,-1183.8233642578125,116,42.4011,116,39.4551
585000,994.51,999.5,-1180.2791748046875,117,38.6278,117,39.9228
590000,972.34,972.41,-1170.6939697265625,118,51.1453,118,38.1062
595000,1067.72,1065.68,-1176.2989501953125,119,30.8431,119,37.7133
600000,1016.24,1018.2,-1227.517822265625,120,29.4539,120,36.9778
605000,1027.19,1027.29,-1235.81103515625,121,34.6387,121,39.3475
610000,1009.87,1010.17,-1266.048095703125,122,42.5803,122,38.8835
615000,118.28,113.74,-1229.61376953125,123,69.3194,123,32.2475
620000,1018.34,1018.5,-1293.2884521484375,124,52.394,124,38.0801
625000,996.57,996.79,-1306.225830078125,125,45.9462,125,40.647
630000,1008.28,1009.35,-1298.2952880859375,126,39.8665,126,38.3346
635000,1012.32,1012.69,-1319.14501953125,127,38.8339,127,38.976
640000,1032.52,1029.39,-1322.2071533203125,128,34.0347,128,39.3117
645000,904.14,940.73,-1320.748291015625,129,40.7499,129,32.573
650000,497.94,487.55,-1062.7586669921875,130,24.6357,130,33.1313
655000,80.34,83.22,-1374.4163818359375,131,53.1496,131,38.4093
660000,982.01,982.75,-1393.11181640625,132,42.6802,132,38.9426
665000,1004.53,1004.97,-1407.71728515625,133,45.4608,133,39.6569
670000,998.19,998.68,-1422.109130859375,134,52.6987,134,39.1926
675000,439.93,402.64,-1173.0474853515625,135,42.2172,135,31.5376
680000,1013.9,1013.1,-1433.01513671875,136,51.0167,136,40.5202
685000,1015.18,1016.1,-1461.885498046875,137,49.0164,137,38.8839
690000,1005.54,1005.76,-1493.576416015625,138,52.609,138,40.2573
695000,997.44,1002.32,-1468.2445068359375,139,37.1393,139,39.1541
700000,1006.61,1007.67,-1503.2509765625,140,47.4444,140,38.0875
705000,996.84,996.55,-1475.42041015625,141,51.2501,141,39.752
710000,983.31,991.98,-1544.9420166015625,142,41.228,142,40.3494
715000,143.68,143.2,-1538.9422607421875,143,72.7923,143,38.5595
720000,993.42,993.56,-1575.3328857421875,144,56.6151,144,40.3158
725000,998.61,998.71,-1591.4071044921875,145,56.0048,145,39.9975
730000,998.21,998.25,-1602.4232177734375,146,49.9927,146,39.526
735000,996.38,995.87,-1615.5911865234375,147,45.6048,147,40.2672
740000,1002.56,1002.76,-1633.7340087890625,148,48.5788,148,40.0634
745000,217.69,256.03,-1429.162353515625,149,67.3572,149,32.4909
750000,365.6,325.47,-1376.46630859375,150,54.2069,150,31.0465
755000,191.72,191.56,-1480.6495361328125,151,72.1293,151,32.9575
760000,280.48,293.79,-1533.69873046875,152,105.808,152,31.2373
765000,281.62,280.4,-1322.41162109375,153,124.3852,153,30.7652
770000,279.28,344.98,-1568.4959716796875,154,71.9619,154,26.5197
775000,326.93,440.79,-1453.1121826171875,155,95.9196,155,28.0881
780000,328.09,315.66,-1140.4095458984375,156,22.0306,156,29.0068
785000,555.79,570.78,-1343.36279296875,157,37.515,157,27.5579
790000,473.1,403.49,-1453.6885986328125,158,99.9063,158,27.6823
795000,304.57,272.56,-1482.0013427734375,159,106.3192,159,29.0453
800000,334.72,316.07,-1432.375244140625,160,73.1573,160,29.9732
805000,335.54,359.43,-698.4325561523438,161,24.6067,161,28.0711
810000,416.57,479.47,-1389.901611328125,162,60.1512,162,29.2048
815000,367.58,405.97,-1173.6297607421875,163,25.0276,163,27.4509
820000,583.41,559.48,-1319.1605224609375,164,51.0222,164,28.5266
825000,880.69,936.58,-933.4684448242188,165,36.6013,165,27.2212
830000,388.63,334.7,-1177.519287109375,166,27.7705,166,28.6553
835000,426.11,297.27,-1003.7677001953125,167,27.595,167,27.8836
840000,312.46,292.63,-876.9595336914062,168,34.7856,168,27.8899
845000,1298.19,790.29,-448.48406982421875,169,11.5504,169,23.2276
850000,662.72,495.79,-1127.556396484375,170,42.3203,170,26.4312
855000,1220.95,581.82,-851.568115234375,171,22.4678,171,24.3248
860000,467.06,432.43,-1118.9462890625,172,80.4113,172,27.3462
865000,984.19,985.24,-1660.6405029296875,173,22.6236,173,30.4184
870000,718.53,739.9,-914.9635009765625,174,20.9029,174,26.0812
875000,843.13,855.78,-945.0670166015625,175,25.645,175,26.5803
880000,945.04,860.62,-878.54052734375,176,30.2645,176,25.9073
885000,933.53,976.81,-1814.0318603515625,177,33.1728,177,30.2054
890000,1490.39,1260.25,-536.75390625,178,13.9081,178,24.7697
895000,1851.92,1684.16,-557.2577514648438,179,16.7072,179,27.8037
900000,909.11,519.64,-837.9012451171875,180,15.3552,180,28.2015
905000,819.89,509.64,-892.5333251953125,181,20.9166,181,25.7688
910000,1264.08,952.11,-666.4160766601562,182,13.652,182,25.5536
915000,1049.89,742.35,-1199.68310546875,183,53.1945,183,26.9473
920000,1830.53,1711.66,-629.8696899414062,184,15.4366,184,28.8355
925000,2361.51,2127.11,-550.9808349609375,185,14.003,185,25.5567
930000,1239.55,1109.06,-934.4329833984375,186,41.47,186,24.9858
935000,472.59,1754.3,-638.9140014648438,187,17.6779,187,29.9762
940000,1216.55,975.44,-1835.511474609375,188,27.3046,188,26.9613
945000,1785.35,1952.68,-510.84600830078125,189,14.8428,189,27.063
950000,1664.37,1846.97,-723.8016357421875,190,13.463,190,28.7146
955000,922.5,854.15,-930.95361328125,191,44.3044,191,26.156
960000,1823.16,2309.4,-428.67242431640625,192,14.7185,192,24.6653
965000,151.61,140.33,-300.0577697753906,193,15.1443,193,30.1549
970000,110.07,114.53,-2027.22998046875,194,50.8648,194,38.4964
975000,500.81,428.41,-1096.0357666015625,195,24.4693,195,30.656
980000,1041.04,1039.09,-2048.40087890625,196,30.6237,196,35.9125
985000,1011.13,1011.88,-2081.780029296875,197,43.7327,197,38.4029
990000,1052.1,1049.57,-2054.5400390625,198,25.9047,198,34.4921
995000,936.16,1016.73,-1763.296142578125,199,18.791,199,27.6035
