Running Update Time,Running Env Steps,Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Forward KL,Reward Loss
49,245000,15.0198,49,2048.54,1672.24,156.7582,-7929.19287109375
50,250000,15.1653,50,2106.07,1727.39,156.7545,-7947.94970703125
51,255000,15.0826,51,2103.84,1742.29,156.7971,-8129.8857421875
52,260000,14.9486,52,2091.09,1713.91,156.8806,-8433.1640625
53,265000,15.0514,53,2050.97,1717.76,156.9233,-8606.859375
54,270000,15.0358,54,2043.09,1708.43,156.6741,-8810.416015625
55,275000,14.8229,55,2066.34,1704.05,156.664,-8986.072265625
56,280000,15.0791,56,2099.46,1745.88,156.9168,-9052.4189453125
57,285000,15.1665,57,2149.07,1751.12,156.765,-9313.70703125
58,290000,15.133,58,2099.58,1745.19,156.9077,-9528.6181640625
59,295000,15.2889,59,2104.71,1731.23,156.8651,-9761.0693359375
60,300000,15.431,60,2116.25,1745.88,156.8942,-9944.6123046875
61,305000,14.9511,61,2049.63,1738.88,156.7735,-10143.5869140625
62,310000,15.0725,62,2087.64,1728.74,156.6459,-10245.5908203125
63,315000,15.1454,63,2047.91,1724.45,156.7517,-10524.5771484375
64,320000,15.1267,64,2142.45,1768.94,156.8104,-10598.025390625
65,325000,15.1763,65,2027.68,1728.38,156.9231,-10935.7138671875
66,330000,14.9326,66,2144.45,1758.94,156.751,-11073.8193359375
67,335000,15.2314,67,2089.85,1749.24,157.0219,-11324.2197265625
68,340000,15.2625,68,2129.39,1739.56,156.8466,-11437.623046875
69,345000,15.1116,69,2117.24,1748.77,156.7083,-11601.583984375
70,350000,14.9248,70,2054.57,1722.47,156.9337,-11918.4580078125
71,355000,14.7914,71,2080.32,1723.23,156.7044,-12114.3193359375
72,360000,15.1676,72,2091.96,1751.83,156.6939,-12264.3466796875
73,365000,15.0895,73,2067.14,1769.41,156.7381,-12428.73046875
74,370000,15.0767,74,2157.63,1767.98,156.6625,-12638.6669921875
75,375000,15.146,75,2150.5,1775.51,156.6759,-12789.5751953125
76,380000,15.0729,76,2143.65,1734.87,156.7982,-13086.4150390625
77,385000,15.0674,77,2097.25,1776.48,156.7318,-13249.2060546875
78,390000,15.0839,78,2161.21,1780.86,156.6208,-13431.0
79,395000,15.0068,79,2179.58,1793.58,156.7992,-13679.6220703125
80,400000,15.1477,80,2191.44,1782.08,156.6526,-13867.5986328125
81,405000,15.2195,81,2191.66,1811.38,156.8874,-14150.8310546875
82,410000,15.2813,82,2207.0,1776.19,156.6295,-14196.779296875
83,415000,15.2862,83,2191.31,1778.77,156.7614,-14523.181640625
84,420000,15.2184,84,2047.04,1743.24,156.8344,-14806.6181640625
85,425000,15.1922,85,2182.65,1767.32,157.0204,-15036.3271484375
86,430000,15.1298,86,2172.29,1781.31,156.7124,-15120.2958984375
87,435000,15.0019,87,2201.97,1785.64,156.7337,-15293.7314453125
88,440000,15.1441,88,2158.12,1790.15,156.7466,-15672.90625
89,445000,14.8016,89,2144.5,1755.44,156.7212,-15818.4951171875
90,450000,15.0512,90,2161.64,1786.26,156.789,-16028.8193359375
91,455000,15.1607,91,2159.47,1813.31,156.6771,-16287.7041015625
92,460000,15.0572,92,2110.36,1768.37,156.8386,-16553.775390625
93,465000,15.2871,93,2210.98,1822.02,156.6944,-16616.849609375
94,470000,15.2201,94,2158.02,1807.81,156.6664,-16834.69140625
95,475000,15.2786,95,2228.61,1819.64,156.8685,-17076.08203125
96,480000,15.1912,96,2148.8,1793.69,156.7861,-17319.833984375
97,485000,15.347,97,2181.39,1848.24,156.617,-17610.279296875
98,490000,15.0508,98,2136.32,1787.85,156.8043,-17890.14453125
99,495000,14.5325,99,1748.52,1678.3,156.8776,-18623.396484375
100,500000,13.5398,100,-111.42,201.2,157.0198,-19934.490234375
101,505000,13.0948,101,118.03,896.19,156.8373,-19585.9296875
102,510000,15.0219,102,2140.37,1750.97,156.7932,-18802.22265625
103,515000,16.1237,103,-144.93,-58.54,157.3419,-21427.02734375
104,520000,14.7263,104,863.91,1376.29,156.7612,-19547.162109375
105,525000,14.8686,105,-171.32,1763.71,156.6385,-19494.33203125
106,530000,15.1857,106,2053.05,1803.91,156.8568,-19758.447265625
107,535000,14.9195,107,1895.29,1809.84,156.6498,-19843.306640625
108,540000,15.1801,108,750.82,1779.71,156.8047,-20418.08984375
109,545000,15.4033,109,2155.74,1793.69,156.7138,-20377.654296875
110,550000,15.0525,110,2111.51,1765.68,156.8661,-20638.693359375
111,555000,14.7336,111,-264.19,1659.9,156.7831,-21101.08203125
112,560000,14.7827,112,1606.5,1660.6,156.7829,-21006.23828125
113,565000,14.7945,113,2159.92,1792.86,156.5939,-21364.748046875
114,570000,15.1835,114,2177.56,1817.09,156.7778,-21568.25
115,575000,14.96,115,1541.95,1795.06,156.6842,-21852.177734375
116,580000,14.8159,116,2186.04,1808.91,156.8519,-22094.80078125
117,585000,14.6092,117,727.87,1764.93,156.5426,-22342.6875
118,590000,14.9567,118,2224.41,1814.8,156.8026,-22562.95703125
119,595000,14.8309,119,2178.35,1781.21,156.8183,-22882.501953125
120,600000,14.986,120,2226.02,1825.89,156.6368,-23054.14453125
121,605000,15.0349,121,2227.97,1816.84,156.7872,-23425.08203125
122,610000,15.1448,122,2233.85,1832.64,156.637,-23513.890625
123,615000,14.7636,123,2185.98,1809.6,156.6007,-23895.216796875
124,620000,14.8509,124,2237.89,1836.92,156.5878,-23867.87890625
125,625000,15.0005,125,2215.59,1844.15,156.7936,-24087.888671875
126,630000,15.2932,126,2236.61,1873.73,156.7709,-24514.615234375
127,635000,15.1448,127,2213.87,1849.69,156.6473,-24919.4140625
128,640000,15.0347,128,2195.19,1847.54,156.6164,-25155.978515625
129,645000,14.8521,129,2207.68,1831.91,156.7128,-25353.654296875
130,650000,15.2216,130,2253.7,1876.01,156.7087,-25462.71875
131,655000,14.9629,131,2214.48,1825.53,156.8004,-25936.908203125
132,660000,14.7828,132,2251.09,1866.98,156.6303,-26176.87109375
133,665000,14.9656,133,2238.52,1851.57,156.7701,-26530.62890625
134,670000,15.2964,134,2269.23,1862.64,156.6951,-26767.654296875
135,675000,15.0342,135,2224.69,1843.91,156.7469,-26865.73828125
136,680000,14.9612,136,2234.72,1857.69,156.7058,-27318.576171875
137,685000,15.1466,137,2243.77,1861.14,156.7982,-27520.830078125
138,690000,14.9412,138,2226.49,1847.95,156.5604,-27810.810546875
139,695000,15.093,139,2242.79,1871.86,156.6168,-28078.720703125
140,700000,14.6556,140,2207.55,1866.45,156.4907,-28235.078125
141,705000,14.9602,141,2269.86,1850.36,156.6323,-28738.09375
142,710000,14.7544,142,2187.69,1835.53,156.5163,-28633.642578125
143,715000,15.0559,143,2244.54,1882.94,156.5541,-28963.568359375
144,720000,15.2232,144,2266.31,1854.31,156.5631,-29352.33203125
145,725000,15.0625,145,2225.98,1845.61,156.6848,-29557.98046875
146,730000,14.8729,146,2193.35,1852.19,156.7194,-29817.96484375
147,735000,15.0587,147,2257.35,1885.88,156.6079,-30052.5703125
148,740000,15.1966,148,2284.45,1892.89,156.5576,-30313.01953125
149,745000,14.9933,149,2264.44,1868.12,156.498,-30324.08984375
150,750000,15.0446,150,2262.91,1855.64,156.8525,-30574.732421875
151,755000,14.8986,151,2266.76,1868.22,156.5885,-30497.369140625
152,760000,14.9757,152,2270.34,1900.71,156.7716,-31085.9140625
153,765000,14.9152,153,2228.02,1853.06,156.6225,-31505.138671875
154,770000,15.0975,154,2263.17,1882.89,156.7517,-31629.4375
155,775000,14.7186,155,2232.18,1866.3,156.47,-31617.462890625
156,780000,14.7842,156,2226.53,1833.66,156.6009,-31896.080078125
157,785000,14.8417,157,2216.16,1864.65,156.45,-32049.599609375
158,790000,15.0781,158,2281.33,1873.78,156.5385,-32374.525390625
159,795000,14.9916,159,2255.76,1862.38,156.6872,-32454.380859375
160,800000,15.0223,160,2249.15,1882.31,156.7627,-33056.078125
161,805000,14.9557,161,2226.07,1848.4,156.6708,-33284.46875
162,810000,15.1206,162,2288.66,1905.44,156.6617,-33223.7421875
163,815000,14.844,163,2212.78,1835.82,156.8337,-33713.40625
164,820000,14.7102,164,2250.32,1857.45,156.5522,-33595.38671875
165,825000,14.9759,165,2271.48,1890.16,156.6349,-34092.5234375
166,830000,15.1227,166,2257.21,1897.87,156.7168,-34146.48828125
167,835000,15.2009,167,2255.16,1878.0,156.7415,-34638.8125
168,840000,15.0948,168,2236.78,1898.73,156.5869,-34572.40625
169,845000,15.1592,169,2269.4,1892.34,156.7637,-34835.6484375
170,850000,14.7823,170,2277.11,1885.25,156.4878,-34913.62109375
171,855000,14.8069,171,2251.02,1893.4,156.5078,-34943.21484375
172,860000,14.8527,172,2242.54,1877.77,156.4241,-35595.3515625
173,865000,14.8504,173,2289.92,1895.16,156.5739,-35749.86328125
174,870000,14.834,174,2251.82,1894.55,156.6217,-36047.09375
175,875000,14.9619,175,2272.48,1900.55,156.5597,-36279.20703125
176,880000,14.9597,176,2267.99,1897.7,156.612,-36307.8671875
177,885000,14.9425,177,2264.22,1877.14,156.5258,-36780.50390625
178,890000,14.8995,178,2274.28,1894.62,156.6935,-36730.484375
179,895000,15.1019,179,2293.34,1893.03,156.7519,-36829.4375
180,900000,14.923,180,2230.44,1879.62,156.5863,-37305.9921875
181,905000,14.8063,181,2197.38,1865.9,156.5492,-37470.52734375
182,910000,15.1565,182,2288.96,1925.37,156.6103,-37369.875
183,915000,14.663,183,2282.22,1889.16,156.5074,-37483.0703125
184,920000,14.9558,184,2248.71,1882.82,156.4626,-37935.0703125
185,925000,14.8636,185,2272.53,1912.66,156.5066,-37806.2578125
186,930000,14.6365,186,2255.88,1889.58,156.5143,-38132.9453125
187,935000,15.0248,187,2280.01,1922.69,156.5636,-38160.73046875
188,940000,14.9235,188,2283.65,1896.15,156.4727,-38292.53515625
189,945000,14.8769,189,2294.55,1924.55,156.5717,-38159.83203125
190,950000,14.6138,190,2257.07,1883.08,156.7139,-38762.265625
191,955000,14.6544,191,2218.53,1866.98,156.7194,-38970.546875
192,960000,14.9129,192,2248.92,1890.73,156.5341,-38995.671875
193,965000,14.7861,193,2272.52,1868.32,156.6598,-39048.234375
194,970000,14.9812,194,2243.73,1886.34,156.5757,-39195.86328125
195,975000,14.8929,195,2197.26,1891.44,156.6699,-39469.1796875
196,980000,14.794,196,2259.67,1894.24,156.5982,-39520.97265625
197,985000,14.8612,197,2260.94,1891.81,156.8267,-39776.234375
198,990000,14.7984,198,2257.19,1907.48,156.4786,-39603.11328125
199,995000,15.143,199,2301.04,1923.99,156.7279,-40124.68359375
200,1000000,14.9042,200,2258.31,1914.0,156.6255,-40077.58984375
201,1005000,14.8652,201,2264.05,1899.22,156.5855,-40073.87890625
202,1010000,14.9204,202,2284.45,1911.95,156.6675,-40346.484375
203,1015000,14.8303,203,2285.9,1911.85,156.628,-40431.953125
204,1020000,14.8517,204,2285.52,1923.97,156.595,-40474.90234375
205,1025000,14.9662,205,2278.51,1911.58,156.6684,-40797.109375
206,1030000,14.896,206,2259.16,1901.8,156.6473,-40785.46484375
207,1035000,14.8328,207,2271.74,1922.45,156.6182,-41086.25390625
208,1040000,14.8759,208,2267.12,1907.08,156.5136,-41061.00390625
209,1045000,14.8764,209,2269.16,1895.89,156.5679,-41270.10546875
210,1050000,14.8964,210,2274.38,1916.41,156.5997,-41295.890625
211,1055000,14.6479,211,2274.63,1919.2,156.4396,-41430.5859375
212,1060000,14.6766,212,2272.85,1908.08,156.4955,-41676.05859375
213,1065000,14.756,213,2273.21,1892.34,156.6007,-41667.46484375
214,1070000,14.7842,214,2268.47,1900.05,156.4667,-41809.48828125
215,1075000,14.722,215,2287.34,1911.84,156.4231,-41920.11328125
216,1080000,14.7,216,2276.01,1900.88,156.4929,-42225.4921875
217,1085000,14.7278,217,2266.29,1918.36,156.5505,-42284.62109375
218,1090000,14.7737,218,2280.53,1911.31,156.6044,-42570.3828125
219,1095000,14.8172,219,2291.49,1911.98,156.5974,-42475.859375
220,1100000,14.6929,220,2261.48,1894.83,156.4946,-42627.7421875
221,1105000,14.7266,221,2278.74,1906.67,156.5926,-42677.5703125
222,1110000,14.7707,222,2284.4,1924.62,156.6614,-43079.61328125
223,1115000,14.8125,223,2281.01,1905.15,156.5127,-43097.890625
224,1120000,14.7509,224,2303.11,1902.65,156.631,-43277.375
225,1125000,14.7948,225,2296.51,1921.56,156.6085,-43441.18359375
226,1130000,14.6938,226,2298.13,1917.23,156.6781,-43493.03125
227,1135000,14.8775,227,2281.1,1894.4,156.5744,-43716.49609375
228,1140000,14.7432,228,2280.33,1886.53,156.6789,-43805.33984375
229,1145000,14.7401,229,2277.47,1911.03,156.5756,-43889.13671875
230,1150000,14.81,230,2285.0,1901.84,156.556,-44227.125
231,1155000,14.8696,231,2287.62,1898.33,156.5712,-44321.30859375
232,1160000,14.8024,232,2260.07,1869.5,156.4918,-44532.96875
233,1165000,14.6808,233,2279.7,1901.45,156.6361,-44392.87109375
234,1170000,14.874,234,2289.53,1910.26,156.5503,-44700.96484375
235,1175000,14.7345,235,2291.05,1903.95,156.4794,-44840.48046875
236,1180000,14.8607,236,2280.67,1903.68,156.5874,-44952.7265625
237,1185000,14.9086,237,2275.84,1893.54,156.5254,-45137.40625
238,1190000,14.6055,238,2263.35,1869.16,156.6246,-45186.98046875
239,1195000,14.7507,239,2277.32,1890.76,156.5369,-45102.9453125
240,1200000,14.791,240,2246.3,1882.35,156.6918,-45436.24609375
241,1205000,14.8112,241,2280.8,1906.71,156.6695,-45595.09375
242,1210000,14.7471,242,2263.87,1892.6,156.5211,-45711.140625
243,1215000,14.8266,243,2290.97,1927.23,156.3771,-45814.828125
244,1220000,14.9155,244,2262.99,1894.69,156.6661,-45952.67578125
245,1225000,14.8337,245,2283.29,1894.55,156.5574,-46122.14453125
246,1230000,14.8817,246,2273.58,1888.82,156.6967,-46282.4453125
247,1235000,14.9992,247,2275.87,1894.18,156.5306,-46421.46875
248,1240000,14.9468,248,2268.15,1916.14,156.704,-46611.81640625
249,1245000,14.8979,249,2279.47,1890.37,156.658,-46681.23828125
250,1250000,14.8414,250,2265.23,1885.7,156.6145,-46671.12109375
251,1255000,14.9539,251,2292.77,1930.59,156.6178,-46835.37890625
252,1260000,14.7762,252,2258.37,1908.55,156.4965,-47034.3515625
253,1265000,14.6868,253,2262.22,1894.9,156.3356,-47008.234375
254,1270000,14.7808,254,2274.72,1916.65,156.4636,-47239.953125
255,1275000,14.7101,255,2247.83,1882.88,156.5728,-47343.48046875
256,1280000,14.8653,256,2277.16,1920.46,156.5272,-47442.5546875
257,1285000,14.7139,257,2261.92,1909.31,156.5769,-47661.92578125
258,1290000,14.7239,258,2257.74,1914.95,156.5126,-47683.5546875
259,1295000,14.8072,259,2277.5,1908.48,156.5865,-47872.7109375
260,1300000,14.9002,260,2286.0,1910.04,156.5537,-47956.70703125
261,1305000,14.7848,261,2285.34,1924.39,156.4504,-48042.81640625
262,1310000,14.8284,262,2281.02,1910.32,156.509,-48166.87890625
263,1315000,14.7366,263,2275.62,1916.29,156.4984,-48181.47265625
264,1320000,14.5847,264,2282.42,1910.56,156.5798,-48359.68359375
265,1325000,14.8939,265,2263.05,1900.6,156.5118,-48681.87109375
266,1330000,14.8457,266,2284.47,1898.59,156.4581,-48667.55078125
267,1335000,14.7997,267,2271.37,1912.64,156.6126,-48914.9375
268,1340000,14.8171,268,2295.5,1902.07,156.5432,-48836.09375
269,1345000,14.787,269,2290.02,1889.37,156.422,-48972.55078125
270,1350000,14.8213,270,2266.91,1912.43,156.5793,-49088.34375
271,1355000,14.7611,271,2269.75,1922.27,156.6416,-49178.3984375
272,1360000,14.9445,272,2277.57,1905.37,156.6686,-49291.7421875
273,1365000,14.8646,273,2298.88,1927.89,156.5481,-49516.23828125
274,1370000,14.8318,274,2286.96,1934.65,156.4389,-49500.30078125
275,1375000,14.779,275,2286.41,1899.05,156.6288,-49578.296875
276,1380000,14.839,276,2287.62,1909.55,156.7508,-49852.68359375
277,1385000,14.6228,277,2274.46,1906.13,156.5849,-49788.046875
278,1390000,14.7797,278,2282.68,1890.63,156.5689,-49845.5
279,1395000,14.7015,279,2282.74,1922.2,156.6881,-50021.61328125
280,1400000,14.7395,280,2258.08,1900.55,156.5549,-50064.984375
281,1405000,14.7051,281,2287.42,1902.32,156.4373,-50178.296875
282,1410000,14.8118,282,2284.85,1913.53,156.6301,-50353.56640625
283,1415000,14.7557,283,2271.98,1900.41,156.6613,-50386.00390625
284,1420000,14.7559,284,2279.62,1905.01,156.5399,-50558.578125
285,1425000,14.7641,285,2267.2,1892.4,156.6223,-50600.48046875
286,1430000,14.7415,286,2262.16,1884.77,156.5735,-50826.50390625
287,1435000,14.6522,287,2268.72,1917.34,156.4807,-50970.77734375
288,1440000,14.5984,288,2281.68,1901.74,156.5041,-51045.85546875
289,1445000,14.6223,289,2258.41,1895.73,156.4887,-51037.7265625
290,1450000,14.7872,290,2273.42,1905.79,156.6085,-51124.8359375
291,1455000,14.7749,291,2285.25,1930.9,156.5932,-51249.8984375
292,1460000,14.7139,292,2245.53,1887.99,156.6325,-51312.38671875
293,1465000,14.6075,293,2276.97,1884.74,156.6335,-51539.94140625
294,1470000,14.6317,294,2278.42,1910.78,156.5828,-51587.453125
295,1475000,14.6038,295,2270.7,1888.84,156.7022,-51669.4140625
296,1480000,14.7263,296,2261.49,1873.81,156.59,-51789.953125
297,1485000,14.627,297,2291.39,1915.31,156.5318,-51805.60546875
298,1490000,14.7672,298,2285.13,1897.98,156.5519,-51968.37890625
299,1495000,14.6932,299,2277.37,1900.72,156.6067,-51933.98046875
300,1500000,14.7449,300,2286.54,1896.12,156.5279,-52128.375
301,1505000,14.6467,301,2269.78,1898.49,156.5478,-52131.67578125
302,1510000,14.6214,302,2285.44,1900.0,156.479,-52135.609375
303,1515000,14.7823,303,2294.18,1900.07,156.433,-52393.5625
304,1520000,14.5987,304,2272.26,1892.81,156.5318,-52397.16796875
305,1525000,14.6231,305,2276.97,1918.79,156.6608,-52504.9375
306,1530000,14.6962,306,2279.88,1891.86,156.5119,-52443.203125
307,1535000,14.6567,307,2292.12,1913.43,156.5159,-52810.3671875
308,1540000,14.6466,308,2282.26,1912.68,156.6327,-52892.37890625
309,1545000,14.647,309,2273.35,1914.86,156.4439,-52847.04296875
310,1550000,14.7098,310,2282.69,1905.88,156.5398,-52980.9453125
311,1555000,14.8623,311,2281.4,1924.65,156.625,-53069.453125
312,1560000,14.7432,312,2302.3,1913.25,156.575,-53195.03515625
313,1565000,14.6022,313,2283.51,1886.03,156.6125,-53292.24609375
314,1570000,14.7208,314,2276.97,1907.2,156.5808,-53220.5078125
315,1575000,14.7236,315,2296.35,1922.96,156.5482,-53387.1640625
316,1580000,14.776,316,2316.56,1914.83,156.4302,-53395.203125
317,1585000,14.7566,317,2285.88,1910.82,156.5873,-53643.6796875
318,1590000,14.9318,318,2284.87,1906.17,156.6407,-53705.6171875
319,1595000,14.6163,319,2314.36,1924.2,156.4658,-53741.703125
320,1600000,14.6952,320,2302.11,1917.47,156.6491,-53925.02734375
321,1605000,14.7673,321,2307.53,1924.01,156.5598,-53816.25390625
322,1610000,14.6401,322,2301.79,1929.14,156.4842,-53964.1328125
323,1615000,14.7606,323,2283.87,1909.97,156.6187,-54146.6796875
324,1620000,14.8176,324,2299.44,1926.02,156.5019,-54163.546875
325,1625000,14.5527,325,2298.62,1928.91,156.5086,-54213.74609375
326,1630000,14.7368,326,2296.57,1923.07,156.6373,-54180.078125
327,1635000,14.6528,327,2296.44,1936.57,156.6577,-54318.8984375
328,1640000,14.6384,328,2289.89,1917.09,156.5348,-54447.6484375
329,1645000,14.6741,329,2294.77,1924.29,156.5715,-54353.18359375
330,1650000,14.6533,330,2302.1,1918.32,156.5264,-54759.4765625
331,1655000,14.5332,331,2289.42,1934.37,156.5615,-54603.72265625
332,1660000,14.5619,332,2266.38,1912.98,156.4801,-54797.49609375
333,1665000,14.601,333,2267.8,1930.33,156.3698,-54798.74609375
334,1670000,14.6309,334,2283.97,1928.81,156.5725,-54894.55078125
335,1675000,14.583,335,2258.83,1906.08,156.5251,-55027.55859375
336,1680000,14.5511,336,2292.47,1913.53,156.5438,-55119.484375
337,1685000,14.4533,337,2277.22,1913.58,156.6192,-55146.30859375
338,1690000,14.5836,338,2295.05,1938.84,156.4602,-55449.95703125
339,1695000,14.5467,339,2285.06,1903.34,156.4599,-55344.390625
340,1700000,14.5718,340,2271.37,1922.01,156.5978,-55420.7578125
341,1705000,14.598,341,2265.75,1913.49,156.4449,-55366.17578125
342,1710000,14.6192,342,2268.18,1910.47,156.4857,-55460.25390625
343,1715000,14.621,343,2262.04,1907.16,156.5841,-55650.6953125
344,1720000,14.6096,344,2258.4,1904.13,156.6264,-55747.8984375
345,1725000,14.823,345,2282.21,1921.33,156.5584,-55810.4375
346,1730000,14.4945,346,2273.27,1909.2,156.4504,-55834.765625
347,1735000,14.5863,347,2294.03,1927.46,156.5938,-55979.37109375
348,1740000,14.607,348,2282.47,1917.38,156.4987,-56100.171875
349,1745000,14.6492,349,2284.66,1932.2,156.3231,-56156.84765625
350,1750000,14.4315,350,2276.6,1910.09,156.5455,-56230.828125
351,1755000,14.4096,351,2298.58,1923.25,156.5241,-56473.0078125
352,1760000,14.4683,352,2305.1,1922.45,156.3963,-56538.05859375
353,1765000,14.5157,353,2295.19,1936.81,156.543,-56609.09375
354,1770000,14.4824,354,2279.5,1910.15,156.4516,-56496.40234375
355,1775000,14.5147,355,2280.62,1908.03,156.4447,-56647.2734375
356,1780000,14.5239,356,2279.74,1917.5,156.4646,-56619.90234375
357,1785000,14.4628,357,2291.29,1921.88,156.4323,-56731.734375
358,1790000,14.4071,358,2293.26,1930.3,156.536,-56962.28125
359,1795000,14.3964,359,2308.53,1928.37,156.5258,-56810.66015625
360,1800000,14.5156,360,2288.55,1917.0,156.544,-57074.59765625
361,1805000,14.6411,361,2305.94,1930.07,156.4157,-57208.53515625
362,1810000,14.6245,362,2290.83,1946.12,156.5053,-57267.0078125
363,1815000,14.627,363,2300.51,1923.33,156.5952,-57370.85546875
364,1820000,14.5265,364,2308.49,1931.13,156.566,-57435.7109375
365,1825000,14.3757,365,2310.23,1923.44,156.5345,-57588.84765625
366,1830000,14.4208,366,2303.06,1920.49,156.4091,-57691.23828125
367,1835000,14.5334,367,2285.1,1911.78,156.6092,-57788.1796875
368,1840000,14.412,368,2290.21,1920.02,156.347,-57794.33203125
369,1845000,14.4998,369,2268.34,1903.33,156.5417,-57765.8046875
370,1850000,14.5111,370,2283.37,1886.63,156.4369,-57765.15234375
371,1855000,14.5765,371,2294.8,1922.23,156.4961,-58191.84765625
372,1860000,14.4452,372,2297.8,1917.7,156.5749,-58217.3125
373,1865000,14.5277,373,2321.84,1934.5,156.4891,-58521.33984375
374,1870000,14.4918,374,2285.53,1913.7,156.5326,-58394.72265625
375,1875000,14.3662,375,2274.58,1897.35,156.4511,-58297.453125
376,1880000,14.5302,376,2305.89,1933.17,156.5784,-58498.38671875
377,1885000,14.4067,377,2306.24,1928.67,156.4323,-58344.9921875
378,1890000,14.5006,378,2297.35,1929.21,156.505,-58651.89453125
379,1895000,14.5576,379,2300.56,1913.09,156.4488,-58701.70703125
380,1900000,14.4413,380,2289.58,1929.87,156.5948,-58800.48828125
381,1905000,14.5486,381,2292.66,1922.1,156.4589,-58958.2890625
382,1910000,14.566,382,2313.86,1943.87,156.6676,-59080.11328125
383,1915000,14.6793,383,2312.66,1947.1,156.4987,-59146.984375
384,1920000,14.5266,384,2297.18,1930.04,156.4778,-59255.46484375
385,1925000,14.4591,385,2316.42,1938.35,156.4832,-59336.8203125
386,1930000,14.7209,386,2324.21,1956.87,156.559,-59557.1953125
387,1935000,14.6536,387,2322.05,1942.5,156.3776,-59528.4140625
388,1940000,14.7759,388,2316.36,1954.13,156.5434,-59546.578125
389,1945000,14.6922,389,2311.92,1957.78,156.4113,-59790.85546875
390,1950000,14.5538,390,2324.65,1950.14,156.6998,-59881.60546875
391,1955000,14.6253,391,2304.87,1936.86,156.4615,-59946.51953125
392,1960000,14.6142,392,2326.36,1957.96,156.521,-60030.46484375
393,1965000,14.6154,393,2322.16,1947.32,156.5467,-60116.36328125
