Running Env Steps,Itration,Running Update Time,Running Forward KL,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
365000,73,73,23.6238,1743.3,-843.83251953125,2181.38,14.9505
370000,74,74,23.2763,2767.62,-904.7671508789062,2099.13,12.838
375000,75,75,24.4558,1389.61,-1563.2618408203125,1442.31,24.3494
380000,76,76,23.9055,2324.23,-1186.17578125,1388.33,15.0024
385000,77,77,24.9337,1232.15,-1661.82861328125,1715.79,27.7681
390000,78,78,23.1262,2118.07,-1157.4498291015625,1913.89,15.5876
395000,79,79,22.5275,3255.09,-709.9568481445312,2500.8,16.515
400000,80,80,22.7345,3224.19,-609.3142700195312,3206.41,15.8146
405000,81,81,23.1215,2625.28,-1092.3782958984375,1510.05,13.0525
410000,82,82,22.4948,3206.89,-642.6973266601562,2663.4,15.7546
415000,83,83,21.9721,3240.55,-722.9325561523438,2698.42,14.0286
420000,84,84,22.166,3236.59,-896.8008422851562,2912.32,13.8275
425000,85,85,24.0896,3152.52,-1178.1038818359375,2017.07,13.5551
430000,86,86,23.7397,3228.81,-1351.282470703125,2091.49,17.523
435000,87,87,22.9313,3228.53,-833.483154296875,3050.79,15.2324
440000,88,88,23.3503,3265.36,-1497.14306640625,2810.65,18.9249
445000,89,89,21.7815,3233.83,-858.986572265625,2568.06,14.1013
450000,90,90,23.5415,2476.95,-1451.6461181640625,2267.63,16.7769
455000,91,91,22.581,3215.83,-805.2828979492188,3031.42,15.3482
460000,92,92,23.1658,1858.84,-1181.4251708984375,2145.22,14.9688
465000,93,93,22.1362,3240.37,-986.46923828125,2091.54,14.5846
470000,94,94,23.0125,3252.2,-1235.7296142578125,2869.91,14.1439
475000,95,95,23.2499,2739.57,-1565.380859375,2632.49,22.668
480000,96,96,23.9802,1445.77,-1862.003662109375,1191.75,18.5542
485000,97,97,23.9868,3267.24,-1977.568603515625,1666.0,20.5442
490000,98,98,21.9395,3248.72,-885.744384765625,3085.11,14.4954
495000,99,99,22.9543,1579.65,-1479.198974609375,1775.92,14.7141
500000,100,100,23.9375,1196.64,-1619.185302734375,1460.24,13.5051
505000,101,101,22.1488,2359.99,-1334.264892578125,2797.6,17.0715
510000,102,102,21.5387,3250.79,-874.7394409179688,3105.13,14.7073
515000,103,103,22.3328,3253.38,-808.8509521484375,3068.46,16.0994
520000,104,104,22.2475,3274.57,-853.2568969726562,3236.94,15.7915
525000,105,105,23.4752,2954.98,-1425.7171630859375,2398.89,14.1246
530000,106,106,22.812,3247.79,-1085.945068359375,3079.29,14.0073
535000,107,107,21.4834,3266.17,-857.46533203125,2849.58,14.6946
540000,108,108,22.5289,3373.9,-1217.31103515625,2291.37,12.7814
545000,109,109,21.7877,3474.67,-1047.3402099609375,2440.2,13.979
550000,110,110,22.7498,3273.65,-1514.623046875,2654.82,15.9465
555000,111,111,23.4793,1606.72,-1963.2467041015625,2232.48,14.9483
560000,112,112,22.093,3240.35,-1004.5036010742188,3153.87,16.9839
565000,113,113,23.4074,1388.68,-1825.4739990234375,2021.56,14.537
570000,114,114,21.8222,3284.67,-1252.3787841796875,2892.31,13.4621
575000,115,115,21.2218,3209.12,-956.052001953125,3055.65,13.7513
580000,116,116,22.2186,3455.94,-1325.1993408203125,2721.24,14.1034
585000,117,117,24.2128,1162.88,-2308.407470703125,1317.14,14.6548
590000,118,118,22.2924,3281.92,-1303.116455078125,3007.26,14.1281
595000,119,119,22.1681,3324.73,-1119.697265625,3084.58,14.7527
600000,120,120,22.9718,3268.33,-1285.16943359375,2735.32,15.7312
605000,121,121,22.9582,3272.57,-1908.8592529296875,2709.62,14.0982
610000,122,122,22.634,2854.29,-1960.1031494140625,2175.99,16.388
615000,123,123,23.2236,1588.6,-1750.099609375,1975.29,15.0968
620000,124,124,22.4836,3259.74,-1419.3927001953125,2821.25,14.3182
625000,125,125,22.5036,1389.66,-1558.2535400390625,2047.66,14.5201
630000,126,126,23.5482,1950.36,-1999.2869873046875,2066.87,15.1765
635000,127,127,21.9228,3246.33,-1343.0450439453125,3086.56,14.1502
640000,128,128,22.8411,3300.67,-1517.221923828125,2872.95,15.2043
645000,129,129,22.1379,3259.72,-1508.429443359375,2549.1,14.1776
650000,130,130,23.1291,3318.19,-1928.76123046875,3023.66,21.644
655000,131,131,25.1038,2037.2,-2600.305908203125,1765.46,20.4938
660000,132,132,22.7056,3292.26,-2007.62646484375,2817.97,17.2618
665000,133,133,22.6468,3313.69,-1392.1478271484375,2982.68,14.8105
670000,134,134,22.8815,3304.04,-1900.3975830078125,2626.17,14.1562
675000,135,135,22.4282,3311.31,-1354.915283203125,3090.88,15.0841
680000,136,136,23.6931,1865.23,-2296.72021484375,1948.82,17.2574
685000,137,137,22.2154,3294.77,-2283.127685546875,2810.44,21.5311
690000,138,138,21.3401,3294.24,-1165.6268310546875,3207.17,14.2721
695000,139,139,22.2393,3347.1,-1882.897216796875,2753.61,16.7029
700000,140,140,21.8254,3298.22,-1573.508544921875,2789.75,14.7156
705000,141,141,21.7379,3280.71,-1424.5374755859375,3287.78,14.146
710000,142,142,23.0209,3306.93,-1283.05029296875,3308.26,15.5694
715000,143,143,22.5402,3317.99,-2069.08251953125,2955.88,16.8968
720000,144,144,22.7741,3348.41,-1354.4215087890625,3278.73,14.8025
725000,145,145,22.6339,3297.38,-1653.3594970703125,2950.25,16.8022
730000,146,146,23.6308,3555.69,-2482.0126953125,2069.97,18.9508
735000,147,147,22.1255,3314.48,-1533.9622802734375,3111.5,14.7629
740000,148,148,22.0556,3256.28,-1716.086181640625,2337.62,13.9706
745000,149,149,21.7956,3305.91,-1971.5009765625,2669.62,13.7137
750000,150,150,23.2609,3320.61,-2515.255859375,3265.9,17.4793
755000,151,151,22.1787,3314.94,-1227.9639892578125,3301.95,15.7204
760000,152,152,21.25,3326.1,-1494.01513671875,2939.76,13.6612
765000,153,153,22.1675,3326.93,-2309.705078125,3247.61,15.8912
770000,154,154,22.5112,3336.71,-2288.13671875,2567.52,15.8998
775000,155,155,21.0176,3296.51,-1455.2906494140625,3311.07,13.8364
780000,156,156,21.6628,3431.48,-1865.9139404296875,2199.41,13.3064
785000,157,157,22.378,3364.08,-1950.4693603515625,2521.35,12.9698
790000,158,158,23.5463,3369.57,-2839.142822265625,1957.22,15.489
795000,159,159,21.6277,3299.28,-1395.2635498046875,3093.39,14.8676
800000,160,160,22.1104,3335.9,-1481.3531494140625,3184.76,14.4958
805000,161,161,21.6256,3309.52,-1567.058837890625,3286.6,14.4098
810000,162,162,20.8391,3350.38,-1166.34228515625,3151.11,14.3475
815000,163,163,21.6044,3328.46,-1498.589111328125,2652.44,13.7863
820000,164,164,21.6559,3488.76,-1654.2576904296875,2632.81,13.6676
825000,165,165,20.8039,3300.5,-1418.3975830078125,3211.13,14.4491
830000,166,166,21.5879,3300.2,-1357.0921630859375,3249.7,14.7925
835000,167,167,21.3269,3312.3,-1411.9517822265625,3346.12,15.2134
840000,168,168,21.0079,3401.4,-1431.54052734375,3261.71,13.7587
845000,169,169,21.5142,3299.73,-1469.8797607421875,3268.61,14.8294
850000,170,170,22.0746,3392.51,-2296.7958984375,2420.26,15.1725
855000,171,171,21.5441,3338.82,-1380.383056640625,3378.04,15.0071
860000,172,172,21.4588,3321.22,-1482.163330078125,3213.6,13.8133
865000,173,173,21.4193,3350.92,-1836.8287353515625,3099.35,13.1677
870000,174,174,22.0121,3388.99,-1788.56396484375,2046.83,12.8431
875000,175,175,21.779,3435.97,-1498.574951171875,3069.54,14.6266
880000,176,176,21.8894,3348.36,-2211.415283203125,2869.89,12.7633
885000,177,177,22.0302,3245.3,-2469.838134765625,2138.79,12.1669
890000,178,178,22.6455,3402.09,-2317.785400390625,2541.16,12.1753
895000,179,179,21.96,3346.42,-2201.538330078125,2843.39,16.168
900000,180,180,21.477,3363.36,-1692.6090087890625,2576.14,13.3384
905000,181,181,22.383,3506.37,-2159.87890625,2196.42,12.5181
910000,182,182,22.3048,3425.31,-1796.8114013671875,2863.39,12.9927
915000,183,183,22.1572,3326.46,-1933.6759033203125,2182.84,13.2902
920000,184,184,22.0478,3383.57,-2429.80908203125,2627.65,13.6908
925000,185,185,23.0457,3409.29,-2969.9619140625,2544.31,14.9943
930000,186,186,22.0892,3409.36,-2595.787353515625,2040.47,12.1687
935000,187,187,22.0919,3372.79,-2738.02685546875,2406.55,14.4294
940000,188,188,21.5253,3395.63,-1750.0560302734375,3183.84,14.0201
945000,189,189,22.2606,3413.1,-2114.929443359375,2838.18,12.9889
950000,190,190,22.513,3350.25,-2205.735107421875,2573.3,12.8506
955000,191,191,21.4604,3338.71,-1670.830810546875,3339.47,14.029
960000,192,192,21.8181,3321.04,-1675.88623046875,3152.39,15.3004
965000,193,193,21.4028,3337.75,-1782.91748046875,3025.41,14.7281
970000,194,194,21.0497,3272.03,-1764.05322265625,2737.97,13.468
975000,195,195,21.06,3438.81,-2185.012451171875,2599.86,12.0932
980000,196,196,21.4426,2936.54,-2090.45947265625,2522.34,12.8881
985000,197,197,21.6383,3367.37,-1698.2242431640625,3395.07,14.4836
990000,198,198,21.7071,2999.53,-2006.8839111328125,2749.74,12.8863
995000,199,199,22.1193,3456.02,-2094.814697265625,2598.81,12.8455
