Itration,Reward Loss,Running Env Steps,Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL
53,-607.365478515625,265000,227.08,29.4858,53,682.42,70.1209
54,-617.5015869140625,270000,218.11,29.342,54,910.96,69.9797
55,-636.3779907226562,275000,183.71,29.4256,55,733.17,70.5944
56,-653.75390625,280000,135.55,29.3645,56,354.13,70.4222
57,-671.009033203125,285000,178.5,29.6602,57,434.78,70.3308
58,-687.1437377929688,290000,222.72,29.8956,58,515.32,71.0799
59,-711.7903442382812,295000,273.74,31.0719,59,948.94,73.0542
60,-723.4166870117188,300000,245.01,30.1398,60,566.11,71.1708
61,-730.2859497070312,305000,114.68,28.9754,61,673.42,70.9589
62,-748.674072265625,310000,176.72,30.1451,62,524.05,72.3581
63,-778.5567016601562,315000,200.88,30.2078,63,500.57,72.2719
64,-774.796630859375,320000,187.1,29.3631,64,509.32,69.2539
65,-801.4553833007812,325000,261.17,29.7297,65,682.71,70.0754
66,-805.33349609375,330000,274.78,29.6385,66,728.34,70.127
67,-822.8992919921875,335000,225.38,29.0505,67,734.64,69.1573
68,-842.1290283203125,340000,360.41,29.8848,68,994.89,69.2708
69,-849.7002563476562,345000,247.95,29.4059,69,687.56,67.9883
70,-873.0086059570312,350000,291.7,29.0585,70,855.38,68.6437
71,-921.1344604492188,355000,313.93,30.4217,71,891.94,72.0394
72,-893.0758666992188,360000,249.27,27.8721,72,897.94,67.6449
73,-931.0834350585938,365000,288.54,29.1704,73,1012.23,70.144
74,-964.9288940429688,370000,199.31,29.6431,74,679.56,71.3187
75,-989.6998901367188,375000,179.1,29.7921,75,691.25,72.6954
76,-999.6015014648438,380000,288.54,30.542,76,870.76,71.6257
77,-1010.1185913085938,385000,269.78,29.0969,77,912.38,69.2942
78,-1024.497802734375,390000,177.55,29.1738,78,760.81,70.7553
79,-1070.127197265625,395000,296.8,30.1982,79,772.72,70.9463
80,-1061.627685546875,400000,333.69,29.7219,80,834.77,69.4706
81,-1090.3038330078125,405000,291.85,29.0592,81,927.22,69.977
82,-1146.4071044921875,410000,205.08,29.8702,82,887.86,72.5734
83,-1142.3524169921875,415000,242.03,29.7589,83,793.43,69.9535
84,-1166.67626953125,420000,209.92,29.9777,84,819.37,71.2332
85,-1155.9398193359375,425000,304.71,28.8058,85,766.03,69.0007
86,-1208.2034912109375,430000,290.47,29.4842,86,936.12,70.8112
87,-1211.28076171875,435000,212.78,28.5768,87,667.1,68.6734
88,-1249.8294677734375,440000,322.28,29.9938,88,785.84,69.7891
89,-1264.8011474609375,445000,182.31,29.6996,89,798.96,69.5602
90,-1250.404541015625,450000,295.04,28.4844,90,519.94,67.918
91,-1289.010986328125,455000,156.82,28.92,91,607.84,70.4746
92,-1331.6217041015625,460000,188.92,29.7694,92,707.38,71.9948
93,-1355.0260009765625,465000,189.44,29.3109,93,932.71,70.3187
94,-1365.704833984375,470000,205.56,29.4432,94,649.84,70.323
95,-1407.984130859375,475000,207.95,29.3646,95,752.66,70.957
96,-1445.606201171875,480000,213.47,29.6317,96,437.38,70.8834
97,-1484.327880859375,485000,218.16,30.3842,97,632.14,73.0903
98,-1468.6527099609375,490000,286.14,29.4059,98,633.57,71.4014
99,-1480.0010986328125,495000,282.03,29.0336,99,868.07,69.2478
100,-1550.55615234375,500000,231.59,30.78,100,939.51,72.9205
101,-1551.626220703125,505000,175.68,29.4863,101,863.16,69.9803
102,-1591.578125,510000,301.84,29.6434,102,880.94,70.653
103,-1588.7437744140625,515000,261.22,29.4171,103,780.53,70.4514
104,-1613.099853515625,520000,275.97,29.0525,104,673.11,70.0426
105,-1669.7532958984375,525000,164.54,29.453,105,423.57,71.068
106,-1683.3720703125,530000,289.73,29.4614,106,891.14,70.2949
107,-1660.8927001953125,535000,331.78,29.2162,107,897.46,69.1195
108,-1783.8565673828125,540000,298.28,29.7891,108,711.38,72.9021
109,-1791.7100830078125,545000,188.07,30.2553,109,554.53,71.7712
110,-1804.9697265625,550000,247.14,29.407,110,774.85,71.2484
111,-1802.344482421875,555000,346.63,29.1214,111,934.4,69.5157
112,-1877.63720703125,560000,197.61,29.6957,112,805.61,72.1466
113,-1922.5987548828125,565000,292.04,30.0517,113,868.53,72.2136
114,-1936.0716552734375,570000,278.4,30.0735,114,739.16,72.5704
115,-1893.8424072265625,575000,338.01,28.9008,115,1013.27,68.6433
116,-1927.4725341796875,580000,305.02,28.7361,116,979.35,69.1564
117,-1982.8798828125,585000,271.63,29.2197,117,708.1,69.9975
118,-2044.1539306640625,590000,294.84,29.7502,118,756.97,70.6163
119,-2054.042236328125,595000,215.62,29.1147,119,690.81,70.0723
120,-2122.54736328125,600000,264.39,29.8823,120,813.24,71.2641
121,-2104.490966796875,605000,203.68,29.3363,121,657.67,71.0381
122,-2180.581787109375,610000,261.92,29.2671,122,720.1,70.6054
123,-2241.6953125,615000,273.53,30.49,123,706.65,72.2815
124,-2202.44287109375,620000,250.55,28.2457,124,502.69,68.7262
125,-2255.586669921875,625000,224.81,29.2173,125,679.43,70.0918
126,-2283.596923828125,630000,208.23,29.292,126,552.91,70.515
127,-2251.26416015625,635000,272.35,29.9235,127,834.35,67.7358
128,-2421.76611328125,640000,264.03,30.6,128,706.2,72.0517
129,-2424.325927734375,645000,166.87,30.1047,129,601.31,71.8883
130,-2494.642333984375,650000,254.9,30.2541,130,735.53,72.8452
131,-2437.492431640625,655000,328.21,29.0909,131,756.81,70.5716
132,-2526.81884765625,660000,260.32,29.6114,132,561.06,71.1141
133,-2592.58642578125,665000,196.1,30.026,133,565.1,72.8028
134,-2606.670166015625,670000,222.2,29.4056,134,690.82,70.9771
135,-2613.8681640625,675000,239.62,28.8041,135,626.45,68.6511
136,-2720.035400390625,680000,313.05,29.9055,136,729.19,72.4803
137,-2701.890869140625,685000,257.81,29.2479,137,647.94,70.2251
138,-2746.310546875,690000,363.64,29.6319,138,816.86,71.1583
139,-2729.568359375,695000,323.13,28.9761,139,588.57,68.9388
140,-2796.6484375,700000,187.09,28.6847,140,935.03,69.7914
141,-2875.798583984375,705000,263.42,29.2026,141,992.29,70.5882
142,-2835.452880859375,710000,250.38,29.2572,142,845.99,68.4117
143,-2931.572509765625,715000,279.06,29.8265,143,1011.28,70.2359
144,-3025.090087890625,720000,289.13,30.1361,144,714.69,72.4514
145,-3029.725830078125,725000,264.91,28.9691,145,817.88,69.4046
146,-3100.117431640625,730000,314.33,29.7757,146,931.98,70.4629
147,-3055.169677734375,735000,312.73,28.4161,147,1069.23,68.5435
148,-3156.08837890625,740000,303.92,29.4315,148,774.34,70.1333
149,-3173.5078125,745000,254.58,28.8325,149,739.92,69.4237
150,-3225.662109375,750000,376.17,29.7352,150,873.68,71.1769
151,-3295.558837890625,755000,343.97,29.1816,151,658.27,70.0957
152,-3208.873291015625,760000,309.66,28.4656,152,752.36,67.3325
153,-3326.967529296875,765000,309.79,28.6467,153,788.88,68.489
154,-3322.887939453125,770000,258.13,28.4857,154,887.99,68.1917
155,-3504.586181640625,775000,324.21,29.8679,155,940.3,70.8672
156,-3613.323974609375,780000,225.78,29.6951,156,652.77,72.5111
157,-3586.354736328125,785000,311.05,29.4396,157,628.68,70.9402
158,-3607.066650390625,790000,170.91,28.9735,158,755.54,69.8479
159,-3624.744140625,795000,219.8,28.707,159,566.4,68.8948
160,-3728.70068359375,800000,217.47,29.0709,160,705.22,70.8905
161,-3684.518310546875,805000,282.99,28.7919,161,1073.08,67.5411
162,-3793.229248046875,810000,251.71,29.4089,162,712.45,71.0057
163,-3781.77490234375,815000,291.53,28.7886,163,886.24,69.0089
164,-3993.435791015625,820000,230.17,29.3484,164,767.72,70.99
165,-3839.64013671875,825000,322.1,28.5164,165,852.74,68.3243
166,-4037.04736328125,830000,272.37,28.7464,166,943.54,70.1556
167,-3961.539794921875,835000,206.92,28.0896,167,815.23,66.963
168,-3997.98388671875,840000,441.4,28.1599,168,894.1,66.9614
169,-4094.806640625,845000,338.36,28.1555,169,1065.67,67.3553
170,-4191.69580078125,850000,358.58,28.5685,170,947.99,68.7788
171,-4243.98779296875,855000,493.36,28.2668,171,868.89,67.3425
172,-4180.97998046875,860000,366.68,27.627,172,925.2,65.6796
173,-4349.16650390625,865000,360.44,28.3123,173,953.88,67.8415
174,-4403.0771484375,870000,240.88,28.1282,174,851.31,67.5776
175,-4630.99169921875,875000,249.84,29.205,175,736.51,70.4016
176,-4571.638671875,880000,273.33,28.983,176,869.52,69.8123
177,-4540.1962890625,885000,269.32,27.7488,177,782.56,67.5472
178,-4590.4287109375,890000,291.88,28.1615,178,764.2,67.9655
179,-4552.02392578125,895000,327.94,27.4971,179,755.8,66.4729
180,-4902.634765625,900000,276.79,29.4175,180,565.94,71.0329
181,-4897.2548828125,905000,312.91,28.5244,181,655.34,68.7042
182,-4897.83544921875,910000,316.77,28.9288,182,873.27,68.5778
183,-5056.6337890625,915000,287.98,29.2297,183,770.09,70.4072
184,-5134.09521484375,920000,294.9,29.0571,184,597.35,68.9461
185,-5185.27734375,925000,315.43,29.1193,185,606.68,69.17
186,-5050.9775390625,930000,304.18,27.5912,186,745.69,66.3781
187,-5401.74609375,935000,366.78,29.5248,187,778.76,70.4562
188,-5267.91748046875,940000,346.87,28.0348,188,702.79,66.9925
189,-5576.96923828125,945000,217.54,29.5096,189,845.84,71.2915
190,-5601.29248046875,950000,303.61,29.1861,190,540.71,69.8979
191,-5626.5771484375,955000,265.17,29.2107,191,935.79,69.4607
192,-5708.62158203125,960000,299.19,29.4275,192,680.53,71.8779
193,-5821.80615234375,965000,281.86,29.72,193,863.46,70.9859
194,-5844.10107421875,970000,275.46,29.2138,194,836.0,69.2229
195,-5958.52392578125,975000,262.19,29.2197,195,601.72,72.5771
196,-6042.86181640625,980000,349.18,29.6466,196,382.86,70.1753
197,-6242.7998046875,985000,219.94,30.4918,197,784.88,73.2094
198,-6263.314453125,990000,217.26,30.0634,198,754.87,71.8971
199,-6196.6015625,995000,288.03,29.2805,199,894.13,68.8332
200,-6377.4169921875,1000000,247.72,29.7986,200,999.85,71.3699
201,-6456.4169921875,1005000,418.46,29.6656,201,849.2,71.3282
202,-6627.798828125,1010000,240.63,29.3163,202,930.32,70.8801
203,-6221.60400390625,1015000,306.36,27.6194,203,970.52,66.9069
204,-6787.3427734375,1020000,308.78,29.4625,204,952.44,71.8179
205,-6620.8251953125,1025000,335.61,28.9593,205,670.03,68.5442
206,-6905.90087890625,1030000,210.33,29.8626,206,905.47,71.6175
207,-6942.9501953125,1035000,286.28,29.4391,207,681.01,69.7958
208,-7037.009765625,1040000,249.27,29.5278,208,881.65,71.2798
209,-7228.8896484375,1045000,330.8,29.1856,209,783.13,70.7023
210,-7380.57470703125,1050000,283.7,29.6264,210,971.94,72.0785
211,-7446.4560546875,1055000,229.31,29.4143,211,796.63,71.5173
212,-7572.98046875,1060000,205.99,29.7407,212,748.5,71.7318
213,-7527.1875,1065000,271.26,28.9788,213,823.62,70.3387
214,-7722.02490234375,1070000,232.72,29.447,214,841.83,70.0151
215,-7684.810546875,1075000,309.57,28.9397,215,630.02,69.0487
216,-7919.69970703125,1080000,236.76,29.7914,216,788.04,73.1688
217,-7888.138671875,1085000,201.68,31.0834,217,986.44,72.0765
218,-8038.568359375,1090000,229.45,29.478,218,839.87,72.8151
219,-8033.10693359375,1095000,296.93,28.9043,219,724.44,70.3212
220,-8250.5439453125,1100000,225.25,29.3417,220,619.88,71.7448
221,-8182.76123046875,1105000,227.08,29.0708,221,756.91,70.4184
222,-8421.09765625,1110000,249.9,30.635,222,731.79,72.2998
223,-8424.18359375,1115000,234.05,30.1127,223,935.81,71.0373
224,-8676.3720703125,1120000,258.75,29.3734,224,778.22,72.3289
225,-8684.3193359375,1125000,257.5,29.2838,225,830.16,72.3248
226,-8826.7529296875,1130000,210.3,29.3856,226,839.72,71.6569
227,-8901.3466796875,1135000,244.67,29.405,227,819.25,71.5151
228,-8966.826171875,1140000,200.63,29.574,228,878.64,72.0446
229,-9116.6337890625,1145000,235.88,29.6135,229,678.37,73.1761
230,-9240.2236328125,1150000,252.28,29.2688,230,855.93,71.5333
231,-9334.865234375,1155000,181.56,28.9673,231,551.51,71.2408
232,-9355.1357421875,1160000,112.21,29.685,232,480.9,72.2418
233,-9568.4462890625,1165000,226.95,29.3848,233,476.5,72.2071
234,-9749.0625,1170000,212.79,29.636,234,537.99,73.3305
235,-9836.19921875,1175000,202.17,30.0404,235,699.67,73.4112
236,-9852.5087890625,1180000,125.85,29.1815,236,697.29,73.0523
237,-9944.400390625,1185000,183.39,29.0978,237,605.94,72.141
238,-9959.306640625,1190000,131.43,29.2594,238,559.16,71.0201
239,-10110.85546875,1195000,153.56,29.7233,239,492.14,72.3357
240,-10263.6748046875,1200000,160.49,29.2433,240,488.24,71.5117
241,-10347.1328125,1205000,221.91,29.3172,241,756.87,71.1318
242,-10551.8125,1210000,232.98,29.2584,242,534.74,71.381
243,-10471.7216796875,1215000,193.34,29.3711,243,376.07,71.3589
244,-10488.8955078125,1220000,209.64,28.974,244,871.73,71.8468
245,-10486.49609375,1225000,199.21,29.0758,245,635.83,71.9872
246,-10889.98828125,1230000,135.51,29.4346,246,593.12,72.6022
247,-11022.0654296875,1235000,155.75,29.8843,247,507.51,72.5537
248,-10856.5419921875,1240000,154.06,29.0827,248,523.39,70.4471
249,-10955.9970703125,1245000,202.88,29.2859,249,437.68,71.785
250,-11400.6982421875,1250000,193.51,30.0233,250,545.57,72.8641
251,-11178.591796875,1255000,150.76,29.3075,251,687.62,71.5465
252,-11483.416015625,1260000,175.52,29.9958,252,729.06,73.0798
253,-11476.5830078125,1265000,242.73,29.3078,253,776.96,71.1857
254,-11674.9580078125,1270000,204.26,29.2987,254,731.33,71.1253
255,-11632.3212890625,1275000,268.72,29.3394,255,674.56,70.7136
256,-11701.732421875,1280000,173.66,29.5272,256,718.09,71.0577
257,-12224.4169921875,1285000,186.62,29.9329,257,715.86,73.6265
258,-11873.23046875,1290000,203.7,28.6014,258,473.6,70.6134
259,-12241.4052734375,1295000,160.6,29.3278,259,657.57,71.9832
260,-12159.9482421875,1300000,170.66,30.0604,260,575.23,73.4566
261,-12525.7685546875,1305000,210.75,29.8549,261,731.76,72.6769
262,-12383.65234375,1310000,166.06,29.9118,262,710.72,72.1194
263,-12388.533203125,1315000,184.3,29.7706,263,859.31,73.6101
264,-12649.73828125,1320000,189.47,29.4325,264,365.04,72.7141
265,-12600.2314453125,1325000,231.74,29.4728,265,471.66,72.0574
266,-13035.8857421875,1330000,236.38,29.9692,266,569.09,73.5945
267,-13230.0205078125,1335000,162.79,29.8744,267,464.36,73.2237
268,-13013.9189453125,1340000,203.8,29.5364,268,567.84,74.4415
269,-13156.22265625,1345000,141.9,29.9693,269,492.92,72.6909
270,-13361.08984375,1350000,144.31,29.4419,270,464.09,73.8512
271,-13358.466796875,1355000,216.37,29.5447,271,639.95,73.2044
272,-13595.1865234375,1360000,146.27,29.7989,272,537.05,72.8395
273,-13445.0654296875,1365000,184.85,29.3176,273,767.95,71.4646
274,-13683.1630859375,1370000,174.69,29.9133,274,820.55,73.5011
275,-13619.55859375,1375000,146.11,29.2247,275,635.87,71.3112
276,-13757.1484375,1380000,159.35,29.6895,276,731.76,72.4893
277,-13867.615234375,1385000,180.99,29.7716,277,742.43,72.1361
278,-13785.5029296875,1390000,187.85,30.2267,278,785.87,73.6564
279,-14261.416015625,1395000,205.04,29.6038,279,531.08,72.5727
280,-14152.365234375,1400000,204.51,30.1706,280,525.76,73.7446
281,-14361.2041015625,1405000,226.81,30.121,281,607.88,73.3081
282,-14442.041015625,1410000,236.43,29.5393,282,966.79,73.1343
283,-14572.9921875,1415000,245.35,30.0704,283,612.7,73.2591
284,-14675.3935546875,1420000,138.89,29.8296,284,549.41,74.5354
285,-14438.212890625,1425000,281.31,29.6522,285,632.13,71.9758
286,-14976.150390625,1430000,192.34,30.1068,286,653.89,73.9586
287,-15072.580078125,1435000,191.3,30.1783,287,817.31,74.6546
288,-15023.357421875,1440000,207.07,29.5722,288,378.37,72.7635
289,-15024.638671875,1445000,149.54,29.3592,289,716.3,73.0259
290,-15095.072265625,1450000,195.72,29.6434,290,569.94,73.5489
291,-15266.2021484375,1455000,211.44,29.9735,291,716.55,73.18
292,-15339.91015625,1460000,181.68,29.7027,292,641.23,73.2428
293,-15713.779296875,1465000,174.86,29.8047,293,619.18,73.2604
294,-15663.3515625,1470000,202.76,30.1847,294,535.75,74.594
295,-15669.6044921875,1475000,167.42,29.6995,295,743.94,72.7129
296,-15657.5302734375,1480000,175.24,29.6468,296,712.0,73.8002
297,-15527.654296875,1485000,194.73,30.7107,297,773.81,73.0229
298,-15870.3388671875,1490000,224.03,29.5688,298,523.91,72.1053
299,-16006.921875,1495000,118.4,29.8914,299,713.2,73.2148
300,-16021.65234375,1500000,182.26,32.9073,300,695.44,73.1537
301,-16142.826171875,1505000,137.18,29.9888,301,602.49,72.397
302,-16214.3076171875,1510000,181.81,30.3207,302,867.72,73.3588
303,-16350.59765625,1515000,291.12,29.4179,303,798.4,72.8301
304,-16404.29296875,1520000,258.37,30.0508,304,583.29,73.1515
305,-16467.623046875,1525000,162.36,30.0862,305,583.83,73.39
306,-16554.44921875,1530000,104.1,29.9425,306,815.94,74.2488
307,-16844.99609375,1535000,128.65,30.9845,307,634.25,74.8727
308,-16697.810546875,1540000,114.36,29.9951,308,535.13,73.8261
309,-16682.794921875,1545000,128.83,29.7149,309,581.56,74.0106
310,-16846.541015625,1550000,222.61,29.7719,310,874.89,73.7712
311,-17162.373046875,1555000,208.03,29.7224,311,834.72,74.6847
312,-17050.232421875,1560000,182.44,30.0749,312,812.61,73.3118
313,-17116.609375,1565000,248.89,30.0993,313,683.37,74.1692
314,-17319.33984375,1570000,160.49,30.005,314,583.7,74.6885
315,-16890.669921875,1575000,207.47,29.3121,315,875.51,71.967
316,-17287.330078125,1580000,242.03,29.4249,316,540.25,72.4416
317,-17026.3046875,1585000,221.37,29.3922,317,762.9,73.2027
318,-17328.369140625,1590000,198.34,29.5535,318,661.2,73.2164
319,-17604.419921875,1595000,86.74,29.7988,319,553.94,74.21
320,-17698.291015625,1600000,98.63,29.7686,320,689.45,73.6434
321,-17303.05859375,1605000,204.34,29.1193,321,696.18,72.1032
322,-17729.939453125,1610000,135.62,29.5686,322,672.81,74.2878
323,-17398.505859375,1615000,153.15,29.3233,323,481.05,72.9582
324,-17741.1171875,1620000,163.46,29.6021,324,585.67,72.2994
325,-17152.912109375,1625000,221.43,28.8202,325,589.71,71.2207
326,-17905.478515625,1630000,205.86,29.7336,326,680.51,74.1433
327,-17722.1484375,1635000,207.84,29.8384,327,711.02,74.0289
328,-17858.599609375,1640000,211.98,29.5932,328,553.16,73.3337
329,-17966.78515625,1645000,160.46,29.6345,329,630.28,73.3702
330,-18178.283203125,1650000,211.07,30.1072,330,614.84,74.9709
331,-18130.654296875,1655000,184.5,30.069,331,539.03,73.6007
332,-18124.724609375,1660000,267.61,29.7454,332,611.32,73.9428
333,-18186.5078125,1665000,243.47,29.9331,333,768.91,74.3792
334,-18186.306640625,1670000,254.83,30.2152,334,707.92,74.9841
335,-18385.71484375,1675000,196.53,30.4739,335,906.94,74.1283
336,-18231.3046875,1680000,171.35,29.7212,336,657.23,74.7837
337,-18226.0859375,1685000,218.07,29.3755,337,520.54,73.1737
338,-18276.02734375,1690000,193.68,30.0645,338,855.91,73.3
339,-18381.671875,1695000,170.99,30.578,339,856.52,75.626
340,-18484.3671875,1700000,253.94,30.1839,340,746.83,74.7515
341,-18253.669921875,1705000,188.59,29.7059,341,868.77,72.9366
342,-18585.384765625,1710000,226.47,30.292,342,810.74,74.5005
343,-18540.38671875,1715000,180.83,30.1715,343,769.76,73.7177
344,-18506.6796875,1720000,190.49,29.8903,344,568.13,73.4085
345,-18604.431640625,1725000,256.62,30.3329,345,535.92,74.5271
346,-18510.341796875,1730000,229.07,29.8022,346,668.74,73.6247
347,-18404.60546875,1735000,219.06,29.4484,347,583.69,73.1916
348,-18562.8828125,1740000,208.27,30.3243,348,762.46,74.5318
349,-18487.66015625,1745000,254.41,29.6609,349,535.9,73.5414
350,-18568.2265625,1750000,129.37,29.8199,350,658.71,74.2927
351,-18419.193359375,1755000,245.22,29.5386,351,723.45,73.175
352,-18310.154296875,1760000,195.95,28.7667,352,548.25,72.9277
353,-18630.466796875,1765000,210.21,29.9901,353,536.82,74.2752
354,-18530.587890625,1770000,181.47,29.7967,354,553.96,74.1184
355,-18628.009765625,1775000,156.33,30.2025,355,809.04,74.0015
356,-18731.40625,1780000,252.28,30.3482,356,703.55,74.4119
357,-18765.12890625,1785000,162.85,30.1821,357,814.6,75.1588
358,-18762.642578125,1790000,181.54,29.9843,358,916.82,73.9399
359,-18662.349609375,1795000,219.84,29.9953,359,829.64,73.1051
360,-18701.98828125,1800000,151.73,29.8305,360,653.59,73.549
361,-18942.90234375,1805000,255.81,30.2225,361,534.4,74.1559
362,-18812.375,1810000,190.01,30.3057,362,604.18,73.9868
363,-18878.38671875,1815000,213.47,30.4453,363,710.58,74.4814
364,-18750.896484375,1820000,186.65,29.4224,364,898.37,73.9183
365,-18668.072265625,1825000,172.41,29.7613,365,828.25,73.8936
366,-18778.583984375,1830000,233.44,30.0693,366,791.03,74.3734
367,-18796.158203125,1835000,230.35,29.9711,367,830.62,74.0852
368,-18765.5625,1840000,196.58,29.9542,368,651.22,74.3768
369,-18931.681640625,1845000,129.28,30.1693,369,781.92,73.6622
370,-18649.341796875,1850000,172.89,29.636,370,743.16,73.5237
371,-18908.041015625,1855000,132.38,29.7028,371,555.92,74.8113
372,-18993.712890625,1860000,206.72,30.0234,372,725.55,74.6401
373,-18873.5078125,1865000,215.14,30.3353,373,558.95,74.4491
374,-18865.03125,1870000,102.75,30.1518,374,740.95,75.2502
375,-18902.96875,1875000,206.83,29.9454,375,661.63,73.5851
376,-18871.109375,1880000,148.71,29.5836,376,681.03,73.751
377,-18932.2578125,1885000,193.56,30.1228,377,891.81,74.3712
378,-18897.29296875,1890000,189.9,29.9688,378,753.11,74.0371
379,-19011.91796875,1895000,161.16,30.0559,379,377.24,75.492
380,-18989.486328125,1900000,163.05,29.748,380,697.2,75.0058
381,-18946.861328125,1905000,213.58,29.7976,381,415.31,73.961
382,-18930.62890625,1910000,172.47,30.0196,382,651.74,75.5041
383,-19092.005859375,1915000,259.28,30.4027,383,792.15,74.7163
384,-18872.390625,1920000,176.35,30.0212,384,601.73,72.9907
385,-19040.2734375,1925000,160.19,30.3697,385,602.07,74.1332
386,-19022.857421875,1930000,159.82,30.373,386,699.69,74.7095
387,-19070.85546875,1935000,217.34,30.5032,387,792.27,75.125
388,-19058.474609375,1940000,149.35,30.422,388,830.8,74.4682
389,-19104.9921875,1945000,102.08,30.6294,389,606.03,75.4405
390,-19088.75,1950000,107.55,30.3984,390,654.93,75.2757
391,-19073.458984375,1955000,194.37,30.275,391,596.47,74.7113
392,-19098.724609375,1960000,157.86,30.6076,392,801.02,76.0042
393,-18984.853515625,1965000,124.38,29.6609,393,755.42,73.834
394,-19098.1484375,1970000,127.53,30.1907,394,727.78,74.7426
395,-19137.904296875,1975000,142.47,30.334,395,648.75,75.2997
396,-18970.68359375,1980000,197.29,29.847,396,402.64,73.972
397,-18990.4375,1985000,254.06,30.0719,397,689.57,73.7648
398,-19166.412109375,1990000,182.77,30.1936,398,657.18,74.4842
399,-19118.09375,1995000,93.69,30.0002,399,608.93,74.8989
400,-19015.404296875,2000000,182.92,29.869,400,452.44,74.0613
401,-19062.48828125,2005000,164.9,29.5882,401,424.45,73.9729
402,-19196.26171875,2010000,144.76,30.2402,402,735.01,75.8996
403,-19160.083984375,2015000,212.12,29.9457,403,770.92,75.8142
404,-19084.26171875,2020000,217.31,30.2319,404,601.86,74.3852
405,-19095.916015625,2025000,158.86,30.0022,405,723.71,74.0082
406,-19246.56640625,2030000,173.53,30.7496,406,788.7,76.1149
407,-19152.89453125,2035000,199.97,30.2911,407,737.58,75.0155
408,-19198.10546875,2040000,146.92,30.1056,408,758.16,75.1631
