Running Update Time,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Itration,Running Env Steps,Running Forward KL
36,897.86,255.4844,-8515.1728515625,712.04,36,180000,404.9835
37,992.85,237.7658,-8500.916015625,899.79,37,185000,396.2856
38,925.3,247.5405,-8676.8330078125,735.09,38,190000,395.1996
39,1294.72,262.8939,-9041.0595703125,650.55,39,195000,406.5054
40,1045.53,275.3683,-9821.955078125,669.67,40,200000,408.755
41,945.52,273.0763,-9904.228515625,540.08,41,205000,405.0939
42,1138.61,251.396,-9695.046875,746.5,42,210000,410.1258
43,842.33,283.2502,-10644.4873046875,648.19,43,215000,415.6008
44,864.98,251.3018,-10231.31640625,647.68,44,220000,397.008
45,1261.54,230.9679,-9497.7451171875,723.8,45,225000,396.6044
46,1143.19,231.1506,-9662.6845703125,925.47,46,230000,399.3969
47,1181.49,261.0539,-11139.5966796875,724.85,47,235000,409.457
48,1104.92,244.8577,-10613.2529296875,685.6,48,240000,392.4489
49,1277.39,248.0382,-10182.283203125,957.51,49,245000,392.0778
50,1770.11,246.5601,-10394.654296875,903.81,50,250000,387.3434
51,1886.36,222.2468,-9818.03515625,948.3,51,255000,387.0075
52,1859.63,228.2357,-10050.6806640625,872.97,52,260000,379.2683
53,1144.81,231.4233,-10239.740234375,1107.48,53,265000,391.0742
54,1652.77,252.3416,-10442.6728515625,743.03,54,270000,383.2781
55,1761.75,213.9981,-8010.92822265625,909.97,55,275000,372.3581
56,1364.29,236.6939,-10504.2080078125,997.58,56,280000,380.4591
57,948.27,283.502,-12347.2900390625,706.33,57,285000,401.8068
58,2131.37,219.0492,-9930.8779296875,710.82,58,290000,379.474
59,1684.2,197.8084,-9705.056640625,1081.34,59,295000,373.2055
60,1302.6,224.8154,-10139.6826171875,963.65,60,300000,383.4652
61,1819.97,190.1461,-9085.625,1112.97,61,305000,369.7718
62,2650.5,207.2697,-9995.01953125,946.93,62,310000,386.1011
63,2495.5,207.2648,-9043.57421875,1745.32,63,315000,367.0494
64,1520.46,230.2,-11598.6728515625,1369.16,64,320000,387.5749
65,2162.28,226.1611,-10406.658203125,1949.97,65,325000,381.3209
66,2198.38,188.372,-8778.7060546875,1354.22,66,330000,373.4625
67,4120.64,186.6357,-6597.75439453125,2774.37,67,335000,363.6699
68,2655.81,210.82,-10340.890625,1113.43,68,340000,379.7179
69,2906.79,209.8623,-10311.0341796875,1615.76,69,345000,376.6554
70,1407.49,245.7381,-12731.9833984375,1195.73,70,350000,394.1695
71,2886.48,193.0735,-8213.5283203125,2156.64,71,355000,365.0491
72,4118.91,172.558,-6531.6591796875,1592.72,72,360000,363.2926
73,1581.52,236.919,-12625.0263671875,1445.38,73,365000,395.7127
74,2902.24,199.6791,-9258.23828125,971.48,74,370000,364.7454
75,3721.77,164.4234,-7922.9453125,1800.91,75,375000,360.5008
76,3707.05,187.0565,-8349.9853515625,1427.43,76,380000,360.3849
77,3319.17,237.8582,-11564.3681640625,1672.25,77,385000,380.9874
78,3003.89,213.4668,-10528.1806640625,992.49,78,390000,370.1273
79,2280.88,228.2476,-12054.3271484375,1129.26,79,395000,384.6107
80,2166.18,219.5678,-11431.990234375,1125.67,80,400000,373.5379
81,1848.77,222.4918,-11910.3173828125,1284.45,81,405000,376.5519
82,4044.31,176.3667,-9640.8125,1430.08,82,410000,363.8862
83,4217.82,194.1564,-9161.3837890625,1230.96,83,415000,365.742
84,3896.55,193.585,-9961.9677734375,1655.16,84,420000,367.4132
85,2453.69,214.2748,-12018.412109375,1079.22,85,425000,378.6036
86,3729.94,175.196,-9092.09375,1270.57,86,430000,359.7035
87,3418.96,179.7368,-10500.3955078125,1042.96,87,435000,361.8009
88,3623.59,178.2488,-9859.6552734375,834.36,88,440000,352.0058
89,3620.97,195.9859,-11892.8564453125,1655.6,89,445000,363.3811
90,2955.11,192.0971,-11147.8291015625,900.24,90,450000,367.2928
91,3451.14,169.9582,-10305.6796875,1317.18,91,455000,359.2926
92,2744.8,204.7365,-12005.2529296875,1178.52,92,460000,357.8652
93,3168.97,191.4641,-11989.2275390625,1136.48,93,465000,352.4948
94,1783.62,196.6617,-12668.6435546875,1143.54,94,470000,363.6372
95,1822.77,212.4563,-12747.3740234375,710.7,95,475000,360.5645
96,2876.98,190.7851,-12391.048828125,890.48,96,480000,361.5677
97,3320.48,182.6518,-11444.89453125,1490.22,97,485000,349.0544
98,3747.78,181.7675,-11273.3544921875,2643.51,98,490000,352.6189
99,3925.44,158.2087,-10470.9951171875,1230.24,99,495000,352.8238
100,3581.46,193.4117,-12076.9970703125,1198.35,100,500000,361.2741
101,4296.78,180.7169,-10437.9296875,1702.38,101,505000,355.6461
102,3035.81,181.7656,-12195.6865234375,1343.62,102,510000,360.5185
103,3959.48,159.7921,-11556.0947265625,2147.46,103,515000,352.2777
104,3986.37,169.2659,-12114.0732421875,1775.61,104,520000,353.6676
105,4049.09,171.7304,-12000.091796875,2431.46,105,525000,354.5763
106,4107.38,167.8393,-11378.5458984375,1063.13,106,530000,352.8724
107,4202.74,182.6756,-12168.052734375,2160.58,107,535000,359.4742
108,4145.0,182.6961,-12360.33984375,2710.15,108,540000,355.4882
109,4169.87,165.1166,-11728.69921875,2397.0,109,545000,348.4024
110,4436.81,189.2418,-12296.798828125,3120.25,110,550000,366.6326
111,4086.28,165.1521,-11865.2138671875,3525.95,111,555000,350.5652
112,3807.67,160.7947,-13054.1015625,3751.6,112,560000,354.021
113,4370.32,200.1799,-13186.3349609375,4092.54,113,565000,358.5121
114,3960.02,173.3231,-12817.486328125,1503.86,114,570000,350.4304
115,4403.88,173.3726,-12605.12890625,2997.02,115,575000,346.6023
116,3979.7,176.6875,-13363.4677734375,1467.81,116,580000,351.8415
117,4583.98,191.5454,-12839.9619140625,3182.73,117,585000,352.9808
118,4713.6,184.4069,-13144.279296875,4944.48,118,590000,358.4182
119,3564.69,190.7967,-13514.408203125,2755.07,119,595000,358.5248
120,4027.32,209.3215,-13482.9345703125,1898.27,120,600000,357.2286
121,4350.5,206.9723,-14241.375,2342.06,121,605000,368.6959
122,3973.75,178.4886,-13777.5703125,3614.91,122,610000,354.0123
123,4633.25,183.5498,-14242.4013671875,4447.03,123,615000,354.749
124,4401.02,188.0409,-14022.55859375,3361.44,124,620000,357.6402
125,3611.42,189.3976,-14425.130859375,4463.9,125,625000,360.9052
126,4544.11,174.7156,-14033.58984375,4075.72,126,630000,348.2808
127,4745.06,177.3917,-14342.1572265625,3018.55,127,635000,357.729
128,4405.7,172.3281,-14481.27734375,2604.52,128,640000,354.0325
129,3607.07,165.0641,-14174.1923828125,2103.75,129,645000,344.4635
130,4643.29,174.6889,-14853.2919921875,3077.72,130,650000,351.9167
131,4656.73,160.6362,-14668.728515625,2297.56,131,655000,345.0663
132,3664.49,198.8727,-14662.92578125,1435.22,132,660000,353.4759
133,4312.03,195.1541,-15061.5009765625,3377.73,133,665000,359.5413
134,4733.09,153.4375,-14670.958984375,3793.82,134,670000,334.1066
135,4430.84,178.819,-14800.5615234375,2338.4,135,675000,350.5492
136,3917.91,178.5101,-15166.384765625,1770.64,136,680000,355.0772
137,4622.49,168.8086,-14963.3447265625,2940.77,137,685000,344.1715
138,4539.56,162.1504,-14796.748046875,2885.56,138,690000,339.252
139,4481.33,166.6144,-15145.490234375,1899.51,139,695000,345.1477
140,3953.34,169.9184,-15502.580078125,2464.06,140,700000,346.3873
141,4195.44,166.6038,-15477.5986328125,3189.69,141,705000,347.1263
142,4231.84,174.795,-16099.2412109375,3193.04,142,710000,350.253
143,4172.99,154.3007,-15630.03125,2588.19,143,715000,337.1292
144,3273.24,186.5666,-16362.15234375,1939.23,144,720000,353.4855
145,4514.25,185.0368,-16367.1416015625,3199.26,145,725000,352.143
146,4662.25,159.8307,-15766.765625,4857.47,146,730000,338.1626
147,4350.48,164.1766,-15675.3662109375,3615.5,147,735000,343.4129
148,4854.39,164.067,-16037.9638671875,4276.23,148,740000,341.1439
149,4755.18,145.7759,-15727.8740234375,4806.34,149,745000,336.3628
150,4572.76,160.5626,-15950.5205078125,2608.57,150,750000,337.2021
151,4704.35,172.3512,-15694.50390625,2616.19,151,755000,340.68
152,3118.37,186.5962,-16520.01171875,1881.96,152,760000,352.0929
153,4723.06,161.5318,-16193.7978515625,3485.58,153,765000,345.3031
154,4775.42,164.8983,-16438.412109375,4352.77,154,770000,346.061
155,4474.12,155.4237,-16045.5546875,2323.8,155,775000,336.4408
156,4632.23,186.4564,-16518.51953125,3892.06,156,780000,351.0242
157,4938.83,158.7912,-16559.75390625,4781.96,157,785000,336.7627
158,4841.58,165.8819,-16658.7109375,3807.59,158,790000,344.475
159,3696.1,166.2294,-16405.63671875,2589.9,159,795000,342.0102
160,4904.42,158.2359,-16508.15625,3801.46,160,800000,341.7958
161,4171.66,157.5087,-16875.865234375,3368.56,161,805000,343.5284
162,4944.93,163.585,-16714.1640625,3330.98,162,810000,341.0446
163,4547.83,168.7527,-16686.080078125,4402.19,163,815000,346.2272
164,4406.83,151.9488,-16510.494140625,5065.39,164,820000,335.6402
165,3379.72,189.5313,-16584.525390625,2375.78,165,825000,343.5651
166,4709.09,154.6208,-16636.43359375,4503.03,166,830000,333.9164
167,4988.63,154.0643,-16867.755859375,4992.78,167,835000,336.1203
168,4647.22,157.2799,-16909.830078125,4223.53,168,840000,342.0544
169,4930.24,159.4862,-16814.662109375,5110.93,169,845000,340.9912
170,4451.92,154.968,-16830.662109375,3283.53,170,850000,343.3874
171,4924.69,159.5479,-16816.966796875,3773.3,171,855000,339.1932
172,4547.46,154.1147,-17049.689453125,3585.74,172,860000,335.0098
173,4624.87,154.1955,-16849.08984375,4530.09,173,865000,338.2984
174,4546.96,156.4435,-16875.669921875,3123.88,174,870000,333.9513
175,3849.9,163.8329,-17280.388671875,2948.27,175,875000,342.5325
176,4926.74,151.2156,-17016.5546875,4394.01,176,880000,335.806
177,5021.75,149.8341,-17211.912109375,4908.61,177,885000,334.52
178,4468.5,153.1936,-17138.416015625,3928.01,178,890000,336.3409
179,4681.45,154.0519,-17369.203125,5161.23,179,895000,335.8522
180,4814.73,175.6706,-17287.3203125,3356.3,180,900000,345.9824
181,4758.67,152.6464,-17205.765625,5067.36,181,905000,340.6467
182,4668.42,151.8436,-17252.875,4967.87,182,910000,338.3549
183,4993.56,141.7873,-17167.697265625,5127.44,183,915000,332.4671
184,5049.03,165.0378,-17800.6171875,2914.91,184,920000,342.2053
185,5054.5,153.0816,-17530.98046875,5201.9,185,925000,334.4565
186,4705.4,159.1272,-17298.27734375,4890.98,186,930000,340.6681
187,4893.42,151.0426,-17666.244140625,4725.01,187,935000,333.1718
188,4992.99,155.925,-17517.490234375,4948.05,188,940000,330.5703
189,4963.11,158.7201,-17630.453125,4860.82,189,945000,345.8847
190,4591.79,161.8101,-17477.515625,4533.74,190,950000,344.7652
191,4857.21,150.3926,-17402.287109375,4915.32,191,955000,337.142
192,4808.96,159.0332,-17719.302734375,4207.52,192,960000,342.5835
193,4290.97,170.2827,-17765.830078125,4558.63,193,965000,351.82
194,4733.16,164.2498,-17711.44921875,5113.79,194,970000,338.5951
195,4678.31,159.7087,-17776.267578125,4960.55,195,975000,339.6287
196,4441.01,151.2345,-17665.27734375,5143.94,196,980000,340.833
197,4972.35,153.9197,-17882.248046875,5174.21,197,985000,339.452
198,5049.29,153.9147,-17748.181640625,5065.74,198,990000,335.0106
199,4830.71,149.0562,-17802.685546875,5058.02,199,995000,340.256
200,5081.59,157.1498,-17977.5,5228.04,200,1000000,336.4803
201,4693.66,158.1255,-17860.322265625,5196.06,201,1005000,339.9718
202,5051.34,149.9991,-17809.7109375,5236.12,202,1010000,336.7138
203,4956.46,149.7893,-17965.755859375,4872.44,203,1015000,338.8015
204,4986.03,155.8437,-18021.033203125,5122.5,204,1020000,342.0866
205,4557.63,149.2137,-17886.87109375,5060.37,205,1025000,339.3679
206,4650.17,158.8252,-17998.6953125,4116.75,206,1030000,337.4546
207,4918.2,149.8221,-18032.701171875,4903.32,207,1035000,340.5638
208,5074.67,148.62,-17902.044921875,4297.28,208,1040000,337.8061
209,5078.46,157.3216,-18032.337890625,4427.58,209,1045000,340.7277
210,5031.84,157.1907,-18043.32421875,4796.9,210,1050000,342.6801
211,4964.65,153.3602,-18004.0703125,4630.58,211,1055000,337.4495
212,5043.43,151.0716,-18100.974609375,4181.52,212,1060000,340.293
213,5092.24,154.0487,-18139.78125,5107.71,213,1065000,340.3055
214,5070.9,161.4194,-18096.67578125,4911.73,214,1070000,339.7534
215,4954.94,155.2749,-18195.326171875,5197.0,215,1075000,343.6145
216,4791.4,158.4103,-18317.298828125,4844.61,216,1080000,341.4563
217,4857.82,161.0895,-18200.466796875,4714.81,217,1085000,347.3087
218,4960.45,159.3665,-18120.513671875,4904.54,218,1090000,342.0263
219,4960.34,162.5355,-18384.533203125,4836.9,219,1095000,344.2168
220,4782.01,161.9748,-18355.53515625,4867.95,220,1100000,342.1748
221,4678.84,167.5177,-18477.9921875,4804.29,221,1105000,352.5537
222,5086.11,160.7052,-18409.068359375,4108.69,222,1110000,342.3646
223,4830.19,172.0194,-18458.1953125,4907.07,223,1115000,349.6297
224,4768.88,153.0821,-18307.04296875,4352.69,224,1120000,337.4941
225,5126.81,152.6358,-18428.53515625,4795.38,225,1125000,334.1145
226,5068.33,163.4061,-18535.197265625,4575.24,226,1130000,341.9573
227,5107.9,154.6605,-18544.1484375,3933.19,227,1135000,338.2682
228,5045.06,152.7197,-18482.845703125,4013.76,228,1140000,339.4523
229,4933.56,159.9069,-18509.13671875,5165.68,229,1145000,337.9559
230,5052.12,163.6867,-18437.375,5237.2,230,1150000,343.068
231,4897.59,164.0246,-18441.197265625,4469.53,231,1155000,343.5626
232,4538.1,163.9581,-18415.048828125,5219.15,232,1160000,342.5286
233,5032.72,165.0582,-18292.8203125,5197.52,233,1165000,343.1572
234,4518.25,189.8409,-18262.439453125,4724.6,234,1170000,349.4056
235,2382.8,188.9408,-17628.88671875,3014.8,235,1175000,359.0388
236,4558.93,173.7099,-18419.767578125,3939.41,236,1180000,346.9298
237,2697.17,185.1382,-18196.453125,3316.52,237,1185000,349.7152
238,3372.83,173.1519,-18257.93359375,3479.75,238,1190000,347.7186
239,3038.81,184.1665,-18064.94921875,2887.22,239,1195000,348.0399
240,3480.51,186.138,-18278.6875,2498.39,240,1200000,351.7181
241,2420.35,209.9514,-18188.236328125,1973.68,241,1205000,357.6289
242,5106.39,147.3472,-18559.3671875,4055.56,242,1210000,334.4867
243,4171.13,166.9774,-18414.974609375,3565.93,243,1215000,339.654
244,4323.8,190.9913,-18536.4453125,3894.92,244,1220000,345.4667
245,4657.22,162.2016,-18653.927734375,3746.19,245,1225000,337.578
246,4340.66,181.2168,-18628.970703125,2846.96,246,1230000,339.7198
247,4597.88,159.9572,-18654.5859375,4698.27,247,1235000,335.1563
248,4514.66,159.9107,-18463.17578125,5161.94,248,1240000,333.8237
249,4857.75,175.2325,-18694.17578125,4789.32,249,1245000,340.7731
250,4430.02,162.8468,-18832.00390625,4706.12,250,1250000,339.5218
251,4841.7,169.6625,-18606.609375,5208.63,251,1255000,334.413
252,4883.11,159.3241,-18644.66015625,4091.36,252,1260000,331.8855
253,4164.43,179.6715,-18669.99609375,4269.15,253,1265000,338.9011
254,3963.19,159.1848,-18568.033203125,4588.87,254,1270000,334.2431
255,3106.71,228.0435,-18081.3984375,4546.25,255,1275000,344.3228
256,4130.67,160.7116,-18818.39453125,4183.97,256,1280000,334.7409
257,3322.18,231.4352,-18357.08203125,3992.82,257,1285000,346.8567
258,3139.86,356.6216,-17930.38671875,3059.16,258,1290000,350.949
259,3206.43,221.0563,-18055.732421875,1871.09,259,1295000,364.5582
260,1478.07,362.8869,-18354.759765625,1253.01,260,1300000,357.3541
261,1228.96,294.3173,-17786.28515625,860.71,261,1305000,378.0142
262,3480.1,181.7921,-18637.56640625,2251.54,262,1310000,326.1051
263,2802.32,217.7895,-18251.265625,2752.93,263,1315000,348.0388
264,2439.21,216.8988,-18192.037109375,2385.62,264,1320000,363.0557
265,3551.12,226.1377,-17819.748046875,3095.84,265,1325000,350.2899
266,1298.59,207.4122,-17964.67578125,670.46,266,1330000,356.5512
267,4404.85,144.6042,-18794.638671875,3507.4,267,1335000,334.0983
268,2747.23,211.0234,-18054.71875,2092.85,268,1340000,352.0328
269,1591.06,291.4501,-17414.287109375,1589.51,269,1345000,394.2211
270,2233.48,227.5344,-17869.208984375,1817.74,270,1350000,359.4455
271,4066.54,215.7718,-18417.43359375,4727.4,271,1355000,351.8238
272,2475.69,249.2305,-17860.927734375,2619.59,272,1360000,373.9085
273,4166.66,201.0267,-18630.419921875,4109.5,273,1365000,356.4072
274,813.42,348.3033,-18250.04296875,970.16,274,1370000,403.7036
275,1152.42,323.7375,-18152.0546875,841.81,275,1375000,405.482
276,974.31,483.7478,-18778.4765625,887.35,276,1380000,435.7381
277,826.48,561.1314,-19233.044921875,993.03,277,1385000,425.1906
278,425.16,562.8944,-18705.4453125,652.63,278,1390000,432.1371
279,621.05,364.2966,-17452.146484375,596.05,279,1395000,444.152
280,517.92,1200.1788,-18569.16796875,536.76,280,1400000,467.006
281,1162.31,1271.1559,-19172.37890625,1108.48,281,1405000,423.8053
282,1888.66,631.9596,-19240.6875,1662.81,282,1410000,422.0215
283,2072.14,645.9229,-18568.046875,1874.3,283,1415000,402.4205
284,1357.99,292.7297,-17490.162109375,1138.03,284,1420000,394.4548
285,1257.73,846.9812,-18891.982421875,1732.36,285,1425000,418.3468
286,2950.48,525.094,-18833.083984375,2013.63,286,1430000,375.2704
287,1989.56,619.3272,-19138.951171875,1354.99,287,1435000,413.242
288,1780.59,539.0783,-19101.25390625,1513.14,288,1440000,414.1688
289,1723.39,673.8353,-19372.478515625,1589.45,289,1445000,414.7688
290,1814.36,823.076,-19459.9609375,1456.25,290,1450000,404.5092
291,3069.71,1143.0959,-19115.326171875,2742.31,291,1455000,405.4311
292,349.82,1771.7977,-18782.2421875,277.36,292,1460000,527.3345
293,424.41,784.9736,-18187.568359375,555.26,293,1465000,522.3944
294,512.17,1438.1222,-18277.927734375,249.77,294,1470000,517.1038
295,375.24,370.3051,-17595.9765625,445.07,295,1475000,466.7662
296,2215.8,313.2386,-18000.451171875,1175.14,296,1480000,423.3083
297,3614.74,362.6698,-18873.728515625,1591.94,297,1485000,408.3614
298,2115.86,286.6657,-19034.990234375,2111.23,298,1490000,397.4567
299,3182.75,193.2524,-18177.021484375,2840.36,299,1495000,382.5083
300,1630.18,209.1879,-18266.482421875,2989.49,300,1500000,380.9029
301,829.51,303.9473,-17805.560546875,1015.7,301,1505000,433.7376
302,976.66,346.248,-18149.849609375,1139.44,302,1510000,457.7898
303,1021.65,380.5963,-18487.099609375,1144.01,303,1515000,448.6543
304,1120.98,337.4388,-18316.466796875,351.65,304,1520000,449.6841
305,1489.06,326.6927,-18020.685546875,1667.58,305,1525000,432.5987
306,1532.92,257.6407,-17947.017578125,1262.15,306,1530000,424.0867
307,1914.38,239.2949,-18855.75390625,2117.49,307,1535000,419.3733
308,1646.97,255.859,-17317.287109375,999.18,308,1540000,449.401
309,217.76,288.9111,-17491.3203125,552.27,309,1545000,455.1367
310,512.27,316.8425,-17580.005859375,489.23,310,1550000,498.9842
311,930.36,310.3473,-18208.517578125,536.25,311,1555000,507.8977
312,860.3,908.7796,-18846.84765625,1336.09,312,1560000,445.9904
313,1165.6,353.9704,-18050.224609375,1946.27,313,1565000,459.1774
314,2067.58,303.668,-18968.630859375,2206.15,314,1570000,432.0384
315,1978.39,342.7079,-18499.28125,1897.49,315,1575000,431.3155
316,1692.53,311.9904,-18641.158203125,1388.44,316,1580000,434.1539
317,1391.37,328.2984,-18465.5234375,1459.6,317,1585000,436.4197
318,968.75,334.3531,-18164.505859375,965.15,318,1590000,476.4124
319,778.0,382.4628,-18217.177734375,904.76,319,1595000,445.9645
320,784.03,333.1262,-18273.44921875,668.52,320,1600000,453.6817
321,1011.52,382.3575,-18608.126953125,780.12,321,1605000,470.1275
322,818.68,520.1448,-18582.09375,841.49,322,1610000,475.8642
323,531.22,356.6467,-18106.130859375,816.51,323,1615000,463.1946
324,579.53,933.5926,-18931.92578125,668.46,324,1620000,463.5918
325,870.12,463.6516,-18374.748046875,481.49,325,1625000,493.8538
326,437.06,766.8345,-18604.0234375,547.95,326,1630000,477.4771
327,578.55,896.2222,-18890.892578125,546.61,327,1635000,469.2894
328,654.95,345.5558,-18189.95703125,811.84,328,1640000,480.1167
329,774.91,286.5814,-18526.146484375,971.13,329,1645000,448.1201
330,799.37,435.696,-19075.138671875,1047.7,330,1650000,473.1893
331,754.65,326.1584,-18488.591796875,911.93,331,1655000,480.5588
332,1072.11,485.5528,-18920.61328125,923.71,332,1660000,469.2632
333,2005.79,307.5515,-18539.927734375,1363.38,333,1665000,449.3429
334,2076.31,234.8429,-18710.728515625,1446.09,334,1670000,413.4784
335,1474.33,277.4451,-17725.26171875,1125.73,335,1675000,438.0754
336,1704.87,224.972,-18256.24609375,1882.36,336,1680000,436.6208
337,1423.26,293.6974,-18295.3984375,1749.29,337,1685000,452.2017
338,2048.62,216.0056,-18372.8984375,2779.51,338,1690000,423.4375
339,1137.62,288.5898,-18752.796875,1292.36,339,1695000,435.8449
340,1327.43,232.5252,-18478.4765625,1266.11,340,1700000,438.9039
341,1782.47,225.7595,-17867.583984375,2398.68,341,1705000,431.7368
342,1653.34,354.2149,-18904.185546875,1460.16,342,1710000,453.2939
343,814.02,306.1512,-18626.171875,955.54,343,1715000,448.9138
344,960.1,398.8745,-18943.00390625,575.77,344,1720000,462.9663
345,744.9,290.7464,-18737.59375,691.52,345,1725000,441.3309
346,730.07,345.5138,-18841.4921875,1073.94,346,1730000,449.8267
347,966.76,437.7904,-18657.484375,1120.06,347,1735000,466.6754
348,653.83,599.178,-18870.001953125,462.76,348,1740000,486.5906
349,556.78,391.3032,-19023.921875,517.97,349,1745000,520.4005
350,524.09,340.6789,-18628.208984375,499.76,350,1750000,487.63
351,573.63,493.3965,-18709.091796875,472.68,351,1755000,505.593
352,544.25,390.9792,-18166.83984375,414.31,352,1760000,494.6228
353,394.68,506.7502,-18880.759765625,378.21,353,1765000,496.0038
354,384.2,373.0382,-18438.6015625,527.16,354,1770000,512.8069
355,277.05,405.9994,-18748.44921875,306.9,355,1775000,534.0776
356,279.8,1480.9502,-19414.5546875,322.42,356,1780000,640.4386
357,284.18,1039.0883,-19182.466796875,480.52,357,1785000,515.5647
358,171.85,1168.8467,-19012.5390625,171.22,358,1790000,575.9752
359,497.0,1297.3104,-19080.341796875,448.9,359,1795000,505.3234
360,182.66,2269.8302,-19437.02734375,183.53,360,1800000,572.4948
361,212.26,1506.3571,-19071.75,219.61,361,1805000,553.2529
362,159.28,1063.9366,-19060.568359375,154.66,362,1810000,623.456
363,236.28,1750.4581,-19310.505859375,235.72,363,1815000,531.211
364,197.7,614.6738,-19253.626953125,174.01,364,1820000,529.4265
365,204.95,2531.1862,-19480.470703125,145.31,365,1825000,626.1079
366,110.88,833.5963,-19349.2109375,115.93,366,1830000,581.0329
367,101.85,1026.0875,-19291.51953125,88.49,367,1835000,627.5667
368,105.95,1612.4406,-19219.142578125,104.9,368,1840000,605.1355
369,85.4,1579.3458,-19161.5859375,85.32,369,1845000,651.371
370,75.51,662.7064,-19170.02734375,74.36,370,1850000,624.4348
371,72.26,701.443,-19019.671875,72.19,371,1855000,691.6797
372,75.01,566.8584,-19047.65625,76.31,372,1860000,664.631
373,71.93,1786.8165,-19511.5546875,72.21,373,1865000,683.484
374,70.82,1234.9958,-18815.177734375,70.81,374,1870000,634.1267
375,70.57,3077.3444,-19658.673828125,70.55,375,1875000,706.4992
376,71.54,2293.0738,-19430.888671875,71.79,376,1880000,682.6948
377,68.91,933.9353,-18297.25,67.7,377,1885000,632.553
378,69.86,1985.3272,-19622.513671875,69.62,378,1890000,684.7589
379,67.56,2110.3772,-19521.259765625,66.63,379,1895000,688.4882
380,65.46,3014.5432,-19579.2734375,64.99,380,1900000,718.443
381,68.21,1943.5795,-19612.5,68.87,381,1905000,682.6131
382,70.82,2641.1765,-19592.30078125,70.4,382,1910000,712.8071
383,67.93,1036.7972,-18921.16015625,67.73,383,1915000,627.0448
384,69.33,1178.4236,-19074.630859375,67.52,384,1920000,641.7838
385,70.86,927.1893,-19577.591796875,71.32,385,1925000,721.704
386,71.11,1758.3129,-19654.916015625,71.1,386,1930000,720.5367
387,69.41,1539.8668,-19067.78125,69.88,387,1935000,663.2104
388,69.85,472.0795,-18405.681640625,69.6,388,1940000,624.9693
389,70.16,2245.5729,-19586.322265625,70.49,389,1945000,670.6601
390,68.92,1098.3081,-17736.30859375,68.5,390,1950000,686.5
391,68.34,610.7418,-19236.83984375,68.33,391,1955000,636.1178
392,69.55,705.4179,-18460.73828125,69.85,392,1960000,636.0948
393,68.37,522.618,-18567.255859375,68.62,393,1965000,655.0114
394,70.14,1008.3707,-19280.916015625,73.7,394,1970000,625.6556
395,67.24,1323.222,-18727.11328125,69.37,395,1975000,596.5263
396,68.64,1218.1021,-19200.748046875,67.66,396,1980000,620.994
397,69.82,1271.6723,-19519.119140625,71.22,397,1985000,685.6906
