Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return,Itration,Reward Loss
190000,36.9402,1702.3,47.0787,38,2747.8,38,-2224.5224609375
195000,32.5992,2397.5,46.8408,39,2904.97,39,-2030.4219970703125
200000,33.0104,1999.17,46.9557,40,3144.66,40,-2267.19921875
205000,29.047,1480.27,46.7143,41,2415.25,41,-2390.26416015625
210000,29.2822,1393.26,47.0985,42,1839.61,42,-2536.6240234375
215000,29.2151,1878.74,47.242,43,2994.58,43,-2376.36669921875
220000,27.3653,1636.39,47.6939,44,1562.76,44,-2739.404052734375
225000,20.3312,1546.01,46.7951,45,2131.83,45,-2611.365478515625
230000,25.6473,1739.38,46.9788,46,2162.81,46,-2612.5126953125
235000,23.7165,1581.37,46.8981,47,2655.74,47,-3134.594482421875
240000,16.1914,1497.87,46.7506,48,1906.89,48,-2899.5859375
245000,17.7297,1887.47,46.8563,49,2502.29,49,-2837.679931640625
250000,22.9591,1747.3,47.2887,50,2339.73,50,-2554.133544921875
255000,19.5956,1937.6,47.2551,51,3135.0,51,-2841.14794921875
260000,19.9029,1988.77,46.7785,52,3089.02,52,-2901.4365234375
265000,24.446,1733.03,47.2287,53,2093.66,53,-3063.384765625
270000,22.8578,2230.45,46.5475,54,3172.46,54,-3052.124755859375
275000,18.1772,2064.07,46.3826,55,2682.22,55,-3295.830322265625
280000,26.1895,1690.37,46.7161,56,1366.12,56,-2967.331787109375
285000,19.4037,2188.79,46.7982,57,3063.77,57,-2995.202392578125
290000,17.9013,2633.1,46.0763,58,3349.83,58,-3150.900634765625
295000,27.1214,1941.81,46.9798,59,3299.39,59,-3274.61669921875
300000,19.7019,2421.87,46.7277,60,2958.0,60,-3469.66943359375
305000,20.1612,1932.98,46.5326,61,3125.76,61,-3051.201904296875
310000,23.5788,3069.9,46.6147,62,3425.11,62,-2271.521240234375
315000,20.7572,2400.79,46.78,63,3116.16,63,-2919.689453125
320000,31.2651,2647.01,46.4721,64,3456.53,64,-3033.186279296875
325000,26.0422,2229.74,46.7105,65,3411.58,65,-3467.624267578125
330000,20.9984,2543.5,46.4774,66,3219.32,66,-3111.080078125
335000,20.2163,2546.16,46.2231,67,3461.57,67,-3125.2490234375
340000,20.3755,2974.27,46.2676,68,3529.86,68,-2795.566650390625
345000,21.6084,2971.39,46.5899,69,3608.88,69,-2912.0791015625
350000,19.3104,2138.93,46.5958,70,3270.56,70,-3841.06103515625
355000,21.2582,3038.12,46.3991,71,3526.07,71,-2981.578369140625
360000,22.4199,3114.71,46.8503,72,3579.14,72,-2810.941650390625
365000,21.6645,2795.47,46.3506,73,3604.71,73,-3009.02392578125
370000,22.7164,2725.9,46.2044,74,3626.1,74,-3393.74169921875
375000,24.1511,2897.44,46.1891,75,3689.81,75,-3511.8896484375
380000,24.5863,2391.59,45.9654,76,3538.09,76,-3961.541015625
385000,22.6853,2650.58,45.753,77,3645.71,77,-4289.47705078125
390000,26.5326,2472.18,46.5407,78,3607.61,78,-3481.074462890625
395000,20.4537,2621.77,46.5646,79,3595.31,79,-3574.349365234375
400000,19.697,3102.71,46.2769,80,3327.44,80,-3476.109130859375
405000,25.0144,2838.19,46.3086,81,3623.96,81,-3704.01220703125
410000,21.2343,3183.57,46.3316,82,3756.32,82,-3644.396240234375
415000,21.1188,3410.09,46.5199,83,3514.4,83,-3036.158447265625
420000,21.4936,2649.18,46.1752,84,3645.0,84,-3736.395751953125
425000,19.8423,3274.54,46.5515,85,3534.87,85,-3486.451904296875
430000,21.2421,3345.38,46.2971,86,3554.58,86,-3279.970458984375
435000,21.5483,2904.39,46.6516,87,3692.12,87,-4093.678955078125
440000,19.9025,3294.7,46.0705,88,3667.0,88,-3353.33447265625
445000,19.6968,3323.56,45.8597,89,3624.83,89,-3784.51806640625
450000,21.6384,3347.61,46.6995,90,3659.15,90,-3558.601806640625
455000,20.5023,3145.78,45.8392,91,3685.64,91,-3546.3046875
460000,17.2268,2884.85,45.5157,92,3687.38,92,-4430.857421875
465000,19.4536,3390.62,46.0232,93,3347.03,93,-3686.484619140625
470000,22.0624,2959.66,46.6814,94,3673.62,94,-4362.408203125
475000,21.8027,3408.35,45.853,95,3728.93,95,-3491.50830078125
480000,17.7811,2791.69,45.6538,96,3789.33,96,-4539.25732421875
485000,20.7746,3434.0,46.2847,97,3414.79,97,-3894.259033203125
490000,20.9852,3176.17,46.3061,98,3731.8,98,-4201.337890625
495000,22.6589,2918.09,45.4676,99,3478.93,99,-4321.623046875
500000,21.307,3492.1,46.2043,100,3661.52,100,-3775.501953125
505000,20.4327,3322.0,46.0561,101,3570.44,101,-4284.94677734375
510000,31.8461,3417.03,46.3487,102,3573.95,102,-4856.162109375
515000,20.8784,3400.69,45.5619,103,3469.3,103,-4022.30322265625
520000,21.1262,3514.24,45.7203,104,3401.05,104,-4390.68017578125
525000,19.5431,3066.55,46.007,105,3660.18,105,-5172.791015625
530000,22.2395,3637.2,45.4679,106,3689.22,106,-4973.27294921875
535000,20.8873,3527.11,45.6775,107,3359.02,107,-4134.49072265625
540000,17.9084,3504.12,45.4212,108,3591.5,108,-4558.94580078125
545000,19.3093,3523.84,45.7877,109,3439.73,109,-4182.45556640625
550000,19.8801,3479.98,45.7388,110,3454.45,110,-4269.7822265625
555000,19.0061,3015.08,45.2381,111,3805.55,111,-4824.96044921875
560000,18.227,2814.72,45.8528,112,3697.94,112,-5440.09912109375
565000,19.4443,3338.0,45.9178,113,3739.93,113,-4763.865234375
570000,19.709,3194.43,46.0052,114,3512.27,114,-4652.83935546875
575000,19.47,3121.13,45.0658,115,3768.2,115,-4685.11376953125
580000,20.2589,3574.13,45.6559,116,3498.98,116,-4412.24462890625
585000,16.9392,3152.97,45.5061,117,3667.53,117,-5223.13916015625
590000,20.8824,3115.3,45.7784,118,3779.15,118,-5246.6806640625
595000,19.4652,3061.63,45.3984,119,3522.36,119,-4914.6962890625
600000,19.9457,3298.57,45.4444,120,3793.71,120,-5280.9189453125
605000,17.7318,3240.15,45.0591,121,3708.3,121,-4904.1357421875
610000,18.2016,3075.06,45.3329,122,3839.69,122,-5157.4052734375
615000,17.796,3196.91,45.7529,123,3780.62,123,-5215.8818359375
620000,20.3265,3305.88,45.6205,124,3694.26,124,-5212.72314453125
625000,18.8687,3061.49,45.9864,125,3530.98,125,-5787.7587890625
630000,21.2001,3269.35,45.7779,126,3594.39,126,-5738.22265625
635000,17.3612,2769.63,45.9842,127,3043.72,127,-6184.552734375
640000,18.0017,2844.48,45.3615,128,3822.5,128,-5614.29931640625
645000,20.4423,3137.48,45.7434,129,3436.45,129,-6314.99853515625
650000,18.7498,3289.38,45.4059,130,3350.66,130,-5262.6201171875
655000,19.8847,2946.02,45.7915,131,3705.51,131,-5256.19677734375
660000,18.2945,3143.81,45.6224,132,3627.41,132,-5865.64208984375
665000,20.4032,3255.62,44.8062,133,3786.05,133,-6234.904296875
670000,21.8732,3424.03,45.4807,134,3413.36,134,-6325.18408203125
675000,16.4382,2910.86,45.1093,135,3539.51,135,-6761.994140625
680000,22.6909,2677.92,45.7863,136,2601.93,136,-7358.3779296875
685000,21.8053,3630.77,45.817,137,3733.27,137,-6268.12744140625
690000,17.0761,3109.03,45.332,138,3645.19,138,-6245.50146484375
695000,17.974,3622.62,44.9232,139,3476.42,139,-5650.919921875
700000,18.9904,3360.89,45.3319,140,3707.1,140,-6175.48291015625
705000,16.5595,2691.28,45.9231,141,3403.84,141,-6616.443359375
710000,18.8951,3625.73,45.487,142,3589.22,142,-5911.3994140625
715000,18.3688,3184.35,45.6771,143,3620.34,143,-6434.18359375
720000,17.3428,3728.81,45.1877,144,3533.11,144,-6284.2392578125
725000,20.9062,3115.49,45.5693,145,3904.56,145,-6428.06982421875
730000,20.3031,3398.37,45.3402,146,3741.5,146,-5931.0849609375
735000,18.0715,3304.48,45.3692,147,3572.78,147,-6152.3740234375
740000,18.6921,3346.19,45.259,148,3555.92,148,-6203.0947265625
745000,19.2869,3622.7,45.384,149,3394.16,149,-6164.14892578125
750000,17.9542,3561.65,45.0244,150,3666.43,150,-6491.30810546875
755000,19.1783,3419.8,45.3639,151,3690.33,151,-6392.46923828125
760000,18.1774,3440.79,45.1222,152,3632.72,152,-6580.18359375
765000,18.3454,3655.39,44.9313,153,3835.69,153,-6399.15576171875
770000,18.7528,3425.16,45.1329,154,3723.65,154,-6514.83447265625
775000,18.7788,3236.15,44.99,155,3687.72,155,-6090.0673828125
780000,17.6433,3609.54,45.0602,156,3730.39,156,-6591.80810546875
785000,17.6717,3455.65,45.1129,157,3636.46,157,-6556.60302734375
790000,18.6657,3503.63,44.8842,158,3585.18,158,-6558.90771484375
795000,18.3511,3343.73,45.2013,159,3719.32,159,-6860.2939453125
800000,18.3373,3188.86,44.9425,160,3605.12,160,-7696.00146484375
805000,20.1886,3171.23,45.5852,161,3794.3,161,-6961.63671875
810000,17.3654,3703.87,45.2814,162,3643.5,162,-6854.64794921875
815000,17.2785,3281.54,44.5967,163,3714.51,163,-7092.8544921875
820000,17.1003,3549.77,45.1553,164,3776.31,164,-7160.25439453125
825000,17.9213,3202.44,44.9722,165,3704.68,165,-6573.41357421875
830000,18.8988,3342.99,45.0916,166,3897.26,166,-7165.95849609375
835000,18.8898,3362.15,44.497,167,3850.72,167,-7576.8857421875
840000,17.2715,3479.04,44.5895,168,3649.59,168,-7206.25244140625
845000,17.4354,3287.63,45.1697,169,3631.9,169,-7346.51416015625
850000,18.8016,3198.94,44.8766,170,3675.08,170,-7694.32470703125
855000,18.6431,3656.99,44.7412,171,3673.27,171,-6916.810546875
860000,17.8003,2750.21,45.0428,172,3903.26,172,-7838.66357421875
865000,18.8693,3372.43,45.0026,173,3809.23,173,-6930.904296875
870000,18.4591,3490.89,44.8281,174,3847.59,174,-8003.0576171875
875000,16.2118,3474.52,44.8837,175,3576.42,175,-7936.07568359375
880000,17.1727,3378.95,44.8432,176,3923.75,176,-7758.3818359375
885000,17.6542,3422.67,45.3321,177,3521.72,177,-8000.35986328125
890000,18.3938,3677.11,44.6142,178,3695.6,178,-7416.28759765625
895000,18.0663,3403.04,44.7996,179,3757.37,179,-8020.07421875
900000,18.6038,3503.62,44.553,180,3696.77,180,-7414.8798828125
905000,17.3896,3576.68,44.6934,181,3466.11,181,-7750.75537109375
910000,17.1947,3165.65,44.8047,182,3748.37,182,-8089.72265625
915000,17.9451,3655.16,45.2279,183,3758.69,183,-8180.021484375
920000,18.0344,3519.14,44.498,184,3718.09,184,-7745.62646484375
925000,17.4598,3494.7,45.0566,185,3728.43,185,-8192.7099609375
930000,17.2442,3317.97,45.0112,186,3757.44,186,-8654.85546875
935000,18.6424,3285.12,45.2489,187,3825.47,187,-8206.5498046875
940000,19.5939,3406.37,45.1098,188,3793.4,188,-8757.6923828125
945000,17.9536,3133.61,44.7388,189,3559.47,189,-8482.0341796875
950000,19.1268,3349.91,44.7106,190,3796.44,190,-7977.60888671875
955000,18.6214,3463.41,45.1057,191,3725.87,191,-8134.4501953125
960000,16.887,3024.14,45.5296,192,3849.5,192,-9369.1845703125
965000,17.0714,3003.39,45.0411,193,3839.4,193,-9218.8671875
970000,18.3446,3380.15,44.9581,194,3776.39,194,-8480.689453125
975000,18.3593,3382.23,44.6421,195,3832.24,195,-8933.8095703125
980000,17.8051,3606.33,44.8613,196,3478.71,196,-8493.728515625
985000,18.6484,3686.05,45.0455,197,3682.32,197,-9721.3134765625
990000,18.024,3382.61,45.0674,198,3751.23,198,-9323.36328125
995000,16.7054,3318.17,44.9994,199,3752.36,199,-9395.6767578125
1000000,15.7813,3448.97,45.1803,200,3721.85,200,-9887.6962890625
1005000,16.102,3535.79,45.3752,201,3480.82,201,-10197.7685546875
1010000,17.5089,2932.84,44.9959,202,3799.62,202,-9499.5029296875
1015000,17.5568,3417.91,44.7513,203,3493.07,203,-9207.98046875
1020000,17.1576,3158.78,44.6548,204,3753.81,204,-9515.8251953125
1025000,16.3222,3389.12,44.9182,205,3694.45,205,-9919.7861328125
1030000,16.9766,3453.2,44.9334,206,3686.51,206,-9708.0947265625
1035000,15.9753,3341.67,45.3689,207,3426.54,207,-10092.16796875
1040000,17.64,3449.46,44.9004,208,3722.63,208,-9316.0361328125
1045000,18.8099,3159.52,44.6673,209,3676.72,209,-10177.166015625
1050000,17.8684,3596.14,44.6076,210,3732.44,210,-9480.0751953125
1055000,17.9801,3831.8,44.7475,211,3740.3,211,-9692.087890625
1060000,16.6642,3159.93,44.8313,212,3681.95,212,-10140.1328125
1065000,17.2937,3512.98,44.673,213,3726.49,213,-9923.791015625
1070000,18.2467,3243.02,45.26,214,3815.96,214,-10099.8876953125
1075000,16.6694,3226.86,44.9411,215,3790.42,215,-9980.87890625
1080000,15.6014,3272.29,45.0994,216,3754.27,216,-10697.3876953125
1085000,16.8302,3344.82,45.1331,217,3796.33,217,-10365.7177734375
1090000,17.0615,3298.2,45.1524,218,3790.57,218,-10687.2685546875
1095000,16.4151,3471.53,44.8172,219,3734.57,219,-10285.63671875
1100000,17.1901,2807.11,44.9131,220,3762.73,220,-10546.48046875
1105000,19.2425,3088.33,45.1148,221,3760.06,221,-9929.091796875
1110000,17.4597,3312.51,44.6816,222,3741.34,222,-10409.236328125
1115000,16.5246,3350.95,44.8286,223,3729.59,223,-10792.86328125
1120000,16.9731,3517.97,44.7806,224,3699.44,224,-10916.4326171875
1125000,17.6564,3149.3,44.3599,225,3598.6,225,-10530.96484375
1130000,16.6674,2973.68,45.1325,226,3743.91,226,-11303.251953125
1135000,17.4234,3150.01,44.6715,227,3778.8,227,-11147.52734375
1140000,18.0916,2995.24,44.9197,228,3697.15,228,-11482.2412109375
1145000,19.3535,2968.82,44.619,229,3764.67,229,-11469.458984375
1150000,19.3403,3365.53,44.9688,230,3834.27,230,-11131.38671875
1155000,18.4959,3432.71,44.7457,231,3835.51,231,-11049.2314453125
1160000,20.5703,3318.24,45.0258,232,3779.18,232,-11240.7802734375
1165000,20.2853,3179.44,44.9232,233,3661.71,233,-11525.5078125
1170000,17.4598,3361.08,44.6935,234,3786.39,234,-11158.9970703125
1175000,18.6246,3084.45,44.7737,235,3745.63,235,-11296.0107421875
1180000,17.6116,3492.73,44.8379,236,3629.13,236,-11498.0673828125
1185000,19.5608,3286.67,45.2715,237,3672.11,237,-11625.8623046875
1190000,18.3383,3415.55,45.2103,238,3775.73,238,-11180.134765625
1195000,17.8437,3277.09,44.8251,239,3629.95,239,-11722.64453125
1200000,17.3966,3479.91,44.7658,240,3645.37,240,-12403.041015625
1205000,17.1021,3319.45,44.7145,241,3646.19,241,-11930.4736328125
1210000,18.2584,3708.24,44.7874,242,3680.7,242,-11783.6220703125
1215000,18.6029,3619.34,44.7567,243,3596.42,243,-11820.0439453125
1220000,18.4714,3266.33,44.624,244,3741.68,244,-11971.0107421875
1225000,18.7534,3319.59,44.7956,245,3739.32,245,-11956.2666015625
1230000,17.6973,3278.43,44.6589,246,3669.79,246,-12628.6181640625
1235000,17.4769,2962.71,44.8806,247,3833.6,247,-12518.4267578125
1240000,18.1219,3564.83,44.966,248,3677.46,248,-12305.4482421875
1245000,17.0695,3019.93,45.1669,249,3716.27,249,-12831.865234375
1250000,19.3195,3460.81,44.6038,250,3822.64,250,-13179.130859375
1255000,18.0523,3573.0,44.7927,251,3862.12,251,-12304.837890625
1260000,17.1746,3447.36,44.7137,252,3654.51,252,-13071.0224609375
1265000,17.6777,3335.69,45.0184,253,3719.59,253,-12934.0859375
1270000,17.4386,3643.88,44.7754,254,3676.29,254,-13064.294921875
1275000,18.4246,3318.05,44.6424,255,3710.36,255,-12652.47265625
1280000,17.368,3446.13,44.7629,256,3687.88,256,-12969.6953125
1285000,18.5271,3124.7,44.7292,257,3779.46,257,-13023.6650390625
1290000,19.502,3328.13,44.7608,258,3619.1,258,-13160.5537109375
1295000,17.7717,3096.65,44.8078,259,3855.14,259,-13881.6884765625
1300000,18.9069,3309.46,44.633,260,3752.19,260,-13443.0234375
1305000,17.4385,3360.61,44.8622,261,3726.01,261,-14087.0107421875
1310000,18.6611,3340.71,44.805,262,3785.0,262,-13337.552734375
1315000,18.3526,3515.54,44.8039,263,3852.95,263,-13592.572265625
1320000,19.0517,3517.69,44.6709,264,3834.04,264,-13709.3935546875
1325000,18.8212,3357.15,44.6833,265,3852.07,265,-13574.9755859375
1330000,17.7073,3501.63,44.8342,266,3788.27,266,-13412.2783203125
1335000,21.4275,2894.21,45.0545,267,3761.21,267,-15056.2041015625
1340000,19.3131,3211.04,44.8784,268,3722.92,268,-14117.28125
1345000,20.671,3438.98,44.8597,269,3579.8,269,-14579.400390625
1350000,18.6268,3493.84,44.6905,270,3777.7,270,-14203.5
1355000,19.3703,3505.77,45.2837,271,3791.68,271,-15024.140625
1360000,21.9663,3629.58,44.9921,272,3793.97,272,-14286.912109375
1365000,18.2955,3469.21,45.002,273,3565.5,273,-14368.71875
1370000,18.1373,3378.94,45.1718,274,3851.79,274,-14838.2509765625
1375000,17.6467,3545.42,44.8692,275,3538.82,275,-14719.6015625
1380000,17.7673,3063.82,45.0783,276,3734.69,276,-14919.36328125
1385000,18.5059,3296.04,44.5136,277,3749.41,277,-15260.1201171875
1390000,17.7673,3729.91,44.5157,278,3722.89,278,-14722.349609375
1395000,18.6383,3533.68,44.7332,279,3643.02,279,-15308.751953125
1400000,17.4332,3265.13,44.7789,280,3622.76,280,-15136.0390625
1405000,17.2476,3425.34,44.5392,281,3678.44,281,-15445.6220703125
1410000,18.01,3415.34,44.7971,282,3775.81,282,-15420.4931640625
1415000,18.1032,3356.94,44.5878,283,3658.62,283,-15368.3017578125
1420000,19.4341,3200.45,45.184,284,3776.14,284,-16176.603515625
1425000,19.2161,3424.0,45.4257,285,3851.62,285,-15746.341796875
1430000,17.4493,3201.06,44.7437,286,3550.8,286,-15797.2666015625
1435000,16.6127,3556.37,45.0677,287,3773.58,287,-16506.587890625
1440000,16.7306,3509.19,44.8735,288,3816.19,288,-16470.94921875
1445000,17.6651,3549.76,45.1582,289,3799.65,289,-16253.05078125
1450000,16.3914,2946.41,45.125,290,3785.73,290,-16493.13671875
1455000,17.6643,3287.0,44.476,291,3744.09,291,-15988.4853515625
1460000,17.1597,3415.41,44.6232,292,3701.4,292,-16274.2724609375
1465000,15.9166,3329.98,44.4229,293,3649.35,293,-16732.4140625
1470000,18.3786,3104.21,45.0517,294,3747.44,294,-16555.8203125
1475000,18.0089,3314.61,44.7615,295,3715.44,295,-17120.34765625
1480000,18.2139,3511.4,44.5203,296,3720.85,296,-16290.919921875
1485000,17.885,3462.19,44.5869,297,3709.39,297,-17022.296875
1490000,17.7955,3485.02,44.8019,298,3623.43,298,-16946.630859375
1495000,17.0884,3138.64,44.8389,299,3806.34,299,-17334.05078125
1500000,17.499,3331.42,44.6347,300,3793.64,300,-17091.701171875
1505000,16.9953,3539.97,44.6413,301,3801.64,301,-16938.19140625
1510000,16.8397,3332.65,44.7455,302,3689.15,302,-17241.56640625
1515000,17.1486,3504.18,44.953,303,3723.69,303,-18070.275390625
1520000,17.0432,3588.58,44.5378,304,3846.5,304,-17639.416015625
1525000,17.4143,3531.42,44.5286,305,3713.61,305,-17988.5390625
1530000,17.6689,2745.43,44.7572,306,3632.77,306,-17435.2578125
1535000,17.8405,3225.94,44.5336,307,3807.87,307,-18047.49609375
1540000,18.1342,3311.16,44.7971,308,3826.73,308,-18232.15234375
1545000,16.3066,3668.99,44.6789,309,3594.72,309,-18374.671875
1550000,18.0866,2801.22,44.9439,310,3892.83,310,-19427.40234375
1555000,16.5154,3394.63,44.8699,311,3724.71,311,-18606.423828125
1560000,15.4454,3466.91,44.4738,312,3745.26,312,-19287.076171875
1565000,17.1023,3213.62,44.7022,313,3839.12,313,-18827.84765625
1570000,16.5874,3544.28,44.6546,314,3916.92,314,-18583.07421875
1575000,15.9973,3170.92,44.9668,315,3792.86,315,-19184.142578125
1580000,16.9187,3360.41,44.8278,316,3941.91,316,-19803.96875
1585000,17.2105,3539.16,44.6126,317,3846.43,317,-19145.404296875
1590000,17.792,3410.72,44.6508,318,3789.14,318,-18524.236328125
1595000,17.373,3120.26,44.8324,319,3920.58,319,-19469.751953125
1600000,16.4612,3480.52,44.7708,320,3727.57,320,-19487.29296875
1605000,17.0672,3555.71,44.8204,321,3933.95,321,-19593.837890625
1610000,14.9998,3134.22,44.9035,322,3930.32,322,-20874.671875
1615000,16.2454,3451.27,44.4286,323,3943.87,323,-19971.162109375
1620000,16.7185,3322.21,44.5704,324,3901.69,324,-19611.83203125
1625000,17.3404,3483.88,44.7118,325,3896.61,325,-19942.03125
1630000,16.6373,3510.51,44.4394,326,3863.98,326,-19730.03515625
1635000,16.6545,3467.04,44.66,327,3889.21,327,-20567.20703125
1640000,16.2551,3584.64,44.4039,328,3915.3,328,-20750.14453125
1645000,16.3667,3359.34,44.5915,329,3871.13,329,-20941.02734375
1650000,17.5849,3371.5,44.4613,330,3735.74,330,-20245.00390625
1655000,16.8546,3259.89,44.6102,331,3908.44,331,-20703.580078125
1660000,16.468,3405.81,44.7441,332,3873.53,332,-20686.353515625
1665000,17.434,3315.51,44.7912,333,3713.59,333,-21112.72265625
1670000,16.7737,3532.15,44.391,334,3655.35,334,-21390.421875
1675000,17.4626,3506.55,44.7809,335,3826.97,335,-20987.859375
1680000,17.6864,3632.8,44.4923,336,3730.22,336,-21076.07421875
1685000,16.9428,3638.72,44.3481,337,3895.1,337,-21227.298828125
1690000,17.0206,3610.53,44.6372,338,3771.75,338,-21369.703125
1695000,16.637,3583.06,44.6972,339,3895.55,339,-21574.794921875
1700000,16.5244,3302.61,44.9263,340,3821.66,340,-22193.201171875
1705000,16.2432,3558.16,44.5658,341,3934.87,341,-22340.763671875
1710000,16.6764,3549.71,44.6496,342,3892.49,342,-22430.337890625
1715000,16.3037,3812.08,44.7381,343,3944.88,343,-22965.1875
1720000,18.0003,3452.27,44.5044,344,3923.82,344,-21869.861328125
1725000,17.5373,3546.17,44.4492,345,3941.82,345,-22589.990234375
1730000,17.2621,3581.67,44.6155,346,3942.6,346,-22889.890625
1735000,15.9412,3286.33,44.5073,347,3915.06,347,-23781.93359375
1740000,16.7351,3436.51,44.4635,348,3916.21,348,-23128.318359375
1745000,16.4052,3483.11,44.5686,349,3840.04,349,-23409.623046875
1750000,17.4608,3728.03,44.535,350,3788.44,350,-23135.8515625
1755000,16.9401,3287.18,44.3419,351,3953.64,351,-23468.474609375
1760000,17.1159,3723.16,44.7119,352,3944.43,352,-23679.96484375
1765000,17.2754,3527.85,44.5039,353,3924.84,353,-23730.642578125
1770000,17.3901,3773.5,44.726,354,3888.64,354,-23738.533203125
1775000,16.9864,3646.26,44.6725,355,3627.16,355,-24567.587890625
1780000,17.3687,3607.73,44.7029,356,3821.34,356,-24492.091796875
1785000,17.5367,3615.05,44.4601,357,3895.47,357,-24345.595703125
1790000,16.4202,3392.67,44.3184,358,3815.07,358,-25290.0
1795000,17.7883,3822.97,44.6029,359,3610.16,359,-25420.40234375
1800000,15.6004,3200.52,44.4261,360,3838.98,360,-26202.677734375
1805000,18.4245,3728.44,44.3677,361,3872.12,361,-24621.833984375
1810000,17.2763,3788.79,44.599,362,3900.54,362,-25685.998046875
1815000,16.9844,3490.72,44.5209,363,3906.13,363,-25327.64453125
1820000,16.6759,3374.02,44.6462,364,3924.48,364,-26333.849609375
1825000,18.1653,3476.94,44.7475,365,3827.83,365,-25361.7421875
1830000,16.9427,3493.17,44.609,366,3937.43,366,-26336.521484375
1835000,17.6925,3745.97,44.3575,367,3809.76,367,-25429.38671875
1840000,18.0841,3736.58,44.6306,368,3680.81,368,-25775.177734375
1845000,18.2641,3655.99,44.5877,369,3622.95,369,-25401.46875
1850000,17.3915,3335.17,44.4806,370,3796.82,370,-26175.865234375
1855000,17.5831,3813.37,44.5792,371,3834.32,371,-26400.677734375
1860000,18.0764,3111.79,44.7693,372,3916.59,372,-26061.0234375
1865000,18.2942,3687.41,44.5792,373,3896.17,373,-25890.630859375
1870000,16.3067,2869.38,44.5888,374,3895.22,374,-27685.306640625
1875000,18.0334,3479.51,44.4264,375,3897.56,375,-26545.927734375
1880000,17.6754,3650.8,44.6965,376,3895.05,376,-26489.904296875
1885000,16.225,3208.02,44.5743,377,3905.27,377,-27634.828125
1890000,16.1109,3319.21,44.8011,378,3990.53,378,-28490.083984375
1895000,17.6192,3452.34,44.7497,379,3641.18,379,-27280.087890625
1900000,16.0615,3234.88,44.1664,380,3932.84,380,-28019.5703125
1905000,15.7029,3223.15,44.6953,381,3820.04,381,-29276.720703125
1910000,16.9593,3415.9,44.4501,382,4004.9,382,-28745.525390625
1915000,17.9444,3262.62,44.5284,383,3908.94,383,-27827.615234375
1920000,16.9747,3414.21,44.368,384,3940.13,384,-28123.12890625
1925000,18.128,3615.59,44.7754,385,3917.38,385,-27866.302734375
1930000,18.1826,3396.75,44.778,386,3964.16,386,-27881.09375
1935000,19.3342,3160.86,44.6942,387,3904.15,387,-27533.490234375
