Running Update Time,Real Det Return,Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
37,400.59,185000,37,49.2704,-184.254638671875,21.0104,404.75
38,602.17,190000,38,48.8393,-292.7724914550781,17.756,648.58
39,539.96,195000,39,51.0364,-290.9861145019531,47.3853,529.96
40,392.58,200000,40,48.8471,-253.0743408203125,40.878,690.13
41,487.42,205000,41,49.4519,-333.4465637207031,19.079,435.7
42,351.12,210000,42,50.3738,-329.3095703125,14.8322,345.25
43,429.34,215000,43,50.2914,-353.8047180175781,18.1713,375.95
44,357.43,220000,44,48.9727,-340.6373291015625,32.7266,376.3
45,490.32,225000,45,50.5349,-315.4349365234375,55.4918,373.0
46,549.73,230000,46,48.859,-213.8764190673828,22.4178,525.8
47,1440.19,235000,47,49.2321,-256.6335754394531,53.1826,1086.05
48,1013.51,240000,48,54.74,-314.06463623046875,40.6762,1016.5
49,173.47,245000,49,52.1582,-342.2497253417969,66.7451,172.88
50,1007.51,250000,50,56.5055,-294.8420715332031,55.8155,1002.58
51,-28.18,255000,51,56.9604,-346.8632507324219,130.2828,-27.85
52,-33.28,260000,52,55.0092,-369.364990234375,72.27,84.99
53,916.34,265000,53,52.5899,-331.2381591796875,35.0923,469.91
54,1036.53,270000,54,54.1875,-354.49493408203125,35.1371,1042.25
55,1037.8,275000,55,53.7178,-328.1046142578125,28.061,1045.46
56,1025.77,280000,56,54.5204,-366.92913818359375,40.2431,1029.28
57,1006.95,285000,57,53.4695,-297.6817626953125,27.6546,1023.24
58,1017.17,290000,58,53.5551,-354.3048400878906,31.8174,1021.03
59,813.91,295000,59,49.5703,-483.4413757324219,38.2098,538.24
60,1015.01,300000,60,57.2588,-361.6809997558594,39.7635,1004.97
61,1024.12,305000,61,53.9639,-396.37298583984375,30.6728,1030.58
62,1034.75,310000,62,53.4313,-403.3667297363281,26.4798,1007.41
63,627.68,315000,63,47.9161,-498.9652099609375,18.3687,540.65
64,929.47,320000,64,48.4462,-465.8103332519531,51.4082,673.54
65,343.23,325000,65,51.542,-506.52801513671875,61.6219,410.31
66,4.16,330000,66,54.3485,-493.08758544921875,42.9165,10.7
67,13.89,335000,67,54.6119,-754.3338623046875,113.8185,13.87
68,13.01,340000,68,50.4932,-561.466552734375,28.6652,18.9
69,31.18,345000,69,56.1336,-544.4112548828125,71.6975,40.18
70,611.81,350000,70,55.0941,-581.1288452148438,36.6104,362.43
71,997.91,355000,71,56.0879,-567.6502075195312,57.5586,948.65
72,1000.52,360000,72,55.8301,-554.8662109375,51.71,1002.29
73,1002.48,365000,73,55.0738,-623.8110961914062,55.1438,819.52
74,9.47,370000,74,50.6385,-641.347412109375,18.3848,11.53
75,46.64,375000,75,56.4984,-624.4599609375,54.3824,72.41
76,4.76,380000,76,54.9281,-642.4978637695312,49.4921,1.93
77,108.12,385000,77,53.2599,-664.455810546875,21.9344,109.93
78,19.35,390000,78,55.4393,-653.9212646484375,49.9211,19.52
79,1005.19,395000,79,51.9638,-586.7275390625,24.9317,529.68
80,1018.97,400000,80,54.5236,-491.9427185058594,26.8255,1018.35
81,1038.55,405000,81,54.1743,-616.7540283203125,38.3747,1053.54
82,1032.11,410000,82,56.6098,-655.6930541992188,50.4924,1032.47
83,1027.0,415000,83,55.9413,-728.2613525390625,56.8571,1026.81
84,998.6,420000,84,51.9108,-691.8984985351562,37.1503,971.32
85,9.76,425000,85,53.6726,-885.8240966796875,63.3953,5.52
86,-1.79,430000,86,56.3157,-789.4114990234375,59.4073,-0.73
87,203.72,435000,87,50.3481,-729.3053588867188,35.827,202.28
88,552.75,440000,88,53.0958,-878.1548461914062,25.2239,590.29
89,916.01,445000,89,53.2276,-814.0908203125,29.2597,689.57
90,1035.88,450000,90,53.9873,-757.234130859375,35.7659,1034.68
91,1062.47,455000,91,52.087,-746.35302734375,30.162,831.59
92,751.46,460000,92,51.5505,-805.9679565429688,48.531,628.63
93,48.66,465000,93,52.9435,-840.6296997070312,33.4706,345.14
94,13.21,470000,94,54.2604,-1068.060302734375,34.9999,15.39
95,1031.6,475000,95,53.7887,-795.7155151367188,26.8879,1031.76
96,448.73,480000,96,49.793,-725.4320678710938,19.21,407.23
97,386.88,485000,97,49.8384,-776.8779296875,31.9274,401.12
98,741.7,490000,98,50.2684,-839.7487182617188,29.7892,767.24
99,997.43,495000,99,55.778,-790.6529541015625,44.9179,998.87
100,-2.38,500000,100,52.6097,-893.0269775390625,30.8424,91.42
101,1016.33,505000,101,50.6072,-724.2262573242188,22.2291,929.85
102,1016.02,510000,102,53.4786,-724.1693725585938,21.1706,955.34
103,418.46,515000,103,49.429,-934.9926147460938,20.1691,378.68
104,1233.42,520000,104,48.4719,-904.4810791015625,23.2141,579.17
105,972.47,525000,105,47.87,-848.7247314453125,28.2367,831.71
106,989.22,530000,106,50.5126,-831.2785034179688,26.1836,1125.16
107,635.07,535000,107,48.1353,-863.4874877929688,23.5877,1121.78
108,710.48,540000,108,48.1728,-895.3442993164062,31.4843,1029.72
109,816.69,545000,109,48.2613,-953.3843383789062,17.6817,668.83
110,981.13,550000,110,47.8318,-988.0877685546875,24.0569,851.92
111,204.74,555000,111,48.7918,-943.8319091796875,20.2346,592.26
112,564.89,560000,112,48.391,-876.9966430664062,20.9639,789.29
113,830.37,565000,113,49.402,-1027.14990234375,21.3526,737.3
114,932.25,570000,114,47.5544,-983.2801513671875,38.3702,1026.38
115,593.04,575000,115,48.4978,-892.9393920898438,19.4099,727.12
116,819.4,580000,116,48.9413,-1041.7293701171875,26.161,759.59
117,652.04,585000,117,48.2307,-988.4234008789062,23.6793,691.45
118,288.85,590000,118,48.2198,-1052.846435546875,20.4561,500.2
119,353.39,595000,119,48.2728,-1093.2396240234375,31.0565,726.35
120,1655.41,600000,120,47.4041,-968.700439453125,23.345,1556.92
121,598.13,605000,121,48.7859,-1030.798095703125,24.0417,623.74
122,827.51,610000,122,47.3859,-1008.3751831054688,20.0161,712.66
123,838.31,615000,123,48.1412,-1027.30126953125,49.0193,897.18
124,350.31,620000,124,48.7607,-1136.9183349609375,40.3244,544.67
125,718.16,625000,125,49.0345,-1086.6226806640625,48.5453,503.66
126,500.87,630000,126,49.0155,-1189.6397705078125,46.7341,591.64
127,654.65,635000,127,48.8078,-1199.5699462890625,47.6361,584.34
128,1438.37,640000,128,48.021,-1143.102783203125,28.8634,1023.71
129,1044.2,645000,129,48.4063,-992.9570922851562,14.9012,1046.6
130,518.85,650000,130,48.8451,-1164.2406005859375,15.9778,572.12
131,1112.12,655000,131,49.5104,-1202.7601318359375,29.6359,929.63
132,1486.58,660000,132,49.3318,-1195.0906982421875,28.4942,1071.02
133,1172.3,665000,133,47.263,-1247.8289794921875,26.3422,751.35
134,1028.68,670000,134,47.9796,-1230.8782958984375,22.5219,531.39
135,698.42,675000,135,48.0535,-1178.8963623046875,20.3859,830.8
136,-18.28,680000,136,51.069,-1295.7969970703125,96.3362,-18.45
137,-9.09,685000,137,56.9384,-1334.7557373046875,81.5568,-9.31
138,94.43,690000,138,51.5437,-1334.7327880859375,46.1907,117.03
139,235.24,695000,139,53.7827,-1262.7301025390625,39.1792,219.63
140,126.06,700000,140,50.8524,-1346.21435546875,32.5345,164.93
141,1003.56,705000,141,56.6272,-1146.451416015625,41.6268,993.94
142,382.43,710000,142,55.663,-1655.9788818359375,49.2516,350.84
143,992.12,715000,143,55.5812,-1326.26708984375,44.9784,988.93
144,1026.68,720000,144,56.5891,-1311.374755859375,50.716,1026.64
145,1022.41,725000,145,56.5876,-1355.2491455078125,49.6632,1021.83
146,1005.28,730000,146,54.7298,-1293.9000244140625,31.4038,1024.06
147,1027.28,735000,147,56.701,-1375.29248046875,47.1928,1026.87
148,1037.56,740000,148,54.7707,-1337.5089111328125,37.7894,1046.75
149,1037.26,745000,149,51.092,-1310.774169921875,29.7302,910.55
150,1044.88,750000,150,55.1216,-1493.154541015625,40.2275,1043.77
151,1034.44,755000,151,55.9647,-1451.2091064453125,50.9638,1033.91
152,1004.6,760000,152,55.292,-1423.89013671875,41.3436,1003.48
153,1008.34,765000,153,56.3141,-1379.85595703125,43.1328,1019.58
154,999.69,770000,154,55.8941,-1467.2728271484375,53.7747,1005.85
155,-9.89,775000,155,58.6303,-2019.3109130859375,112.0606,-10.08
156,978.4,780000,156,56.4962,-1532.66943359375,46.6052,869.27
157,175.29,785000,157,55.2907,-1665.07080078125,71.0926,164.29
158,907.07,790000,158,50.0013,-1411.42138671875,38.4213,945.32
159,828.27,795000,159,49.1222,-1427.1697998046875,41.2757,823.07
160,1050.27,800000,160,54.0857,-1481.106689453125,33.0975,1030.57
161,31.87,805000,161,54.3754,-1672.124267578125,73.5446,130.19
162,172.2,810000,162,51.4559,-1699.8072509765625,50.1886,91.67
163,1002.92,815000,163,56.7856,-1581.5782470703125,54.7922,999.35
164,1004.06,820000,164,55.6454,-1468.7987060546875,35.7461,998.19
165,1049.94,825000,165,56.4428,-1704.2625732421875,47.8917,1053.53
166,1001.47,830000,166,55.3061,-1483.3624267578125,35.0317,1002.59
167,959.01,835000,167,49.5503,-1536.3438720703125,45.7829,955.57
168,1042.57,840000,168,55.6482,-1672.38671875,47.109,1044.32
169,983.55,845000,169,55.8504,-1673.0906982421875,45.0491,1028.57
170,1039.31,850000,170,55.3133,-1749.620849609375,50.8894,1039.26
171,1030.2,855000,171,55.0815,-1768.1964111328125,50.8072,1030.43
172,476.68,860000,172,54.0081,-1778.187744140625,39.1272,482.55
173,352.94,865000,173,50.5662,-1701.8270263671875,32.6451,475.02
174,210.94,870000,174,54.2756,-2287.2509765625,64.5272,124.82
175,68.28,875000,175,55.4883,-2342.14599609375,88.7956,76.48
176,1046.06,880000,176,55.6632,-1852.1695556640625,39.2082,1044.12
177,47.8,885000,177,52.6501,-2149.08349609375,84.9718,89.14
178,396.24,890000,178,54.5781,-2296.555419921875,84.6238,542.29
179,1030.93,895000,179,57.4092,-1968.9259033203125,57.4614,1031.95
180,118.74,900000,180,50.6793,-1928.5194091796875,49.2316,53.69
181,444.44,905000,181,49.3311,-1818.36767578125,34.2437,560.29
182,15.67,910000,182,50.3085,-1903.853759765625,45.9009,38.29
183,459.2,915000,183,51.4724,-2147.712890625,51.0266,231.77
184,428.41,920000,184,49.4247,-1921.74951171875,29.2555,707.21
185,315.13,925000,185,49.8827,-2229.45654296875,71.7577,331.19
186,102.39,930000,186,51.8298,-2323.220947265625,46.6602,139.97
187,1034.17,935000,187,54.6805,-1878.8314208984375,31.4318,1004.49
188,235.35,940000,188,53.1587,-2448.402099609375,144.2655,193.0
189,996.86,945000,189,55.3798,-2040.33251953125,35.0641,988.27
190,1013.28,950000,190,55.6547,-1931.71533203125,35.8453,1012.4
191,906.49,955000,191,51.0379,-1739.3963623046875,24.0984,1069.3
192,1009.39,960000,192,56.3853,-2053.5341796875,49.4416,1007.07
193,1026.45,965000,193,53.6459,-2099.830810546875,34.4007,1023.92
194,1002.82,970000,194,56.2217,-2162.760009765625,41.6544,996.94
195,1035.62,975000,195,55.2426,-2077.416259765625,36.9226,1034.56
196,789.18,980000,196,49.1044,-1994.5255126953125,31.3542,1006.01
197,999.87,985000,197,56.2092,-2136.51220703125,43.5195,994.95
198,300.27,990000,198,52.6124,-2338.576416015625,54.9916,-22.16
199,1000.4,995000,199,56.4244,-2219.8916015625,45.7758,992.38
200,1017.92,1000000,200,55.702,-2174.136474609375,37.2426,1013.73
201,1051.35,1005000,201,54.5025,-2201.333984375,28.8707,1062.86
202,1030.21,1010000,202,55.7182,-2345.38134765625,45.1937,1031.52
203,1044.44,1015000,203,50.6337,-2218.2763671875,50.1078,848.47
204,995.47,1020000,204,56.1176,-2250.11083984375,43.4523,992.81
205,1033.76,1025000,205,56.8182,-2444.2236328125,53.3703,1033.74
206,-1.93,1030000,206,51.195,-2656.872314453125,25.2449,-2.51
207,12.05,1035000,207,52.1412,-2732.716552734375,29.7186,13.37
208,564.2,1040000,208,49.7891,-2523.728515625,28.3457,383.61
209,211.76,1045000,209,52.0468,-2584.25830078125,61.3651,244.07
210,190.02,1050000,210,49.4655,-2552.741455078125,19.8088,98.41
211,28.16,1055000,211,52.4227,-2441.664794921875,45.1283,97.32
212,994.43,1060000,212,54.8419,-2178.927978515625,28.2959,984.78
213,860.52,1065000,213,54.6588,-2738.802734375,37.7982,245.2
214,1045.47,1070000,214,50.0388,-2424.66748046875,38.0027,1294.0
215,994.75,1075000,215,54.8226,-2337.176025390625,31.3348,990.81
216,1005.7,1080000,216,55.8151,-2446.795654296875,42.9608,1001.68
217,996.49,1085000,217,55.8395,-2479.5322265625,40.8842,993.66
218,1031.84,1090000,218,54.9485,-2446.141357421875,36.147,1030.81
219,1002.65,1095000,219,55.5376,-2273.6044921875,31.0002,998.62
220,696.78,1100000,220,50.0787,-2531.2099609375,24.9523,700.15
221,994.11,1105000,221,54.2791,-2658.251953125,53.1112,991.57
222,933.0,1110000,222,55.2303,-2628.937744140625,40.7249,979.9
223,961.84,1115000,223,56.3393,-2672.89208984375,55.7961,974.09
224,1002.71,1120000,224,56.5312,-2806.987060546875,48.6922,997.96
225,918.37,1125000,225,54.9709,-2848.867919921875,38.3747,696.51
226,203.08,1130000,226,54.9206,-3139.85791015625,69.566,200.84
227,3.37,1135000,227,56.4155,-3512.493896484375,87.7516,3.51
228,1002.03,1140000,228,57.615,-2779.455810546875,70.1184,1001.73
229,1000.19,1145000,229,57.4672,-2836.384033203125,54.4977,998.88
230,990.24,1150000,230,56.6214,-2595.43359375,49.2784,991.03
231,994.83,1155000,231,56.4255,-2755.0302734375,46.9435,991.67
232,1023.61,1160000,232,55.3615,-2637.0478515625,36.8916,1020.46
233,1035.7,1165000,233,56.648,-2890.792724609375,48.082,1038.17
234,988.6,1170000,234,56.4758,-2716.62890625,45.6514,985.84
235,983.95,1175000,235,55.4812,-3037.47900390625,38.5633,669.94
236,1012.7,1180000,236,55.9441,-2919.732666015625,39.9373,1008.53
237,992.94,1185000,237,55.2597,-3038.761962890625,44.5754,740.6
238,1015.77,1190000,238,55.5026,-2888.15185546875,39.5743,1012.59
239,81.78,1195000,239,55.3974,-3722.044189453125,185.7641,106.59
240,1026.16,1200000,240,55.8088,-2840.745361328125,41.1964,1030.94
241,224.47,1205000,241,55.0781,-3824.052001953125,53.6603,144.9
242,996.74,1210000,242,56.9439,-3235.3330078125,53.885,997.18
243,613.74,1215000,243,55.0235,-3445.196044921875,72.5639,259.66
244,1057.09,1220000,244,54.5909,-2790.4833984375,29.8191,1032.56
245,245.57,1225000,245,54.8889,-3683.892578125,60.8152,195.11
246,-2.32,1230000,246,55.835,-3897.62255859375,69.3772,-2.57
247,1014.94,1235000,247,57.7371,-3350.650390625,56.3746,1014.24
248,1005.05,1240000,248,57.9458,-3406.329833984375,55.5528,1004.12
249,1018.14,1245000,249,56.3906,-3362.931640625,54.0224,1018.98
250,995.87,1250000,250,57.0056,-3436.08642578125,58.6746,995.66
251,1004.04,1255000,251,56.4818,-2961.527099609375,48.1928,994.08
252,1043.3,1260000,252,56.5371,-3493.05712890625,51.6175,1042.99
253,1026.64,1265000,253,56.5805,-3534.1923828125,54.5315,1026.75
254,1026.29,1270000,254,57.3909,-3510.06396484375,50.5176,1027.63
255,1020.47,1275000,255,56.2699,-3438.77099609375,47.793,1022.19
256,1046.96,1280000,256,54.3733,-3433.162109375,48.4017,1047.62
257,731.29,1285000,257,51.0935,-3205.12353515625,30.9812,834.37
258,1026.64,1290000,258,53.5092,-3394.61328125,28.5611,1033.36
259,1021.46,1295000,259,52.6376,-2927.69677734375,19.4321,1038.98
260,1040.56,1300000,260,53.7758,-3254.127197265625,32.3002,1052.11
261,999.67,1305000,261,53.6217,-3367.655029296875,31.3673,1048.11
262,1039.01,1310000,262,53.0317,-3374.27685546875,24.191,1051.17
263,1031.82,1315000,263,53.3251,-3135.56396484375,24.8934,1045.25
264,1040.65,1320000,264,53.3468,-2973.23095703125,25.8123,1064.03
265,1090.93,1325000,265,52.2093,-2889.056640625,23.6424,1092.7
266,1057.28,1330000,266,51.8477,-3283.60888671875,23.2926,1028.06
267,1055.97,1335000,267,52.8027,-2849.489501953125,21.7521,1096.48
268,1069.85,1340000,268,52.8452,-2918.469482421875,21.1281,1116.75
269,1025.5,1345000,269,53.1146,-3161.95361328125,24.4327,1031.74
270,1022.29,1350000,270,54.5181,-3657.348388671875,34.0905,1031.14
271,298.19,1355000,271,54.5347,-4160.0205078125,47.6923,366.92
272,404.2,1360000,272,51.0588,-3819.357666015625,36.3102,428.42
273,254.14,1365000,273,51.6611,-3770.888916015625,25.542,254.41
274,1033.51,1370000,274,56.091,-3943.939453125,40.4997,1034.75
275,1029.35,1375000,275,57.1843,-4055.62060546875,48.2501,1029.35
276,1026.9,1380000,276,56.4061,-3969.40625,44.2239,1026.6
277,1028.05,1385000,277,55.7786,-3822.22998046875,41.0033,1035.07
278,1030.16,1390000,278,56.0506,-3838.446533203125,44.7921,1062.62
279,1075.6,1395000,279,53.204,-3104.2724609375,26.3451,1085.56
280,1088.37,1400000,280,53.1895,-3158.946044921875,27.5953,1086.16
281,592.54,1405000,281,54.4335,-4257.0439453125,69.7127,201.6
282,1050.71,1410000,282,52.6039,-4109.10205078125,50.5699,784.29
283,213.77,1415000,283,55.498,-4437.90771484375,77.4976,243.13
284,994.93,1420000,284,54.2536,-4535.63427734375,179.895,426.3
285,1052.58,1425000,285,54.2112,-3937.0849609375,28.9487,914.0
286,1029.04,1430000,286,56.4551,-4373.17626953125,55.2152,1029.65
287,1033.73,1435000,287,56.2483,-4320.2587890625,50.9431,1035.39
288,76.24,1440000,288,55.4789,-4545.6640625,82.209,76.82
289,228.54,1445000,289,55.5474,-4528.12451171875,75.6959,224.25
290,30.15,1450000,290,56.3181,-5551.89501953125,233.4051,24.57
291,270.5,1455000,291,53.5312,-4597.0380859375,70.3916,243.15
292,287.4,1460000,292,51.8411,-4428.39111328125,40.5424,167.7
293,1018.67,1465000,293,55.8237,-4066.56591796875,33.3861,1013.33
294,1017.53,1470000,294,57.2194,-4384.7197265625,52.6512,1014.56
295,31.88,1475000,295,52.4875,-4656.28515625,35.4219,53.72
296,427.93,1480000,296,50.4931,-4308.71728515625,34.9671,420.72
297,1012.44,1485000,297,55.1217,-4741.10986328125,42.6548,923.64
298,1029.45,1490000,298,54.9228,-4638.5859375,35.8257,1032.24
299,1046.38,1495000,299,54.7575,-4603.4853515625,42.335,1047.52
300,1032.06,1500000,300,53.331,-4596.21923828125,38.6906,1058.99
301,612.63,1505000,301,52.3098,-4838.087890625,50.5158,593.57
302,25.84,1510000,302,56.8776,-5396.5927734375,80.7377,19.82
303,366.94,1515000,303,53.7696,-5188.32080078125,60.0697,343.48
304,999.46,1520000,304,53.6039,-4219.1337890625,22.3769,1007.15
305,1055.9,1525000,305,52.6238,-3813.84130859375,19.0215,1125.95
306,976.9,1530000,306,50.2697,-3933.24951171875,17.3754,944.04
307,1038.14,1535000,307,49.5065,-3917.511474609375,17.1462,771.35
308,740.67,1540000,308,49.376,-3811.66845703125,16.3942,721.95
309,1075.7,1545000,309,48.2696,-4183.63330078125,19.5642,908.88
310,801.45,1550000,310,48.7912,-4123.6435546875,18.311,815.25
311,756.84,1555000,311,49.1718,-4667.66259765625,35.0518,958.07
312,777.64,1560000,312,47.963,-3937.404541015625,20.9752,1166.95
313,885.63,1565000,313,47.427,-3966.24462890625,24.4951,842.95
314,494.1,1570000,314,49.1527,-4648.80126953125,32.097,633.71
315,841.45,1575000,315,49.1986,-4527.45751953125,26.6948,776.81
316,1125.81,1580000,316,48.7329,-4649.78369140625,21.3461,554.75
317,1053.45,1585000,317,47.9334,-4061.26416015625,15.1624,833.67
318,1421.82,1590000,318,48.22,-4558.64013671875,28.3658,870.37
319,387.97,1595000,319,48.7179,-4288.95556640625,19.3035,523.0
320,1095.06,1600000,320,47.9392,-4394.7451171875,25.2933,1033.52
321,841.66,1605000,321,48.4331,-4642.84912109375,29.5442,1068.46
322,1627.01,1610000,322,48.4588,-4664.9443359375,52.0537,1079.29
323,1078.63,1615000,323,48.3699,-4558.083984375,24.7059,1110.07
324,729.66,1620000,324,49.0892,-4815.80419921875,39.9627,832.07
325,767.46,1625000,325,48.7881,-4575.716796875,25.4372,979.64
326,603.6,1630000,326,48.9435,-4805.63720703125,29.5965,912.83
327,954.83,1635000,327,48.4163,-4633.88818359375,38.2852,761.28
328,924.59,1640000,328,48.5452,-4583.40283203125,28.3167,829.09
329,1294.49,1645000,329,48.3809,-4672.92236328125,33.6917,835.28
330,523.54,1650000,330,49.7481,-5284.119140625,53.546,731.68
331,847.98,1655000,331,48.5432,-4793.1298828125,28.8535,614.44
332,649.89,1660000,332,48.5291,-4999.826171875,38.7565,821.72
333,610.12,1665000,333,49.0355,-4833.7333984375,27.7563,469.98
334,476.42,1670000,334,48.3764,-5111.96044921875,34.8313,835.75
335,407.96,1675000,335,49.0276,-5200.775390625,27.6059,384.48
336,916.89,1680000,336,47.6383,-4996.38671875,20.2633,764.43
337,1103.73,1685000,337,47.0892,-4970.234375,27.0057,920.13
338,1999.48,1690000,338,48.2539,-5629.78759765625,45.7935,1207.44
339,850.06,1695000,339,49.9744,-5965.0654296875,72.5786,684.8
340,711.25,1700000,340,48.466,-5813.23681640625,63.2324,432.95
341,1709.63,1705000,341,49.3027,-6165.0693359375,57.9603,597.64
342,650.84,1710000,342,48.2858,-5795.79345703125,34.856,630.4
343,473.82,1715000,343,48.2924,-5116.38525390625,19.1794,632.32
344,618.93,1720000,344,48.7067,-5278.0205078125,17.6638,684.19
345,621.04,1725000,345,49.6482,-5508.90478515625,32.439,602.79
346,752.06,1730000,346,48.9292,-5477.72802734375,22.8388,855.79
347,356.94,1735000,347,49.0199,-6044.3447265625,45.8731,630.15
348,539.76,1740000,348,50.1116,-6363.1748046875,65.2858,442.51
349,678.35,1745000,349,47.6441,-5805.6640625,34.6315,689.29
350,630.95,1750000,350,49.292,-5801.40478515625,147.8729,744.15
351,307.58,1755000,351,52.0954,-6476.54443359375,112.6983,266.41
352,185.99,1760000,352,51.0397,-6313.94091796875,100.0568,284.1
353,946.93,1765000,353,47.8142,-5501.197265625,55.2454,777.5
354,661.47,1770000,354,50.3527,-6374.623046875,45.2661,605.07
355,450.37,1775000,355,52.0,-5881.67724609375,41.5532,721.22
356,1078.07,1780000,356,52.7858,-4646.14697265625,20.9998,973.25
357,872.44,1785000,357,52.8098,-5328.35009765625,20.4809,992.41
358,1045.92,1790000,358,53.546,-6048.56982421875,35.3449,1031.4
359,1037.69,1795000,359,53.8944,-6160.91845703125,35.4601,1058.91
360,532.84,1800000,360,51.8613,-7010.2890625,63.8505,231.3
361,877.96,1805000,361,56.114,-6414.88037109375,55.2173,743.18
362,496.25,1810000,362,54.0843,-7368.3984375,79.1555,448.82
363,997.86,1815000,363,57.8261,-6286.6240234375,50.2167,999.45
364,291.28,1820000,364,50.7628,-5930.0498046875,28.2225,252.0
365,601.27,1825000,365,51.294,-6765.935546875,43.4937,568.73
366,619.01,1830000,366,49.0143,-5293.8994140625,20.667,588.71
367,435.53,1835000,367,50.1685,-5939.9912109375,18.5564,440.87
368,458.97,1840000,368,51.1143,-6660.0234375,31.5502,492.13
369,510.17,1845000,369,51.6259,-6742.31787109375,42.1165,481.42
370,1010.25,1850000,370,54.4049,-6548.26025390625,35.3875,960.58
371,-8.93,1855000,371,53.3362,-7890.037109375,177.3376,39.76
372,408.09,1860000,372,53.9312,-7447.74658203125,74.3987,308.59
373,269.28,1865000,373,54.6465,-7758.25146484375,81.8151,330.69
374,1004.73,1870000,374,54.4178,-6076.71630859375,25.5938,1002.38
375,27.86,1875000,375,51.7644,-7194.48388671875,96.6191,18.83
376,1000.12,1880000,376,56.6514,-6787.138671875,48.0598,994.66
377,1028.37,1885000,377,55.3956,-6845.5478515625,47.2345,1030.04
378,6.16,1890000,378,56.2907,-7464.87744140625,210.7321,6.72
379,285.55,1895000,379,54.7904,-7458.87109375,78.5258,294.02
380,4.77,1900000,380,56.5864,-7921.99267578125,83.7188,4.58
381,494.2,1905000,381,50.4577,-6600.8759765625,42.6592,437.98
382,347.97,1910000,382,53.0132,-7600.951171875,63.4547,332.48
383,498.45,1915000,383,51.1955,-7434.9970703125,49.3502,462.98
384,288.04,1920000,384,53.2764,-8214.029296875,68.3265,276.2
385,192.93,1925000,385,51.9525,-7655.73193359375,93.1042,331.77
386,690.66,1930000,386,53.6146,-7304.353515625,49.3063,489.29
387,-12.54,1935000,387,55.1003,-8064.42822265625,58.1526,-11.64
388,50.72,1940000,388,54.9232,-7926.7724609375,150.7778,45.8
389,111.45,1945000,389,54.2587,-7321.58154296875,48.4915,100.99
390,43.21,1950000,390,54.7603,-7921.7197265625,47.7806,46.52
391,64.37,1955000,391,55.0227,-7664.79931640625,40.2302,57.37
392,325.33,1960000,392,54.1361,-7755.06298828125,64.0936,385.17
393,1001.07,1965000,393,57.0194,-7735.62890625,57.8373,961.14
394,1010.24,1970000,394,57.3018,-7546.291015625,53.4731,1008.1
395,1028.16,1975000,395,56.4934,-7368.7392578125,42.3964,1028.01
