Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Itration,Real Det Return
13.6578,3427.83,-63.92457962036133,19.0797,57,285000,57,3469.23
17.4241,3106.4,-367.76287841796875,19.5997,58,290000,58,1743.08
13.5662,3330.87,-98.08277130126953,19.6371,59,295000,59,3394.83
17.3234,3258.67,-217.37481689453125,19.429,60,300000,60,3531.63
14.7563,2895.23,-439.2155456542969,19.9386,61,305000,61,3389.76
18.3512,2831.72,-357.31365966796875,19.1143,62,310000,62,2577.89
13.8473,3402.0,-105.25391387939453,19.1995,63,315000,63,3453.6
13.2235,3473.93,-102.84677124023438,18.5789,64,320000,64,3517.42
14.1505,3376.14,-111.09443664550781,19.633,65,325000,65,3546.0
14.6487,3231.93,-397.18011474609375,20.3334,66,330000,66,3518.43
13.771,3479.95,-112.55763244628906,19.1219,67,335000,67,3513.68
13.1761,3398.93,-159.97909545898438,19.2037,68,340000,68,3463.97
13.1341,3474.97,-112.20594787597656,18.9608,69,345000,69,3523.88
13.2478,2994.03,-346.8162536621094,19.2248,70,350000,70,3472.97
12.5867,3258.87,-145.69955444335938,18.5955,71,355000,71,3488.78
13.9501,3427.85,-147.42022705078125,19.501,72,360000,72,3460.29
17.1101,3335.69,-336.7413024902344,19.4025,73,365000,73,3497.16
13.504,3247.73,-370.3045654296875,19.0743,74,370000,74,3514.41
12.8658,3264.58,-303.20330810546875,20.551,75,375000,75,3495.95
13.0654,3447.08,-223.2573699951172,19.3234,76,380000,76,3489.55
13.1478,3264.3,-312.04803466796875,19.2996,77,385000,77,3513.71
12.4481,3162.62,-309.8866271972656,18.7724,78,390000,78,3493.94
12.8931,3274.31,-307.8534240722656,19.8022,79,395000,79,3518.84
12.3191,3444.92,-209.0998077392578,18.9648,80,400000,80,3473.79
14.8502,3245.25,-507.21917724609375,19.6631,81,405000,81,3487.4
12.758,3377.97,-464.5634460449219,19.8548,82,410000,82,3501.24
13.9261,3281.56,-365.2529296875,18.6548,83,415000,83,3462.21
15.2814,2998.4,-484.1338195800781,18.1089,84,420000,84,3463.89
12.5264,3414.81,-259.0205078125,18.7964,85,425000,85,3503.34
16.1278,3124.87,-843.5804443359375,19.6383,86,430000,86,3497.34
19.7204,3030.64,-576.8351440429688,19.552,87,435000,87,3556.08
13.8495,3484.63,-372.44122314453125,19.2318,88,440000,88,3517.72
13.9297,3377.55,-377.6987609863281,18.6129,89,445000,89,3502.43
14.4081,2835.95,-749.3629760742188,19.6966,90,450000,90,3071.66
15.9213,2728.83,-777.5941162109375,19.8571,91,455000,91,3531.16
16.4799,3047.27,-782.7846069335938,19.975,92,460000,92,3479.9
12.2686,2910.94,-613.1201171875,19.0751,93,465000,93,3470.19
13.1474,2350.72,-913.594482421875,19.7449,94,470000,94,2920.57
13.7754,2781.28,-584.4776000976562,19.6744,95,475000,95,3481.6
13.1858,3239.12,-421.82769775390625,18.5312,96,480000,96,3497.12
16.2877,2467.61,-785.60986328125,19.3902,97,485000,97,3505.24
12.7041,2526.71,-484.3286437988281,19.5223,98,490000,98,3469.22
16.5247,2074.11,-1027.993896484375,19.9836,99,495000,99,2357.78
15.0431,3416.33,-713.2363891601562,19.6634,100,500000,100,3490.21
13.1448,3146.44,-562.9724731445312,18.7863,101,505000,101,3505.8
12.8539,2617.51,-925.9078979492188,20.3074,102,510000,102,3350.87
12.2038,3402.15,-270.6963195800781,18.5367,103,515000,103,3469.77
10.7213,3057.9,-706.6533813476562,18.2798,104,520000,104,3339.32
11.8804,3426.7,-478.8714294433594,17.8285,105,525000,105,3478.77
11.5775,3091.42,-589.1395874023438,19.3243,106,530000,106,3437.38
11.6773,3266.79,-477.2251281738281,18.3489,107,535000,107,3500.07
11.597,2991.76,-513.6119995117188,18.8164,108,540000,108,3487.85
13.2265,3368.5,-780.6692504882812,18.1752,109,545000,109,3498.6
11.817,2288.3,-1095.4718017578125,20.9847,110,550000,110,2735.16
12.3284,3435.14,-314.828857421875,18.4318,111,555000,111,3464.54
11.6133,3374.98,-452.8674011230469,18.7985,112,560000,112,3471.93
12.8467,3425.25,-504.3975524902344,18.019,113,565000,113,3489.14
24.1893,2296.11,-1533.8726806640625,20.5158,114,570000,114,3566.62
16.568,3138.78,-1230.3914794921875,19.9532,115,575000,115,3478.0
12.5874,3138.82,-654.7176513671875,18.5697,116,580000,116,3500.91
11.4674,3304.41,-605.714599609375,18.5063,117,585000,117,3482.39
12.8929,3407.5,-420.60125732421875,18.5987,118,590000,118,3507.71
16.9332,2922.64,-1171.31298828125,19.832,119,595000,119,3466.17
17.1593,2586.6,-1084.002685546875,19.2608,120,600000,120,3461.76
12.0936,3474.18,-508.2310791015625,18.6406,121,605000,121,3483.66
12.3115,3259.87,-861.719970703125,18.7897,122,610000,122,3488.59
14.7827,3220.26,-647.6287841796875,18.5942,123,615000,123,3468.25
17.3162,2865.63,-964.0914916992188,19.3362,124,620000,124,3456.37
14.0812,2439.07,-1106.9478759765625,19.318,125,625000,125,3444.28
11.7524,2973.56,-417.9539794921875,18.6566,126,630000,126,3460.32
12.1997,3022.02,-741.2579345703125,19.1093,127,635000,127,3463.72
12.5374,2297.32,-1444.71728515625,20.2829,128,640000,128,2189.31
13.3196,2271.82,-1119.352294921875,19.2843,129,645000,129,3118.07
13.2866,2751.89,-950.2515258789062,19.0568,130,650000,130,3371.34
13.5841,2818.48,-891.2488403320312,18.9308,131,655000,131,3401.18
11.6246,2199.34,-1097.03173828125,19.3943,132,660000,132,3475.76
14.8218,2502.54,-1418.0888671875,20.3667,133,665000,133,1725.97
12.4697,3152.15,-747.7769775390625,18.8481,134,670000,134,3465.77
15.356,2708.94,-1385.1961669921875,20.3913,135,675000,135,3421.35
12.0571,3016.72,-1151.99951171875,20.3678,136,680000,136,3378.35
18.0746,2479.88,-1111.9315185546875,19.7132,137,685000,137,3518.51
11.8355,2746.56,-613.3787841796875,18.5286,138,690000,138,3430.22
12.3305,2364.38,-1178.07373046875,19.0527,139,695000,139,3451.43
17.135,3141.11,-1043.988525390625,19.315,140,700000,140,3469.34
15.2037,2653.07,-1464.5069580078125,19.0343,141,705000,141,2899.37
11.9319,3347.02,-469.851318359375,18.0026,142,710000,142,3453.88
15.0795,2855.6,-1707.4034423828125,19.5794,143,715000,143,3462.32
12.2036,3283.73,-540.8141479492188,18.0195,144,720000,144,3437.23
11.6299,3428.28,-535.159423828125,17.4388,145,725000,145,3482.27
12.6715,2384.94,-1489.955322265625,19.9853,146,730000,146,2221.74
13.7815,2394.38,-1499.3050537109375,18.5193,147,735000,147,3452.92
11.5799,2976.48,-535.4532470703125,18.0467,148,740000,148,3453.46
12.0698,2928.23,-840.976806640625,17.5922,149,745000,149,3438.9
12.0849,2807.53,-989.6853637695312,18.8192,150,750000,150,3304.97
12.2724,3270.99,-876.4234008789062,18.5282,151,755000,151,3454.63
13.6444,2417.49,-1005.1426391601562,18.3403,152,760000,152,3477.79
13.5989,2200.84,-1532.8272705078125,19.6285,153,765000,153,3419.31
17.3918,2460.35,-2099.805908203125,19.9656,154,770000,154,2861.32
12.3849,3215.43,-1293.5804443359375,19.7408,155,775000,155,3475.09
15.8455,1190.07,-2662.956298828125,22.4256,156,780000,156,1421.92
11.6143,2774.58,-859.435302734375,18.5554,157,785000,157,3480.75
14.6713,2139.48,-1690.031982421875,19.7899,158,790000,158,2858.32
11.5958,2878.9,-1311.33251953125,19.2569,159,795000,159,3423.84
14.6565,3081.15,-1291.781982421875,17.8964,160,800000,160,3466.97
11.6009,3395.69,-749.0482788085938,18.0726,161,805000,161,3458.27
13.2595,2833.54,-1608.072265625,19.5911,162,810000,162,3467.35
13.7272,2911.95,-1363.9093017578125,19.021,163,815000,163,3290.64
17.2182,2867.36,-1403.0294189453125,20.2468,164,820000,164,3455.17
12.3373,3366.57,-668.064453125,18.4536,165,825000,165,3457.71
12.0634,3342.63,-739.647216796875,18.6194,166,830000,166,3454.49
18.3755,2327.92,-2130.954833984375,20.2123,167,835000,167,3461.73
12.0268,3362.69,-936.327880859375,18.2317,168,840000,168,3483.07
12.2088,3340.58,-848.6847534179688,18.7464,169,845000,169,3452.11
11.4466,3313.59,-717.4571533203125,17.5583,170,850000,170,3444.43
11.9832,3458.34,-884.213623046875,18.3436,171,855000,171,3443.36
12.2286,2857.2,-1186.5882568359375,19.91,172,860000,172,3373.86
12.2373,2601.27,-1258.2037353515625,19.2984,173,865000,173,3461.7
12.7087,2428.66,-1761.586181640625,20.1547,174,870000,174,3438.84
14.8056,2245.1,-2431.9111328125,20.8593,175,875000,175,2835.1
13.014,3319.2,-1594.25390625,19.6173,176,880000,176,3457.75
13.0949,2526.13,-1985.3377685546875,19.7601,177,885000,177,2808.1
11.3098,2575.14,-1901.7291259765625,19.148,178,890000,178,3440.71
13.0346,2590.93,-2287.83251953125,20.4875,179,895000,179,3500.67
13.0399,3259.61,-911.8353881835938,19.4276,180,900000,180,3480.13
11.6119,2562.94,-2026.8935546875,19.488,181,905000,181,3439.68
12.0041,2257.44,-2063.901611328125,20.0917,182,910000,182,3518.06
12.7929,2551.38,-1673.8092041015625,19.6311,183,915000,183,3491.04
12.2923,2829.99,-1365.5772705078125,19.5004,184,920000,184,3418.76
12.2235,2412.05,-2710.74853515625,20.4037,185,925000,185,3427.9
11.9117,3056.32,-1765.3770751953125,19.3826,186,930000,186,3456.65
12.1607,2955.45,-1276.3663330078125,18.231,187,935000,187,3450.17
12.1938,2975.04,-1468.8450927734375,19.0418,188,940000,188,3459.95
12.7093,2611.42,-2634.907958984375,19.8684,189,945000,189,3170.15
11.9051,3071.95,-2078.18310546875,19.4449,190,950000,190,3456.51
12.4209,2572.53,-1845.8797607421875,19.2931,191,955000,191,3441.81
12.493,2921.22,-2090.993408203125,19.5066,192,960000,192,3248.37
12.2848,3134.41,-1179.4293212890625,18.5922,193,965000,193,3449.12
12.9292,3182.53,-1639.275634765625,19.8321,194,970000,194,3402.64
14.0346,3159.58,-1666.107421875,18.9094,195,975000,195,3479.87
12.2961,3338.61,-1127.4007568359375,18.3907,196,980000,196,3468.75
12.5684,3030.12,-1978.2047119140625,19.6655,197,985000,197,3497.44
11.3881,3391.82,-914.2833862304688,17.719,198,990000,198,3456.96
11.756,3365.28,-1288.2545166015625,18.273,199,995000,199,3474.83
