Running Update Time,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Real Det Return,Real Sto Return,Running Forward KL
142,-796.9894409179688,13.4702,142,710000,3172.37,2848.95,21.213
143,-1237.9129638671875,14.4438,143,715000,3188.64,2656.64,22.1773
144,-960.6384887695312,13.1469,144,720000,3172.41,3037.54,21.4744
145,-1360.0201416015625,13.1845,145,725000,3185.53,1911.96,21.999
146,-2503.6318359375,15.0243,146,730000,3277.59,2019.52,22.3015
147,-932.1399536132812,12.5793,147,735000,3140.46,2714.04,20.7061
148,-2045.3360595703125,13.4898,148,740000,2968.68,1951.52,21.5567
149,-1130.072998046875,12.446,149,745000,3136.08,2969.33,21.1855
150,-1329.4049072265625,12.0446,150,750000,3110.96,2919.05,21.6297
151,-906.4701538085938,14.3553,151,755000,3149.45,3061.05,21.7378
152,-3116.285400390625,17.1738,152,760000,1350.52,2036.95,22.6787
153,-1584.3779296875,13.4992,153,765000,3197.6,2520.03,21.3044
154,-2717.37646484375,14.9817,154,770000,1830.26,1453.67,23.2661
155,-2330.87353515625,14.0004,155,775000,1342.07,1447.11,21.813
156,-2883.0712890625,14.7693,156,780000,1258.01,1335.63,21.9147
157,-2673.80615234375,14.4892,157,785000,3243.96,1535.38,22.7204
158,-2967.790283203125,13.8166,158,790000,3212.63,1991.42,22.4668
159,-1779.167724609375,13.068,159,795000,3198.31,1944.36,21.6506
160,-1108.4290771484375,14.8114,160,800000,3156.67,2973.73,21.6483
161,-1733.258544921875,14.2378,161,805000,3198.07,2151.72,22.0085
162,-2338.343505859375,14.4559,162,810000,2274.59,1892.0,22.2316
163,-2638.23193359375,13.7361,163,815000,1501.87,2267.85,22.6948
164,-1504.5272216796875,14.25,164,820000,1593.46,2315.04,21.9327
165,-3858.234130859375,15.3733,165,825000,1240.44,1282.33,24.4558
166,-1534.5245361328125,12.8978,166,830000,3277.38,2158.72,20.9332
167,-2045.5677490234375,13.5421,167,835000,3206.37,2548.25,21.9561
168,-1246.9918212890625,14.4755,168,840000,1298.83,2509.84,22.1389
169,-2537.627197265625,13.4621,169,845000,2887.63,2162.74,22.9091
170,-3705.648681640625,13.9233,170,850000,1839.62,1440.73,23.5291
171,-1286.074951171875,13.1649,171,855000,3235.83,2559.12,21.283
172,-2373.07861328125,12.4104,172,860000,3278.89,2259.24,21.8644
173,-1314.2611083984375,13.6341,173,865000,3272.28,2022.37,22.176
174,-2211.802490234375,13.3593,174,870000,3285.57,2433.09,21.9532
175,-2541.93408203125,12.8249,175,875000,3313.02,1898.69,21.4207
176,-2102.554931640625,12.6082,176,880000,3257.75,2391.52,20.9718
177,-4481.57421875,15.6028,177,885000,1191.08,1541.95,24.7403
178,-2949.552490234375,13.6644,178,890000,1224.86,2474.8,22.4963
179,-1764.279052734375,12.3428,179,895000,3224.34,2154.77,20.7818
180,-3004.323486328125,13.1606,180,900000,2678.41,2654.22,22.3619
181,-3704.615234375,12.62,181,905000,1265.09,1911.2,23.1213
182,-1676.4835205078125,13.3799,182,910000,3263.04,2632.85,22.0464
183,-4823.3544921875,14.7114,183,915000,1209.25,1310.96,25.0468
184,-1328.383056640625,15.5566,184,920000,3201.44,2516.75,22.4354
185,-2376.85546875,12.7048,185,925000,3233.75,2176.92,21.5333
186,-2932.214599609375,12.4025,186,930000,2046.13,2481.53,21.1549
187,-3319.308349609375,12.8872,187,935000,3229.53,1974.55,22.3788
188,-3238.333984375,12.8128,188,940000,3306.99,2254.82,23.0757
189,-4808.40771484375,14.629,189,945000,3224.8,1480.98,24.4954
190,-3937.236083984375,14.3189,190,950000,1068.45,1636.49,21.5336
191,-3541.399658203125,13.5099,191,955000,3259.93,1454.22,22.8079
192,-3947.90771484375,13.5457,192,960000,1348.05,1568.27,22.1721
193,-3313.983642578125,13.0813,193,965000,3248.06,1603.74,23.0795
194,-4524.54443359375,12.9037,194,970000,2812.55,1180.83,23.5467
195,-3848.39892578125,12.6868,195,975000,2685.88,1527.63,22.9406
196,-2782.624267578125,12.8899,196,980000,3283.42,2453.85,22.7874
197,-3160.189208984375,12.6644,197,985000,3278.3,1848.69,22.5887
198,-1860.5076904296875,13.3782,198,990000,3232.68,2947.55,22.0052
199,-4523.68896484375,14.1325,199,995000,1204.7,1560.54,22.8698
