Running Update Time,Itration,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Real Sto Return
139,139,-5935.4033203125,15.8939,2179.36,156.9587,695000,1867.12
140,140,-5895.54443359375,15.2305,2170.34,156.8237,700000,1826.59
141,141,-5972.9599609375,15.353,2117.79,156.8467,705000,1777.96
142,142,-6000.708984375,15.373,2190.2,156.8493,710000,1829.72
143,143,-6039.3984375,15.7939,2209.4,156.9867,715000,1849.44
144,144,-6111.3486328125,15.4805,2130.67,156.8924,720000,1841.14
145,145,-6073.1455078125,15.3359,2147.19,156.7574,725000,1837.77
146,146,-6151.83935546875,15.4515,2190.57,156.8276,730000,1838.23
147,147,-6150.12646484375,15.3038,2110.35,156.9755,735000,1795.23
148,148,-6289.3525390625,15.4697,2190.08,156.87,740000,1821.07
149,149,-6313.21044921875,15.4077,2152.22,156.7853,745000,1822.57
150,150,-6304.8056640625,15.5053,2162.12,156.7326,750000,1839.3
151,151,-6376.39404296875,15.341,2144.45,156.8637,755000,1822.53
152,152,-6388.298828125,15.479,2116.41,156.9706,760000,1815.69
153,153,-6471.26025390625,15.5187,2140.74,156.8706,765000,1801.79
154,154,-6558.013671875,15.4285,2157.96,156.7699,770000,1816.33
155,155,-6515.29345703125,15.4688,2172.05,156.8249,775000,1843.19
156,156,-6583.40869140625,15.6155,2213.11,156.8628,780000,1814.15
157,157,-6608.56884765625,15.1548,2202.42,156.6841,785000,1846.87
158,158,-6668.49658203125,15.3785,2193.03,156.9274,790000,1837.94
159,159,-6754.94677734375,15.093,2186.89,156.7507,795000,1817.86
160,160,-6801.6904296875,15.443,2192.75,156.7078,800000,1828.95
161,161,-6797.86083984375,15.5217,2184.72,156.974,805000,1832.46
162,162,-6844.3369140625,15.4668,2163.79,156.8925,810000,1831.8
163,163,-6918.6689453125,15.532,2172.87,156.8368,815000,1814.17
164,164,-6928.01171875,15.9473,2224.79,156.6488,820000,1876.43
165,165,-7038.24658203125,15.3367,2192.35,156.8161,825000,1836.01
166,166,-7099.181640625,15.4508,2187.21,156.8654,830000,1829.79
167,167,-7136.98876953125,15.5138,2173.79,156.9398,835000,1833.43
168,168,-7165.8193359375,14.9824,2234.92,156.6963,840000,1868.99
169,169,-7201.2783203125,15.3392,2192.8,156.6587,845000,1852.07
170,170,-7215.8203125,15.4988,2219.27,156.7141,850000,1867.41
171,171,-7248.583984375,15.4486,2215.35,156.7167,855000,1865.33
172,172,-7277.21484375,15.1914,2184.71,156.5813,860000,1855.94
173,173,-7310.4833984375,15.0782,2168.51,156.7562,865000,1815.51
174,174,-7397.89794921875,15.1811,2184.16,156.7202,870000,1850.1
175,175,-7423.58740234375,15.2764,2195.73,156.7279,875000,1854.26
176,176,-7448.45458984375,15.3261,2174.65,156.8728,880000,1843.94
177,177,-7490.88232421875,15.4136,2194.21,156.6773,885000,1865.82
178,178,-7582.37109375,15.388,2142.76,156.8367,890000,1846.14
179,179,-7615.2421875,15.8301,2211.9,156.9487,895000,1893.86
180,180,-7669.4140625,15.2299,2186.23,156.6145,900000,1826.22
181,181,-7591.31884765625,15.6766,2185.6,156.696,905000,1881.34
182,182,-7681.6083984375,15.4074,2176.04,156.9432,910000,1879.69
183,183,-7660.509765625,15.0122,2112.47,156.837,915000,1814.25
184,184,-7706.65234375,15.4834,2201.35,156.8878,920000,1866.93
185,185,-7760.56689453125,15.2363,2170.1,156.7234,925000,1864.03
186,186,-7766.45654296875,15.4466,2250.49,156.8182,930000,1890.4
187,187,-7850.18212890625,15.8041,2210.92,156.7345,935000,1889.13
188,188,-7853.56640625,15.5081,2218.15,156.7354,940000,1889.54
189,189,-7836.2939453125,15.5571,2213.96,156.8293,945000,1895.68
190,190,-7854.2900390625,15.3302,2196.91,156.7102,950000,1859.43
191,191,-7883.16943359375,15.0386,2221.6,156.7504,955000,1842.96
192,192,-7941.32861328125,15.3563,2164.37,156.7433,960000,1857.4
193,193,-7921.0068359375,15.4298,2197.82,156.7167,965000,1890.59
194,194,-7986.9453125,15.2291,2173.86,156.7229,970000,1846.49
195,195,-8031.8125,15.4138,2208.95,156.8626,975000,1864.56
196,196,-8049.6005859375,15.5641,2254.88,156.7422,980000,1905.79
197,197,-8062.55419921875,15.2873,2221.33,156.7592,985000,1877.25
198,198,-8088.0556640625,15.1469,2161.23,156.7116,990000,1839.85
199,199,-8163.38916015625,14.814,2176.27,156.7426,995000,1831.82
200,200,-8168.60107421875,15.3877,2193.51,156.689,1000000,1867.82
201,201,-8244.169921875,15.2548,2192.57,156.7384,1005000,1864.09
202,202,-8193.2001953125,15.0121,2229.26,156.6122,1010000,1879.57
203,203,-8221.3203125,15.2058,2177.54,156.6954,1015000,1876.23
204,204,-8254.58203125,15.3186,2191.06,156.6144,1020000,1893.64
205,205,-8289.890625,15.4243,2171.84,156.7131,1025000,1895.37
206,206,-8323.408203125,15.3359,2196.41,156.5552,1030000,1877.52
207,207,-8387.18359375,15.546,2204.87,156.6818,1035000,1889.97
208,208,-8409.5654296875,15.3802,2212.21,156.6176,1040000,1897.27
209,209,-8422.2470703125,15.3983,2238.21,156.6688,1045000,1911.98
210,210,-8428.107421875,15.3085,2207.8,156.7173,1050000,1872.16
211,211,-8463.1318359375,15.2498,2231.94,156.6543,1055000,1897.92
212,212,-8497.3818359375,15.2941,2219.67,156.7252,1060000,1892.79
213,213,-8551.884765625,15.3697,2240.22,156.7927,1065000,1895.22
214,214,-8540.9052734375,15.3949,2217.9,156.6651,1070000,1909.99
215,215,-8609.1904296875,15.4008,2226.12,156.634,1075000,1887.14
216,216,-8618.5712890625,15.2978,2217.89,156.7024,1080000,1876.97
217,217,-8644.9130859375,15.2553,2203.96,156.7658,1085000,1866.01
218,218,-8680.8271484375,15.3861,2232.53,156.6931,1090000,1898.2
219,219,-8701.421875,15.208,2214.65,156.6812,1095000,1902.31
220,220,-8739.9013671875,15.4151,2229.82,156.7804,1100000,1886.14
221,221,-8708.318359375,14.9406,2075.53,156.6742,1105000,1842.35
222,222,-8775.52734375,15.0417,2202.56,156.7211,1110000,1873.84
223,223,-8806.6181640625,15.3082,2232.35,156.6703,1115000,1915.59
224,224,-8825.8408203125,15.3168,2228.13,156.6643,1120000,1889.85
225,225,-8882.3779296875,15.2464,2224.17,156.6761,1125000,1892.52
226,226,-8863.6826171875,15.1031,2221.52,156.7294,1130000,1836.66
227,227,-8911.5576171875,15.5625,2244.92,156.7079,1135000,1885.28
228,228,-8924.4150390625,15.2677,2241.56,156.6459,1140000,1902.57
229,229,-8950.431640625,15.2921,2235.14,156.6534,1145000,1891.49
230,230,-8990.4853515625,15.2232,2218.58,156.6685,1150000,1843.08
231,231,-9010.8251953125,15.2297,2232.95,156.6784,1155000,1870.23
232,232,-9020.7373046875,15.2942,2227.69,156.7244,1160000,1864.69
233,233,-9049.1591796875,15.1168,1917.45,156.6377,1165000,1853.46
234,234,-9087.265625,15.3172,2233.34,156.8294,1170000,1895.03
235,235,-9089.4853515625,15.4365,2256.25,156.5254,1175000,1920.16
236,236,-9140.232421875,15.2958,2216.3,156.6564,1180000,1917.22
237,237,-9145.24609375,15.3914,2231.22,156.7016,1185000,1903.52
238,238,-9168.5986328125,15.448,2231.35,156.5983,1190000,1901.51
239,239,-9195.083984375,15.364,2198.77,156.6319,1195000,1889.99
240,240,-9206.8056640625,15.2923,2241.48,156.5783,1200000,1923.52
241,241,-9278.0400390625,15.3148,2208.07,156.7504,1205000,1896.42
242,242,-9257.4365234375,15.4245,2230.17,156.6923,1210000,1908.16
243,243,-9308.3486328125,15.5174,2206.41,156.6526,1215000,1895.46
244,244,-9318.16015625,15.4294,2189.41,156.7028,1220000,1880.69
245,245,-9336.732421875,15.2658,2221.49,156.712,1225000,1902.41
246,246,-9379.0966796875,15.472,2219.23,156.8033,1230000,1902.78
247,247,-9378.5556640625,15.2977,2184.46,156.6087,1235000,1891.36
248,248,-9448.4375,15.5251,2181.79,156.6912,1240000,1908.06
249,249,-9465.935546875,15.5555,2237.54,156.7875,1245000,1919.61
250,250,-9460.7333984375,15.3822,2220.12,156.7098,1250000,1902.62
251,251,-9511.990234375,15.3521,2211.66,156.6137,1255000,1873.11
252,252,-9487.3505859375,15.1979,2204.84,156.58,1260000,1888.48
253,253,-9545.830078125,15.4479,2216.37,156.6526,1265000,1914.17
254,254,-9588.1728515625,15.4045,2226.22,156.6226,1270000,1890.97
255,255,-9624.1748046875,15.331,2236.62,156.6204,1275000,1897.86
256,256,-9643.1884765625,15.3031,2193.2,156.6389,1280000,1888.31
257,257,-9627.146484375,15.5361,2208.14,156.4984,1285000,1897.47
258,258,-9657.3056640625,15.2876,2229.0,156.6759,1290000,1903.37
259,259,-9703.2294921875,15.3592,2207.28,156.6192,1295000,1873.05
260,260,-9711.7373046875,15.3893,2234.73,156.6443,1300000,1896.26
261,261,-9755.19921875,15.4378,2220.53,156.5603,1305000,1898.96
262,262,-9736.193359375,15.3128,2229.16,156.6726,1310000,1908.46
263,263,-9786.3955078125,15.2771,2180.94,156.6881,1315000,1889.57
264,264,-9826.4033203125,15.3267,2233.03,156.639,1320000,1905.87
265,265,-9812.720703125,15.3683,2195.85,156.537,1325000,1898.85
266,266,-9860.783203125,15.2491,2213.94,156.605,1330000,1917.47
267,267,-9901.970703125,15.318,2218.42,156.7148,1335000,1897.34
268,268,-9879.8564453125,15.1966,2218.77,156.5383,1340000,1887.85
269,269,-9943.6728515625,15.2596,2219.24,156.7848,1345000,1887.12
270,270,-9963.7939453125,15.3787,2252.26,156.6816,1350000,1901.31
271,271,-9968.625,15.4149,2194.51,156.7251,1355000,1900.71
272,272,-9982.87890625,15.1947,2205.22,156.6212,1360000,1884.85
273,273,-10051.0244140625,15.3978,2200.45,156.8577,1365000,1889.44
274,274,-10041.3564453125,15.5018,2208.83,156.5567,1370000,1884.43
275,275,-10023.658203125,15.155,2184.46,156.7634,1375000,1863.33
276,276,-10154.6640625,15.3411,2216.68,156.7108,1380000,1905.57
277,277,-10087.9130859375,15.416,2218.51,156.6143,1385000,1915.38
278,278,-10179.9228515625,15.5706,2207.85,156.7558,1390000,1916.48
279,279,-10171.955078125,15.2984,2229.96,156.6403,1395000,1915.93
280,280,-10235.1181640625,15.4336,2251.77,156.6595,1400000,1914.37
281,281,-10217.4892578125,15.2735,2206.59,156.7548,1405000,1889.74
282,282,-10226.275390625,15.2992,2201.67,156.5118,1410000,1896.74
283,283,-10271.6796875,15.3076,2205.55,156.7304,1415000,1862.83
284,284,-10314.2724609375,15.3518,2209.24,156.8194,1420000,1915.74
285,285,-10333.3935546875,15.3081,2233.09,156.6269,1425000,1911.74
286,286,-10394.2216796875,15.538,2251.35,156.5734,1430000,1898.59
287,287,-10357.0693359375,15.2301,2188.36,156.8646,1435000,1864.22
288,288,-10405.16796875,15.5221,2233.13,156.6882,1440000,1919.75
289,289,-10445.689453125,15.5046,2220.91,156.7094,1445000,1904.39
290,290,-10489.9208984375,15.3189,2202.6,156.5841,1450000,1896.43
291,291,-10491.59765625,15.4742,2254.5,156.6481,1455000,1935.22
292,292,-10531.568359375,15.3069,2209.33,156.8214,1460000,1877.53
293,293,-10557.1484375,15.4257,2207.1,156.6062,1465000,1882.62
294,294,-10563.462890625,15.3272,2222.0,156.836,1470000,1898.53
295,295,-10619.5595703125,15.4442,2191.49,156.6198,1475000,1872.51
296,296,-10664.8828125,15.3631,2225.11,156.7139,1480000,1922.12
297,297,-10675.4873046875,15.5016,2226.71,156.7479,1485000,1904.94
298,298,-10672.6240234375,15.2447,2226.94,156.7544,1490000,1906.04
299,299,-10669.16796875,15.3209,2234.08,156.4729,1495000,1908.3
300,300,-10699.8603515625,15.43,2228.25,156.6862,1500000,1891.72
301,301,-10756.96875,15.2185,2209.04,156.5195,1505000,1902.49
302,302,-10746.3642578125,15.2835,2208.53,156.6733,1510000,1876.44
303,303,-10724.9755859375,15.0414,2179.37,156.6521,1515000,1847.29
304,304,-10782.857421875,15.4554,2202.46,156.6673,1520000,1882.66
305,305,-10733.5390625,15.2673,2172.65,156.6095,1525000,1849.84
306,306,-10844.974609375,15.1399,2191.56,156.7632,1530000,1869.91
307,307,-10882.009765625,15.3301,2170.17,156.6092,1535000,1863.93
308,308,-10885.0439453125,15.3933,2228.09,156.5648,1540000,1914.67
309,309,-10992.5537109375,15.3248,2242.19,156.6995,1545000,1931.7
310,310,-10983.7470703125,15.1893,2219.94,156.6132,1550000,1908.76
311,311,-11016.537109375,15.4564,2217.61,156.6404,1555000,1911.85
312,312,-11093.6767578125,15.5025,2232.39,156.6807,1560000,1914.92
313,313,-11023.669921875,15.158,2184.47,156.6896,1565000,1877.51
314,314,-11087.16015625,15.4837,2230.57,156.8133,1570000,1910.08
315,315,-11119.251953125,15.4418,2249.34,156.6398,1575000,1927.97
316,316,-11148.0068359375,15.4552,2233.41,156.7041,1580000,1885.83
317,317,-11169.47265625,15.4442,2222.5,156.7043,1585000,1901.2
318,318,-11162.3349609375,15.3874,2240.79,156.6027,1590000,1919.17
319,319,-11181.32421875,15.4379,2224.05,156.715,1595000,1917.71
320,320,-11188.873046875,15.3237,2226.58,156.6137,1600000,1909.63
321,321,-11286.1015625,15.4797,2239.98,156.7316,1605000,1909.06
322,322,-11269.833984375,15.4779,2239.95,156.6442,1610000,1906.11
323,323,-11277.591796875,15.2416,2216.23,156.5852,1615000,1909.74
324,324,-11332.4619140625,15.4078,2254.06,156.6399,1620000,1918.57
325,325,-11384.3251953125,15.5039,2251.51,156.7151,1625000,1934.8
326,326,-11389.2783203125,15.6574,2236.15,156.8003,1630000,1918.05
327,327,-11403.1767578125,15.4809,2245.21,156.6648,1635000,1934.81
328,328,-11465.4443359375,15.5295,2283.26,156.6225,1640000,1934.64
329,329,-11479.64453125,15.4801,2250.33,156.5332,1645000,1925.4
330,330,-11577.4208984375,15.7735,2291.63,156.7576,1650000,1938.17
331,331,-11537.8671875,15.5233,2272.3,156.6235,1655000,1935.92
332,332,-11561.966796875,15.7507,2252.23,156.8299,1660000,1936.59
333,333,-11579.9892578125,15.5916,2244.04,156.6981,1665000,1926.42
334,334,-11569.1474609375,15.5414,2220.56,156.7525,1670000,1914.1
335,335,-11584.37109375,15.5931,2241.73,156.7613,1675000,1916.88
336,336,-11675.4521484375,15.6315,2248.65,156.6621,1680000,1913.74
337,337,-11659.2158203125,15.6013,2226.03,156.7153,1685000,1916.35
338,338,-11676.7001953125,15.6593,2240.18,156.6717,1690000,1927.5
339,339,-11727.716796875,15.5803,2258.06,156.7068,1695000,1931.19
340,340,-11710.509765625,15.6451,2240.21,156.6581,1700000,1925.54
341,341,-11777.27734375,15.4858,2266.18,156.7831,1705000,1933.91
342,342,-11784.5419921875,15.4927,2232.55,156.7745,1710000,1915.08
343,343,-11776.294921875,15.5264,2237.9,156.6996,1715000,1925.44
344,344,-11912.826171875,15.6977,2263.05,156.7421,1720000,1948.51
345,345,-11842.6171875,15.4883,2233.76,156.6924,1725000,1917.62
346,346,-11917.572265625,15.4966,2249.13,156.6805,1730000,1934.29
347,347,-11938.234375,15.4348,2246.94,156.7271,1735000,1904.49
348,348,-11962.923828125,15.4234,2275.96,156.6734,1740000,1930.93
349,349,-12034.27734375,15.5713,2253.07,156.7172,1745000,1944.67
350,350,-12029.9326171875,15.5018,2254.52,156.747,1750000,1935.51
351,351,-12019.84375,15.4044,2256.31,156.667,1755000,1926.53
352,352,-12029.8828125,15.2624,2230.2,156.6383,1760000,1922.4
353,353,-12099.2080078125,15.4067,2208.37,156.6697,1765000,1935.29
354,354,-12109.4423828125,15.449,2274.98,156.7359,1770000,1942.56
355,355,-12134.6318359375,15.4732,2219.42,156.7153,1775000,1926.02
356,356,-12209.73046875,15.7369,2252.19,156.7135,1780000,1929.7
357,357,-12214.19921875,15.6133,2252.47,156.9112,1785000,1911.71
358,358,-12234.140625,15.5074,2256.22,156.8035,1790000,1933.77
359,359,-12233.5146484375,15.4236,2238.9,156.7983,1795000,1912.43
360,360,-12297.328125,15.6401,2250.93,156.6723,1800000,1923.62
361,361,-12282.6142578125,15.4,2201.89,156.6804,1805000,1870.18
362,362,-12354.8193359375,15.3902,2222.5,156.6719,1810000,1882.38
363,363,-12301.52734375,15.3937,2251.1,156.7274,1815000,1895.91
364,364,-12361.84765625,15.1816,2232.86,156.6307,1820000,1895.85
365,365,-12406.669921875,15.4732,2253.37,156.7551,1825000,1913.97
366,366,-12490.6435546875,15.6305,2295.13,156.6002,1830000,1932.34
367,367,-12461.4482421875,15.5355,2258.74,156.6702,1835000,1922.76
368,368,-12464.7568359375,15.3655,2244.39,156.766,1840000,1919.55
369,369,-12509.85546875,15.3724,2248.69,156.7717,1845000,1915.48
370,370,-12572.50390625,15.5445,2261.62,156.6694,1850000,1908.24
371,371,-12667.6748046875,15.5354,2254.93,156.6484,1855000,1918.9
372,372,-12656.1923828125,15.4435,2246.17,156.5054,1860000,1908.5
373,373,-12622.7431640625,15.2241,2254.56,156.6621,1865000,1905.1
374,374,-12708.0546875,15.4484,2264.76,156.5793,1870000,1917.27
375,375,-12743.71875,15.4913,2266.16,156.7138,1875000,1897.31
376,376,-12840.78125,15.5548,2284.17,156.7219,1880000,1932.15
377,377,-12787.6201171875,15.6117,2276.14,156.6615,1885000,1942.62
378,378,-12793.3095703125,15.6391,2273.12,156.7002,1890000,1931.93
379,379,-12822.6162109375,15.5468,2270.65,156.7753,1895000,1904.75
380,380,-12836.1259765625,15.4543,2237.3,156.7031,1900000,1908.75
381,381,-12841.873046875,15.2302,2260.47,156.7229,1905000,1917.67
382,382,-12881.6064453125,15.3948,2256.26,156.5962,1910000,1911.84
383,383,-12852.1083984375,15.1876,2228.47,156.6313,1915000,1897.49
384,384,-12864.2109375,15.197,2253.82,156.5529,1920000,1878.23
385,385,-12910.1484375,15.0778,2232.41,156.4838,1925000,1885.84
