Reward Loss,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL
-1594.7584228515625,43,43,1164.63,1759.76,25.0962,215000,92.3392
-832.0930786132812,44,44,1712.54,3050.75,24.0107,220000,34.0362
-1665.046630859375,45,45,1287.58,1903.85,24.5045,225000,63.66
-1453.9739990234375,46,46,1259.15,1438.68,24.0901,230000,48.5998
-1383.3616943359375,47,47,2293.05,3038.2,24.4577,235000,61.1197
-1621.5084228515625,48,48,1360.77,1413.94,24.1597,240000,76.8261
-916.8043823242188,49,49,2293.1,3038.04,23.6845,245000,38.8631
-1952.1229248046875,50,50,1245.82,1904.46,24.3471,250000,88.4753
-2099.219970703125,51,51,1326.1,1260.76,24.696,255000,116.5265
-1246.4954833984375,52,52,1769.78,3099.35,23.8164,260000,63.7998
-1487.596435546875,53,53,2069.08,3079.89,23.3276,265000,70.5134
-1869.3857421875,54,54,1559.37,2529.64,23.7292,270000,84.429
-2104.534912109375,55,55,1280.34,1565.55,24.0023,275000,76.1019
-2011.1654052734375,56,56,1423.5,1060.18,23.5789,280000,69.0217
-1800.452880859375,57,57,1579.62,1242.33,23.4283,285000,79.3569
-2599.3466796875,58,58,1190.79,1987.08,24.6248,290000,126.4862
-2348.14990234375,59,59,1286.21,1062.41,24.0693,295000,72.9526
-2238.3095703125,60,60,1638.97,1484.47,23.3569,300000,64.1767
-2471.601806640625,61,61,1304.16,1067.76,23.5693,305000,65.148
-2549.8291015625,62,62,1484.52,1242.77,24.0692,310000,79.3641
-2239.166259765625,63,63,1544.68,1227.69,23.1434,315000,46.8034
-3006.291015625,64,64,1665.96,1908.45,23.9305,320000,86.4092
-2628.405517578125,65,65,1305.47,1807.21,23.6782,325000,83.3647
-2644.85400390625,66,66,1460.32,1942.94,23.5505,330000,111.3523
-1860.789306640625,67,67,1931.02,1285.91,22.3607,335000,64.6716
-3073.69140625,68,68,1210.92,1751.91,23.8384,340000,121.7681
-2912.525390625,69,69,1283.77,2233.11,23.9185,345000,93.9616
-3245.976318359375,70,70,1380.81,1218.05,23.8701,350000,127.3596
-2644.72705078125,71,71,1633.44,1357.36,23.1375,355000,49.7373
-2954.699951171875,72,72,1426.35,1980.15,23.5626,360000,52.3198
-2558.13720703125,73,73,1722.5,1274.72,23.0581,365000,43.3333
-2492.618896484375,74,74,1738.87,1742.6,22.9796,370000,51.4944
-2675.8486328125,75,75,1682.51,1315.64,22.7435,375000,67.8686
-2969.48876953125,76,76,1417.51,1308.45,22.9827,380000,69.931
-3153.08447265625,77,77,1707.1,1740.57,23.4579,385000,66.3801
-2533.485107421875,78,78,1754.67,1331.71,22.5866,390000,51.5271
-2477.521240234375,79,79,1531.53,1304.35,22.8083,395000,36.989
-3088.926025390625,80,80,1577.89,1263.87,23.2117,400000,39.7112
-2386.20263671875,81,81,1937.02,1797.16,22.3222,405000,46.3976
-3630.45166015625,82,82,1330.72,1051.11,23.2572,410000,78.7352
-3358.242919921875,83,83,1470.85,1486.44,22.9613,415000,58.1499
-3119.40673828125,84,84,1837.84,2214.25,22.7664,420000,44.9489
-4108.0068359375,85,85,1828.39,1993.06,23.6599,425000,82.8499
-3778.281494140625,86,86,1667.09,1848.22,22.762,430000,80.6956
-4037.727294921875,87,87,1562.72,1429.52,22.9116,435000,82.3608
-4266.5869140625,88,88,1867.54,1902.82,23.2135,440000,80.7891
-3618.177490234375,89,89,1505.28,1377.19,22.6822,445000,40.6104
-4289.6533203125,90,90,1481.19,1506.93,23.2141,450000,85.0473
-3882.146484375,91,91,1650.77,2001.84,22.7567,455000,49.5921
-3722.29150390625,92,92,1554.17,1054.22,22.9006,460000,61.6955
-4446.60595703125,93,93,1523.4,1429.09,22.9598,465000,52.8235
-4131.39306640625,94,94,1738.33,2200.57,23.1796,470000,75.7473
-3808.1015625,95,95,1765.67,1826.04,23.1556,475000,49.12
-3615.88427734375,96,96,1803.59,1636.44,22.703,480000,52.1417
-4240.345703125,97,97,1845.94,1605.49,23.6219,485000,56.1254
-4420.203125,98,98,1644.02,1662.88,22.9861,490000,47.3635
-3634.9990234375,99,99,1640.8,3399.5,23.1946,495000,18.9035
-4102.83056640625,100,100,1830.59,2133.6,23.2043,500000,48.8963
-4133.0654296875,101,101,1828.84,1445.6,22.2281,505000,53.1421
-3505.30517578125,102,102,2194.7,3229.32,21.8736,510000,39.9329
-3740.673095703125,103,103,1989.71,2717.44,21.8613,515000,83.6849
-3820.791015625,104,104,2037.06,2012.57,23.5124,520000,19.3741
-3885.095947265625,105,105,1588.5,1742.32,23.4364,525000,20.8046
-5044.27880859375,106,106,1974.81,2133.45,22.6307,530000,83.1515
-4167.93310546875,107,107,1637.69,1728.44,22.8084,535000,56.3979
-4965.88916015625,108,108,1579.55,2011.54,23.0311,540000,86.0147
-3970.589111328125,109,109,1913.7,2041.34,22.3225,545000,51.6416
-4691.83056640625,110,110,2196.72,2485.5,22.2499,550000,59.0848
-4362.88720703125,111,111,1888.11,1972.37,22.3692,555000,52.574
-3515.665771484375,112,112,2157.19,2691.65,21.7388,560000,36.2088
-4410.9970703125,113,113,1468.83,2076.87,23.5085,565000,48.4682
-4759.35498046875,114,114,2028.35,1799.22,22.5193,570000,65.772
-4761.16259765625,115,115,1750.63,2188.08,22.6917,575000,62.725
-3921.615478515625,116,116,2121.9,2953.95,23.1186,580000,34.4665
-4939.03564453125,117,117,1795.2,1661.62,22.2901,585000,69.7101
-6061.98583984375,118,118,1642.06,1824.52,22.7573,590000,68.7035
-2870.853515625,119,119,2640.53,3135.88,21.92,595000,40.2305
-3743.179931640625,120,120,2149.54,3239.52,21.7208,600000,40.6869
-6250.53662109375,121,121,1308.91,2640.76,23.1133,605000,32.7887
-5386.19580078125,122,122,1666.06,1660.24,22.8836,610000,49.6898
-4479.095703125,123,123,1756.11,2889.86,21.6634,615000,26.409
-5882.05908203125,124,124,1754.78,2287.87,22.2153,620000,53.9676
-4045.647705078125,125,125,2356.42,2955.85,21.6202,625000,38.346
-3977.904052734375,126,126,2011.28,2782.43,23.3054,630000,19.6723
-5203.90283203125,127,127,2180.19,2066.74,22.8145,635000,23.2157
-4469.76171875,128,128,2204.95,3120.51,22.3551,640000,24.1194
-5380.9892578125,129,129,1775.56,1718.06,22.3999,645000,38.6325
-5441.1396484375,130,130,1521.95,1716.09,22.6787,650000,41.6775
-5606.818359375,131,131,2035.12,2439.38,22.8113,655000,35.0318
-5549.71337890625,132,132,2086.34,3139.45,22.5901,660000,34.0637
-4494.251953125,133,133,2483.79,2598.15,21.4502,665000,35.391
-3641.40478515625,134,134,2620.13,2122.07,21.2032,670000,31.2937
-6460.59619140625,135,135,1992.93,2832.29,23.0465,675000,69.0221
-4595.7802734375,136,136,2186.72,2343.12,21.8294,680000,44.8686
-3574.263427734375,137,137,1792.64,1989.88,22.4123,685000,29.8626
-5487.9169921875,138,138,2085.93,1699.77,22.3602,690000,47.0236
-6655.3818359375,139,139,2067.45,3034.93,21.9071,695000,67.5791
-5858.36181640625,140,140,1778.69,3389.05,22.2716,700000,61.9695
-5693.96533203125,141,141,1758.53,2192.89,22.8318,705000,50.3321
-6544.583984375,142,142,2065.25,2414.43,22.6648,710000,43.6992
-4540.8388671875,143,143,2162.72,3455.08,22.204,715000,31.7027
-5663.26171875,144,144,2420.31,2213.92,21.9262,720000,43.9088
-5787.80126953125,145,145,2355.36,3548.74,21.9652,725000,52.6603
-2870.4150390625,146,146,2932.23,3515.21,21.8608,730000,21.6066
-5176.99658203125,147,147,2353.85,2541.52,22.1478,735000,26.3671
-6972.90234375,148,148,1909.3,2830.29,22.2066,740000,51.3665
-6832.513671875,149,149,2072.36,2945.92,22.573,745000,50.7805
-6914.5029296875,150,150,1954.21,3478.14,22.4178,750000,42.2304
-5338.0078125,151,151,1886.67,2074.05,22.7818,755000,34.5366
-6172.1572265625,152,152,2126.68,2838.71,22.4605,760000,53.2242
-3864.435791015625,153,153,2696.98,3435.57,21.5582,765000,18.7589
-6532.84716796875,154,154,1681.95,3339.66,22.9078,770000,40.9757
-6239.7177734375,155,155,1948.34,2256.14,22.2933,775000,39.3267
-3867.927734375,156,156,2553.11,2408.58,21.7622,780000,22.2833
-6307.84423828125,157,157,1790.33,2851.32,22.4247,785000,42.6984
-7456.6201171875,158,158,1795.05,3101.19,22.9758,790000,41.5287
-5307.70556640625,159,159,2187.42,1822.94,21.9984,795000,36.6099
-5872.94091796875,160,160,1865.36,2030.54,22.3605,800000,34.2902
-5519.37548828125,161,161,1946.35,2604.51,22.3312,805000,26.7556
-5825.60498046875,162,162,1814.1,1935.53,22.7104,810000,22.3416
-6267.06884765625,163,163,2096.13,2410.41,22.6357,815000,19.3069
-6384.9921875,164,164,2092.78,2672.16,21.7542,820000,21.5088
-6314.32421875,165,165,2287.91,2043.58,22.434,825000,18.1574
-6967.6103515625,166,166,1996.29,2440.73,21.9852,830000,19.6196
-7517.1923828125,167,167,2022.27,1585.68,21.7719,835000,21.5186
-5637.578125,168,168,1812.94,2428.75,22.19,840000,15.2154
-4863.91748046875,169,169,2580.44,3135.59,21.0318,845000,17.2382
-8499.5693359375,170,170,1865.72,3015.06,22.4127,850000,22.4753
-2593.268310546875,171,171,3375.41,2257.05,20.8742,855000,15.1976
-7761.5830078125,172,172,2055.92,1783.08,22.2186,860000,18.0873
-8128.05712890625,173,173,2031.25,2432.04,22.2629,865000,30.5027
-5030.677734375,174,174,2420.91,3287.32,21.1407,870000,16.6255
-6183.580078125,175,175,1822.87,2223.94,23.0227,875000,17.7834
-10202.357421875,176,176,1795.75,1749.42,22.7668,880000,21.2107
-4351.44140625,177,177,2183.37,3187.45,22.2446,885000,15.0901
-6577.45654296875,178,178,1987.79,1474.95,22.5475,890000,17.4248
-6324.94287109375,179,179,2201.64,2536.49,22.0343,895000,16.9683
-8746.78125,180,180,2123.24,3004.61,22.4192,900000,21.0078
-8261.0615234375,181,181,2043.14,2521.91,23.0986,905000,18.3517
-7350.65283203125,182,182,2322.99,2273.04,21.8667,910000,17.5742
-7207.22216796875,183,183,1922.61,2120.05,22.628,915000,16.9015
-6730.19287109375,184,184,2405.45,3463.67,22.2655,920000,16.9127
-8500.509765625,185,185,1907.29,2214.94,22.1022,925000,16.0282
-7875.87060546875,186,186,1916.97,2213.06,22.7143,930000,17.2469
-6943.46337890625,187,187,2172.48,2788.81,22.7777,935000,16.1862
-7413.06982421875,188,188,2530.95,1705.29,22.3992,940000,22.753
-7779.39501953125,189,189,2130.84,1706.36,22.0929,945000,30.8505
-6509.447265625,190,190,1969.21,3097.82,21.8757,950000,27.4927
-7358.478515625,191,191,2126.58,2127.4,22.0319,955000,20.1114
-8092.20703125,192,192,2181.67,2434.08,22.1991,960000,26.9031
-9378.177734375,193,193,2257.2,1880.73,22.0322,965000,40.4806
-7936.197265625,194,194,2039.29,2630.22,22.2611,970000,18.2491
-9414.09375,195,195,1889.21,2388.73,22.1267,975000,26.6884
-9291.228515625,196,196,2058.68,1913.27,22.0011,980000,26.5179
-7941.783203125,197,197,1858.12,2202.43,22.1468,985000,31.5343
-9504.287109375,198,198,1878.49,2322.13,22.2389,990000,47.0023
-7428.40283203125,199,199,2331.98,2342.3,21.6061,995000,42.2202
