Running Update Time,Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Itration,Reward Loss
80,2029.92,32.4384,2982.96,64.6609,400000,80,-985.7791748046875
81,2067.69,37.1407,3036.51,66.2847,405000,81,-877.4055786132812
82,1222.91,33.6639,2263.66,66.855,410000,82,-968.5204467773438
83,2706.9,44.9777,2839.44,69.4144,415000,83,-859.3744506835938
84,1823.57,37.0763,2717.77,67.5413,420000,84,-969.7049560546875
85,2443.83,45.048,3077.1,70.1687,425000,85,-811.8519897460938
86,2834.47,44.8423,3032.11,70.5733,430000,86,-914.38134765625
87,2655.61,42.9063,3522.24,68.7633,435000,87,-912.3038330078125
88,1332.37,36.3348,1874.9,68.1321,440000,88,-1008.442138671875
89,2108.58,56.8198,3194.32,76.2275,445000,89,-827.4825439453125
90,1937.83,44.997,2381.51,71.2318,450000,90,-824.16015625
91,2564.17,44.1737,2789.76,70.2715,455000,91,-934.3673706054688
92,1753.49,40.9305,2125.8,67.9415,460000,92,-990.4408569335938
93,2423.3,51.0553,3141.32,71.6483,465000,93,-858.7801513671875
94,2277.86,48.2542,2468.43,70.2305,470000,94,-919.024658203125
95,2702.41,53.6477,2722.0,74.2535,475000,95,-858.9661865234375
96,2412.01,47.1113,2980.26,70.3249,480000,96,-934.826171875
97,3451.99,54.2265,3840.57,73.2733,485000,97,-946.939453125
98,2635.93,49.908,3787.07,71.9197,490000,98,-981.4791870117188
99,2686.84,57.213,2490.24,74.6343,495000,99,-990.208740234375
100,2100.95,48.4904,2086.1,71.2582,500000,100,-1092.1090087890625
101,2820.68,42.6352,3586.26,68.9239,505000,101,-1088.0772705078125
102,3562.86,55.6534,3878.61,73.4197,510000,102,-996.3668823242188
103,3777.03,61.2196,3537.04,75.5848,515000,103,-1055.7086181640625
104,3127.54,66.9618,4336.24,82.6677,520000,104,-1032.836669921875
105,3075.44,64.3251,4405.82,80.2812,525000,105,-1051.78662109375
106,3829.06,72.1205,4527.79,84.7092,530000,106,-1081.920654296875
107,2606.65,58.3494,3929.77,72.3179,535000,107,-1204.3836669921875
108,3878.61,74.0406,4855.12,80.439,540000,108,-1147.32666015625
109,4434.97,71.9411,4336.19,83.9249,545000,109,-1096.12744140625
110,3877.59,66.7793,3942.68,83.1924,550000,110,-1151.607421875
111,3886.58,54.8962,4918.21,71.6449,555000,111,-1259.318603515625
112,4075.77,72.6136,4766.42,83.3824,560000,112,-1202.850341796875
113,4068.44,69.1393,4352.93,79.812,565000,113,-1189.1199951171875
114,4056.65,70.3537,4616.86,80.7368,570000,114,-1292.340576171875
115,3804.69,55.265,4505.05,71.4723,575000,115,-1366.9632568359375
116,3785.32,73.0146,4386.85,84.4039,580000,116,-1242.468994140625
117,4182.94,81.0683,4586.22,88.2391,585000,117,-1296.266845703125
118,3878.19,78.5985,4222.61,85.4201,590000,118,-1317.49072265625
119,3753.99,64.587,4367.54,76.0848,595000,119,-1427.9312744140625
120,3308.38,63.9745,4536.0,75.1439,600000,120,-1358.8743896484375
121,4101.09,71.6393,4513.01,78.191,605000,121,-1333.4718017578125
122,4144.97,76.0112,4697.75,78.3406,610000,122,-1353.188720703125
123,4513.35,77.7195,4516.6,85.0304,615000,123,-1386.5252685546875
124,3999.18,86.1643,4469.07,87.52,620000,124,-1362.294677734375
125,4678.14,85.5573,4827.23,86.7759,625000,125,-1467.7784423828125
126,4139.04,70.4079,4254.72,75.4532,630000,126,-1482.7579345703125
127,4276.34,74.4904,4642.9,77.7255,635000,127,-1576.4591064453125
128,3776.97,73.505,4267.57,79.3099,640000,128,-1525.4996337890625
129,4743.3,82.5677,5121.78,86.5802,645000,129,-1535.0684814453125
130,3715.99,86.1478,4976.0,82.5696,650000,130,-1562.151611328125
131,4188.92,76.0366,4848.18,77.1276,655000,131,-1592.594482421875
132,3543.87,80.4352,4466.4,86.0344,660000,132,-1588.6788330078125
133,4083.21,89.4569,4901.27,88.1744,665000,133,-1581.647216796875
134,4491.84,82.501,5074.38,85.1805,670000,134,-1627.3341064453125
135,4511.96,89.4985,5174.74,87.3875,675000,135,-1689.1309814453125
136,4737.72,75.9173,4904.58,80.214,680000,136,-1749.4683837890625
137,4735.2,74.2792,4407.88,77.1805,685000,137,-1741.3487548828125
138,4692.39,88.9608,5289.02,87.862,690000,138,-1793.3509521484375
139,4404.21,89.8295,5122.69,88.8378,695000,139,-1786.0140380859375
140,4815.38,73.688,4260.95,75.1672,700000,140,-1890.5408935546875
141,4672.68,80.0809,4915.14,75.8287,705000,141,-1873.69140625
142,3655.97,89.6507,4276.67,89.6927,710000,142,-1796.65380859375
143,4783.56,88.3254,5155.49,86.8949,715000,143,-1885.4580078125
144,4058.9,90.7318,4546.42,87.8858,720000,144,-1890.8009033203125
145,4930.59,95.7179,4749.04,91.7699,725000,145,-1998.2886962890625
146,4507.52,91.6405,4790.48,88.973,730000,146,-1938.331787109375
147,4795.03,84.5064,5208.31,81.1467,735000,147,-2071.475830078125
148,5023.3,90.1167,4660.47,89.0864,740000,148,-2000.30322265625
149,4851.4,84.1083,4672.87,80.2628,745000,149,-2080.67041015625
150,4511.64,84.3131,4744.77,85.9945,750000,150,-2046.68115234375
151,4146.0,88.2209,5197.53,87.3092,755000,151,-2087.56201171875
152,4878.19,96.4152,5216.68,90.0565,760000,152,-2221.851806640625
153,2923.0,60.3395,4261.06,71.8486,765000,153,-2220.21044921875
154,4897.57,90.238,5403.87,89.0073,770000,154,-2242.202880859375
155,4923.47,89.2584,5134.7,80.5665,775000,155,-2351.6953125
156,4827.98,91.5684,5296.89,88.4911,780000,156,-2300.468505859375
157,4925.54,95.2703,4973.91,88.3393,785000,157,-2322.1142578125
158,4488.07,90.4784,5347.07,89.8624,790000,158,-2461.9736328125
159,4729.89,83.5581,5211.82,77.8613,795000,159,-2418.203857421875
160,4799.09,97.976,5368.88,89.9642,800000,160,-2470.205322265625
161,4327.04,86.1461,5007.25,87.4298,805000,161,-2480.137451171875
162,4820.74,91.204,5115.86,79.8695,810000,162,-2502.601806640625
163,5121.02,96.3759,5292.27,90.8385,815000,163,-2591.787353515625
164,4966.65,93.6132,5413.24,89.467,820000,164,-2574.173095703125
165,4966.13,93.6501,5155.94,89.6656,825000,165,-2648.30078125
166,5020.59,99.1425,5252.37,89.481,830000,166,-2728.104248046875
167,5055.12,94.6323,5452.79,90.1322,835000,167,-2743.0966796875
168,5179.88,79.5205,5261.01,76.6664,840000,168,-2708.62109375
169,5214.52,100.5716,5300.93,90.6436,845000,169,-2865.426513671875
170,4612.74,88.2877,5263.61,79.7789,850000,170,-2799.56689453125
171,4801.42,100.1147,5324.1,91.3993,855000,171,-2969.95849609375
172,5098.73,97.5997,5488.61,90.3922,860000,172,-2932.786865234375
173,5171.08,100.9102,5454.15,91.4822,865000,173,-3007.844970703125
174,4962.56,98.8563,5422.43,92.3107,870000,174,-3057.3173828125
175,4625.5,95.4354,5565.51,86.2203,875000,175,-3100.282470703125
176,4757.61,100.8896,5006.02,93.056,880000,176,-3137.651611328125
177,5158.99,99.1944,5088.91,94.29,885000,177,-3177.879638671875
178,5066.79,92.4951,5358.6,88.8818,890000,178,-3256.126708984375
179,5171.96,99.8058,5496.19,91.9577,895000,179,-3288.277587890625
180,5158.13,89.3579,5303.32,81.6552,900000,180,-3270.8642578125
181,5254.75,93.9634,5637.55,90.4229,905000,181,-3305.3740234375
182,4270.51,83.6642,4874.02,80.66,910000,182,-3351.920654296875
183,5108.39,101.7001,5387.78,91.3037,915000,183,-3426.4794921875
184,4591.39,92.8082,5613.62,88.3211,920000,184,-3421.833740234375
185,5152.85,103.9996,5391.23,92.1619,925000,185,-3541.912353515625
186,5361.1,90.2652,5676.82,79.974,930000,186,-3505.21484375
187,5299.44,83.9607,5577.76,87.2861,935000,187,-3572.925048828125
188,5032.35,106.6565,4965.08,92.1536,940000,188,-3637.571044921875
189,5017.99,90.9061,5661.75,78.5917,945000,189,-3652.589111328125
190,5237.17,103.2156,5544.27,93.0464,950000,190,-3744.67333984375
191,5284.46,98.9946,5673.69,91.3704,955000,191,-3815.00390625
192,5084.52,98.5683,5526.71,91.6048,960000,192,-3827.767822265625
193,5210.86,89.4441,5286.42,85.7789,965000,193,-3879.226318359375
194,5092.74,97.5537,5703.66,89.9399,970000,194,-3929.745361328125
195,4328.26,93.3073,5520.53,90.5485,975000,195,-3990.3115234375
196,5027.2,99.4738,5515.38,90.9861,980000,196,-4062.03271484375
197,5044.38,99.8617,5325.75,91.6848,985000,197,-4107.71728515625
198,5321.94,99.8897,5666.05,89.9379,990000,198,-4161.54833984375
199,5055.99,97.4717,5495.82,88.1473,995000,199,-4153.0048828125
200,4892.85,90.0808,5681.53,80.72,1000000,200,-4205.08447265625
201,5391.82,101.5888,5652.92,90.2025,1005000,201,-4284.13671875
202,5411.1,98.6771,5710.83,90.9478,1010000,202,-4373.162109375
203,4981.35,102.2544,5713.04,92.7623,1015000,203,-4419.2802734375
204,5327.16,102.9137,5250.06,91.663,1020000,204,-4479.37939453125
205,5296.0,88.7367,5616.19,79.287,1025000,205,-4458.0400390625
206,5173.96,96.8311,5668.05,86.919,1030000,206,-4512.6845703125
207,5238.11,101.2444,5739.02,92.105,1035000,207,-4694.3525390625
208,5283.54,98.9403,5707.27,91.3438,1040000,208,-4740.9423828125
209,5317.46,102.5496,5658.93,91.5988,1045000,209,-4697.134765625
210,5283.99,103.0854,5769.71,93.0902,1050000,210,-4853.591796875
211,5437.96,91.792,5547.27,77.8346,1055000,211,-4666.28271484375
212,5254.14,90.3412,5735.06,79.5711,1060000,212,-4799.7421875
213,5246.06,103.3612,5683.85,91.9661,1065000,213,-4989.0849609375
214,5357.75,107.2145,5636.25,93.6303,1070000,214,-5025.462890625
215,5353.07,100.9555,5753.29,89.6946,1075000,215,-5072.7607421875
216,5442.49,102.6314,5751.45,89.9624,1080000,216,-5099.0908203125
217,5127.14,100.3784,5548.22,90.655,1085000,217,-5182.10400390625
218,5024.27,105.0243,5677.04,93.4319,1090000,218,-5198.47607421875
219,5495.92,107.4042,5730.72,92.6838,1095000,219,-5303.9990234375
220,5195.66,99.0946,5684.07,91.6929,1100000,220,-5362.36572265625
221,5208.16,95.6506,5768.12,82.0463,1105000,221,-5302.88427734375
222,5398.83,102.4047,5748.1,91.2734,1110000,222,-5492.19775390625
223,5013.12,106.0075,5679.77,92.4648,1115000,223,-5508.5
224,5053.22,100.5131,5753.91,91.5912,1120000,224,-5563.50341796875
225,5324.29,106.6409,5751.57,92.4327,1125000,225,-5653.728515625
226,5195.75,97.5908,5434.03,85.8274,1130000,226,-5526.9716796875
227,5389.45,92.4813,5692.89,81.1023,1135000,227,-5585.02490234375
228,4785.74,102.4925,5715.74,93.0179,1140000,228,-5837.849609375
229,5479.26,105.6135,5732.2,91.4475,1145000,229,-5851.3974609375
230,5176.74,99.4627,5802.77,90.7715,1150000,230,-5935.669921875
231,4935.04,104.4953,5640.02,94.3414,1155000,231,-6004.5947265625
232,5240.25,96.9598,5756.26,85.3392,1160000,232,-5930.47998046875
233,5271.63,98.4705,5729.94,84.5423,1165000,233,-5969.05322265625
234,5330.23,103.7772,5814.52,90.4216,1170000,234,-6142.115234375
235,4894.28,105.4935,5553.69,93.6721,1175000,235,-6151.1357421875
236,4629.47,104.9565,5533.49,91.3749,1180000,236,-6288.671875
237,5427.63,103.2018,5808.62,90.8441,1185000,237,-6375.14501953125
238,4665.96,102.3845,5861.61,91.0328,1190000,238,-6412.22119140625
239,5053.87,102.5103,5742.64,92.7908,1195000,239,-6442.61181640625
240,5448.53,90.5743,5784.21,79.3275,1200000,240,-6260.31494140625
241,5264.9,102.0297,5468.17,92.4794,1205000,241,-6589.59814453125
242,5440.59,101.023,5832.61,91.5175,1210000,242,-6655.41455078125
243,4765.91,90.4778,5491.81,79.5223,1215000,243,-6423.1650390625
244,4963.86,102.8581,5798.46,92.4958,1220000,244,-6771.7197265625
245,5470.53,100.7966,5577.43,91.504,1225000,245,-6870.95263671875
246,5048.83,100.8546,5805.11,91.4653,1230000,246,-6860.986328125
247,5558.36,105.6897,5822.2,93.7096,1235000,247,-7051.42431640625
248,5455.93,91.538,5817.11,78.6563,1240000,248,-6687.35205078125
249,5242.06,104.8893,5650.89,91.9366,1245000,249,-7135.9140625
250,5506.37,96.0873,5756.77,84.5777,1250000,250,-7024.15576171875
251,5507.65,107.3001,5781.26,94.4233,1255000,251,-7334.8857421875
252,5307.52,96.2368,5737.51,90.6325,1260000,252,-7166.56982421875
253,5443.83,97.9968,5814.78,89.0227,1265000,253,-7283.22216796875
254,5488.58,105.045,5824.98,93.2093,1270000,254,-7497.58349609375
255,5157.23,100.168,5777.92,90.2678,1275000,255,-7370.6591796875
256,5046.82,98.8396,5408.89,91.4807,1280000,256,-7527.06640625
257,5248.0,103.1682,5686.24,91.787,1285000,257,-7600.576171875
258,5446.8,101.5159,5586.11,93.0377,1290000,258,-7638.26123046875
259,4898.12,100.0043,5848.33,91.8878,1295000,259,-7661.5869140625
260,5240.91,108.1728,5782.83,93.0024,1300000,260,-7834.513671875
261,5550.35,104.9805,5844.75,93.8124,1305000,261,-7922.6025390625
262,5459.75,104.662,5599.23,91.7544,1310000,262,-8006.0966796875
263,5012.56,105.4062,5782.17,92.751,1315000,263,-7947.3984375
264,5367.32,102.9726,5839.58,93.9702,1320000,264,-8151.4560546875
265,5101.19,103.2143,5829.55,92.4859,1325000,265,-8056.8544921875
266,5462.44,102.7875,5756.37,93.1169,1330000,266,-8062.9541015625
267,5532.92,104.5627,5812.12,92.0961,1335000,267,-8263.87109375
268,5558.97,106.4031,5836.2,94.0991,1340000,268,-8242.94140625
269,5481.76,101.7547,5822.36,93.4294,1345000,269,-8303.927734375
270,5340.22,93.8,5781.33,81.4484,1350000,270,-8073.42529296875
271,5203.44,105.1969,5546.46,92.6295,1355000,271,-8388.451171875
272,5494.56,101.8607,5823.73,92.9613,1360000,272,-8555.0234375
273,5187.06,106.1952,5244.29,92.1062,1365000,273,-8539.6689453125
274,5463.13,103.1521,5559.82,93.9675,1370000,274,-8649.84375
275,5246.74,102.5097,5378.62,92.4881,1375000,275,-8646.16796875
276,5034.1,100.9034,5569.85,90.159,1380000,276,-8705.744140625
277,5394.84,107.0879,5485.24,92.766,1385000,277,-8814.3974609375
278,5506.9,104.1581,5697.31,94.2221,1390000,278,-8771.423828125
279,5475.4,106.9204,5836.11,93.3567,1395000,279,-9022.556640625
280,5507.47,101.438,5806.64,92.6966,1400000,280,-8869.1708984375
281,4006.07,96.1036,5314.88,90.0449,1405000,281,-8818.3271484375
282,5521.47,99.0711,5845.48,91.8137,1410000,282,-9048.796875
283,5530.7,106.2728,5740.39,92.7749,1415000,283,-9172.8359375
284,5354.28,100.5402,5868.56,91.0715,1420000,284,-9169.02734375
285,5194.93,102.6462,5492.61,91.4535,1425000,285,-9256.2119140625
286,5516.01,98.5856,5383.92,89.6124,1430000,286,-9384.0458984375
287,4909.82,99.5249,5744.59,89.38,1435000,287,-9328.2099609375
288,5485.97,97.896,5825.74,81.8766,1440000,288,-9114.02734375
289,5246.53,97.9005,5814.1,91.6887,1445000,289,-9518.3125
290,5329.2,96.3929,5678.35,89.7272,1450000,290,-9528.9375
291,4952.36,99.7048,5571.89,91.0078,1455000,291,-9591.4609375
292,5483.3,101.2786,5795.8,91.5316,1460000,292,-9663.357421875
293,5193.24,96.2272,5804.26,89.8307,1465000,293,-9690.177734375
294,5333.46,99.6105,5878.74,91.7694,1470000,294,-9718.5009765625
295,5266.69,90.2093,5815.71,82.3411,1475000,295,-9521.810546875
296,5314.08,92.8021,5870.23,90.5659,1480000,296,-9803.453125
297,5454.56,91.2791,5866.38,87.5393,1485000,297,-9922.87109375
298,5601.85,95.3778,5896.71,90.2918,1490000,298,-10012.9111328125
299,4989.78,93.2382,5861.03,89.2758,1495000,299,-10074.0263671875
300,4648.8,95.1614,5800.71,90.8935,1500000,300,-10131.5859375
301,4495.89,92.6427,5922.37,85.578,1505000,301,-9924.5087890625
302,5353.78,93.5322,5684.07,90.3858,1510000,302,-10214.9091796875
303,5219.93,94.5531,5921.72,91.1758,1515000,303,-10282.525390625
304,4881.67,92.328,5468.24,90.556,1520000,304,-10222.259765625
305,5414.29,95.0009,5702.75,90.3307,1525000,305,-10272.5048828125
306,5192.71,95.6916,5820.76,92.1533,1530000,306,-10397.1865234375
307,5590.35,93.116,5903.73,83.932,1535000,307,-10329.9638671875
308,5480.64,90.4056,5869.54,85.3923,1540000,308,-10408.8916015625
309,5573.21,94.0599,5886.52,87.9146,1545000,309,-10557.9453125
310,4919.35,97.2824,5939.2,91.1321,1550000,310,-10637.4169921875
311,5586.43,84.4,5947.67,80.5568,1555000,311,-10275.4755859375
312,5212.11,92.4013,5705.29,89.3256,1560000,312,-10642.28515625
313,5378.51,93.8557,5736.42,88.2258,1565000,313,-10787.41796875
314,5623.47,90.5641,5943.34,87.2519,1570000,314,-10824.8583984375
315,5558.59,92.9806,5653.9,90.2193,1575000,315,-10911.4091796875
316,5651.84,95.3692,5783.21,89.0286,1580000,316,-11002.3798828125
317,4732.61,92.3858,5858.12,89.829,1585000,317,-10919.9990234375
318,5637.75,93.5122,5922.92,88.3014,1590000,318,-11066.74609375
319,5397.74,82.5613,5611.47,81.1531,1595000,319,-10413.4912109375
320,5495.83,91.6435,5782.56,88.3689,1600000,320,-11135.7421875
321,5211.2,73.1918,5972.3,75.0946,1605000,321,-9835.6796875
322,5068.47,94.1867,5677.63,87.9967,1610000,322,-11204.84765625
323,5575.94,89.9594,5539.67,85.615,1615000,323,-11221.361328125
324,5061.76,92.631,5969.67,90.0275,1620000,324,-11324.2978515625
325,5169.55,88.8999,5874.05,87.1116,1625000,325,-11296.78125
326,5465.13,85.8255,5904.0,80.8193,1630000,326,-10904.84765625
327,5003.48,88.3457,5964.34,87.3965,1635000,327,-11429.2333984375
328,4969.41,87.1644,5639.92,84.8676,1640000,328,-11364.3701171875
329,5157.89,85.4022,5286.2,87.8942,1645000,329,-11302.8486328125
330,5334.16,89.2972,6005.93,88.4724,1650000,330,-11612.86328125
331,5080.97,85.1984,5576.13,85.1726,1655000,331,-11489.166015625
332,4222.03,85.1404,5982.48,86.8892,1660000,332,-11582.865234375
333,5379.92,83.8847,5727.95,86.112,1665000,333,-11649.6806640625
334,5237.66,90.8086,5975.78,86.2983,1670000,334,-11870.177734375
335,5397.9,83.5872,5407.73,86.5455,1675000,335,-11606.90625
336,4396.6,72.5805,5705.24,74.9175,1680000,336,-10953.5673828125
337,5335.34,86.9669,6069.79,86.5427,1685000,337,-11904.298828125
338,5217.68,83.9818,5745.96,86.1626,1690000,338,-11795.232421875
339,5266.18,84.5769,5723.96,85.5956,1695000,339,-11895.162109375
340,5212.27,88.3047,6019.46,85.1701,1700000,340,-11984.55859375
341,5039.68,88.214,5741.77,86.6832,1705000,341,-11926.412109375
342,5596.24,86.0728,5836.0,83.9679,1710000,342,-12043.6748046875
343,5454.1,89.7001,6047.74,87.3316,1715000,343,-12164.6953125
344,5506.61,85.8971,5867.72,80.8446,1720000,344,-11873.373046875
345,4741.23,90.0153,5498.26,87.1264,1725000,345,-12242.6953125
346,5247.45,88.1608,5782.58,87.9005,1730000,346,-12270.2607421875
347,5518.2,85.4033,5898.98,80.1786,1735000,347,-11825.4853515625
348,5459.23,92.847,6038.04,87.7312,1740000,348,-12460.0908203125
349,5395.78,92.3434,5841.07,87.6064,1745000,349,-12411.9755859375
350,4928.46,89.8296,5824.0,85.4432,1750000,350,-12426.3798828125
351,4554.9,85.1241,5147.0,86.652,1755000,351,-12357.5693359375
352,5297.38,89.8076,6005.3,88.2581,1760000,352,-12494.560546875
353,4001.74,86.4906,5344.5,86.4689,1765000,353,-12464.529296875
354,4986.34,80.35,5593.85,82.9119,1770000,354,-11756.037109375
355,5321.98,89.9742,5966.8,87.5009,1775000,355,-12611.1884765625
356,4008.84,211.4833,3466.29,84.6444,1780000,356,-10417.62890625
357,-703.63,316.9944,-1035.88,86.4193,1785000,357,-6298.1259765625
358,-285.05,155.6665,-441.39,79.9635,1790000,358,-4834.2353515625
359,468.49,115.4757,791.61,79.0127,1795000,359,-7243.5
360,1777.3,67.7983,2274.58,78.2106,1800000,360,-10353.9775390625
361,2507.1,100.2197,2339.35,86.6903,1805000,361,-12128.5595703125
362,4203.19,87.382,3840.94,83.8286,1810000,362,-11883.0341796875
363,2708.48,88.9467,5025.11,86.4262,1815000,363,-11916.2578125
364,4467.94,94.5561,5374.98,89.0227,1820000,364,-12736.265625
365,4125.79,85.4913,5279.98,86.254,1825000,365,-12409.029296875
366,4845.39,89.9836,5205.99,88.413,1830000,366,-12765.6044921875
367,4803.06,84.3633,4723.7,85.8805,1835000,367,-12297.5732421875
368,4239.14,83.8393,5293.69,86.9323,1840000,368,-12614.841796875
369,4077.79,91.3437,5071.07,88.426,1845000,369,-12849.755859375
370,4797.98,91.7429,5184.49,90.0783,1850000,370,-12988.6591796875
371,5043.23,82.3031,5367.15,84.6863,1855000,371,-12382.611328125
372,4567.02,88.6215,5498.53,88.5492,1860000,372,-12901.4189453125
373,4292.69,87.599,5546.44,86.2698,1865000,373,-12771.3857421875
374,4905.95,87.718,5460.6,87.6227,1870000,374,-12883.544921875
375,4598.85,88.9609,5181.29,83.61,1875000,375,-12778.322265625
376,5026.44,86.236,5736.09,87.9412,1880000,376,-12949.544921875
377,5186.18,90.1451,5544.42,88.4869,1885000,377,-13139.34375
378,4685.74,93.8126,5702.0,88.8262,1890000,378,-13127.1787109375
379,4564.13,93.146,5346.7,88.5458,1895000,379,-13243.33203125
380,4900.59,89.8147,5453.97,88.3215,1900000,380,-13276.4404296875
381,5123.24,90.941,5822.39,88.6974,1905000,381,-13358.171875
382,4856.91,95.3967,5634.89,88.8297,1910000,382,-13365.8046875
383,5082.53,85.9548,5795.58,84.4701,1915000,383,-12823.1044921875
384,5453.48,86.4337,5644.6,81.211,1920000,384,-12595.126953125
385,5229.17,91.6268,5418.55,86.501,1925000,385,-13010.568359375
386,5304.57,94.0293,5747.4,87.7727,1930000,386,-13497.37890625
387,4967.57,86.1151,4841.58,80.9905,1935000,387,-12516.4697265625
388,5194.22,97.4664,5706.87,90.7231,1940000,388,-13671.388671875
