Itration,Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL
166,-8.63,28.7776,337.47,70.6075
167,-13.89,30.1661,296.33,68.6442
168,-27.61,30.7286,211.27,70.3315
169,-1.77,30.2733,190.91,70.734
170,49.14,32.3917,214.76,71.0862
171,-22.97,29.0919,209.97,71.1768
172,23.23,33.4835,441.47,73.0511
173,-16.5,29.3425,40.12,71.2238
174,-26.9,31.1527,168.77,72.4444
175,-47.59,31.1059,111.51,70.4543
176,10.01,26.4212,-199.62,63.437
177,-10.26,31.5262,159.69,70.5436
178,-7.13,30.0349,162.11,70.9212
179,-48.37,34.2568,-322.1,71.2174
180,-3.43,31.0363,131.57,68.209
181,19.9,26.8983,363.12,69.2193
182,-10.6,27.7896,236.42,68.3751
183,35.68,26.2827,134.94,67.2969
184,52.93,27.2323,367.98,70.1338
185,37.93,28.7148,348.6,70.0638
186,85.83,28.1705,248.87,67.6564
187,161.39,29.1142,890.84,67.0681
188,-67.73,32.7682,-486.48,71.1885
189,84.81,28.8398,589.64,71.8029
190,37.93,31.0995,260.11,67.9177
191,125.33,26.4606,711.87,66.8895
192,70.8,29.8293,336.49,70.4522
193,107.57,30.7251,595.57,72.4269
194,195.93,26.7069,853.36,66.9031
195,296.48,26.3333,1084.19,65.2854
196,233.69,28.7796,937.49,68.344
197,182.74,30.4115,786.72,64.967
198,301.87,27.7074,999.19,65.7169
199,255.41,28.6031,908.86,67.5342
200,144.37,29.8844,606.28,67.6576
201,123.7,30.7591,781.58,66.7439
202,69.48,32.3267,562.9,69.754
203,104.91,30.392,663.33,67.0706
204,111.79,29.2299,576.66,65.9585
205,95.76,28.4535,514.23,65.4727
206,58.83,28.5769,476.9,66.993
207,20.85,28.7392,249.01,68.3376
208,-12.39,29.2142,75.56,69.2808
209,-25.24,30.049,116.39,70.8337
210,-23.57,30.1157,128.73,71.5807
211,25.08,28.4858,58.74,70.6911
212,-46.43,30.7353,95.76,72.1724
213,-47.9,27.9636,86.98,74.054
214,18.64,28.2174,128.95,70.2423
215,-101.0,27.6876,107.21,68.203
216,-61.12,31.7073,129.91,70.4947
217,-2.7,28.4289,198.17,69.8391
218,-27.23,29.0564,215.23,71.8776
219,-46.3,27.8799,147.76,68.4884
220,-13.33,27.1569,130.12,70.9033
221,-20.36,30.37,81.27,70.7186
222,-24.05,27.1278,120.46,70.3965
223,-22.85,27.2493,70.83,69.7741
224,-50.32,32.6779,76.22,71.0523
225,-55.23,31.3789,119.84,71.732
226,-53.86,29.469,92.16,70.5674
227,-19.49,31.8119,-27.37,70.395
228,-90.49,26.7,57.84,69.8027
229,-33.65,27.7882,51.64,69.4162
230,10.6,25.8219,150.02,68.9444
231,8.2,26.8947,157.07,68.4811
232,-18.74,26.3725,233.75,69.2009
233,0.71,27.8705,205.13,67.7291
234,-47.83,28.8919,155.59,69.5525
235,-44.57,27.6179,153.43,70.2986
236,-18.56,27.3523,107.92,68.8023
237,-9.27,27.3428,33.42,68.6733
238,-25.77,29.7736,100.99,70.4659
239,6.31,27.9824,48.05,67.2016
240,-54.31,30.0041,131.26,69.0055
241,-32.32,31.8904,24.57,70.6573
242,-53.92,30.0958,170.47,67.7207
243,-49.92,30.9903,22.41,69.4255
244,-29.06,31.5153,82.71,71.9995
245,-11.75,27.8138,167.83,70.431
246,-52.28,27.7986,115.52,70.0401
247,-9.01,27.798,321.21,70.5125
248,-10.65,28.9555,137.76,69.7232
249,-23.64,27.0576,328.38,69.0302
250,-34.59,28.9017,217.6,68.8907
251,-67.26,29.0985,232.37,72.0897
252,-73.75,28.1844,154.12,70.5331
253,-37.37,27.7781,143.26,69.2843
254,-57.44,25.441,235.85,68.3521
255,-62.6,28.6327,159.17,69.7643
256,-27.67,27.5641,48.92,70.4351
257,-35.68,26.8918,71.2,70.8211
258,-67.53,30.1284,24.54,70.6173
259,-61.76,27.2966,106.79,69.4757
260,-104.92,29.761,98.84,70.5102
261,-46.36,27.2548,108.12,68.8199
262,-58.66,28.1022,-35.53,69.4865
263,-32.28,29.2048,137.6,70.1442
264,-55.17,29.7593,-180.93,71.3253
265,-74.97,28.7547,30.96,70.0296
266,-68.62,29.0742,-38.4,70.8121
267,-37.41,29.5814,35.39,70.2528
268,-118.56,29.535,-113.57,69.9654
269,-158.71,35.0446,-269.21,71.4239
270,-90.25,28.8464,-265.9,70.1801
271,-91.4,28.5413,-335.59,72.1494
272,-94.5,29.3516,-191.22,70.6843
273,-183.0,33.3676,-391.74,71.017
274,-82.19,28.8772,-438.3,71.9656
275,-110.62,31.2647,-374.81,70.997
276,-102.56,29.0075,65.96,71.8959
277,2.22,29.2336,86.02,69.6099
278,-58.06,27.9419,70.23,70.2332
279,-42.04,30.4486,-86.6,70.5502
280,-9.48,30.4941,119.55,72.7682
281,-98.29,26.2625,-213.27,67.1942
282,-45.6,29.0589,124.67,68.4245
283,-70.81,27.8852,-130.44,69.6212
284,-50.35,27.4871,81.93,70.2817
285,-55.29,27.2469,17.08,68.4969
286,-79.24,26.9888,109.83,69.3506
287,-66.57,27.4422,134.39,68.8521
288,-138.58,31.2452,-537.55,71.6068
289,-62.07,27.1797,80.36,69.1113
290,-153.34,28.7808,-801.19,70.5439
291,-38.29,27.4897,130.69,70.2369
292,-35.35,30.8597,3.81,69.7256
293,-74.91,28.3823,-327.16,69.645
294,-98.67,27.8916,95.99,70.7595
295,-58.03,27.2117,36.99,69.8114
296,-98.81,28.1494,-42.73,70.2289
297,-71.8,28.9545,-14.92,70.0789
298,-83.19,27.1833,83.91,69.8015
299,-112.79,28.3446,-28.7,69.9018
300,-97.91,33.0741,-0.76,69.6523
301,-85.71,28.1415,20.69,71.807
302,-91.99,32.3032,-163.41,71.3992
303,-65.28,32.7762,37.65,69.2478
304,-70.48,29.3107,-31.74,71.6655
305,-71.32,29.7542,34.35,70.3498
306,-68.74,29.4989,62.55,70.2796
307,-55.98,31.041,-2.3,71.326
308,-84.69,30.1082,-24.83,72.1077
309,-82.8,28.7007,-342.62,72.1168
310,-108.39,33.3849,-92.36,71.3931
311,-79.89,28.173,-199.69,71.6386
312,-76.67,31.0511,-186.35,73.9125
313,-106.37,29.5506,-56.82,71.9449
314,-47.22,30.459,3.34,73.1401
315,-90.04,31.3872,-207.89,71.2302
316,-20.67,29.3085,32.62,71.7859
317,-54.33,29.6724,55.91,71.5373
318,-37.59,28.7505,-8.68,71.6545
319,-49.66,30.0458,-5.71,70.6779
320,-25.36,31.6961,53.34,72.5224
321,-46.04,29.3916,-4.22,72.1749
322,-63.67,29.2063,20.04,70.4112
323,-8.72,28.614,60.68,71.3989
324,-119.5,31.0747,-8.23,72.694
325,-87.91,30.4871,36.84,73.712
326,-66.56,29.4239,6.05,72.2969
327,-52.1,29.1511,47.99,71.3501
328,-45.68,28.0978,6.06,70.9108
329,-17.06,29.1891,-22.47,71.8524
330,-29.37,30.3592,7.61,71.8472
331,-26.32,28.3197,32.88,70.5029
332,-51.42,30.3775,-79.81,70.2668
333,-50.01,29.3802,-38.91,72.6124
334,-74.0,29.0789,-25.63,72.1447
335,-49.9,31.0734,-2.41,72.9235
336,-38.95,32.776,26.74,71.6674
337,-51.75,30.2476,-70.58,72.8339
338,-77.78,30.4387,-273.48,71.0677
339,-71.04,27.3861,-109.93,71.8446
340,-97.43,29.5934,3.08,72.4627
341,-65.12,28.0788,55.34,71.7339
342,-82.76,27.1869,15.62,71.8271
343,-101.62,29.0018,-3.54,71.8309
344,-66.16,30.6525,17.11,71.8285
345,-58.04,29.3734,-180.58,70.8829
346,-67.93,29.0367,-65.51,71.6817
347,-39.13,28.9678,48.64,71.4588
348,-84.87,27.3671,30.93,70.8279
349,-120.42,28.326,-28.3,70.3864
350,-139.54,26.8237,30.28,71.5118
351,-53.75,26.2076,29.92,70.2514
352,-86.7,29.9457,-106.95,69.0717
353,-107.68,27.5008,6.43,70.8109
354,-150.17,26.5469,16.26,71.0144
355,-77.64,28.1056,-58.12,69.7093
