Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Itration
60,2023.79,1740.99,-2784.3271484375,156.9378,15.6991,300000,60
61,2061.85,1779.88,-2840.103759765625,157.0408,16.2741,305000,61
62,2138.57,1782.3,-2864.20703125,156.9137,16.1669,310000,62
63,2084.79,1750.58,-2916.580078125,156.9438,15.6698,315000,63
64,2092.47,1781.32,-2959.2080078125,156.9355,15.7806,320000,64
65,2103.93,1765.19,-3000.410888671875,157.2402,15.9971,325000,65
66,2108.71,1786.17,-3041.185791015625,156.7664,15.8085,330000,66
67,2120.61,1777.73,-3085.33544921875,156.97,15.8741,335000,67
68,2145.5,1782.54,-3140.39892578125,156.8939,16.0412,340000,68
69,2104.22,1772.92,-3214.442138671875,156.865,15.1959,345000,69
70,2110.06,1770.67,-3204.54296875,156.9808,15.8293,350000,70
71,2156.66,1784.1,-3259.368408203125,156.8879,16.1578,355000,71
72,2160.8,1799.31,-3320.18994140625,156.8508,16.0619,360000,72
73,2076.95,1768.28,-3341.47216796875,156.8858,15.4118,365000,73
74,2154.6,1794.39,-3383.334228515625,156.7494,15.7822,370000,74
75,2129.72,1788.2,-3430.919677734375,156.8701,15.7714,375000,75
76,2128.21,1789.36,-3463.109619140625,156.9716,15.6738,380000,76
77,2188.29,1833.49,-3534.661865234375,156.9198,15.9801,385000,77
78,2146.53,1790.94,-3549.69140625,156.745,15.7693,390000,78
79,2139.45,1810.4,-3622.2646484375,156.9837,16.0246,395000,79
80,2171.81,1813.3,-3655.796630859375,157.0628,16.0113,400000,80
81,2155.94,1821.73,-3700.500732421875,156.9013,15.6471,405000,81
82,2129.8,1784.59,-3742.02587890625,157.0119,15.6847,410000,82
83,2164.03,1807.09,-3782.5009765625,156.8597,15.9115,415000,83
84,2142.88,1811.75,-3836.99462890625,156.8833,15.4755,420000,84
85,2158.92,1833.53,-3878.305419921875,156.7573,15.856,425000,85
86,2165.92,1816.14,-3945.14111328125,156.7904,15.585,430000,86
87,2114.75,1782.45,-3959.373291015625,156.9433,15.7382,435000,87
88,2208.26,1848.07,-4040.594970703125,157.023,16.1518,440000,88
89,2203.16,1828.66,-4081.630615234375,156.7926,15.9427,445000,89
90,2192.41,1835.98,-4102.83447265625,156.7571,15.7873,450000,90
91,2084.02,1777.36,-4124.52685546875,156.7599,15.4801,455000,91
92,2147.69,1829.51,-4189.9443359375,156.7173,15.7129,460000,92
93,2179.12,1851.68,-4243.947265625,156.8119,15.964,465000,93
94,2225.0,1835.77,-4306.18603515625,156.8265,15.8989,470000,94
95,2210.19,1841.2,-4359.373046875,156.8036,15.4847,475000,95
96,2118.45,1802.49,-4420.2314453125,156.9086,15.6195,480000,96
97,2201.06,1859.72,-4459.5283203125,156.703,15.5759,485000,97
98,2194.19,1832.89,-4494.80078125,156.717,15.5854,490000,98
99,2216.64,1857.83,-4558.5087890625,156.9172,15.9326,495000,99
100,2185.08,1839.98,-4583.400390625,156.8614,15.6454,500000,100
101,2239.5,1869.35,-4655.04296875,156.8176,15.8215,505000,101
102,2204.7,1849.57,-4700.0673828125,156.7194,15.6122,510000,102
103,2191.68,1854.44,-4750.7783203125,156.8346,16.0732,515000,103
104,2182.37,1843.15,-4802.6337890625,157.0141,15.7354,520000,104
105,2153.65,1835.37,-4846.21826171875,156.7315,15.5124,525000,105
106,2183.96,1818.2,-4872.8125,156.7115,15.3817,530000,106
107,2190.64,1853.05,-4938.8359375,156.7419,15.4745,535000,107
108,2204.09,1885.61,-4986.5224609375,156.8595,15.7567,540000,108
109,2212.29,1861.94,-5072.18603515625,156.9019,15.754,545000,109
110,2173.71,1842.02,-5088.3115234375,156.6709,15.5096,550000,110
111,2165.97,1845.94,-5150.40966796875,156.9002,15.6989,555000,111
112,2214.34,1849.8,-5218.2421875,156.819,15.5979,560000,112
113,2236.96,1891.94,-5243.76318359375,156.8237,15.7851,565000,113
114,2173.56,1855.45,-5289.6572265625,156.9056,15.617,570000,114
115,2180.1,1861.42,-5333.2197265625,156.9234,15.6479,575000,115
116,2192.99,1884.67,-5411.20361328125,156.6541,15.5721,580000,116
117,2191.6,1860.7,-5456.953125,156.6491,15.3699,585000,117
118,2206.71,1858.25,-5515.6318359375,156.7119,15.7509,590000,118
119,2236.93,1855.52,-5574.31494140625,156.8046,15.3443,595000,119
120,2153.44,1856.66,-5616.431640625,156.8635,15.3265,600000,120
121,2178.67,1856.32,-5635.63720703125,156.8604,15.5303,605000,121
122,2200.07,1843.68,-5728.662109375,156.7391,15.4905,610000,122
123,2232.2,1878.2,-5794.38427734375,156.7672,15.3995,615000,123
124,2192.95,1869.45,-5821.72705078125,156.916,15.7018,620000,124
125,2143.71,1826.28,-5875.40673828125,156.7117,15.426,625000,125
126,2230.33,1877.72,-5937.26025390625,156.6362,15.5717,630000,126
127,2223.59,1869.06,-5976.95458984375,156.6559,15.3986,635000,127
128,2214.22,1875.78,-6066.75146484375,156.7852,15.2308,640000,128
129,2199.39,1861.03,-6116.9970703125,156.7966,15.5968,645000,129
130,2229.74,1868.5,-6171.3876953125,156.7705,15.626,650000,130
131,2131.98,1804.63,-6210.57373046875,156.7806,15.5007,655000,131
132,2225.13,1904.06,-6266.80322265625,156.711,15.5649,660000,132
133,2204.1,1889.93,-6315.17236328125,156.7829,15.6088,665000,133
134,2229.64,1888.83,-6392.92919921875,156.6356,15.2466,670000,134
135,2223.23,1875.53,-6458.359375,156.9968,15.666,675000,135
136,2248.5,1893.94,-6534.35009765625,156.7393,15.7169,680000,136
137,2181.46,1864.46,-6551.98388671875,156.6004,15.0996,685000,137
138,2228.4,1878.93,-6633.80908203125,156.6804,15.4438,690000,138
139,2223.0,1917.64,-6693.97998046875,156.5911,15.4636,695000,139
140,2230.45,1885.12,-6725.7265625,156.5838,15.2236,700000,140
141,2200.23,1896.17,-6805.8125,156.6552,15.5764,705000,141
142,2213.53,1872.77,-6881.3408203125,156.7014,15.4656,710000,142
143,2276.84,1924.97,-6937.3173828125,156.6809,15.4413,715000,143
144,2243.93,1891.0,-6980.36181640625,156.8562,15.6417,720000,144
145,2266.06,1904.36,-7048.677734375,156.6061,15.5281,725000,145
146,2187.5,1869.68,-7098.63818359375,156.8371,15.1237,730000,146
147,2206.55,1866.56,-7111.111328125,156.6686,15.2546,735000,147
148,2255.28,1895.33,-7219.71435546875,156.7078,15.2347,740000,148
149,2289.24,1905.95,-7286.2919921875,156.7045,15.4058,745000,149
150,2256.57,1902.56,-7300.41015625,156.6893,15.4655,750000,150
151,2258.07,1929.93,-7357.57421875,156.6413,15.6352,755000,151
152,2207.35,1910.5,-7409.06787109375,156.8678,15.3296,760000,152
153,2252.27,1884.06,-7491.1337890625,156.6304,15.298,765000,153
154,2253.39,1915.72,-7533.95166015625,156.5385,15.2214,770000,154
155,2245.07,1910.13,-7514.46728515625,156.6049,15.3198,775000,155
156,2229.03,1888.01,-7628.00830078125,156.6234,15.5732,780000,156
157,2280.13,1914.11,-7677.0322265625,156.6753,15.4163,785000,157
158,2237.52,1919.8,-7710.54345703125,156.786,15.5943,790000,158
159,2248.97,1915.49,-7782.45751953125,156.7011,15.4013,795000,159
160,2224.81,1916.76,-7880.4375,156.8567,15.7944,800000,160
161,2289.25,1931.43,-7961.0087890625,156.8659,15.7903,805000,161
162,2253.31,1909.43,-7938.619140625,156.6605,15.3594,810000,162
163,2269.99,1919.26,-8009.74755859375,156.7978,15.6833,815000,163
164,2265.31,1908.76,-8095.04150390625,156.732,15.335,820000,164
165,2249.61,1911.55,-8094.1533203125,156.4707,15.2716,825000,165
166,2281.08,1904.45,-8192.0654296875,156.6284,15.2755,830000,166
167,2265.12,1924.52,-8236.724609375,156.5351,15.0969,835000,167
168,2207.79,1896.84,-8257.3525390625,156.5148,15.184,840000,168
169,2245.88,1941.0,-8349.431640625,156.6392,15.5338,845000,169
170,2236.64,1917.67,-8392.53125,156.5808,15.3732,850000,170
171,2230.94,1863.98,-8466.1591796875,156.8555,15.1597,855000,171
172,2253.61,1924.34,-8496.568359375,156.6136,15.3616,860000,172
173,2219.9,1906.64,-8544.7578125,156.629,15.4366,865000,173
174,2229.05,1901.41,-8603.87109375,156.6406,15.0013,870000,174
175,2269.55,1920.22,-8676.1240234375,156.6594,15.228,875000,175
176,2235.55,1887.13,-8738.3408203125,156.523,15.2308,880000,176
177,2250.4,1911.47,-8800.041015625,156.6195,15.4584,885000,177
178,2281.82,1929.2,-8835.9501953125,156.5577,15.2149,890000,178
179,2256.49,1919.56,-8884.861328125,156.6459,15.3575,895000,179
180,2216.05,1883.93,-8942.5771484375,156.6927,15.3414,900000,180
181,2225.22,1903.8,-8998.65234375,156.5499,15.3296,905000,181
182,2298.88,1929.24,-9057.7265625,156.5686,15.4745,910000,182
183,2290.77,1934.53,-9073.5595703125,156.6094,15.4241,915000,183
184,2272.59,1921.39,-9128.69921875,156.6381,15.3554,920000,184
185,2273.02,1920.05,-9176.111328125,156.5041,15.2368,925000,185
186,2290.17,1963.6,-9248.48828125,156.7857,15.5766,930000,186
187,2226.55,1887.25,-9234.453125,156.7103,15.0056,935000,187
188,2287.36,1924.2,-9248.7666015625,156.5946,15.1441,940000,188
189,2277.92,1936.3,-9321.0205078125,156.7471,15.5511,945000,189
190,2304.96,1960.92,-9352.4833984375,156.546,15.5821,950000,190
191,2298.62,1945.25,-9355.232421875,156.5584,15.4402,955000,191
192,2321.8,1981.74,-9415.3515625,156.5219,15.5951,960000,192
193,2278.09,1933.49,-9424.3525390625,156.5448,15.4208,965000,193
194,2299.02,1943.35,-9466.7216796875,156.7692,15.3882,970000,194
195,2314.96,1922.08,-9509.693359375,156.5827,15.1244,975000,195
196,2275.66,1935.26,-9532.8369140625,156.5761,15.3127,980000,196
197,2282.4,1947.96,-9603.3818359375,156.6731,15.2977,985000,197
198,2279.34,1956.25,-9592.1005859375,156.7546,15.364,990000,198
199,2300.34,1940.14,-9633.470703125,156.5732,15.2002,995000,199
200,2292.3,1925.43,-9706.4609375,156.5834,15.0564,1000000,200
201,2284.17,1917.57,-9713.763671875,156.6727,15.2686,1005000,201
202,2260.63,1923.68,-9745.3408203125,156.5962,15.0946,1010000,202
203,2284.01,1920.69,-9778.6552734375,156.4048,15.0878,1015000,203
204,2280.54,1926.88,-9784.44921875,156.6411,15.1108,1020000,204
205,2275.31,1936.23,-9832.3427734375,156.6096,15.1133,1025000,205
206,2287.9,1916.39,-9862.484375,156.4793,14.9098,1030000,206
207,2277.47,1911.21,-9893.546875,156.5794,15.0624,1035000,207
208,2286.73,1919.3,-9937.7099609375,156.6262,15.0848,1040000,208
209,2260.51,1928.57,-9989.31640625,156.6254,15.0091,1045000,209
210,2285.48,1941.64,-9996.97265625,156.5795,15.078,1050000,210
211,2282.76,1933.34,-10012.08203125,156.6458,15.1126,1055000,211
212,2280.74,1908.26,-10055.095703125,156.6305,15.0298,1060000,212
213,2271.03,1921.09,-10104.068359375,156.6732,15.0584,1065000,213
214,2283.46,1921.27,-10134.4716796875,156.4253,15.0872,1070000,214
215,2282.07,1921.41,-10154.8095703125,156.6428,14.9532,1075000,215
216,2279.97,1941.22,-10195.5888671875,156.4615,15.0571,1080000,216
217,2290.07,1928.78,-10254.1484375,156.671,15.0346,1085000,217
218,2278.12,1948.0,-10253.8291015625,156.541,14.9783,1090000,218
219,2275.98,1922.08,-10304.4580078125,156.6085,14.9682,1095000,219
220,2293.13,1938.57,-10276.671875,156.5502,15.0995,1100000,220
221,2297.37,1937.85,-10324.544921875,156.3915,15.0066,1105000,221
222,2309.78,1949.57,-10353.2978515625,156.5078,15.104,1110000,222
223,2309.07,1960.87,-10386.09765625,156.5009,15.0928,1115000,223
224,2315.15,1947.22,-10421.775390625,156.6114,15.1063,1120000,224
225,2297.85,1942.22,-10462.201171875,156.5884,15.0315,1125000,225
226,2279.1,1947.52,-10458.5224609375,156.5757,14.8901,1130000,226
227,2284.46,1935.11,-10489.9189453125,156.5351,14.9849,1135000,227
228,2303.05,1960.35,-10527.3671875,156.4855,15.1232,1140000,228
229,2302.27,1951.54,-10564.1328125,156.4639,15.0787,1145000,229
230,2286.9,1938.97,-10551.2255859375,156.6163,15.0926,1150000,230
231,2314.94,1955.75,-10608.916015625,156.6322,15.1215,1155000,231
232,2281.43,1931.65,-10606.0107421875,156.5581,14.8584,1160000,232
233,2288.84,1947.24,-10614.1474609375,156.6527,14.9498,1165000,233
234,2285.22,1946.36,-10638.4296875,156.4509,14.9408,1170000,234
235,2287.18,1937.83,-10649.748046875,156.4886,15.0194,1175000,235
236,2300.77,1951.87,-10704.939453125,156.4789,15.164,1180000,236
237,2280.48,1961.94,-10714.1337890625,156.4881,15.0604,1185000,237
238,2300.17,1956.09,-10773.1171875,156.47,15.2503,1190000,238
239,2310.72,1959.31,-10755.373046875,156.5471,15.2376,1195000,239
240,2289.28,1943.2,-10808.1376953125,156.5337,15.1151,1200000,240
241,2294.5,1946.34,-10808.7421875,156.5098,15.2117,1205000,241
242,2283.44,1945.29,-10813.6083984375,156.6072,15.1278,1210000,242
243,2278.66,1942.6,-10850.087890625,156.4835,15.1484,1215000,243
244,2288.71,1962.71,-10920.9541015625,156.3837,15.2316,1220000,244
245,2303.54,1962.65,-10894.849609375,156.5488,15.2205,1225000,245
246,2305.6,1951.51,-10952.6728515625,156.4854,15.12,1230000,246
247,2285.08,1955.26,-10975.015625,156.413,15.1143,1235000,247
248,2286.92,1948.75,-10980.791015625,156.4941,15.1271,1240000,248
249,2305.81,1973.12,-11023.576171875,156.4925,15.115,1245000,249
250,2281.33,1926.68,-11001.1640625,156.601,15.061,1250000,250
251,2300.16,1968.22,-11087.80859375,156.5202,15.2105,1255000,251
252,2321.7,1977.62,-11097.4619140625,156.6087,15.2834,1260000,252
253,2317.66,1958.38,-11161.359375,156.4228,15.2052,1265000,253
254,2318.76,1959.81,-11160.4423828125,156.513,15.157,1270000,254
255,2318.93,1983.87,-11178.5595703125,156.4942,15.2515,1275000,255
256,2312.18,1946.96,-11223.5390625,156.5255,15.0839,1280000,256
257,2321.21,1957.61,-11209.3564453125,156.4979,15.1307,1285000,257
258,2302.34,1966.64,-11215.4716796875,156.6253,15.1078,1290000,258
259,2308.27,1968.1,-11275.615234375,156.4706,15.1421,1295000,259
260,2290.05,1952.63,-11267.166015625,156.5925,15.2096,1300000,260
261,2298.28,1956.72,-11259.4833984375,156.4373,15.0636,1305000,261
262,2329.52,1969.68,-11325.2724609375,156.4998,15.1745,1310000,262
263,2306.51,1946.37,-11336.5048828125,156.4723,15.2315,1315000,263
264,2328.6,1960.4,-11357.6416015625,156.5252,15.1783,1320000,264
265,2285.93,1955.11,-11456.3115234375,156.5251,15.1051,1325000,265
266,2307.41,1944.25,-11434.09765625,156.5345,15.0773,1330000,266
267,2278.21,1942.92,-11425.8095703125,156.5899,15.1452,1335000,267
268,2285.34,1953.39,-11479.5146484375,156.5397,15.1462,1340000,268
269,2290.91,1952.74,-11490.849609375,156.4912,15.085,1345000,269
270,2286.73,1950.37,-11523.0810546875,156.6421,15.051,1350000,270
271,2256.51,1937.54,-11561.6962890625,156.5437,15.193,1355000,271
272,2265.45,1943.59,-11576.521484375,156.5692,15.2421,1360000,272
273,2286.42,1944.6,-11563.62890625,156.406,15.1997,1365000,273
274,2326.78,1972.98,-11614.240234375,156.5735,15.0212,1370000,274
275,2302.03,1951.49,-11610.2451171875,156.5473,15.0806,1375000,275
276,2282.64,1970.45,-11657.486328125,156.6618,15.1992,1380000,276
277,2314.89,1942.3,-11704.65625,156.629,15.0594,1385000,277
278,2283.11,1950.22,-11697.361328125,156.5565,15.1407,1390000,278
279,2272.48,1931.59,-11753.0595703125,156.598,15.2442,1395000,279
280,2303.52,1963.18,-11775.2744140625,156.5831,15.0772,1400000,280
281,2317.41,1921.25,-11808.7978515625,156.6283,14.932,1405000,281
282,2259.58,1938.18,-11787.0322265625,156.7628,15.0289,1410000,282
283,2229.42,1915.1,-11804.685546875,156.6055,14.9864,1415000,283
284,2287.0,1960.81,-11886.400390625,156.6393,15.0771,1420000,284
285,2284.1,1953.08,-11872.15234375,156.6425,15.0781,1425000,285
286,2324.15,1968.09,-11979.537109375,156.6377,15.0374,1430000,286
287,2281.77,1933.01,-11941.5234375,156.6103,15.0344,1435000,287
288,2296.75,1953.14,-11964.115234375,156.6306,15.0841,1440000,288
289,2296.25,1949.5,-11961.2060546875,156.5561,15.066,1445000,289
290,2299.38,1950.7,-12011.080078125,156.4981,15.0773,1450000,290
291,2292.66,1933.07,-12024.486328125,156.4976,14.9505,1455000,291
292,2300.02,1934.08,-12061.51171875,156.4932,15.01,1460000,292
293,2320.28,1955.4,-12096.4228515625,156.422,15.0896,1465000,293
294,2293.81,1935.57,-12062.2666015625,156.342,15.042,1470000,294
295,2297.22,1956.57,-12115.322265625,156.6664,15.1218,1475000,295
296,2291.35,1952.58,-12162.6611328125,156.5419,15.0691,1480000,296
297,2282.79,1930.32,-12172.6357421875,156.5807,15.0937,1485000,297
298,2273.73,1938.11,-12134.1474609375,156.6781,15.0426,1490000,298
299,2258.44,1922.44,-12193.9052734375,156.6288,15.1062,1495000,299
300,2278.16,1933.93,-12225.806640625,156.506,15.074,1500000,300
301,2296.93,1958.61,-12246.7734375,156.4344,15.057,1505000,301
302,2311.19,1956.19,-12292.13671875,156.5738,15.1029,1510000,302
303,2281.67,1932.64,-12281.787109375,156.6204,15.1706,1515000,303
304,2322.8,1945.07,-12330.9033203125,156.5468,15.0182,1520000,304
305,2313.83,1952.44,-12297.32421875,156.631,15.1122,1525000,305
306,2278.03,1937.26,-12322.689453125,156.702,14.9416,1530000,306
307,2289.99,1938.96,-12331.470703125,156.5154,14.8745,1535000,307
308,2291.06,1928.87,-12395.3994140625,156.7822,15.1052,1540000,308
309,2288.25,1923.06,-12420.2587890625,156.622,14.9622,1545000,309
310,2311.09,1946.53,-12356.025390625,156.7022,15.0857,1550000,310
311,2314.34,1958.6,-12420.341796875,156.6497,15.098,1555000,311
312,2276.39,1950.61,-12431.6611328125,156.6267,14.9636,1560000,312
313,2311.92,1958.01,-12458.2724609375,156.6767,15.1962,1565000,313
314,2268.92,1932.2,-12447.4287109375,156.6366,15.0269,1570000,314
315,2288.77,1943.78,-12489.7138671875,156.6099,14.9085,1575000,315
316,2328.63,1977.65,-12539.4736328125,156.5648,15.1248,1580000,316
317,2300.19,1955.85,-12534.1357421875,156.555,15.0693,1585000,317
318,2321.03,1966.75,-12534.75390625,156.6088,15.016,1590000,318
319,2289.21,1951.46,-12556.4384765625,156.5679,15.0981,1595000,319
320,2287.17,1944.02,-12581.603515625,156.5304,14.9165,1600000,320
321,2345.83,1971.99,-12610.494140625,156.6795,15.0138,1605000,321
322,2297.67,1956.22,-12647.6875,156.4527,15.053,1610000,322
323,2285.22,1960.36,-12635.78125,156.5885,15.1135,1615000,323
324,2301.85,1966.41,-12687.2763671875,156.4826,15.0572,1620000,324
325,2305.97,1981.34,-12691.994140625,156.4993,15.1012,1625000,325
326,2285.93,1959.54,-12694.38671875,156.6517,15.0867,1630000,326
327,2310.84,1960.26,-12748.4169921875,156.526,15.0939,1635000,327
328,2325.96,1971.28,-12761.95703125,156.5804,15.0982,1640000,328
329,2283.02,1972.36,-12757.9306640625,156.539,15.214,1645000,329
330,2293.96,1970.87,-12758.193359375,156.7363,15.2523,1650000,330
331,2313.6,1961.29,-12773.3828125,156.8025,15.143,1655000,331
332,2301.47,1969.04,-12789.953125,156.5446,15.0243,1660000,332
333,2323.33,1964.48,-12885.166015625,156.7049,15.0538,1665000,333
334,2293.84,1950.79,-12882.994140625,156.5448,15.0539,1670000,334
335,2296.02,1973.46,-12891.99609375,156.5089,15.0906,1675000,335
336,2301.75,1957.96,-12854.0126953125,156.5757,14.9444,1680000,336
337,2295.57,1968.79,-12933.6142578125,156.4864,15.2456,1685000,337
338,2295.61,1958.56,-12944.599609375,156.6065,15.0134,1690000,338
339,2282.17,1913.57,-12976.2666015625,156.697,14.9348,1695000,339
340,2314.72,1973.05,-13012.134765625,156.5318,15.1242,1700000,340
341,2294.79,1934.82,-12970.068359375,156.6702,15.0313,1705000,341
342,2299.97,1956.7,-13031.421875,156.6066,15.1318,1710000,342
343,2306.74,1952.81,-13044.412109375,156.6078,15.0312,1715000,343
344,2309.31,1946.3,-13069.4794921875,156.4816,14.9829,1720000,344
345,2303.05,1943.0,-13067.0068359375,156.6655,14.8922,1725000,345
346,2272.89,1947.83,-13039.7744140625,156.5372,14.9643,1730000,346
347,2237.03,1934.68,-13078.78515625,156.6132,14.9576,1735000,347
348,2269.01,1940.67,-13165.4169921875,156.5884,15.0827,1740000,348
349,2264.79,1954.41,-13125.8251953125,156.6694,14.9625,1745000,349
350,2258.05,1927.01,-13152.5322265625,156.6103,14.9062,1750000,350
351,2282.84,1957.74,-13140.22265625,156.6552,15.1518,1755000,351
352,2301.76,1960.97,-13215.736328125,156.6108,15.027,1760000,352
353,2289.26,1967.72,-13236.818359375,156.6509,15.012,1765000,353
354,2335.12,1959.2,-13252.1416015625,156.4267,14.9839,1770000,354
355,2304.34,1956.8,-13241.392578125,156.5507,14.978,1775000,355
356,2327.34,1979.9,-13362.46484375,156.5852,15.0986,1780000,356
357,2316.31,1970.47,-13297.5556640625,156.5099,15.0152,1785000,357
358,2313.43,1976.43,-13392.5517578125,156.4823,15.0575,1790000,358
359,2338.27,1979.63,-13369.4267578125,156.4992,15.0679,1795000,359
360,2314.66,1978.49,-13425.556640625,156.631,15.1405,1800000,360
361,2298.04,1979.45,-13419.8642578125,156.5767,15.0032,1805000,361
362,2303.07,1958.72,-13474.619140625,156.5731,15.0451,1810000,362
363,2298.35,1984.75,-13448.7265625,156.4698,14.9219,1815000,363
364,2308.64,1955.71,-13427.9482421875,156.5372,15.091,1820000,364
365,2303.69,1961.05,-13465.439453125,156.494,14.939,1825000,365
366,2314.32,1966.61,-13475.1318359375,156.5002,15.2304,1830000,366
367,2296.18,1976.19,-13512.845703125,156.4692,14.9561,1835000,367
368,2255.5,1949.63,-13565.923828125,156.6226,15.0731,1840000,368
369,2302.2,1974.06,-13605.388671875,156.495,15.1173,1845000,369
370,2329.93,1992.07,-13588.8017578125,156.5204,15.2455,1850000,370
371,2310.45,1974.9,-13637.3583984375,156.6156,15.1811,1855000,371
372,2301.04,1981.68,-13641.9833984375,156.5969,15.1521,1860000,372
373,2297.93,1968.23,-13658.6875,156.4985,15.1162,1865000,373
374,2292.48,1942.7,-13631.4267578125,156.4324,15.0802,1870000,374
375,2270.42,1937.29,-13643.9150390625,156.5818,14.9639,1875000,375
376,2289.45,1956.71,-13648.2490234375,156.5455,15.095,1880000,376
377,2316.3,1980.12,-13788.484375,156.517,15.2749,1885000,377
378,2318.03,1975.21,-13782.0322265625,156.539,15.1354,1890000,378
379,2317.13,1971.59,-13805.12109375,156.5832,15.1507,1895000,379
380,2301.34,1967.15,-13773.4482421875,156.6715,15.2551,1900000,380
381,2311.64,1985.47,-13889.3544921875,156.5745,15.1001,1905000,381
382,2343.56,1998.06,-13889.4326171875,156.5862,15.2479,1910000,382
383,2297.45,1953.81,-13916.5771484375,156.5981,15.1546,1915000,383
384,2330.0,1978.93,-13917.40625,156.441,15.065,1920000,384
385,2334.9,1981.65,-13988.919921875,156.3862,15.1792,1925000,385
386,2332.95,1979.81,-13988.9140625,156.5771,15.1925,1930000,386
387,2350.14,1989.04,-14023.12890625,156.5595,15.1224,1935000,387
