Reward Loss,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
-4425.1689453125,135,135,1488.94,1400.22,675000,22.3488,33.3351
-5253.86767578125,136,136,1450.79,813.42,680000,22.9237,18.8525
-4576.8349609375,137,137,1736.57,1240.52,685000,22.8479,28.0647
-5276.73583984375,138,138,1876.35,1145.84,690000,22.2112,28.8688
-5961.2724609375,139,139,1582.28,1010.38,695000,22.7272,52.5549
-6063.32080078125,140,140,2261.67,3146.22,700000,22.9542,75.8006
-5622.43408203125,141,141,1447.72,1212.46,705000,23.258,19.9938
-5062.0732421875,142,142,1305.1,3046.09,710000,21.3484,32.0553
-6335.33837890625,143,143,1250.68,1100.45,715000,23.5829,51.2909
-6329.7373046875,144,144,1433.98,1554.64,720000,22.488,40.3474
-4865.41357421875,145,145,1290.0,2144.86,725000,22.8696,14.5937
-6106.33056640625,146,146,1802.86,3512.85,730000,23.2551,29.6997
-6226.16650390625,147,147,1443.19,1917.04,735000,22.4194,50.1688
-6648.76806640625,148,148,1065.41,1226.62,740000,22.8229,34.2193
-6574.68994140625,149,149,1706.93,1380.45,745000,23.0221,60.974
-5999.98583984375,150,150,1557.15,2361.71,750000,21.8555,15.6882
-6761.40576171875,151,151,1175.35,1943.0,755000,23.4225,28.2364
-6094.17919921875,152,152,1767.91,2196.34,760000,23.3995,41.2914
-5462.216796875,153,153,1535.02,1231.8,765000,23.0623,16.0158
-7796.42236328125,154,154,1315.67,1119.09,770000,24.4376,35.2077
-7958.30419921875,155,155,956.54,1002.88,775000,23.9772,78.4437
-7216.9345703125,156,156,1492.77,1404.52,780000,23.7456,51.3143
-7250.85888671875,157,157,1422.31,1611.97,785000,24.816,25.461
-7636.71044921875,158,158,1247.0,1134.57,790000,24.6817,74.9487
-6394.32763671875,159,159,1847.89,1905.2,795000,22.8385,54.9987
-7203.916015625,160,160,1440.87,1332.36,800000,23.5563,37.8758
-7638.13720703125,161,161,1343.34,1476.02,805000,23.2964,58.8685
-5747.5439453125,162,162,2362.77,1545.6,810000,22.871,36.0718
-5024.2783203125,163,163,1930.01,2417.95,815000,22.0068,45.0727
-7712.98828125,164,164,1477.46,1899.69,820000,24.3227,34.3426
-8725.6240234375,165,165,1311.95,1496.83,825000,25.1884,64.0643
-6485.08447265625,166,166,1144.33,1132.82,830000,22.4387,42.8064
-6854.6611328125,167,167,1578.79,1524.46,835000,22.7192,22.2036
-8169.43408203125,168,168,1717.95,2677.72,840000,23.3005,67.0604
-5433.10693359375,169,169,1778.25,3513.65,845000,22.0463,36.2792
-7566.7529296875,170,170,1675.07,1488.78,850000,23.3442,59.374
-8210.048828125,171,171,1366.62,1288.38,855000,23.9729,58.4393
-7427.80322265625,172,172,1719.66,3180.01,860000,22.5907,26.1083
-9874.9384765625,173,173,969.03,968.82,865000,38.1351,53.4726
-8787.2275390625,174,174,1243.76,1015.2,870000,22.8782,102.512
-9816.9873046875,175,175,1234.86,2648.74,875000,23.0649,58.5472
-6166.5595703125,176,176,1972.15,2543.74,880000,21.4556,31.9411
-9251.5107421875,177,177,1107.79,1326.33,885000,24.3925,64.9971
-8508.0556640625,178,178,1378.32,1437.82,890000,24.6902,26.0009
-7230.57568359375,179,179,1468.4,2790.48,895000,23.1685,26.328
-8465.787109375,180,180,1405.7,1461.96,900000,24.4096,33.4242
-8320.1787109375,181,181,1395.45,1662.62,905000,24.0006,52.832
-10073.423828125,182,182,1126.99,1320.24,910000,24.3535,39.1445
-8899.0537109375,183,183,1142.26,1246.27,915000,23.6203,34.81
-9700.5146484375,184,184,1413.63,2145.77,920000,24.1646,47.3091
-9688.2587890625,185,185,1176.91,1152.19,925000,24.2793,61.9581
-10032.205078125,186,186,1186.88,1314.16,930000,24.5188,56.823
-8463.9287109375,187,187,1389.42,1654.83,935000,22.893,25.3164
-10793.685546875,188,188,1165.05,1460.68,940000,24.5383,51.9294
-9315.7001953125,189,189,1323.39,1589.22,945000,23.3673,35.8349
-9950.1806640625,190,190,1317.96,1452.82,950000,24.0113,60.3217
-9121.845703125,191,191,1492.83,1175.7,955000,24.0686,39.0574
-9465.740234375,192,192,1599.67,1768.91,960000,23.5421,38.4754
-10586.6337890625,193,193,1370.53,1306.52,965000,24.3468,22.7683
-8167.576171875,194,194,1367.13,1426.57,970000,22.6765,39.986
-4818.39404296875,195,195,2253.39,2451.75,975000,20.8874,13.9452
-10059.46484375,196,196,1197.48,612.85,980000,24.019,46.7481
-11519.1806640625,197,197,1478.51,1573.35,985000,23.9885,80.8742
-10570.029296875,198,198,1346.16,1101.69,990000,23.5516,55.5703
-12282.1943359375,199,199,835.07,882.47,995000,24.8477,58.3571
