Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Reward Loss
55,42.8663,3943.02,18.2859,275000,55,3823.15,-1775.679931640625
56,43.7133,3919.63,19.2792,280000,56,3797.53,-1848.5120849609375
57,43.6582,3913.22,19.3305,285000,57,3823.85,-1874.942138671875
58,43.9018,209.93,15.3289,290000,58,3174.46,-1852.4871826171875
59,43.3801,3901.47,18.7732,295000,59,3673.8,-1913.6771240234375
60,42.7234,3903.41,19.1591,300000,60,3914.32,-1981.6585693359375
61,42.8036,3943.74,18.8704,305000,61,3942.46,-1971.342529296875
62,42.9766,3976.93,17.2199,310000,62,3891.76,-1971.976806640625
63,42.9108,4071.83,19.1952,315000,63,4021.23,-2050.977783203125
64,43.559,3795.8,18.2098,320000,64,3790.6,-2045.780517578125
65,42.3829,3226.45,16.0639,325000,65,2824.65,-2051.250732421875
66,41.8841,4091.37,16.8617,330000,66,3969.73,-1958.1956787109375
67,42.9849,4057.85,17.0974,335000,67,3665.48,-2118.378173828125
68,42.9117,3527.42,16.5787,340000,68,3850.43,-2170.795166015625
69,41.9186,4126.22,16.4196,345000,69,4043.91,-2041.3114013671875
70,44.1367,4077.8,19.7673,350000,70,3718.24,-2296.539794921875
71,43.3183,4132.32,18.5548,355000,71,3867.38,-2278.2119140625
72,42.5142,4212.64,17.0342,360000,72,3898.08,-2252.865234375
73,42.6393,4030.76,17.1842,365000,73,3969.0,-2241.4072265625
74,41.9806,4059.79,17.1854,370000,74,4018.14,-2188.350341796875
75,41.6866,4134.47,15.195,375000,75,4042.08,-2094.959716796875
76,43.1676,4018.37,17.0264,380000,76,3809.48,-2484.7099609375
77,43.3281,3977.12,17.865,385000,77,3435.98,-2500.755859375
78,42.264,4173.08,16.0963,390000,78,4095.27,-2307.94921875
79,41.7309,4185.14,15.8455,395000,79,4000.53,-2245.97705078125
80,42.3538,4145.42,16.0408,400000,80,3997.43,-2404.88916015625
81,41.264,4025.23,16.0133,405000,81,4057.81,-2313.8203125
82,42.3309,4033.15,17.1748,410000,82,3491.72,-2552.106689453125
83,42.9181,4059.49,17.0429,415000,83,3277.92,-2676.670654296875
84,42.3518,3619.07,16.7245,420000,84,3674.0,-2566.00537109375
85,42.7849,4382.51,18.6563,425000,85,3857.03,-2693.53662109375
86,42.9564,4067.01,20.4287,430000,86,3798.67,-2772.662353515625
87,41.759,4290.29,16.5477,435000,87,4209.39,-2644.5771484375
88,42.9899,3448.97,17.5861,440000,88,2935.57,-2817.65673828125
89,43.125,4018.66,18.7897,445000,89,3841.84,-2849.949462890625
90,42.4081,4120.38,16.8869,450000,90,4113.95,-2641.7470703125
91,41.529,4205.74,15.969,455000,91,4125.12,-2656.028076171875
92,41.5341,4165.49,14.7495,460000,92,4149.24,-2684.881103515625
93,41.9785,3985.5,14.284,465000,93,3422.75,-2729.197509765625
94,41.417,4171.61,14.5684,470000,94,3950.9,-2670.95166015625
95,42.1207,4210.41,16.9086,475000,95,4159.47,-2890.83203125
96,42.421,4298.24,16.6922,480000,96,4090.82,-2772.37890625
97,41.9708,4326.14,15.5056,485000,97,3737.53,-2908.510986328125
98,42.1798,4287.76,16.2362,490000,98,4148.43,-3082.989013671875
99,42.1043,4349.74,16.7297,495000,99,4243.86,-2931.310302734375
100,42.0573,4304.19,15.2524,500000,100,4154.03,-3010.972900390625
101,41.7029,4389.86,12.8063,505000,101,3839.45,-2675.306884765625
102,43.4822,1060.2,15.58,510000,102,2641.46,-3606.8740234375
103,42.52,4278.42,14.1739,515000,103,3045.62,-3092.3525390625
104,42.2857,4336.37,15.7347,520000,104,3308.47,-3282.760498046875
105,41.9635,4339.41,15.525,525000,105,4247.5,-2812.938720703125
106,41.8177,4392.35,16.1932,530000,106,4123.38,-2925.6943359375
107,41.646,4370.78,16.077,535000,107,4016.85,-3078.208984375
108,41.775,2101.01,13.1629,540000,108,3689.74,-3136.5927734375
109,42.102,4453.14,16.7323,545000,109,4350.73,-2991.248779296875
110,41.2702,4380.44,15.111,550000,110,4120.36,-3219.281005859375
111,42.2448,4361.68,17.0854,555000,111,4267.85,-3579.345458984375
112,42.1633,4471.31,16.9847,560000,112,4273.92,-3431.10595703125
113,41.7778,4373.12,16.2812,565000,113,4334.08,-3410.45068359375
114,42.1477,4514.62,17.3421,570000,114,4198.97,-3581.3076171875
115,41.7448,4483.68,17.5786,575000,115,4231.46,-3461.39501953125
116,41.8216,4395.7,16.2962,580000,116,4103.51,-3387.218994140625
117,41.0583,4472.58,15.5116,585000,117,3972.75,-3341.61181640625
118,41.698,4418.72,15.5499,590000,118,4114.37,-3275.18505859375
119,41.4434,4379.41,15.2853,595000,119,4308.16,-3292.145751953125
120,41.817,4524.0,17.8272,600000,120,4438.76,-3429.104248046875
121,41.222,4442.2,18.0605,605000,121,3974.55,-3448.443359375
122,41.9452,4453.11,15.3135,610000,122,4278.39,-3497.47216796875
123,41.2347,4313.92,15.7923,615000,123,4268.74,-3478.694091796875
124,42.6458,4411.65,16.7489,620000,124,4303.5,-3918.580078125
125,42.1413,4483.58,17.9032,625000,125,4293.09,-3691.12890625
126,42.982,4527.34,19.2659,630000,126,4254.95,-4098.2470703125
127,42.644,4427.77,14.6505,635000,127,4124.48,-3965.86767578125
128,41.5616,4408.79,17.7563,640000,128,3936.62,-3958.90771484375
129,41.3544,3778.36,14.5266,645000,129,3940.84,-3665.990966796875
130,42.37,4405.92,17.6005,650000,130,4267.57,-4151.47021484375
131,41.6759,4524.24,17.4683,655000,131,4370.58,-4154.55029296875
132,41.8484,4325.44,17.8238,660000,132,4126.34,-4149.39697265625
133,41.951,4456.26,17.6999,665000,133,4400.53,-4277.28759765625
134,41.7057,4364.62,15.7434,670000,134,4174.2,-4049.814697265625
135,41.8789,4403.63,15.7725,675000,135,4170.19,-4048.419189453125
136,41.8853,4478.04,17.8258,680000,136,4427.43,-4315.20166015625
137,42.5489,4384.5,17.7183,685000,137,3740.44,-4435.27880859375
138,42.0519,4402.57,17.2643,690000,138,4355.85,-4426.46630859375
139,42.2256,4359.32,17.8518,695000,139,4352.43,-4447.73681640625
140,42.2895,4440.04,16.8028,700000,140,4179.45,-4371.22998046875
141,42.7942,4477.99,17.4697,705000,141,4318.23,-4607.31103515625
142,42.0254,4402.18,17.8478,710000,142,4337.76,-4457.11181640625
143,41.5582,4462.6,16.1091,715000,143,4414.78,-4491.1904296875
144,42.1355,4449.71,18.441,720000,144,4400.65,-4828.162109375
145,42.5086,4408.61,19.218,725000,145,4402.79,-4856.38232421875
146,42.3339,4465.54,18.862,730000,146,4415.91,-4938.8388671875
147,41.5053,4483.95,17.2468,735000,147,4413.86,-4419.84228515625
148,41.7494,4439.88,16.8547,740000,148,4196.32,-4626.21337890625
149,41.6592,4472.6,16.3897,745000,149,4289.75,-4799.357421875
150,41.5618,4476.43,18.5088,750000,150,4447.18,-4826.8935546875
151,41.7877,4477.07,17.017,755000,151,4409.08,-4893.44970703125
152,41.5628,4493.2,17.1752,760000,152,4384.68,-4812.5673828125
153,40.222,4390.06,14.2217,765000,153,4379.03,-4155.169921875
154,41.4945,4526.1,15.326,770000,154,4410.6,-4582.048828125
155,41.4187,4573.88,17.144,775000,155,4390.5,-4624.9033203125
156,41.177,4579.57,15.7352,780000,156,4439.78,-5045.8095703125
157,40.5942,4447.96,14.3537,785000,157,4351.37,-4519.77587890625
158,41.9443,4583.05,18.4276,790000,158,4484.59,-5324.119140625
159,41.5642,4490.86,17.1524,795000,159,4448.73,-5202.43603515625
160,41.6515,4468.2,18.0206,800000,160,4411.87,-5118.97802734375
161,41.2844,4463.13,15.6279,805000,161,4427.17,-5253.23681640625
162,40.9274,4546.67,15.3113,810000,162,4456.02,-4754.48583984375
163,41.7492,4620.32,17.1243,815000,163,4527.24,-5156.3544921875
164,41.2783,4478.56,15.7504,820000,164,4401.25,-5240.0029296875
165,40.9376,4541.67,17.4463,825000,165,4459.9,-5304.9404296875
166,40.542,4492.2,14.5055,830000,166,4432.58,-4791.28857421875
167,41.8743,4477.05,15.0332,835000,167,4390.34,-5505.00830078125
168,41.4718,4490.08,15.9805,840000,168,4462.95,-5281.67578125
169,40.6107,4531.94,15.1302,845000,169,4448.97,-5316.291015625
170,41.6346,4457.36,18.192,850000,170,4450.81,-5737.58447265625
171,40.856,4596.28,16.0872,855000,171,4496.19,-5455.1591796875
172,40.6242,4481.74,14.3344,860000,172,4406.58,-5102.48779296875
173,40.3196,4500.59,15.3895,865000,173,4443.3,-4964.28662109375
174,40.2126,4469.69,15.1199,870000,174,4418.73,-5283.51123046875
175,40.1021,4606.26,14.4356,875000,175,4408.8,-5098.91845703125
176,40.7952,4455.32,15.1645,880000,176,4416.92,-5632.689453125
177,41.3356,4495.74,16.5218,885000,177,4241.47,-5775.8662109375
178,40.8128,4554.77,15.2937,890000,178,4475.66,-5854.0263671875
179,41.3694,4623.05,16.7571,895000,179,4447.08,-6019.4375
180,40.5043,4531.14,14.1097,900000,180,4474.45,-5290.92431640625
181,40.324,4551.52,15.8711,905000,181,4486.21,-5840.67431640625
182,40.2114,4500.59,14.6835,910000,182,4399.4,-5557.80126953125
183,40.8365,4512.49,16.7201,915000,183,4470.62,-6097.99560546875
184,40.667,4467.75,14.699,920000,184,4400.86,-5710.59033203125
185,40.6962,4517.23,15.5016,925000,185,4433.92,-5964.56298828125
186,41.4931,4529.65,16.2421,930000,186,4486.78,-6237.66748046875
187,41.1559,4545.79,16.5733,935000,187,4472.18,-6426.72265625
188,41.3706,4534.66,16.7735,940000,188,4479.58,-6097.6435546875
189,39.935,4516.87,15.6528,945000,189,4440.89,-6098.173828125
190,40.9496,4593.6,16.6389,950000,190,4526.69,-6277.4501953125
191,41.0091,4537.83,15.7564,955000,191,4466.8,-6437.08447265625
192,40.4045,4523.83,14.7901,960000,192,4449.71,-6263.9208984375
193,40.1617,4638.26,16.3488,965000,193,4581.66,-5753.9375
194,41.1909,4116.58,16.6035,970000,194,3545.06,-6193.3310546875
195,40.5037,4588.93,15.5649,975000,195,4510.33,-6300.685546875
196,41.0526,4516.87,15.8148,980000,196,4483.73,-6658.73876953125
197,40.4299,4487.27,15.0522,985000,197,4421.75,-6589.64501953125
198,40.4539,4638.44,16.391,990000,198,4550.25,-6308.13818359375
199,41.4799,4665.73,17.6984,995000,199,4469.3,-7109.0732421875
200,40.7812,4531.76,14.3245,1000000,200,4465.21,-6094.3837890625
201,40.3009,4567.94,15.606,1005000,201,4491.25,-6402.173828125
202,40.5401,4584.9,15.954,1010000,202,4504.88,-6668.1962890625
203,40.7408,4656.15,16.9523,1015000,203,4577.42,-7018.64794921875
204,40.9054,4577.45,16.5331,1020000,204,4515.62,-7059.0029296875
205,41.216,4666.6,17.0028,1025000,205,4573.83,-6990.06787109375
206,40.719,4521.33,14.3134,1030000,206,4250.7,-6735.82763671875
207,40.6136,4557.0,15.5035,1035000,207,4503.67,-7075.9326171875
208,40.7628,4568.13,14.4655,1040000,208,4289.96,-6662.822265625
209,40.6187,4533.42,15.334,1045000,209,4481.56,-6801.80615234375
210,40.5946,4512.29,14.7589,1050000,210,4315.23,-6797.03369140625
211,39.7724,4519.73,14.2268,1055000,211,4473.96,-6584.4814453125
212,40.8001,4489.48,14.5708,1060000,212,4445.47,-7238.39111328125
213,40.3393,4558.7,15.3029,1065000,213,4494.49,-6918.4873046875
214,40.4987,4531.65,14.4736,1070000,214,4261.77,-7005.369140625
215,40.9766,4533.88,16.0948,1075000,215,4513.78,-7265.68408203125
216,40.2653,4513.94,15.3546,1080000,216,4472.88,-6624.60693359375
217,40.586,4482.08,15.3704,1085000,217,4443.79,-7738.13916015625
218,40.7269,4507.61,15.4919,1090000,218,4479.07,-7468.70263671875
219,40.9608,4534.9,15.9261,1095000,219,4270.92,-7862.3798828125
220,40.5768,4594.9,15.7889,1100000,220,4535.37,-7694.45654296875
221,40.8764,4554.07,15.7632,1105000,221,3610.17,-7789.13232421875
222,41.163,4578.42,14.7705,1110000,222,4513.05,-7673.33984375
223,40.9415,4583.67,16.2042,1115000,223,4524.16,-7856.78271484375
224,41.3439,4603.65,15.6795,1120000,224,4498.01,-8132.6611328125
225,41.0619,4631.66,15.5888,1125000,225,4533.15,-7711.751953125
226,40.5616,4621.27,15.2953,1130000,226,4491.46,-7530.65380859375
227,40.4697,4606.43,15.3709,1135000,227,4496.48,-7794.83935546875
228,41.0951,4586.23,15.828,1140000,228,4530.4,-8097.8310546875
229,40.6382,4559.3,15.1714,1145000,229,4486.98,-7910.58349609375
230,40.6625,4576.83,14.926,1150000,230,4480.06,-8144.12939453125
231,40.151,4572.84,14.7469,1155000,231,4500.62,-7842.37939453125
232,40.6587,4600.55,14.2271,1160000,232,4487.55,-8072.1142578125
233,40.5341,4602.35,14.6502,1165000,233,4457.51,-8179.3974609375
234,40.8961,4588.27,15.4025,1170000,234,4485.6,-8485.7548828125
235,40.6867,4590.63,15.0001,1175000,235,4506.6,-8466.6611328125
236,41.0437,4594.04,14.5896,1180000,236,4296.68,-8191.63623046875
237,40.467,4625.95,15.316,1185000,237,4521.37,-8341.51171875
238,40.2027,4678.95,15.0652,1190000,238,4522.92,-8411.9140625
239,40.7138,4667.64,15.6911,1195000,239,4431.65,-8709.755859375
240,40.6416,4653.78,15.7137,1200000,240,4546.87,-8754.138671875
241,41.1012,4663.79,15.5134,1205000,241,4530.55,-8724.44921875
242,40.4183,4579.87,15.3696,1210000,242,4485.96,-8480.3486328125
243,40.8064,4575.68,15.7692,1215000,243,4482.63,-8967.13671875
244,41.1277,4587.35,15.7343,1220000,244,4485.67,-9258.7783203125
245,40.5794,4600.56,15.1423,1225000,245,4488.36,-8983.6025390625
246,40.6109,4588.37,15.4954,1230000,246,4501.17,-9371.8720703125
247,41.0114,4594.22,14.9331,1235000,247,4481.19,-9261.6533203125
248,40.496,4587.96,15.0035,1240000,248,4482.58,-9104.796875
249,40.7479,4552.33,15.4005,1245000,249,4340.26,-9650.1689453125
250,40.3787,4515.85,15.4467,1250000,250,4457.59,-8831.666015625
251,41.41,4160.74,14.265,1255000,251,4139.69,-9271.373046875
252,42.6,4258.5,18.3203,1260000,252,4097.93,-9726.9169921875
253,39.1785,3339.56,20.6941,1265000,253,3126.59,-9422.2744140625
254,41.6554,4074.94,18.7131,1270000,254,4117.9,-11205.330078125
255,41.4064,3665.12,19.6776,1275000,255,4251.39,-11004.33203125
256,41.4195,4637.91,19.3126,1280000,256,4037.46,-10481.2568359375
257,41.9119,2555.68,34.192,1285000,257,2873.25,-11104.125
258,41.1559,2142.27,21.9752,1290000,258,2279.08,-10292.533203125
259,40.4968,4617.37,17.5956,1295000,259,3622.66,-10105.8203125
260,39.6934,4619.36,22.2547,1300000,260,4264.38,-10068.22265625
261,39.6281,3280.59,16.7361,1305000,261,3666.53,-9563.91015625
262,39.8164,1461.97,17.8429,1310000,262,3667.81,-9734.767578125
263,40.0654,4536.79,16.4254,1315000,263,4422.07,-10044.21875
264,40.7078,4540.88,16.3849,1320000,264,4403.05,-10218.708984375
265,40.3331,4496.5,15.8328,1325000,265,4423.92,-9935.4638671875
266,40.2696,4559.5,16.5037,1330000,266,4496.13,-10475.1982421875
267,40.2163,4621.01,16.2047,1335000,267,4515.37,-10524.9990234375
268,40.4127,4610.72,15.9603,1340000,268,4529.41,-10363.7275390625
269,40.3097,4516.74,15.8321,1345000,269,4455.1,-9813.6669921875
270,39.8946,4656.64,15.358,1350000,270,4570.03,-10471.2880859375
271,40.7305,4594.79,15.6437,1355000,271,4514.85,-10790.373046875
272,40.7784,4536.54,15.6912,1360000,272,4442.81,-11089.4287109375
273,40.6602,4519.29,16.9545,1365000,273,4468.52,-11109.6962890625
274,40.785,4401.87,16.4525,1370000,274,4400.49,-11031.5078125
275,39.82,4650.22,15.3748,1375000,275,4534.94,-10968.9716796875
276,40.5601,4587.13,15.2851,1380000,276,4504.16,-10892.501953125
277,40.1047,4656.08,15.4498,1385000,277,4563.89,-10924.7900390625
278,40.3404,4569.61,14.7812,1390000,278,4464.11,-10787.314453125
279,40.4045,4605.08,15.7683,1395000,279,4553.13,-10382.54296875
280,40.2224,4526.26,14.8568,1400000,280,4467.08,-10773.1142578125
281,40.215,4472.06,14.8338,1405000,281,4444.42,-11127.4931640625
282,40.6861,4493.78,15.2325,1410000,282,4478.55,-11517.5703125
283,40.3714,4599.43,14.948,1415000,283,4510.49,-11574.2646484375
284,40.2189,4587.49,14.4109,1420000,284,4511.59,-11058.71484375
285,39.9703,4632.75,15.2284,1425000,285,4539.96,-11585.55078125
286,40.1585,4539.18,14.8136,1430000,286,4463.84,-11323.45703125
287,40.1876,4620.21,15.5866,1435000,287,4549.34,-12162.34765625
288,40.1738,4561.77,14.9271,1440000,288,4514.35,-12410.84765625
289,39.8981,4663.25,14.87,1445000,289,4441.29,-11960.724609375
290,39.9374,4609.6,15.0697,1450000,290,4483.02,-12544.552734375
291,40.4548,4662.71,15.9204,1455000,291,4546.55,-13119.3134765625
292,40.1281,4671.37,15.647,1460000,292,4566.59,-12673.751953125
293,40.0676,4616.82,15.3773,1465000,293,4520.64,-12525.146484375
294,40.6813,4663.07,16.0435,1470000,294,4580.22,-13031.6494140625
295,41.1115,4653.46,15.6569,1475000,295,4550.66,-12961.015625
296,39.9264,4578.96,15.8225,1480000,296,4513.34,-12778.796875
297,40.9656,4632.94,15.5201,1485000,297,4560.54,-12888.28515625
298,40.329,4609.19,15.215,1490000,298,4538.85,-12650.9072265625
299,40.5749,4632.88,14.9899,1495000,299,4527.46,-13397.4541015625
300,40.7933,4588.78,15.3248,1500000,300,4514.56,-13107.990234375
301,40.4599,4697.99,15.458,1505000,301,4576.68,-13084.576171875
302,40.1818,4677.68,15.135,1510000,302,4545.44,-12809.5859375
303,40.3092,4636.78,15.8339,1515000,303,4527.88,-13192.93359375
304,40.3121,4596.58,15.2368,1520000,304,4509.89,-13379.2421875
305,40.6075,4587.75,15.8763,1525000,305,4517.99,-14107.1376953125
306,40.9921,4621.17,16.7797,1530000,306,4546.17,-14385.7666015625
307,41.4819,4685.2,17.6099,1535000,307,4578.64,-14733.2412109375
308,40.7323,4644.61,17.1552,1540000,308,4541.55,-14339.9326171875
309,40.9747,4586.17,16.4683,1545000,309,4482.32,-14710.98828125
310,41.0637,4609.01,15.4047,1550000,310,4525.83,-13895.6689453125
311,40.9508,4553.29,15.894,1555000,311,4281.46,-14890.921875
312,41.4586,4415.84,16.8258,1560000,312,3816.64,-14341.521484375
313,41.9876,4535.77,18.3497,1565000,313,4489.65,-16099.4228515625
314,41.4985,4316.75,16.104,1570000,314,4347.24,-15449.9482421875
315,40.8824,4540.72,19.5017,1575000,315,4509.94,-15768.671875
316,43.1704,411.67,46.6557,1580000,316,1497.73,-17915.783203125
317,42.2478,3365.77,15.1332,1585000,317,3174.2,-16605.501953125
318,40.3058,4586.87,18.1082,1590000,318,4527.92,-15591.1513671875
319,40.5069,4364.03,16.5971,1595000,319,4361.23,-14810.6298828125
320,41.2055,4426.29,18.924,1600000,320,4406.52,-15035.5576171875
321,42.0155,4499.18,18.7915,1605000,321,4226.28,-16359.4599609375
322,41.1213,4567.44,17.6017,1610000,322,4504.49,-16593.052734375
323,41.4181,4610.42,18.5579,1615000,323,4549.72,-16667.578125
324,39.4825,4579.81,15.838,1620000,324,4515.54,-15099.8828125
325,42.0031,4632.21,20.4367,1625000,325,4557.96,-17351.466796875
326,41.6464,4554.42,19.4656,1630000,326,4097.58,-16460.591796875
327,40.701,4465.58,17.6359,1635000,327,4406.22,-16997.31640625
328,41.5486,4568.34,19.5974,1640000,328,4484.54,-17245.912109375
329,39.9449,4595.97,17.4112,1645000,329,4519.36,-16060.48828125
330,41.7886,4576.23,20.5482,1650000,330,4460.27,-18345.30078125
331,40.9743,4618.66,16.755,1655000,331,4506.53,-17718.169921875
332,40.7915,4578.47,16.5073,1660000,332,4463.18,-16571.181640625
333,40.4679,4582.46,15.6333,1665000,333,4467.36,-16534.82421875
334,39.9631,4580.81,15.9778,1670000,334,4479.73,-15278.681640625
335,41.0787,4594.66,16.0763,1675000,335,4475.91,-17180.17578125
336,40.5745,4583.58,16.0457,1680000,336,4365.87,-16566.169921875
337,40.7981,4548.45,16.1701,1685000,337,4447.0,-16947.33984375
338,40.9967,4585.52,16.0079,1690000,338,4474.59,-17611.048828125
339,41.2506,4571.19,15.8193,1695000,339,4463.89,-17577.140625
340,40.9639,4579.54,16.2402,1700000,340,4502.34,-17107.109375
341,41.7815,4548.44,17.3635,1705000,341,4481.66,-17993.517578125
342,41.5327,4572.24,16.5897,1710000,342,4452.77,-17917.8984375
343,41.4236,4581.34,17.9458,1715000,343,4489.8,-18077.962890625
344,40.8089,4600.59,15.4812,1720000,344,4477.28,-17484.86328125
345,41.0966,4604.02,23.6091,1725000,345,4481.41,-18002.64453125
346,41.1656,4570.73,16.5231,1730000,346,4440.77,-18496.865234375
347,40.1714,4560.11,14.4305,1735000,347,4449.17,-17223.87109375
348,40.7541,4626.01,15.2009,1740000,348,4500.9,-16726.033203125
349,40.0289,4524.57,14.2792,1745000,349,4435.11,-16706.724609375
350,40.6059,4577.19,14.636,1750000,350,4496.18,-17349.400390625
351,40.3703,4542.94,14.6873,1755000,351,4471.51,-16983.072265625
352,40.9162,4589.58,15.2073,1760000,352,4480.83,-18210.76171875
353,40.2784,4608.28,14.605,1765000,353,4496.9,-17857.201171875
354,40.5882,4577.64,14.7234,1770000,354,4468.8,-17393.525390625
355,40.6571,4578.97,19.0841,1775000,355,4471.64,-18424.94921875
356,41.1224,4599.45,15.9436,1780000,356,4511.44,-19581.13671875
357,40.9262,4615.78,16.0328,1785000,357,4545.57,-18789.705078125
358,39.9467,4585.09,18.8629,1790000,358,4509.57,-17400.517578125
359,40.5725,4576.67,15.6774,1795000,359,4517.88,-16858.158203125
360,40.4426,4558.49,15.4805,1800000,360,4476.96,-17567.037109375
361,40.2137,4498.96,14.422,1805000,361,4455.98,-17578.61328125
362,40.1475,4538.33,14.2995,1810000,362,4474.89,-16242.8681640625
363,39.8456,4531.09,13.9545,1815000,363,4264.54,-16244.5986328125
364,40.6878,4563.84,18.0041,1820000,364,4268.32,-17183.837890625
365,39.8871,4520.37,14.1172,1825000,365,4446.11,-15735.3203125
366,39.8106,4526.42,14.3219,1830000,366,4439.51,-16991.93359375
367,40.4346,4536.45,16.4824,1835000,367,4463.12,-16840.021484375
368,40.4605,4516.4,13.9279,1840000,368,4427.97,-17610.19921875
369,39.678,4540.38,14.1281,1845000,369,4436.15,-16600.638671875
370,40.2113,4575.7,15.0626,1850000,370,4489.94,-18004.296875
371,40.5481,4556.37,15.0523,1855000,371,4286.74,-17994.0546875
372,40.2958,4516.16,14.3078,1860000,372,4445.61,-17761.509765625
373,40.8611,4522.04,14.8956,1865000,373,4437.61,-19243.732421875
374,40.4762,4534.1,14.7195,1870000,374,4428.62,-20050.427734375
375,40.5695,4582.97,14.0455,1875000,375,4468.13,-18722.69921875
376,40.2283,4559.47,14.1138,1880000,376,4480.7,-19420.3984375
377,40.3854,4602.67,14.4227,1885000,377,4526.44,-19835.95703125
378,40.2547,4581.93,15.624,1890000,378,4487.66,-20892.5078125
379,40.7699,4572.15,14.8986,1895000,379,4379.78,-20273.140625
380,40.1378,4583.27,14.5519,1900000,380,4499.33,-20002.576171875
381,40.6811,4595.6,15.3299,1905000,381,4350.34,-19549.892578125
382,40.3947,4620.45,15.0007,1910000,382,4534.16,-20483.78515625
383,40.6756,4568.52,15.3092,1915000,383,4502.62,-21346.384765625
384,40.7462,4593.79,15.5838,1920000,384,4532.5,-20428.111328125
385,40.4054,4581.95,15.6703,1925000,385,4527.95,-20540.84765625
386,40.3042,4593.06,15.5151,1930000,386,4522.42,-20341.427734375
387,40.0561,4609.99,14.9372,1935000,387,4110.04,-20186.669921875
