Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps,Itration,Real Sto Return
133,-2116.62841796875,76.6295,65.3335,5808.58,665000,133,5520.45
134,-2172.389892578125,81.942,72.1503,4888.09,670000,134,4121.85
135,-2200.464599609375,80.8022,74.7371,5418.39,675000,135,4944.58
136,-2253.858642578125,77.8292,71.4912,5918.16,680000,136,5486.12
137,-2287.11279296875,79.563,68.8535,5723.65,685000,137,4999.72
138,-2185.80419921875,72.5686,61.0001,5429.49,690000,138,4967.68
139,-2397.464599609375,82.2098,75.3132,5913.49,695000,139,5362.58
140,-2349.942138671875,75.6804,63.9584,5645.54,700000,140,5285.22
141,-2393.779052734375,74.7502,67.5134,5894.68,705000,141,5212.52
142,-2421.429931640625,73.5737,62.8283,5419.72,710000,142,4974.96
143,-2415.759765625,74.2685,62.7825,5851.5,715000,143,5535.68
144,-2574.430419921875,81.1036,74.5283,6018.28,720000,144,5285.64
145,-2628.873291015625,78.9409,72.0652,5792.96,725000,145,5361.29
146,-2669.500244140625,80.2673,73.4793,5775.42,730000,146,5566.31
147,-2669.57080078125,78.0718,70.2602,6024.49,735000,147,5639.49
148,-2718.370849609375,77.492,70.326,5930.41,740000,148,5454.52
149,-2752.072265625,79.5315,72.9507,4966.69,745000,149,5119.88
150,-2772.984130859375,80.7875,74.2359,5352.15,750000,150,4514.4
151,-2827.421630859375,80.3173,73.7702,5838.99,755000,151,5217.44
152,-2924.9296875,82.7572,75.5378,5988.6,760000,152,5366.59
153,-2901.968994140625,79.6849,71.6896,5911.79,765000,153,5662.02
154,-2962.92138671875,80.3089,70.866,5814.9,770000,154,4896.05
155,-3049.0751953125,80.4494,78.6049,5853.52,775000,155,5392.2
156,-3018.79296875,79.4081,72.9585,6043.31,780000,156,5288.9
157,-3015.752685546875,78.9573,70.5471,5988.61,785000,157,5217.86
158,-3189.30712890625,81.0967,74.784,6100.35,790000,158,5389.2
159,-3022.127685546875,72.7526,65.4354,6116.49,795000,159,5214.63
160,-3240.1884765625,78.9113,68.2437,5538.82,800000,160,5516.92
161,-3275.947998046875,83.1233,76.7706,6010.73,805000,161,4691.18
162,-3284.494384765625,81.9032,74.3894,5005.82,810000,162,5029.71
163,-3295.802490234375,79.383,73.1517,6104.27,815000,163,5397.13
164,-3331.36328125,78.0427,71.4284,5450.37,820000,164,4982.26
165,-3192.801513671875,73.7877,63.9603,5750.47,825000,165,4716.48
166,-3524.19482421875,81.9897,80.3647,5610.87,830000,166,5644.46
167,-3401.550537109375,75.8691,72.8659,6105.88,835000,167,4715.55
168,-3577.385009765625,80.1943,73.8713,6083.31,840000,168,5463.81
169,-3536.127197265625,79.7919,71.6191,5917.83,845000,169,5458.49
170,-3700.388427734375,80.3637,79.5133,6025.33,850000,170,5496.78
171,-3685.83544921875,81.8901,75.2393,6089.77,855000,171,5198.73
172,-3787.90234375,81.5111,76.3013,5650.4,860000,172,5583.65
173,-3895.230712890625,80.6903,78.0927,6045.43,865000,173,5405.37
174,-3905.135009765625,82.7226,77.4209,5832.49,870000,174,5368.96
175,-3978.88671875,82.3719,78.4278,5687.18,875000,175,5448.31
176,-3662.580078125,71.9805,63.5529,6095.19,880000,176,5172.79
177,-3864.45654296875,73.9932,67.0035,6080.1,885000,177,5236.05
178,-3938.5625,80.0842,68.6317,5677.25,890000,178,5042.25
179,-4000.131591796875,75.2944,68.4706,5950.37,895000,179,5677.12
180,-4010.503173828125,74.6222,67.212,5339.98,900000,180,5686.73
181,-4299.2451171875,79.0928,76.1672,6155.84,905000,181,5768.15
182,-4221.20068359375,81.93,79.627,5956.09,910000,182,5070.44
183,-4338.9912109375,81.4209,76.035,6148.48,915000,183,5209.89
184,-4392.88134765625,79.7178,74.7182,5715.53,920000,184,5466.41
185,-4515.82470703125,82.8785,77.0685,6052.35,925000,185,5741.18
186,-4513.78662109375,81.5907,77.326,6186.33,930000,186,5606.29
187,-4393.3427734375,78.867,68.7621,5856.6,935000,187,4802.89
188,-4719.16064453125,84.2982,81.1945,5887.03,940000,188,5672.61
189,-4345.70166015625,75.0824,68.587,5895.28,945000,189,5417.69
190,-4821.2978515625,82.4726,75.3969,6164.28,950000,190,5735.44
191,-4838.69091796875,81.712,76.5871,6196.34,955000,191,5791.11
192,-4922.2265625,82.7954,77.8454,5798.09,960000,192,5390.63
193,-5018.81298828125,81.0609,72.9362,5951.92,965000,193,5780.45
194,-4777.82421875,75.0037,70.0204,5710.64,970000,194,5224.25
195,-5186.95947265625,83.1167,80.1115,6026.9,975000,195,5595.83
196,-5014.83544921875,80.7826,74.1548,5963.93,980000,196,5177.7
197,-5235.81689453125,82.1989,79.2796,6150.98,985000,197,5601.22
198,-5067.0556640625,75.3862,67.699,6096.54,990000,198,5712.77
199,-5187.3837890625,80.4764,72.7065,5851.58,995000,199,5286.82
200,-5439.06396484375,81.8012,78.2378,6167.8,1000000,200,5614.49
201,-5381.82275390625,81.9699,77.993,5622.9,1005000,201,5460.45
202,-5169.04736328125,73.6171,70.067,5437.25,1010000,202,5488.5
203,-5596.716796875,82.4252,79.2929,6135.86,1015000,203,5082.85
204,-5311.58935546875,75.5771,69.0922,5919.33,1020000,204,5234.18
205,-5621.34326171875,82.1885,78.4105,5809.23,1025000,205,4894.66
206,-5693.96435546875,81.2163,77.1766,5918.89,1030000,206,5070.53
207,-5612.923828125,75.8643,74.1118,6045.55,1035000,207,5712.73
208,-5913.10986328125,83.9234,80.9155,5599.83,1040000,208,4912.87
209,-5938.6962890625,80.6316,77.3274,5965.49,1045000,209,5532.56
210,-6150.220703125,82.3075,80.394,5956.32,1050000,210,5535.95
211,-6006.4306640625,81.5911,78.2977,5711.72,1055000,211,4927.47
212,-6281.04443359375,82.2761,78.6974,6153.04,1060000,212,5495.79
213,-6022.64892578125,75.7024,70.9532,5986.85,1065000,213,5429.44
214,-6171.48974609375,78.1523,73.4364,5860.66,1070000,214,5440.34
215,-6381.74365234375,83.7217,79.2976,5774.38,1075000,215,5367.77
216,-6575.4755859375,84.0649,79.8176,5641.02,1080000,216,5640.2
217,-6608.25732421875,82.1039,80.6693,6110.88,1085000,217,5549.56
218,-6531.279296875,81.8053,75.7545,6163.41,1090000,218,5661.81
219,-6649.87451171875,81.9405,74.9385,5901.66,1095000,219,5024.72
220,-6791.05078125,82.2124,75.7659,6239.44,1100000,220,5450.87
221,-6778.86865234375,81.2112,75.6973,5935.28,1105000,221,5777.35
222,-6916.4775390625,83.096,79.6473,5976.03,1110000,222,5800.1
223,-7067.001953125,81.8924,76.4421,6097.64,1115000,223,5320.02
224,-7009.07421875,79.2703,74.5092,6040.33,1120000,224,5020.38
225,-7058.96484375,82.0498,75.5218,6121.58,1125000,225,5676.17
226,-6782.1767578125,75.1918,68.3838,5914.94,1130000,226,5328.64
227,-7168.375,81.9296,74.8594,5927.17,1135000,227,5373.55
228,-7334.09130859375,80.6028,76.8986,6323.54,1140000,228,5318.16
229,-7396.6884765625,81.9832,77.2059,6081.09,1145000,229,4940.73
230,-7165.005859375,75.1028,67.6899,6199.99,1150000,230,5758.46
231,-7322.6357421875,78.0105,72.3042,5824.59,1155000,231,5526.01
232,-6917.33447265625,70.5866,59.7005,6046.22,1160000,232,5456.63
233,-7307.951171875,74.7522,68.5413,6095.68,1165000,233,4941.14
234,-7783.7783203125,82.3317,77.6954,6262.45,1170000,234,5399.86
235,-7659.8701171875,76.3119,72.3819,5969.89,1175000,235,5881.49
236,-8026.7333984375,81.6641,78.082,6332.3,1180000,236,5732.28
237,-8123.6201171875,82.7501,77.6627,5729.48,1185000,237,5865.6
238,-8109.52734375,82.3128,74.4956,6328.11,1190000,238,5443.18
239,-7792.70458984375,75.7766,68.9761,6189.34,1195000,239,5578.18
240,-8311.4267578125,83.4566,77.1522,6341.96,1200000,240,5415.38
241,-8428.0771484375,82.9202,80.818,5903.03,1205000,241,5621.33
242,-8322.0693359375,82.8296,76.9067,6035.63,1210000,242,5559.33
243,-8421.9248046875,82.0021,73.895,5704.01,1215000,243,5744.28
244,-7994.7880859375,74.7352,66.6279,5916.88,1220000,244,5692.86
245,-8401.2919921875,77.764,74.9768,5912.8,1225000,245,5891.22
246,-8652.5634765625,81.4011,73.8071,6154.13,1230000,246,5866.76
247,-8739.927734375,83.0789,75.6701,6129.53,1235000,247,5520.56
248,-8798.826171875,82.8934,78.0053,6331.25,1240000,248,5181.91
249,-8917.4345703125,84.0558,78.0888,6318.48,1245000,249,5533.33
250,-8980.1142578125,83.5538,77.0038,6020.71,1250000,250,5617.05
251,-8913.548828125,79.5347,79.5518,6177.95,1255000,251,5735.95
252,-8989.5380859375,84.0277,78.1464,5834.71,1260000,252,5262.27
253,-9074.1123046875,82.3178,78.3766,6267.89,1265000,253,5880.18
254,-9113.0927734375,83.0729,75.754,5758.51,1270000,254,5592.99
255,-9221.7333984375,81.5211,74.3864,6363.49,1275000,255,5600.89
256,-8587.640625,75.3238,66.0796,5934.86,1280000,256,5487.38
257,-9247.9853515625,79.7435,74.3309,6002.68,1285000,257,5810.9
258,-9474.5908203125,82.4924,76.6219,6415.05,1290000,258,5622.64
259,-9538.50390625,83.9705,82.444,6288.07,1295000,259,5720.5
260,-8126.84912109375,72.7498,57.6907,6094.51,1300000,260,5681.87
261,-9489.677734375,80.1774,76.0981,5682.56,1305000,261,5623.4
262,-9097.2958984375,74.9047,68.6311,6272.46,1310000,262,5317.48
263,-9757.857421875,79.7913,77.6441,5841.54,1315000,263,5905.39
264,-9838.05859375,82.9314,79.638,5810.18,1320000,264,5452.16
265,-9334.162109375,76.2375,69.9735,5747.63,1325000,265,5462.04
266,-9904.7529296875,82.6267,77.8778,5539.24,1330000,266,5865.69
267,-9760.5263671875,78.6249,73.5824,6381.06,1335000,267,5636.48
268,-9545.9580078125,76.1993,67.565,6070.32,1340000,268,5185.4
269,-9917.24609375,77.988,75.2187,6124.52,1345000,269,5809.11
270,-10056.9765625,81.3182,76.7319,6362.68,1350000,270,5839.67
271,-10236.0478515625,81.4282,76.5625,6377.54,1355000,271,5458.89
272,-10248.0693359375,80.0285,76.083,6395.63,1360000,272,5780.67
273,-9438.0419921875,74.7537,66.3893,5971.28,1365000,273,5166.03
274,-10319.3134765625,79.3892,77.249,6190.3,1370000,274,5769.17
275,-10350.24609375,79.2412,76.0538,6345.43,1375000,275,5301.32
276,-10415.283203125,81.6814,78.6452,6362.63,1380000,276,5727.89
277,-10309.9052734375,77.1192,75.2789,5679.92,1385000,277,5715.17
278,-10525.806640625,80.4958,77.0279,6362.23,1390000,278,5738.6
279,-10080.0234375,75.9883,71.3137,6396.9,1395000,279,5245.54
280,-10104.65234375,75.1231,70.4275,6462.85,1400000,280,5906.62
281,-10821.2509765625,83.3406,81.1873,5866.24,1405000,281,5932.2
282,-10742.8515625,79.9305,75.8962,5973.62,1410000,282,5771.26
283,-10870.1669921875,81.87,79.0673,6165.31,1415000,283,5763.25
284,-10626.8486328125,78.1275,76.4115,6327.45,1420000,284,5434.33
285,-10910.080078125,82.2417,78.6839,6203.11,1425000,285,5167.42
286,-10843.029296875,80.3579,76.9181,6392.6,1430000,286,5602.28
287,-11126.26953125,83.9435,82.7469,5680.12,1435000,287,5923.38
288,-11049.884765625,80.8104,77.3782,5673.48,1440000,288,5855.69
289,-10825.5517578125,78.5607,73.5145,5594.04,1445000,289,5605.88
290,-9749.8876953125,70.956,61.5069,6291.61,1450000,290,5450.8
291,-10697.3154296875,75.8832,69.06,6269.07,1455000,291,5344.73
292,-11128.6015625,81.7158,78.286,6138.73,1460000,292,5230.0
293,-11284.8876953125,82.5779,77.9326,6314.94,1465000,293,5834.07
294,-11351.58203125,84.2409,77.2584,6119.42,1470000,294,5269.97
295,-10818.181640625,76.0949,73.5919,6085.05,1475000,295,5701.57
296,-11460.794921875,82.7511,79.6928,5919.86,1480000,296,5534.32
297,-11384.044921875,82.3339,77.3299,5914.34,1485000,297,5559.12
298,-11525.47265625,83.5888,77.9221,6229.88,1490000,298,5722.87
299,-11677.1376953125,84.103,80.055,6097.69,1495000,299,5493.6
300,-11620.6591796875,81.9521,78.5441,6484.77,1500000,300,5948.59
301,-11129.1044921875,75.7055,70.9892,6357.37,1505000,301,5761.45
302,-11819.3837890625,83.6143,82.0391,6417.73,1510000,302,5527.77
303,-11814.919921875,82.4607,77.767,6073.38,1515000,303,5509.79
304,-11251.5927734375,77.4488,75.071,6301.51,1520000,304,5658.49
305,-11203.248046875,76.2881,71.0312,6368.55,1525000,305,5513.97
306,-11953.87109375,81.7048,79.996,6426.5,1530000,306,5444.29
307,-11407.7509765625,77.5365,72.3473,5541.9,1535000,307,5160.77
308,-11897.1318359375,83.2158,77.8653,6249.16,1540000,308,5733.99
309,-11261.638671875,75.0483,66.1317,6402.53,1545000,309,5873.38
310,-11933.9052734375,81.069,76.8519,6389.47,1550000,310,5966.68
311,-12011.6943359375,82.2051,78.9867,6213.76,1555000,311,5001.83
312,-12165.2431640625,81.4697,77.9084,5493.48,1560000,312,5980.48
313,-11677.294921875,76.5436,72.1189,6279.75,1565000,313,5719.99
314,-11955.666015625,80.8331,76.4305,6075.58,1570000,314,5149.93
315,-11391.2431640625,74.6662,69.6312,6356.75,1575000,315,5295.54
316,-12130.0478515625,80.2497,75.9607,6411.38,1580000,316,6014.94
317,-11786.126953125,76.0608,71.3164,6050.99,1585000,317,5534.37
318,-12326.234375,83.0104,78.75,6385.16,1590000,318,5987.6
319,-12573.9482421875,84.7484,82.0011,6421.0,1595000,319,5707.62
320,-12189.0029296875,78.9314,76.0577,5856.89,1600000,320,5630.61
321,-12530.115234375,83.5905,81.0658,6396.57,1605000,321,5308.03
322,-12480.2421875,81.7065,81.0347,6359.45,1610000,322,5650.68
323,-12627.53515625,83.7431,81.0138,6064.69,1615000,323,5202.72
324,-12664.953125,84.1384,81.5494,6262.93,1620000,324,6013.34
325,-12097.9462890625,78.2045,76.4478,6040.43,1625000,325,5504.2
326,-12782.7216796875,83.8177,79.7546,6403.97,1630000,326,5071.62
327,-11914.0048828125,76.5209,71.4021,5599.58,1635000,327,5637.27
328,-12808.453125,84.0022,82.2789,6064.56,1640000,328,5631.46
329,-11597.75,74.5873,66.2155,6094.35,1645000,329,5455.15
330,-12032.4453125,77.6235,69.9648,5571.02,1650000,330,5386.94
331,-12929.6884765625,83.3962,79.08,6387.81,1655000,331,5514.57
332,-12818.15625,82.8864,77.432,6391.76,1660000,332,5967.35
333,-12136.642578125,75.1099,67.0218,6473.66,1665000,333,5374.41
334,-12998.7451171875,80.9481,75.068,6100.91,1670000,334,5936.66
335,-13125.9267578125,83.195,80.0691,6424.33,1675000,335,5802.16
336,-12875.3984375,78.5582,73.4588,6000.76,1680000,336,4842.83
337,-11873.2529296875,73.2215,65.9833,6332.06,1685000,337,5870.2
338,-11529.9091796875,72.297,61.2117,6396.93,1690000,338,5566.85
339,-12636.875,76.0144,68.6622,6075.48,1695000,339,5874.82
340,-13161.6748046875,80.6345,75.656,6418.57,1700000,340,5975.8
341,-13016.603515625,78.4096,74.3647,6338.1,1705000,341,5412.71
342,-12377.9091796875,74.2423,67.117,6444.69,1710000,342,5689.35
343,-11750.5185546875,71.7632,61.5164,6164.63,1715000,343,5407.77
344,-13121.560546875,77.4318,72.3857,6246.24,1720000,344,5755.98
345,-11970.0625,73.3846,64.0069,6429.37,1725000,345,5408.9
346,-12688.779296875,76.5558,69.248,6055.91,1730000,346,5241.62
347,-13233.8740234375,80.1919,70.3567,5734.66,1735000,347,4932.32
348,-13523.3779296875,82.6667,77.1152,6235.22,1740000,348,5538.7
349,-13347.802734375,81.1551,75.982,6136.97,1745000,349,5938.3
350,-12779.189453125,75.3647,68.5539,6446.73,1750000,350,5659.79
351,-11598.96484375,71.98,59.4425,6065.27,1755000,351,5053.12
352,-12839.9697265625,76.0799,72.1075,6386.58,1760000,352,5620.02
353,-12228.4619140625,73.4872,64.1135,6466.82,1765000,353,4934.12
354,-13153.21875,77.005,73.9092,6162.65,1770000,354,5553.59
355,-13542.5986328125,80.5962,76.4294,5833.38,1775000,355,5960.07
356,-13563.7783203125,80.5155,74.4395,6351.69,1780000,356,4842.06
357,-13534.416015625,81.0621,75.8656,6246.06,1785000,357,5029.02
358,-13593.705078125,81.2979,75.1424,5236.88,1790000,358,5274.7
359,-13063.564453125,78.4473,71.8239,6343.93,1795000,359,4963.08
360,-13751.953125,82.6899,73.7931,6429.31,1800000,360,5414.91
361,-13129.365234375,76.0297,71.8305,6058.13,1805000,361,5477.61
362,-13664.94140625,80.8999,74.2031,6100.38,1810000,362,5352.42
363,-12163.58203125,72.3725,61.7181,5622.9,1815000,363,5074.62
364,-12927.3876953125,73.9233,67.9046,6396.17,1820000,364,5034.21
365,-13607.240234375,77.9581,74.8817,6362.51,1825000,365,5671.8
366,-13723.8544921875,80.1846,71.9891,6291.22,1830000,366,5372.92
367,-13333.1337890625,76.8102,69.918,6351.72,1835000,367,5241.23
368,-13783.6455078125,80.3673,74.008,6103.13,1840000,368,5272.29
369,-13651.890625,79.8633,71.7901,6295.36,1845000,369,5005.24
370,-14110.259765625,81.821,76.8989,6401.17,1850000,370,5906.92
371,-13576.7099609375,77.6474,73.1183,6327.66,1855000,371,5451.76
372,-12260.2587890625,72.2896,61.1287,6386.91,1860000,372,5372.9
373,-13071.2236328125,73.54,65.1329,6123.09,1865000,373,5941.92
374,-14020.36328125,81.4006,76.0876,6469.33,1870000,374,5597.47
375,-13201.8994140625,73.9013,67.0897,6530.94,1875000,375,5775.95
376,-13299.7421875,75.2609,68.5699,6306.44,1880000,376,5901.51
377,-14157.806640625,79.6497,76.0106,6499.45,1885000,377,6052.85
378,-13586.08203125,75.6246,69.7707,6434.02,1890000,378,5901.87
379,-14373.447265625,81.4481,77.6264,6428.45,1895000,379,5744.9
380,-14332.669921875,81.8319,76.3731,6306.31,1900000,380,5632.09
381,-14118.6982421875,78.7935,72.2828,6472.31,1905000,381,5327.24
382,-14395.6455078125,81.4211,78.7542,6431.65,1910000,382,5795.92
383,-12799.580078125,73.3534,64.0914,6484.5,1915000,383,5849.51
384,-14455.2998046875,82.224,78.1127,6386.76,1920000,384,5767.35
385,-14448.427734375,82.2821,75.6744,6149.71,1925000,385,5727.04
