Real Det Return,Running Env Steps,Running Forward KL,Running Update Time,Itration,Reward Loss,Real Sto Return,Running Reverse KL
2229.87,475000,23.1093,95,95,-1383.4560546875,2140.72,12.6231
1894.59,480000,23.7792,96,96,-1035.0654296875,2336.96,12.2277
3115.77,485000,22.9011,97,97,-718.9466552734375,3102.45,12.7792
1647.02,490000,22.7817,98,98,-774.2196044921875,2591.35,12.0056
3338.08,495000,22.4225,99,99,-639.189208984375,2575.57,12.4425
3261.65,500000,22.8387,100,100,-1061.1944580078125,2746.33,12.5629
3333.47,505000,21.9013,101,101,-594.844482421875,3172.3,12.5194
3427.04,510000,22.2872,102,102,-824.1344604492188,2668.87,12.1196
2972.44,515000,23.6283,103,103,-1547.0931396484375,1743.39,12.9725
3198.07,520000,21.758,104,104,-638.8609008789062,3094.57,12.1843
3344.19,525000,22.248,105,105,-752.0742797851562,3115.57,12.1365
2985.61,530000,22.7159,106,106,-1181.04736328125,2030.06,12.153
3357.89,535000,23.3919,107,107,-971.5106201171875,2916.29,12.0289
3401.24,540000,22.0108,108,108,-562.6327514648438,3227.98,12.8622
3414.39,545000,21.6923,109,109,-832.96337890625,2453.58,11.4746
3377.21,550000,21.3358,110,110,-418.2324523925781,2924.71,11.837
2259.7,555000,22.2459,111,111,-670.9093017578125,3254.05,13.6709
3391.41,560000,22.141,112,112,-719.2589111328125,3155.07,11.5849
3342.13,565000,21.3368,113,113,-607.098876953125,3306.27,12.5425
3099.79,570000,22.1215,114,114,-957.905029296875,2183.14,11.9782
3310.96,575000,22.7107,115,115,-692.0830688476562,3232.56,13.4102
3040.24,580000,22.5027,116,116,-1198.7469482421875,2406.78,12.9339
2559.35,585000,22.9967,117,117,-1315.0548095703125,2278.51,13.2405
3029.13,590000,22.7332,118,118,-1723.11865234375,2510.67,15.2705
3413.41,595000,21.4634,119,119,-840.4681396484375,2898.64,12.4498
2561.74,600000,22.4342,120,120,-1490.4552001953125,2497.61,15.8793
3335.25,605000,20.8893,121,121,-898.2372436523438,2698.98,12.1326
3251.19,610000,22.6503,122,122,-1360.07470703125,2500.73,12.0198
3293.76,615000,20.8398,123,123,-917.1117553710938,2915.92,13.1122
1821.58,620000,22.2866,124,124,-1605.3919677734375,1974.89,13.7391
3320.42,625000,21.851,125,125,-889.38427734375,2919.31,12.7743
2401.84,630000,23.7468,126,126,-2688.830810546875,1915.45,20.7083
3409.04,635000,22.4697,127,127,-1937.13134765625,2478.14,15.3799
3369.82,640000,22.6796,128,128,-1362.64501953125,2423.97,13.3335
3122.71,645000,22.6572,129,129,-2037.33544921875,1741.48,18.5663
2999.96,650000,23.3108,130,130,-2251.267822265625,2320.93,16.5581
2904.14,655000,22.5474,131,131,-2486.988037109375,1935.43,19.2418
1515.68,660000,23.166,132,132,-2572.39794921875,1576.76,19.9884
3396.45,665000,21.4188,133,133,-1256.052734375,3344.18,13.8758
3327.7,670000,20.5476,134,134,-1265.21044921875,2151.46,12.1707
3128.99,675000,21.383,135,135,-1762.158447265625,2561.14,14.1356
3335.21,680000,21.8159,136,136,-1601.6192626953125,2544.03,13.4249
2341.19,685000,21.4136,137,137,-1833.00634765625,2662.17,15.6065
3294.41,690000,20.8522,138,138,-1322.0672607421875,2805.82,13.9218
3135.84,695000,21.6149,139,139,-1549.709228515625,2960.6,14.1648
2428.28,700000,21.6121,140,140,-1943.931884765625,2225.55,15.6804
3292.65,705000,21.4463,141,141,-2192.626953125,2200.45,16.0981
2224.96,710000,21.7642,142,142,-1984.2332763671875,2262.29,14.0817
2569.35,715000,21.5864,143,143,-2334.641357421875,2078.38,16.858
3269.59,720000,21.6688,144,144,-2343.610107421875,2762.03,16.2576
2421.15,725000,22.5039,145,145,-1831.641845703125,2812.84,12.2205
3379.24,730000,21.4495,146,146,-1645.5799560546875,2655.02,13.162
3428.8,735000,21.5935,147,147,-2626.30029296875,2133.99,17.0382
3206.73,740000,21.0352,148,148,-1761.50537109375,2346.62,13.3095
3375.73,745000,20.3928,149,149,-1047.045654296875,2660.2,11.5245
3237.66,750000,21.3072,150,150,-2091.151123046875,1839.06,15.765
2226.39,755000,22.5972,151,151,-2258.06103515625,2031.53,12.5007
2898.82,760000,20.9234,152,152,-1943.4483642578125,2499.64,13.3304
1774.76,765000,21.182,153,153,-2513.880615234375,2335.58,16.5539
1935.15,770000,22.7054,154,154,-2587.480224609375,2246.72,15.3191
2669.8,775000,21.3646,155,155,-2040.21826171875,2226.09,14.4384
2702.47,780000,21.6755,156,156,-2614.46484375,2178.86,13.8411
3350.15,785000,21.8449,157,157,-1686.93603515625,2559.69,14.0012
3017.18,790000,22.5321,158,158,-3149.050537109375,1911.52,19.0493
1581.76,795000,21.5306,159,159,-2944.405517578125,2066.86,16.7755
2831.38,800000,22.2813,160,160,-2441.53515625,2631.47,13.001
2602.74,805000,22.1943,161,161,-2434.709716796875,2480.9,14.2259
3253.54,810000,21.421,162,162,-2881.208984375,1505.86,15.0385
2902.76,815000,20.9046,163,163,-1255.6832275390625,2736.9,11.5862
2677.55,820000,21.8595,164,164,-2057.162353515625,2617.94,11.8871
2336.96,825000,21.6525,165,165,-2141.54345703125,2837.78,13.2926
1918.56,830000,21.4134,166,166,-2124.5888671875,2960.68,13.2429
2958.68,835000,21.7404,167,167,-2601.104248046875,2883.22,14.2074
2279.49,840000,22.2723,168,168,-2192.099853515625,2542.01,11.6834
3055.51,845000,21.4618,169,169,-1758.614501953125,3005.38,11.9869
2472.18,850000,21.6043,170,170,-2464.165283203125,2415.04,12.2048
3100.41,855000,21.012,171,171,-1813.6512451171875,2755.17,11.7834
3296.36,860000,20.8673,172,172,-2332.248291015625,2558.41,11.3484
2791.08,865000,20.7594,173,173,-2311.44384765625,2212.46,12.8365
2933.76,870000,22.0832,174,174,-2776.666015625,1904.43,10.847
2710.27,875000,23.4343,175,175,-2229.29443359375,2198.09,12.8761
2734.56,880000,22.6865,176,176,-2274.561767578125,2705.12,11.4018
1843.39,885000,21.5847,177,177,-3262.298583984375,1937.1,12.106
3329.02,890000,21.0879,178,178,-1858.669189453125,3126.53,11.7949
3361.79,895000,20.8256,179,179,-2153.8544921875,2777.57,12.2421
3268.95,900000,21.4283,180,180,-2194.823974609375,2440.67,11.2105
2029.05,905000,21.5392,181,181,-2458.81591796875,2596.81,12.3405
3439.55,910000,21.9477,182,182,-1641.72509765625,3125.95,12.6084
3130.54,915000,21.6074,183,183,-2639.16650390625,2455.24,12.6154
3462.99,920000,22.3345,184,184,-2161.730224609375,2484.54,12.7399
2613.0,925000,22.5072,185,185,-3134.044189453125,2591.18,12.6751
3500.49,930000,21.8913,186,186,-1852.7218017578125,2735.57,12.4879
3164.33,935000,22.5536,187,187,-1948.171630859375,2786.14,12.0186
1867.83,940000,23.4478,188,188,-3410.633544921875,1794.67,14.1316
3334.49,945000,21.8843,189,189,-3365.833251953125,2588.83,15.0178
2197.16,950000,22.1237,190,190,-2383.273681640625,3011.07,12.4261
3018.22,955000,21.2495,191,191,-2097.98974609375,3033.63,12.6765
1884.19,960000,20.9381,192,192,-1988.4189453125,2308.12,10.7416
2713.35,965000,21.936,193,193,-2757.40380859375,2339.16,11.7564
2726.09,970000,22.2226,194,194,-2736.093994140625,2585.03,15.2132
1972.51,975000,21.9452,195,195,-2470.349853515625,2582.91,12.3559
3468.4,980000,21.4283,196,196,-1713.453369140625,3256.78,12.5289
3527.44,985000,21.4853,197,197,-1232.5726318359375,3172.72,12.5482
1967.25,990000,21.4885,198,198,-2548.430908203125,2871.08,10.888
2912.13,995000,21.1715,199,199,-1833.4444580078125,3012.95,11.7094
