Real Sto Return,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Running Env Steps,Itration,Running Reverse KL
1659.85,157.572,33,2031.33,-794.9871826171875,165000,33,16.4717
1650.87,157.5042,34,1981.26,-830.80029296875,170000,34,16.4382
1652.75,157.4058,35,1993.42,-869.1675415039062,175000,35,16.138
1672.07,157.1689,36,2033.29,-889.02001953125,180000,36,16.0381
1639.0,157.1972,37,1938.73,-924.2860107421875,185000,37,15.6627
1650.75,157.2596,38,1996.76,-963.6942749023438,190000,38,15.8332
1659.71,157.2833,39,1952.51,-994.14794921875,195000,39,15.8328
1674.2,157.2782,40,2004.56,-1010.9945678710938,200000,40,16.103
1668.58,157.2792,41,1986.88,-1048.556884765625,205000,41,15.9673
1632.91,157.071,42,1936.49,-1079.2042236328125,210000,42,15.7003
1652.23,157.1792,43,1982.97,-1111.8021240234375,215000,43,15.6722
1715.5,157.1904,44,1993.72,-1140.0841064453125,220000,44,16.1189
1707.26,157.0334,45,2071.48,-1168.6678466796875,225000,45,15.882
1686.28,156.9852,46,2034.62,-1204.1905517578125,230000,46,15.6692
1736.17,156.9423,47,2110.13,-1226.083740234375,235000,47,16.3414
1703.9,156.8601,48,2025.78,-1264.8994140625,240000,48,15.576
1724.73,157.0991,49,2077.22,-1284.706298828125,245000,49,15.8619
1688.31,157.1061,50,2000.68,-1329.598876953125,250000,50,15.7336
1723.19,156.8764,51,2005.72,-1356.557861328125,255000,51,15.7268
1699.16,156.9562,52,2049.27,-1388.4515380859375,260000,52,15.5112
1699.27,157.1273,53,1990.23,-1421.4024658203125,265000,53,15.7372
1695.17,156.9945,54,2037.77,-1454.6455078125,270000,54,15.6888
1705.29,157.0634,55,2031.62,-1482.2742919921875,275000,55,15.8068
1708.65,156.9663,56,2092.73,-1514.8741455078125,280000,56,15.628
1639.51,157.0461,57,2040.27,-1539.730712890625,285000,57,15.4302
1754.32,156.8179,58,2082.44,-1571.6201171875,290000,58,15.6997
1723.85,157.1602,59,2051.78,-1615.764892578125,295000,59,15.5636
1687.37,156.8332,60,2031.84,-1641.19189453125,300000,60,15.2767
1785.56,156.8771,61,2105.6,-1668.5408935546875,305000,61,15.7427
1749.68,156.9236,62,2125.72,-1706.8128662109375,310000,62,15.6445
1793.86,156.8405,63,2150.2,-1728.6915283203125,315000,63,15.7024
1791.75,156.8794,64,2128.4,-1770.7291259765625,320000,64,15.8206
1774.97,156.8588,65,2169.33,-1791.3194580078125,325000,65,15.4037
1783.02,156.6715,66,2143.58,-1820.925048828125,330000,66,15.4794
1786.71,156.8898,67,2165.22,-1860.04638671875,335000,67,15.5978
1758.66,156.8162,68,2108.82,-1889.27001953125,340000,68,15.2973
1785.6,156.9785,69,2148.46,-1912.4986572265625,345000,69,15.5389
1813.92,156.9011,70,2167.15,-1959.3914794921875,350000,70,15.8779
1781.86,156.7499,71,2156.6,-1986.694580078125,355000,71,15.3821
1800.64,156.7582,72,2183.87,-2023.804931640625,360000,72,15.7681
1783.28,156.9785,73,2149.76,-2051.947265625,365000,73,15.6928
1807.12,156.6766,74,2154.99,-2088.492431640625,370000,74,15.5887
1809.62,156.9025,75,2172.08,-2133.057861328125,375000,75,15.8049
1748.21,156.8873,76,2137.69,-2160.604248046875,380000,76,15.374
1802.56,156.8445,77,2185.96,-2186.46923828125,385000,77,15.9418
1810.25,156.9519,78,2171.34,-2223.51318359375,390000,78,15.6199
1824.1,156.9778,79,2245.1,-2255.517822265625,395000,79,15.7501
1809.1,157.0748,80,2170.04,-2293.71533203125,400000,80,15.4716
1833.96,156.8563,81,2195.29,-2325.861572265625,405000,81,15.5642
1797.84,156.7737,82,2205.08,-2350.355224609375,410000,82,15.3987
1823.66,156.9903,83,2192.99,-2388.718017578125,415000,83,15.499
1800.47,156.8068,84,2148.36,-2425.389404296875,420000,84,15.6155
1829.7,156.8853,85,2198.74,-2456.951171875,425000,85,15.9397
1847.69,156.8119,86,2218.02,-2495.71240234375,430000,86,15.7059
1843.24,156.7185,87,2232.39,-2526.915283203125,435000,87,15.5757
1784.64,156.7016,88,2179.23,-2554.7431640625,440000,88,14.9389
1794.14,156.7591,89,2142.37,-2591.339111328125,445000,89,15.5929
1802.4,156.732,90,2193.59,-2633.481689453125,450000,90,15.6816
1815.23,156.7295,91,2167.04,-2649.509521484375,455000,91,15.1882
1828.83,156.8624,92,2168.41,-2698.1181640625,460000,92,15.54
1820.76,156.804,93,2202.98,-2746.06298828125,465000,93,15.4659
1803.13,157.0425,94,2136.94,-2783.001708984375,470000,94,15.7415
1842.27,156.7582,95,2229.44,-2780.929931640625,475000,95,15.5226
1846.31,156.6835,96,2209.18,-2850.545654296875,480000,96,15.2541
1822.7,156.8175,97,2189.44,-2878.723876953125,485000,97,15.3725
1828.89,156.6793,98,2176.67,-2891.538818359375,490000,98,15.4824
1818.93,156.7102,99,2198.61,-2945.9921875,495000,99,15.6214
1855.85,156.49,100,2225.61,-2989.7724609375,500000,100,15.3991
1820.96,156.7379,101,2197.92,-3002.128173828125,505000,101,15.3099
1838.89,156.7263,102,2214.72,-3038.968505859375,510000,102,14.9922
1842.39,156.7166,103,2208.53,-3096.00146484375,515000,103,15.105
1874.03,156.6038,104,2249.72,-3120.385498046875,520000,104,15.1787
1843.2,156.7437,105,2258.19,-3148.67822265625,525000,105,15.2347
1826.47,156.7981,106,2192.55,-3213.925537109375,530000,106,15.7069
1850.35,156.7061,107,2202.52,-3223.809326171875,535000,107,15.2028
1851.4,156.6931,108,2186.61,-3263.574462890625,540000,108,15.2801
1892.61,156.6095,109,2221.81,-3320.82568359375,545000,109,15.5708
1870.86,156.7984,110,2240.04,-3370.049560546875,550000,110,15.3782
1858.34,156.5524,111,2204.58,-3388.588623046875,555000,111,15.2794
1828.6,156.7792,112,2257.01,-3428.543212890625,560000,112,15.4598
1857.13,156.6352,113,2257.51,-3460.959228515625,565000,113,15.2869
1845.33,156.628,114,2239.84,-3510.260986328125,570000,114,15.3115
1815.2,156.8488,115,2182.36,-3549.10107421875,575000,115,15.2906
1854.25,156.5375,116,2219.33,-3577.469970703125,580000,116,15.442
1880.57,156.515,117,2265.12,-3623.834228515625,585000,117,15.2681
1859.9,156.7446,118,2185.16,-3665.22705078125,590000,118,15.4112
1872.87,156.742,119,2193.83,-3704.89697265625,595000,119,15.1704
1893.88,156.5397,120,2233.82,-3747.71142578125,600000,120,15.2989
1877.5,156.6163,121,2232.87,-3773.283447265625,605000,121,15.1702
1852.42,156.5662,122,2169.63,-3814.2333984375,610000,122,14.8478
1870.97,156.6116,123,2218.39,-3858.1396484375,615000,123,15.08
1885.28,156.5498,124,2254.92,-3894.03564453125,620000,124,15.4195
1871.8,156.6944,125,2210.59,-3942.080322265625,625000,125,15.2783
1839.99,156.6336,126,2226.33,-3965.734130859375,630000,126,15.0168
1863.05,156.4083,127,2239.77,-4013.20703125,635000,127,15.1653
1853.5,156.7593,128,2238.84,-4085.868408203125,640000,128,15.2847
1841.79,156.7086,129,2201.93,-4118.59130859375,645000,129,15.1376
1897.53,156.5413,130,2265.35,-4139.74560546875,650000,130,15.4107
1864.7,156.5847,131,2199.26,-4179.12353515625,655000,131,15.0938
1880.84,156.5378,132,2264.3,-4235.5087890625,660000,132,15.2019
1879.91,156.7384,133,2255.98,-4273.904296875,665000,133,15.3329
1891.04,156.6404,134,2273.17,-4305.26416015625,670000,134,15.1852
1877.45,156.68,135,2196.15,-4372.62158203125,675000,135,15.3771
1889.34,156.5252,136,2262.69,-4397.70068359375,680000,136,15.1415
1847.8,156.444,137,2215.8,-4434.40283203125,685000,137,14.8657
1884.01,156.5965,138,2258.05,-4482.9599609375,690000,138,15.0996
1857.95,156.7412,139,2240.41,-4553.9560546875,695000,139,15.1172
1856.81,156.5979,140,2256.33,-4582.005859375,700000,140,15.0678
1867.52,156.6774,141,2234.24,-4621.896484375,705000,141,14.8753
1856.19,156.4427,142,2222.48,-4663.3525390625,710000,142,15.0618
1892.8,156.6054,143,2243.04,-4718.07470703125,715000,143,15.0995
1872.3,156.5918,144,2243.83,-4747.2900390625,720000,144,15.0907
1889.58,156.763,145,2243.97,-4794.017578125,725000,145,15.0646
1858.78,156.7709,146,2228.6,-4854.4326171875,730000,146,15.0866
1896.22,156.4738,147,2250.18,-4909.05419921875,735000,147,15.1734
1895.55,156.5737,148,2261.09,-4932.09765625,740000,148,14.9252
1928.49,156.5439,149,2289.92,-5031.90478515625,745000,149,15.233
1891.85,156.5459,150,2264.98,-5049.47119140625,750000,150,15.1432
1894.56,156.5391,151,2239.78,-5105.0751953125,755000,151,15.0612
1900.41,156.6547,152,2267.04,-5149.4833984375,760000,152,15.2072
1882.09,156.5197,153,2262.3,-5212.06884765625,765000,153,15.1477
1899.46,156.5521,154,2272.37,-5235.23095703125,770000,154,15.2241
1879.29,156.5432,155,2249.2,-5281.3515625,775000,155,14.8402
1903.47,156.6299,156,2256.93,-5355.8447265625,780000,156,15.5893
1914.52,156.5223,157,2303.88,-5390.09814453125,785000,157,15.1723
1900.33,156.5846,158,2264.06,-5464.912109375,790000,158,15.1809
1877.98,156.5404,159,2234.61,-5463.55224609375,795000,159,14.878
1882.89,156.6508,160,2244.85,-5551.52783203125,800000,160,15.0147
1935.24,156.4821,161,2279.24,-5602.5556640625,805000,161,15.3147
1880.65,156.4774,162,2266.62,-5638.3125,810000,162,14.8545
1882.05,156.6864,163,2276.11,-5686.70263671875,815000,163,15.1718
1882.17,156.5605,164,2224.43,-5773.0029296875,820000,164,14.9887
1957.87,156.5158,165,2275.73,-5784.82275390625,825000,165,15.2911
1884.73,156.6407,166,2258.33,-5878.2236328125,830000,166,15.0579
1905.36,156.6706,167,2307.47,-5904.49853515625,835000,167,14.9424
1887.7,156.6027,168,2251.74,-5942.5146484375,840000,168,14.8085
1907.25,156.5996,169,2294.85,-6017.0634765625,845000,169,15.0904
1923.26,156.5497,170,2276.21,-6056.87255859375,850000,170,15.1424
1918.7,156.5571,171,2265.51,-6126.7451171875,855000,171,15.1453
1918.76,156.409,172,2277.9,-6159.853515625,860000,172,15.0713
1884.28,156.432,173,2277.93,-6214.0634765625,865000,173,14.7857
1903.03,156.4272,174,2251.82,-6273.31494140625,870000,174,14.8178
1908.09,156.5429,175,2297.29,-6350.388671875,875000,175,15.1845
1927.79,156.5474,176,2279.72,-6423.92041015625,880000,176,15.1301
1919.66,156.6321,177,2278.32,-6435.3251953125,885000,177,15.1958
1908.64,156.4593,178,2277.1,-6496.7060546875,890000,178,14.9616
1912.25,156.4067,179,2244.14,-6547.9833984375,895000,179,15.0262
1912.26,156.491,180,2257.32,-6557.77978515625,900000,180,15.1381
1904.18,156.5503,181,2279.12,-6599.58740234375,905000,181,15.0899
1901.64,156.5462,182,2280.59,-6706.28125,910000,182,14.805
1916.18,156.48,183,2268.44,-6731.271484375,915000,183,14.9285
1917.02,156.5762,184,2276.94,-6791.154296875,920000,184,14.8355
1919.38,156.4227,185,2260.72,-6813.73486328125,925000,185,14.874
1943.69,156.496,186,2306.32,-6887.79541015625,930000,186,15.0592
1869.57,156.6997,187,2262.37,-6925.17529296875,935000,187,15.0372
1949.33,156.5271,188,2295.86,-6975.3046875,940000,188,15.2331
1909.46,156.4899,189,2279.59,-7036.748046875,945000,189,15.0799
1932.07,156.5019,190,2281.12,-7042.08447265625,950000,190,15.1897
1915.83,156.5057,191,2288.15,-7112.07861328125,955000,191,15.1039
1943.39,156.3705,192,2311.22,-7177.09130859375,960000,192,15.2275
1908.21,156.5422,193,2274.59,-7196.978515625,965000,193,14.927
1924.74,156.5953,194,2289.55,-7276.43994140625,970000,194,14.9653
1886.05,156.6123,195,2222.74,-7330.291015625,975000,195,14.7693
1928.45,156.446,196,2264.74,-7403.61279296875,980000,196,15.4837
1932.45,156.5281,197,2271.48,-7407.109375,985000,197,14.713
1926.32,156.6504,198,2305.73,-7463.06884765625,990000,198,15.1138
1907.23,156.5096,199,2241.1,-7507.0947265625,995000,199,14.949
1949.84,156.5393,200,2283.4,-7598.42529296875,1000000,200,15.1737
1929.64,156.576,201,2270.18,-7649.48681640625,1005000,201,15.021
1919.92,156.4344,202,2283.66,-7686.34521484375,1010000,202,14.9717
1954.62,156.4709,203,2298.52,-7745.8974609375,1015000,203,15.2269
1915.46,156.5043,204,2265.4,-7795.900390625,1020000,204,15.1375
1952.35,156.6843,205,2291.45,-7853.6259765625,1025000,205,15.0534
1926.34,156.5235,206,2269.43,-7911.83984375,1030000,206,14.9636
1949.76,156.4379,207,2295.28,-7947.576171875,1035000,207,15.0282
1928.54,156.648,208,2254.76,-8008.11474609375,1040000,208,15.1039
1946.64,156.5174,209,2284.38,-8057.5390625,1045000,209,14.9658
1938.37,156.4903,210,2277.61,-8102.87744140625,1050000,210,15.0124
1918.89,156.5488,211,2264.06,-8199.1171875,1055000,211,14.9148
1953.65,156.5636,212,2279.28,-8218.7607421875,1060000,212,15.1243
1943.61,156.4297,213,2292.45,-8298.5595703125,1065000,213,15.1296
1942.19,156.6166,214,2300.81,-8347.6064453125,1070000,214,15.2743
1932.38,156.5678,215,2313.01,-8377.9033203125,1075000,215,15.1462
1935.49,156.6613,216,2295.95,-8455.462890625,1080000,216,15.1834
1941.98,156.4282,217,2329.25,-8513.876953125,1085000,217,14.9878
1950.57,156.6117,218,2308.48,-8534.2978515625,1090000,218,15.0571
1943.23,156.5073,219,2318.63,-8588.46484375,1095000,219,15.0093
1962.73,156.4767,220,2298.0,-8610.611328125,1100000,220,15.1844
1929.36,156.4944,221,2276.38,-8658.69140625,1105000,221,14.9677
1933.02,156.615,222,2288.52,-8701.619140625,1110000,222,14.9524
1961.72,156.6263,223,2296.71,-8748.900390625,1115000,223,15.168
1929.08,156.515,224,2296.1,-8760.5341796875,1120000,224,15.1122
1941.23,156.5668,225,2281.36,-8775.9775390625,1125000,225,15.0288
1948.64,156.5559,226,2299.72,-8799.240234375,1130000,226,14.9378
1940.11,156.5116,227,2304.28,-8856.521484375,1135000,227,15.0082
1933.07,156.5927,228,2296.57,-8903.5244140625,1140000,228,14.9268
1945.31,156.5571,229,2302.78,-8922.505859375,1145000,229,14.9773
1954.93,156.4062,230,2309.44,-8928.146484375,1150000,230,15.1864
1955.88,156.7197,231,2325.2,-8987.888671875,1155000,231,15.2564
1937.32,156.5131,232,2316.59,-8996.1669921875,1160000,232,15.0109
1953.49,156.6096,233,2320.16,-9050.6083984375,1165000,233,15.1928
1958.26,156.4812,234,2320.74,-9075.3984375,1170000,234,15.17
1954.62,156.534,235,2299.71,-9101.9951171875,1175000,235,14.9611
1933.24,156.6946,236,2302.79,-9124.857421875,1180000,236,14.9549
1955.66,156.5398,237,2304.0,-9165.2861328125,1185000,237,15.002
1953.15,156.4225,238,2339.35,-9204.005859375,1190000,238,15.0735
1928.16,156.5581,239,2309.71,-9200.6376953125,1195000,239,14.9172
1938.94,156.5045,240,2321.01,-9271.8232421875,1200000,240,14.9428
1952.72,156.5092,241,2301.02,-9286.6025390625,1205000,241,15.0291
1936.52,156.6042,242,2330.09,-9334.095703125,1210000,242,14.9275
1947.93,156.4458,243,2317.83,-9384.876953125,1215000,243,15.1059
1945.54,156.617,244,2325.06,-9423.2275390625,1220000,244,15.1217
1945.64,156.5535,245,2302.05,-9434.763671875,1225000,245,15.0764
1929.89,156.5151,246,2312.77,-9462.73046875,1230000,246,15.004
1924.85,156.4494,247,2320.41,-9492.7607421875,1235000,247,15.0208
1920.58,156.5628,248,2324.29,-9531.9462890625,1240000,248,14.9975
1945.79,156.481,249,2308.1,-9546.107421875,1245000,249,15.068
1949.1,156.5292,250,2306.55,-9564.4072265625,1250000,250,15.0251
1929.92,156.5584,251,2322.24,-9641.693359375,1255000,251,15.146
1951.64,156.3669,252,2335.2,-9666.212890625,1260000,252,15.0995
1956.55,156.5261,253,2308.27,-9654.3623046875,1265000,253,15.0064
1945.42,156.7246,254,2339.67,-9710.1796875,1270000,254,15.153
1939.47,156.705,255,2314.22,-9742.1064453125,1275000,255,15.0917
1928.34,156.613,256,2331.63,-9774.103515625,1280000,256,15.1578
1920.25,156.6006,257,2317.91,-9800.3232421875,1285000,257,15.196
1940.0,156.6464,258,2326.72,-9838.689453125,1290000,258,15.2201
1936.66,156.6485,259,2312.54,-9834.8203125,1295000,259,15.0778
1933.13,156.5861,260,2318.94,-9895.7509765625,1300000,260,15.1
1936.33,156.6138,261,2324.83,-9901.0986328125,1305000,261,15.2022
1955.31,156.4538,262,2321.57,-9913.91796875,1310000,262,15.0754
1958.62,156.6242,263,2311.88,-9969.4638671875,1315000,263,15.2115
1941.78,156.5106,264,2313.53,-9987.6240234375,1320000,264,15.0624
1956.21,156.5188,265,2327.16,-10017.83984375,1325000,265,15.1391
1953.04,156.6834,266,2321.71,-10021.4443359375,1330000,266,15.2059
1941.02,156.5092,267,2332.88,-10084.34765625,1335000,267,15.1223
1959.22,156.7826,268,2336.2,-10094.5712890625,1340000,268,15.1506
1919.87,156.6979,269,2314.47,-10125.9111328125,1345000,269,15.1377
1940.35,156.6394,270,2338.63,-10171.966796875,1350000,270,15.18
1946.87,156.6263,271,2338.72,-10154.3759765625,1355000,271,15.0441
1938.88,156.6222,272,2322.21,-10219.4521484375,1360000,272,15.1374
1950.83,156.4409,273,2340.38,-10222.1328125,1365000,273,15.0764
1943.46,156.5055,274,2322.62,-10257.0224609375,1370000,274,15.1841
1950.49,156.4967,275,2348.86,-10289.9873046875,1375000,275,15.3497
1950.8,156.5331,276,2332.48,-10291.8056640625,1380000,276,15.2243
1955.62,156.554,277,2350.49,-10311.34765625,1385000,277,15.14
1942.2,156.3969,278,2339.89,-10367.126953125,1390000,278,15.2269
1952.22,156.4859,279,2358.18,-10390.3740234375,1395000,279,15.1814
1959.95,156.4762,280,2350.74,-10429.8505859375,1400000,280,15.2949
1952.04,156.5943,281,2338.89,-10451.8310546875,1405000,281,15.2692
1950.37,156.4288,282,2333.34,-10456.89453125,1410000,282,15.3175
1952.59,156.4891,283,2335.13,-10476.244140625,1415000,283,15.2185
1941.22,156.656,284,2338.96,-10546.2978515625,1420000,284,15.1966
1948.76,156.4713,285,2324.36,-10549.9677734375,1425000,285,15.1532
1953.56,156.632,286,2335.64,-10580.7578125,1430000,286,15.0859
1967.88,156.4224,287,2330.86,-10627.5517578125,1435000,287,15.3206
1962.47,156.5616,288,2350.52,-10650.8681640625,1440000,288,15.3757
1971.77,156.5715,289,2331.97,-10691.0478515625,1445000,289,15.5284
1970.58,156.6509,290,2341.81,-10708.9365234375,1450000,290,15.2853
1975.18,156.2837,291,2352.88,-10728.8193359375,1455000,291,15.2392
1945.15,156.5562,292,2338.58,-10780.36328125,1460000,292,15.3266
1960.47,156.584,293,2345.02,-10824.8837890625,1465000,293,15.2315
1970.75,156.5522,294,2351.42,-10822.17578125,1470000,294,15.2725
1972.57,156.5248,295,2338.35,-10899.9599609375,1475000,295,15.4118
1944.12,156.5662,296,2339.16,-10890.6005859375,1480000,296,15.2834
1960.07,156.4965,297,2324.4,-10931.794921875,1485000,297,15.3783
1961.83,156.4341,298,2341.65,-10993.73828125,1490000,298,15.352
1962.94,156.5822,299,2324.27,-10985.7783203125,1495000,299,15.1174
1971.1,156.4672,300,2360.93,-11035.9560546875,1500000,300,15.4323
1973.28,156.5147,301,2340.78,-11051.09765625,1505000,301,15.3715
1959.28,156.4636,302,2318.76,-11119.236328125,1510000,302,15.5098
1974.45,156.5354,303,2359.26,-11137.9501953125,1515000,303,15.5044
1983.42,156.576,304,2361.83,-11163.5302734375,1520000,304,15.282
1955.6,156.714,305,2357.92,-11205.50390625,1525000,305,15.3404
1966.81,156.5963,306,2342.14,-11200.32421875,1530000,306,15.3924
1970.8,156.4273,307,2346.31,-11252.029296875,1535000,307,15.385
1985.43,156.5103,308,2323.55,-11265.93359375,1540000,308,15.4831
1984.2,156.6241,309,2344.13,-11314.6337890625,1545000,309,15.327
1957.93,156.3886,310,2335.78,-11298.7724609375,1550000,310,15.2411
1966.87,156.549,311,2319.37,-11352.0654296875,1555000,311,15.3213
1944.35,156.5174,312,2339.27,-11359.4609375,1560000,312,15.341
1970.31,156.4588,313,2338.2,-11421.658203125,1565000,313,15.4175
1981.14,156.5702,314,2332.71,-11447.03125,1570000,314,15.442
1989.16,156.519,315,2329.48,-11467.5087890625,1575000,315,15.4
1990.82,156.2633,316,2332.14,-11472.263671875,1580000,316,15.2988
1991.36,156.4692,317,2349.56,-11515.1142578125,1585000,317,15.1747
1979.29,156.5486,318,2346.8,-11526.1884765625,1590000,318,15.2423
1997.42,156.4104,319,2349.2,-11596.1708984375,1595000,319,15.3785
1962.56,156.4684,320,2349.49,-11634.0556640625,1600000,320,15.4389
1963.87,156.4695,321,2337.99,-11638.8564453125,1605000,321,15.3708
1989.07,156.3913,322,2352.68,-11670.1767578125,1610000,322,15.3217
1978.64,156.5672,323,2330.37,-11712.7822265625,1615000,323,15.4245
1973.64,156.4348,324,2358.15,-11758.6298828125,1620000,324,15.2887
1974.28,156.4886,325,2339.26,-11720.4384765625,1625000,325,15.2481
1950.44,156.4963,326,2335.96,-11746.8486328125,1630000,326,15.1338
1968.66,156.3495,327,2330.54,-11776.6572265625,1635000,327,15.0872
1958.43,156.5392,328,2317.2,-11791.3857421875,1640000,328,15.3196
1942.26,156.5082,329,2329.92,-11799.6689453125,1645000,329,15.1176
1962.56,156.5033,330,2341.75,-11855.7548828125,1650000,330,15.2372
1953.62,156.4754,331,2330.3,-11851.5810546875,1655000,331,15.254
1960.4,156.3521,332,2346.61,-11901.6416015625,1660000,332,15.2595
1946.66,156.3166,333,2319.75,-11906.0283203125,1665000,333,14.9562
1966.24,156.3345,334,2331.06,-11920.7333984375,1670000,334,15.1803
1963.19,156.4931,335,2322.84,-11957.517578125,1675000,335,15.1111
1952.29,156.6343,336,2325.83,-11931.1826171875,1680000,336,15.1891
1964.93,156.3907,337,2345.6,-11988.5791015625,1685000,337,15.1505
1967.7,156.3667,338,2321.92,-12041.53125,1690000,338,15.2451
1958.93,156.4389,339,2358.13,-12027.2568359375,1695000,339,15.1663
1958.54,156.3982,340,2348.7,-12052.443359375,1700000,340,15.2132
1972.54,156.5469,341,2354.2,-12055.2529296875,1705000,341,15.0555
1961.79,156.4328,342,2350.9,-12122.37890625,1710000,342,15.1175
1951.25,156.3561,343,2356.39,-12155.68359375,1715000,343,14.9866
1950.9,156.3531,344,2342.34,-12184.4912109375,1720000,344,15.1885
1962.52,156.488,345,2325.67,-12157.716796875,1725000,345,15.0839
1970.43,156.4961,346,2342.04,-12176.7978515625,1730000,346,15.1041
1952.71,156.448,347,2335.86,-12206.04296875,1735000,347,15.057
1955.85,156.5837,348,2325.83,-12227.76171875,1740000,348,15.0549
1963.34,156.3884,349,2328.05,-12297.5439453125,1745000,349,15.3302
1965.45,156.4397,350,2345.95,-12265.9833984375,1750000,350,14.9432
1965.26,156.4651,351,2332.34,-12346.052734375,1755000,351,15.1223
1969.15,156.5381,352,2356.18,-12350.7177734375,1760000,352,15.2486
1969.29,156.6359,353,2322.79,-12361.09765625,1765000,353,15.2007
1943.59,156.3929,354,2321.41,-12371.1337890625,1770000,354,15.0497
1957.17,156.3795,355,2318.56,-12380.0166015625,1775000,355,15.0142
1976.71,156.6577,356,2354.62,-12434.388671875,1780000,356,15.0941
1951.94,156.3644,357,2345.65,-12437.9169921875,1785000,357,15.0047
1939.28,156.554,358,2341.11,-12479.16796875,1790000,358,15.0605
1957.81,156.3585,359,2347.94,-12472.015625,1795000,359,15.1518
1951.77,156.4928,360,2358.23,-12519.37890625,1800000,360,15.1075
1955.38,156.321,361,2319.92,-12496.921875,1805000,361,14.8152
1948.3,156.4435,362,2356.58,-12585.021484375,1810000,362,15.0545
1836.18,156.4749,363,2342.44,-12593.1171875,1815000,363,15.0218
1961.95,156.3109,364,2346.11,-12624.7939453125,1820000,364,14.985
1945.86,156.4303,365,2315.77,-12642.76171875,1825000,365,14.9043
1968.61,156.4101,366,2348.08,-12716.0859375,1830000,366,15.0057
1949.35,156.4031,367,2330.19,-12687.7548828125,1835000,367,14.8825
1931.11,156.4553,368,2340.31,-12750.408203125,1840000,368,14.9332
1950.63,156.5503,369,2347.34,-12800.884765625,1845000,369,15.0951
1955.11,156.4198,370,2337.04,-12762.283203125,1850000,370,14.8937
1945.9,156.5784,371,2339.04,-12790.84765625,1855000,371,14.9024
1952.86,156.4499,372,2320.79,-12855.7548828125,1860000,372,14.9204
1929.84,156.5049,373,2321.01,-12850.3818359375,1865000,373,14.9402
1963.72,156.5773,374,2342.6,-12838.701171875,1870000,374,14.8555
1948.41,156.5161,375,2333.96,-12879.3388671875,1875000,375,14.9816
1950.39,156.503,376,2357.86,-12943.6376953125,1880000,376,14.8888
1952.19,156.3476,377,2334.7,-12953.4052734375,1885000,377,15.0584
1931.05,156.587,378,2341.67,-12898.876953125,1890000,378,14.7599
1964.47,156.4813,379,2351.05,-13041.8251953125,1895000,379,15.0035
1963.38,156.5295,380,2351.97,-13030.521484375,1900000,380,15.0057
1951.57,156.6242,381,2370.19,-13109.986328125,1905000,381,15.0052
1958.67,156.7371,382,2353.48,-13060.2607421875,1910000,382,15.0407
1951.78,156.4897,383,2367.85,-13140.3291015625,1915000,383,14.9505
1952.79,156.5691,384,2353.16,-13122.0830078125,1920000,384,15.0485
1925.02,156.5233,385,2328.88,-13105.4482421875,1925000,385,14.7994
