Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Reverse KL
485000,3395.51,-630.7194213867188,19.1232,3427.41,97,97,13.3354
490000,3448.15,-778.3054809570312,19.5961,3457.89,98,98,14.1049
495000,3014.29,-882.5414428710938,19.3716,3480.24,99,99,12.8156
500000,3467.49,-747.6533203125,19.7277,3489.73,100,100,13.7146
505000,3425.0,-737.2440185546875,18.6154,3459.17,101,101,12.6549
510000,3410.67,-802.7380981445312,19.708,3436.44,102,102,14.0547
515000,3427.03,-647.1357421875,18.3698,3455.08,103,103,12.1796
520000,3408.2,-709.6245727539062,18.6184,3442.48,104,104,13.0076
525000,3419.02,-766.478515625,19.239,3479.34,105,105,12.9875
530000,3420.61,-689.4220581054688,18.8562,3442.89,106,106,13.7205
535000,3402.2,-699.6219482421875,18.3253,3434.6,107,107,12.3303
540000,3134.71,-822.8551025390625,19.285,3469.58,108,108,12.9434
545000,3461.48,-743.8807983398438,18.7671,3498.27,109,109,13.6825
550000,3415.37,-842.2271118164062,19.2608,3454.48,110,110,13.6116
555000,3437.49,-774.7509765625,18.7185,3467.18,111,111,13.0195
560000,2882.28,-1026.762451171875,19.2346,3497.45,112,112,12.9354
565000,3463.06,-805.954833984375,18.6352,3484.32,113,113,13.0942
570000,3381.22,-830.7653198242188,18.9128,3481.53,114,114,12.943
575000,3282.76,-655.1643676757812,18.1287,3460.87,115,115,13.2868
580000,3115.37,-954.2472534179688,19.4727,3494.72,116,116,13.4622
585000,3441.24,-816.4157104492188,19.1251,3464.76,117,117,13.2916
590000,3455.28,-813.7489624023438,18.9349,3465.21,118,118,13.5599
595000,3438.97,-909.5386962890625,18.6073,3449.08,119,119,12.8712
600000,2898.55,-779.0537719726562,18.3309,3470.66,120,120,12.6756
605000,3124.03,-1071.531982421875,20.1274,3497.68,121,121,13.4699
610000,2988.13,-1071.2613525390625,19.1098,3278.57,122,122,13.0054
615000,3268.99,-936.191162109375,19.1913,3465.81,123,123,13.7639
620000,3167.24,-1006.4559936523438,19.6229,3492.64,124,124,13.8095
625000,3461.97,-960.5589599609375,18.6623,3481.36,125,125,13.3412
630000,3392.99,-1028.8232421875,18.7967,3486.49,126,126,12.6225
635000,3373.94,-834.9371337890625,17.8382,3459.07,127,127,12.6254
640000,3471.75,-1055.0572509765625,18.9184,3491.41,128,128,13.4153
645000,2311.66,-811.6138916015625,17.3147,262.05,129,129,11.4641
650000,3426.12,-976.2172241210938,19.058,3455.26,130,130,12.7643
655000,3198.34,-1087.1964111328125,18.9474,3480.62,131,131,12.1606
660000,1978.07,-1493.9307861328125,20.9656,3369.68,132,132,13.5625
665000,3325.87,-1036.9012451171875,18.8152,3458.57,133,133,12.7489
670000,2673.68,-1478.003173828125,20.8504,3477.94,134,134,13.337
675000,3375.12,-1202.8697509765625,19.6688,3463.65,135,135,12.4365
680000,3375.26,-1109.353271484375,18.4913,3404.09,136,136,11.1315
685000,3447.76,-1163.2174072265625,19.4125,3455.35,137,137,13.7557
690000,3382.63,-1125.2322998046875,18.6867,3469.88,138,138,12.0271
695000,3194.77,-1165.069580078125,18.9041,3465.32,139,139,12.7334
700000,2897.1,-1335.1458740234375,20.2478,3471.69,140,140,13.4655
705000,3365.61,-1131.5205078125,18.9493,3448.22,141,141,12.5292
710000,3429.84,-1017.723388671875,18.885,3446.64,142,142,13.0412
715000,3411.46,-1108.2308349609375,18.7006,3453.4,143,143,11.8681
720000,3402.6,-1121.3851318359375,19.171,3486.61,144,144,13.1065
725000,3325.6,-1021.9747314453125,18.5916,3452.42,145,145,12.261
730000,3434.02,-1108.0965576171875,19.4758,3478.8,146,146,13.1997
735000,3419.74,-1070.1376953125,17.794,3456.85,147,147,12.3211
740000,2630.65,-1405.6829833984375,19.9552,2843.85,148,148,12.7169
745000,3424.35,-1051.866455078125,18.5157,3446.73,149,149,13.0878
750000,3209.58,-1372.5997314453125,20.062,3486.51,150,150,13.7075
755000,3445.43,-1174.7420654296875,20.1016,3462.04,151,151,13.4919
760000,3070.1,-1355.357666015625,19.0295,3490.41,152,152,12.5498
765000,2807.25,-1438.2061767578125,19.3887,3486.25,153,153,13.1248
770000,3157.49,-1356.6107177734375,19.3363,3452.38,154,154,12.6741
775000,3281.81,-1357.519287109375,19.6722,3468.59,155,155,12.4686
780000,3464.98,-1422.212890625,19.1703,3473.56,156,156,12.8294
785000,3388.99,-1256.695556640625,18.5891,3421.06,157,157,13.2388
790000,3426.68,-1148.9293212890625,18.121,3446.13,158,158,12.1455
795000,3050.94,-1239.6480712890625,19.0056,3449.12,159,159,12.687
800000,3452.43,-1142.28271484375,18.3501,3477.38,160,160,12.3611
805000,3323.1,-1264.2828369140625,18.4234,3458.38,161,161,12.5886
810000,3411.58,-1225.681640625,18.8338,3433.38,162,162,13.3591
815000,3409.14,-1037.36962890625,17.1462,3427.19,163,163,11.6463
820000,3439.05,-1431.2279052734375,19.6403,3451.79,164,164,13.0175
825000,3432.83,-1226.740234375,18.4322,3451.85,165,165,12.5463
830000,3426.0,-1347.2310791015625,18.5413,3443.65,166,166,12.5268
835000,3435.94,-1334.730224609375,18.1416,3459.57,167,167,13.05
840000,3426.84,-1279.5693359375,18.7783,3481.49,168,168,12.6766
845000,3440.36,-1340.455078125,19.2007,3459.58,169,169,12.9249
850000,3431.54,-1510.1607666015625,19.1037,3452.34,170,170,12.6841
855000,3442.7,-1431.7745361328125,18.0992,3462.17,171,171,12.3432
860000,3462.7,-1344.871826171875,18.1439,3480.85,172,172,12.4167
865000,2807.3,-1671.381103515625,19.3903,3521.33,173,173,12.2966
870000,3444.45,-1290.6915283203125,17.5358,3460.98,174,174,11.746
875000,3439.12,-1291.43505859375,17.9573,3464.48,175,175,12.6367
880000,3389.15,-1680.085205078125,19.1097,3477.33,176,176,12.2382
885000,3426.64,-1386.287841796875,17.8461,3443.0,177,177,12.5017
890000,3431.51,-1448.451171875,18.0038,3460.44,178,178,12.3549
895000,3412.83,-1407.65625,17.0678,3442.9,179,179,12.118
900000,2141.97,-1172.6102294921875,16.1895,3460.52,180,180,10.9723
905000,3444.55,-1337.88623046875,17.3378,3464.92,181,181,11.4164
910000,3445.36,-1251.7767333984375,17.204,3468.2,182,182,11.1927
915000,3448.45,-1333.7528076171875,17.6125,3455.19,183,183,12.4173
920000,3442.01,-1360.6351318359375,17.3334,3466.55,184,184,11.2119
925000,3435.54,-1381.96435546875,17.5194,3455.69,185,185,12.1537
930000,2706.76,-1748.07763671875,19.4943,3469.68,186,186,12.5001
935000,3372.27,-1704.5770263671875,19.0898,3478.36,187,187,13.0244
940000,3423.13,-1638.761962890625,18.3804,3440.38,188,188,12.2482
945000,3409.98,-1705.101318359375,18.7363,3428.55,189,189,12.8245
950000,3474.83,-1728.371826171875,18.8017,3485.21,190,190,13.0536
955000,3403.2,-1449.0028076171875,18.0545,3422.0,191,191,12.336
960000,3453.1,-1769.88525390625,18.8866,3482.39,192,192,12.2762
965000,3427.59,-1691.1131591796875,18.4759,3438.58,193,193,12.9641
970000,3453.58,-1728.242919921875,18.9647,3473.64,194,194,12.5623
975000,3471.59,-1521.379638671875,17.823,3475.58,195,195,11.4606
980000,3425.86,-1676.4837646484375,17.7439,3440.11,196,196,11.4881
985000,3368.59,-1617.1260986328125,17.605,3445.41,197,197,12.4595
990000,3441.04,-1795.91650390625,18.7122,3462.8,198,198,12.2083
995000,3459.7,-1583.9901123046875,17.8159,3470.54,199,199,11.2644
