Itration,Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss
29,3213.23,145000,29,24.9453,2335.31,18.687,-582.9156494140625
30,3219.87,150000,30,23.9043,3203.47,16.3488,-495.4482421875
31,3039.41,155000,31,23.8771,3050.33,14.913,-561.768798828125
32,3174.04,160000,32,24.3077,3162.13,16.3854,-523.8296508789062
33,3185.52,165000,33,24.1147,3184.12,16.418,-510.41680908203125
34,3204.55,170000,34,24.3626,3074.64,16.5821,-532.0921020507812
35,3176.74,175000,35,23.7532,3182.36,15.885,-557.3881225585938
36,3198.79,180000,36,24.0414,3171.04,16.1229,-567.3551635742188
37,3190.37,185000,37,24.1565,3186.57,16.1091,-591.7465209960938
38,3167.45,190000,38,24.3329,3157.55,15.9439,-601.8082275390625
39,3213.87,195000,39,23.7312,3140.31,14.786,-607.7889404296875
40,3195.76,200000,40,23.8123,3058.96,15.9616,-601.5795288085938
41,3201.34,205000,41,23.6793,3198.88,16.2551,-630.89697265625
42,3226.93,210000,42,24.0626,3197.37,16.4427,-649.518310546875
43,3240.35,215000,43,24.3262,3103.98,16.6528,-693.4972534179688
44,3051.68,220000,44,23.3702,3058.59,14.1838,-762.2998657226562
45,3234.06,225000,45,24.6714,2409.27,32.9575,-818.2398681640625
46,3213.47,230000,46,23.4847,3195.25,15.9287,-696.7767944335938
47,3180.59,235000,47,23.3263,3174.93,14.8488,-762.0321044921875
48,3190.28,240000,48,24.2828,3184.67,16.2263,-725.7283935546875
49,3189.22,245000,49,23.7674,3071.6,28.0165,-851.5747680664062
50,3200.73,250000,50,23.247,3176.74,15.097,-751.8453979492188
51,3178.86,255000,51,22.9259,3159.01,14.0164,-762.9805297851562
52,3195.68,260000,52,23.2206,3169.53,14.5709,-766.162841796875
53,3233.06,265000,53,24.0812,3034.26,15.7261,-907.4601440429688
54,3196.25,270000,54,23.3971,3127.12,15.1799,-942.7063598632812
55,3215.49,275000,55,23.4663,3123.72,15.0373,-821.2169799804688
56,3218.14,280000,56,23.0103,2856.14,13.9561,-914.16552734375
57,3194.47,285000,57,23.4008,2934.02,14.3801,-854.6890869140625
58,3192.49,290000,58,23.2337,3061.41,17.7937,-859.341552734375
59,3218.66,295000,59,23.5417,3189.04,15.6978,-902.8252563476562
60,3213.27,300000,60,23.2682,2969.81,15.0395,-903.4212646484375
61,3233.26,305000,61,23.8586,2298.2,16.8008,-1289.5975341796875
62,3211.61,310000,62,22.4555,3192.29,14.2972,-907.072998046875
63,3231.19,315000,63,23.5561,3203.23,17.0579,-948.8997802734375
64,3111.82,320000,64,23.3548,2228.36,25.0674,-1205.9371337890625
65,3243.29,325000,65,23.0609,3114.2,13.6517,-1026.760498046875
66,3200.65,330000,66,22.6621,3193.38,14.0332,-987.96142578125
67,3162.71,335000,67,23.3346,2839.17,14.557,-1360.005859375
68,3197.01,340000,68,22.5713,3156.35,14.0105,-1035.670166015625
69,3237.77,345000,69,23.2152,3067.52,15.4173,-1256.7938232421875
70,3242.21,350000,70,23.3934,2973.5,14.0724,-1412.055419921875
71,3226.57,355000,71,21.9784,3114.21,13.5219,-1013.4718627929688
72,3234.71,360000,72,22.5855,3192.08,12.8505,-1155.2408447265625
73,3219.04,365000,73,22.8685,3114.65,14.3963,-1145.4393310546875
74,3245.08,370000,74,23.0837,2718.37,14.7829,-1150.3685302734375
75,3242.5,375000,75,22.6586,3116.06,13.2411,-1262.1064453125
76,3201.68,380000,76,22.5777,3190.09,14.4399,-1151.7249755859375
77,3183.97,385000,77,22.6282,3156.24,13.9527,-1187.785400390625
78,3231.59,390000,78,22.7795,3068.9,13.2637,-1372.7491455078125
79,3166.76,395000,79,22.5873,3046.57,14.2431,-1223.99169921875
80,3230.99,400000,80,23.4254,2807.97,14.526,-1425.9736328125
81,3232.28,405000,81,22.9547,3067.69,14.6627,-1159.6617431640625
82,3269.27,410000,82,22.5535,2761.39,13.9482,-1274.239013671875
83,3238.68,415000,83,23.2365,3205.36,14.5174,-1265.819091796875
84,3214.26,420000,84,22.8297,3201.97,14.3766,-1268.0867919921875
85,3214.94,425000,85,22.9189,3206.65,14.4892,-1264.9158935546875
86,3233.76,430000,86,21.7856,3208.87,12.7988,-1229.9903564453125
87,3239.41,435000,87,22.1521,3066.63,13.3512,-1232.2293701171875
88,3231.42,440000,88,22.6164,3201.39,14.426,-1321.810302734375
89,3270.59,445000,89,22.9398,2349.86,14.062,-1586.33984375
90,3246.71,450000,90,22.861,2785.47,12.8853,-1550.1290283203125
91,3232.0,455000,91,22.2979,3186.12,13.4617,-1300.0120849609375
92,3192.14,460000,92,22.231,2983.96,21.6706,-1388.4078369140625
93,3249.14,465000,93,21.9629,2890.94,13.5507,-1324.25244140625
94,3207.58,470000,94,21.6706,3191.23,13.2439,-1354.83154296875
95,3214.96,475000,95,21.2015,3193.4,12.8461,-1371.344970703125
96,3259.26,480000,96,22.5169,2789.2,13.0589,-1448.6632080078125
97,3260.45,485000,97,21.9365,3016.42,13.6659,-1382.2747802734375
98,3239.52,490000,98,21.2942,3190.3,12.1223,-1399.4183349609375
99,3266.46,495000,99,22.3018,2913.76,13.5433,-1528.330322265625
100,3239.32,500000,100,21.9204,3222.45,13.4306,-1430.9393310546875
101,3226.8,505000,101,22.6066,2950.79,13.4295,-1615.6314697265625
102,3276.81,510000,102,21.8634,3078.42,13.0126,-1387.6864013671875
103,3261.25,515000,103,21.6949,3238.24,13.761,-1438.0413818359375
104,3220.79,520000,104,21.4464,3193.24,12.9849,-1488.6917724609375
105,3244.74,525000,105,22.0453,3173.05,13.309,-1611.2281494140625
106,3256.47,530000,106,21.5883,3168.38,13.3781,-1502.337158203125
107,3267.76,535000,107,21.547,3243.94,13.3681,-1474.64697265625
108,3259.62,540000,108,21.5713,3230.13,14.3798,-1624.732421875
109,3242.71,545000,109,21.2244,3216.43,12.9481,-1477.226318359375
110,3228.73,550000,110,21.7141,3098.78,13.6272,-1592.1748046875
111,3278.18,555000,111,21.1426,3271.88,16.6207,-1380.6080322265625
112,3250.46,560000,112,21.5719,2946.9,12.7936,-1581.73876953125
113,3243.6,565000,113,21.1543,3205.55,12.8478,-1609.403564453125
114,3255.6,570000,114,20.8824,3084.04,12.2809,-1535.53125
115,3278.82,575000,115,21.0286,3249.05,13.0785,-1549.5433349609375
116,3317.73,580000,116,20.7694,3299.03,12.6307,-1444.7030029296875
117,3322.4,585000,117,21.6219,3276.18,14.0208,-1511.1514892578125
118,3356.34,590000,118,20.6044,3331.27,12.4044,-1415.3665771484375
119,3294.9,595000,119,21.1707,3277.67,13.2068,-1530.517578125
120,3328.44,600000,120,21.1202,3240.63,13.2623,-1518.7052001953125
121,3295.44,605000,121,21.0263,3274.3,12.9836,-1653.7149658203125
122,3318.61,610000,122,20.9037,3260.02,12.877,-1560.2757568359375
123,3340.93,615000,123,21.0092,3318.57,13.6697,-1440.6253662109375
124,3316.32,620000,124,20.4777,3309.41,12.8856,-1477.3856201171875
125,3344.92,625000,125,21.0335,3322.6,13.6201,-1474.36474609375
126,3380.51,630000,126,20.5515,3359.14,13.7496,-1421.6317138671875
127,3352.78,635000,127,20.506,3334.28,12.9941,-1454.404052734375
128,3389.34,640000,128,20.0206,3367.02,12.8773,-1331.438232421875
129,3324.64,645000,129,20.7094,3292.86,13.258,-1667.0908203125
130,3328.34,650000,130,21.0615,3293.35,13.6764,-1650.609619140625
131,3400.54,655000,131,20.7053,3391.42,13.1495,-1234.3330078125
132,3439.31,660000,132,21.2899,3310.19,13.3879,-1295.9873046875
133,3370.7,665000,133,20.6667,3339.26,13.2177,-1478.257568359375
134,3360.25,670000,134,20.2311,3334.77,12.8581,-1519.5257568359375
135,3373.52,675000,135,20.5249,3353.85,13.3811,-1472.8402099609375
136,3389.59,680000,136,19.8254,3372.04,12.9198,-1320.9874267578125
137,3409.29,685000,137,20.6026,3399.12,13.8947,-1351.844482421875
138,3385.42,690000,138,20.7204,3054.07,16.0814,-1654.9658203125
139,3401.24,695000,139,21.496,3392.66,14.1243,-1389.862548828125
140,3441.75,700000,140,19.822,3420.88,12.274,-1133.615966796875
141,3416.82,705000,141,20.4792,3408.38,13.1902,-1391.2689208984375
142,3408.37,710000,142,20.5453,3396.66,13.4769,-1321.199462890625
143,3411.43,715000,143,19.8742,3392.46,13.0236,-1219.8800048828125
144,3375.8,720000,144,20.5088,3353.01,13.021,-1569.263916015625
145,3412.82,725000,145,20.8261,3371.12,13.4529,-1463.31494140625
146,3383.42,730000,146,20.1017,3378.85,13.1179,-1391.9927978515625
147,3385.28,735000,147,20.6039,3362.84,13.3923,-1371.687744140625
148,3385.11,740000,148,21.1796,2873.49,13.8762,-1633.0218505859375
149,3417.99,745000,149,20.3791,3405.99,13.2992,-1369.214599609375
150,3426.02,750000,150,21.1114,3303.52,13.7176,-1739.938720703125
151,3430.48,755000,151,21.1213,3388.89,13.5181,-1378.457275390625
152,3426.81,760000,152,20.2449,3330.44,12.7438,-1374.78076171875
153,3413.64,765000,153,20.0893,3404.88,13.0338,-1409.123779296875
154,3406.76,770000,154,20.6444,3376.04,13.1571,-1668.753173828125
155,3416.2,775000,155,20.2971,3395.39,13.1385,-1476.54296875
156,3460.66,780000,156,20.3688,3434.48,13.4104,-1402.7288818359375
157,3433.2,785000,157,20.2939,3402.53,13.2815,-1592.425048828125
158,3345.59,790000,158,20.1255,3262.28,13.0993,-1826.75439453125
159,3460.27,795000,159,20.0966,3453.78,13.8176,-1178.8680419921875
160,3415.44,800000,160,20.0782,3404.94,13.7746,-1520.7103271484375
161,3345.57,805000,161,20.7662,3157.77,12.7918,-1983.345703125
162,3383.8,810000,162,19.9111,3361.77,12.5406,-1562.97802734375
163,3410.88,815000,163,20.05,3382.89,16.5281,-1571.90673828125
164,3350.1,820000,164,19.5149,3327.61,20.3843,-1789.0517578125
165,3411.41,825000,165,20.5898,3402.37,13.7788,-1567.6011962890625
166,3406.85,830000,166,20.2689,3393.48,13.1546,-1644.5167236328125
167,3438.93,835000,167,19.9244,3407.18,13.0201,-1553.7237548828125
168,3429.44,840000,168,19.7139,3426.65,13.0752,-1514.9608154296875
169,3424.7,845000,169,20.7969,3393.53,13.2076,-1591.897705078125
170,3406.49,850000,170,19.5743,3397.43,12.4159,-1435.2662353515625
171,3463.75,855000,171,20.1605,3449.65,13.1893,-1425.2288818359375
172,3458.05,860000,172,20.1132,3428.13,13.4246,-1325.972900390625
173,3427.2,865000,173,19.9967,3391.95,13.169,-1607.5396728515625
174,3423.3,870000,174,20.4496,3379.89,13.173,-1604.611083984375
175,3449.72,875000,175,19.9018,3421.03,12.9155,-1322.8792724609375
176,3467.61,880000,176,20.3376,3445.41,13.3093,-1349.72900390625
177,3428.14,885000,177,20.4447,3406.94,13.2793,-1563.0400390625
178,3410.19,890000,178,19.8443,3375.57,12.7222,-1677.650634765625
179,3421.97,895000,179,20.4076,3421.76,13.3815,-1648.7764892578125
180,3459.14,900000,180,19.4605,3425.7,12.6558,-1472.6922607421875
181,3485.2,905000,181,20.1599,3443.15,13.191,-1389.8447265625
182,3433.72,910000,182,20.1042,3408.82,12.7981,-1711.314697265625
183,3490.68,915000,183,20.3717,3373.0,14.6157,-1628.375
184,3455.29,920000,184,20.4681,3341.39,12.8226,-1682.73828125
185,3416.3,925000,185,19.5707,3380.39,12.2942,-1648.43408203125
186,3445.9,930000,186,19.8261,3412.14,12.7451,-1583.4326171875
187,3486.03,935000,187,20.4792,2954.39,13.041,-1660.92626953125
188,3460.58,940000,188,20.8258,2918.19,12.0973,-1939.179443359375
189,3444.58,945000,189,20.1261,3331.45,12.4342,-2024.9212646484375
190,3475.89,950000,190,19.8194,3404.78,12.9525,-1466.287109375
191,3400.65,955000,191,20.2866,3368.03,13.0759,-2124.787353515625
192,3456.21,960000,192,19.9494,3445.8,13.1465,-1707.2139892578125
193,3404.71,965000,193,19.8388,3366.15,12.6963,-1929.007080078125
194,3456.06,970000,194,18.2325,3440.07,11.4501,-1373.6195068359375
195,3460.12,975000,195,19.8143,3264.84,13.3255,-1701.0888671875
196,3448.98,980000,196,19.3269,3271.4,11.8491,-1567.1748046875
197,3423.47,985000,197,20.0509,3398.94,13.1496,-1754.63818359375
198,3447.34,990000,198,20.5251,3389.03,13.5967,-1710.00732421875
199,3472.28,995000,199,20.6778,3325.65,14.9699,-1734.412109375
