Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Forward KL
3471.57,136,3444.4,14.6114,680000,136,-333.0614013671875,19.4282
3496.96,137,3323.18,15.2136,685000,137,-357.32177734375,21.2118
3470.13,138,3357.71,14.5002,690000,138,-362.0880126953125,20.3979
3501.97,139,3349.04,13.3894,695000,139,-347.08001708984375,20.4128
3517.31,140,3417.14,13.9852,700000,140,-370.46856689453125,19.9043
3541.99,141,3451.76,14.8217,705000,141,-353.3703308105469,21.3856
3410.21,142,3237.71,15.9117,710000,142,-356.20233154296875,21.2442
3408.78,143,3389.78,15.2034,715000,143,-415.0045166015625,20.5344
3388.6,144,3384.12,16.5834,720000,144,-365.6020202636719,21.8305
3452.98,145,3451.12,15.2629,725000,145,-364.12481689453125,20.3182
3520.63,146,3410.07,14.4188,730000,146,-395.8248596191406,19.5692
3503.69,147,3454.26,15.018,735000,147,-357.3367614746094,19.5568
3486.9,148,3367.28,14.872,740000,148,-372.7051696777344,21.2565
3452.25,149,3428.05,15.4496,745000,149,-400.52838134765625,20.3307
3465.19,150,2865.79,13.4261,750000,150,-348.4324645996094,21.3103
3433.25,151,3175.42,15.8306,755000,151,-415.1880798339844,20.1771
3487.98,152,3426.12,15.9098,760000,152,-406.4993591308594,21.2329
3465.78,153,3306.14,14.0672,765000,153,-406.2559509277344,21.1549
3361.94,154,3353.93,14.7957,770000,154,-357.4984130859375,19.8359
3446.15,155,3406.11,13.5163,775000,155,-366.3984069824219,18.1326
3503.72,156,3101.34,14.3514,780000,156,-383.2561950683594,20.8276
3460.47,157,3295.25,14.3563,785000,157,-400.1871337890625,20.6816
3444.99,158,2970.32,14.214,790000,158,-415.183837890625,22.126
3482.31,159,3453.5,15.8097,795000,159,-461.3586730957031,20.9463
3482.77,160,3385.96,14.0975,800000,160,-430.1524658203125,20.5006
3527.89,161,3490.34,15.6812,805000,161,-460.4120788574219,20.9417
3485.34,162,3446.85,15.3434,810000,162,-458.50750732421875,20.4701
3457.09,163,3291.29,14.3597,815000,163,-451.6853942871094,20.3789
3464.22,164,2707.52,14.2096,820000,164,-454.083984375,20.9031
3481.12,165,3416.68,15.0717,825000,165,-460.55096435546875,20.5984
3493.04,166,3351.75,14.4852,830000,166,-461.17095947265625,21.2791
3465.67,167,3421.08,14.0744,835000,167,-445.0220947265625,19.5823
3471.34,168,3320.1,14.6608,840000,168,-474.1446228027344,21.285
3446.07,169,3423.54,14.2782,845000,169,-470.95001220703125,19.5713
3473.83,170,3449.46,15.1867,850000,170,-486.2908630371094,20.5238
3473.16,171,3040.14,14.6679,855000,171,-484.98333740234375,20.9609
3464.15,172,3432.52,14.1513,860000,172,-467.98443603515625,20.3403
3524.17,173,3478.5,14.739,865000,173,-487.4842224121094,20.4661
3492.39,174,3336.13,15.4249,870000,174,-497.20501708984375,20.2682
3521.05,175,3479.07,14.9016,875000,175,-496.690185546875,20.4034
3475.18,176,3450.64,15.8546,880000,176,-506.2090148925781,21.5369
3496.6,177,3382.51,15.5807,885000,177,-513.4577026367188,21.2027
3472.62,178,3389.75,15.1337,890000,178,-490.783447265625,22.0164
3490.77,179,3447.69,15.5921,895000,179,-503.0122375488281,22.2228
3474.58,180,3452.35,15.2047,900000,180,-498.0461730957031,20.3021
3486.43,181,3420.41,15.0262,905000,181,-518.838134765625,20.5572
3459.28,182,3440.78,15.1963,910000,182,-486.1999206542969,19.9449
68.63,183,2181.31,13.6168,915000,183,-453.788818359375,20.4824
3454.31,184,3428.04,15.3772,920000,184,-475.2071228027344,20.3679
3270.06,185,3316.42,13.071,925000,185,-441.6702880859375,18.6141
3124.8,186,3049.18,15.6496,930000,186,-485.125244140625,22.6141
3398.64,187,3358.33,15.173,935000,187,-549.9695434570312,21.8751
3461.02,188,3367.1,14.0011,940000,188,-508.1819152832031,19.809
3448.3,189,3061.67,13.6105,945000,189,-503.8118896484375,21.0593
3444.13,190,3372.17,13.1373,950000,190,-416.1805419921875,18.8784
3387.03,191,3355.76,13.848,955000,191,-489.68768310546875,18.8101
3452.37,192,3317.15,12.9958,960000,192,-478.8607482910156,19.1392
3438.23,193,3413.85,13.9794,965000,193,-517.8128051757812,19.7566
3409.5,194,3355.97,15.8201,970000,194,-483.60931396484375,20.9591
3475.87,195,3460.18,15.0551,975000,195,-572.794189453125,20.0587
3369.72,196,3195.58,14.4265,980000,196,-555.4959716796875,22.2391
3451.15,197,3445.54,13.8603,985000,197,-533.379638671875,19.8601
3457.01,198,3154.81,13.9062,990000,198,-519.1256103515625,18.9528
3511.08,199,3492.92,12.3585,995000,199,-461.3712463378906,18.8176
