Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Reverse KL,Real Sto Return
630000,-826.6433715820312,18.3818,3348.75,126,126,11.9652,3267.93
635000,-584.47900390625,18.5755,3412.62,127,127,11.3689,3379.04
640000,-749.715576171875,18.0406,3396.76,128,128,11.773,3344.03
645000,-745.9225463867188,17.9594,3358.28,129,129,11.6189,3336.38
650000,-747.0057373046875,17.283,3415.89,130,130,11.5868,3288.63
655000,-739.8102416992188,17.2392,3372.77,131,131,10.4736,3370.94
660000,-617.85986328125,16.6397,3374.09,132,132,10.2543,3333.56
665000,-705.4722290039062,17.5274,3363.34,133,133,11.1081,3326.35
670000,-605.2431640625,16.9016,3405.38,134,134,10.7039,3372.6
675000,-613.8994140625,16.3696,3426.32,135,135,10.5333,3389.34
680000,-725.119140625,17.8984,3415.11,136,136,11.1985,3380.39
685000,-823.2587890625,17.4721,3375.97,137,137,11.5156,3341.17
690000,-673.40869140625,17.3739,3393.36,138,138,10.8634,3356.38
695000,-708.6531982421875,16.7141,3403.6,139,139,10.9207,3249.18
700000,-759.7160034179688,17.4663,3392.54,140,140,11.9469,3356.74
705000,-700.7222900390625,17.3402,3424.12,141,141,10.9467,3391.6
710000,-770.0676879882812,17.7014,3417.29,142,142,11.92,3398.6
715000,-706.2117309570312,17.5146,3384.67,143,143,11.0039,3359.84
720000,-746.9419555664062,18.0354,3373.02,144,144,11.6752,3341.81
725000,-786.8028564453125,18.1056,3408.72,145,145,11.0489,3348.1
730000,-738.0091552734375,17.8371,3382.91,146,146,11.4835,3325.69
735000,-835.2865600585938,17.8126,3425.41,147,147,11.2868,3334.91
740000,-859.3511962890625,16.9299,3427.66,148,148,10.8478,3377.95
745000,-767.0164184570312,17.32,3392.22,149,149,10.7269,3340.53
750000,-871.1683349609375,17.092,3431.86,150,150,10.9574,3394.2
755000,-725.3322143554688,17.7094,3487.16,151,151,11.1573,3383.6
760000,-887.917724609375,19.5692,3474.52,152,152,11.4324,3130.45
765000,-920.7952880859375,17.1048,3378.97,153,153,11.2961,3328.38
770000,-913.6361083984375,18.2496,3443.09,154,154,11.4161,3310.67
775000,-852.2553100585938,17.3516,3378.75,155,155,10.9092,3357.37
780000,-954.4116821289062,19.0108,3423.98,156,156,12.2417,3377.44
785000,-919.6373291015625,19.1094,3420.8,157,157,12.7242,3398.35
790000,-769.3634033203125,16.8689,3401.69,158,158,10.8224,3391.46
795000,-882.8310546875,16.7342,3454.14,159,159,10.8576,3391.59
800000,-894.28564453125,16.5454,3376.35,160,160,9.9143,3346.96
805000,-863.9921264648438,17.1735,3382.73,161,161,10.5821,3231.6
810000,-1000.628662109375,18.2118,3405.61,162,162,11.3939,3243.1
815000,-953.170654296875,17.1004,3419.57,163,163,10.9484,3377.16
820000,-984.8570556640625,17.845,3427.68,164,164,11.2352,3146.0
825000,-1040.2979736328125,17.2297,3429.16,165,165,11.577,3365.05
830000,-895.8693237304688,17.3681,3420.18,166,166,11.2058,3383.47
835000,-889.7249755859375,17.1205,3444.83,167,167,11.227,3202.36
840000,-1031.94140625,17.3555,3288.33,168,168,10.7549,3238.12
845000,-1141.9149169921875,18.7916,3478.21,169,169,12.057,3094.31
850000,-963.1414794921875,17.8276,3465.02,170,170,10.8936,2823.74
855000,-958.28564453125,18.0939,3464.73,171,171,11.1602,2656.74
860000,-984.0369873046875,17.8528,3428.87,172,172,11.4314,3291.54
865000,-1128.616943359375,19.4982,3481.58,173,173,12.6042,2395.23
870000,-948.9992065429688,16.9953,3440.64,174,174,10.0809,3078.47
875000,-983.4361572265625,16.9411,3444.48,175,175,10.674,3352.53
880000,-1118.51123046875,18.3786,3463.42,176,176,14.3366,2761.57
885000,-1148.4957275390625,18.0385,3435.58,177,177,10.8952,3100.5
890000,-1239.4852294921875,18.1524,3425.31,178,178,11.1169,3279.15
895000,-1117.3699951171875,16.8681,3420.04,179,179,11.189,3397.0
900000,-1093.103759765625,17.9079,3460.1,180,180,11.0349,3006.13
905000,-1141.64501953125,18.4429,3468.2,181,181,10.9851,2918.32
910000,-1126.2044677734375,20.053,3193.74,182,182,14.3671,2121.1
915000,-1041.490478515625,15.9485,3465.42,183,183,9.9795,3322.42
920000,-1123.94677734375,17.9167,3457.03,184,184,11.4812,3441.18
925000,-1091.4622802734375,17.4786,3479.15,185,185,10.6512,3294.8
930000,-1133.141357421875,18.4574,3441.1,186,186,11.7113,3053.81
935000,-1182.5833740234375,18.5691,3464.04,187,187,11.9988,3008.57
940000,-1259.884033203125,17.9525,3448.22,188,188,10.9873,3091.0
945000,-1185.9613037109375,18.0437,3416.35,189,189,11.813,3247.1
950000,-1186.6214599609375,16.7166,3457.45,190,190,10.6404,3441.61
955000,-1058.6097412109375,16.7444,3401.46,191,191,10.7762,3091.79
960000,-1137.03125,17.8377,3463.0,192,192,11.5376,3156.55
965000,-1131.32958984375,16.0216,3445.02,193,193,10.1387,3159.65
970000,-1127.5537109375,16.9294,3445.99,194,194,10.0422,3045.24
975000,-1327.5667724609375,19.1895,3484.74,195,195,10.837,2998.0
980000,-1179.7841796875,17.709,3395.85,196,196,10.7682,3372.02
985000,-1259.265380859375,18.7835,3447.29,197,197,10.5571,2795.67
990000,-1328.3634033203125,17.7401,3447.97,198,198,11.1408,3178.38
995000,-1227.3499755859375,16.8163,3438.21,199,199,9.7966,3293.75
