Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Itration,Running Forward KL,Real Det Return,Running Env Steps
742.66,15.6496,176,-7954.4931640625,176,23.7741,9.28,880000
1525.99,14.7191,177,-7180.21240234375,177,23.1,1955.92,885000
1902.32,14.2667,178,-6293.337890625,178,23.0964,2638.55,890000
1764.96,13.2845,179,-5896.81494140625,179,23.0257,2777.39,895000
1750.86,11.3884,180,-5025.13720703125,180,22.033,2593.85,900000
2108.14,11.5396,181,-3473.276611328125,181,21.8533,2275.66,905000
1366.85,13.3638,182,-8137.890625,182,25.0215,1779.16,910000
1535.66,13.2326,183,-6199.8251953125,183,23.3577,1947.82,915000
1227.9,14.6024,184,-8422.8212890625,184,25.2312,1499.89,920000
1378.75,12.9764,185,-8298.7265625,185,23.4772,1508.05,925000
1503.94,14.7941,186,-7903.916015625,186,23.2083,1898.73,930000
1583.77,12.5524,187,-7434.26318359375,187,23.0953,1674.91,935000
1512.24,14.5294,188,-7919.6103515625,188,23.0414,1473.49,940000
1486.84,12.0035,189,-6213.68408203125,189,22.3476,3271.47,945000
1772.93,13.3686,190,-6298.34228515625,190,21.8239,3136.49,950000
1515.42,10.8947,191,-7329.693359375,191,22.1224,2158.19,955000
1443.69,13.8097,192,-8177.25341796875,192,23.2052,1968.68,960000
1440.38,12.5628,193,-8807.2109375,193,23.7858,1759.87,965000
1699.45,11.7468,194,-6289.9970703125,194,22.3073,1919.98,970000
1793.53,11.0019,195,-6201.93212890625,195,21.3273,1716.13,975000
1482.53,10.8028,196,-7097.1005859375,196,22.9602,1769.93,980000
1799.46,12.1899,197,-6565.7421875,197,22.642,2969.25,985000
1554.45,11.5602,198,-7516.7216796875,198,22.8364,1990.84,990000
1853.62,10.0087,199,-4828.7783203125,199,21.2076,1262.77,995000
