Running Update Time,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Real Det Return,Itration,Running Reverse KL
73,74.2279,365000,-1032.0286865234375,294.65,910.6,73,31.3599
74,73.2194,370000,-1050.3465576171875,275.61,872.4,74,31.0292
75,73.0607,375000,-1081.529052734375,258.18,868.0,75,30.8975
76,72.6331,380000,-1093.7740478515625,284.43,983.31,76,31.0089
77,73.9246,385000,-1103.5101318359375,272.59,1024.4,77,31.563
78,73.7378,390000,-1121.0047607421875,201.89,972.3,78,30.9402
79,73.2089,395000,-1167.3349609375,292.69,975.12,79,31.5247
80,73.7854,400000,-1173.2105712890625,286.09,966.7,80,30.6114
81,73.6016,405000,-1196.942626953125,292.59,923.24,81,31.3698
82,73.7164,410000,-1217.5345458984375,252.96,970.55,82,31.2242
83,72.5963,415000,-1237.21826171875,238.96,874.4,83,30.7266
84,72.7044,420000,-1258.84375,308.91,924.36,84,30.9506
85,73.378,425000,-1297.28076171875,284.22,889.82,85,31.4098
86,72.9553,430000,-1319.2603759765625,311.71,858.39,86,30.9011
87,75.0797,435000,-1356.463134765625,324.14,932.8,87,31.8058
88,72.6682,440000,-1367.705322265625,261.32,869.91,88,30.4524
89,73.6923,445000,-1389.01513671875,277.85,1015.87,89,30.6256
90,73.1325,450000,-1417.0579833984375,315.99,986.35,90,30.9231
91,73.5106,455000,-1453.4134521484375,301.32,820.2,91,31.1437
92,73.3289,460000,-1471.5068359375,293.61,878.65,92,31.2532
93,73.6752,465000,-1498.2535400390625,287.41,881.86,93,31.4263
94,73.5971,470000,-1501.0728759765625,245.41,975.08,94,30.9658
95,74.2434,475000,-1544.7586669921875,258.08,828.97,95,30.69
96,74.0011,480000,-1561.096923828125,293.58,879.16,96,30.7228
97,72.7036,485000,-1592.2772216796875,284.05,859.57,97,30.7556
98,74.0565,490000,-1631.3006591796875,211.05,913.4,98,31.2494
99,74.3094,495000,-1643.9500732421875,317.69,970.1,99,31.2395
100,74.4299,500000,-1672.2120361328125,281.06,959.35,100,31.0096
101,73.098,505000,-1695.027099609375,281.96,977.65,101,30.6212
102,74.5345,510000,-1737.8052978515625,301.52,858.95,102,30.8872
103,73.699,515000,-1745.6224365234375,312.34,886.43,103,30.9513
104,73.1574,520000,-1775.8433837890625,310.29,978.88,104,30.4118
105,74.6406,525000,-1838.121826171875,248.65,828.58,105,30.9764
106,73.8403,530000,-1852.966064453125,277.35,923.32,106,30.525
107,74.5442,535000,-1895.777587890625,293.06,960.78,107,30.8007
108,74.756,540000,-1936.31787109375,300.07,1002.61,108,31.0068
109,74.9097,545000,-1960.9710693359375,272.35,786.02,109,30.8242
110,73.7921,550000,-1998.028076171875,291.32,870.41,110,29.9632
111,74.2466,555000,-2026.2991943359375,247.1,874.7,111,30.5475
112,75.2407,560000,-2063.73486328125,275.62,914.51,112,31.0221
113,75.066,565000,-2118.16162109375,261.73,973.4,113,31.2755
114,73.8677,570000,-2120.063720703125,282.3,878.35,114,30.8608
115,73.7122,575000,-2150.420654296875,294.23,1023.24,115,30.6279
116,74.0109,580000,-2206.42236328125,313.41,882.17,116,30.6538
117,73.5259,585000,-2226.830078125,262.97,964.95,117,30.3296
118,74.16,590000,-2291.61474609375,318.44,968.23,118,31.3855
119,74.4076,595000,-2335.1416015625,291.77,861.74,119,30.9852
120,74.1894,600000,-2372.492919921875,221.7,1012.75,120,30.8478
121,72.6446,605000,-2359.277099609375,288.86,923.65,121,30.3959
122,75.0002,610000,-2419.5205078125,296.13,866.72,122,30.6357
123,73.5368,615000,-2484.93212890625,277.34,885.54,123,30.7046
124,74.3788,620000,-2479.750244140625,262.47,1015.1,124,30.429
125,72.8823,625000,-2536.389892578125,339.45,975.65,125,30.7093
126,74.1387,630000,-2571.070556640625,320.73,905.9,126,30.6714
127,74.411,635000,-2620.3681640625,326.61,916.08,127,30.6827
128,73.9113,640000,-2692.182861328125,299.3,887.96,128,30.5749
129,73.4889,645000,-2732.72021484375,305.47,974.64,129,30.6274
130,74.0543,650000,-2792.605712890625,336.84,1020.86,130,30.8986
131,74.428,655000,-2823.2333984375,294.18,921.2,131,30.6251
132,72.3711,660000,-2822.46533203125,325.6,970.88,132,30.3986
133,74.9562,665000,-2877.16357421875,278.04,828.63,133,30.9285
134,74.6178,670000,-2916.627197265625,304.09,766.84,134,30.9213
135,74.2324,675000,-3018.85400390625,249.65,877.19,135,30.8797
136,73.8823,680000,-2988.051025390625,310.06,966.91,136,30.8422
137,75.1827,685000,-3088.5205078125,319.4,953.02,137,31.23
138,73.0391,690000,-3080.576904296875,273.63,922.03,138,30.8246
139,73.584,695000,-3155.02490234375,325.16,835.15,139,30.1995
140,73.5344,700000,-3206.33740234375,309.34,1025.52,140,30.8297
141,74.3071,705000,-3252.065673828125,287.34,1028.31,141,30.7253
142,74.383,710000,-3300.142822265625,303.95,1021.49,142,30.6143
143,73.9361,715000,-3412.54150390625,274.18,1023.29,143,30.648
144,72.9542,720000,-3442.90234375,303.71,923.88,144,30.4199
145,73.4778,725000,-3464.541015625,312.86,981.15,145,30.8136
146,74.0227,730000,-3550.3974609375,316.37,879.55,146,30.6933
147,73.1985,735000,-3536.94140625,285.3,973.06,147,30.3267
148,74.1771,740000,-3674.584716796875,315.49,978.2,148,31.1322
149,74.1569,745000,-3738.836181640625,333.67,1033.61,149,30.9761
150,74.3186,750000,-3794.570556640625,319.08,984.44,150,30.9063
151,73.2996,755000,-3862.9150390625,340.46,1027.56,151,31.0771
152,73.3989,760000,-3866.912841796875,318.9,838.91,152,30.7052
153,74.2638,765000,-4002.2431640625,291.05,980.79,153,30.5626
154,73.7642,770000,-3995.7431640625,313.97,1030.08,154,30.6424
155,73.6444,775000,-4072.053466796875,321.83,918.45,155,30.8043
156,73.9422,780000,-4140.43603515625,350.28,937.84,156,31.2672
157,73.1658,785000,-4151.39404296875,316.11,1026.85,157,30.9489
158,74.3993,790000,-4276.77490234375,309.97,971.51,158,31.1004
159,74.3704,795000,-4346.5380859375,282.31,966.25,159,31.1241
160,74.5875,800000,-4367.84326171875,279.11,876.94,160,30.9411
161,73.6398,805000,-4435.732421875,304.87,920.94,161,30.1595
162,73.6364,810000,-4509.6298828125,292.86,920.65,162,30.9417
163,74.343,815000,-4569.8623046875,316.54,1024.64,163,30.6519
164,74.2577,820000,-4614.44384765625,315.04,891.27,164,30.4048
165,74.3589,825000,-4649.27490234375,296.81,1033.34,165,30.4956
166,73.0657,830000,-4780.20947265625,302.9,1026.37,166,30.4609
167,74.1714,835000,-4815.478515625,277.77,989.26,167,30.6114
168,73.723,840000,-4887.04541015625,275.14,826.83,168,30.63
169,74.3176,845000,-4985.86474609375,267.34,980.24,169,30.6454
170,74.4685,850000,-5124.38134765625,327.32,971.94,170,30.8727
171,73.3016,855000,-5119.0908203125,301.07,933.91,171,30.559
172,73.484,860000,-5202.451171875,264.15,893.45,172,30.5191
173,74.2507,865000,-5284.55419921875,315.0,780.09,173,30.3696
174,74.0011,870000,-5335.84765625,300.16,1026.26,174,30.8084
175,72.1324,875000,-5392.982421875,305.43,970.02,175,30.4027
176,74.0794,880000,-5522.89990234375,292.05,938.84,176,30.5563
177,72.832,885000,-5604.2841796875,301.56,1015.99,177,30.8026
178,73.6037,890000,-5664.83544921875,302.3,988.2,178,30.4907
179,74.2159,895000,-5751.591796875,289.23,968.96,179,31.1896
180,73.9434,900000,-5859.86474609375,292.84,819.85,180,30.6007
181,74.1677,905000,-5854.0537109375,260.5,877.4,181,30.8834
182,73.6813,910000,-6019.40771484375,309.06,991.84,182,30.6576
183,73.6143,915000,-6114.71484375,335.75,985.88,183,30.5333
184,74.8268,920000,-6150.392578125,287.55,721.3,184,31.3509
185,73.3055,925000,-6253.00927734375,307.02,877.19,185,30.4041
186,73.8383,930000,-6360.4853515625,305.96,1032.53,186,30.6596
187,72.6621,935000,-6378.55419921875,332.61,1023.64,187,30.4073
188,74.2191,940000,-6582.9873046875,329.18,920.97,188,30.493
189,72.9036,945000,-6623.26416015625,340.65,973.06,189,30.095
190,73.536,950000,-6722.86376953125,329.31,1034.13,190,30.7295
191,74.7862,955000,-6778.99267578125,304.63,891.57,191,30.6745
192,74.3871,960000,-6912.57177734375,340.87,1019.5,192,30.8698
193,71.7931,965000,-6931.7529296875,333.23,895.43,193,30.7115
194,75.0545,970000,-7120.58642578125,296.9,984.15,194,30.8935
195,73.1817,975000,-7200.451171875,306.01,976.38,195,30.7423
196,72.446,980000,-7208.244140625,340.68,988.55,196,30.355
197,73.7971,985000,-7366.48193359375,319.54,1014.52,197,30.4766
198,72.9615,990000,-7569.4638671875,334.2,979.09,198,30.8396
199,74.0009,995000,-7592.498046875,320.16,920.92,199,30.7983
200,73.8378,1000000,-7678.0087890625,324.33,973.47,200,30.9743
201,74.2537,1005000,-7835.3974609375,310.87,1013.94,201,30.4996
202,73.9183,1010000,-7944.5771484375,313.25,978.68,202,30.6781
203,73.5064,1015000,-8111.50927734375,281.26,957.67,203,30.8626
204,74.322,1020000,-8162.00341796875,324.96,978.42,204,30.8057
205,73.5332,1025000,-8149.98046875,328.78,980.96,205,30.4544
206,73.8801,1030000,-8354.2451171875,287.17,981.14,206,30.4961
207,73.9955,1035000,-8471.8779296875,304.87,938.67,207,30.9016
208,74.0665,1040000,-8536.375,363.94,979.82,208,30.8189
209,73.3961,1045000,-8705.4814453125,298.5,872.89,209,30.8488
210,73.8132,1050000,-8797.7080078125,309.02,932.17,210,31.0115
211,74.3386,1055000,-8963.615234375,294.93,1027.08,211,30.8729
212,74.5334,1060000,-9041.0087890625,301.43,969.7,212,30.7581
213,74.9886,1065000,-9161.8193359375,332.52,987.1,213,30.8907
214,74.6403,1070000,-9275.9130859375,303.7,974.66,214,30.6325
215,74.3027,1075000,-9339.6796875,335.56,1022.32,215,30.9258
216,74.813,1080000,-9474.3193359375,331.09,1025.68,216,31.2558
217,74.5201,1085000,-9515.197265625,310.88,875.92,217,30.8391
218,73.7006,1090000,-9724.421875,320.64,919.41,218,31.2292
219,74.535,1095000,-9753.19921875,294.68,926.75,219,30.7914
220,73.9014,1100000,-10008.6689453125,243.15,882.32,220,30.6428
221,75.5109,1105000,-10168.94921875,297.2,1030.78,221,31.0694
222,73.8956,1110000,-10221.162109375,328.33,931.21,222,30.861
223,74.7484,1115000,-10392.650390625,312.18,864.43,223,30.6711
224,74.4687,1120000,-10331.8203125,277.72,974.52,224,30.6535
225,74.3751,1125000,-10476.4541015625,248.91,937.49,225,30.7914
226,74.2032,1130000,-10678.2958984375,238.48,916.42,226,30.2207
227,74.1797,1135000,-10716.25,251.77,920.87,227,30.3276
228,73.4996,1140000,-10729.0419921875,313.73,821.87,228,30.0859
229,74.5609,1145000,-11024.2236328125,313.65,965.83,229,30.3487
230,73.9943,1150000,-11138.6982421875,297.32,865.05,230,30.5009
231,73.6992,1155000,-11083.9912109375,297.47,867.83,231,30.6013
232,74.205,1160000,-11253.966796875,291.96,971.8,232,30.4003
233,81.2831,1165000,-10604.12890625,-360.95,-84.19,233,69.1191
234,78.4771,1170000,-11919.2998046875,114.84,457.5,234,53.4458
235,75.941,1175000,-11800.2841796875,244.87,644.85,235,38.4552
236,74.9878,1180000,-11790.8310546875,207.63,544.67,236,33.9054
237,74.7279,1185000,-11830.025390625,175.49,506.3,237,33.2046
238,74.4668,1190000,-11671.8994140625,160.69,521.95,238,31.2863
239,74.5394,1195000,-11961.5439453125,173.23,698.53,239,31.1766
240,74.1113,1200000,-12056.0146484375,149.63,740.34,240,30.9505
241,74.4566,1205000,-12009.3251953125,178.74,791.93,241,30.0985
242,73.817,1210000,-12076.1201171875,171.35,737.37,242,29.4893
243,74.7058,1215000,-12264.220703125,173.21,882.76,243,30.3972
244,74.3157,1220000,-12195.267578125,194.16,835.42,244,29.9119
245,74.9794,1225000,-12467.71484375,200.89,942.98,245,30.1104
246,74.6036,1230000,-12431.7958984375,153.0,935.14,246,30.0441
247,74.896,1235000,-12693.74609375,193.95,941.52,247,30.0217
248,75.0419,1240000,-12901.625,217.07,804.04,248,30.2276
249,74.9322,1245000,-12858.234375,230.14,902.4,249,30.244
250,74.6378,1250000,-12930.826171875,237.96,752.1,250,29.9394
251,74.721,1255000,-13081.69140625,196.98,949.15,251,30.158
252,75.5247,1260000,-13203.4375,210.67,851.56,252,30.2948
253,74.7907,1265000,-13356.2109375,237.37,857.32,253,30.2675
254,74.9883,1270000,-13360.5,224.11,809.54,254,29.9648
255,75.0966,1275000,-13575.619140625,233.57,899.96,255,30.0316
256,74.6271,1280000,-13595.30859375,244.34,856.18,256,30.1704
257,74.9153,1285000,-13705.08203125,203.73,758.64,257,30.691
258,74.7093,1290000,-13795.52734375,233.36,805.11,258,30.47
259,74.9379,1295000,-13700.11328125,227.35,956.48,259,30.3257
260,75.6042,1300000,-13691.9169921875,231.51,950.75,260,30.3229
261,74.1142,1305000,-14073.341796875,267.04,1007.09,261,30.292
262,74.8376,1310000,-14026.322265625,255.99,944.5,262,30.3061
263,74.6777,1315000,-14141.103515625,229.1,953.95,263,30.6291
264,74.2378,1320000,-14162.77734375,240.32,901.88,264,30.3664
265,74.1706,1325000,-14052.052734375,267.75,946.01,265,30.5295
266,75.6088,1330000,-14489.0693359375,258.68,884.35,266,30.5443
267,74.8563,1335000,-14468.8779296875,270.35,904.47,267,30.7287
268,75.4037,1340000,-14569.400390625,233.68,1002.54,268,30.8721
269,75.4991,1345000,-14392.3623046875,230.95,850.84,269,30.1501
270,75.2101,1350000,-14698.927734375,187.8,807.08,270,30.5791
271,74.6063,1355000,-14899.1337890625,203.94,909.7,271,30.5284
272,74.8806,1360000,-15023.4970703125,214.69,699.5,272,30.1462
273,74.4769,1365000,-15221.611328125,216.83,753.65,273,30.3123
274,74.4339,1370000,-15066.7529296875,220.79,661.16,274,30.4132
275,75.4506,1375000,-15250.392578125,226.68,896.9,275,30.5798
276,74.7269,1380000,-15350.2529296875,278.51,856.79,276,30.2733
277,75.3734,1385000,-15232.7177734375,281.86,755.33,277,30.542
278,74.7234,1390000,-15264.376953125,256.48,954.3,278,29.996
279,74.5232,1395000,-15510.4560546875,240.85,911.01,279,29.9568
280,74.7425,1400000,-15620.369140625,205.56,914.24,280,30.2259
281,74.4095,1405000,-15819.576171875,251.39,716.43,281,30.1832
282,75.3036,1410000,-15747.609375,202.64,912.36,282,30.2291
283,75.6167,1415000,-15832.1611328125,248.42,867.07,283,29.962
284,74.226,1420000,-16058.3994140625,233.37,906.5,284,29.8746
285,73.4376,1425000,-15920.7685546875,260.8,815.7,285,29.6279
286,73.9484,1430000,-16107.498046875,231.18,904.01,286,29.8855
287,74.3798,1435000,-16267.8623046875,242.16,855.62,287,30.2254
288,74.218,1440000,-16031.916015625,259.47,715.87,288,30.0451
289,73.9819,1445000,-16287.9521484375,247.73,759.37,289,29.8443
290,74.7248,1450000,-16294.3759765625,258.54,860.33,290,30.4004
291,74.4594,1455000,-16534.150390625,238.96,757.74,291,30.4137
292,74.1888,1460000,-16376.2109375,252.87,862.32,292,30.3836
293,74.7257,1465000,-16702.763671875,275.84,811.4,293,30.367
294,74.7617,1470000,-16827.79296875,230.91,910.9,294,30.611
295,74.6254,1475000,-16847.3671875,218.99,902.06,295,30.1703
296,74.1858,1480000,-17077.921875,233.9,805.97,296,29.8945
297,74.8051,1485000,-17035.927734375,215.82,708.87,297,30.1037
298,73.9249,1490000,-17171.359375,248.71,755.29,298,30.4736
299,74.9031,1495000,-17241.255859375,208.79,752.43,299,30.5686
300,75.6445,1500000,-17152.455078125,247.31,757.0,300,30.2046
301,74.5326,1505000,-17313.890625,228.38,909.69,301,30.0325
302,74.6045,1510000,-17243.08984375,256.98,712.68,302,30.5633
303,74.9203,1515000,-17652.330078125,252.21,806.21,303,30.9808
304,74.4479,1520000,-17421.203125,216.92,769.52,304,30.2238
305,75.2841,1525000,-17647.59765625,245.47,710.01,305,30.7289
306,74.1216,1530000,-17288.962890625,193.53,664.13,306,29.902
307,74.3641,1535000,-17747.8046875,217.21,814.06,307,29.9709
308,74.723,1540000,-17675.751953125,255.14,809.74,308,30.4052
309,74.0413,1545000,-17844.623046875,255.41,658.29,309,30.2234
310,74.4673,1550000,-17789.921875,221.69,749.75,310,30.177
311,75.5218,1555000,-17887.37890625,254.18,812.53,311,30.743
312,74.2713,1560000,-17804.482421875,307.24,853.61,312,30.5154
313,74.8605,1565000,-18066.76171875,267.64,711.69,313,30.9409
314,73.823,1570000,-17817.99609375,253.76,708.56,314,30.1064
315,74.5802,1575000,-17954.84375,242.09,953.35,315,30.3507
316,74.623,1580000,-18006.46875,238.62,757.04,316,30.0968
317,75.4654,1585000,-18117.9375,284.19,859.43,317,30.0879
318,74.3047,1590000,-18362.1640625,227.36,813.42,318,30.455
319,75.1398,1595000,-18229.283203125,294.74,765.11,319,30.4866
320,75.2956,1600000,-18241.83984375,248.82,774.17,320,30.352
321,75.5026,1605000,-18424.94140625,282.2,814.09,321,30.4972
322,73.7237,1610000,-18394.529296875,293.59,868.13,322,30.4958
323,74.4352,1615000,-18432.81640625,264.82,860.81,323,30.4742
