Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss
111,11.0886,23.7158,111,1318.09,555000,1251.43,-1726.4913330078125
112,11.2554,21.4965,112,2337.02,560000,1729.02,-1426.082275390625
113,14.2822,24.2644,113,1853.51,565000,1152.99,-2008.45849609375
114,12.9644,23.8917,114,2463.86,570000,1109.96,-2089.21240234375
115,12.4388,24.0426,115,1626.21,575000,1580.27,-1794.958251953125
116,11.0739,22.7753,116,2284.7,580000,1635.82,-1590.8699951171875
117,18.1763,21.374,117,2716.73,585000,1569.38,-1469.5987548828125
118,43.1295,22.8342,118,1986.3,590000,1250.97,-2396.78369140625
119,10.3064,22.8159,119,1615.75,595000,1512.63,-1587.4993896484375
120,12.5629,23.5057,120,427.17,600000,284.38,-1900.4591064453125
121,12.7347,22.438,121,1788.47,605000,1559.5,-1640.98876953125
122,12.4656,22.3147,122,3394.4,610000,1678.94,-1613.1920166015625
123,11.0047,22.603,123,1426.39,615000,1468.44,-1854.5347900390625
124,22.2801,23.6855,124,1544.41,620000,1670.57,-2050.964599609375
125,11.4542,22.8311,125,1598.02,625000,1747.06,-1697.7449951171875
126,15.997,23.5486,126,2364.85,630000,1497.62,-2038.4346923828125
127,10.9544,22.7179,127,220.94,635000,496.49,-2131.3662109375
128,15.9188,23.0213,128,2025.47,640000,2078.76,-1920.548095703125
129,20.9938,22.7759,129,1380.52,645000,1300.91,-1962.8699951171875
130,13.4342,25.0485,130,2919.06,650000,1551.48,-2396.952392578125
131,44.2436,25.5707,131,2438.44,655000,1399.37,-2864.205322265625
132,17.5072,23.7392,132,1848.57,660000,1034.11,-2085.923583984375
133,18.4564,22.2946,133,2030.42,665000,1721.87,-2105.888916015625
134,14.2709,22.3646,134,1876.32,670000,1274.82,-2120.3759765625
135,41.1094,21.9168,135,2079.96,675000,1251.88,-2474.100830078125
136,16.9461,21.3536,136,2435.4,680000,1097.51,-1699.6558837890625
137,17.288,22.5533,137,126.84,685000,1242.14,-2259.77685546875
138,34.8032,23.2099,138,1109.73,690000,886.45,-2486.711669921875
139,11.6082,22.0246,139,3516.74,695000,2409.2,-2316.173828125
140,29.3608,23.4316,140,1352.2,700000,978.27,-2660.050048828125
141,13.0195,22.0651,141,359.78,705000,847.23,-2123.595947265625
142,22.7913,23.849,142,2342.81,710000,1362.07,-2595.02197265625
143,10.6405,20.1631,143,2608.27,715000,2074.53,-1376.335205078125
144,11.6275,20.9,144,2972.17,720000,2355.41,-1174.11669921875
145,29.6904,23.309,145,1222.71,725000,1133.72,-2758.269775390625
146,28.7478,23.3202,146,1805.15,730000,2121.46,-2310.90869140625
147,17.8251,22.1227,147,3377.27,735000,2536.32,-2165.45654296875
148,19.0464,23.0533,148,3486.55,740000,1291.8,-2480.09814453125
149,11.889,21.1826,149,2831.91,745000,2550.16,-1978.7027587890625
150,47.8932,23.1497,150,615.69,750000,405.29,-2994.8994140625
151,72.0283,23.5726,151,2586.08,755000,2049.33,-3439.17041015625
152,11.832,21.5109,152,317.55,760000,2308.43,-1981.8077392578125
153,11.0928,22.5494,153,2667.68,765000,700.01,-2273.0771484375
154,11.1392,22.7302,154,1317.5,770000,1634.44,-2167.117919921875
155,25.6237,22.8801,155,3395.91,775000,1751.07,-3253.800048828125
156,22.6189,24.6164,156,1613.56,780000,2160.49,-2669.509765625
157,13.3149,23.3207,157,338.37,785000,755.43,-3202.90380859375
158,10.4342,22.8562,158,719.18,790000,1460.12,-2715.117919921875
159,10.8002,22.6317,159,1499.61,795000,1640.02,-2993.610107421875
160,11.1966,21.7593,160,563.36,800000,611.25,-2258.35986328125
161,25.1236,23.1901,161,3014.68,805000,726.01,-3132.656494140625
162,63.0209,22.4416,162,1747.36,810000,1683.85,-3413.246337890625
163,33.4045,22.3117,163,2609.12,815000,1598.4,-3391.11669921875
164,45.24,21.4889,164,2414.36,820000,1529.2,-3015.146728515625
165,11.7028,21.8932,165,3048.93,825000,1665.45,-2405.679931640625
166,15.1125,21.5884,166,3483.39,830000,2114.05,-2644.064697265625
167,20.4757,22.2852,167,1966.37,835000,1723.47,-2957.96337890625
168,13.3963,24.4424,168,1357.1,840000,1473.66,-3255.596923828125
169,40.527,22.1506,169,2062.75,845000,1684.78,-3157.18115234375
170,49.3477,22.1747,170,2013.8,850000,1331.24,-3441.79296875
171,33.0379,22.6168,171,1844.57,855000,1341.22,-3745.433837890625
172,11.9515,21.9182,172,1072.74,860000,1113.87,-2994.639404296875
173,18.2203,21.5019,173,2824.31,865000,2757.09,-2839.136474609375
174,37.3365,21.8804,174,1518.27,870000,1807.4,-3684.0791015625
175,32.1622,21.3613,175,2621.13,875000,1941.25,-3462.31298828125
176,61.4238,23.2891,176,1360.35,880000,1376.53,-4901.17236328125
177,10.4214,20.6192,177,3548.91,885000,2130.32,-2367.993896484375
178,22.9836,23.5114,178,1421.94,890000,1119.55,-3975.951171875
179,14.1083,22.4074,179,1688.15,895000,1248.83,-3844.448974609375
180,12.6301,23.3198,180,1948.05,900000,1654.32,-3559.964599609375
181,12.5489,22.8133,181,2174.85,905000,1538.96,-3720.221435546875
182,15.6252,20.5682,182,141.77,910000,1613.26,-2895.720703125
183,35.6331,23.0164,183,1592.37,915000,1574.19,-4722.06591796875
184,18.9922,22.1026,184,1931.24,920000,1196.71,-3780.15673828125
185,31.614,21.1578,185,379.67,925000,1074.13,-3541.022705078125
186,12.0644,21.8678,186,25.24,930000,391.89,-2305.86865234375
187,12.5981,22.9033,187,3124.91,935000,1854.61,-3320.30078125
188,17.7415,21.3543,188,3163.85,940000,1460.85,-3590.09130859375
189,11.8714,22.0418,189,2195.2,945000,2062.03,-2580.120361328125
190,22.8666,24.2941,190,2055.95,950000,1503.65,-4714.865234375
191,25.6273,22.9203,191,3334.36,955000,1837.31,-4325.10107421875
192,16.8906,22.0343,192,2814.57,960000,1688.44,-3454.12451171875
193,16.1867,23.8782,193,1338.61,965000,1449.45,-5690.79248046875
194,13.6475,23.4902,194,189.35,970000,841.72,-3747.094970703125
195,74.0209,23.6386,195,2794.76,975000,1282.74,-6098.04833984375
196,32.7488,21.1028,196,2697.1,980000,2129.15,-3756.873291015625
197,24.3631,22.6019,197,2889.33,985000,1500.21,-4261.44384765625
198,24.9479,23.2287,198,2759.15,990000,1403.22,-4862.5712890625
199,31.6434,23.2468,199,339.95,995000,237.91,-4664.34033203125
