Running Update Time,Reward Loss,Real Det Return,Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
46,-1690.8580322265625,2415.52,230000,46,22.5013,1203.13,52.9437
47,-1606.5235595703125,2137.57,235000,47,22.2082,1274.37,51.378
48,-1582.8800048828125,1644.36,240000,48,22.9279,1093.43,53.5547
49,-2012.3525390625,1242.56,245000,49,22.0284,743.0,55.0407
50,-2166.886962890625,1408.28,250000,50,23.0531,609.35,57.4379
51,-2074.9169921875,1465.67,255000,51,21.8663,1086.84,54.5203
52,-1883.862548828125,2311.63,260000,52,23.4062,1521.72,53.4508
53,-1651.1260986328125,1986.24,265000,53,23.5421,1205.93,51.6412
54,-2336.543701171875,1696.66,270000,54,22.8683,1392.43,56.5209
55,-2175.296142578125,1791.71,275000,55,23.7145,1384.28,55.4166
56,-1848.060546875,2217.31,280000,56,22.7848,1449.78,52.8326
57,-2064.5107421875,1847.19,285000,57,25.5565,1114.25,56.5894
58,-1984.2353515625,2055.84,290000,58,22.456,1402.29,52.1774
59,-2047.87353515625,2152.5,295000,59,23.5413,1075.77,54.573
60,-2433.64794921875,1708.83,300000,60,24.6043,1679.34,57.097
61,-1975.7119140625,2192.83,305000,61,25.6599,1550.11,54.0929
62,-2262.592041015625,2132.2,310000,62,24.9806,1545.46,55.4572
63,-2017.7615966796875,1761.45,315000,63,27.0403,1714.39,54.7404
64,-1771.5284423828125,3031.75,320000,64,26.4145,1508.26,53.5492
65,-1632.2113037109375,2750.33,325000,65,27.5342,1818.12,52.9555
66,-2344.132080078125,2099.03,330000,66,23.1762,1349.31,53.4706
67,-2280.003173828125,3207.04,335000,67,25.0237,1769.48,54.3654
68,-2078.452880859375,2638.85,340000,68,24.1859,1656.84,52.2048
69,-2029.73388671875,2611.89,345000,69,30.8235,1616.29,54.7683
70,-1917.5802001953125,3442.92,350000,70,31.9679,2715.14,54.3425
71,-2470.247802734375,2348.75,355000,71,25.8127,1393.82,54.9952
72,-2171.4140625,3578.48,360000,72,28.7555,2056.87,55.4148
73,-2465.853271484375,2312.23,365000,73,27.1143,1789.09,55.8653
74,-2240.180419921875,2464.85,370000,74,29.6322,1449.68,54.3658
75,-2005.78369140625,3473.78,375000,75,30.4974,2484.23,53.7752
76,-2370.6669921875,2499.91,380000,76,29.5089,2351.42,54.5085
77,-2149.547607421875,3585.38,385000,77,33.1423,2661.48,53.8884
78,-2694.53857421875,2653.26,390000,78,26.9526,2224.35,55.9883
79,-2244.4150390625,3018.8,395000,79,31.7148,2171.87,55.2766
80,-2975.94140625,2415.27,400000,80,27.4019,1930.96,56.9894
81,-2427.812744140625,2782.79,405000,81,34.6436,2075.79,56.243
82,-3084.911865234375,2166.06,410000,82,25.6655,1246.29,55.7435
83,-2026.9190673828125,4110.2,415000,83,33.1901,3085.78,54.8912
84,-1884.0408935546875,3903.13,420000,84,43.6928,3225.12,57.5316
85,-2244.0361328125,3632.49,425000,85,36.4166,2625.94,55.0714
86,-1990.400634765625,3624.8,430000,86,39.573,2538.3,56.4772
87,-2717.037109375,2731.22,435000,87,28.5049,1560.42,55.7539
88,-2963.275634765625,2830.08,440000,88,32.1512,2482.4,56.7356
89,-2463.3916015625,3644.24,445000,89,34.3921,3130.77,55.3365
90,-2411.68212890625,3235.02,450000,90,36.0718,1743.54,56.8761
91,-2478.2177734375,3494.59,455000,91,34.5572,2853.09,56.6515
92,-3158.82080078125,3736.9,460000,92,29.9643,2743.36,56.5055
93,-2700.619384765625,4134.09,465000,93,38.0211,3453.71,57.8875
94,-2688.214599609375,3951.59,470000,94,37.0659,3001.46,56.9629
95,-3010.739501953125,3567.39,475000,95,30.9737,2376.92,55.56
96,-3050.159912109375,3655.58,480000,96,32.2316,2262.68,57.0818
97,-3275.7529296875,4117.82,485000,97,31.1431,2727.13,56.2248
98,-3281.407958984375,3753.8,490000,98,31.8241,2984.27,56.4448
99,-2857.863525390625,3714.33,495000,99,41.5973,3080.32,59.2139
100,-2686.367431640625,4392.41,500000,100,49.9189,3828.65,61.3522
101,-2703.99853515625,4072.87,505000,101,41.9067,3310.38,57.3955
102,-3175.665771484375,4134.01,510000,102,38.8092,3186.13,59.6425
103,-2703.118896484375,4289.45,515000,103,46.2534,4015.43,59.6885
104,-3005.5859375,3507.26,520000,104,38.3878,2865.4,58.4117
105,-3136.44091796875,4114.82,525000,105,37.6555,3002.61,58.0355
106,-2837.861572265625,3575.26,530000,106,39.67,3177.92,57.2892
107,-3150.37744140625,3729.24,535000,107,44.7167,3627.91,60.8052
108,-2984.94677734375,3702.71,540000,108,42.3216,3549.47,58.9402
109,-3870.6220703125,4137.11,545000,109,31.1439,3434.58,56.5932
110,-3276.978759765625,3939.44,550000,110,39.5742,2765.44,58.9053
111,-3521.536865234375,3444.34,555000,111,35.3586,2741.11,56.9161
112,-3026.446533203125,4383.18,560000,112,41.2032,3500.43,59.4994
113,-3470.32666015625,3390.48,565000,113,40.3907,2855.07,59.6434
114,-3324.558349609375,3715.68,570000,114,42.3221,3452.56,60.8705
115,-3031.030517578125,4096.13,575000,115,46.2545,3571.17,62.1695
116,-3502.68017578125,4490.92,580000,116,38.2901,3295.25,57.6942
117,-3805.75341796875,4717.26,585000,117,39.5954,3556.04,60.3087
118,-4163.94140625,4424.61,590000,118,33.6931,3285.42,58.4575
119,-3887.425048828125,4594.79,595000,119,39.2692,2749.8,60.0652
120,-3774.302490234375,4925.04,600000,120,43.8014,3697.19,62.068
121,-3587.80224609375,4801.89,605000,121,44.1368,3763.44,62.3942
122,-3630.56640625,4301.61,610000,122,38.9217,3292.4,61.1301
123,-3664.93994140625,4233.43,615000,123,41.4649,3614.11,61.9593
124,-3670.40966796875,4033.21,620000,124,49.2451,3798.94,65.3272
125,-3725.71435546875,3818.19,625000,125,47.4246,3181.41,64.3436
126,-4136.46435546875,4643.07,630000,126,49.9979,3624.94,67.1745
127,-4081.383544921875,4618.57,635000,127,49.8224,4132.29,68.0612
128,-4034.74169921875,4997.41,640000,128,53.0614,3221.78,68.1305
129,-4296.7900390625,5194.41,645000,129,57.8593,4251.7,69.3962
130,-4442.15869140625,5108.94,650000,130,47.4983,3062.81,63.5536
131,-4418.62841796875,4711.5,655000,131,52.1088,4198.14,64.955
132,-4752.744140625,4953.67,660000,132,47.8545,4536.99,63.5371
133,-4522.21630859375,5037.02,665000,133,52.4044,4313.56,67.5472
134,-4729.52294921875,3866.86,670000,134,57.1077,3370.9,68.4551
135,-4709.53271484375,5134.57,675000,135,53.5024,4239.22,67.4676
136,-5273.63720703125,4266.13,680000,136,46.6264,3858.57,63.1462
137,-5345.3623046875,4966.8,685000,137,54.2843,3625.03,66.8581
138,-5313.45458984375,3424.19,690000,138,52.0007,2982.4,66.7663
139,-5485.33349609375,4031.61,695000,139,58.4547,4057.74,69.5877
140,-5735.39990234375,4726.76,700000,140,47.4171,3848.8,65.3167
141,-5840.16650390625,4832.82,705000,141,49.3963,3766.48,65.178
142,-5807.958984375,5110.18,710000,142,59.0886,4187.6,70.0221
143,-6174.171875,4087.28,715000,143,58.3679,3629.01,68.1948
144,-6170.330078125,5050.07,720000,144,55.5561,4089.31,70.4031
145,-6034.5166015625,4984.12,725000,145,55.4307,4095.58,68.1924
146,-6513.564453125,4799.58,730000,146,64.9876,4348.97,73.1101
147,-6596.89794921875,4696.18,735000,147,51.8843,4379.42,66.6812
148,-6612.70703125,5142.1,740000,148,63.1258,4177.21,72.7916
149,-6696.720703125,4898.46,745000,149,49.8316,3369.92,65.5163
150,-6635.56396484375,5170.11,750000,150,51.5832,4577.05,67.8075
151,-7012.9306640625,4908.31,755000,151,52.2162,4670.56,67.8532
152,-7154.92431640625,4849.17,760000,152,61.8907,4541.47,71.1992
153,-7341.56689453125,4799.19,765000,153,60.643,4079.37,71.5208
154,-7447.4072265625,4928.18,770000,154,54.7448,4124.48,68.8682
155,-7576.47509765625,4160.82,775000,155,55.5005,4045.7,68.3047
156,-7722.56640625,4558.57,780000,156,62.539,4653.29,71.2335
157,-7822.54443359375,4650.16,785000,157,58.6228,4209.14,68.637
158,-8169.40771484375,5097.62,790000,158,61.5971,4619.25,71.4009
159,-8302.765625,4239.33,795000,159,51.08,2465.08,65.0305
160,-8452.7333984375,4517.79,800000,160,54.3089,3402.04,67.2005
161,-8585.0556640625,5054.7,805000,161,49.3946,3548.47,66.738
162,-8586.517578125,5032.7,810000,162,52.5635,4516.5,66.1609
163,-8631.505859375,4874.66,815000,163,58.0495,4781.01,70.6526
164,-9123.9736328125,3607.16,820000,164,61.0802,3628.84,68.5068
165,-9208.0693359375,5062.75,825000,165,61.6189,4716.31,72.9014
166,-9320.8759765625,4677.69,830000,166,56.767,3825.43,68.1409
167,-9183.896484375,4839.96,835000,167,50.8657,4216.17,65.7445
168,-9772.2607421875,5145.73,840000,168,53.6679,4338.6,66.5612
169,-9651.2373046875,4963.46,845000,169,52.8367,4383.07,67.689
170,-9897.4716796875,5039.24,850000,170,54.1771,4177.16,67.5138
171,-10046.3486328125,4394.79,855000,171,48.7222,4017.09,65.4225
172,-9878.9365234375,4946.24,860000,172,53.8762,4697.24,66.3259
173,-10434.37890625,4986.45,865000,173,61.5602,4513.72,70.3407
174,-10442.5908203125,4898.15,870000,174,50.6677,3309.14,65.24
175,-10771.8720703125,4764.07,875000,175,66.0245,3564.2,73.3466
176,-11040.841796875,5150.82,880000,176,60.3013,3857.23,70.3927
177,-10965.248046875,4736.85,885000,177,48.441,3993.63,66.3436
178,-11540.828125,4471.9,890000,178,65.396,4183.85,73.3021
179,-11313.248046875,4568.0,895000,179,54.4092,4282.07,67.1415
180,-11337.935546875,4312.84,900000,180,47.703,3906.83,65.2174
181,-11836.974609375,5181.21,905000,181,59.3483,4891.67,68.5027
182,-11881.142578125,5023.66,910000,182,54.5753,4842.47,69.9866
183,-12046.7431640625,4508.44,915000,183,50.9119,4583.98,68.1867
184,-12113.8115234375,4659.17,920000,184,49.4533,4387.48,65.0422
185,-12578.578125,5223.21,925000,185,65.2969,4636.15,71.7892
186,-12956.5908203125,4934.03,930000,186,65.1296,4194.65,72.9849
187,-12841.0390625,4755.31,935000,187,55.7847,3311.23,70.5096
188,-12951.041015625,4989.25,940000,188,58.4905,4428.75,69.6565
189,-12940.349609375,4986.85,945000,189,51.2991,4447.87,65.003
190,-13590.3173828125,4589.63,950000,190,58.0326,4475.01,68.2331
191,-13829.8671875,4355.24,955000,191,55.6704,3819.3,66.2542
192,-14223.681640625,4896.57,960000,192,60.2009,4565.19,71.9212
193,-14194.6923828125,3489.02,965000,193,54.7446,3388.45,68.4023
194,-14608.435546875,4890.59,970000,194,67.778,4337.46,73.0911
195,-14886.9609375,4947.0,975000,195,61.6641,3184.12,70.7292
196,-14563.2470703125,4922.83,980000,196,55.6817,4071.73,68.2402
197,-15114.8212890625,4924.66,985000,197,58.8543,4700.03,71.4474
198,-15589.6484375,4858.17,990000,198,61.5279,4670.53,71.3917
199,-15771.8681640625,4991.32,995000,199,62.0985,4705.65,69.2295
200,-15342.982421875,4762.81,1000000,200,55.2675,4581.62,68.8958
201,-15441.9990234375,5102.04,1005000,201,57.3155,3718.9,69.8897
202,-15294.771484375,4796.67,1010000,202,50.0814,4761.36,65.6667
203,-15702.0361328125,4704.21,1015000,203,50.7173,4719.86,65.7486
204,-16246.4521484375,4973.7,1020000,204,62.5147,4332.43,71.3889
205,-17811.96484375,-1251.82,1025000,205,388.4164,-495.37,84.5517
206,-16676.95703125,-881.93,1030000,206,145.4086,-743.02,82.9686
207,-17777.341796875,-211.47,1035000,207,149.9021,-150.95,81.6159
208,-18768.3828125,-507.98,1040000,208,184.8018,-608.09,82.9709
209,-18498.48046875,310.67,1045000,209,91.6845,591.06,74.2039
210,-15075.42578125,380.62,1050000,210,60.5152,257.63,63.2574
211,-16256.0263671875,482.66,1055000,211,79.4089,510.53,64.7414
212,-18027.01171875,286.74,1060000,212,140.574,208.03,70.2709
213,-16669.845703125,582.26,1065000,213,59.5338,155.97,64.8901
214,-18524.337890625,55.95,1070000,214,100.7115,216.29,70.3623
215,-18347.830078125,229.78,1075000,215,92.48,171.42,68.1688
216,-18988.666015625,268.36,1080000,216,97.742,69.61,70.2144
217,-19429.669921875,610.49,1085000,217,85.9343,694.03,69.553
218,-19004.96484375,389.41,1090000,218,60.4817,540.54,66.7638
219,-18733.197265625,827.86,1095000,219,48.8932,875.77,63.0077
220,-19108.953125,3263.06,1100000,220,56.555,2556.07,68.4085
221,-18324.912109375,2276.51,1105000,221,45.0584,2494.12,67.7933
222,-19340.578125,2588.12,1110000,222,45.2576,2221.88,68.9298
223,-19289.494140625,2975.35,1115000,223,48.4229,2533.7,66.8039
224,-20277.6953125,3221.91,1120000,224,49.3524,2656.46,67.6429
225,-20756.18359375,3932.64,1125000,225,56.5151,2948.02,67.0639
226,-20405.7265625,3126.99,1130000,226,50.4299,3322.12,67.4633
227,-21044.203125,3304.33,1135000,227,52.9111,3282.42,68.5185
228,-21777.14453125,4565.05,1140000,228,54.9992,3569.9,68.1169
229,-21964.056640625,3711.65,1145000,229,54.8972,3086.27,70.1085
230,-22078.09375,3982.67,1150000,230,54.4873,3596.22,71.9554
231,-21973.1796875,4168.06,1155000,231,52.9207,3562.04,70.7696
232,-21488.462890625,4401.9,1160000,232,51.4889,3474.41,69.9624
233,-21959.654296875,4252.0,1165000,233,58.8995,4268.85,72.4186
234,-22003.34375,4480.83,1170000,234,52.9997,3444.41,69.6025
235,-22062.48828125,4845.26,1175000,235,54.9116,3712.16,70.655
236,-22548.96875,4269.79,1180000,236,55.1823,4082.41,70.5347
237,-22434.099609375,4417.92,1185000,237,58.5908,3884.54,70.8063
238,-22543.244140625,4860.58,1190000,238,50.9659,4021.0,67.6646
239,-22136.302734375,4318.03,1195000,239,49.55,3354.6,67.1074
240,-22114.3515625,4057.26,1200000,240,46.8378,3433.94,65.2695
241,-22436.515625,4768.07,1205000,241,54.782,3362.55,68.4244
242,-22341.90234375,3098.96,1210000,242,45.8118,3017.96,65.5476
243,-23186.908203125,5080.15,1215000,243,54.8573,4402.46,67.5222
244,-23955.619140625,4406.9,1220000,244,64.4926,4160.97,71.7731
245,-24041.185546875,4099.37,1225000,245,64.8838,3888.43,72.9593
246,-23844.51171875,3853.02,1230000,246,58.0094,3830.56,69.4568
247,-23999.23046875,5121.96,1235000,247,60.3343,4420.11,69.5787
248,-23983.599609375,4639.61,1240000,248,63.3303,4413.27,71.3953
249,-23961.203125,4113.14,1245000,249,57.6092,4018.22,68.8582
250,-24794.955078125,5067.22,1250000,250,62.8357,4607.06,71.4672
251,-24820.076171875,4052.35,1255000,251,61.7832,4073.46,72.2511
252,-25475.1484375,4910.73,1260000,252,69.6884,4432.12,75.0239
253,-25435.3125,4635.89,1265000,253,63.4453,3778.89,71.5303
254,-25077.90234375,4858.05,1270000,254,59.845,4291.85,69.8877
255,-24538.044921875,4929.06,1275000,255,51.7924,4430.55,66.6881
256,-26246.53125,4843.91,1280000,256,65.1059,4350.84,71.7548
257,-25412.455078125,4583.19,1285000,257,58.8645,3705.01,68.2573
258,-25489.16015625,4442.75,1290000,258,63.4039,4483.18,71.8116
259,-25788.841796875,4810.16,1295000,259,56.1008,4884.4,68.3618
260,-26010.689453125,5259.7,1300000,260,59.8387,3651.39,68.5528
261,-26463.453125,4334.42,1305000,261,61.7463,3513.55,70.8852
262,-27367.8828125,4665.85,1310000,262,66.5711,3950.44,72.0246
263,-26600.78125,4939.7,1315000,263,64.9356,4816.14,70.9746
264,-26530.53515625,4364.01,1320000,264,58.5691,3880.77,68.25
265,-26830.515625,5144.87,1325000,265,56.4644,4868.31,69.0644
266,-27251.923828125,4248.57,1330000,266,58.1299,4764.85,68.9922
267,-27821.0625,4821.12,1335000,267,62.15,3969.97,69.2016
268,-27266.05859375,4666.43,1340000,268,55.81,4503.0,67.0592
269,-27315.9140625,5099.19,1345000,269,56.4912,4575.26,68.4872
270,-27887.05859375,5249.81,1350000,270,58.8006,4384.55,68.2854
271,-28793.658203125,5143.16,1355000,271,65.9545,4396.52,71.5272
272,-28553.416015625,4963.32,1360000,272,63.5988,4509.22,71.0805
273,-28760.66796875,5066.49,1365000,273,66.9859,4970.45,73.6285
274,-28519.810546875,5080.03,1370000,274,65.6537,4601.33,73.5279
275,-29457.3515625,4822.89,1375000,275,67.0856,4054.06,73.1773
276,-29635.943359375,5123.9,1380000,276,68.9164,4930.87,73.617
277,-29706.201171875,5117.16,1385000,277,69.9354,4195.51,73.1142
278,-29698.10546875,5212.79,1390000,278,69.7002,4577.51,73.6259
279,-29604.525390625,5156.48,1395000,279,62.0162,5059.52,69.3055
280,-30547.4453125,5209.46,1400000,280,70.4489,4436.39,75.5245
281,-30684.0546875,4800.84,1405000,281,70.3793,4683.59,74.1318
282,-29882.13671875,5078.58,1410000,282,65.312,4383.1,72.514
283,-30524.9375,5249.8,1415000,283,67.9908,4625.08,71.6629
284,-30744.853515625,5084.56,1420000,284,73.9284,3931.08,74.9534
285,-30219.3984375,4603.84,1425000,285,61.6019,4918.97,69.2993
286,-31531.91796875,4964.34,1430000,286,73.4392,4321.85,76.8076
287,-31346.845703125,4988.3,1435000,287,79.2879,4591.08,77.1764
288,-28620.814453125,-1633.28,1440000,288,301.5043,-2019.53,93.0197
289,-31437.84765625,-729.39,1445000,289,415.7961,-837.46,92.0638
290,-31103.0,-254.44,1450000,290,327.1793,-142.62,85.1136
291,-31674.1640625,-352.79,1455000,291,220.0858,-178.72,85.1182
292,-27547.810546875,368.79,1460000,292,105.7597,400.13,71.9354
293,-25707.5390625,366.5,1465000,293,110.9331,446.15,74.2321
294,-25449.5390625,423.57,1470000,294,78.6344,319.42,69.5601
295,-27912.392578125,261.15,1475000,295,111.5283,152.06,70.512
296,-28673.880859375,235.71,1480000,296,106.3833,399.99,69.7126
297,-31440.08203125,2898.52,1485000,297,78.9503,1673.56,75.4385
298,-32497.388671875,2734.68,1490000,298,88.54,2798.99,81.6684
299,-33056.703125,3478.71,1495000,299,96.0829,3180.7,83.9605
300,-33014.71484375,3815.26,1500000,300,99.1002,3440.1,87.2146
301,-32217.734375,4311.57,1505000,301,98.8694,3621.46,83.1183
302,-33359.63671875,2716.4,1510000,302,83.0086,2643.61,82.2574
303,-33916.12890625,3590.68,1515000,303,85.3452,3289.34,81.1913
304,-32990.9296875,3914.0,1520000,304,81.1616,3563.08,78.8059
305,-34784.7578125,4541.78,1525000,305,85.1956,3834.41,81.0697
306,-33837.9296875,3490.91,1530000,306,77.3873,3945.61,78.6372
307,-32132.17578125,4069.54,1535000,307,70.2805,4079.49,76.9725
308,-31603.25,4697.4,1540000,308,69.5901,3348.54,75.403
309,-34972.4609375,4557.8,1545000,309,81.3149,3978.13,81.6899
310,-33934.1171875,4240.97,1550000,310,67.2911,4476.73,75.0184
311,-33957.2109375,4450.71,1555000,311,70.1416,4302.78,76.8482
312,-33791.203125,4627.05,1560000,312,64.2973,4183.49,73.0344
313,-32616.162109375,4393.61,1565000,313,58.6364,4234.6,70.1872
314,-32742.369140625,4716.79,1570000,314,59.7893,4411.82,70.2071
315,-33440.54296875,4294.67,1575000,315,62.3498,4327.06,71.68
316,-34492.2421875,4881.99,1580000,316,66.7446,3818.13,72.6896
317,-33559.171875,4999.89,1585000,317,57.627,4550.21,69.9734
318,-32670.65625,3989.35,1590000,318,59.6306,4016.24,69.9237
319,-34383.3046875,4485.41,1595000,319,61.5855,3972.21,70.1467
320,-33226.32421875,4632.76,1600000,320,59.4428,3894.85,70.0413
321,-32012.8359375,4469.83,1605000,321,55.3249,3812.44,68.5339
322,-32001.453125,3982.24,1610000,322,66.1783,3753.08,68.648
323,-32374.6171875,3580.1,1615000,323,54.1645,3542.97,68.1963
324,-33599.26171875,4667.53,1620000,324,55.6291,4754.11,68.2457
325,-34817.921875,4859.85,1625000,325,68.1062,4039.53,74.0736
326,-35991.26171875,4441.44,1630000,326,68.8575,4063.71,74.2505
327,-33646.109375,4749.32,1635000,327,55.7025,3967.84,68.6749
328,-35128.04296875,4241.4,1640000,328,62.0483,3412.05,71.3702
329,-35460.01171875,4856.03,1645000,329,69.6644,4048.72,73.6077
330,-36137.3828125,4223.78,1650000,330,64.9536,4554.9,71.4215
331,-34979.46875,4053.28,1655000,331,59.742,3797.93,69.907
332,-36342.3203125,4825.51,1660000,332,66.5278,4900.62,72.2001
333,-34727.73046875,4311.28,1665000,333,56.3585,3870.9,69.1628
334,-36694.1015625,5206.12,1670000,334,65.2373,4446.1,72.6644
335,-36223.07421875,4790.18,1675000,335,61.0064,4458.57,70.843
336,-36127.1171875,4679.24,1680000,336,61.8692,4558.53,70.5329
337,-38384.37109375,5230.57,1685000,337,71.6995,4202.88,75.6494
338,-37834.22265625,4086.44,1690000,338,68.9282,4661.05,72.8303
339,-38003.484375,4852.91,1695000,339,68.3712,4459.52,73.9445
340,-37583.01953125,4712.47,1700000,340,64.7993,4037.46,70.5076
341,-37285.140625,4919.59,1705000,341,65.7606,4719.57,71.986
342,-38648.80859375,4573.14,1710000,342,66.0004,4435.87,73.2107
343,-38096.640625,3971.32,1715000,343,67.6519,4037.76,73.4336
344,-39017.04296875,5235.77,1720000,344,71.3637,4120.94,74.2414
345,-40050.77734375,4699.77,1725000,345,68.1117,3886.69,74.8616
346,-38988.609375,3674.59,1730000,346,65.5935,3917.68,71.8043
347,-38848.53515625,4592.91,1735000,347,61.01,4353.72,71.2968
348,-39149.33203125,5044.73,1740000,348,58.3419,4390.54,68.8383
349,-40968.07421875,4801.67,1745000,349,71.74,4133.51,76.575
350,-39819.5625,5227.38,1750000,350,66.5999,4804.11,72.6025
351,-40633.01171875,4435.84,1755000,351,64.4104,3747.91,72.4472
352,-41266.01171875,4398.44,1760000,352,70.4504,4393.21,75.1752
353,-41352.4140625,4772.65,1765000,353,74.502,4596.87,76.9875
354,-41969.82421875,4619.47,1770000,354,71.2914,3970.23,75.4559
355,-41367.73828125,4825.15,1775000,355,68.2429,4843.85,73.8535
356,-41554.72265625,4933.49,1780000,356,71.7776,4464.9,74.5553
357,-40886.74609375,4124.06,1785000,357,64.5532,3983.31,72.887
358,-39920.69140625,4313.65,1790000,358,64.6636,4239.73,72.0413
359,-40268.8671875,4803.23,1795000,359,63.2781,4753.33,71.7618
360,-42041.21875,4067.78,1800000,360,67.3698,4106.88,72.406
361,-43483.30078125,4872.58,1805000,361,73.6536,4090.54,75.2693
362,-42944.72265625,5127.59,1810000,362,69.3959,4364.72,74.3529
363,-43481.078125,4368.07,1815000,363,75.3364,4088.05,76.4096
364,-43004.1484375,4905.73,1820000,364,68.1959,4529.32,73.4252
365,-42169.17578125,4875.71,1825000,365,66.4873,4120.57,72.4186
366,-44268.4609375,4394.63,1830000,366,70.0286,4079.71,75.1523
367,-42561.50390625,4832.66,1835000,367,66.3352,4425.62,72.773
368,-45119.1875,4963.7,1840000,368,71.4004,4244.74,75.7696
369,-40969.15234375,4427.44,1845000,369,61.3913,3758.77,71.6607
370,-44151.5546875,4848.75,1850000,370,65.4415,4164.99,72.2408
371,-43318.3671875,4328.98,1855000,371,61.2111,4657.06,70.1071
372,-44477.234375,4416.37,1860000,372,68.3028,4554.38,74.0116
373,-45882.34375,4640.7,1865000,373,70.7687,4195.91,75.8486
374,-46597.9609375,4034.68,1870000,374,78.6381,3670.01,77.4384
375,-46556.75390625,4428.06,1875000,375,77.5868,4085.64,78.9105
376,-47035.33984375,4299.51,1880000,376,74.179,3132.27,75.2902
377,-47544.66796875,4529.82,1885000,377,80.3449,4584.03,78.8361
378,-47126.9609375,4214.3,1890000,378,75.0319,4088.78,77.232
379,-46780.546875,4427.64,1895000,379,72.7703,4331.6,74.8529
380,-48879.4453125,4522.9,1900000,380,79.8387,4047.05,79.7251
381,-48295.640625,4429.35,1905000,381,70.5433,4271.72,76.4454
382,-47923.8203125,5056.31,1910000,382,68.2381,4486.85,75.5535
383,-37187.765625,1893.59,1915000,383,64.3083,1595.98,71.3542
384,-38700.54296875,2133.33,1920000,384,50.6794,1822.65,69.1825
385,-45147.8515625,4058.46,1925000,385,76.5851,3870.23,77.675
386,-49476.53125,3882.64,1930000,386,84.6264,3220.0,80.8309
387,-49866.703125,4545.53,1935000,387,87.9115,3938.3,82.4789
388,-50755.90234375,3967.52,1940000,388,82.0425,4624.94,78.7483
389,-51022.84765625,4444.82,1945000,389,78.0868,3833.37,78.0899
390,-50592.07421875,4397.46,1950000,390,75.3849,3909.68,77.8513
