Running Update Time,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps
30,30,-904.2569580078125,399.83,451.72,13.3117,27.1061,150000
31,31,-877.0839233398438,524.84,545.48,12.7682,26.6254,155000
32,32,-679.0925903320312,717.42,761.06,13.1928,27.2925,160000
33,33,-893.4482421875,547.84,538.79,14.8031,28.1613,165000
34,34,-1068.6290283203125,612.68,616.79,14.2056,26.3288,170000
35,35,-870.9076538085938,967.65,990.73,13.5698,26.091,175000
36,36,-399.52435302734375,1893.03,1904.65,14.413,26.2444,180000
37,37,-204.09588623046875,2204.28,2238.51,17.03,27.255,185000
38,38,-119.48934173583984,2864.02,2986.31,16.4865,26.2703,190000
39,39,-410.5950622558594,1952.12,2035.4,14.3379,25.3663,195000
40,40,-712.7653198242188,1654.06,2008.1,18.5782,26.7104,200000
41,41,-310.1755065917969,2058.13,2502.03,14.5885,25.9317,205000
42,42,-257.18408203125,2147.71,2946.19,14.744,25.4479,210000
43,43,-74.46349334716797,2669.11,2917.92,17.0785,26.5174,215000
44,44,-95.97315979003906,2954.46,2928.45,16.9213,26.5235,220000
45,45,-107.34512329101562,2972.43,2910.6,17.0826,25.9667,225000
46,46,-91.87409210205078,2886.18,3058.78,17.5095,26.5593,230000
47,47,-151.77999877929688,2929.83,3017.96,17.1423,26.2625,235000
48,48,-230.45631408691406,2755.16,1215.74,16.6647,26.4431,240000
49,49,-144.6427001953125,2930.81,3086.27,16.9704,26.2889,245000
50,50,-246.08908081054688,2879.76,2922.48,16.4972,26.2093,250000
51,51,-207.14825439453125,3108.09,3138.94,18.6383,27.2492,255000
52,52,-178.63351440429688,3046.13,3197.57,17.7988,26.7917,260000
53,53,-355.39849853515625,1930.69,3171.53,15.3361,26.1972,265000
54,54,-262.41668701171875,3066.99,3104.43,16.197,26.0691,270000
55,55,-251.9839324951172,2961.06,3120.61,16.9857,26.3107,275000
56,56,-470.0043640136719,2281.26,3029.53,15.1131,26.3291,280000
57,57,-297.8536376953125,2350.86,3185.09,16.5223,26.2078,285000
58,58,-573.4503173828125,2226.55,3163.07,18.7681,26.4342,290000
59,59,-368.66986083984375,2946.0,3171.71,16.3163,26.0796,295000
60,60,-353.53594970703125,3027.1,3160.7,16.8876,26.4136,300000
61,61,-348.06591796875,3120.88,3151.89,17.5147,26.9077,305000
62,62,-504.0986328125,2881.07,3163.54,15.3764,26.2222,310000
63,63,-711.6885986328125,2660.34,3141.48,14.5872,26.0007,315000
64,64,-415.0396728515625,2973.53,3155.25,15.8547,25.7778,320000
65,65,-402.8720703125,2683.26,3159.16,16.7195,25.9994,325000
66,66,-449.2169494628906,2825.3,3154.54,16.629,26.034,330000
67,67,-411.5361633300781,3112.49,3177.16,17.3243,26.5302,335000
68,68,-445.0820617675781,2603.83,3146.39,15.9109,25.9302,340000
69,69,-604.9943237304688,2740.55,3160.67,15.8784,25.8167,345000
70,70,-473.38214111328125,3079.1,3132.01,16.1688,26.0724,350000
71,71,-454.5638427734375,3053.0,3146.12,16.644,25.9834,355000
72,72,-689.22900390625,2522.94,3144.15,15.1851,25.6234,360000
73,73,-513.9656372070312,3094.5,3137.95,16.5906,26.3604,365000
74,74,-552.6287841796875,2987.06,3145.22,16.5744,26.5381,370000
75,75,-537.4446411132812,3069.89,2979.49,16.3898,26.3939,375000
76,76,-568.9060668945312,2882.04,3161.58,16.5964,26.0719,380000
77,77,-639.716552734375,2966.53,3158.94,16.8574,26.233,385000
78,78,-711.2023315429688,2834.47,3177.34,15.8482,25.9081,390000
79,79,-638.9268188476562,2615.53,3168.95,17.0468,27.1745,395000
80,80,-764.310302734375,3024.45,3177.02,17.2272,25.9599,400000
81,81,-769.0655517578125,2894.42,3158.22,17.0961,26.4373,405000
82,82,-791.2473754882812,2740.77,3179.42,17.4423,26.1529,410000
83,83,-660.6625366210938,2999.73,3171.08,16.644,25.9987,415000
84,84,-988.4844360351562,2451.61,3215.27,17.0076,25.7011,420000
85,85,-832.4900512695312,2994.93,3180.41,16.6672,26.428,425000
86,86,-707.0738525390625,3171.38,3202.31,17.3682,26.8192,430000
87,87,-716.332275390625,3105.55,3194.85,17.6371,26.5213,435000
88,88,-874.84716796875,3040.26,3167.45,16.4398,26.418,440000
89,89,-830.828125,3112.84,3183.88,17.1166,25.9632,445000
90,90,-829.0975952148438,3152.87,3189.32,17.5551,25.9593,450000
91,91,-760.6426391601562,3141.9,3173.01,16.8798,26.3414,455000
92,92,-803.646728515625,3082.72,3186.56,17.5036,26.4828,460000
93,93,-813.1796264648438,3083.79,3195.34,17.6809,27.0211,465000
94,94,-808.3075561523438,3170.95,3185.36,16.885,26.4553,470000
95,95,-972.7271118164062,3046.26,3211.53,16.308,26.1123,475000
96,96,-1066.603759765625,2875.36,3167.62,16.6903,25.6637,480000
97,97,-1017.252685546875,2934.56,3188.21,17.7637,26.3337,485000
98,98,-847.4893188476562,2729.63,3183.02,16.7631,26.0664,490000
99,99,-898.3526000976562,3092.63,3214.34,17.142,26.383,495000
100,100,-1019.4248657226562,3110.51,3204.46,15.8828,25.7439,500000
101,101,-1162.9788818359375,2956.07,3205.77,14.9086,25.131,505000
102,102,-938.6209106445312,3050.94,3190.98,16.8834,25.8388,510000
103,103,-1182.7276611328125,2517.02,3203.11,15.8273,25.7233,515000
104,104,-990.6008911132812,3138.2,3187.76,17.1804,26.2331,520000
105,105,-1010.4534912109375,3180.94,3169.99,17.1297,26.0866,525000
106,106,-1120.166748046875,2929.59,3209.44,16.3657,25.336,530000
107,107,-1139.993896484375,2936.9,3217.21,16.6004,25.8031,535000
108,108,-1115.5709228515625,3058.71,3149.55,16.423,25.9071,540000
109,109,-1195.19091796875,2859.53,3218.53,15.6194,26.0193,545000
110,110,-1159.7340087890625,2683.73,3197.64,16.2294,25.9686,550000
111,111,-1299.5557861328125,2995.18,3216.91,15.9126,25.4896,555000
112,112,-1116.1021728515625,3148.9,3161.85,17.2376,26.2429,560000
113,113,-1278.290283203125,2726.97,3215.92,15.5889,25.8811,565000
114,114,-1178.9476318359375,3167.55,3182.78,17.3537,26.258,570000
115,115,-1220.984375,3154.42,3168.81,17.1234,26.0684,575000
116,116,-1278.3455810546875,2956.01,3206.6,16.5175,26.1611,580000
117,117,-1188.3685302734375,3171.06,3186.96,17.0676,26.1209,585000
118,118,-1256.17041015625,3123.0,3192.62,17.0226,25.973,590000
119,119,-1270.29541015625,3177.1,3186.48,17.3036,26.3559,595000
120,120,-1383.79052734375,3168.65,3170.3,17.2455,26.3772,600000
121,121,-1296.3914794921875,3123.42,3176.25,17.0691,26.0451,605000
122,122,-1472.22509765625,3182.01,3211.21,16.9084,26.2356,610000
123,123,-1446.812744140625,3179.28,3195.91,17.2256,26.1644,615000
124,124,-1346.2408447265625,3146.5,3161.35,17.0007,26.2282,620000
125,125,-1452.5865478515625,2789.58,3173.23,16.9004,25.9555,625000
126,126,-1534.428955078125,3089.6,3212.71,17.428,25.9091,630000
127,127,-1567.8131103515625,3141.6,3205.95,16.8536,25.5189,635000
128,128,-1501.743896484375,3178.08,3189.74,17.1371,26.0822,640000
129,129,-1587.1630859375,3179.37,3192.56,17.6415,25.978,645000
130,130,-1516.58154296875,3170.31,3175.71,17.217,26.1948,650000
131,131,-1581.7020263671875,3111.51,3191.7,17.3105,26.1354,655000
132,132,-1665.1092529296875,3156.56,3204.4,16.9798,25.7914,660000
133,133,-1647.6029052734375,3166.67,3177.25,17.7054,26.5954,665000
134,134,-1589.77490234375,3170.48,3194.58,16.4796,25.6483,670000
135,135,-1716.82861328125,3090.81,3177.62,17.0482,25.959,675000
136,136,-1609.865234375,3125.72,3173.94,17.4382,26.3754,680000
137,137,-1643.7869873046875,3116.92,3180.74,17.2986,25.8808,685000
138,138,-1764.3973388671875,2967.6,3203.26,16.9392,26.0369,690000
139,139,-1668.935302734375,3092.1,3184.12,16.6924,26.1511,695000
140,140,-1794.483642578125,3129.19,3199.31,17.8661,26.0196,700000
141,141,-1870.9224853515625,3033.08,3224.63,19.6575,26.1208,705000
142,142,-1772.6419677734375,3130.66,3173.72,17.0471,26.2695,710000
143,143,-1883.0308837890625,2962.99,3213.08,17.0034,25.9156,715000
144,144,-1991.3582763671875,3184.29,3208.94,17.5095,25.8574,720000
145,145,-1770.3089599609375,3071.4,3154.88,16.697,25.9046,725000
146,146,-1913.8719482421875,3090.48,3188.53,16.721,25.3969,730000
147,147,-1951.775146484375,3114.16,3211.11,16.566,25.318,735000
148,148,-1972.00537109375,3128.22,3184.99,16.852,25.8904,740000
149,149,-1906.8328857421875,3012.19,3187.95,17.1258,26.0753,745000
150,150,-1937.802490234375,3087.65,3181.58,16.5826,25.5129,750000
151,151,-2046.5352783203125,3174.02,3195.02,16.9094,25.859,755000
152,152,-2037.837890625,3186.03,3194.97,16.8093,25.2116,760000
153,153,-2043.423095703125,3081.95,3196.47,16.7059,25.4277,765000
154,154,-2029.01611328125,3088.76,3167.09,17.0886,25.6511,770000
155,155,-2109.0947265625,3176.63,3201.11,16.9222,25.9859,775000
156,156,-2311.08642578125,2870.67,3219.03,17.6635,26.2404,780000
157,157,-2152.1884765625,3087.52,3192.73,17.4004,26.0602,785000
158,158,-2119.991455078125,3180.42,3180.41,16.621,25.674,790000
159,159,-2246.25537109375,2994.37,3212.07,16.9818,25.8449,795000
160,160,-2210.494140625,3164.33,3183.77,17.2648,25.1013,800000
161,161,-2283.359619140625,2990.41,3216.28,17.0383,26.1707,805000
162,162,-2257.773681640625,3041.22,3230.77,18.9742,25.8526,810000
163,163,-2292.62255859375,2798.98,3224.28,17.6865,25.7137,815000
164,164,-2376.478759765625,3108.31,3209.54,16.8495,25.3632,820000
165,165,-2196.5908203125,3154.73,3160.19,16.7183,25.9802,825000
166,166,-2238.09375,3166.35,3163.12,16.6691,25.6412,830000
