Itration,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
96,96,-272.4287109375,480000,37.2754,4365.95,12.7208,4309.54
97,97,-303.97735595703125,485000,38.3668,4304.55,14.6943,4278.08
98,98,-301.87786865234375,490000,37.2088,4442.96,14.7245,4415.23
99,99,-301.4703063964844,495000,37.7055,4367.49,14.3253,4321.87
100,100,-290.54345703125,500000,36.387,4503.22,13.3133,4441.12
101,101,-303.64447021484375,505000,37.1411,4431.91,15.0052,4390.62
102,102,-291.03826904296875,510000,36.6523,4468.04,14.0879,4414.15
103,103,-285.0179138183594,515000,36.1226,4453.55,12.7397,4407.26
104,104,-306.9082946777344,520000,36.1147,4480.32,13.3267,4422.95
105,105,-299.61212158203125,525000,35.6174,4548.08,12.5175,4476.03
106,106,-306.1279296875,530000,36.2108,4420.62,12.6496,4352.89
107,107,-323.6758728027344,535000,36.3689,4476.64,13.8667,4440.69
108,108,-324.1939697265625,540000,37.0613,4519.22,14.779,4447.39
109,109,-322.85357666015625,545000,36.0339,4517.58,13.7367,4468.93
110,110,-331.673583984375,550000,36.8702,4427.5,13.8984,4392.82
111,111,-319.3665771484375,555000,36.0235,4532.63,13.2138,4459.47
112,112,-329.8726806640625,560000,36.4731,4569.32,14.8362,4494.9
113,113,-304.7565612792969,565000,35.8615,4568.58,12.2632,4469.15
114,114,-322.92474365234375,570000,34.9554,4623.94,12.1775,4516.5
115,115,-325.366455078125,575000,35.2818,4552.41,13.2478,4451.58
116,116,-346.9466552734375,580000,36.4204,4527.45,12.7822,4461.26
117,117,-346.02410888671875,585000,36.471,4561.38,12.4759,4499.51
118,118,-346.2169494628906,590000,35.0727,4549.45,12.4035,4498.94
119,119,-355.40362548828125,595000,35.1284,4578.03,13.1468,4530.55
120,120,-340.2439880371094,600000,34.9439,4686.85,12.6055,4560.38
121,121,-355.1962585449219,605000,36.7934,4582.86,14.0738,4536.47
122,122,-363.2802734375,610000,36.8941,4569.74,13.8873,4499.33
123,123,-351.24853515625,615000,36.1756,4666.45,15.2955,4589.19
124,124,-363.2926025390625,620000,35.1725,4699.22,13.3598,4613.95
125,125,-371.3209228515625,625000,36.0616,4625.63,13.3155,4539.49
126,126,-359.7224426269531,630000,36.1845,4588.19,13.2284,4502.66
127,127,-364.48150634765625,635000,35.2075,4694.9,13.6881,4601.5
128,128,-367.2339172363281,640000,35.4668,4659.46,12.1525,4532.87
129,129,-380.24530029296875,645000,35.8996,4689.28,13.4892,4594.28
130,130,-382.7600402832031,650000,36.2839,4607.08,12.3187,4475.85
131,131,-405.9232177734375,655000,36.9285,4577.57,13.3512,4478.11
132,132,-402.10430908203125,660000,36.0225,4611.3,13.4395,4532.88
133,133,-401.5387878417969,665000,35.6087,4641.48,12.9334,4541.21
134,134,-416.18170166015625,670000,36.5519,4621.05,13.5468,4542.47
135,135,-404.0137939453125,675000,35.6435,4761.32,13.7355,4672.4
136,136,-409.735595703125,680000,35.7149,4613.64,12.7169,4529.68
137,137,-409.3551025390625,685000,35.4248,4716.43,12.7912,4584.14
138,138,-414.5503234863281,690000,37.1132,4717.48,12.8942,4610.38
139,139,-413.57501220703125,695000,34.9513,4736.84,12.1348,4673.5
140,140,-452.9304504394531,700000,36.8574,4630.2,14.7837,4551.04
141,141,-437.56610107421875,705000,36.3761,4632.57,13.4535,4544.96
142,142,-424.09149169921875,710000,35.9851,4711.71,12.9613,4598.05
143,143,-429.1568908691406,715000,36.1326,4694.7,12.6691,4643.71
144,144,-408.1727294921875,720000,34.8341,4783.28,12.0577,4703.03
145,145,-418.9809265136719,725000,35.1751,4762.32,12.0785,4668.09
146,146,-446.7574768066406,730000,34.987,4686.46,12.5677,4591.78
147,147,-442.64312744140625,735000,34.381,4851.32,12.1275,4700.58
148,148,-442.32489013671875,740000,34.7524,4678.12,12.0988,4629.6
149,149,-449.7933349609375,745000,35.3572,4653.94,12.2073,4598.15
150,150,-477.5317687988281,750000,36.1717,4748.67,13.8059,4633.25
151,151,-448.4442443847656,755000,34.8076,4712.4,11.7228,4613.8
152,152,-475.4072265625,760000,35.7446,4716.75,12.7065,4591.89
153,153,-458.3752136230469,765000,35.5299,4788.77,12.8025,4667.92
154,154,-434.89129638671875,770000,35.56,4854.49,11.7888,4771.59
155,155,-444.0823059082031,775000,34.4696,4882.88,12.7621,4725.1
156,156,-487.3569030761719,780000,35.8934,4670.29,12.8497,4590.49
157,157,-452.99481201171875,785000,34.2916,4791.82,11.4965,4685.82
158,158,-461.56329345703125,790000,34.5042,4776.52,11.7327,4653.47
159,159,-482.42242431640625,795000,35.5802,4830.52,12.6306,4706.11
160,160,-495.2442626953125,800000,35.0796,4884.26,12.3346,4710.36
161,161,-456.26055908203125,805000,35.3295,4830.59,11.8623,4692.22
162,162,-507.990966796875,810000,35.9472,4765.25,13.1875,4696.86
163,163,-514.1231689453125,815000,36.5731,4733.44,11.9501,4627.05
164,164,-504.32586669921875,820000,35.9035,4768.18,13.2296,4632.3
165,165,-461.6077575683594,825000,33.9087,4876.35,11.9313,4775.56
166,166,-503.1187438964844,830000,34.7877,4864.31,11.8956,4725.37
167,167,-495.63079833984375,835000,34.2944,4815.0,11.7541,4722.44
168,168,-497.1527404785156,840000,34.2838,4798.83,12.2649,4665.13
169,169,-518.31005859375,845000,34.568,4745.16,11.6084,4625.34
170,170,-525.8992919921875,850000,35.4254,4815.59,12.8753,4674.51
171,171,-546.2649536132812,855000,34.2355,4775.22,12.4813,4706.83
172,172,-522.3265991210938,860000,35.2156,4818.83,12.5716,4685.93
173,173,-502.94970703125,865000,34.1461,4815.07,11.4585,4704.35
174,174,-513.5178833007812,870000,32.8139,4818.38,11.945,4719.61
175,175,-533.7528686523438,875000,33.2562,4921.52,12.2138,4785.17
176,176,-505.2838439941406,880000,33.6393,4974.61,12.4859,4848.19
177,177,-508.3635559082031,885000,34.0596,4847.84,11.7833,4737.32
178,178,-538.0588989257812,890000,33.7641,4958.11,13.6603,4750.34
179,179,-520.0296020507812,895000,33.4519,4862.54,12.6115,4748.87
180,180,-536.7344360351562,900000,34.634,4812.13,13.0085,4659.89
181,181,-575.3389892578125,905000,34.5506,4919.16,11.6322,4783.77
182,182,-595.2816772460938,910000,34.3849,4907.49,11.2519,4754.78
183,183,-562.03173828125,915000,34.8801,4885.36,12.9099,4783.35
184,184,-533.8692626953125,920000,34.6644,4934.76,11.9407,4756.98
185,185,-533.6290283203125,925000,34.3178,5036.51,12.1756,4846.36
186,186,-546.6304931640625,930000,33.4143,4904.3,12.3734,4832.68
187,187,-516.8154296875,935000,33.6874,5009.17,12.2153,4872.97
188,188,-541.551025390625,940000,32.9347,4933.96,12.5708,4815.24
189,189,-540.6710205078125,945000,34.0925,4981.74,12.8264,4821.51
190,190,-578.9082641601562,950000,34.1272,4870.99,13.0428,4741.41
191,191,-558.2322387695312,955000,34.064,4897.97,12.6322,4813.5
192,192,-601.397216796875,960000,34.894,4874.0,12.6981,4580.3
193,193,-567.8696899414062,965000,33.811,4853.42,12.3606,4790.53
194,194,-575.6776123046875,970000,33.3557,5036.24,12.67,4854.22
195,195,-610.571533203125,975000,34.1786,4965.06,11.6883,4763.34
196,196,-572.3837280273438,980000,34.7444,4876.51,11.3101,4796.63
197,197,-597.9638061523438,985000,33.4102,4816.58,12.6333,4817.01
198,198,-608.0978393554688,990000,33.3684,4940.28,12.8548,4782.65
199,199,-586.5651245117188,995000,33.4008,4991.84,12.0373,4837.27
200,200,-592.1503295898438,1000000,34.4573,4832.24,12.2953,4789.58
201,201,-604.3585815429688,1005000,33.8171,4929.16,12.2394,4806.57
202,202,-639.091552734375,1010000,34.2827,4889.24,12.7167,4760.29
203,203,-635.5490112304688,1015000,33.8337,4843.14,12.2788,4719.3
204,204,-610.7425537109375,1020000,33.5249,4953.09,12.1062,4817.28
205,205,-664.8419799804688,1025000,33.8654,4986.71,11.5176,4806.99
206,206,-602.0891723632812,1030000,33.0312,5043.58,12.5869,4682.19
207,207,-611.9736938476562,1035000,33.1028,5012.14,11.9182,4791.54
208,208,-634.79736328125,1040000,33.0382,5013.02,11.8796,4781.65
209,209,-623.1353759765625,1045000,32.9442,5000.11,11.6251,4801.51
210,210,-618.293212890625,1050000,33.3528,4957.05,11.7768,4766.48
211,211,-638.0313110351562,1055000,32.7401,4934.48,11.8178,4789.48
212,212,-632.166259765625,1060000,33.1534,4950.55,11.6074,4824.93
213,213,-668.9694213867188,1065000,33.0921,5023.01,11.3991,4802.11
214,214,-610.466796875,1070000,32.6189,4995.85,11.9777,4853.9
215,215,-649.7685546875,1075000,32.8189,4946.43,11.6252,4780.94
216,216,-651.2805786132812,1080000,32.8848,4991.49,11.7432,4777.2
217,217,-664.47509765625,1085000,33.3417,5017.38,11.7072,4803.48
218,218,-653.2620239257812,1090000,33.267,4973.97,11.9009,4644.99
219,219,-654.087158203125,1095000,32.9106,4957.13,11.6456,4800.08
220,220,-616.1221923828125,1100000,32.8223,5031.59,11.8145,4833.9
221,221,-644.2252197265625,1105000,32.9765,4929.12,12.0362,4780.92
222,222,-661.3826293945312,1110000,33.217,4947.61,11.7543,4804.27
223,223,-693.1299438476562,1115000,33.097,4948.19,12.2436,4775.01
224,224,-655.2674560546875,1120000,33.8138,4901.66,11.7746,4760.3
225,225,-686.849365234375,1125000,33.6853,4931.83,11.6998,4755.84
226,226,-701.1822509765625,1130000,33.5763,4967.33,11.8854,4653.31
227,227,-713.9635009765625,1135000,33.448,4907.33,11.6252,4756.89
228,228,-675.4630737304688,1140000,33.1732,4971.95,11.8355,4799.48
229,229,-692.0274658203125,1145000,32.8373,4923.24,11.4627,4832.59
230,230,-710.1336669921875,1150000,33.9158,4947.3,11.747,4768.19
231,231,-737.2994995117188,1155000,35.0324,4954.26,11.3184,4605.25
232,232,-720.3768920898438,1160000,33.194,5001.6,11.2033,4671.08
233,233,-705.8663940429688,1165000,32.4463,4990.14,11.3567,4692.17
234,234,-1075.3748779296875,1170000,36.1382,2822.56,18.132,2434.9
235,235,-846.1412353515625,1175000,34.1169,4845.35,18.3579,4760.64
236,236,-815.301513671875,1180000,34.7486,4357.05,13.0688,4316.91
237,237,-1205.0162353515625,1185000,37.6715,4492.5,15.3704,3553.69
238,238,-943.3528442382812,1190000,34.5206,4463.54,14.6437,4158.28
239,239,-778.8767700195312,1195000,32.1427,4854.42,12.9992,4712.99
240,240,-748.3557739257812,1200000,31.8139,4953.32,12.3342,4785.36
241,241,-790.2379760742188,1205000,32.3661,4951.02,12.2698,4789.38
242,242,-728.0663452148438,1210000,31.8925,5029.66,12.2394,4842.86
243,243,-745.3792724609375,1215000,32.093,5066.52,11.628,4872.86
244,244,-756.3978271484375,1220000,31.7196,4868.11,11.9122,4772.09
245,245,-746.1421508789062,1225000,31.9036,5003.52,11.5,4817.39
246,246,-740.5296630859375,1230000,32.4892,4993.96,11.4776,4771.77
247,247,-893.4237060546875,1235000,33.3503,5036.07,11.3777,4360.79
248,248,-764.4678344726562,1240000,32.6437,5029.31,11.6545,4826.05
249,249,-762.670166015625,1245000,32.8352,5131.44,11.9858,4805.42
250,250,-840.445556640625,1250000,33.2465,5080.52,12.2805,4669.68
251,251,-854.4677734375,1255000,32.6413,5101.98,12.3633,4423.09
252,252,-1072.9605712890625,1260000,34.2933,5120.8,12.5136,4700.12
253,253,-792.5206298828125,1265000,33.1862,5130.94,11.7861,4919.82
254,254,-910.0049438476562,1270000,33.9653,5120.22,11.5365,4626.73
255,255,-854.81884765625,1275000,33.725,5052.96,11.3722,4881.44
256,256,-781.6688842773438,1280000,33.0375,5112.08,12.5297,4756.7
257,257,-843.7221069335938,1285000,33.4942,5110.08,11.7673,4824.01
258,258,-786.0536499023438,1290000,32.6759,5061.25,12.2021,4911.84
259,259,-865.4443969726562,1295000,32.6883,5077.38,12.3629,4907.39
260,260,-808.9513549804688,1300000,32.6583,5109.0,12.6383,4913.05
261,261,-778.21337890625,1305000,32.0085,5166.89,11.9633,4981.21
262,262,-922.2144165039062,1310000,31.6554,5158.78,12.285,4379.73
263,263,-809.4362182617188,1315000,32.6809,4244.01,11.8793,4868.18
264,264,-827.5396728515625,1320000,32.5637,5133.96,12.6162,4892.14
265,265,-886.001953125,1325000,32.8859,4549.85,12.1042,4846.81
266,266,-846.978515625,1330000,32.6377,4233.63,11.312,4681.26
267,267,-971.180908203125,1335000,33.5166,5004.5,12.9143,4598.16
268,268,-842.503173828125,1340000,32.5058,4838.11,11.5007,4888.52
269,269,-1051.226806640625,1345000,33.5611,4908.12,18.2393,4509.72
270,270,-1009.4732055664062,1350000,32.9171,4922.63,16.8163,4590.4
271,271,-1216.377197265625,1355000,33.431,4979.51,21.392,4655.99
272,272,-1111.05224609375,1360000,33.0523,5137.74,23.7357,4478.17
273,273,-1231.0206298828125,1365000,32.9265,5091.04,22.2783,4403.59
274,274,-929.234619140625,1370000,32.9344,4974.09,11.183,4491.74
275,275,-1158.66845703125,1375000,32.3738,4982.71,17.041,3929.1
276,276,-1103.143310546875,1380000,32.444,4907.79,14.8862,4592.29
277,277,-978.4451904296875,1385000,31.6721,4956.62,12.6094,4621.45
278,278,-939.5685424804688,1390000,31.7714,5042.27,11.3775,4698.8
279,279,-865.9288940429688,1395000,31.9447,5024.64,11.4467,4831.17
280,280,-907.4882202148438,1400000,32.2588,4971.27,10.557,4777.82
281,281,-916.5883178710938,1405000,32.4752,4846.35,10.8085,4795.91
282,282,-1029.837646484375,1410000,32.2702,4824.63,14.2469,4674.86
283,283,-1284.9273681640625,1415000,37.7424,4581.1,12.7587,4418.85
284,284,-1091.80517578125,1420000,32.6215,4786.78,14.5329,4723.01
285,285,-1076.8773193359375,1425000,33.7636,4807.35,12.7797,4604.74
286,286,-1037.7806396484375,1430000,33.9823,4867.16,11.9267,4517.15
287,287,-1052.213134765625,1435000,33.3639,4813.04,11.8617,4726.75
288,288,-1004.8859252929688,1440000,32.34,4911.33,11.5751,4744.31
289,289,-997.1748657226562,1445000,33.5658,4829.9,11.5983,4726.84
290,290,-979.5053100585938,1450000,32.555,4826.79,11.761,4763.75
291,291,-892.8461303710938,1455000,31.8829,5040.11,11.4902,4849.73
292,292,-989.0762329101562,1460000,32.8764,4855.5,11.4407,4535.22
293,293,-991.4114379882812,1465000,31.7287,4959.74,11.6669,4750.17
294,294,-1014.9258422851562,1470000,32.1139,4921.64,11.3198,4767.65
295,295,-984.604736328125,1475000,32.1555,4943.69,11.7024,4837.49
296,296,-1012.8004760742188,1480000,32.5384,4894.53,11.4477,4846.66
297,297,-995.4801635742188,1485000,31.6939,5005.68,11.6075,4900.96
298,298,-974.30419921875,1490000,32.1689,5039.78,11.5469,4890.93
299,299,-1027.3580322265625,1495000,32.2588,5018.27,11.8582,4892.15
300,300,-1094.4659423828125,1500000,32.3874,4940.05,11.4958,4869.2
301,301,-1085.4971923828125,1505000,32.0807,4980.72,11.7014,4598.58
302,302,-1091.712158203125,1510000,31.7809,4966.49,11.9607,4657.85
303,303,-1194.1917724609375,1515000,32.9544,4946.71,11.1016,4821.44
304,304,-1056.9725341796875,1520000,32.6653,4920.6,12.0897,4821.95
305,305,-1087.8089599609375,1525000,32.1134,5096.5,11.0447,4814.06
306,306,-1105.3924560546875,1530000,32.1392,4958.9,11.1335,4789.1
307,307,-1115.6092529296875,1535000,32.1804,5085.76,11.0962,4876.57
308,308,-1068.9332275390625,1540000,32.4294,5065.96,11.4793,4866.19
309,309,-1111.552001953125,1545000,33.2855,4941.3,12.3062,4803.51
310,310,-1123.0689697265625,1550000,32.5929,5020.69,12.0835,4866.87
311,311,-1103.6964111328125,1555000,32.4325,5121.48,11.5617,4907.2
312,312,-1067.7042236328125,1560000,32.693,5076.77,11.9642,4848.43
313,313,-1083.456787109375,1565000,32.6373,5065.79,11.8484,4851.12
314,314,-1096.02734375,1570000,31.948,5109.5,12.0762,4906.38
315,315,-1108.940185546875,1575000,32.578,5172.14,11.8924,4868.4
316,316,-1040.287353515625,1580000,31.9645,5076.63,11.8736,4927.65
317,317,-1052.4610595703125,1585000,32.0601,5176.85,11.1732,4924.98
318,318,-1190.043701171875,1590000,32.8248,3802.54,10.9702,4745.75
319,319,-1264.3253173828125,1595000,32.6173,5097.33,14.9763,4864.29
320,320,-1133.7545166015625,1600000,32.513,5091.87,11.2585,4845.82
321,321,-1179.8935546875,1605000,32.1265,5137.66,12.0062,4853.12
322,322,-1157.423828125,1610000,32.117,5032.5,10.8604,4806.85
323,323,-1181.865478515625,1615000,33.0791,5038.55,10.9287,4646.95
324,324,-1125.705810546875,1620000,32.3998,5073.0,11.1719,4681.61
325,325,-1158.76123046875,1625000,32.3137,5137.59,10.7073,4560.53
326,326,-1155.5955810546875,1630000,32.2546,5116.96,10.7563,4736.74
327,327,-1140.5869140625,1635000,31.5762,5175.1,10.9327,4953.06
328,328,-1086.901611328125,1640000,31.6299,5238.83,11.0958,5017.17
329,329,-1311.9967041015625,1645000,32.1231,5088.93,11.5031,4906.4
330,330,-1351.20654296875,1650000,33.1962,5166.5,12.1477,4683.58
331,331,-1130.0491943359375,1655000,32.514,5150.6,11.669,5013.61
332,332,-1173.8203125,1660000,32.3813,5145.86,11.0982,4965.37
333,333,-1372.8956298828125,1665000,32.6626,5222.5,12.2519,4766.66
334,334,-1142.2821044921875,1670000,31.7864,5096.2,11.4265,4907.26
335,335,-1219.7579345703125,1675000,32.7154,5259.72,11.5686,4722.74
336,336,-1085.65185546875,1680000,32.4772,5162.97,11.7692,4976.89
337,337,-1215.801025390625,1685000,32.7382,5039.21,11.9265,4901.1
338,338,-1168.504150390625,1690000,32.3717,5181.25,11.0188,4770.31
339,339,-1375.602783203125,1695000,31.9691,5141.76,11.9242,4910.22
340,340,-1091.3233642578125,1700000,30.9836,5172.52,11.0352,4963.74
341,341,-1168.8280029296875,1705000,31.9789,5160.33,11.3682,4989.06
342,342,-1221.5478515625,1710000,32.0615,5244.24,10.8397,5029.12
343,343,-1162.2724609375,1715000,31.0821,5246.91,11.3905,5028.57
344,344,-1077.6297607421875,1720000,32.1169,5194.91,11.9885,5014.71
345,345,-1138.4041748046875,1725000,32.31,5238.93,11.4419,5042.56
346,346,-1165.8785400390625,1730000,31.9594,5161.97,11.5333,5006.16
347,347,-1092.3392333984375,1735000,31.0095,5211.98,10.9834,4992.84
348,348,-1180.2637939453125,1740000,32.202,5153.56,11.5355,4951.2
349,349,-1204.03271484375,1745000,32.0543,5263.19,11.1606,5047.96
350,350,-1246.9117431640625,1750000,31.52,5083.15,11.4426,4879.72
351,351,-1221.9786376953125,1755000,32.159,5162.02,11.8124,4982.56
352,352,-1188.6982421875,1760000,31.1736,5149.56,11.309,4935.12
353,353,-1182.0401611328125,1765000,31.3627,5092.84,11.0026,4957.72
354,354,-1171.68310546875,1770000,31.3133,5158.17,10.8287,4968.21
355,355,-1164.090576171875,1775000,31.6357,5247.28,11.1488,5051.71
356,356,-1186.83837890625,1780000,31.5228,5194.05,11.5591,5011.47
357,357,-1163.3448486328125,1785000,31.2263,5193.43,10.9427,5014.71
358,358,-1174.1361083984375,1790000,30.7145,5265.85,11.1765,5031.55
359,359,-1248.512939453125,1795000,31.4096,5225.39,11.1508,5017.96
360,360,-1286.7767333984375,1800000,32.0392,5157.53,11.3025,4957.3
361,361,-1231.273193359375,1805000,31.1859,5119.74,11.2703,4935.75
362,362,-1171.1265869140625,1810000,30.9554,5275.83,11.5906,5052.72
363,363,-1246.004150390625,1815000,31.1026,5176.39,11.0126,5013.19
364,364,-3472.123046875,1820000,51.0143,586.97,53.4186,798.22
365,365,-3100.050537109375,1825000,53.1283,275.52,40.9241,294.38
366,366,-3888.10498046875,1830000,51.761,271.9,28.9046,301.5
367,367,-3655.806884765625,1835000,49.0873,449.31,44.2847,463.28
368,368,-3471.571044921875,1840000,44.5411,638.13,31.3522,701.82
369,369,-3057.881591796875,1845000,39.6136,1029.09,32.3833,1619.23
370,370,-3563.93212890625,1850000,49.3589,520.95,59.7255,1022.82
371,371,-2799.821044921875,1855000,39.0754,1534.71,22.2267,2203.34
372,372,-2880.734375,1860000,36.8072,3107.15,21.7781,2555.6
373,373,-1845.3009033203125,1865000,34.2679,4533.22,15.9966,4430.1
374,374,-1782.0987548828125,1870000,34.3036,4538.3,15.534,4528.36
375,375,-1577.0609130859375,1875000,32.4861,4855.84,15.1884,4775.19
376,376,-1662.7261962890625,1880000,32.6653,4877.4,15.4722,4623.38
377,377,-1547.045654296875,1885000,32.97,4947.01,14.9569,4781.78
378,378,-1578.1888427734375,1890000,32.5567,4924.27,14.458,4665.37
379,379,-1652.64111328125,1895000,33.5745,4952.27,13.6374,4826.33
380,380,-1638.5157470703125,1900000,33.0801,4782.53,14.1272,4549.99
381,381,-2334.833984375,1905000,34.1825,3586.48,17.1953,3737.72
382,382,-1499.17626953125,1910000,31.9252,4355.32,13.6835,4783.68
383,383,-1609.304443359375,1915000,32.19,4153.46,13.4463,4804.59
