Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Env Steps,Real Sto Return,Running Update Time
1054.14,27.7075,-5655.74853515625,33.0994,93,465000,1045.49,93
358.08,22.2612,-5186.73095703125,30.8241,94,470000,300.5,94
1012.14,60.3061,-6906.22900390625,37.3647,95,475000,1014.08,95
998.06,66.2876,-6918.3046875,38.2636,96,480000,997.92,96
1000.69,63.9533,-7077.8916015625,39.24,97,485000,1000.98,97
459.56,127.1221,-5973.14697265625,32.2504,98,490000,349.31,98
674.44,44.4341,-6002.591796875,32.8447,99,495000,674.76,99
1040.63,68.0514,-7072.64794921875,36.3559,100,500000,1040.68,100
1046.21,67.6134,-7134.30126953125,34.4117,101,505000,1046.44,101
1046.05,43.6137,-7088.82861328125,33.4597,102,510000,1045.54,102
225.07,46.8783,-7187.1064453125,33.2192,103,515000,224.67,103
1016.03,44.8889,-7203.26806640625,32.7219,104,520000,1020.72,104
1201.51,25.1447,-6142.365234375,32.3143,105,525000,1224.37,105
744.9,14.681,-5402.66748046875,31.2345,106,530000,845.28,106
353.23,29.2338,-6691.91552734375,31.7324,107,535000,371.82,107
162.35,45.6804,-7741.76708984375,32.4005,108,540000,223.75,108
1143.39,27.379,-6375.1728515625,31.4729,109,545000,1150.83,109
1034.3,38.8502,-7805.357421875,33.3695,110,550000,1034.19,110
1043.97,68.1327,-8059.05615234375,36.0906,111,555000,1044.07,111
1040.09,79.2403,-8058.0224609375,33.6026,112,560000,995.64,112
104.79,50.1585,-7850.859375,36.4948,113,565000,105.04,113
33.79,171.3566,-7872.21826171875,33.6668,114,570000,37.67,114
10.63,158.8332,-8371.771484375,34.5074,115,575000,10.55,115
1000.36,51.4415,-8071.67626953125,36.2216,116,580000,1000.25,116
1009.69,40.0309,-8407.17578125,36.2355,117,585000,1009.53,117
1004.74,84.6924,-8569.412109375,37.3229,118,590000,1004.76,118
172.13,92.8234,-7712.61376953125,34.7248,119,595000,174.0,119
1013.93,27.7825,-6794.8935546875,35.411,120,600000,1013.8,120
948.55,36.437,-6925.4365234375,31.995,121,605000,935.28,121
998.09,37.0377,-8437.0771484375,34.9278,122,610000,998.02,122
1012.5,62.2877,-8734.19921875,35.1086,123,615000,1012.4,123
987.18,116.6739,-9026.49609375,38.517,124,620000,987.42,124
992.2,94.2341,-8930.4453125,38.5373,125,625000,991.97,125
988.99,128.1632,-8889.087890625,38.3869,126,630000,988.99,126
980.46,78.543,-9017.568359375,39.2569,127,635000,980.54,127
973.41,53.1869,-9184.794921875,39.212,128,640000,973.12,128
976.58,50.133,-9163.6953125,38.9181,129,645000,976.53,129
991.56,99.6597,-9082.4853515625,38.6426,130,650000,991.87,130
974.74,61.1236,-9324.537109375,39.7023,131,655000,974.67,131
250.87,64.8218,-9988.38671875,37.8515,132,660000,253.05,132
922.53,82.4196,-9815.751953125,39.2157,133,665000,923.01,133
438.14,48.0118,-9625.232421875,35.9793,134,670000,435.94,134
59.72,64.55,-9634.51953125,35.2293,135,675000,59.96,135
90.63,176.7465,-10677.6181640625,38.4479,136,680000,92.81,136
47.81,204.1102,-10914.2392578125,39.0581,137,685000,47.23,137
3.23,127.0419,-8689.474609375,35.1506,138,690000,3.36,138
5.34,221.5918,-10980.5849609375,37.7519,139,695000,5.17,139
4.88,94.5455,-10688.8681640625,39.294,140,700000,4.71,140
124.67,52.4553,-9066.7421875,35.8368,141,705000,123.76,141
44.01,193.6732,-9594.0087890625,33.2876,142,710000,43.97,142
37.66,203.6672,-7848.11376953125,33.3554,143,715000,38.05,143
38.04,233.9662,-8353.4599609375,35.8095,144,720000,37.97,144
38.22,36.4637,-6329.853515625,32.8105,145,725000,38.17,145
38.08,31.9212,-7116.306640625,34.647,146,730000,37.72,146
37.59,206.2738,-4532.68408203125,34.63,147,735000,38.19,147
154.78,172.6532,-11172.5751953125,36.6661,148,740000,152.04,148
69.71,211.0624,-11374.6953125,37.2336,149,745000,70.07,149
56.26,218.7595,-11534.8486328125,37.3214,150,750000,56.89,150
78.55,205.9374,-11577.5986328125,37.2115,151,755000,80.43,151
59.96,213.8224,-11736.908203125,37.2479,152,760000,59.17,152
54.93,216.8628,-11909.9853515625,37.2696,153,765000,57.1,153
61.76,217.027,-12039.7490234375,37.1585,154,770000,62.56,154
61.95,213.9793,-12142.62109375,37.1579,155,775000,63.83,155
75.56,46.9455,-12266.853515625,36.8022,156,780000,75.62,156
30.28,229.5067,-12599.4404296875,36.1755,157,785000,29.92,157
32.56,228.178,-12732.2626953125,36.9117,158,790000,32.69,158
40.84,228.3335,-12820.673828125,36.7829,159,795000,41.38,159
41.11,229.2248,-12959.681640625,36.79,160,800000,41.72,160
41.63,226.5652,-13098.9892578125,36.8418,161,805000,42.31,161
39.46,53.6378,-13170.57421875,36.8033,162,810000,39.68,162
52.75,42.9704,-13367.5009765625,35.3754,163,815000,52.93,163
229.83,23.2468,-11622.2138671875,35.6226,164,820000,235.21,164
43.56,77.9486,-11893.74609375,36.1808,165,825000,49.48,165
102.79,45.1689,-12253.33984375,36.3685,166,830000,103.32,166
166.18,42.4192,-12141.0908203125,36.8177,167,835000,165.57,167
205.83,41.556,-11983.80078125,36.3686,168,840000,198.53,168
329.71,42.0561,-12128.3466796875,36.309,169,845000,354.34,169
962.0,37.1726,-11378.201171875,35.8792,170,850000,739.06,170
